,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,additives,nova_score,categories,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,manufacturing,markets,traceability_code,allergens,palm_ingredients,link,ingredients_origins,brand_owner
0,Pågen Surdegsbr Lantgoda,7311070338744,['Pagen'],['France'],"['INGA KONSERVERINGSMEDEL INCAEDIENSER Vetemjôl', 'vatten', 'fullkornsvetemjôl*', 'dinkelvetemiôl', 'krossade fullkornskàrnor av dinkelvete ', 'surdeg pâ vete ', '4%', 'vetegluten', 'havregryn*', 'havre- gu\\a linfrò', 'iàst', 'sait', 'kallpressad rapsolja ', '1%', 'vetegroddar', 'malt av korn', ' Dinkelinnehàli: 10% *Fullkornsinnehàll: 20%', 'motsvarande av torrvikten']",[],?,256,1071 kj(256 kcal),3,"0,5",43,1,11,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pain complet - Pagen,7311070338881,['Pagen'],['France'],[],[],?,260,1088 kj(260 kcal),6,"0,7",40,"2,5","9,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Surdegsknäcke,7311143350703,,['France'],[],[],?,350,1464 kj(350 kcal),"2,1","0,8","74,1","6,7","5,3","0,9","0,36",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kalkes Kaviar Dill,7311170031125,,['France'],[],[],?,390,1632 kj(390 kcal),32,"2,5",15,12,10,"5,1","2,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kallen - Orkla,7311170031682,['Orkla'],['France'],"['4 sokerisuolattu ', '52 0%', 'hiutale', 'tornaatti MAIDOTOtV', 'askorbiinihapp', 'rapsolja', 'socker', 'tomatpuré', 'sait', 'smedel ', 'kaliumsorbat', '52 0%', ' Yroò t4JâLKFRI', 'GLUTENFRI', ' Pyyntia uelFàngstomràde:Tursk m ', 'Gadus Q', ' — Koi/h3', 'Atlantti/NordostatIanten FAO 7 ', 'Kylmàsàitytys/Kyt orvaring: orskrom O +6 • tuubin ', ' I Setubens dnde']",[],?,400,1674 kj(400 kcal),33,"2,5",16,12,"9,5","5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Brännvins sill - Abba,7311171004074,['Abba'],['France'],[],[],?,240,1004 kj(240 kcal),12,"2,5",21,21,11,"2,8","1,12","['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sinappisilli - Abba,7311171004494,['Abba'],['France'],"['SINAPPISILLI / SENAPSSILL AINESOSAT', '• Silli ', '48 %', 'vesi', 'sokori', 'rapsiôljy', 'suola', 'ctikka', 'sakeuttam{snine ', 'E415', 'mausteet ', 'mm', ' kaneli korianteri', 'sâilëntâaineet ', 'E202', 'E211', 'vârit ', 'E150c', 'E160a', "",'""]","[""Pourrait contenir de l'huile de palme""]",?,250,1046 kj(250 kcal),18,2,16,12,7,"3,6","1,44",,"['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E160a - Carotènes mélangés']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Inlagd still - Abba,7311171006504,['Abba'],['France'],[],[],?,210,879 kj(210 kcal),"9,5",0,20,17,10,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Heringshappen Kräuter - Abba,7311171007594,['Abba'],"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,['de:Heringshappen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Gin & granskott - Abba,7311171007648,['Abba'],['France'],[],[],?,220,920 kj(220 kcal),12,"2,5",19,19,"9,1","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Santa Maria - Roasted Garlic & Pepper,7311310026776,,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tortilla Chips sourcream BBQ,7311310032043,,['France'],[],[],?,476,1992 kj(476 kcal),21,"1,8",63,"2,4","6,3","1,6","0,64",,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",B,21 g,en quantité élevée,1.8 g,en quantité modérée,2.4 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-1%,-7%,-39%,+4%,+27%,-2%,+37%,+37%,13,+34%,D,+34%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,
12,7311310044657,7311310044657,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Poivre de Sichuan moulu - Santa Maria - 38g,7311310216894,['Santa Maria'],['France'],['Poivre de Sichuan'],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres']",A,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,Poivre de Sichuan moulu,38g,"['Flacon', 'Verre']",['EU'],['Noz'],,,,,,
14,Black pepper whole - Santa Maria - 42g,7311310254995,['Santa Maria'],['France'],['poivre noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,1,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",A,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,Poivre noir en grains,42g,"['Flacon', 'Verre']",['EU'],['Noz'],,,,,,
15,Sauce cajun,7311310825126,,['France'],[],[],?,80,335 kj(80 kcal),3,"1,9",12,10,"1,5","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Chili con Carne - Casa Fiesta - 410g,7311310853518,['Casa Fiesta'],['France'],"['Eau', 'haricots pinto ', '24%', 'tomates ', '15%', 'boeuf ', '8%', 'coeur de boeuf ', '7%', 'oignons ', '6%', 'amidon modifié', 'concentré de tomates ', '2%', 'épices', 'piments verts', 'sel', 'vinaigre', 'farine de BLÉ', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['Fabriqué en Belgique'],['E14XX - Amidons modifiés'],4,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés en conserve', 'Chili con carne']",E,,,,,,,,,,,,,,,,,,,,,,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,,410 g,['Conserve'],['Belgique'],['Noz'],['BE B758 EC'],['Gluten'],,,,
17,Santa Maria American BBQ Sauce Kentucky Whiskey,7311311003851,,['France'],[],[],?,184,770 kj(184 kcal),"0,8",0,42,39,"1,4","2,1","0,84",,,,"['Epicerie', 'Sauces', 'Sauces barbecue']",B,0.8 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,2.1 g,en quantité élevée,,+18%,+17%,-16%,-100%,+35%,+49%,+56%,+4%,+4%,19,+31%,E,+31%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,,,,,,,,,,,
18,Santa Maria Chunky Salsa Mediu,7311312000873,['Santa Maria'],['France'],[],[],?,35,146 kj(35 kcal),0,0,"5,7","4,3","1,5","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Chipotoe dressing - Santa Maria,7311312001016,['Santa Maria'],['France'],[],[],?,312,1305 kj(312 kcal),32,"2,3","5,3","3,3","1,2","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,The lighter coconut milk - Extra Smooth - Santa Maria,7311312001269,['Santa Maria'],['France'],"['Ingredienser: Kokosnôtsextrakt ', '8% fett', ' Fôrvaras i rumstemperatur', ' éppnad fôrpackning fôrvaras 1-3 dagar i kylskàp', ' Kan frysas', ' Producerad i Malaysia']",[],?,82,343 kj(82 kcal),8,"7,5","1,3","1,1","1,3","0,1","0,04",['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,American kitchen - Santa Maria,7311312003164,['Santa Maria'],['France'],[],[],?,102,427 kj(102 kcal),"7,6","3,8",5,"3,2","1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tonfisk-pastej,7311360831108,,['France'],[],[],?,450,1883 kj(450 kcal),"43,2","3,6","11,7","3,6","5,1","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GräddÄdelOst,7311441010453,,['France'],[],[],?,240,1004 kj(240 kcal),20,13,"0,3","0,3",14,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Falksalt,7311631411022,,['France'],[],[],?,6,25 kj(6 kcal),"0,2",0,"2,3","0,1","0,2",96,"38,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Rågkaka 6P,7311800009302,,['France'],[],[],?,270,1130 kj(270 kcal),"3,3","0,8",50,"8,2","7,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Polfärskt Pärlan Fullkorn, Vollkorn - Polarbröd",7311800009586,['Polarbröd'],['France'],"['INGREDIENSER: Yann', 'fullkorn av rug fullkorn av hvete ', '18%', ""' hvetemel"", 'sukker', 'sirup', 'hvetegluten', 'rapsolje', 'fermentert hvetemel', 'fiber fra sukkerroer', 'sal vegetabilsk emulgeringsmiddel ', 'mono- og diglyserider av fettsyrer', 'mono og diacetylvinsyreestere av mono og diglyserider av fettsyrer', 'bakepulver ', 'hjortetakksalt', 'fruktsukker', 'maltmel ', 'bygg', 'melbehandlingsmiddel ', 'askorbinsyre', ' *Fullkornsmengde: 38%', 'tilsvarer 52% av torrvekten', ' Inneholder gluten', ' Melkefritt', ' Grovt brod - inneholder 67% sammalt mel og hele korn', ' Best for: 7 dager etter tining', 'se datomerking pâ pakke Produsert av Polarbrtjd AB', 'Sverige']",[],?,260,1088 kj(260 kcal),"3,6","0,8",45,"8,3","8,6","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Polarkaka,7311800009999,,['France'],[],[],?,280,1172 kj(280 kcal),"3,9","0,6",49,"8,2","8,6",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mini-rut Brungräd,7312080004636,,['France'],[],[],?,350,1464 kj(350 kcal),"2,6","0,6",64,"1,3",9,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pepparkakor puolukkapiparkakkuja - Annas - 300g,7312220095760,['Annas'],"['France', 'Suède']","['Sucre', 'huiles végétales ', 'palme', 'canola', 'noix de coco', 'bicarbonate de soude ', 'bicarbonate de sodium', 'sel', 'arôme de canneberge']",['Huile de palme'],2002,?,2002 kj(478 kcal),"18,8","9,1","70,9","33,4","5,4","1,16","0,464",,['E500ii - Carbonate acide de sodium'],3,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Piparkukas']",C,18.8 g,en quantité modérée,9.1 g,en quantité élevée,33.4 g,en quantité élevée,1.16 g,en quantité modérée,+0%,,+1%,-10%,-10%,+11%,+13%,-17%,+97%,+97%,25,+26%,E,+26%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,300 g,['Carton'],,['Noz'],,,['Huile de palme'],,,
30,Annas Pepparkakor Annas Ekologiska Pepparkakor - 300g,7312220095920,"['Annas Pepparkakor', 'Alfmix']","['France', 'Suède']","['Vetemjöl', 'socker', 'vegetabiliska oljor ', 'palm', 'raps', 'sirap', 'bakpulver ', 'natriumbikarbonat', 'kanel', 'salt', 'ingefära', 'kryddnejlika']","['Huile de palme', 'Végétalien', 'Végétarien']",1988,?,1988 kj(475 kcal),"19,1","8,9","69,3","32,6","5,3","1,35","0,54","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'SE-EKO-03', 'sv:Purveyor to the Royal Court of Sweden']",['E500ii - Carbonate acide de sodium'],3,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",A,19.1 g,en quantité modérée,8.9 g,en quantité élevée,32.6 g,en quantité élevée,1.35 g,en quantité modérée,+35%,,+40%,+447%,+618%,-2%,-20%,+22%,+210%,+210%,24,+70%,E,+70%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,300 g,['05 PP'],,,,['Gluten'],,http://www.annas.se/produkt/annas-ekologiska,,
31,Solros kärnor,7312631201354,,['France'],[],[],?,610,2552 kj(610 kcal),50,5,13,2,23,"0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rosta sjalv - Risenta,7312631410428,['Risenta'],['France'],"['ÔPPNAS HÂR AVAA TÂSTÂ IB', 'GREDIENSER: Havregryn', 'kokosflakes 13%', 'pumpa- kàrnor', 'solroskârnor', 'havrekârnor', 'branflakes ', 'fullkornsvetemjôl', 'vetekli', 'socker', 'sirap', 'kommalt', 'salt', 'linfrò', 'quinoapuffar 3', '596', 'frystorkade jordgubbar 3', '5%', ' OBS! Kan innehàlla spàr av nôtter', ' AINEKSET: Kaurahiutaleet', 'kookoshiutaleet 13%', 'kurpitsansiemenet', 'auringonkukansiemenet', 'kauranjyvât', 'tàysjyvàhiutaleet ', 'taysjyvâvehnâjauho', 'vehnàlese', 'sokeri', 'siirappi', 'ohramallas,']",[],?,470,1966 kj(470 kcal),27,10,37,5,15,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Granola - Frosta - 375g,7312631410435,"['Frosta', 'Rosta sjalvy', 'Risenta']","['France', 'Suède']","['INGREDIENSER: Havregryn', 'cashewnòtter 14,5%', 'solroskàrnor', 'havrekârnor', 'kok06ftak0ÉJ', 'branflakes ', 'fullkornsvetemjôl', 'votekli', 'socker', 'sirapt kornmaltt sait', 'pistage - nôtter 6', '5%', 'chiafro 6', '5% ', 'Salvia Hispanica', 't dinketpuffar', ' OBS! Kan innehàtla spat av andra nôttcn']",[],1950,480,1950 kj(480 kcal),28,9,38,4,15,"0,24","0,096",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",B,28 g,en quantité élevée,9 g,en quantité élevée,4 g,en faible quantité,0.24 g,en faible quantité,+10%,+15%,+12%,+114%,+171%,-37%,-76%,+52%,+38%,+38%,9,+83%,C,+83%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,375g,['Carton'],['Sollentuna'],['Nooz'],,,,http://www.risenta.se,"['Mexique', 'Pérou']",
34,"Solrosfrön, Risenta - 350g",7312631420151,,"['Salvador', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,['Nötter och frön'],,,,,,,,
35,"Oeufs De Lompe Noirs Royal Sweden, 100g - 100g",7312740010120,['Royal Sweden'],['France'],[],[],?,85,356 kj(85 kcal),"4,5",1,"1,1","0,2",10,"4,4","1,76",,,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump', 'Oeufs de lompes noirs']",,4.5 g,en quantité modérée,1 g,en faible quantité,0.2 g,en faible quantité,4.4 g,en quantité élevée,,+10%,+11%,+21%,+20%,+34%,-3%,+3%,-3%,-3%,11,+50%,D,+50%,,,,,,,,,100 g,,,,,,,,,
36,Oeuf de lompe - Royal Sweden,7312740110301,['Royal Sweden'],['France'],[],[],?,85,356 kj(85 kcal),"4,5",1,"1,1","0,2",10,"4,5","1,8","['Pêche durable', 'Pêche durable MSC']",,,"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump']",,4.5 g,en quantité modérée,1 g,en faible quantité,0.2 g,en faible quantité,4.5 g,en quantité élevée,,0%,+1%,+18%,+10%,-4%,-26%,+1%,+3%,+3%,11,+37%,D,+37%,,,,,,,,,,,,,,,,,,
37,Fullkorns-couscous,7312787710502,,['France'],[],[],?,350,1464 kj(350 kcal),2,"0,1",67,10,12,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cappuccino,7312799335359,,['France'],[],[],?,409,1711 kj(409 kcal),11,11,"72,1","43,1","4,9","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Almondy Snickers & Almond Cake - 1200g,7312930000498,,['France'],[],[],?,410,1715 kj(410 kcal),23,"6,9",42,31,"8,8","0,4","0,16",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200 g,,,,,,,,,
40,Almondy Milka - 480,7312930004472,['Milka'],['France'],[],[],?,453,1895 kj(453 kcal),29,"9,9",37,30,10,"0,3","0,12",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,
41,7312989160228,7312989160228,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Conserve'],"['Taiwan', 'République de Chine']",['Supermarché Asie'],,,,,,
42,Skagenröra Yoghurt örneborgs - Öneborg,7313310020013,['Öneborg'],['France'],"['чодпиrt ghirt GJORD PA FARS Lngredienser: Crabfish ', '29%', ' ', 'fisk', 'vatten', 'tapiokastärkelse', 'salt socker solrosig fierd', 'yoghurt ', '16%', 'vatten,rapsolja', 'stenbitsrom ', '1,5%', ' ', 'med shery cch farganen ', 'krabbextrakt', 'färgämnen ', 'E120', 'E160 E170', 'fakor krabbarom Pinte E160la E120', 'socker,salt', 'äggulepulver', 'senapsfrö', 'dill', 'ättiksprit', 'Keydblandning orusocker', 'fiskpulver', 'aromer', 'konserveringsmedel ', 'E202', 'E211', ' forjockning aggyitepulver Arydextrakt', 'jästextrakt', 'cayennepeppar', 'glukossirap', 'tomatpulver krabbextrakd CRUISU F415', ' E1442', 'surhetsreglerande medel ', 'E330 maltodextrin Sar']","['Non végétalien', 'Non végétarien']",?,190,795 kj(190 kcal),16,"2,2","5,6","1,8","5,3","1,52","0,608",,"['E120 - Acide carminique', 'E160 - Caroténoïdes', 'E170 - Carbonates de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E330 - Acide citrique']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lait'],,,,
43,7313350007203,7313350007203,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Originalet,7313636500183,,['France'],[],[],?,297,1243 kj(297 kcal),"5,8","0,7",48,"9,9","10,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Galette a l’avoine,7314710108523,,['France'],[],[],?,490,2050 kj(490 kcal),"22,9","11,5","64,5","40,9","5,2","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Galettes Suédoises aux Flocons d'Avoine et au Chocolat - Sans marque - 525g e,7314710470088,['Sans marque'],['France'],"['Sucre', 'chocolat 23% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines de tournesol', ""flocons d'avoine 22%"", 'margarine ', 'matières grasses végétales ', 'palme', 'palmiste', 'colza', ' en proportion variable', 'eau', 'sel', ""émulsifiant : mono et diglycérides d'acides gras"", 'arôme', 'antioxydant : acide citrique', 'farine de blé', 'œuf entier en poudre', 'poudres à lever : carbonates de sodium', 'diphosphates', ""carbonates d'ammonium"", 'amidon de maïs']","['Huile de palme', 'Non végétalien']",?,505,2113 kj(505 kcal),"25,8","14,1",61,"40,5","5,2","0,64","0,256",['Bio'],"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]",4,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', ""Biscuits à l'avoine""]",D,25.8 g,en quantité élevée,14.1 g,en quantité élevée,40.5 g,en quantité élevée,0.64 g,en quantité modérée,,+9%,+9%,+26%,+77%,+4%,+80%,-30%,+4%,+4%,27,+75%,E,+75%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,Double biscuits à l'avoine partiellement recouverts de chocolat.,525 g e,['Plastique'],,,,['Gluten'],,,,
47,Eko peppar-kakor,7314710780507,,['France'],[],[],?,462,1933 kj(462 kcal),"17,2","1,6","69,3","31,4","6,2","1,28","0,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Biscuits Au Gingembre - Nyakers - 14.11oz,7317062004017,['Nyakers'],['France'],"['farine de blé,sucre', 'huile vegetale ', 'palme canola noix de coco', ' ,poudre a lever ', 'E500', ',clous de girofle,cannelle', 'gingembre,sel', 'arome']",[],?,420,1757 kj(420 kcal),15,7,67,35,"4,5","1,6","0,64",,['E500 - Carbonates de sodium'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11 oz,,,,,['Gluten'],['Huile de palme'],,,
49,Skitat,7317624111009,,['France'],[],[],?,290,1213 kj(290 kcal),"3,7","0,5",54,7,9,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Röda Bär,7317731541409,,['France'],[],[],?,50,209 kj(50 kcal),"0,5","0,5",11,"10,5","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Matris,7318690002086,,['France'],[],[],?,350,1464 kj(350 kcal),"1,7","0,5",76,"0,5","7,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Våffelstrutar,7318690007791,,['France'],[],[],?,400,1674 kj(400 kcal),"5,6","4,1",79,25,6,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Potatissallad,7318690056768,,['France'],[],[],?,900,3766 kj(900 kcal),19,"1,5",10,1,"1,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Crunchy Chok,nöt,tran - 500g",7318690056881,,['France'],[],[],?,490,2050 kj(490 kcal),24,"5,7",55,25,"9,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
55,Kardemummaskorpa - Ica,7318690057932,['Ica'],['France'],"['INGREDIENSER Vetemjbl', 'vatteny socker', 'vegetàbilisk olJa ', 'raps', 'jé kardemumma 0,8%', 'salta']",[],?,420,1757 kj(420 kcal),"8,9","1,2",70,11,10,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ICA Specialflingor - 500g,7318690070559,,['France'],[],[],?,370,1548 kj(370 kcal),11,"0,7",76,13,13,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
57,Veteskorpor,7318690073505,,['France'],[],[],?,410,1715 kj(410 kcal),"9,2","1,3",69,11,11,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bran Flakes Naturell - ICA - 500g,7318690076285,['ICA'],"['France', 'Suède']",[],[],?,380,1590 kj(380 kcal),"2,7","0,9",68,"9,9",13,"0,45","0,18",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']",C,2.7 g,en faible quantité,0.9 g,en faible quantité,9.9 g,en quantité modérée,0.45 g,en quantité modérée,,-3%,-3%,-66%,-53%,+3%,-14%,+32%,+31%,+31%,-3,-188%,A,-188%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,500 g,['Paper'],,['ICA'],,,,,,
59,Cookies choklad & hasselnötter,7318690105619,,['France'],[],[],?,550,2301 kj(550 kcal),31,14,55,34,"5,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Falafel - ICA,7318690111511,['ICA'],['France'],"['IIANGREDIENSER EIOtlaqda kikortor olja', 'vete', ' spenlìt', ' lek', ' Vltloke petstlja', ' sait', ' spiskufnrnrne koriandetl peppotl surhets- ! eglerande nnedel ', 'E330', 'konsetvertngsmedel ', '€200', 'jar n', 'vitamin B12 Kan innehalla spàr av agg', 'soja', 'mjolk', 'selleri', 'och senap']",[],?,200,837 kj(200 kcal),"8,3","1,2",24,"0,5","6,3","1,1","0,44",,['E330 - Acide citrique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Soja'],,,,
