,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,additives,nova_score,categories,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,quantity,packaging,manufacturing,markets,traceability_code,allergens,palm_ingredients,link,ingredients_origins,brand_owner
1951,Pain milanais,7616700248500,,['France'],[],[],?,320,1339 kj(320 kcal),7,"0,8",53,"1,5",10,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,Petits pois et carottes - M-Classic - 420g e / 260g égoutté,7616800302157,"['M-Classic', 'Migros']","['France', 'Suisse']","['Eau', 'petits pois 31 % ', 'Suisse', 'carottes 31%  ', 'Suisse', 'sel de cuisine iodé']","['Sans huile de palme', 'Végétalien', 'Végétarien']",270,?,270 kj(65 kcal),"0,5",0,9,2,"3,5","0,7","0,28",,,3,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",A,0.5 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0.7 g,en quantité modérée,+13%,,+12%,+1%,-100%,+11%,-41%,+13%,+19%,+19%,-5,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,420 g e / 260 g égoutté,"['Boîte', 'Conserve', 'Métal', 'Acier']",['Liechtenstein'],['Migros'],,,,,['Suisse'],
1953,Schweizer Alpenkräuter Ice Tea - Migros - 0.33l.,7616800831916,"['Migros', 'Migros Bio']","['France', 'Suisse']","[""Infusion d'herbes Ingrédicnts: infusion d'herbes menthe poivrée"", 'alchémillo ortie', 'verveine odorante', "" l'extrait sec "", '1,8g/l', ""sucre'/ acidifiant: acide citrique"", ' De production biologique suisse', ' De production biologique étrangère']",[],104,?,104 kj(25 kcal),0,0,6,6,"0,5","0,05","0,02",['Bio'],['E330 - Acide citrique'],,"['Boissons', 'Boissons avec sucre ajouté']",,0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0.05 g,en faible quantité,-77%,,-72%,-100%,-100%,-70%,-67%,-7%,+34%,+34%,8,-33%,D,-33%,,,,,,,,,0.33 l.,['Flasche'],,['Migros'],,,,,,
1954,"Eistee, Ice Tea Herbs - Vitella",7616800832609,['Vitella'],['France'],[],[],?,10,42 kj(10 kcal),?,0,?,3,0,0,0,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés']",C,,,0 g,en faible quantité,3 g,en quantité modérée,0 g,en faible quantité,,-50%,-51%,,-100%,,-33%,-100%,-100%,-100%,,,,,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,,,,,,
1955,Favorit Ice Tea,7616800835419,,['France'],[],[],?,30,126 kj(30 kcal),0,0,"7,4","7,4",0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,Swiss delice,7616800842264,,['France'],[],[],?,82,343 kj(82 kcal),"3,5",2,9,9,8,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,ICE TEA lemon,7616800843278,,['France'],[],[],?,27,113 kj(27 kcal),"0,5","0,1","6,7","6,6","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,Ice tea,7616800843285,,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,8","7,8","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Zimt,7617014134299,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,Poivre quatre poivres - 56g,7617014154396,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 g,,,,,,,,,
1961,Single Origin Ethiopia - Café Royal - 50g,7617014162018,['Café Royal'],['France'],['100% arabica'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Agriculture durable', 'Fabriqué en Suisse', 'en:UTZ Certified']",,1,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,"['Carton', 'Dosettes']",['Suisse'],['Carrefour market'],,,,,['Éthiopie'],
1962,Café Royal Flavoured Edition Almond 10 Kapseln,7617014162193,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,['Fabriqué en Suisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,Prince Chester Intense Lungo Roast - 500g,7617014164340,['Prince'],"['France', 'Suisse']","['Pur arabica lavé du Guatemala', 'du Honduras', 'de Colombie', ""d'Indonésie"", ""du Kenya et d'Ethiopie""]",[],?,?,,?,,?,,?,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
1964,Café Royal Bohnen King Ralph - 500g,7617014164357,['Café royal'],"['France', 'Suisse']",['Café torréfié en grains'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,30,126 kj(30 kcal),"0,1","0,1",7,7,0,2,"0,8","['Agriculture durable', 'en:UTZ Certified']",,1,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,-39%,-49%,-93%,-89%,-16%,+45%,-100%,+1299%,+1299%,,,,,,,,,,,,,500g,,,,,,,,,
1965,Café Royal - Lions Blend - 1,7617014164418,['Lions Blend'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1966,Mild/Doux Lungo Lion's blend - Café Royal - 100g,7617014164432,['Café Royal'],['France'],"['Extrait de café lyophilisé', ' 100 % arabica']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Agriculture durable', 'Fabriqué en Allemagne', 'en:UTZ Certified']",,1,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",D,,,,,,,,,,,,,,,,,,,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,Café soluble,100 g,['Verre'],['Allemagne'],['Cora'],,,,,,
1967,Chai Tea Latte - Cafe royal,7617014165460,['Cafe royal'],['France'],[],[],?,52,218 kj(52 kcal),"0,9","0,7",9,8,2,"0,1","0,04",,,,"['Boissons', 'Boissons avec sucre ajouté']",,0.9 g,en faible quantité,0.7 g,en faible quantité,8 g,en quantité élevée,0.1 g,en faible quantité,,-39%,-41%,+140%,+322%,-55%,-56%,+271%,+167%,+167%,14,+18%,E,+18%,,,,,,,,,,,,,,,,,,
1968,Twïn Banago - Delica - 256g e (16 *16g),7617014166825,"['Delica', 'Migros']","['France', 'Suisse']","['Sucre', 'lait écrémé en poudre ', 'UE', ' ', '18%', 'lait entier en poudre ', 'CH', ' ', '12%', 'cacao maigre en poudre ', '10%', 'lactosérum sucré en poudre', 'émulsifiant: lécithine de tournesol', 'sel de cuisine iodé', 'agent épaississant: E466', 'arôme']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1640,?,1640 kj(392 kcal),"4,5","2,5",71,69,13,"0,8","0,32",,"['E322i - Lécithine', 'E466 - Carboxyméthylcellulose']",4,"['Boissons', 'Boissons chaudes', 'Boissons avec sucre ajouté', 'Capsules pour machines à café', 'Chocolats chauds', 'Dosettes de chocolat chaud']",,4.5 g,en quantité modérée,2.5 g,en quantité modérée,69 g,en quantité élevée,0.8 g,en quantité élevée,+311%,,+1124%,+1193%,+1472%,+1260%,+2296%,+2197%,+1613%,+1613%,21,+369%,E,+369%,,,,,,,,Préparation pour boisson à base de lait en poudre et de cacao maigre en poudre.,256 g e (16 *16 g),"['Boîte', 'Carton', 'Capsule', 'Plastique']",['Suisse'],['Migros'],,['Lait'],,,"['Union européenne', 'Suisse']",
1969,Espresso - Café Royal,7617014167990,['Café Royal'],['France'],[],[],?,?,,?,,?,,?,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Boîte', 'Carton']",,,,,,,,
1970,Agent's Choice Espresso (limited edition) - Café Royal - 53g e,7617014169765,['Café Royal'],"['France', 'Suisse']","['10 capsules', 'café torréfié', 'moulu']",[],?,?,,?,,?,,?,,,"['Point Vert', 'Triman']",,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso', 'Boissons sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 g e,"['Carton', 'boîte']",['Suisse'],['Cora'],,,,,,
1971,Capsules café lungo,7617014172963,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4","['Agriculture durable', 'Fabriqué en Suisse', 'en:UTZ Certified']",,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",,,,,,,,,,,-93%,-95%,+32%,+154%,-58%,-37%,+31%,+1185%,+1185%,,,,,,,,,,,,,,,,,,,,,,
1972,Ananasscheiben Sun Queen - 340g,7617027101578,['Sun Queen'],"['France', 'Suisse']","['Ananas', ""jus d'ananas"", 'acidifiant: acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",229,?,229 kj(55 kcal),"0,5",0,13,13,"0,5",0,0,,['E330 - Acide citrique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,"['büchse', 'buatta']",,,,,,,,
1973,Freiland Eier - 350g,7617027625678,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,['Stk.'],,,,,,,,
1974,Tomme à la Crème - Jean-Louis - 200g,7617027717182,['Jean-Louis'],"['France', 'Suisse']","['Fromage suisse à pâte molle', 'à la crème', 'au lait pasteurisé']",['Non végétalien'],1330,?,1330 kj(318 kcal),28,18,"0,5","0,1",18,"1,2","0,48",['Fabriqué en Suisse'],,3,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de Suisse', 'Fromages de montagne', 'Tommes']",D,28 g,en quantité élevée,18 g,en quantité élevée,0.1 g,en faible quantité,1.2 g,en quantité modérée,-15%,,-21%,-15%,-7%,-2%,+50%,-32%,-25%,-25%,13,-16%,D,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,200 g,['Frais'],,,['CH 2430'],['Lait'],,,,
1975,Vermicelle marron - Migros,7617027827454,['Migros'],['France'],[],[],?,215,900 kj(215 kcal),8,"4,5",33,22,"1,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Concombres - CONDY - 400g,7617027853019,['CONDY'],"['France', 'Suisse']","['concombres aux herbes aromatiques', 'eau', ""vinaigre de vin blanc et d'alcool"", 'sucre', 'sel de cuisine', 'aneth', 'graines de moutarde', 'oignons séchés', 'coriandre', 'poivrons', 'extrait de curcuma colorant']",[],165,?,165 kj(39 kcal),"0,5",0,8,5,1,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Glas'],,,,,,,,
