,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
469,Hong's Sichuan Style Spicy Pork Dumplings - Hongs,5890120887002,,['Hongs'],,['France'],"['Lean Pork 33%', 'Chinese leaf 24%', 'Wheat Flour 22%', 'Coriander 3%,Fresh red chilli 2%', 'Onion 2%', 'Gluten Flour 2%', 'Spring\ronion', 'Water', ' Ginger', ' Soy Sauce ', 'Soybean', 'Water', 'Salt', 'Wheat Flour', 'Colour E150C', 'Food Acids: E260 & E270', 'Vegetable Oil', 'Sesame Oil', '\rSalt', 'Sugar', 'Spice ', 'Sichuan pepper', 'Anise', 'Chilli', 'White pepper', 'Flavour Enhancers E621 & E635', 'Chicken Essence Powders ', 'Salt', ' Maltodextrin', ' \rFlavour Enhancers E621 & E635', 'Corn Starch', 'Chicken Meat', 'Sugar', 'Yeast Extract', 'Chicken Fat', 'Egg', 'Wheat', 'Vegetable Oil', 'Soya Flour', 'Milk', ' \rSoyabean Sauce', ' \rAllergy advice: Contains gluten in wheat flour', 'sesame oil', 'soyabean', 'milk', 'egg']","['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E260 - Acide acétique', 'E270 - Acide lactique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique""]","['Œufs', 'Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,210,,879 kj(210 kcal),,8,,3,,23,,"8,7",,9,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,
470,Vegetarian gyoza -,5890802099082,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli japonais']",['France'],[],,,[],,8 g,en quantité modérée,1.9 g,en quantité modérée,2.4 g,en faible quantité,1.3 g,en quantité modérée,?,,199,+19%,833 kj(199 kcal),+19%,8,+64%,"1,9",+71%,"21,6",-4%,"2,4",-11%,"10,3",+47%,"1,3",+25%,"0,52",+25%,3,+49%,C,+49%,,,,,,,,,,,,,,,,,,
471,Pesto mediterran,58968017,,,,['France'],[],,,[],,,,,,,,,,?,,263,,1100 kj(263 kcal),,"22,7",,"3,2",,"9,8",,"8,2",,4,,3,,"1,2",,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,,,,
472,Karmi classic,5900014004092,,,,['France'],[],,,[],,,,,,,,,,?,,36,,151 kj(36 kcal),,0,,0,,"8,4",,7,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
473,Barre Fitness - Nestlé,5900020010247,,['Nestlé'],,['France'],[],,,[],,,,,,,,,,?,,372,,1556 kj(372 kcal),,?,,"4,1",,?,,"23,7",,"5,9",,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,
474,Nestle Baton Fitness Tiramisu,5900020014252,,['Nestlé'],,['France'],[],,,[],,,,,,,,,,?,,369,,1544 kj(369 kcal),,?,,"4,3",,?,,"19,7",,"6,4",,"0,86",,"0,344",,,,,,,,,,,,,,,,,,,,,,,
475,Nesquik Cereals Chocolate Flavored - Nestlé - 625g,5900020015389,,['Nestlé'],,['France'],"['INGREDIENT LIST: Cereal Grains ', '64', '8%', 'Whole Grain Wheat ', 'contains Gluten', ' ', '44', '5%', 'Maize semolina ', ' ', '16', '8%', 'Rice ', '3', '5%', 'sugar', 'Glucose Syrup', 'Cocoa Powder ', '6', '1%', 'Palm Oil', 'Fat-Reduced Cocoa Powder ', '0', '5%', 'Salt', 'Acidity Regulator Trisodium Phosphate', 'Natural Flavoring ', 'Vanilla Flavor', ' VITAMINS AND MINERALS: Calcium', 'Niacin', 'Vitamin B3', 'Pantothenic Acid', 'Iron', 'Vitamin D', 'Vitamin B6', 'Thiamin ', 'B1', 'Riboflavin ', 'B2', 'Folic Acid', ' Free from pork products and their derivatives', ' Contains Cereals containing Gluten May contain: Milk and Nuts']",['E339iii - Phosphate trisodique'],['Gluten'],['Huile de palme'],4,,,,,,,,,?,,383,,1602 kj(383 kcal),,4,,"1,7",,75,,"27,9",,"7,7",,"0,51",,"0,204",,,,,,,,,,,,,,625 g,,,,,,,,,
476,Gluten Free Corn Flakes - Nestlé - 500g,5900020025494,C,['Nestlé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Corn-flakes']","['Danemark', 'Finlande', 'France']","['Maïs ', '98', '6%', 'sucre', 'sel', 'dextrose', 'sirop de sucre brun', 'phosphate de sodium']",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.3 g,en faible quantité,0.5 g,en faible quantité,9 g,en quantité modérée,2.04 g,en quantité élevée,1611,+0%,?,,1611 kj(385 kcal),+2%,"1,3",+19%,"0,5",+75%,"82,6",-0%,9,-16%,"7,3",+1%,"2,04",+69%,"0,816",+69%,10,+34%,C,+34%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Sans gluten', 'CH-043-001']",500 g,['Carton'],,,,,,,,
477,Fitness Delice - Nestlé,5900020026804,,['Nestlé'],,['France'],[],,,[],,,,,,,,,,?,,383,,1602 kj(383 kcal),,"8,1",,"4,2",,"66,4",,"24,8",,"6,2",,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,
478,Curiously Cinnamon - Nestlé,5900020028341,,['Nestlé'],,['France'],"['Cereal Grains ', 'Whole Grain Wheat Flour ', '32', '5%', 'Rice Flour', 'Sugar', 'Glucose Syrup', 'Palm Oil', ' Vitamins and Minerals ', 'Calcium', 'Niacin', 'Pantothenic Acid', 'Iron', 'Vitamin D', 'Vitamin B6', 'Thiamin', 'Acid', 'Maize Starch', 'Saï Cinnamon', 'Trisodium Phosphate', 'Emulsifier: Sunflower Lecithin', 'Roasted Barley Malt Ex?act', 'Antioxidaft Flavouring: Cinnamon Flavourt Colouc Annatto', ' ALLERGY ADVICE: For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' May also contain Milic Peanuts and Other Nuts,']","['E339iii - Phosphate trisodique', 'E322i - Lécithine', 'E160b - Rocou']",,['Huile de palme'],4,,,,,,,,,?,,418,,1749 kj(418 kcal),,10,,"4,3",,74,,25,,"5,7",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,
