,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,manufacturing,traceability_code,generic_name,ingredients_origins,link,markets,palm_ingredients,brand_owner
0,beurre - St Hubert,56185423,C,['St Hubert'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']",['France'],"['Babeurre ', 'lait', 'huiles végétales 34% ', 'colza', 'coco', 'karité', 'lait écrémé réhydraté', 'épaississant ', 'E1422', 'beurre concentré ', '2%', 'sel de mer ', '1,5%', 'émulsifiants ', ""mono et diglycérides d'acide gras"", 'E476', ""correcteurs d'acidité "", 'E331', 'acide lactique', 'conservateur ', 'sorbate de potassium', 'arômes ', 'lait', 'colorant ', 'bêta-carotène']","['E1422 - Adipate de diamidon acétylé', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E331 - Citrates de sodium', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,38 g,en quantité élevée,18 g,en quantité élevée,2.5 g,en faible quantité,1.8 g,en quantité élevée,?,,370,-28%,1548 kj(370 kcal),-27%,38,-33%,18,+11%,"5,6",+1286%,"2,5",+937%,"1,5",+564%,"1,8",+217%,"0,72",+217%,18,+55%,D,+55%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,,,,,,,,,,
1,5622300113942,5622300113942,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Choco pépites - Milka,5626610388199,,['Milka'],,['France'],[],,,[],,,,,,,,,,?,,445,,1862 kj(445 kcal),,23,,11,,55,,32,,5,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,
3,Milka recette onctueuse,5626610463643,,['Milka'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Belvita Original,5626610713946,,,,['France'],[],,,[],,,,,,,,,,?,,441,,1845 kj(441 kcal),,15,,"1,4",,67,,22,,"7,7",,"1,39",,"0,556",,,,,,,,,,,,,,,,,,,,,,,
5,Bloc noir amandes entières - Côte D Or,5626610995199,,['Côte D Or'],,['France'],[],,"['Lait', 'Fruits à coque', 'Soja']",[],,,,,,,,,,?,,555,,2322 kj(555 kcal),,36,,16,,43,,41,,"9,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
6,Salsa nuggets di pollo - Develey,56235111,,['Develey'],,['France'],"['eau', ' pu', 'pe dtabr{cot', 'sucre purée St', 'Jtre', 'rouge amidon modifié te huile de co!za', 'êPiCêS ', 'céleri', ' ', 'gomme de xanthani', 'erôrnes ', 'soja', 'blé']","['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']","['Céleri', 'Gluten', 'Soja']",[],4,,,,,,,,,?,,175,,732 kj(175 kcal),,"1,1",,"0,1",,"39,9",,"38,1",,"0,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,
7,Le supérieur - Fleury Michon,56253016,,['Fleury Michon'],,['France'],[],,,[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"2,8",,1,,"0,7",,"0,7",,22,,"1,8",,"0,72",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,
8,100% orange sanguine de Sicile,5636334130592,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,11,,"9,5",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Gazpacho tomate, concombre & poivron",5636334136075,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],,,[],,2.3 g,en faible quantité,0.3 g,en faible quantité,2.7 g,en faible quantité,0.67 g,en quantité modérée,?,,40,-2%,167 kj(40 kcal),-3%,"2,3",-6%,"0,3",-22%,"2,8",-17%,"2,7",+6%,"0,6",-24%,"0,67",+1%,"0,268",+1%,2,+68%,B,+68%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,
10,Joker Le Pur Jus,56313475,,['Joker'],,['France'],[],,,[],,,,,,,,,,?,,39,,163 kj(39 kcal),,"0,5",,0,,"8,2",,"7,2",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rote Bete et Merrrettich - BioGourmet,56314212,,['BioGourmet'],,['France'],[],,,[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"12,4",,"1,3",,"6,8",,"6,4",,1,,"2,3",,"0,92",,,,,,,,,,,,,['Bio'],,,,,,,,,,
12,Pomme rissolées prefrites,56340457,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pommes de terre', 'Pommes de terre rissolées', 'Pommes de terre préfrites surgelées', 'Pommes de terre rissolées surgelées', 'Pommes rissolées surgelées cuites', 'en:frozen-pre-fried-potato-cubes']",['France'],[],,,[],,5 g,en quantité modérée,2.6 g,en quantité modérée,5 g,en quantité modérée,0.1 g,en faible quantité,?,,971,+574%,4063 kj(971 kcal),+579%,5,+14%,"2,6",+324%,39,+76%,5,+873%,5,+112%,"0,1",-2%,"0,04",-2%,13,,D,,17.7%,0.0%,18.6%,14.9%,21.9%,26.9%,93,,,,,,,,,,,
13,Coca Cola Original - Migros - 200g,56346565,,['Migros'],,"['France', 'Suisse']",[],,,[],,,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,"10,6",,"10,6",,0,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,
14,Saumon fumé - grandes origines - 4 tranches - Labeyrie,56347531,E,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],,,[],,2.6 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,2.9 g,en quantité élevée,?,,123,-34%,515 kj(123 kcal),-33%,"2,6",-75%,"0,6",-71%,"0,8",+62%,"0,8",+140%,24,+9%,"2,9",+3%,"1,16",+3%,11,-16%,D,-16%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Certifié par Certiconfiance'],,"['Frais', 'Sous vide']",['France'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,,
15,Thé Green of London - Le Palais Des Thés,56384147,,['Le Palais Des Thés'],,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,56395310,56395310,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Barre Extra Sablee - Granola,5647710469434,,['Granola'],,['France'],[],,,[],,,,,,,,,,?,,495,,2071 kj(495 kcal),,?,,13,,?,,33,,"6,7",,"1,02",,"0,408",,,,,,,,,,,,,,,,,,,,,,,
18,Pain Pita - Le pain en or - 300g,5648123645736,B,['Le pain en or'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pains Pita']",['France'],"['Farine de blé entier ', 'farine de blé', ""farine de levure d'orge"", 'fer atténué', 'thiamine mononitate', 'riboflavine', 'fer', 'eau', 'sucre', 'sel', 'levure', 'lait en poudre sans matière grasse']",,['Gluten'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,49.6%,26.4%,15.7%,7.2%,1.0%,0.0%,95,"['Peu ou pas de matière grasse', 'Halal', 'Sans cholestérol', 'Sans matière grasse']",300 g,['Plastique'],,"['EMB 69266', 'Villeurbanne (Rhône, France)']",Pain pita,['France'],,,,
19,granola the ultimate bio organic - Rude Heatlh,56411539,,['Rude Heatlh'],,['France'],"['Avoine', 'Flocons dÉpeautre', 'Huile de Tournesol', 'Miel', ' Flocons dOtge', ' Sirop de Dattes', 'Amandes Grillées', ' Graines de Toumesol', 'Amaranth Soufflé', ' Noisettes Grillées']",,['Avoine'],['Non végétalien'],,,,,,,,,,?,,484,,2025 kj(484 kcal),,25,,"2,5",,53,,11,,11,,"0,05",,"0,02",,,,,,,,,,,,,['Bio'],,,,,,,,,,
20,Mini génoises orange - Sondey,56436587,,['Sondey'],,['France'],[],,,[],,,,,,,,,,?,,391,,1636 kj(391 kcal),,"12,4",,"6,8",,65,,"47,7",,"3,6",,"0,24",,"0,096",,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,
21,Baie de goji,56453133,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",['France'],[],,,[],,2 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,0 g,en faible quantité,?,,329,-0%,1377 kj(329 kcal),-1%,2,-32%,0,-100%,58,-2%,51,+14%,14,+12%,0,-100%,0,-100%,4,+36%,C,+36%,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,
22,Beurre Doux - Laiterie des Ardennes,5654661010011,E,['Laiterie des Ardennes'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de crème douce']",['France'],['100 % beurre'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,82.5 g,en quantité élevée,55.3 g,en quantité élevée,0.6 g,en faible quantité,0.1 g,en faible quantité,?,,738,+1%,3088 kj(738 kcal),+1%,"82,5",+2%,"55,3",+0%,"0,6",-15%,"0,6",-6%,"0,6",-13%,"0,1",+79%,"0,04",+79%,19,+1%,E,+1%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,"['Frais', 'Plastique']",,,,,,,,
23,Nouilles instantanées saveur poulet,5658387516574,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['France'],[],,,[],,,,,,,,,,?,,492,+65%,2059 kj(492 kcal),+63%,"26,4",+128%,"10,16",+93%,"54,8",+35%,2,-17%,"10,1",+59%,"5,5",+111%,"2,2",+111%,,,,,,,,,,,,,,,,,,,,,,
24,Pain grillé au blé complet - Amora,56528565,B,['Amora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains grillés', 'Petits pains grillés']",['France'],"['eau', 'graines de moutarde', ""vinaigre d'alcool"", 'farine de moutarde brune', 'sel', 'arôme', 'acidifiant : acide citrique', 'conservateur : E224 ', 'sulfites']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']",[],4,9.9 g,en quantité modérée,1 g,en faible quantité,5.3 g,en quantité modérée,1.3 g,en quantité modérée,?,,405,+0%,1695 kj(405 kcal),-0%,"9,9",+17%,1,-38%,59,-13%,"5,3",-9%,16,+52%,"1,3",+13%,"0,52",+13%,11,+105%,D,+105%,64.1%,19.9%,9.0%,6.2%,0.8%,0.0%,91,,,,,,,,,,,
25,Eau minérale pétillante - Saguaro,56530643,,['Saguaro'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Boissons sans sucre ajouté']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,,0,-100%,0,-100%,0,-100%,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,,,,
26,Les recette de l'atelier - Nestlé,56533439,,['Nestlé'],,['France'],[],,,[],,,,,,,,,,?,,542,,2268 kj(542 kcal),,35,,17,,45,,42,,"7,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
27,Nem porc,56565843,C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",['France'],[],,,[],,6.7 g,en quantité modérée,1.4 g,en faible quantité,4.2 g,en faible quantité,1.9 g,en quantité élevée,?,,168,-24%,703 kj(168 kcal),-24%,"6,7",-41%,"1,4",-48%,"25,6",+18%,"4,2",+31%,"6,5",-8%,"1,9",+38%,"0,76",+38%,11,+54%,D,+54%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,,,,,,,,
28,Haricots verts extra-fins - Saint Eloi,56569674,B,['Saint Eloi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",['France'],[],,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en faible quantité,0.75 g,en quantité modérée,?,,26,+8%,109 kj(26 kcal),+10%,"0,5",+99%,"0,1",+83%,3,+13%,"0,8",+4%,"1,6",+8%,"0,75",+12%,"0,3",+12%,-2,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,,,,,,,,
29,Riz blanc parfumé - Quitoque,56569797,,['Quitoque'],,['France'],[],,,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"0,75",,0,,"77,5",,"0,1",,"7,5",,"0,05",,"0,02",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
30,Seve de fleur de cocotier,5663334745563,,,,['France'],[],,,[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,"0,8",,"0,4",,92,,89,,"1,8",,"0,28",,"0,112",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,
31,Macaccino Original,5666313475017,,,,['France'],[],,,[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,4,,"2,4",,"59,8",,"45,9",,"13,3",,"0,16",,"0,064",,,,,,,,,,,,,"['Bio', 'Bio européen', 'PT-BIO-04']",,,,,,,,,,
32,"0,500kg",5669223038471,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"0,500 kg",,,,,,,,,
33,Amande  - Blue diamond - 150g,56650860,E,['Blue diamond'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,150g,,,,,,,,,
34,Dégustation Scholetta Noir Framboise,56664607,,['Scholetta'],,['France'],[],,,[],,,,,,,,,,?,,530,,2218 kj(530 kcal),,34,,21,,46,,43,,6,,"0,08",,"0,032",,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
35,Pomegranate Green Tea - AriZona - 500ml,5675001730758,C,['AriZona'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons au thé', 'Thés glacés', 'Boissons sans sucre ajouté']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,500 ml,['Bouteille'],,,,,https://www.drinkarizona.com/product/pomegranate-green-tea,,,
36,Chocolat noir orange confite - Le Comptoir De Mathilde,5675718709184,,['Le Comptoir De Mathilde'],,['France'],"['Chocolat noir 85% ', 'pâte de cacao 64%', 'sucre', 'beurre de cacao 9%', 'émulsifiant : lécithine de SOJA', 'arôme naturelle de vanille', 'Cacao 70% min', 'oranges confites 15% ', 'oranges', 'sucre', 'sirop de glucose', 'dextrose', "" Peut contenir des traces d'arachide"", 'de fruits à coque', ""d'œufs"", 'de lait et de gluten']",['E322i - Lécithine'],['Soja'],[],4,,,,,,,,,?,,533,,2230 kj(533 kcal),,37,,22,,37,,30,,"6,6",,"0,03",,"0,012",,,,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,
37,Mélange Sambahia,5680123021325,,,,['France'],[],,,[],,,,,,,,,,?,,465,,1946 kj(465 kcal),,18,,"6,6",,"65,9",,"12,7",,8,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,
38,arizona -  - 500  ml,5685000739058,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,500  ml,,,,,,,,,
39,"Original Brandt Arizona Iced Tea - 1,5L",5685000740696,,['AriZona'],"['Boissons', 'Thés glacés']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"1,5L",,,,,,,,,
40,Fromage Blanc 0% de Mat. Gr,56850505,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,"0,5",,"0,5",,"4,5",,"4,5",,"7,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
41,Speltmùsli,5690350050197,,,,['France'],[],,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"2,5",,"0,3",,"58,6",,"15,8",,"13,6",,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,
42,Tröllahafrar,5690350053273,,,,['France'],[],,,[],,,,,,,,,,?,,374,,1565 kj(374 kcal),,8,,"1,6",,60,,"1,1",,11,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
43,Icelandic Glacial Water - Icelandic Water Holdings,5690351231106,,['Icelandic Water Holdings'],,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,"0,01",,"0,01",,"0,01",,"0,01",,"0,01",,,,,,,,,,,,,,,,,,,['pet-bottle'],,,,,,,,
44,Mints,5690450450545,,,,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
45,Nordic Cookies,5690450468977,,,,['France'],[],,,[],,,,,,,,,,?,,520,,2176 kj(520 kcal),,26,,"12,1",,67,,"23,9",,"4,5",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,
46,Oeuf de lompe noirs - York,5690510120036,,['York'],"['Conserves', 'Frais', 'Œufs de poisson', 'Semi-conserves', 'Œufs de lump', 'Oeufs de lompes noirs']",['France'],"['œufs de lompes ', 'Cyclopterus lumpus', ' tau', 'Sel', 'Epaississant : E415', 'Conservateur : E211', 'Acidifiant : Acide citrique ', 'E330', 'Epices', 'Colorants ', ' El 51', 'E150d', ' Contient : Poisson Aconsommer au frais entre OOC et +40C Aconsommer dans les 48h']","['E415 - Gomme xanthane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium""]",,"['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,0.7 g,en faible quantité,0 g,en faible quantité,5 g,en quantité élevée,?,,80,+4%,335 kj(80 kcal),+4%,4,+7%,"0,7",-16%,1,+22%,0,-100%,10,+3%,5,+10%,2,+10%,5,-32%,C,-32%,,,,,,,,,,,,,,,,,,
47,Skyr Bananasplitt - KEA - 200g,5690512055114,,['KEA'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,
48,Camembert,5690516040451,,,,['France'],[],,,[],,,,,,,,,,?,,305,,1276 kj(305 kcal),,25,,15,,"0,1",,"0,1",,20,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,
49,Paprika pepper cheese,5690516060459,,,,['France'],[],,,[],,,,,,,,,,?,,375,,1569 kj(375 kcal),,32,,0,,0,,0,,20,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,
50,Með papriku,5690516061951,,,,['France'],[],,,[],,,,,,,,,,?,,229,,958 kj(229 kcal),,18,,11,,0,,0,,16,,"2,8",,"1,12",,,,,,,,,,,,,,,,,,,,,,,
51,"Skyr, Natur",5690527362009,,,,['France'],[],,,[],,,,,,,,,,?,,61,,255 kj(61 kcal),,"0,2",,0,,"0,1",,"0,1",,"11,1",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
52,Isey skyr vanilla,5690527670005,,,,['France'],[],,,[],,,,,,,,,,?,,56,,234 kj(56 kcal),,"0,2",,"0,1",,"3,7",,"3,3",,"9,8",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,
53,Skyr kókos - KEA,5690527687003,,['KEA'],,['France'],"['KEA Skyr með kókos ', '2% kókosmjólk', ' Innihald: Skyr ', 'undanrenna', 'skyrgerlar', 'ostahleypir', 'sykrað bragðefni ', 'sykur', 'kókosmjólk', 'maíssterkja', 'sítrónusafi', 'bragðefni', 'sætuefni ', 'stevíólglýkósíð', ' Með sykri og sætuefni']",,,[],,,,,,,,,,?,,86,,360 kj(86 kcal),,1,,"0,8",,"7,6",,"7,5",,"11,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
54,Skyr,5690527693004,,,,['France'],[],,,[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"0,2",,"0,1",,13,,12,,"9,6",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,,,,,
55,Skyr,5690527732000,D,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages à la crème', 'Skyr']",['France'],[],,,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,4.6 g,en faible quantité,0.08 g,en faible quantité,?,,62,-9%,259 kj(62 kcal),-9%,"0,2",-46%,"0,1",-45%,"4,7",-27%,"4,6",-21%,10,+7%,"0,08",-25%,"0,032",-25%,-4,,A,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
56,Skyr sitronusaela - Skyr.is,5690527734004,,['Skyr.is'],,['France'],"['Undanrenna', 'vatn', 'sitrônur', '40%', ' kex ', '1,5%', ' ', 'sykur', 'hveiti', 'hrïsmjôl 0 eggjahvita', 'baunamjôl', 'hveitisterkja', 'kartoflusterkja solblomaolia', 'bragòefni', 'bindiefni ', 'natrium alginat', 'salt', 'maissterkja,saetuefni', ' sukralosi', 'asesülfam-K', ' litarefni ', 'küRkumin', 'skyrgerlan']",,,[],,,,,,,,,,?,,60,,251 kj(60 kcal),,"0,2",,"0,1",,"4,9",,"3,9",,"9,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
57,Slavi pomme - Svali - 250ml,5690530124410,,['Svali'],,"['France', 'Islande']",[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,"11,1",,"11,1",,0,,0,,0,,,,,,,,,,,,,['en:Gæði'],250ml,,,,,,,,,
58,Maltextrakt,5690541001281,,,,['France'],[],,,[],,,,,,,,,,?,,1235,,5167 kj(1235 kcal),,0,,0,,70,,57,,"2,5",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,
59,Ananas pykkni,5690541005210,,,,['France'],[],,,[],,,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,"6,3",,"6,3",,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,
60,Heilsusafi,5690541006149,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,"10,2",,"9,4",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Virkni goji - Floridana - 1L,5690541007047,,['Floridana'],"['Boissons', 'Boissons sans sucre ajouté']",['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité élevée,0 g,en faible quantité,?,,45,+2%,188 kj(45 kcal),-5%,0,-100%,0,-100%,"10,6",+23%,"10,3",+52%,"0,3",-40%,0,-100%,0,-100%,14,+154%,E,+154%,,,,,,,,,1 L,,,,,,,,,
62,Appelsín,5690541008365,,,,['France'],[],,,[],,,,,,,,,,?,,46,,192 kj(46 kcal),,0,,0,,46,,"11,5",,0,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
63,Heilsusafi,5690541009782,,,,['France'],[],,,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,10,,"9,4",,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
64,Hrís,5690545005254,,,,['France'],[],,,[],,,,,,,,,,?,,498,,2084 kj(498 kcal),,24,,14,,66,,37,,6,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
65,omega3 forte - Lysi - 1000mg,5690548854835,,['Lysi'],,['France'],"['1000mg omega-3 fish oil ', 'as ethyl esters', 'gelatin ', 'bovine', 'humectant ', 'glycerol', 'antioxidant ', 'mixed tocopherols']","['E428 - Gélatine', 'E306 - Extrait riche en tocophérols']",,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1000mg,,,,,,,,,
66,Huile de foie de cabillaud - Lysi - 240ml,5690548857973,A,['Lysi'],"['Matières grasses', 'Produits de la mer', 'Matières grasses animales', 'Huiles de poissons']",['France'],"[""huile de foie de morue âgée d'un an"", 'huile de thon', 'acétate de D-alpha tocophérol ', 'vitamine E', 'palmitate de rétinol ', 'vitamine A', 'cholécalciférol ', 'vitamine D']",,,[],2,92 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,,,3400,,?,,3400 kj(813 kcal),+918%,92,+120%,20,+344%,0,-100%,0,-100%,0,-100%,,,,,,,,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,240 ml,"['Bouteille', 'Verre']",,,Huile de poisson,['Islande'],,['Auchan'],,
67,Oméga 3 confort oculaire,5690548860898,,,,['France'],[],,,[],,,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,0,,0,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
