,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,ingredients_origins,traceability_code,markets,link,producer_info,origin_detail
1783,Fromage blanc de campagne,3323290001951,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,97,,406 kj(97 kcal),,7,,"5,1",,"3,4",,"3,4",,5,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,
1784,Riz Long SURINAM - Palmier,3324001100116,C,,,,['Palmier'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,['France'],[],,,[],,0.6 g,en faible quantité,0.6 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,?,,361,+7%,1510 kj(361 kcal),+6%,"0,6",-43%,"0,6",+151%,"79,2",+8%,"0,4",+39%,"7,8",+7%,"0,1",+426%,"0,04",+426%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
1785,Filets de maquereaux fumes a la provencale - E.Fournier Et Fils,3324030012534,D,,,,['E.Fournier Et Fils'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,['France'],"['Maquereau 95% ', 'sel 3%', 'épices provençales ', 'oignon', 'curcuma et paprika', ' 2%']",,['Poisson'],"['Non végétalien', 'Non végétarien']",3,22.5 g,en quantité élevée,5.3 g,en quantité élevée,0.1 g,en faible quantité,2.6 g,en quantité élevée,?,,289,+30%,1209 kj(289 kcal),+31%,"22,5",+37%,"5,3",+44%,"1,1",+2%,"0,1",-81%,"20,8",+27%,"2,6",+134%,"1,04",+134%,18,+189%,D,+189%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,
1786,Brie -,3324040112149,,,,,,,['Fabriqué en France'],,['France'],[],,,[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,"27,97",,"23,22",,"1,8",,"0,55",,"19,81",,"1,4",,"0,56",,,,,,,,,,,,,,,"['FR 70.062.001', 'Belmont (Haute-Saône, France)']",,,,
1787,Thon entier - Hadar,3324321233235,D,,,,['Hadar'],"['Produits de la mer', 'Poissons', 'Thons', 'Thons entiers']",,,['France'],[],,,[],,15 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,989,+499%,4138 kj(989 kcal),+508%,15,+122%,2,+101%,"0,5",+419%,"0,5",+742%,25,-1%,1,-6%,"0,4",-6%,15,+1045%,D,+1045%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,
1788,Break Up Crêpes chocolat & almond chunks - Whaou! - 160g,3324332009560,C,Crêpes fourrées chocolat et morceaux d'amandes,160 g,['Carton'],['Whaou!'],"['Snacks', 'Snacks sucrés', 'Plats préparés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Crêpes et galettes', 'Crêpes', 'Crêpes fourrées', 'Crêpes fourrées au chocolat']","['Sans conservateurs', 'en:palm-oil-free']",,['France'],"['Fourrage ', '55%', ' : fourrage chocolat 77% [sucre', 'huile de tournesol', 'chocolat 13,5% ', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'arôme', 'lactose', 'poudre de lait écrémé', 'pâte de noisettes]', ""brisures d'amande enrobées 23% [brisures d'amande"", 'chocolat noir de couverture ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ']', '\rCrêpe ', '45%', ' : lait frais entier', 'farine de blé', 'spécialité sucrière ', 'sucre', 'caramel', 'sirop de sucre inverti', 'oeufs extra-frais 7%', 'huile de tournesol', 'beurre pâtissier', 'poudre de cacao 4,7%', 'sel', 'poudre à lever ', 'bicarbonate de soude']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Sans huile de palme', 'Non végétalien']",4,25 g,en quantité élevée,5.9 g,en quantité élevée,43 g,en quantité élevée,0.75 g,en quantité modérée,2024,+17%,?,,2024 kj(484 kcal),+10%,25,+22%,"5,9",-4%,57,+1%,43,+20%,"7,1",+5%,"0,75",-7%,"0,3",-7%,23,+14%,E,+14%,76.5%,14.2%,4.3%,3.0%,2.0%,0.0%,53,,,"['FR 29.181.601 CE', 'Plouédern (Finistère, France)']",,,,
1789,Comté Jean Perrin - 200g,3324440503196,C,,200 g,['Plastique'],['Jean Perrin'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']","['Point Vert', 'AOP']",,['France'],"['LAIT cru de vache', 'sel', 'ferments lactiques', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,"34,6",+6%,"22,5",+4%,0,-100%,0,-100%,"26,7",+6%,"0,82",-16%,"0,328",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,['France'],"['FR 25.155.001 CE', 'Cléron (Doubs, France)']",['Casino'],,,
1790,Confiture Pasteque à l'orange - Les Comtes de Provence - 340g,3324490000102,D,Confiture Pasteque à l'orange,340 g,"['Verre', 'Bocal', 'Pot']",['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de pastèque']","['Agriculture UE/Non UE', 'Point Vert', 'Fabriqué en France']","['Peyruis', 'Provence', 'France']",['France'],"['fruits 65% ', 'pastèque 54%', 'orange 11%', ' ', 'sucre de canne', 'acidifiant: jus concentré de citron', 'gélifiant : pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0.02 g,en faible quantité,?,,223,,933 kj(223 kcal),+3%,0,-100%,0,-100%,56,-1%,56,-1%,0,-100%,"0,02",,"0,008",,10,,C,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"[""Matières premières issues de I'Agriculture UE et Non UE.""]",,,,,
1791,Confiture melon vanillé - Les Comtes de Provence - 340g,3324490000539,C,confiture de melon,340 g,"['Bocal verre', 'Couvercle métal']",['Les Comtes de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de melon']",,"['France', 'Peyruis', 'Provence']",['France'],"['melon ', '55 %', 'sucre de canne', 'acidifiant : jus concentré de citron', 'extrait de vanille ', '0,69 %', 'gélifiant : pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,53 g,en quantité élevée,0 g,en faible quantité,?,,216,-11%,904 kj(216 kcal),-6%,0,-100%,0,-100%,53,-5%,53,-3%,0,-100%,0,-100%,0,-100%,10,-5%,C,-5%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['Monoprix'],,,
1792,Confit De Figues - Les Comtes De Provence - 250g,3324492500112,,Confit De Figues,250 g,"['Pot', 'Verre']",['Les Comtes De Provence'],['Produits à tartiner'],,"['France', 'Peyruis', 'Provence']",['France'],"['Figue 53,9%', 'sucre de canne', ""huile d'olive"", 'vinaigre', 'génépi', 'sel', 'jus concentré de citron', 'poivre', 'thym', 'romarin']",,,[],3,5.19 g,en quantité modérée,0.75 g,en faible quantité,48.4 g,en quantité élevée,0.5 g,en quantité modérée,?,,243,-25%,1017 kj(243 kcal),-25%,"5,19",-71%,"0,75",-86%,"48,52",+55%,"48,44",+76%,"0,57",-87%,"0,5",-5%,"0,2",-5%,14,+12%,D,+12%,,,,,,,,,,,,,,
