,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,palm_ingredients,ingredients_origins,traceability_code,markets,link,producer_info,origin_detail
0,Tomato Ketchup Louis Martin 560 GR - 560g 520ml,3142952750118,B,Tomato ketchup,560 g 520 ml,"['Bouteille', 'Plastique']",['Louis Martin'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['Point Vert'],['France'],['France'],"['Purée de tomates 60%', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'sucre', 'amidon transformé de maïs', 'sel', 'arômes naturels ', 'dont lactose et céleri', 'acidifiant : acide citrique', ""arôme naturel d'oignon "", 'dont lactose', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']","['E14XX - Amidons modifiés', 'E330 - Acide citrique']","['Céleri', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.1 g,en faible quantité,0.04 g,en faible quantité,22 g,en quantité élevée,2.55 g,en quantité élevée,?,,110,+4%,460 kj(110 kcal),+5%,"0,1",-59%,"0,04",-37%,"25,3",+11%,22,+12%,"1,3",0%,"2,55",+28%,"1,02",+28%,13,+7%,D,+7%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,
1,Popcorn salé,3143110094754,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,418,,1749 kj(418 kcal),,"19,9",,"9,2",,"49,3",,"1,2",,"8,3",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,
2,Hershey's - 43g,3144550003627,,,43 g,"['Sachet', 'Plastique']","[""Hershey's""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées']",,,['France'],"['Sucrc', 'huilcs végétales ', 'palme', 'karité', 'tournesol et/ou carthame', 'LAIT écrémé', 'sirop de mais', 'farinc de BLÉ enrichie ', 'farinc', 'niacinc', 'sulfatc ferreux', 'thiamine mononitrate', 'riboflavine', 'acide foliquc', 'lactose ', 'LAIT', ""cacao traité à l'alcali"", 'lactosérum ', 'LAIT', 'sirop de mais richc cn fructose', 'bcurrc de cacao', 'émulsifiants : lécithine de SOJA et E476', 'poudre à lever : E500ii', 'sel', 'arômes naturel ct artificicl', 'antioxydant : F,307', 'Fabriqué dans un atelier qui utilisc des fruits à coque,']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,24 g,en quantité élevée,16 g,en quantité élevée,42 g,en quantité élevée,0.6 g,en quantité modérée,?,,534,+6%,2234 kj(534 kcal),+6%,24,-12%,16,+6%,60,+8%,42,-7%,6,-12%,"0,6",+86%,"0,24",+86%,27,+11%,E,+11%,,,,,,,,['Huile de palme'],,,,,,
3,Pulpe d’ail - Éric Bur,3144550005164,,,,,['Éric Bur'],,,,['France'],[],,,[],,,,,,,,,,?,,203,,849 kj(203 kcal),,"13,7",,"3,5",,"13,7",,"1,4",,"5,9",,"2,95",,"1,18",,,,,,,,,,,,,,,,,,,
4,Eric Bur Creme Artichaud 90G,3144550005287,,,,,['Eric bur'],,,,['France'],[],,,[],,,,,,,,,,?,,272,,1138 kj(272 kcal),,"27,6",,"4,5",,"1,9",,"0,9",,2,,"1,375",,"0,55",,,,,,,,,,,,,,,,,,,
5,Huile vierge de sesame ERIC BUR,3144550005683,,,,,['Eric bur'],['Matières grasses'],,,['France'],"['llXF/c sesame oil', ' 3 1445 May contain nuts andpeanuts', ' ERIC BURO 14 rue Gambetta le Mesnil Le Roi 78601 FRANCE Tél: +33 ', '0', ' 1 30 22 91 91 www', 'e']",,,[],,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,100,+13%,15,-34%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-3%,D,-3%,,,,,,,,,,,,,,
6,Mûres sans pépins - Eric Bur,3144550005751,D,,,,['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",,,['France'],"['mûres sans pépins', 'sucre', 'gélifiant: pectine de fruits']",['E440 - Pectines'],,[],4,0.18 g,en faible quantité,0.01 g,en faible quantité,61 g,en quantité élevée,1 g,en quantité modérée,?,,254,+9%,1063 kj(254 kcal),+10%,"0,18",-36%,"0,01",-84%,61,+10%,61,+16%,"0,84",+41%,1,+2841%,"0,4",+2841%,16,+62%,D,+62%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
7,Confiture extra de fraises ERIC BUR,3144550005874,D,,,,['Eric bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['fraises', ' sucre', 'gélifiant: pectine de fruits']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0.03 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,244,+12%,1021 kj(244 kcal),+12%,"0,2",-17%,"0,03",-33%,59,+11%,59,+16%,"0,45",+2%,0,-100%,0,-100%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
8,Marmelade de mandarines ERIC BUR,3144550006048,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,271,,1134 kj(271 kcal),,"0,1",,"0,03",,66,,66,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,
9,Pain d'épices aux figues - Eric Bur - 300g,3144550008226,B,,300 g,"['Sachet', 'Plastique']",['Eric Bur'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices"", 'Prianiki']",,,['France'],"['Sirop de glucose-fructose', 'farine de seigle', 'figues séchées ', 'figues', 'farine de riz', 'eau', 'poudres à lever ', 'carbonate acide de sodium', 'diphosphate disodique']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.1 g,en faible quantité,0.3 g,en faible quantité,47 g,en quantité élevée,0.5 g,en quantité modérée,1355,-0%,?,,1355 kj(324 kcal),-3%,"1,1",-45%,"0,3",-56%,71,-2%,47,+10%,"3,2",-10%,"0,5",+7%,"0,2",+7%,16,+21%,D,+21%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,
10,Piment fort concassé hot ground pepper - Éric Bur,3144550010809,,,,,['Éric Bur'],,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
11,Confiture extra de clémentine de corse - Eric Bur - 360g,3144550016412,D,,360 g,,['Eric Bur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de clémentine']",['Point Vert'],,['France'],"['Clémentines', 'sucre de canne', 'sirop de glucose', 'jus de citron', 'gélifiant: pectine de fruit', ' Peut contenir des traces de fruits à coque et de lait', ' Peut contenir des pépins']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.8 g,en faible quantité,0.2 g,en faible quantité,52 g,en quantité élevée,0 g,en faible quantité,?,,252,+7%,1054 kj(252 kcal),+7%,"0,8",+152%,"0,2",+218%,61,+6%,52,-4%,"0,5",+7%,0,-100%,0,-100%,12,+14%,D,+14%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
12,Miel d'acacia - Eric BUR - 300g,3144550019307,B,Miel d'acacia,300g,"['Bocal verre', 'Couvercle métal']",['Eric BUR'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels roumains', 'Miels liquides']",,,['France'],"[""Miel d'acacia 100%""]",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.006 g,en faible quantité,?,,323,+2%,1351 kj(323 kcal),+2%,0,-100%,0,-100%,80,-0%,80,+5%,"0,4",+31%,"0,006",-59%,"0,002",-59%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Roumanie'],,,,,
13,Poliakov Ice Fresh Effect - 0.7l,3147699113141,,,0.7l,['Bouteille'],['Poliakov'],,,['Belgique'],['France'],['?'],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['LM 94220 FR'],['Magasins U'],,,
14,Roquefort (32% MG) - Gabriel Coulet - 150g,3151380003437,D,AOP Roquefort au lait cru de brebis,150 g,"['Plastique', 'Frais']",['Gabriel Coulet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages au lait cru', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['AOP'],['France'],['France'],['Lait cru de brebis'],,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,32 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,3.45 g,en quantité élevée,1507,-0%,360,-2%,1507 kj(360 kcal),-2%,32,+0%,24,+8%,0,-100%,0,-100%,19,-2%,"3,45",-3%,"1,38",-3%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,"['FR 12.203.036 CE', 'Roquefort-sur-Soulzon (Aveyron, France)']",['Auchan'],,,
15,Biscuits cuillers - Cantreau,3152280012178,,,,,['Cantreau'],,,,['France'],"['sucre', 'œufs frais 34%', 'farine de blé', 'sirop de sucre inverti', 'stabilisant: glycérol', 'arôme', 'sel', 'acidifiant: tartrates de potas - sium', 'épaississant: gomme xanthane']","['E422 - Glycérol', 'E334 - Acide L-tartrique', 'E415 - Gomme xanthane']","['Œufs', 'Gluten']",['Non végétalien'],4,,,,,,,,,?,,354,,1481 kj(354 kcal),,"3,6",,"1,2",,"71,2",,"48,1",,"7,3",,"0,175",,"0,07",,,,,,,,,,,,,,,,,,,
16,Ecochard tortellini au reblochon - 250g,3153575630619,,Pâtes fourrées avec une préparation au reblochon,250g,"['Frais', 'Barquette']",['Ecochard'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes aux œufs', 'Tortellini', 'Pâtes de Savoie']",,['Chambéry'],['France'],"['Pâte 60% ', 'semoule de BLÉ dur de qualité supérieure 46%', 'eau', 'OEUFS frais 6', '5% ', 'soit 140g d’œufs/kg de semoule', 'REBLOCHON 22%', 'chapelure ', 'farine de BLÉ', 'eau', 'sel', 'FROMAGE frais', 'flocons de pomme de terre ', 'pomme de terre déshydratée', 'émulsifiant : E471', 'sel', 'muscade', 'ail']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,7.3 g,en quantité modérée,4.8 g,en quantité modérée,1.8 g,en faible quantité,0.98 g,en quantité modérée,?,,283,+12%,1184 kj(283 kcal),+13%,"7,3",+3%,"4,8",+58%,41,+14%,"1,8",-35%,12,+25%,"0,98",-14%,"0,392",-14%,9,+41%,C,+41%,,,,,,,,,,"['EMB 73065A', 'Chambéry (Savoie, France)']",['Intermarché'],,,
17,Masa de hojaldre redonda - Buitoni - 1,3154230007944,,,1,['plàstic'],['Buitoni'],,,,"['France', 'Espagne']",[],,,[],,,,,,,,,,?,,396,,1657 kj(396 kcal),,"28,4",,"9,9",,"35,2",,"0,2",,"7,1",,"1,11",,"0,444",,,,,,,,,,,,,,,,,,,
18,Tripes à la mode de Caen cuisinées au Calvados - Paillard,3155060000334,E,,,,['Paillard'],"['Plats préparés', 'Poissons et viandes et oeufs', 'Produits à la viande', 'Plats préparés à la viande', 'Abats', 'Spécialités à base de tripes', 'Produits tripiers', 'Tripes à la mode de Caen', 'Tripes']",,,['France'],"['Estomacs et pieds de bœuf ', '72%', 'fond de sauce : eau', 'carottes', 'oignons', 'vin aromatisé', 'sel', 'calvados 0,4%', ""extraits naturels d'épices et d'aromates"", 'acidifiant : acide citrique', ""pulpe d'ail""]",['E330 - Acide citrique'],,[],3,3 g,en quantité modérée,1.5 g,en quantité modérée,0.05 g,en faible quantité,1.1 g,en quantité modérée,?,,109,+9%,456 kj(109 kcal),+9%,3,-9%,"1,5",+6%,"0,05",-93%,"0,05",-87%,20,+22%,"1,1",-4%,"0,44",-4%,0,-100%,B,-100%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,,,,,
19,Camembert - Le Châtelain - 250g,3155250001400,D,"Fromage industriel de France, à pâte molle à croûte fleurie, au lait pasteurisé de vache",250 g,"['Frais', 'Boîte', 'Bois', 'Agrafe', 'Métal', 'Papier']","['Le Châtelain', 'Lactalis']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages pasteurisés', 'Fromages industriels', 'Camemberts pasteurisés']","['Point Vert', 'Eco-Emballages', 'Fabriqué en Normandie']","[""Société Fromagère de Domfront (Filiale Groupe Lactalis) - Rue de l'Industrie - 61700 Domfront"", 'Orne', 'Basse-Normandie', 'France']",['France'],"['Lait de vache pasteurisé', '\r45 % de matière grasse et 20 % dans le produit fini']",,,['Non végétalien'],3,21 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,265,-3%,1109 kj(265 kcal),-3%,21,-2%,15,-1%,"0,5",-3%,"0,5",+90%,19,-2%,"1,4",-2%,"0,56",-2%,14,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 61.145.001 CE', 'Domfront (Orne, France)']",['Carrefour'],,,
20,Crème épaisse - Bridelight - 500ml,3155250310342,C,Spécialité à base de crème légère à 7% M.G,500 ml,['Pot'],"['Bridelight', 'Lactalis']","['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes aigres', 'Crèmes allégées en matière grasse', 'Crèmes légères']","['en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2015""]",,['France'],"['Crème légère ', '58,3%', 'lait écrémé', 'eau', 'amidon modifié', 'épaississant', 'agar-agar', 'pectine', 'arôme', 'ferments lactiques']","['E14XX - Amidons modifiés', 'E406 - Agar-agar', 'E440 - Pectines']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,7 g,en quantité modérée,4.7 g,en quantité modérée,4.3 g,en faible quantité,0.12 g,en faible quantité,?,,99,,414 kj(99 kcal),-45%,7,-57%,"4,7",-58%,"6,4",+38%,"4,3",+12%,"2,5",-13%,"0,12",+20%,"0,048",+20%,4,-63%,C,-63%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,,,
21,Camembert (21 % MG) - Sans marque - 240g,3155250324462,C,Camembert au lait de vache pasteurisé,240 g,"['Frais', 'Papier plastifié']","['Sans marque', 'LF']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages pasteurisés', 'Fromages industriels', 'Camemberts pasteurisés']","['Point Vert', 'Eco-Emballages', 'Fabriqué en Normandie']","[""Société Fromagère de Domfront (Filiale Groupe Lactalis) - Rue de l'Industrie - 61700 Domfront"", 'Orne', 'Basse-Normandie', 'France']",['France'],['Lait de vache pasteurisé'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,21 g,en quantité élevée,15 g,en quantité élevée,0.03 g,en faible quantité,1.4 g,en quantité modérée,?,,265,-3%,1109 kj(265 kcal),-3%,21,-2%,15,-1%,"0,1",-81%,"0,03",-89%,19,-2%,"1,4",-2%,"0,56",-2%,14,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 61.145.001 CE', 'Domfront (Orne, France)']",['Carrefour'],,,
22,Crème Entière fluide fluide - Bridélice - 40cl (2x20cl),3155250346457,C,Crème entière à 30% de MAT. GR. stérilisée UHT,40 cl (2x20cl),"['Plastique', 'Bouteille plastique']",['Bridélice'],"['Produits laitiers', 'Crèmes', 'Crème de lait semi-épaisse', 'Crèmes UHT', 'Crèmes entières', 'Crèmes liquides']",,,['France'],"['Crème de lait', 'stabilisant : carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,30 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1191,+44%,?,,1191 kj(285 kcal),+26%,30,+35%,0,-100%,"2,8",-36%,0,-100%,2,-20%,0,-100%,0,-100%,2,-82%,B,-82%,68.3%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,"['FR 35.360.001 CE', 'Vitré (Ille-et-Vilaine, France)', 'FR 65.300.001 CE', 'Marsas (Hautes-Pyrénées, France)']",['Carrefour Market'],,,
23,Lait chocolaté - Lactel,3155250365434,D,,,,['Lactel'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Laits aromatisés au chocolat', 'Boissons avec sucre ajouté']",['Fabriqué en France'],,['France'],"['lait écrémé de vache', 'sucre', 'chocolat en poudre', 'stabilisants : cellulose', 'E466', 'E407', ' Présence possible de soia']","['E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.12 g,en faible quantité,?,,69,-5%,289 kj(69 kcal),-7%,"0,5",-71%,0,-100%,"13,3",+21%,0,-100%,3,-7%,"0,12",-6%,"0,048",-6%,9,-27%,D,-27%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,,,,,,,
24,Beurre président - 250g,3155250367018,E,,250 g,"['Plastique', 'Plaquette', 'Barquette', 'pièce', 'Frais']",['Président'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de crème douce']",,['France'],['France'],['Beurre'],,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,82 g,en quantité élevée,57 g,en quantité élevée,0.5 g,en faible quantité,0.03 g,en faible quantité,?,,743,+1%,3109 kj(743 kcal),+2%,82,+1%,57,+3%,"0,5",-29%,"0,5",-22%,"0,7",+1%,"0,03",-46%,"0,012",-46%,19,+1%,E,+1%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,"['FR 50.256.001 CE', 'Isigny-le-Buat (Manche, France)']",,,,
25,Miette Crabe Grade C 121GR* - Coté Mer - 170g,3155540950883,,,170 g,,['Coté Mer'],,,,['France'],"['Crabe ', 'crustacés', 'eau', 'sucre', 'sel', 'de goût : E640', 'E631', 'acidifiant : E330', 'antiorgdants : E223', 'disulfite de sodiunt', 'E385', ' Egoutter avant utilisation']","['E640 - Glycines et son sel de sodium', 'E631 - Inosinate disodique', 'E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",['Crustacés'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,33.529411764706,,140 kj(33 kcal),,"0,588",,"0,118",,"0,294",,"0,294",,"6,471",,"0,125",,"0,05",,,,,,,,,,,,,,,,,,,
26,Huile De Noix 500 ml - Huilerie de Lapalisse - 50cl,3155700000038,D,,50 cl,,['Huilerie de Lapalisse'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",,,['France'],['HUILE DE NOIX'],,['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,92 g,en quantité élevée,8.9 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-6%,3464 kj(828 kcal),-6%,92,-6%,"8,9",-6%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,5,-7%,C,-7%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,['Intermarché'],,,
27,Carottes en Rondelles - Jean-Nicolas - 400g (240g égoutté),3156250007744,B,,400 g (240 g égoutté),['Conserve'],['Jean-Nicolas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Carottes', 'Carottes en conserve']",['Fabriqué en France'],,['France'],[],,,[],,0.1 g,en faible quantité,0 g,en faible quantité,3.3 g,en faible quantité,0.7 g,en quantité modérée,?,,25,-32%,105 kj(25 kcal),-31%,"0,1",-74%,0,-100%,4,-29%,"3,3",+1%,"0,8",-37%,"0,7",+22%,"0,28",+22%,-4,,A,,23.7%,34.6%,15.8%,8.2%,11.2%,6.5%,87,,,,,,,
28,Juvamine Ventre Plat Fenouil Argile. Boîte De 30 CPS,3160920643224,,,,,['Juvamine'],,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
29,Juvamine Huile De Foie De Morue. Boîte De 30 Gel,3160920643804,B,,,,['Juvamine'],"['Matières grasses', 'Produits de la mer', 'Poissons', 'Matières grasses animales', 'Morues', 'Foies de poissons', 'Foies de morue', 'Huiles de poissons', 'Huiles de foie de cabillaud']",,,['France'],[],,,[],,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,,,?,,100,+669%,418 kj(100 kcal),+25%,1,-98%,1,-78%,1,+1880%,1,+199900%,2,+25%,,,,,,,,,43.8%,28.4%,11.3%,10.5%,6.0%,0.0%,92,,,,,,,
30,Juvamine brule Graisse -14 Sticks,3160920711749,,,,,['Juvamine'],,,,['France'],[],,,[],,,,,,,,,,?,,3,,13 kj(3 kcal),,"0,01",,"0,01",,"0,01",,"0,01",,"0,01",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
31,Draineur actif - Celliflore,3160920713149,,,,,['Celliflore'],,,,['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
32,Celliflore Thé Vert Minceur Active,3160920713187,,,,,['Celliflore'],['Boissons'],,,['France'],[],,,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,2,-96%,8 kj(2 kcal),-97%,"0,1",-71%,"0,1",-15%,"0,1",-99%,"0,1",-99%,"0,1",-80%,0,-100%,0,-100%,2,-74%,C,-74%,,,,,,,,,,,,,,
33,Soupe perte de poids - Juvamine,3160920751608,,,,,['Juvamine'],,,,['France'],[],,,[],,,,,,,,,,?,,299,,1251 kj(299 kcal),,"0,4",,0,,"61,4",,"10,5",,5,,9,,"3,6",,,,,,,,,,,,,,,,,,,
34,Juvamine bio Thé Ventre Plat 20 Sachets,3160920770203,,,,,['Juvamine'],['Boissons'],['Bio'],,['France'],"['Thé vert de Chine JiangXi* : 61% ', ' Fenouil* : 23% ', ' Menthe poivrée* : 5% ', ' Arôme naturel de citron : 7% ', "" 'cardamome* : 4%,""]",,,[],4,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-98%,4 kj(1 kcal),-98%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,1,-87%,B,-87%,,,,,,,,,,,,,,
35,Juvamine Bio Infusion Digestion 20 Sachets - 30g,3160920771842,,,30 g,,['Juvamine'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-020-CV', 'Agriculture UE/Non UE', 'FR-BIO-10']",,['France'],[],,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,"0,005",,"0,002",,,,,,,,,,,,,,,,,,,
36,Pastille Vichy,3161879292037,E,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['France'],[],,,[],,0.6 g,en faible quantité,0 g,en faible quantité,98.5 g,en quantité élevée,0 g,en faible quantité,?,,400,+12%,1674 kj(400 kcal),+12%,"0,6",-68%,0,-100%,"98,5",+18%,"98,5",+70%,0,-100%,0,-100%,0,-100%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
37,Fromage Pointe De Brie - leader price - 200g,3161919367916,D,,200g,,['leader price'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,,['France'],[],,,[],,32 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,356,+14%,1490 kj(356 kcal),+15%,32,+24%,22,+21%,"0,1",-86%,0,-100%,17,-10%,"1,3",-18%,"0,52",-18%,14,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,['Leader Price'],,,
