,name,bar_code,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,brand_owner,markets,generic_name,traceability_code,link
104,Enchilada bowl -,0782045113814,,,['France'],[],[],,,,,,,,,?,,219,,916 kj(219 kcal),,12,,"7,1",,16,,"1,2",,11,,"1,15",,"0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Indian jodhpur lentils yellow lentils & spices simmered in tomato sauce, indian jodhpur - Tasty Bite",0782733000075,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Lentilles']","['Australie', 'France', 'États-Unis']","['Water', 'lentils', 'tomatoes', 'sunflower oil', 'garlic', 'salt', 'cumin', 'chili peppers', 'mustard', 'coriander', 'turmeric']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.5 g,en faible quantité,0 g,en faible quantité,3.57 g,en faible quantité,0.807 g,en quantité modérée,?,,93,-62%,389 kj(93 kcal),-62%,"2,5",+70%,0,-100%,"12,86",-61%,"3,57",+188%,"4,29",-76%,"0,808",+179%,"0,323",+179%,-1,,A,,,,B,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,['Tasty Bite'],,,['Moutarde'],3,,,Preferred Brands International,['Woolworths'],,,
106,"Medium indian bengal whole lentils simmered in a sauce of aromatic herbs & spices, medium, indian bengal lentils - Tasty Bite",0782733000099,,['Plats préparés'],"['France', 'États-Unis']","['Water', 'whole lentils', 'tomatoes', 'onions', 'sunflower oil', 'chickpeas', 'garlic', 'salt', 'spices', 'ginger', 'chili peppers', 'turmeric']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4.29 g,en quantité modérée,0.36 g,en faible quantité,2.86 g,en faible quantité,0.807 g,en quantité modérée,?,,114,-29%,477 kj(114 kcal),-29%,"4,29",-40%,"0,36",-84%,"14,29",+7%,"2,86",+38%,5,-28%,"0,808",-14%,"0,323",-14%,-4,-202%,A,-202%,,,,,,,,,,,['Tasty Bite'],,,,3,,,Preferred Brands International,,,,
107,Hot Sauce Smokey Tom Med - Jehu,0783583183239,,,['France'],"[' tomato juice', 'vinegar', 'chipotle cayenne', 'de arbol', 'guajillo', 'peppers', ' sparr ish paprika', 'molasses', 'cilantro', 'lime', 'onion', 'garlic']",[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,015",,"0,006",,,,,,,,,,,,,,,,['Jehu'],,,,,,,,,,,
108,Coconut Masala Chai Dark Chocolate,0783942636598,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,476,,1992 kj(476 kcal),,"29,5",,"16,9",,50,,"29,5",,"8,2",,"10,7",,"4,28",,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,
109,Prosupps Hydro Bcaa Powder - 30 Servings,0783956105806,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']",['France'],"['Vitamin b6', 'calcium', 'phosphorus', 'magnesium', 'sodium', 'potassium', 'L-Leucine', 'L-Glutamine', 'L-isoleucine', 'L-Valine', 'L-Citrulline', 'citric acid', 'silicate', 'silica', 'acesulfame k', 'soy lechitin', 'fd&c yellow #5', 'sucralose', 'Natural & Artificial Flavor', 'calcium silicate']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,,B,,,,,,,,,,,,['Prosupps'],"['E641 - L-leucine', 'E330 - Acide citrique', 'E950 - Acésulfame K', 'E102 - Tartrazine', 'E955 - Sucralose', 'E552 - Silicate de calcium']",,,4,,,,,,,
110,Rub Your Burger 6.5-oz Burger Seasoning Blend - BBQ SPOT,0783987851901,,"['Epicerie', 'Sauces']",['France'],"['salt', 'including chili pepper', 'dehydrated garlic and Onion', 'brown sugar', 'sugar', 'paprika', 'natural flavors', 'citric acid']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,100,+4032%,40,+4032%,10,-14%,C,-14%,,"['en:gluten-free', 'Arômes naturels']",,,,,,,,,['BBQ SPOT'],['E330 - Acide citrique'],,,4,,,,,,,
111,Cheese Balls - Grand Papa's Snack,0784240001118,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,40,,6,,56,,8,,4,,"13,8",,"5,52",,,,,,,,,,,,,,,,"[""Grand Papa's Snack""]",,,,,,,,,,,
112,Le p'tit yaourt fraise,0784955810548,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,
113,Vapor distilled water - Glaceau - 23.7oz,0786162001511,['pet-bottle'],"['Boissons', 'Eaux']","['France', 'États-Unis']","['Vapor distilled water', 'calcium chloride and magnesium chloride and potassium bicarbonate ', 'electrolyte sources*']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,23.7 oz,,,,,,,,,,['Glaceau'],['E501ii - Carbonate acide de potassium'],,,,,,Energy Brands Inc.-Glaceau,,,,
114,Vitaminwater Refresh Tropical Mango - Glaceau,0786162004857,,,['France'],"['hi-me-or 5¢ dep 02016 alacéau - 2016-g021 glaceau vitaminwater', 'hgredients: reverse osmosis water', 'crystalline fructose', 'ea less than 0,5% of: citric acid', 'potassium phosphate and a lactate and magnesium lactate ', 'electrolyte sou ves', 'atr an vitamin c ', 'ascorbic acid', 'vitamin e ', 'alpha-tocopheryast vitamin b3 ', 'niacinamide', 'vitamin b5 ', 'calclum pantbere vitamin b6 ', 'pyridoxine hydrochloride', 'vitamin b12', ""cyanctem yopene and b-apo-8'-carotenal "", 'color', ' nutrition facts serving size 1 bottle tnota significant source od çalories from fat ', 'saturated fat', 'trans fat', 'cholesterol', 'dietary fiber', 'vitamin a', 'calcium and iron', '""percent daily values are made for glacéau', 'new york', 'ny 10016 • 877-glaceau amount per serving calories 120 based on a 2000 calore det']",[],,,,,,,,,?,,120,,502 kj(120 kcal),,0,,0,,33,,32,,0,,,,,,,,,,,,,,,,,,,,['Glaceau'],"['E330 - Acide citrique', 'E329 - Lactate de magnésium']",,,4,,,,,,,
115,Energy tropical citrus - Glaceau,0786162080325,,,['France'],[],[],,,,,,,,,?,,70,,293 kj(70 kcal),,0,,0,,20,,19,,0,,0,,0,,,,,,,,,,,,,,,,['Glaceau'],,,,,,,,,,,
116,Zero - Glaceau,0786162650740,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,['Glaceau'],,,,,,,,,,,
117,Doggie Style Pale Ale - Flying Dog Brewery - 355ml,0786243111023,"['Bouteille', 'Verre']","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières ambrées', 'Bières américaines', 'Bières artisanales', 'Pale Ale']",['France'],"['Eau', ""malt d'orge"", 'malt de froment', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,355 ml,['Déconseillé aux femmes enceintes'],C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Flying Dog Brewery'],,,['Gluten'],3,,"['Maryland', 'États-Unis']",,['405'],,,http://flyingdogbrewery.com/?beers=doggie-style-classic-pale-ale
118,Snake Dog IPA - Flying Dog Brewery - 12fl oz,0786243111788,"['Bottle', 'Glass']","['Boissons', 'Boissons alcoolisées', 'Bières']","['France', 'États-Unis']","['Water', 'malted barley', 'hops', 'yeast']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,12 fl oz,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Flying Dog Brewery'],,,['Gluten'],,,"['Maryland', 'USA']",,['Les Fleurs du Malt'],Beer,,
119,Easy IPA - Flying Dog Brewery - 355ml,0786243550198,"['Bouteille', 'Verre', 'Capsule', 'Métal']","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales', 'en:India Pale Ale']",['France'],"['eau', ""malt d'orge"", 'malt de froment', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,355 ml,"['Déconseillé à certaines catégories de personnes', 'Déconseillé aux femmes enceintes']",C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Flying Dog Brewery'],,,['Gluten'],3,,['États-Unis'],,['405'],,,http://flyingdogbrewery.com/?beers=easy-ipa-2
120,Mochi Ice Cream With Green Tea -  - 283g,0787325100232,"['Carton', 'Plastique', 'surgelé']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Surgelés', 'Desserts glacés', 'Crèmes végétales', 'Crèmes végétales pour cuisiner', 'Mochi glacés', 'Crèmes végétales à base de riz pour cuisiner']",['France'],"['Crème', 'sucre', 'lait écrémé en poudre', 'farine de riz 7 %', 'sirop de tapioca', ""blanc d'œuf"", 'thé vert 1_%', 'émulsifiants : E410-E412', 'colorant : E140']",['Non végétalien'],11 g,en quantité modérée,6.9 g,en quantité élevée,37 g,en quantité élevée,0 g,en faible quantité,?,,314,+123%,1314 kj(314 kcal),+128%,11,+17%,"6,9",+551%,51,+372%,37,+1221%,"2,9",+439%,0,-100%,0,-100%,17,+1004%,D,+1004%,283 g,,,,,,,,,,,"['E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E140 - Chlorophylles et Chlorophyllines']",,"['Œufs', 'Lait']",4,,,,,Crème glacée au thé vert enrobée de pâte de riz. Mochi glacé au thé vert - Mochi Ice Cream With Green Tea,,
