,name,bar_code,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,brand_owner,markets,generic_name,traceability_code,link
516,Cellmass,0834266042128,,,['France'],[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,0,,0,,"4,8",,0,,"72,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
517,"True Mass (2,6 KG) BSN Nutrition Parfum Chocolat",0834266046553,,,['France'],"['Matrice de protéine contenant ', 'concentré de protéines de lactosérum', 'caséinate de calcium', 'isolat de protéines de lait', 'isolat de protéines de lactosérum', 'isolat de proteines de lactosérum hydrolysé:', 'caséine micellaire', ""blanc d'œuf"", 'glutamine peptides [GLUTEN]', ' ', 'émulsifiant : lécithine de soja', 'maltodextrine', 'succédané de matière grasse ', 'huile de tournesol', 'maltodextrine', 'caséinate de sodium', 'mono et diglycérides', 'tocophérols', 'phosphate tricalcique', 'cacao maigre en poudre', 'arôme [LAIT]', 'épaississants ', 'polydextrose', 'gomme de cellulose', 'gomme de xanthane', 'gomme guar', ""gomme d'acacia"", 'poudre à chaînes moyenne de triglycéride ', 'triglycérides à chaîne moyenne', 'caséinate de sodium', ""emulsifiant [esters d'acide citrique des mono et diglycérides]"", 'antioxydant [tocophérols mixtes]', 'édulcorants ', 'acesulfame de potassium', 'sucralose']",['Non végétalien'],,,,,,,,,?,,425,,1778 kj(425 kcal),,"11,2",,3,,"51,4",,"9,5",,"27,9",,"0,5",,"0,2",,,,,,,,,,,,,,,,['BSN'],"['E322i - Lécithine', 'E307c - Tocophérol', 'E1200 - Polydextrose', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', ""E414 - Gomme d'acacia"", 'E950 - Acésulfame K', 'E955 - Sucralose']",,"['Œufs', 'Gluten', 'Lait']",4,,,,,,,
518,Syntha-6,0834266076208,,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"3,75",,"1,25",,"17,5",,5,,"62,5",,"0,475",,"0,19",,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Vinaigre d’Érable - Pic bois,0834686000296,,,['France'],['Calories I Calories 25 Lipides I Fat 0 g Sodium / Sodium 1 mg'],[],,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,5,,4,,0,,"0,1",,"0,04",,,,,,,,,,,,,,,,['Pic bois'],,,,,,,,,,,
520,Beurre d'érable crémeux à la vanille - ISens,0834686001385,,,['France'],"[""Sirop d'érable pur 100%"", 'poudre de vanille', 'extrait naturel de vanille']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,330,,1381 kj(330 kcal),,0,,0,,78,,66,,0,,0,,0,,,,,,,,,,,,,,,,['ISens'],,,,,,,,,,,
521,Beurre d'érable à la canneberge - Philippe Molle,0834686001392,,,['France'],"[""sirop d'érable pur"", 'poudre de canneberge', 'extrait naturel de canneberge']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,78,,72,,0,,0,,0,,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,['Philippe Molle'],,,,,,,,,,,
522,Beurre d'érable - Philippe Mollé,0834686001408,,['Matières grasses'],['France'],"[""Sirop d'érable 100%""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,72 g,en quantité élevée,0 g,en faible quantité,?,,330,-59%,1381 kj(330 kcal),-59%,0,-100%,0,-100%,78,+34721%,72,+44344%,0,-100%,0,-100%,0,-100%,14,+24%,D,+24%,,,,,,,,,,,['Philippe Mollé'],,,,2,,,,,,,
523,sirop d'érable au thé,0834686001491,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],1 g,en faible quantité,1 g,en faible quantité,48 g,en quantité élevée,,,?,,220,-19%,920 kj(220 kcal),-19%,1,+1569%,1,+3075%,54,-21%,48,-21%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Pure maple shaker,0834686001613,,,['France'],[],[],,,,,,,,,?,,325,,1360 kj(325 kcal),,"3,75",,"0,75",,"67,5",,5,,10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Confiture d'abricot,0835175000117,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['France'],[],"['Végétalien', 'Végétarien']",6 g,en quantité modérée,2 g,en quantité modérée,5 g,en quantité modérée,,,?,,25,-89%,105 kj(25 kcal),-89%,6,+2555%,2,+4584%,5,-91%,5,-90%,0,-100%,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,
526,Organic Raspberry Preserve,0835175000155,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades']","['France', 'États-Unis']","['Organic raspberries', 'organic sugar from fruits', 'organic lemon juice concentrate', 'fruit pectins']","['Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,?,,167,-25%,699 kj(167 kcal),-25%,0,-100%,0,-100%,40,-26%,40,-22%,0,-100%,0,-100%,0,-100%,10,+5%,C,+5%,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,['E440 - Pectines'],,,4,,,LUCIEN,,,,
527,Organic 3 red fruits - 100% Fruit,0835175000391,,,['France'],"[""iuice 'GLUTENFREE about 21 Servsize : Itbsp "", '151', ' k les DU 25', 'sat Www', 'luciengeorgelinusa', 'com']","['Végétalien', 'Végétarien']",,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,6,,5,,0,,0,,0,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,['100% Fruit'],,,,,,,,,,,
528,Organic raspberry preserve - Lucien Georgelin,0835175945333,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,6,,5,,0,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,['Lucien Georgelin'],,,,,,,,,,,
529,Apple raisin walnut,0835228004000,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,"21,7",,"1,9",,"66,1",,23,,"7,4",,"0,21",,"0,084",,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,
530,"poêlée de riz, curry et tofou - Veggie Bofrost",0836069105260,['surgelé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Surgelés', 'Plats préparés', ""Plats préparés d'origine végétale"", 'Plats préparés surgelés']",['France'],"['Légumes en proportions variables 46% ', 'carotte', 'poivron', 'petits pois', 'oignon', 'mélange de riz et de riz sauvage cuit 36% ', 'eau', 'riz', 'riz sauvage 9%', 'tofu 8 % ', 'graine de soja', 'eau', 'affermissant ', 'chlorure de magnésium', 'eau', 'graisse de palme', 'lait de coco en poudre ', 'lait de coco', 'maltodextrine', 'sirop de glucose', 'protéines du lait', 'sel', 'sucre', 'pâte de curry ', 'piment chili', 'échalote', 'ail', ""citronnelle' sel"", 'galanga', 'curcuma', 'cumin', 'coriandre', 'cannelle', 'macis', 'ail', 'jus de citron à base de concentré', 'amidon de pomme de terre', 'épices ', 'basilic thaï', 'oignon', 'livèche', 'graine de fenugrec', 'gingembre', 'huile de colza', ""concentré de jus de citron vert' vinaigre d'alcool""]","['Huile de palme', 'Non végétalien', 'Végétarien']",2.9 g,en faible quantité,0.7 g,en faible quantité,3 g,en faible quantité,0.88 g,en quantité modérée,446,-27%,106,-35%,446 kj(106 kcal),-33%,"2,9",-54%,"0,7",-30%,"16,1",+3%,3,+23%,"2,7",-56%,"0,88",-3%,"0,352",-3%,0,-100%,B,-100%,,"['Végétarien', '100% végétal']",,,,,,,,,['Veggie Bofrost'],"['E511 - Chlorure de magnésium', '', 'Risque modéré de sur-exposition']",['Huile de palme'],"['Lait', 'Soja']",4,,,,,,,
531,Barre de Chocolat aux Amandes NewTree - 30g,0836110002074,['Papier'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Chocolats', 'Bonbons', 'Barres chocolatées']","['Belgique', 'France', 'États-Unis']","['Pur beurre de cacao', 'sucre de canne', ""fibres d'agave "", 'inuline', 'lait écrémé en poudre', 'pâte de cacao', 'amandes grillées caramélisées', 'graines de lin', 'émulsifiant : lécithine de soja sans OGM', 'arôme de vanille', ' Cacao: minimum 50 %', ' Sans OGM']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",40 g,en quantité élevée,20 g,en quantité élevée,26.7 g,en quantité élevée,0.125 g,en faible quantité,?,,483,-4%,2021 kj(483 kcal),-4%,40,+47%,20,+32%,30,-46%,"26,67",-41%,10,+47%,"0,125",-61%,"0,05",-61%,16,-34%,D,-34%,30 g,"['Commerce équitable', 'Fairtrade International', 'Sans OGM']",D,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['NewTree'],['E322i - Lécithine'],,,4,,['Belgique'],NEWTREE,"['Cameleon', 'Carrefour', 'Delhaize', 'Délitraiteur', 'Match', 'Cora']",Barre de Chocolat aux Amandes NewTree,,http://www.newtree.com/en_us/shop/chocolate-bars/almonds-snack-bar.html
532,Barre Chocolat Quinoa NewTree - 30g,0836110002609,['Papier'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Bonbons', 'Barre chocolaté']","['Belgique', 'France']","['Pâte de cacao', 'sucre de canne', ""fibres d'agave "", 'inuline', 'pur beurre de cacao', 'graines de lin', 'quinoa', 'émulsifiant : lécithine de soja sans OGM', 'arôme de vanille', ' Cacao : minimum 66 %']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",33.3 g,en quantité élevée,20 g,en quantité élevée,,,0.0169 g,en faible quantité,?,,453,+27%,1900 kj(453 kcal),+27%,"33,3",+1690%,20,+1787%,"33,3",-60%,,,"6,67",+215%,"0,017",-86%,"0,007",-86%,,,,,30 g,"['Bio', 'Commerce équitable', 'Fairtrade International']",D,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['NewTree'],['E322i - Lécithine'],,,4,,['Belgique'],,"['Cameleon', 'Carrefour', 'Delhaize', 'Délitraiteur', 'Match', 'Cora']",Barre Chocolat Quinoa Flax,,http://www.newtree.com/en_us/shop/chocolate-bars/quinoa-flax-snack-bar.html
533,Mix Namkeen,0836452002015,,,['France'],[],[],,,,,,,,,?,,532,,2226 kj(532 kcal),,"30,2",,"12,9",,"53,4",,10,,"11,7",,"0,422",,"0,169",,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Jus de pomme petillant,0836712000775,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme', 'Jus de pomme pétillants']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,15 g,en quantité élevée,,,?,,60,+28%,251 kj(60 kcal),+27%,0,-100%,0,-100%,15,+34%,15,+49%,0,-100%,,,,,,,,,,,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
535,Poivre noir en grain,0837038000470,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,B,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,
536,Herbs and spices,0837038001033,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Truffes - Truffettes De France,0837246000903,,"['Snacks', 'Matières grasses', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Truffes en chocolat']",['France'],"['w', ' Graisses végétales non hydrogénées ', 'palme', 'palmiste', ' - sucre - cacao maigre - lactosérum - poudre de cacao ', '1 - émulsifiant : lécithine de soja - arôme naturel de vanille', ' Peut contenir des traces éventuelles de gluten', 'arachides et fruits à coque']","['Huile de palme', 'Non végétalien']",47 g,en quantité élevée,35 g,en quantité élevée,34 g,en quantité élevée,0.275 g,en faible quantité,?,,614,+5%,2569 kj(614 kcal),+5%,47,+8%,35,+7%,40,-1%,34,-8%,"4,9",+4%,"0,275",+110%,"0,11",+110%,25,+5%,E,+5%,,['Fabriqué en France'],,,,,,,,,['Truffettes De France'],['E322i - Lécithine'],['Huile de palme'],['Lait'],4,,,,,,,
538,"Truffettes de france, french marshmallows",0837246002488,,"['Snacks', 'Snacks sucrés', 'Confiseries']","['France', 'États-Unis']","['Glucose syrup', 'milk chocolate ', 'sugar', 'cocoa butter', 'whole milk powder', 'cocoa mass', 'whey powder', 'emulsifier: soy lecithin', 'natural vanilla flavor', 'sugar', 'water', 'dextrose', 'icing sugar', 'gelatin', 'natural vanilla flavor', 'milk proteins']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",8.33 g,en quantité modérée,5 g,en quantité modérée,63.3 g,en quantité élevée,0.0425 g,en faible quantité,?,,367,-13%,1536 kj(367 kcal),-13%,"8,33",-43%,5,-23%,70,+5%,"63,33",+28%,"3,33",-21%,"0,042",-71%,"0,017",-71%,15,-18%,D,-18%,,,,,,,,,,,['Truffettes De France'],"['E322i - Lécithine', 'E428 - Gélatine']",,,4,,,TRUFFETTES DE FRANCE,,,,
539,Truffle mallow bear - Truffettes De France,0837246003119,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"2,5",,"1,5",,23,,21,,1,,"0,1",,"0,04",,,,,,,"['Sans arômes artificiels', 'Sans conservateurs']",,,,,,,,,['Truffettes De France'],,,,,,,,,,,
540,Organic Somen Noodles - Hakubaku - 270g,0837328000012,['Kunststoff'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']","['Australie', 'France', 'Allemagne']","['Weizenmehl 98%', 'Salz 2%', 'Wasser']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,354,+18%,1481 kj(354 kcal),+18%,1,-91%,0,-100%,"72,3",+79%,0,-100%,"11,3",+78%,"2,3",-12%,"0,92",-12%,,,,,270 g,"['Bio', 'Bio européen', 'en:AU-BIO-107', 'Fabriqué en Australie']",,,,,,,,,['Hakubaku'],,,['Gluten'],3,,,,['Woolworths'],,,
541,Organic CHAsoba noodles - Hakubaku,0837328000067,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']","['France', 'États-Unis']","['farine de blé', 'poudre de thé vert 2%', 'farine de sarrasin']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.89 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,357,+19%,1494 kj(357 kcal),+19%,"0,89",-87%,0,-100%,"71,43",+46%,0,-100%,"10,71",+41%,0,-100%,0,-100%,-4,-916%,A,-916%,,"['Bio', 'Bio européen', 'Fabriqué en Australie']",,,,,,,,,['Hakubaku'],,,"['Gluten', 'Sarrasin']",1,,,"Gencorp, LLC",,,,
542,Sirop d'érable bio,0837576002004,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,10 g,en quantité élevée,?,,220,-19%,920 kj(220 kcal),-19%,0,-100%,0,-100%,54,-21%,48,-21%,0,-100%,10,+6394%,4,+6394%,22,+67%,E,+67%,,['Bio'],,,,,,,,,,,,,,,,,,,,
543,Miel de lavande,0837655042907,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0 g,en faible quantité,?,,304,+24%,1272 kj(304 kcal),+23%,0,-100%,0,-100%,82,+14%,79,+23%,"0,4",+16%,0,-100%,0,-100%,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
544,Fèves soya rôtie non salée sans OGM - Artisan  tradition  - 550grammes,0837789589170,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,550 grammes,,,,,,,,,,['Artisan  tradition'],,,,,,,,,,,
545,Macaroni & cheese au fromage - Nudge,0838143006951,,,['France'],[],[],,,,,,,,,?,,386,,1615 kj(386 kcal),,"5,26",,"2,63",,"68,42",,"3,5",,14,,"6,84",,"2,736",,,,,,,"['Bio', 'Biologique Canada']",,,,,,,,,['Nudge'],,,,,,,,,,,
546,Huile d'olive extra vierge,0838356001019,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,,,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,15,+7%,0,,0,,0,,,,,,,,,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
547,Beurre d'érable -  - 245g,0838619000254,,,['France'],[],[],,,,,,,,,?,,332,,1389 kj(332 kcal),,0,,0,,54,,24,,0,,0,,0,,,,,,245 g,"[""Informations incorrectes sur l'emballage"", ""Informations nutritionnelles incorrectes sur l'emballage""]",,,,,,,,,,,,,,,,,,,,
548,Sirop d'Érable Pur - La Petite Cabane à Sucre - 250ml ?,0838619000728,"['Plastique', '2', 'HDPE']","['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable"", ""Sirops d'érable du Québec"", 'Sirops traditionnels']",['France'],"[""Sirop d'érable""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,80 g,en quantité élevée,0.0423 g,en faible quantité,?,,367,+27%,1530 kj(367 kcal),+24%,0,-100%,0,-100%,90,+26%,80,+24%,0,-100%,"0,042",+50%,"0,017",+50%,14,+8%,D,+8%,250 ml ?,,,,,,,,,,['La Petite Cabane à Sucre'],,,,2,,"['Québec', 'Canada']",,,,,https://www.lebonsiropderable.com/produit/sirop-derable-cruchon-de-plastique-250-ml/
549,Sirop d'érable,0838619000742,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,48 g,en quantité élevée,,,?,,220,-19%,920 kj(220 kcal),-19%,0,-100%,0,-100%,54,-21%,48,-21%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,All in One chocolate - Vega,0838766005355,,['Boissons'],"['France', 'États-Unis']","['Pea protein', 'whole flaxseed ', 'micro-milled', 'cocoa powder', 'organic acacia gum ', 'naturally occuring fiber', 'saviseed ', 'sacha inchi', ' protein', 'organic gelatinized maca root', 'organic broccoli', 'organic spirulina', 'organic kale', 'organic marine algae calcium', 'fruit & vegetable blend ', 'spinach', 'broccoli', 'carrot', 'beet', 'tomato', 'apple', 'cranberry', 'orange', 'blueberry and/or bilberry', 'strawberry', 'shiitake mushroom', 'chlorella vulgaris ', 'cracked whole cell', 'papaya extract', 'probiotics ', 'bacillus coagulans [provides 1 billion cfu/serving]', 'antioxidant fruit blend ', 'grape seed extract', 'organic pomegranate', 'acai', 'mangosteen', 'organic goji', 'organic maqui', ' contains 2 percent or less of: beet root powder ', 'for color', 'natural chocolate flavor', 'natural vanilla flavor', 'natural caramel flavor', 'natural hazelnut flavor', 'stevia extract', 'citric acid']",[],13 g,en quantité élevée,2.17 g,en quantité modérée,2.17 g,en faible quantité,0.163 g,en quantité modérée,?,,370,+561%,1548 kj(370 kcal),+542%,"13,04",+3658%,"2,17",+1739%,"28,26",+150%,"2,17",-77%,"43,48",+8666%,"0,162",+292%,"0,065",+292%,9,+17%,D,+17%,,['en:gluten-free'],,,,,,,,,['Vega'],"[""E414 - Gomme d'acacia"", 'E330 - Acide citrique']",,,4,,,VEGA ONE,,,,
551,Protein & greens - vanilla flavored - Vega,0838766006567,,['Boissons'],"['France', 'États-Unis']","['Pea protein', 'pea starch', 'natural flavors', 'organic alfalfa grass powder', 'brown rice protein', 'hemp protein', 'sacha inchi protein', 'spinach powder', 'broccoli powder', 'stevia leaf extract', 'papain powder', 'organic kale powder', 'xanthan gum']",[],6.67 g,en quantité modérée,0.67 g,en faible quantité,0 g,en faible quantité,2.67 g,en quantité élevée,?,,367,+555%,1536 kj(367 kcal),+537%,"6,67",+1822%,"0,67",+468%,"13,33",+18%,0,-100%,"66,67",+13342%,"2,668",+6328%,"1,067",+6328%,17,+122%,E,+122%,,,,,,,,,,,['Vega'],['E415 - Gomme xanthane'],,,4,,,VEGA,,,,
552,Protein & greens - chocolate flavored - Vega,0838766006581,,['Boissons'],"['France', 'États-Unis']","['Pea protein', 'cocoa powder ', 'processed with alkali', 'natural flavors', 'pea starch', 'organic alfalfa grass powder', 'brown rice protein', 'hemp protein', 'sacha inchi protein', 'spinach powder', 'broccoli powder', 'stevia leaf extract', 'papain powder', 'organic kale powder', 'xanthan gum']",[],7.58 g,en quantité modérée,1.52 g,en quantité modérée,0 g,en faible quantité,2.2 g,en quantité élevée,?,,364,+550%,1523 kj(364 kcal),+532%,"7,58",+2084%,"1,52",+1188%,"21,21",+88%,0,-100%,"60,61",+12120%,"2,198",+5195%,"0,879",+5195%,15,+96%,E,+96%,,,,,,,,,,,['Vega'],['E415 - Gomme xanthane'],,,4,,,VEGA,,,,
553,Chocolate flavored essential shake drink mix - Vega,0838766011103,,"['Boissons', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées']","['France', 'États-Unis']","['Pea protein', 'flaxseed', 'cocoa powder ', 'processed with alkali', 'natural flavors', 'organic acacia gum', 'hemp protein', 'broccoli powder', 'pea starch', 'beet root powder ', 'for color', 'carrot juice powder', 'kale powder', 'quinoa sprouts ', 'sprouted in water with b1', 'b2', 'b3', 'b5', 'b6', 'b7 and k', 'marine algae', 'stevia leaf extract', 'organic spirulina', 'sea salt', 'xanthan gum', 'acerola cherry extract', 'bromelain', 'dried fruit and vegetable blend ', 'spinach', 'broccoli', 'carrot', 'beet', 'tomato', 'apple', 'cranberry', 'orange peel', 'blueberry', 'strawberry', 'sunflower seed oil powder', 'mushroom powder']",[],,,,,,,,,?,,389,+32%,1628 kj(389 kcal),+30%,"11,11",+113%,"1,39",-57%,"16,67",-62%,"2,78",-92%,"55,56",+312%,"1,528",+174%,"0,611",+174%,,,,,,['en:Verified'],,,,,,,,,['Vega'],"[""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane']",,,4,,,The Daily Record,,,,
554,Protein Nutrition Shake,0838766017006,,,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,2,,0,,4,,2,,6,,0,,0,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,
555,Bar Coconut Cashew - Vega - 42g,0838766080024,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Barres']","['France', 'États-Unis']","['Organic cashews', 'dried coconut', 'organic tapioca syrup', 'brown rice crisp', 'organic agave syrup', 'vega saviseed ', 'sacha inchi', ' oil', 'buckwheat', 'chia seeds', 'hemp seeds', 'sunflower lecithin', 'sea salt', 'natural toasted coconut flavor']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",33.3 g,en quantité élevée,16.7 g,en quantité élevée,16.7 g,en quantité élevée,0.535 g,en quantité modérée,?,,524,+17%,2192 kj(524 kcal),+16%,"33,33",+63%,"16,67",+87%,50,-10%,"16,67",-51%,"7,14",-15%,"0,535",+56%,"0,214",+56%,16,-6%,D,-6%,42 g,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,['Vega'],['E322i - Lécithine'],,,3,,,VEGA,,,,
556,Vega One all-in-one shake Mixed Berry,0838766105215,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"11,9",,"1,19",,"21,428",,"2,38",,"47,62",,"0,57",,"0,228",,,,,,,"['en:gluten-free', 'Sans sucre ajouté']",,,,,,,,,['Vega'],,,,,,,,,,,
557,Vega Sport Pre-workout Energizer Tub (540G) Acai Berry,0838766107066,,['Boissons'],['France'],"['SPROUTED WHOL BROWN RICE SYRUP', 'ORGANIC PALM NECTAR NATU BLACKBERRY', 'STRAWBERRY', 'RASPBERRY ACAIAND FLAVOURS', 'CITRIC ACID', 'MALICACID', 'RED BEET POW Nutrients per scoop ', '18 g', ' Nutriments par mesure ', '18 g', ' Servings per container /Portions par contenant 30 Amount Teneur RIOLOGIOUE AROMES ISES DACAIE % Daily Value Calo % valeur INCRÉDIENTS NON MEDICINAUX:SIROP DE RIEB']",[],0.2 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.06 g,en faible quantité,?,,412,+636%,1724 kj(412 kcal),+615%,"0,2",-42%,0,-100%,16,+42%,12,+27%,0,-100%,"0,06",+45%,"0,024",+45%,17,+122%,E,+122%,,,,,,,,,,,['Vega'],['E330 - Acide citrique'],,,,,,,,,,
558,Vega Sport - Protein Berry,0838766108544,,,['France'],[],[],,,,,,,,,?,,320,,1339 kj(320 kcal),,7,,1,,11,,"2,5",,65,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Vega Performance Vanilla Protein Powder,0838766108551,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,3,,"0,4",,4,,1,,30,,"0,39",,"0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,
560,"Vega Sport Performance Protein Chocolate, Powder",0838766108568,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,"7,1",,0,,"11,9",,"2,4",,"71,4",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,
