,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,nova_score,generic_name,packaging,link,manufacturing,ingredients_origins,markets,allergens,traceability_code,brand_owner,origin_detail,producer_info,palm_ingredients
503,"Pomme de Terre, Carotte et Poulet - Carrefour Baby - 400g (2 * 200g e)",3560070763122,,"['Plats préparés', 'Aliments pour bébé', 'Plats principaux pour bébé', 'Plats préparés à réchauffer au micro-ondes', 'Dès 6 mois']","['Viande Française', 'Point Vert', 'Fabriqué en France', 'Poulet Français', 'Triman']",['France'],"['Pomme de terre 29%', 'carotte28%', 'eau', 'viande de poulet 9%', 'oignon 4%', 'farine de riz', 'huile de colza vierge', 'huile de tournesol vierge', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,65,+7%,272 kj(65 kcal),+6%,"2,6",+43%,"0,5",+18%,"7,2",-9%,"1,6",-17%,"2,7",+15%,"0,18",+8%,"0,072",+8%,,,,,,,,,,,,400 g (2 * 200 g e),"['Carrefour Baby', 'Carrefour']",,3,"Préparation à base de pomme de terre, de carotte et de viande de poulet","['Verre', 'Carton', 'Bocal']",,['France'],['France'],['Carrefour'],,"['FR 23.131.001 CE', 'Mérinchal (Creuse, France)']",,,,
504,Pulpe d'ail - Carrefour Sélection - 100ml,3560070763429,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', ""Pulpes d'ail""]",['Fabriqué en Allemagne'],['France'],"['Ail 86 %', 'sel', 'acidifiant : acide citrique', 'épaississant : gomme de guar']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,1 g,en faible quantité,13 g,en quantité élevée,513,-29%,121,+36%,513 kj(121 kcal),+21%,?,,,,24,+76%,1,-60%,5,+15%,13,+1963%,"5,2",+1963%,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,100 ml,['Carrefour Sélection'],"['E330 - Acide citrique', 'E412 - Gomme de guar']",4,,"['Bocal', 'Verre']",,['Allemagne'],,['Carrefour'],,,,,,
505,Lait 1er age 0-6 mois - Carrefour,3560070764051,D,"['Produits laitiers', 'Aliments pour bébé', 'Laits', 'Laits pour bébé', 'Laits 1er âge']",['Fabriqué en France'],['France'],[],[],,,,,,,,,?,,67,-70%,280 kj(67 kcal),-73%,"3,3",-70%,"1,2",-69%,"7,9",-72%,"7,1",-65%,"1,5",-69%,"0,05",-75%,"0,02",-75%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,51,,['Carrefour'],,,,,,,,['Carrefour'],,"['EMB 53084D', 'Craon (Mayenne, France)']",,,,
506,Boudin de Lyon à la crème à l'ancienne - Carrefour - 250g,3560070764884,C,"['Viandes', 'Plats préparés', 'Charcuteries', 'Poissons et viandes et oeufs', 'Frais', 'Abats', 'Plats préparés frais', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']","['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",['France'],"['Sang frais de porc', 'gras de porc', 'oignon', 'épinard', 'crème 8 %', 'lait', 'farine de blé', 'couenne de porc', 'sel', 'persil', 'poivre gris', 'mélange 4 épices ', 'cannelle', 'girofle', 'poivre', 'muscade', 'enveloppe : boyau naturel de porc']","['Non végétalien', 'Non végétarien']",16 g,en quantité modérée,7.7 g,en quantité élevée,1.1 g,en faible quantité,1.2 g,en quantité modérée,814,-18%,196,-20%,814 kj(196 kcal),-20%,16,-21%,"7,7",-2%,"2,3",-45%,"1,1",-48%,11,+3%,"1,2",-17%,"0,48",-17%,13,-17%,D,-17%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,250 g,['Carrefour'],,3,,"['Barquette', 'Plastique', 'Frais']",,['France'],['France'],['Carrefour'],"['Gluten', 'Lait']","['FR 01.224.001 CE', 'Loyettes (Ain, France)', 'EMB 01224', 'Loyettes (Ain, France)']",,,,
507,Boudin Noir aux oignons à l'ancienne - Carrefour - 375g,3560070765034,C,"['Viandes', 'Plats préparés', 'Charcuteries', 'Poissons et viandes et oeufs', 'Frais', 'Abats', 'Plats préparés frais', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudins noirs aux oignons', 'Boudin noir sauté']","['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",['France'],"['Sang frais de porc', 'oignon 30 %', 'gras de porc', 'tête de porc cuite', 'lait', 'sel', 'persil', 'poivre gris', 'mélange 4 épices ', 'cannelle', 'girofle', 'poivre', 'muscade', 'enveloppe : boyau naturel de porc']","['Non végétalien', 'Non végétarien']",16 g,en quantité modérée,6.9 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,854,-12%,206,-19%,854 kj(206 kcal),-19%,16,-26%,"6,9",-17%,"1,9",-37%,"1,4",-31%,12,+3%,"1,3",-2%,"0,52",-2%,12,-24%,D,-24%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,375 g,['Carrefour'],,3,,"['Barquette', 'Plastique', 'Frais']",,['France'],['France'],['Carrefour'],['Lait'],"['FR 01.224.001 CE', 'Loyettes (Ain, France)', 'EMB 01224', 'Loyettes (Ain, France)']",,,,
508,Les Tartines fruits rouges - Carrefour - 200g,3560070765492,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Tartines']",,['France'],"['Farine de blé 33 %', 'sucre', 'sirop de glucose-fructose', 'purée de fruits rouges 12,8 % ', 'framboises 50 %', 'fraises 50 %', 'beurre concentré 9 %', 'purée de pommes', 'lactosérum en poudre', 'jus de citron concentré', 'acidifiants : citrates de sodium et acide citrique', 'épaississant : alginate de sodium', ""poudre à lever : carbonates de sodium - tartrates de potassium - carbonates d'ammonium"", 'sirop de sucre inverti', 'beurre', 'amidon de blé', 'gélifiant : pectines', 'arôme', 'émulsifiant : lécithines ', 'soja', 'sel', 'poudre de lait écrémé', 'arôme vanille', 'colorant : curcumine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",10 g,en quantité modérée,6.5 g,en quantité élevée,38 g,en quantité élevée,0.28 g,en faible quantité,1608,,382,+6%,1608 kj(382 kcal),+4%,10,+98%,"6,5",+265%,68,+3%,38,+705%,"3,9",-57%,"0,28",-66%,"0,112",-66%,17,+721%,D,+721%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,200 g,['Carrefour'],"['E331 - Citrates de sodium', 'E330 - Acide citrique', 'E401 - Alginate de sodium', 'E500 - Carbonates de sodium', 'E336 - Tartrates de potassium', ""E503 - Carbonates d'ammonium"", 'E440 - Pectines', 'E322 - Lécithines', 'E100 - Curcumine']",4,,"['Carton', 'Sachet']",,['France'],,"['Carrefour City', 'Carrefour']","['Gluten', 'Lait', 'Soja']","['EMB 91645C', 'Verrières-le-Buisson (Essonne, France)']",,,,
509,"Cereale infantile instantanee saveur cacao, 8M - Carrefour baby",3560070767298,,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,"1,5",,"0,5",,"78,5",,20,,11,,"0,008",,"0,003",,,,,,,,,,,,,,['Carrefour baby'],,,,,,,,['Carrefour'],,,,,,
510,Crok'aperitifs - Carrefour,3560070769551,,,,['France'],[],[],,,,,,,,,?,,493,,2063 kj(493 kcal),,?,,"2,6",,?,,38,,10,,"0,03",,"0,012",,,,,,,,,,,,,,['Carrefour'],,,,,,,,['Carrefour'],,,,,,
511,"Planteur Sans alcool, Préparation pour cocktail - Carrefour Sélection - 1L",3560070769858,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons sans alcool', 'Boissons avec sucre ajouté']","['Point Vert', 'Fabriqué en France', 'Sans alcool', 'Tidy man', 'Eco-Emballages']",['France'],"['Eau', 'jus de fruits à base de concentrés : ananas 19 %', 'orange 12 %', 'citron vert 3,6 %', 'fruit de la passion 1,4 %', 'sucre', 'acidifiant : acide citrique', 'arôme naturel', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",,,,,12 g,en quantité élevée,0.03 g,en faible quantité,209,+16%,49,+29%,209 kj(49 kcal),+25%,?,,,,12,+39%,12,+63%,?,,"0,03",+44%,"0,012",+44%,,,,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,1 L,"['Carrefour Sélection', 'CMI (Carrefour Marchandises Internationales)', 'Groupe Carrefour']","['E330 - Acide citrique', 'E160ai - Bêta-carotène']",4,"Boisson aux jus de fruits à base de concentrés, aromatisée","['Bouteille', 'Bouchon', 'Plastique']",,"[""Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon"", 'Indre', ""Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel"", 'Loiret', 'Centre-Val de Loire', 'France']",,"['Carrefour City', 'Carrefour']",,"['EMB 36229', 'Varennes-sur-Fouzon (Indre, France)', 'EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,,,
512,Knacks Pur Porc - Carrefour - 210g (6x 35g),3560070773558,D,"['Viandes', 'Charcuteries', 'Frais', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg', 'Knacks industrielles']","['Viande Française', 'Sans polyphosphates', 'Viande Porcine Française', 'Fabriqué en France']",['France'],"['Viande de porc 71%', 'eau', 'gras de porc', 'sel', 'protéines de lait', 'sucre', 'arôme', 'antioxydant : ascorbate de sodium', 'colorants : carmins', 'extrait de paprika', 'arôme de fumée', 'conservateur : nitrite de sodium', 'fumée liquide', ' Fumée au bois de hêtre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",25 g,en quantité élevée,10 g,en quantité élevée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,282,+6%,1180 kj(282 kcal),+5%,25,+6%,10,+14%,2,+27%,"0,9",-30%,12,-4%,"1,8",-6%,"0,72",-6%,19,+4%,E,+4%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,210 g (6 x 35 g),['Carrefour'],"['E301 - Ascorbate de sodium', 'E120 - Acide carminique', 'E160c - Extrait de paprika', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,Saucisse de Strasbourg avec protéines de lait de vache,"['Plastique', 'Sous vide', 'Frais', 'Sous atmosphère protectrice']",,['France'],['France'],"['Carrefour Market', 'Carrefour']",['Lait'],"['FR 59.527.001 CE', 'Saint-André-lez-Lille (Nord, France)', 'EMB 59527', 'Saint-André-lez-Lille (Nord, France)']",,,,
513,Bon app Chèvre Tomate & Légumes Grillés sandwich au pain spécial polaire - 150g,3560070773732,C,"['Sandwichs', 'Sandwichs au fromage', 'Sandwichs au chèvre', 'Sandwichs polaires']",,['France'],"['Pain spécial polaire 46,7% ', 'farine de blé', 'eau', 'sucre', 'farine de seigle', 'levure', 'sel', 'huile de colza', 'levain de seigle dévitalisé', ""poudre à lever : carbonate acide d'ammonium"", ""émulsifiants : mono - et diglycérides d'acides gras et esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras"", 'agent de traitement de la farine : acide ascorbique', 'fromage de chèvre 13,3%', 'tomate 13,3%', 'sauce au fromage blanc ', 'fromage blanc', 'huile de colza', 'eau', ""vinaigre d'alcool"", 'amidon modifié de pomme de terre', ""jaune d'œuf"", 'sucre', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'acidifiant : acide citrique', 'antioxydant : disulfite de potassium', 'sel', 'épaississant : gomme de guar - gomme xanthane', 'conservateur : sorbate de potassium', 'préparation à base de légumes 6,7% ', 'tomates mi-séchées 1,8%', 'courgettes grillées 1,8%', 'poivrons jaunes grillés 0,7%', 'aubergines grillées 0,7%', 'huile de colza', 'concentré de tomates', 'sel', 'ail', 'thym', 'jus de citron concentré', 'salade']",['Non végétalien'],7.3 g,en quantité modérée,2.2 g,en quantité modérée,5.6 g,en quantité modérée,0.83 g,en quantité modérée,920,,219,-3%,920 kj(219 kcal),-3%,"7,3",-20%,"2,2",-34%,30,+17%,"5,6",+53%,7,-23%,"0,83",-31%,"0,332",-31%,2,-68%,B,-68%,72.9%,13.3%,5.8%,4.9%,2.5%,0.7%,68,150 g,"[""Bon App'"", 'Carrefour']","[""E503ii - Carbonate acide d'ammonium"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,"Sandwich au pain spécial polaire garni de fromage de chèvre, de tomate et d'une préparation à base de légumes","['Barquette', 'Plastique']",,['France'],,['Carrefour'],"['Œufs', 'Gluten', 'Lait', 'Moutarde']","['EMB 22272D', ""Saint-Agathon (Côtes-d'Armor, France)"", 'EMB 71520E', 'Sevrey (Saône-et-Loire, France)', 'EMB 02408', 'Laon (Aisne, France)', 'EMB 02408C', 'Laon (Aisne, France)']",,,,
514,Jambon Beurre & Comté AOP - Bon App' - 190g,3560070773886,D,"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Beurre', 'Sandwichs au Comté', 'Sandwichs Jambon Fromage', 'en:raw-vegetable-sandwiches']",,['France'],"['Pain de mie 42,1% ', 'farine de blé', 'eau', 'huile de colza', 'levure', 'sucre', 'sel', 'graines de pavot', ""émulsifiant : mono - et diglycérides d'acides gras"", 'gluten de blé', 'farine de fèves', 'jambon cuit choix 34,2% ', 'jambon de porc', 'eau', 'sel', 'sirop de glucose', 'dextrose', 'arômes', 'stabilisants : dlphosphate disodique et triphosphate pentasodlque', 'antioxydant : érythorbate de sodium', 'conservateur: nitrite de sodium', ' Comté AOP 10,5%', 'beurre 7,9%', 'salade']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",12 g,en quantité modérée,6.2 g,en quantité élevée,2.2 g,en faible quantité,1.6 g,en quantité élevée,1034,+1%,247,+0%,1034 kj(247 kcal),+0%,12,+14%,"6,2",+19%,21,-18%,"2,2",-23%,12,+15%,"1,6",+1%,"0,64",+1%,15,+18%,D,+18%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,190 g,"[""Bon App'"", 'Carrefour']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,"Sandwich au pain de mie complet garni de jambon cuit choix, de comté AOP et de beurre","['Barquette', 'Carton', 'Plastique']",,['France'],,['Carrefour'],"['Gluten', 'Lait']","['EMB 22272D', ""Saint-Agathon (Côtes-d'Armor, France)"", 'EMB 71520E', 'Sevrey (Saône-et-Loire, France)', 'EMB 02408C', 'Laon (Aisne, France)']",,,,
515,Jambon supérieur avec couenne - Carrefour - 80g,3560070786824,D,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Labels de distributeurs', 'Qualité Carrefour', 'Viande Porcine Française', 'Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise', 'Porc nourri sans OGM <0.9\xa0%']","['France', 'Guadeloupe']","[""Jambon de parc issu d'animaux nourris sans OGM "", '<0', '9%', ""couenne et gras de porc issus d'animaux nourris sans OGM "", '<0', '9%', 'eau', 'sel', 'sirop de glucose  de blé', 'arômes', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']",[],8 g,en quantité modérée,3.5 g,en quantité modérée,0.8 g,en faible quantité,2.03 g,en quantité élevée,650,+28%,155,+17%,650 kj(155 kcal),+19%,8,+67%,"3,5",+90%,"0,8",+20%,"0,8",+34%,20,-5%,"2,032",+9%,"0,813",+9%,13,+84%,D,+84%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,80 g,['Carrefour'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,Jambon cuit supérieur avec couenne,"['Frais', 'Plastique']",,,['France'],['Carrefour'],,"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)', 'EMB 14752B', 'Villers-Bocage (Calvados, France)']",,,,
516,Jambon supérieur sans couenne - Grand jury - 160g,3560070787135,C,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France', 'Qualité supérieure']",['France'],"['Jambon de porc', 'sel', 'dextrose', 'arômes naturels', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium,']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.4 g,en quantité modérée,1.3 g,en faible quantité,0.6 g,en faible quantité,2.1 g,en quantité élevée,?,,113,-14%,473 kj(113 kcal),-14%,"3,4",-29%,"1,3",-29%,"0,6",-10%,"0,6",+1%,20,-5%,"2,1",+12%,"0,84",+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,160 g,['Grand jury'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,"['Barquette', 'Plastique']",,['France'],['France'],"['Proxi', '8 à Huit']",,"['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)"", 'EMB 95280', ""Goussainville (Val-d'Oise, France)""]",,,,
517,Grenade - Carrefour - 1L,3560070788613,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']","['Fabriqué en France', 'Arômes naturels']",['France'],"['Eau', 'jus de grenade à base de concentré ', '35 %', 'sucre', 'arôme naturel de grenade', 'jus d’aronia à base de concentré ', '2 %', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,11 g,en quantité élevée,0.03 g,en faible quantité,203,-35%,48,+9%,203 kj(48 kcal),+3%,?,,,,11,+27%,11,+62%,?,,"0,03",-37%,"0,012",-37%,,,,,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,1 L,['Carrefour'],['E330 - Acide citrique'],3,Boisson rafraîchissante aux jus de fruits à base de concentrés aromatisés,"['Bouteille', 'Bouchon', 'Plastique']",,"[""Laiterie de Varennes (Filiale Laiterie de Saint-Denis-de-l'Hôtel - LSDH) - 6 Rue de la Bordé - 36210 Val-Fouzon"", 'Indre', ""Laiterie de Saint-Denis-de-l'Hôtel (LSDH) - 10 Route de l'Aérodrome - Les Grandes Beaugines - 45550 Saint-Denis-de-l'Hôtel"", 'Loiret', 'Centre-Val de Loire', 'France']",,['Carrefour'],,"['EMB 36229', 'Varennes-sur-Fouzon (Indre, France)', 'EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,,,
518,"Diabolo saveur exotique aux arômes naturels Carrefour Kids - 1,5L",3560070790883,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Diabolo']",,['France'],"['Eau gazéifiée', 'sucre', 'jus de fruits à base de concentrés 2% ', 'orange', 'mangue', 'passion', 'arômes naturels', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique', 'colorants : bêta-carotène', 'acide carminique']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0.5 g,en faible quantité,9 g,en quantité élevée,0.01 g,en faible quantité,154,+8%,36,+6%,154 kj(36 kcal),+8%,"< 0,5",+82%,"< 0,5",+851%,9,+7%,9,+7%,"< 0,5",+58%,"0,01",-20%,"0,004",-20%,12,+3%,E,+3%,,,,,,,,"1,5 L",['CARREFOUR KIDS'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E160ai - Bêta-carotène', 'E120 - Acide carminique']",4,Boisson gazeuse saveur exotique,"['bouteille plastique', 'bouchon plastique']",,,,['Carrefour'],,"['EMB 49099K', 'Cholet (Maine-et-Loire, France)']",,,,
519,Riz au lait  nature - Carrefour - 400g (4x 100g),3560070791729,B,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Puddings', 'Riz au lait']","['Labels de distributeurs', 'Qualité Carrefour', 'Point Vert', 'Fabriqué en France', 'Au lait entier', 'Eco-Emballages']",['France'],"['Lait entier 76 %', 'riz', '10,3 %', 'sucre', 'lait écrémé', 'amidon de riz', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2.8 g,en faible quantité,1.8 g,en quantité modérée,13.4 g,en quantité élevée,0.18 g,en faible quantité,532,-5%,?,,532 kj(127 kcal),-11%,"2,8",-25%,"1,8",-21%,"21,8",-4%,"13,4",-1%,"3,4",-1%,"0,18",+40%,"0,072",+40%,2,-50%,B,-50%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,400 g (4 x 100 g),['Carrefour'],,3,Riz au lait,"['Frais', 'Pot', 'Opercule', 'Etui', 'Carton']",,"['Senoble Desserts Premium (Filiale Senoble) - 9 Rue Galilée - ZAC de Belle Aire - 17440 Aytré', 'Charente-Maritime', 'Poitou-Charentes', 'France']",,['Carrefour'],['Lait'],"['FR 17.028.001 CE', 'Aytré (Charente-Maritime, France)', 'EMB 17028', 'Aytré (Charente-Maritime, France)']",,,,
520,Salade Fusilli & Surimi - Carrefour - 240g e,3560070791927,,"['Plats préparés', 'Salades', 'Salades composées', 'Réfrigérés', 'Plats préparés réfrigérés']","['Ne pas congeler', 'Point Vert', 'Fabriqué en France', 'Triman']",['France'],"['Salade composée 87,5 % : Pâtes alimentaires fusilli cuites cuisinées 35 % [pâtes alimentaires cuites 33,8 % ', 'eau', 'semoule de blé dur', 'huile de colza', 'persil', 'ciboulette', 'sel]', 'salade mélangée 20,8 % ', 'laitue et chicorée', 'surimi 17 % [eau', 'chair de poisson 5,9 %', 'amidons ', 'contient blé', ""blanc d'œuf réhydraté"", 'huile de colza', 'sucre', 'sel', 'arôme naturel ', 'contient poissons et crustacés', 'colorant : extrait de paprika]', 'maïs', '\r Sauce cocktail 12,5 % : huile de colza', 'eau', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique', 'tomate', 'vinaigre de vin rouge', 'sucre', ""vinaigre d'alcool"", 'sel', 'Tabasco ', ""vinaigre d'alcool"", 'piment rouge', 'sel', 'amidon modifié de pomme de terre', 'conservateur : sorbate de potassium', 'poivre blanc', 'arôme naturel', 'épaississant : gomme xanthane', 'colorant : extrait de paprika']","['Non végétalien', 'Non végétarien']",8.2 g,en quantité modérée,0.6 g,en faible quantité,3.4 g,en faible quantité,0.65 g,en quantité modérée,654,-12%,?,,654 kj(156 kcal),-13%,"8,2",-11%,"0,6",-79%,16,+8%,"3,4",+57%,"4,1",-45%,"0,65",-37%,"0,26",-37%,-5,-201%,A,-201%,,,,,,,,240 g e,"['Carrefour', ""Bon App'""]","['E160c - Extrait de paprika', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",4,,"['Frais', 'Plastique']",,['France'],,['Carrefour'],"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Moutarde', 'Surimi']","['EMB 56075D', 'Guer (Morbihan, France)']",,,,
521,Arroz - Carrefour - 1kg,3560070794119,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz']","['Catégorie I', 'Point Vert']","['France', 'Espagne']","['Arroz de grano semilargo', 'Categoría I']",[],0.9 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1482,+2%,349,+4%,1482 kj(349 kcal),+4%,"0,9",-25%,"0,2",-26%,77,+6%,0,-100%,"7,4",+2%,0,-100%,0,-100%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,1 kg,['Carrefour'],,,Arroz de grano semilargo. Categoría I.,,,,,['Carrefour'],,,,Este arroz se cultiva y se transforma en la Unión Europea y posteriormente se envasa en España.,"Interdis - TSA 91431 - 91343 MASSY Cedex - FranceEnvasado en España por Arroces y Cereales, S.A.U. RGSEAA 20.045228/V para Interdis.",
522,Sticks de thé saveur citron - Carrefour,3560070799602,,['Boissons'],,['France'],"['Thé noir 89%', 'acidifiant : acide citrique', 'arôme naturel de citron', 'arôme citron']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,['Carrefour'],['E330 - Acide citrique'],4,,,,,,['Carrefour'],,,,,,
523,"Stick thé vert saveur menthe - Carrefour - 28,5g",3560070799633,A,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés à la menthe', 'Thés verts à la menthe']",,['France'],['Thé vert aromatisé à la menthe'],[],,,,,,,,,?,,4,+33%,17 kj(4 kcal),+55%,0,-100%,0,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"28,5 g",['Carrefour'],,,,"['Carton', 'Sticks']",,['Belgique'],,['Carrefour'],,,,,,
524,Fun Pocket saveur Multifruits - Carrefour Kids,3560070799855,,['Boissons'],['Sans conservateurs'],['France'],"['/ SJTmstefirtg tropical', ' Ingrédients t jus ct purées fruits à base de coxtntré 17h 1396', 'ananas orange banane man e 0,19 pèche 0,16', 'fruit de ta pastn sucre', 'correcteur : acide citrique', 'arom', 'e natur_eL']",[],2 g,en quantité modérée,0 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,49,-12%,205 kj(49 kcal),-15%,2,+476%,0,-100%,12,+6%,11,+17%,0,-100%,"0,01",-76%,"0,004",-76%,15,+96%,E,+96%,,,,,,,,,"['Carrefour Kids', 'Carrefour']",['E330 - Acide citrique'],,,['Plastique'],,,,['Carrefour'],,,,,,
