,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,nova_score,generic_name,packaging,link,manufacturing,ingredients_origins,markets,allergens,traceability_code,brand_owner,origin_detail,producer_info,palm_ingredients
33,Thé Earl Grey  bio bergamote - Plantasia,3554740200147,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'en:MA-BIO-143']",['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,['Plantasia'],,,,,,,,,,,,,,
34,Plantasia Plantasia Vrac Conditionné Thé Vert Détox Pamplemousse Bio,3554740200642,,['Boissons'],['Bio'],['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,0.05 g,en faible quantité,0.05 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"0,1",-71%,0,-100%,"0,2",-98%,"0,05",-99%,"0,05",-90%,"0,05",+20%,"0,02",+20%,1,-87%,B,-87%,,,,,,,,,['Plantasia'],,,,,,,,,,,,,,
35,Tisane Fruits Des Bois Bio - 24 Sachets - Provence D'Antan,3554740400776,,,['Bio'],['France'],[],[],,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,"[""Provence d'Antan""]",,,,,,,,,,,,,,
36,Fleur De Sel Camargue Recharge 90GR - Provence D'antan,3554740401155,B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,90 g,en quantité élevée,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,90,+63%,36,+63%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,"[""Provence d'Antan""]",,,,,,,,,,,,,,
37,Rooibos Bio - 20 Sachets - Romon Nature,3554742853105,,,['Bio'],['France'],[],[],,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,['Romon Nature'],,,,,,,,,,,,,,
38,Tisane Allaitement Bio - 20 Sachets - Romon Nature,3554742853235,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Boissons sans sucre ajouté', ""Tisane d'allaitement"", ""Tisanes d'allaitement""]",['Bio'],['France'],"['VERVEINE BIO 35%', 'ANIS VERT BIO 15%', 'ORANGER BIO 15%', 'FENUGREC BIO 10%', 'CUMIN BIO 10%', 'FENOUIL BIO 10%', ""EXTRAIT D'ORANGER BIGARADIER BIO 5%""]",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,,0,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Romon Nature'],,1,,,,,,,,,,,,
39,Herbes de Provence Bio -,3554742901004,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']","['Bio', 'Point Vert', 'Cultivé en France']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,Herbes de Provence Bio,,,['France'],"['France', 'Provence']",,,,,,,
40,Thé Vert Bio - Plantasia - 20sachets,3554744494610,,,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Max Havelaar']",['France'],"['Chicorée Bio', 'Fenouil Bio', 'Réglisse Bio', 'Guimauve Bio', 'Anis Vert Bio']",['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,20 sachets,['Plantasia'],,,,,,,,,,,,,,
41,Sonnenblumenol - Transgourmet,3554983000047,,,,['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,100,,10,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Transgourmet'],,,,,,,,,,,,,,
42,"Mayonnaise - Transgourmet - 4,7kg e",3554983003079,D,"['Epicerie', 'Sauces', 'Mayonnaises', 'Produits destinés aux professionnels']",,['France'],"['Huile végétale ', 'colza ou tournesol ou soja', 'eau', ""jaune d'œuf salé 5,62 %"", ""vinaigre d'alcool"", 'moutarde 3 % ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : E330', 'conservateur : E224 ', 'sulfite', 'épices', 'sel', 'sucre ', 'sulfite', 'amidon modifié : E1422 ', 'sulfite', 'stabilisants : E412', 'E415', 'colorant : E160a']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",70 g,en quantité élevée,5.9 g,en quantité élevée,1.4 g,en faible quantité,1.8 g,en quantité élevée,?,,644,+5%,2694 kj(644 kcal),+5%,70,+6%,"5,9",-5%,"2,45",-9%,"1,4",-4%,"0,9",-27%,"1,8",+35%,"0,72",+35%,20,+12%,E,+12%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,"4,7 kg e",['Transgourmet'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E1422 - Adipate de diamidon acétylé', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E160a - Carotènes mélangés']",4,,"['Seau', 'Plastique']",,,,,"['Œufs', 'Moutarde', 'Soja', 'Anhydride sulfureux et sulfites']","['EMB 84129G', 'Sorgues (Vaucluse, France)']",,,,
43,Mozza - Transgourmet,3554983005929,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Transgourmet'],,,,,,,,,,,,,,
