,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,labels,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,brand_owner,additives,allergens,nova_score,packaging,generic_name,manufacturing,ingredients_origins,link,palm_ingredients
0,5776879011625,5776879011625,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Herbamare original - A.Vogel,7610313419265,['France'],[],[],?,?,?,?,?,['A.Vogel'],['Sans additifs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Crevette,0200250070710,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mi ABC Mi Cup Seafood flavour,8992388121052,['France'],[],[],?,460,22,55,12,,,1925 kj(460 kcal),11,4,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Legumi e cereali,8054187022289,['France'],[],[],?,78,1,"9,6","4,1",,,326 kj(78 kcal),"0,1","2,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sojasun,14631221,['France'],[],[],?,?,?,?,?,['Sojasun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Courge muscade tranchée,0212242007611,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,décorations sucre,8718781587178,['France'],[],[],?,402,"4,9","89,5",0,,,1682 kj(402 kcal),"4,9","55,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cocktail de Fruits - Freshona,20486921,['France'],[],[],?,64,"0,1","14,8","0,3",['Freshona'],,268 kj(64 kcal),0,"13,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Turrón de chocolate crujiente negro -,8433329085267,['France'],[],[],?,509,29,51,7,,,2130 kj(509 kcal),13,40,"0,16","0,064",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón de chocolat', 'Turrón au chocolat avec riz soufflé']",29 g,en quantité élevée,13 g,en quantité élevée,40 g,en quantité élevée,0.16 g,en faible quantité,,-2%,-1%,+4%,-5%,-11%,-12%,+16%,-18%,-18%,24,-1%,E,-1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
10,Entremet nutella,3662517056795,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Rhodiola rosea,9120064051266,['France'],[],[],?,0,0,0,0,,['en:gluten-free'],0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Boisson jus de fruit,53240033,['France'],[],[],?,34,0,"8,5","0,5",,,142 kj(34 kcal),0,"8,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jambon serrano,8426572071026,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01365276,01365276,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Boudin blanc nature,2274727017780,['France'],[],[],?,269,"24,2",4,"8,7",,,1125 kj(269 kcal),"8,67",3,"2,26","0,904",D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",24.2 g,en quantité élevée,8.67 g,en quantité élevée,3 g,en faible quantité,2.26 g,en quantité élevée,,+11%,+10%,+20%,+11%,-7%,+52%,-16%,+52%,+52%,21,+31%,E,+31%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,
16,Tapenade - Sur le Sentier des Bergers - 90g,3760183040091,['France'],[],[],?,252,"25,1","3,6","1,4",['Sur le Sentier des Bergers'],,1054 kj(252 kcal),"3,6","3,6",1,"0,4",C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",25.1 g,en quantité élevée,3.6 g,en quantité modérée,3.6 g,en faible quantité,1 g,en quantité modérée,,+14%,+14%,+16%,+11%,+63%,+835%,-14%,-65%,-65%,10,-26%,C,-26%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,90 g,,,,,,,,,,,,
17,Guignolet Kirsch,3123021026150,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yaourt mont blanc,8032774181151,['France'],[],[],?,117,"3,8","17,4","3,7",,,490 kj(117 kcal),"2,6","16,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jarret de porc fumé,2225688035757,['France'],[],[],?,96,"1,1","0,4",21,,,402 kj(96 kcal),"0,4","0,4","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Seafood Risotto - Muji,4550002531874,['France'],[],[],?,?,?,?,?,['Muji'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Praline,3760167861230,['France'],[],[],?,?,?,?,?,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Vins blanc Lacaussade saint-martin,3760221603707,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bananachips,5414761347321,['France'],[],[],?,533,30,63,0,,,2230 kj(533 kcal),23,"16,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Pain d'épices - La Confiserie Bressaude,3389681005007,['France'],[],[],?,?,?,?,?,['La Confiserie Bressaude'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Orange & cashew granola - 300g,17064262,['France'],[],"['Végétalien', 'Végétarien']",?,554,43,35,14,,"['Végétarien', 'Végétalien']",2318 kj(554 kcal),11,20,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
26,Bonbons au caramel saupoudrés de réglisse,5707411988648,['France'],[],[],?,396,0,96,"0,6",,,1657 kj(396 kcal),0,70,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Galleta de cacahuete - 180g,8410251004177,['France'],[],[],?,455,"17,7","17,8","11,3",,,1904 kj(455 kcal),"2,25","17,8","0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,,,,,,,,
28,Brisures de riz,3760105890223,['France'],[],[],?,351,"0,8","77,6","8,2",,,1469 kj(351 kcal),"0,4","77,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Tomates séchées,3760014295065,['France'],[],[],?,192,15,"7,9","3,1",,"['Bio', 'Bio européen', 'IT-BIO-006']",803 kj(192 kcal),"1,7","4,9","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Les milanaises du chef - Père Dodu,0227080025710,['France'],[],[],?,135,"1,8","8,5",20,['Père Dodu'],,565 kj(135 kcal),"0,6","1,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Mini postre lácteo con plátano sin gluten desde meses,7613033685187,['France'],[],[],?,64,2,"9,6","1,8",,,268 kj(64 kcal),"1,3","6,2","0,053","0,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Vin rouge le mas des cigales,3487451000334,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,
33,Entremet praline,3409858777756,['France'],[],[],?,373,"5,4","7,1","72,1",,,1561 kj(373 kcal),"2,9","6,3","1,51","0,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Brillat savarin,0209307036082,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
35,Bière ambrée,3273191033028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Mimolette - Carrefour - 200g,3560070030514,['France'],[],[],?,321,24,1,25,['Carrefour'],,1343 kj(321 kcal),17,1,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,['Carrefour'],,,,,,,,,,,
37,Fruit shoot - Teisseire,03083635,['France'],[],[],?,22,0,"5,2",0,['Teisseire'],,92 kj(22 kcal),0,"5,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Caviar amursky - 50g,3019896787527,['France'],[],[],?,270,18,"1,1",26,,,1130 kj(270 kcal),"4,2","0,7","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,"['FR 75.118.007 CE', 'Paris 18e  Arrondissement (Paris, France)']",,,,,,,,,,
39,J2o Orange and Passion Fruit Juice Drink - 275ml,50412037,['France'],[],[],?,23,0,"4,8",0,['J2O'],,96 kj(23 kcal),0,"4,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275 ml,,,,,,,,,,,,
40,jambon cuit à l'ancienne,2470526044679,['France'],[],[],?,123,"3,1","0,5",23,,,515 kj(123 kcal),"1,4","0,5",2,"0,8",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,,-19%,-19%,-50%,-42%,+1%,+3%,+3%,+3%,+3%,5,-49%,C,-49%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,
41,Haddock,0240609066254,['France'],[],[],?,101,"0,7",0,24,,"['Fabriqué en France', 'Sans conservateurs']",423 kj(101 kcal),"0,1",0,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saumon echalotte et persol,3760286220123,['France'],[],[],?,760,12,"0,7",17,,,3180 kj(760 kcal),"4,3",0,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Grill - Kebab,4260174654355,['France'],[],[],?,183,12,"0,8",17,,,766 kj(183 kcal),"4,1","0,5","2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Kopparberg Strawberry And Lime Alcohol Free,7393714518903,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Crème de marrons,3338044400034,['France'],[],[],?,261,"0,5",64,"0,9",,,1092 kj(261 kcal),"0,1",64,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Tarta de manzana,8420680030616,['France'],[],[],?,192,"6,3","31,8",2,,,803 kj(192 kcal),"2,8","12,7","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Crêpies,3760146334786,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,La saint pierre,3760062037006,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Compotée de pêche,3045399449419,['France'],[],[],?,104,"0,2",24,"0,6",,,435 kj(104 kcal),0,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sardinas en aceite girasol,8411555060128,['France'],[],[],?,275,21,"0,7","20,7",,,1151 kj(275 kcal),"5,4",0,1,"0,4",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",21 g,en quantité élevée,5.4 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+26%,+27%,+51%,+65%,+15%,-100%,-3%,+10%,+10%,12,+225%,D,+225%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,,,,,,,,
51,Biscotes fuente de fibra - El Corte Ingles,8433329090414,['France'],[],[],?,397,8,68,11,['El Corte Ingles'],,1661 kj(397 kcal),2,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Gluten Free Pure Better Shortbread - Walkers - 30g,0039047010239,"['France', 'États-Unis']","['Flour blend ', 'rice', 'potato starch', 'maize', 'stabiliser: xanthan gum', 'butter', 'sugar', 'salt']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,533,30,"66,67","3,33",['Walkers'],['en:gluten-free'],2230 kj(533 kcal),"16,67","23,33","0,668","0,267",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",30 g,en quantité élevée,16.7 g,en quantité élevée,23.3 g,en quantité élevée,0.667 g,en quantité modérée,,+12%,+12%,+44%,+65%,+4%,-21%,-49%,+13%,+13%,23,+16%,E,+16%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,30 g,,,WALKERS,['E415 - Gomme xanthane'],['Lait'],4,,,,,,
53,Marmelada,5005065401583,['France'],[],[],?,252,"0,8","61,2","0,2",,,1054 kj(252 kcal),"0,2",53,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gallia 1ere age,3041090900334,['France'],[],[],?,?,?,?,?,['Gallia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Baklava -  - 125g,8681414005267,['France'],[],[],?,?,?,?,?,,,,,,,,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Baklava']",,,,,,,,,,,,,,,,,,,,,,,89.5%,5.3%,2.1%,2.0%,1.1%,0.0%,35,125 g,,,,,,,,,,,,
56,Miel de fenouil -,3770002062319,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fenouil']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
57,Chips nature U,8919005949462,['France'],[],[],?,544,34,51,6,['U'],,2276 kj(544 kcal),"3,1","0,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Torsade au fricadelle - Zapelli,3021690011272,['France'],[],[],?,314,"6,4",46,16,['Zapelli'],"['Sans conservateurs', 'Nutriscore']",1314 kj(314 kcal),"2,7",12,"3,2","1,28",,"['Conserves', 'Plats préparés', 'Plats préparés en conserve']",6.4 g,en quantité modérée,2.7 g,en quantité modérée,12 g,en quantité modérée,3.2 g,en quantité élevée,,+193%,+195%,+37%,+81%,+492%,+659%,+161%,+255%,+255%,17,+1404%,D,+1404%,,,,,,,,,,,,,,,,,,,,
59,Xenatest,0634065621537,['France'],[],[],?,0,0,0,0,,,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Whey HT,0634065449865,['France'],[],[],?,406,6,"7,4","80,7",,,1699 kj(406 kcal),"2,9",5,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Thé à l'érable,0771098009229,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Colombo,3368750001805,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Vegetarian diced lamb with cumin,6920110100428,['France'],[],"['Végétalien', 'Végétarien']",?,227,"12,2",13,"16,4",,"['Végétarien', 'Végétalien']",950 kj(227 kcal),"0,8","0,6","0,635","0,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jiangxi Rice Vermicelli (L) - 2000g,0098367008371,['France'],[],[],?,345,0,78,7,,,1443 kj(345 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 g,,,,,,,,,,,,
65,Pineapple premium fruit juice,9415767034969,['France'],[],[],?,34,0,"7,8","0,2",,,142 kj(34 kcal),0,"7,7","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fresh spinach,9421000580179,['France'],[],[],?,18,"0,4",0,"2,5",,,75 kj(18 kcal),"0,05",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3760097980445,3760097980445,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Red Chilli Powder - 100g,0705632491010,['France'],[],[],?,125,"0,2","4,5","0,9",,,523 kj(125 kcal),0,"2,5","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
69,080004785538001,080004785538001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Muffins de arándanos sin gluten y sin aceite de palma - Adpan,8436018840048,['France'],[],[],?,380,23,"40,21","2,76",['Adpan'],,1590 kj(380 kcal),"3,3","23,98","0,46","0,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Confiture extra abricot -,4772378875875,['France'],[],[],?,239,"0,1",58,"0,4",,,1000 kj(239 kcal),"0,1",51,"0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0.1 g,en faible quantité,0.1 g,en faible quantité,51 g,en quantité élevée,0.01 g,en faible quantité,,+9%,+9%,-56%,+134%,+9%,+1%,-20%,-55%,-55%,7,-22%,C,-22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,
72,Becherovka 38% Mini,85916623,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Kräutersalz-streudose,4012346160405,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2fresh - Hollywood,3538280029468,['France'],[],[],?,171,"0,3",67,"1,1",['Hollywood'],,715 kj(171 kcal),"0,1","0,1","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Pollen en pelotes bio,,['France'],[],[],?,?,?,?,?,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Confiture de figues - Zgolli,6194004806011,['France'],[],[],?,?,?,?,?,['Zgolli'],,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
77,Pain noisettes raisins,0202563017918,['France'],[],[],?,292,"9,2",43,8,,,1222 kj(292 kcal),"0,7",11,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mercimek - Knorr,8690637581595,['France'],[],[],?,?,?,?,?,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Cheatless Protein Bar,5060635660012,['France'],[],[],?,326,"13,2",35,"33,3",,,1364 kj(326 kcal),"3,3","4,65","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Ovaltine,7612100063620,['France'],[],[],?,370,"1,9",80,6,['Ovaltine'],,1548 kj(370 kcal),"0,7",49,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Miel d Acacia,3700364701953,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
82,préparation pour boisson cacaotée - Monbana - 1kg,3474340017214,['France'],[],[],?,370,"1,7",77,"8,3","['Monbana', 'Chocolaterie Monbana']","['Commerce équitable', 'Max Havelaar']",1548 kj(370 kcal),"1,1",75,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,
83,Pain au chocolat,0202672025583,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,8428626012207,8428626012207,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3434380005343,3434380005343,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Escalopes de dinde,2414223043955,['France'],[],[],?,?,?,?,?,['Dinde'],,,,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
87,Koikara boukun habanelo tohato,4901940110292,['France'],[],[],?,542,"32,4","58,6","3,8",,,2268 kj(542 kcal),"13,8","2,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Noix du Brésil,2600134031031,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Rummikub Travel,8711808501058,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Volaille - 750ml,0262099044086,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750 ml,,,,,,,,,,,,
91,Asbal,4260161971731,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Chocolat blanc - 100g,3477730050075,['France'],[],[],?,578,38,52,"5,7",,,2418 kj(578 kcal),22,50,"0,191","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
93,P'tit Basque pur brebis 6,0202860087058,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Casse-croûtes de fruits avzc myrtilles,5710183001187,['France'],[],[],?,1433,"1,4","76,8",1,,,5996 kj(1433 kcal),"0,3","72,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Cookie x8 - 400g,3511240314668,['France'],[],[],?,454,19,63,"6,3",,,1900 kj(454 kcal),10,30,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,
96,Sablés Pique de Citron,3392360011190,['France'],[],[],?,494,23,66,6,,,2067 kj(494 kcal),16,29,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Petits Sablés aux noisettes,3392360011121,['France'],[],[],?,533,30,59,"8,2",,,2230 kj(533 kcal),14,25,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Colas,5425039331843,['France'],[],[],?,201,"0,2",73,6,,['en:gluten-free'],841 kj(201 kcal),"0,2",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Mix gomme citrique - 300g,5425039333175,['France'],[],[],?,294,"0,02",68,"5,1",,,1230 kj(294 kcal),"0,02",53,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
100,Colas,5425039331843,['France'],[],[],?,201,"0,2",73,6,,['en:gluten-free'],841 kj(201 kcal),"0,2",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mix gomme citrique - 300g,5425039333175,['France'],[],[],?,294,"0,02",68,"5,1",,,1230 kj(294 kcal),"0,02",53,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
102,Matelas à langer -,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
