,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,labels,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,brand_owner,additives,allergens,nova_score,packaging,generic_name,manufacturing,ingredients_origins,link,palm_ingredients
1731,Tarte pommes,0208168059360,['France'],[],[],?,197,"7,8",30,"1,7",,,824 kj(197 kcal),"5,6",19,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1732,Croustillons picard - 580g,3760043730018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580 g,,,,,,,,,,,,
1733,Saucisson à l'ail,2230982050573,['France'],[],[],?,295,26,0,16,,"[""Saucisson à l'ail""]",1234 kj(295 kcal),"9,9",0,2,"0,8",E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",26 g,en quantité élevée,9.9 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,+8%,+7%,+17%,+16%,-100%,-100%,0%,-5%,-5%,20,+4%,E,+4%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,"['EMB 72373A', 'Vibraye (Sarthe, France)']",,,,,,,,,,
1734,Dubois Semiseco,8410384005416,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,Fazer Marianne 70er Special Edition,6416453036659,['France'],[],[],?,444,11,82,"1,7",,,1858 kj(444 kcal),"6,8",70,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Pick'n Choc,8747999793,['France'],[],[],?,500,24,62,"7,7",,,2092 kj(500 kcal),"9,1",60,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Exotic Boost Flavoured Green Tea - Nestlé,7613037014617,"['France', 'Suisse']",[],[],?,?,?,?,?,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,
1738,Jengibre molido ecológico - Ducros,3166296211524,['France'],[],[],?,?,?,?,?,['Ducros'],['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739,Poivre noir moulu,8424225000324,['France'],[],[],?,?,?,?,?,,['Halal'],,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,,,,
1740,Cúrcuma molida - Ducros,3166296211616,['France'],[],[],?,?,?,?,?,['Ducros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
