,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
10,Champignons 1er prix - 230g,27043288,,,,"['Belgique', 'France']",[],[],?,,17,,"0,49",,"0,49",,"2,3",,,,,,,,,71 kj(17 kcal),"0,3","0,49","0,75","0,3",230 g,,,,,,,,,,,,,,,,,,['Conserve'],,,,['Aldi'],,,,,,,,,
11,Blanc de dinde cuit - Leader price - 125g,8426403281303,D,['Leader price'],"['Viandes', 'Volailles', 'Dindes', 'Blancs de dinde']","['France', 'La Réunion']",[],[],?,,86,-16%,1,-38%,1,-33%,18,-10%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,360 kj(86 kcal),"0,6",1,"1,7","0,68",125g,1 g,en faible quantité,0.6 g,en faible quantité,1 g,en faible quantité,1.7 g,en quantité élevée,-16%,+18%,+15%,-14%,-14%,3,-43%,C,-43%,,,,,['Leader Price'],,,,,,,,,
12,cocktail de fruits de mer congelés - auchan - 400g,26262499,,['Auchan'],,['France'],"['de moules', 'dericorners et de cre ingrédients Moules décoquillées cuites 37% minimum', ""anneaux d'encor net blanchis 22% minimum "", 'A', "" ou lamelles d'encornet géant blanches 22% minimum "", 'B', ""têtes et pattes d'encornet "", 'C', "" blanchis 17% minimum ou rondelles d'encornet géant cuites O"", ' 17% minimum', 'crevettes sauvages décortiquées blanchies 296 12% minimum', 'sel', ""correcteur d'acidite E330"", 'colorants : E6De', 'E162']","['Non végétalien', 'Non végétarien']",?,,404,,"1,5",,"3,2",,17,,,,,,,,,1690 kj(404 kcal),"0,4",0,"0,85","0,34",400g,,,,,,,,,,,,,,,,,,['Sachet'],['Mollusques'],4,,['Auchan'],"['E330 - Acide citrique', 'E162 - Rouge de betterave']",,,,,,,,
13,Dietaroma,12527730,,['Dietaroma'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01']",,,,,,,,,,
14,Café moulu corsé absolu - U,3256224433026,,['U'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Steak haché spécial Burger pur boeu def,3245415664899,,,"['Viandes', 'Steaks', 'en:Bœuf', 'en:Steaks de bœuf', 'en:Steaks de bœuf hachés', 'en:Steaks hachés', 'en:Viandes']",['France'],[],[],?,,0,-100%,?,,?,,?,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,-100%,,,,,,,,,['Barquette'],,,,,,,,,,,,,
16,Crispinbread - Orgran,0720516022050,,['Orgran'],,['France'],[],[],?,,354,,"1,4",,"75,5",,"6,6",,,,,,,,,1481 kj(354 kcal),"0,3","0,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Australie']",,,,,,,,,,
17,Salami à l'ail - Delhaize - 150g,5400112721254,,['Delhaize'],"['Viandes', 'Charcuteries']","['Belgique', 'France', 'Luxembourg']","['viande de porc', 'graisse de porc', 'sel', 'protéines de lait', 'dextrose', 'ail 0,4%', 'herbes et épices', 'colorants ', 'rouge de betterave', 'carmin', 'hémoglobine de porc', 'antioxydants ', 'ascorbate de sodium', 'extrait de ro - marin', 'stabilisant ', 'diphosphates', 'conservateurs ', 'nitrite de sodium', 'nitrate de potassium', ' lactose', 'ferments', 'fumée']","['Non végétalien', 'Non végétarien']",?,,343,+31%,"29,5",+53%,"0,3",-80%,"18,6",-1%,,,,,,,,1435 kj(343 kcal),"12,1","0,2","2,8","1,12",150 g,29.5 g,en quantité élevée,12.1 g,en quantité élevée,0.2 g,en faible quantité,2.8 g,en quantité élevée,+33%,+66%,-75%,+18%,+18%,24,+50%,E,+50%,,['Lait'],4,,['Delhaize'],"['E162 - Rouge de betterave', 'E120 - Acide carminique', 'E301 - Ascorbate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",['Belgique'],,,,,,,
18,Maple Caramel Candies,0056183183054,,,,['France'],[],[],?,,300,,"6,5",,"62,5",,1,,,,,,,,,1255 kj(300 kcal),"2,5",45,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pizza quesos con emmental mozzarella gorgonzola y queso curado - Buitoni - 350g,7613032372422,,['Buitoni'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],[],?,,250,+9%,"10,9",+30%,"24,9",-7%,"12,1",+17%,,,,,,,,1046 kj(250 kcal),"5,5","1,9","1,01","0,404",350 g,10.9 g,en quantité modérée,5.5 g,en quantité élevée,1.9 g,en faible quantité,1.01 g,en quantité modérée,+9%,+40%,-35%,-19%,-19%,12,+54%,D,+54%,,,,,,,,,,,,,,
20,Carlsberg,3080216027760,,['Carlsberg'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pizza jambon speck & mozzarella - Leaderprice,3263858678518,,['Leaderprice'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],[],?,,240,+5%,"7,9",-6%,"28,7",+7%,"12,3",+19%,,,,,,,,1004 kj(240 kcal),"3,8","1,4","1,4","0,56",,7.9 g,en quantité modérée,3.8 g,en quantité modérée,1.4 g,en faible quantité,1.4 g,en quantité modérée,+5%,-3%,-52%,+12%,+12%,11,+42%,D,+42%,,,,,,,,,,,,,,
22,"Maisel & Friends IPA - Maisel & Friend - 0,33l",40173597,C,['Maisel & Friend'],"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],"['eau', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,"0,33l",,,,,,,,,,,,,,,,,,['Bouteille'],['Gluten'],3,,,,,['Bayreuth'],,,,,,
23,Carb blocker - Natural Mojo,4251347600729,,['Natural Mojo'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Viande de poulet façon kébab halal - Mr Chicken - 250g,27036815,,['Mr Chicken'],"['Viandes', 'Surgelés', 'Viandes surgelées']","['Belgique', 'France']","['viande de cuisse de poulet ', '94%', 'amidon', 'épices', 'sel', 'dextrose', ""extrait d'epices VALEURS NUTRITIVES""]","['Non végétalien', 'Non végétarien']",?,,0,-100%,"3,2",-77%,"4,5",+185%,"22,2",+28%,,,,,,,,0 kj(0 kcal),"3,2","2,4","1,9","0,76",250 g,3.2 g,en quantité modérée,3.2 g,en quantité modérée,2.4 g,en faible quantité,1.9 g,en quantité élevée,-100%,-44%,+424%,+230%,+230%,11,+81%,D,+81%,['découpée et surgelé'],,4,['Naturel'],['Aldi'],,['Allemagne'],['Allemagne'],['DE EV 254 EG'],,,,,
25,Domaine de clapiers - Jalade - 75cl,3211209953654,,['Jalade'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mini Pizza 3 Fromages - Monique Ranou - 270g,3250391518258,C,['Monique Ranou'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux trois fromages']",['France'],[],[],?,,299,+21%,"13,2",+39%,"31,7",+15%,"12,3",+10%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,1251 kj(299 kcal),8,"2,3","1,4","0,56",270 g,13.2 g,en quantité modérée,8 g,en quantité élevée,2.3 g,en faible quantité,1.4 g,en quantité modérée,+21%,+58%,-8%,+13%,+13%,16,+55%,D,+55%,,,,,['Intermarché'],,,,,,,,,
27,Café en grains - Café caravelle - 250g,3149330008168,,['Café caravelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Vrac']",['France'],['Grains de caffé'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,250g,,,,,,,,,,,,,,,,,,,,,,['Super U'],,,,,,,,,
28,Terrine Bourguignonne - Antoine Sabatier - 200g,3441700285309,,['Antoine Sabatier'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne', 'Terrines de porc', 'Terrine Bourgignone']",['France'],"['Viande fraîche et foie de porc', 'œuf', 'vin rouge de Bourgogne', 'fécule de pomme de terre', 'sel', 'Marc de bourgogne ', '0,9 %', 'protéines de lait ', 'lait', 'épices et plantes aromatiques ', 'contient céleri', 'dextrose', 'sirop de glucose', 'arômes naturels', 'sucre', 'conservateur:nitrite de sodium', 'antioxydant : ascorbate de sodium', ' Fabriqué en France à partir de viande porcine française']",['Non végétalien'],1339,+5%,323,+6%,26,-2%,"4,2",+110%,18,+24%,,,,,,,,1339 kj(323 kcal),10,"1,2","1,3","0,52",200 g,26 g,en quantité élevée,10 g,en quantité élevée,1.2 g,en faible quantité,1.3 g,en quantité modérée,+5%,+2%,+90%,-16%,-16%,17,-9%,D,-9%,"['Frais', 'Plastique']","['Céleri', 'Œufs', 'Lait']",4,"['Viande Française', 'Viande Porcine Française']",,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,"['Dijon', 'France']","['FR 21.231.005 CE', ""Dijon (Côte-d'Or, France)""]",Terrine de Campagne au Marc de Bourgogne,,,,
29,3251091310043,3251091310043,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wholegrain oats,9414727889762,,,,['France'],[],[],?,,360,,"6,8",,"54,3",,14,,,,,,,,,1506 kj(360 kcal),"1,3","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Boisson d'amandes - Kirkland - 946ml,0096619342556,E,['Kirkland'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]","['Canada', 'France']","[""base d'amande biologique "", 'eau filtrée', 'amandes', 'huile de canola biologique', 'phosphate tricalcique', 'citrate de potassium', 'gomme de gellan', 'sel de mer', 'arômes naturels', 'gomme de caroube', 'gluconate de zinc', 'acétate de vitamine A', 'vitamine B12', 'vitamine B2 ', 'riboflavine', 'vitamine D2', ' CONTIENT: amandes']",[],?,,40,+5%,"3,5",+64%,1,-73%,1,+16%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,167 kj(40 kcal),"0,3",0,0,0,946 ml,3.5 g,en quantité modérée,0.3 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+5%,+21%,-100%,-100%,-100%,-1,-780%,A,-780%,['Tetrapak'],['Fruits à coque'],4,"['Bio', 'Biologique Canada', 'Pro-cert']",,"['E341iii - Phosphate tricalcique', 'E332 - Citrates de potassium', 'E410 - Gomme de caroube']",,,,,,,,
32,nesquik - nestle - 500g,14184428,,['Nestle'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Les Créations,3250392562755,,['Les Créations'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 47091F', 'Estillac (Lot-et-Garonne, France)']",,,,,
34,Joghurt mild - Mertinger milchhof - 150g,40145587,,['Mertinger milchhof'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Miel fleurs de printemps de Normandie,3502190004501,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],?,,0,-100%,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,0 kj(0 kcal),,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,
36,fromage blanc bio - paturages - 500g,17279925,,['Paturages'],['Produits laitiers'],['France'],[],[],?,,329,+33%,"3,6",-80%,?,,"7,6",-39%,,,,,,,,1377 kj(329 kcal),"2,3","3,9","0,1","0,04",500g,3.6 g,en quantité modérée,2.3 g,en quantité modérée,3.9 g,en faible quantité,0.1 g,en faible quantité,+36%,-81%,-4%,-87%,-87%,2,-80%,B,-80%,['pot plastique'],,,['Bio'],['intermarché'],,['France'],"[""d'attrait 50260""]","['FR 50.579.001 CE', 'Sottevast (Manche, France)']",,,,,
37,Cafe moulu FOLLIET - Folloer - 250gr,3324700000304,,['Folloer'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,250 gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Vin rosé,3245415707305,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",['France'],[],[],?,,?,,?,,?,,?,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Twix,5000159482165,,['Twix'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,yaourt milbona bio nature lidl - 125g,13059187,,['Milbona'],,['France'],"['98%lait entier*,poudre de lait écrémé*,ferments lactiques', ""*ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,125g,,,,,,,,,,,,,,,,,,['Pots'],['Lait'],,['Bio'],['Lidl'],,,,,,,,,
41,Ananas et Mangue - Monoprix,3350030179229,,['Monoprix'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Monoprix'],,,,,,,,,
42,Crêpes gefüllt mit Heidelbeerkonfitüre - Duc De Coeur - 32g,20091712,B,['Duc De Coeur'],"['Crêpes et galettes', 'Crêpes', 'de:Filled crêpes']","['France', 'Allemagne']","['40% Heidelbeerkonfitüre ', '40% Heidelbeeren', 'Invertzuckersirup', 'Zucker', 'Zitronensaftkonzentrat', 'Säureregulator: Natriumcitrate: Geliermittel: Pektine', 'Weizenmehl', 'Vollmilch', 'Zucker', 'Vollei', 'Butter', 'Invertzuckersirup', 'Speisesalz']",['Non végétalien'],?,,344,+12%,8,-19%,"62,4",+37%,"4,5",-37%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,1439 kj(344 kcal),5,"43,9","1,11","0,444",32g,8 g,en quantité modérée,5 g,en quantité modérée,43.9 g,en quantité élevée,1.11 g,en quantité modérée,+12%,+37%,+107%,+37%,+37%,21,+74%,E,+74%,['Kunststoff'],"['Œufs', 'Gluten', 'Lait']",4,,['Lidl'],"['E331 - Citrates de sodium', 'E440 - Pectines']",,,,Gerollte Crêpes gefüllt mit Heidelbeerkonfitüre,,,,
43,Raisin noir : Muscat de Hambourg - Les paysans bio de Provence - 500g,3760074472154,B,['Les paysans bio de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Raisins', 'Raisins noirs', 'Raisins frais']",['France'],[],[],?,,?,,?,,?,,?,,68.7%,0.0%,0.0%,15.2%,12.1%,4.0%,97,,,,,,500g,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,['France'],,"['EMB 84035U', 'Cavaillon (Vaucluse, France)']",,,,,
44,Thé Noir Darjeeling - Lobodis - 50g e,3376221211165,A,['Lobodis'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs']",['France'],"['Thé noir*', "" * Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,50 g e,,,,,,,,,,,,,,,,,,"['Carton', 'boîte']",,1,"['Bio', 'Bio européen', 'Commerce équitable', 'Fairtrade International', 'Point Vert', 'Max Havelaar', 'Sans additifs', 'AB Agriculture Biologique']",['Leclerc'],,['Inde'],"['St Brieuc', 'France']",,Thé bio et équitable - Thé Noir Darjeeling,,,,
45,Thé detox - Juvamine - 20sachets,3160920772085,,['Juvamine'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,20 sachets,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
46,Sardes - Rader - L’éminent,5410228217459,,['Rader'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,L’éminent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Kruidvat Barre Repas Croustilles Du Caramel - 60g,8717333893255,,['Kruidvat'],,"['Belgique', 'France']",['nutritionnelle par 100g barre per portie'],[],?,,264,,"8,7",,29,,19,,,,,,,,,1105 kj(264 kcal),5,13,"0,45","0,18",60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6 oeufs frais bio -,3760191880016,C,,"[""Produits d'élevages"", 'Œufs']",['France'],[],[],?,,?,,?,,?,,?,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nature & progrès']",,,,,,,,,,
49,Sel de mer saveur citron & thym - Savor & Sens Tradition - 650g,3760194208138,B,['Savor & Sens Tradition'],"['Epicerie', 'Condiments', 'Sels', 'Sels marins']",['France'],"['Sel de mer 95,2%,thym 1,7%,curcuma', 'huile essentielle de citron 0,2%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,650g,,,,,,,,,,,,,,,,,,['Pot plastique .'],,2,,['Épicerie Fine'],,['France'],['Six Fours'],['83129IP'],,,,,
50,Rice nature - ECO MIL.,8428532192505,E,['ECO MIL.'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz', 'Boissons végétales de riz nature']",['France'],"['CA aturellement sans laciuse et sans gluten cmme Este producto se fabrica en una pantda ice drink', ' No added sugars', ' Contains naturally occuting sagars', ' lingredients Product tut ase processes auts', ' Keep refnigerated aher apening 5 days']","['Végétalien', 'Végétarien']",?,,59,-2%,"0,8",-29%,12,+7%,"0,6",+97%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,247 kj(59 kcal),"0,1",5,"0,06","0,024",,0.8 g,en faible quantité,0.1 g,en faible quantité,5 g,en quantité modérée,0.06 g,en faible quantité,+1%,-50%,-8%,-36%,-36%,1,+20%,B,+20%,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans sucre ajouté', 'Sans lactose']",,,,,,,,,,
51,Tomaquet fregit - Bonpreu,8422410003013,B,['Bonpreu'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates frites']","['France', 'Espagne']",[],[],?,,82,-6%,"3,6",-10%,11,+19%,1,-21%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,343 kj(82 kcal),"0,5","6,4","0,7","0,28",,3.6 g,en quantité modérée,0.5 g,en faible quantité,6.4 g,en quantité modérée,0.7 g,en quantité modérée,-3%,+3%,-8%,-37%,-37%,5,-4%,C,-4%,,,,,,,,,,,,,,
52,Galoshard Framboise,3760044310271,,,,['France'],[],[],?,,0,,?,,?,,?,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Snack tarte tomates chèvre,3263858772315,C,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au fromage']",['France'],[],[],?,,201,-21%,12,-21%,14,-30%,"8,8",+0%,70.7%,13.4%,3.3%,3.6%,1.9%,7.2%,56,841 kj(201 kcal),"6,3","2,4","0,78","0,312",,12 g,en quantité modérée,6.3 g,en quantité élevée,2.4 g,en faible quantité,0.78 g,en quantité modérée,-22%,-25%,+2%,-16%,-16%,11,-15%,D,-15%,,,,,,,,,,,,,,
