,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,allergens,nova_score,labels,markets,additives,ingredients_origins,manufacturing,traceability_code,generic_name,link,brand_owner,palm_ingredients,producer_info
0,Avocat - Perou,3000001037576,D,['Perou'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Avocats']",['France'],[],[],?,,?,,?,,?,,?,,84.4%,0.0%,0.0%,8.7%,3.8%,3.1%,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gâche maison pur beurre,0205027019619,,,,['France'],[],[],?,,378,,15,,51,,"8,5",,,,,,,,,1582 kj(378 kcal),"9,3",15,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bière blanche saveur pêche - Perlembourg - 6x 25cl,3162330281140,C,['Perlembourg'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bieres aromatisées aux fruits', 'Bières blanches']",['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,6 x 25 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Parmigiano regiano AOP - 0,160kg",2449185024995,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['France'],[],[],?,,402,+0%,30,+1%,0,-100%,32,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1682 kj(402 kcal),25,0,"1,6","0,64","0,160 kg",30 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,+1%,+26%,,0%,0%,17,+2%,D,+2%,,,,,,,,,,,,,,
4,Biere blonde extra forte 10 degrés - 50Cl,26032146,C,['Biere blonde extra forte 10 degrés'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières fortes']",['France'],"['eau', ""malt d'orge"", 'mais,extraits de houblon', 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,50 Cl,,,,,,,,,,,,,,,,,,['Canette'],['Gluten'],3,,,,,,,,,,,
5,Muesli quinoa cranberry blue - Barnhouse,4021234103325,B,['Barnhouse'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['France', 'Espagne']",[],[],?,,367,-12%,"6,3",-52%,"63,6",+5%,"9,5",-4%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,1536 kj(367 kcal),"1,7","15,4","0,3","0,12",,6.3 g,en quantité modérée,1.7 g,en quantité modérée,15.4 g,en quantité élevée,0.3 g,en quantité modérée,-12%,-49%,-9%,+72%,+72%,4,-19%,C,-19%,,,,['Fabriqué en Allemagne'],,,,,,,,,,
6,Aloe vera king,8809041426532,,,,['France'],[],[],?,,40,,0,,10,,0,,,,,,,,,167 kj(40 kcal),0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lasagne bolognaise porc&boeuf,5413848575657,D,,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']",['France'],[],[],?,,115,-14%,"4,6",-24%,"8,8",-30%,"8,8",+39%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,481 kj(115 kcal),"2,1","2,6","0,62","0,248",,4.6 g,en quantité modérée,2.1 g,en quantité modérée,2.6 g,en faible quantité,0.62 g,en quantité modérée,-14%,-17%,-4%,-21%,-21%,0,-100%,B,-100%,,,,,,,,,,,,,,
8,Oranges à jus,8713037002771,,,,['France'],[],[],?,,415,,"8,5",,"74,5",,"10,2",,,,,,,,,1736 kj(415 kcal),1,"0,6",2,"0,8",,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Espagne'],,,,,,,,,,
9,20248222,20248222,,,,['France'],"['пуканки за микровълнова фурна', 'с вкус на масло', 'Съставки: 75% царевични зърна', 'палмово масло', '3% трапезна сол', 'ароматизант', 'Може да съдържа еде от фъстьци и ядки', 'Неотворен най-добър до:/ Партида: виж бялото поле вляво', 'Да се съхранявансүхои хладно място', 'Указания за приготвяне: 1', 'Поставете вытрешната опаковка в микровълновата фурна', 'както е показано на картинката', '2', 'Оставете пуканките да се изпукат за ок', '2-4 минути', 'в зависимосТ От мощността на микровълновата фурна', '3', 'Изключете фурната', 'когато интервальт между две пукания е повече от 2-3 секунди', '4', 'Извадете опаковката от микровълновата фурна и разклатете', 'При отваряне внимавайте да не се изгорите от излизащата пара', '100 g 3 кcal 24,0g 12,0 g 53,0 g са', '2-4 min,']",['Huile de palme'],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
