,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
0,Turon de coulant de chocolat - Lacasa,8410740908245,E,['Lacasa'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón de chocolat']",['France'],[],[],26.9 g,en quantité élevée,10.4 g,en quantité élevée,37.9 g,en quantité élevée,0.2 g,en faible quantité,?,,466,-15%,1950 kj(466 kcal),-15%,"26,9",-25%,"10,4",-26%,48,+7%,"37,9",-3%,"5,5",-37%,"0,2",+60%,"0,08",+60%,23,-1%,E,-1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,
1,Original - Rockstar,8410409016502,,['Rockstar'],"['Boissons', 'Boissons énergisantes']","['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0.16 g,en quantité modérée,?,,51,+42%,213 kj(51 kcal),+43%,"0,5",+652%,"0,1",+333%,12,+50%,12,+65%,"0,5",+245%,"0,16",+39%,"0,064",+39%,16,+48%,E,+48%,,,,,,,,,,,,,,,,,,,,,,
2,9 kat tat,8690766085735,,,,['France'],[],[],,,,,,,,,?,,536,,2243 kj(536 kcal),,29,,26,,62,,30,,"5,3",,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Haricot Vert - DJSMM SAS - 350g,3760185370219,,['DJSMM SAS'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,350 g,['Kenya'],['Carrefour'],,,,,,,,,,,,
4,Rillettes de canard au foie gras - Germaine de Montpezat,3760265580002,D,['Germaine de Montpezat'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",['France'],[],[],34 g,en quantité élevée,11.5 g,en quantité élevée,0.2 g,en faible quantité,1.3 g,en quantité modérée,?,,360,-10%,1506 kj(360 kcal),-10%,34,-7%,"11,5",-8%,"0,8",+38%,"0,2",-20%,"12,5",-23%,"1,3",-5%,"0,52",-5%,19,-2%,E,-2%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,
5,Sauce tomates cerises,5425016280515,,,,['France'],[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,0,,0,,"5,5",,5,,"0,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Filets de poulet rotis,0211791033393,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],[],5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,?,,141,-3%,590 kj(141 kcal),-3%,"5,5",+2%,"1,4",+3%,"0,6",+4%,"0,6",+39%,"22,3",-6%,"1,26",-6%,"0,504",-6%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
7,Pâté de viande,3519530011983,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,21,,"7,6",,"0,7",,"0,4",,19,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Huile de tournesol,13656560,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['France'],[],[],100 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,0.01 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,11,+4%,"0,5",+112513%,"0,5",+53491%,"0,5",+102993%,"0,01",+21222%,"0,004",+21222%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,,,,
9,Le Moelleux Haché au bœuf,3760091933720,,,,['France'],[],[],,,,,,,,,?,,227,,950 kj(227 kcal),,17,,"7,7",,"2,5",,1,,16,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Shaker duo framboise -,,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding']",['France'],"['60,6% BCAA acides aminés ramifiés ', '30,3% de L-leucine', '15,15% de L-valine', '15,15% de L-isoleucine', '15,15% de bêta-alanine', ""régulateur d'acidité - acide citrique"", ' arômes', 'colorant - E 150d ', 'pour le goût du cola xplosion', ' 2,27% de caféine', 'édulcorants - cyclamates ', 'Z', 'acésulfame K', 'sucralose', ' émulsifiant - lécithine ', 'de soja', ' 0,026% de chlorhydrate de pyridoxine - vit', ' B6', 'épaississant - gomme arabique', ' des pigments: carotènes ', 'A', 'la cochenille ', 'B', 'la riboflavine ', 'C', 'E 150c ', 'D', 'E 150d ', 'E', 'E 133 ', 'F', 'le brevet V bleu ', 'G', ""de l'indigo "", 'H', 'les chlorophylles et chlorophylline ', 'I', 'la curcumine ', 'J', 'les anthocyanes ', 'K', ""l'extrait de poivre "", 'L', 'la bétanine ', 'M', 'le carbone végétal ', 'N', ' ', 'A', ' - ', 'Z', ' - Selon le goût du produit', 'le symbole ', 'AZ', "" de l'ingrédient utilisé est à côté de la date de durabilité minimale "", 'de préférence avant']","['Non végétalien', 'Non végétarien']",14 g,en quantité modérée,9.5 g,en quantité élevée,21 g,en quantité élevée,0.25 g,en faible quantité,1450,,-23%360,-23%,-22%1500 kj(360 kcal),-22%,"+52%9,22",+52%,"+147%3,85",+147%,+36%25,+36%,"+94%10,8",+94%,"-92%37,5",-92%,"-53%0,527",-53%,"-53%0,211",-53%,"+107%8,2",+107%,+107%D,+107%,,,,,,,,,,,"['E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium"", 'E952 - Acide cyclamique et ses sels', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E160 - Caroténoïdes', 'E101i - Riboflavine', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E140 - Chlorophylles et Chlorophyllines', 'E100 - Curcumine', 'E163 - Anthocyanes', 'E162 - Rouge de betterave']",['Soja'],4,,,,,,,,,
11,Chipolatas supérieures de volaille,3345100007625,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],11.2 g,en quantité modérée,3 g,en quantité modérée,0.7 g,en faible quantité,1.7 g,en quantité élevée,?,,180,-25%,753 kj(180 kcal),-25%,"11,2",-41%,3,-58%,3,+156%,"0,7",+11%,"15,8",+3%,"1,7",-6%,"0,68",-6%,11,-34%,D,-34%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,
12,Jus Pomme Coing,3760131162011,,,,['France'],[],[],,,,,,,,,?,,47,,197 kj(47 kcal),,0,,0,,12,,11,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Café moulu velours noir,8711000523513,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fraises equetees - Metro,3439496400655,,['Metro'],,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,1,,"0,5",,61,,6,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kwass,4038745601011,,,,['France'],[],[],,,,,,,,,?,,43,,180 kj(43 kcal),,"0,5",,"0,1",,"9,2",,"7,9",,"0,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Morning Round Muesli,0664164100251,,,,['France'],[],[],,,,,,,,,?,,253.33333333333,,1060 kj(253 kcal),,"2,667",,"0,267",,"49,333",,"10,667",,8,,"0,633",,"0,253",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tocaccine,26017419,,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,"5,9",,"0,9",,43,,"2,4",,"9,4",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ail semoule,3250392569716,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Ail et dérivés', 'Légumes séchés moulus', 'Ail sec broyé']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,25.9%,0.0%,39.7%,11.5%,22.9%,0.0%,95,,,,,,,,,,,,,,,
19,Gulaschsuppe - Knorr - 500g,9000275633812,,['Knorr'],"['Plats préparés', 'Soupes']","['Autriche', 'France', 'Allemagne']",[],[],3.2 g,en quantité modérée,2.3 g,en quantité modérée,2 g,en faible quantité,3.3 g,en quantité élevée,?,,72,+26%,301 kj(72 kcal),+27%,"3,2",+65%,"2,3",+281%,"6,4",+11%,2,+16%,"3,9",+77%,"3,3",+282%,"1,32",+282%,12,+632%,D,+632%,,,,,,,,500g,,,,,,"['Dose', 'Produkt', 'Dose(n)']",,,,,,,,
20,Xxl poulet,4099200405278,,,,['France'],[],[],,,,,,,,,?,,151,,632 kj(151 kcal),,10,,2,,15,,"0,5",,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Délice de chèvre aux olives noires,3498976220381,,,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,13,,"4,1",,"6,7",,"2,5",,"2,5",,2,,"0,8",,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
22,Pâté de porc - Hénaff - 1000g,3537580707380,D,['Hénaff'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâté breton']",['France'],"['Viande de porc* ', '91 %', ' dont jambon ', '20 %', 'fumet', 'foie de porc*', '1,5%', ' sel de Guérande ', '1,5 %', 'épices', ' * Origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",23 g,en quantité élevée,9 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,1149,-5%,277,-11%,1149 kj(277 kcal),-12%,23,-14%,9,-11%,"0,5",-78%,"0,2",-77%,17,+22%,"1,5",-9%,"0,6",-9%,17,-9%,D,-9%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,1000g,,,,,3,['Conserve'],"['Sans colorants', 'Sans conservateurs', 'Produit en Bretagne', 'Au sel de Guérande', 'Origine France']","['Bretagne', 'Finistère', 'Pouldreuzic']",,,,,,
23,Framboise intense,3700422212698,,,,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"0,2",,0,,"36,5",,"35,9",,"0,9",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Beignets gourmands -,0260179029527,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignet fourré aux fruits', 'Beignets sucrés', 'Beignets fourrés à la framboise']",['France'],[],[],19 g,en quantité modérée,2.1 g,en quantité modérée,19 g,en quantité élevée,0.7 g,en quantité modérée,?,,394,+33%,1648 kj(394 kcal),+33%,19,+86%,"2,1",+11%,48,+10%,19,+35%,"6,7",+11%,"0,7",-1%,"0,28",-1%,13,+61%,D,+61%,,,,,,,,,,,,,,,,,Beignets fourrés à la purée de framboise et d'abricot,,,,,
25,Gofretto,6132501515036,,,,"['Algérie', 'France']",[],[],,,,,,,,,?,,14,,59 kj(14 kcal),,"18,44",,10,,"77,12",,25,,"6,2",,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Terrine de Campagne aux Cèpes - Stéphan - 180g,3261830214303,,['Stéphan'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['France'],"['Foie de porc', 'gras de porc', 'gorge de porc', 'Couenne de porc', 'oignons', ""blanc d'œuf"", 'eau', 'cèpes réhydratées 3,3%', 'farine de blé', 'sel', 'pantes aromatiques', 'huile végétale de tournesol', 'arôme naturel', 'épice', 'fécule de pomme de terre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",26 g,en quantité élevée,9.6 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,300,-7%,1255 kj(300 kcal),-7%,26,-8%,"9,6",-11%,"3,6",+57%,"0,5",-42%,13,-7%,"1,6",0%,"0,64",0%,19,-2%,E,-2%,,,,,,,,180 g,['France'],,,"['Œufs', 'Gluten']",4,"['capsule métal', 'bocal verre']","['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']","['Bretagne', 'France', 'Guingamp']",,"['FR 22.225.001 CE', ""Ploumagoar (Côtes-d'Armor, France)""]",,,,
27,Pain au lin - Prozis,5600499522448,,['Prozis'],,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,10,,"1,8",,16,,"2,1",,17,,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Citronnade Bio - Nature Bio - 1L,3257985884317,,['Nature Bio'],"['Boissons', 'Citronnades']",['France'],"[""Eau de source 85% - jus de citron* à base de concentré 12% - sucre** - antioxydant: acide ascorbique - arôme naturel d'agrumes avec autres arômes naturels-acidifiant: acide citrique"", ' ""ingrédients issus de l\'agriculture biologique']",[],0.5 g,en faible quantité,0 g,en faible quantité,5.5 g,en quantité modérée,0.03 g,en faible quantité,?,,25,-22%,105 kj(25 kcal),-23%,"0,5",+557%,0,-100%,"5,8",-28%,"5,5",-27%,"0,5",+291%,"0,03",+397%,"0,012",+397%,8,-21%,D,-21%,,,,,,,,1L,,['Cora'],"['E300 - Acide ascorbique', 'E330 - Acide citrique']",,4,['Plastique'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,
29,Préparation pour marbré pistache chocolat - Légendes Gourmandes,3760155981773,,['Légendes Gourmandes'],,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,"8,1",,4,,74,,50,,"7,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tartinade de cèpes,3700238304334,,,,['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,11,,"4,6",,2,,"1,8",,"1,7",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ananas in sirup,7610265016185,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Moutarde au miel de provence,3760037598877,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],11.7 g,en quantité modérée,0.7 g,en faible quantité,13.9 g,en quantité élevée,5 g,en quantité élevée,?,,799,+370%,3343 kj(799 kcal),+371%,"11,7",+8%,"0,7",-15%,"15,5",+125%,"13,9",+260%,6,-9%,5,+6%,2,+6%,22,+90%,E,+90%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,
33,Oignon jaune en grappe 1kg - Le Geste Saveur - 1kg,3363297329818,,['Le Geste Saveur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,
34,balsamic,0710996000594,,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,100,,70,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Farine d'épeautre campagne type 80 - Moulin des Moines - 1kg,3347430001731,B,['Moulin des Moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', ""Farines d'épeautre"", ""Farines d'épeautre T80""]",['France'],[],[],9 g,en quantité modérée,0.25 g,en faible quantité,2.2 g,en faible quantité,0.01 g,en faible quantité,?,,354,+3%,1481 kj(354 kcal),+2%,9,+339%,"0,25",-15%,"69,4",+5%,"2,2",+29%,"12,8",+3%,"0,01",-25%,"0,004",-25%,-1,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,1 kg,['Union européenne'],,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'AB Agriculture Biologique']",,,,,,,
36,Minute Maid Duo Mediterraneo,90491979,D,['Minute Maid'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Produits laitiers', 'Boissons à base de végétaux', 'Boissons lactées', 'Boissons aux fruits', 'Boissons au lait et au jus de fruits']","['France', 'Espagne']",[],[],42 g,en quantité élevée,0 g,en faible quantité,11 g,en quantité élevée,0.1 g,en faible quantité,?,,47.099998474121,+10%,197 kj(47 kcal),+6%,42,+97122%,0,-100%,11,+11%,11,+18%,0,-100%,"0,1",+1312%,"0,04",+1312%,15,+21%,E,+21%,56.0%,3.7%,13.8%,19.1%,5.7%,1.6%,49,,,,,,,,,,,,,,,
37,"Açai, guaranà,gingembre",3770009487344,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"1,3",,"0,3",,"20,5",,"7,1",,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Orangettes,3454860019004,,,,['France'],[],[],,,,,,,,,?,,474,,1983 kj(474 kcal),,"20,4",,"9,9",,"61,8",,"40,8",,9,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Fresh Labneh - Thym,3700257100306,,,,['France'],[],[],,,,,,,,,?,,311,,1301 kj(311 kcal),,"28,12",,"13,14",,"3,1",,"0,8",,"11,4",,"1,12",,"0,448",,,,,,,,,,,,,,,,,,,,,,,"['FR 02.052.001 CE', 'Bassoles-Aulers (Aisne, France)']",,,,
40,Calamares En Su Tinta,8411916819907,,,['Conserves'],['France'],[],[],19.2 g,en quantité modérée,3 g,en quantité modérée,2.4 g,en faible quantité,0.88 g,en quantité modérée,?,,243,+111%,1017 kj(243 kcal),+117%,"19,2",+268%,3,+159%,"3,8",-26%,"2,4",+27%,13,+61%,"0,88",+1%,"0,352",+1%,3,+606%,C,+606%,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,
41,Steaks hachés,5902082408796,E,,"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",['France'],[],[],19 g,en quantité modérée,8.1 g,en quantité élevée,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,229,+22%,958 kj(229 kcal),+22%,19,+53%,"8,1",+55%,"4,4",+2046%,"0,5",+262%,19,-1%,"0,2",-9%,"0,08",-9%,5,+82%,C,+82%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,,,
42,BIO Thé froid aux herbes des alpes suisses - Bio Organic - 0.5l,20021726,,['Bio Organic'],['Boissons'],"['France', 'Allemagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,6 g,en quantité modérée,0.01 g,en faible quantité,?,,24,-57%,100 kj(24 kcal),-59%,"0,5",+44%,"0,1",-15%,6,-47%,6,-36%,"0,5",+1%,"0,01",-76%,"0,004",-76%,8,+4%,D,+4%,,,,,,,,0.5l,,,,,,,['Bio'],,,,,,,
43,Comté,2600423024270,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],34.6 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,0.82 g,en quantité modérée,?,,418,+5%,1749 kj(418 kcal),+6%,"34,6",+6%,"22,5",+4%,"26,7",+5679%,0,-100%,"26,7",+6%,"0,82",-16%,"0,328",-16%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,
44,Haricots verts,3069538102966,,,,['France'],"[""lal HARICOTS VERTS TRÈS FINS POIDS NET TOTAL 800 ge POIDS NET ÉGOUTTÉ 440 g consommer de préférence avant la date figurant sur l'un des fonds"", ' PENSEZ AU TRI! CONSERVES FRANCE Domaine du Grand Frigolel 13150 TARASCON FRANCE me4ps au retrigerateur']",[],,,,,,,,,?,,24,,100 kj(24 kcal),,"0,3",,"0,1",,"2,3",,"0,5",,"1,3",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pates de fruits,3467661007668,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",['France'],[],[],0.2 g,en faible quantité,0.02 g,en faible quantité,71 g,en quantité élevée,0.15 g,en faible quantité,?,,327,+4%,1368 kj(327 kcal),+4%,"0,2",-41%,"0,02",-83%,80,+5%,71,+7%,"0,8",+23%,"0,15",+25%,"0,06",+25%,9,+9%,C,+9%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,,,
46,Moules à l'escabeche,8411186014439,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]","['France', 'Espagne']",[],[],14 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,0.85 g,en quantité modérée,?,,192,-4%,803 kj(192 kcal),-4%,14,+3%,"2,2",+5%,"3,4",+9%,0,-100%,13,-17%,"0,85",-37%,"0,34",-37%,2,-64%,B,-64%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,,,,,,,
47,Huile d'olive vierge extra,8414979100555,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],100 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
48,Quartiers de mangue - Coop - 200g,7613379902030,E,"['Coop', 'Coop Betty Bossi']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Fruits frais', 'Mangues', 'Mangues fraîches']","['France', 'Suisse']",['mangues'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,?,,62,-3%,259 kj(62 kcal),-3%,0,-100%,0,-100%,14,-2%,14,+14%,"0,6",-2%,0,-100%,0,-100%,-2,,A,,15.0%,0.0%,0.0%,83.7%,1.0%,0.3%,25,200 g,,,,,1,,,,,,,,,
49,Soja sun saveur Vanille,2273269085370,,,,['France'],[],[],,,,,,,,,?,,82,,343 kj(82 kcal),,"1,7",,"0,3",,"13,4",,"10,2",,"3,1",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
50,Gevulde Sandwiches Ham &kaas Smaak,5410063018952,,,,['France'],[],[],,,,,,,,,?,,413,,1728 kj(413 kcal),,15,,"8,6",,54,,"5,5",,"6,4",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Caramels tendres - La Maison d'Armorine,3561770001323,,"[""La Maison d'Armorine""]",,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,"12,5",,7,,72,,"47,4",,"4,3",,"1,08",,"0,432",,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,
52,Porridge - Biográ,8426904173145,,['Biográ'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', ""Pâtes d'avoine""]","['France', 'Espagne']",[],[],7.49 g,en quantité modérée,1.97 g,en quantité modérée,9.97 g,en quantité modérée,0.003 g,en faible quantité,?,,361,+9%,1510 kj(361 kcal),+9%,"7,49",+189%,"1,97",+183%,"57,81",-6%,"9,97",+260%,"11,3",-3%,"0,003",-99%,"0,001",-99%,2,,B,,,,,,,,,,,,,,,,['Bio'],,,,,,,
53,Cuisse poulet Douce France Jaune déjointées x2 500g France,3435660719776,,,,['France'],[],[],,,,,,,,,?,,17,,71 kj(17 kcal),,17,,"4,8",,0,,0,,16,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,
54,Sandwich aux crevettes - Marks And Spencer,00359474,,['Marks And Spencer'],,['France'],[],[],,,,,,,,,?,,184,,770 kj(184 kcal),,"7,4",,"0,7",,"19,4",,"1,9",,"9,1",,"1,15",,"0,46",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Curry rouge aubergines et sauce Sriracha - Prosain,3335880006277,,['Prosain'],"['Epicerie', 'Sauces', 'Sauces pimentées', 'Sauces sriracha']",['France'],[],[],5.3 g,en quantité modérée,2.8 g,en quantité modérée,3.5 g,en faible quantité,0.48 g,en quantité modérée,?,,79,-34%,331 kj(79 kcal),-33%,"5,3",+654%,"2,8",+1537%,"6,4",-74%,"3,5",-84%,"0,4",-67%,"0,48",-92%,"0,192",-92%,4,-73%,C,-73%,,,,,,,,,,,,,,,['Bio'],,,,,,,
56,Supremes crabe,4858184027001,,,,['France'],[],[],,,,,,,,,?,,85,,356 kj(85 kcal),,1,,"0,2",,"9,1",,"2,8",,10,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,
