,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,markets,additives,allergens,nova_score,packaging,labels,manufacturing,generic_name,traceability_code,palm_ingredients,link,brand_owner,producer_info
1894,Pates de mais biologiques,6169020,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de maïs']",['France'],[],[],1.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,353,-1%,1477 kj(353 kcal),-1%,"1,2",-8%,0,-100%,"77,4",-0%,0,-100%,"7,1",+5%,0,-100%,0,-100%,0,,B,,,,,,,,,,,,,,,,"['Bio', 'Sans colorants', 'Sans conservateurs']",,,,,,,
1895,Pain de Maïs,3760173297467,,,,['France'],[],[],,,,,,,,,?,,1139,,4766 kj(1139 kcal),,"4,5",,"0,6",,47,,"1,3",,"8,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Galettes pur beurre au rhum - La Trinitaine,3260260034079,,['La Trinitaine'],,['France'],[],[],,,,,,,,,?,,495,,2071 kj(495 kcal),,22,,15,,67,,23,,6,,1,,"0,4",,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,
1897,Coffee Soya,8410981018222,,,,['France'],[],[],,,,,,,,,?,,52,,218 kj(52 kcal),,"1,7",,"0,3",,"5,5",,"4,5",,"3,4",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Chili ketchup - P&W - 290g,5701018050586,B,['P&W'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,18 g,en quantité élevée,0.84 g,en quantité modérée,?,,103,-3%,431 kj(103 kcal),-2%,"0,5",+105%,0,-100%,23,+1%,18,-8%,"1,4",+8%,"0,84",-58%,"0,336",-58%,7,-42%,C,-42%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,290 g,,,,,,,,,,,,,,
1899,noir spécial 72% - frey - 200gr,06189846,E,['Frey'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['France', 'Suisse']","['pâte de cacao', 'sucre', 'beurre de cacao', 'cacao en poudre', 'arôme', ' Peut contenir du lait', 'des noisettes', 'des amandes', ""du soja et des traces d'autres fruits à coque "", 'noix', ' Cacao: 72 % minimum']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",44 g,en quantité élevée,26 g,en quantité élevée,27 g,en quantité élevée,0.02 g,en faible quantité,?,,578,+4%,2418 kj(578 kcal),+4%,44,+12%,26,+13%,32,-17%,27,-15%,8,+4%,"0,02",-57%,"0,008",-57%,22,+4%,E,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,200gr,,,,,4,['Papier'],,['Suisse'],,,,,,
1900,Fondente,8034055710357,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,['Product'],,,,,,,,
1901,Rillettes de thon poivre sichuan,3580284550394,D,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de thon']",['France'],[],[],25 g,en quantité élevée,1.7 g,en quantité modérée,0.5 g,en faible quantité,0.68 g,en quantité modérée,?,,288,+36%,1205 kj(288 kcal),+34%,25,+58%,"1,7",-55%,"0,7",-67%,"0,5",-48%,15,-2%,"0,68",-35%,"0,272",-35%,2,-68%,B,-68%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,,,,,,
1902,Feines Birchermüsli,4062300269880,,,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,"0,3",,0,,13,,"9,2",,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,Campagne provençale - Le Comptoir de Mathilde,3700961306964,,['Le Comptoir de Mathilde'],,['France'],[],[],,,,,,,,,?,,278,,1163 kj(278 kcal),,22,,8,,"0,7",,"0,4",,19,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Isolate Whey goût café latte - Decathlon - 900g,3608419006063,,['Decathlon'],['Whey'],['France'],[],[],3.2 g,en quantité modérée,1.8 g,en quantité modérée,5.8 g,en quantité modérée,1.1 g,en quantité modérée,1580,,373,,1580 kj(373 kcal),,"3,2",,"1,8",,6,,"5,8",,80,,"1,1",,"0,44",,5,,C,,,,,,,,,900 g,,['Decathlon'],,,,['Paquet'],,,Préparation riche en protéines,,,,,
1905,Herbe de blé,5600317475994,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,Pur jus d'agrumes,8437020020039,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"0,1",,0,,"8,8",,"8,8",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Gateau creusois - Reflets de france,245390191373,,['Reflets de france'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,tapenade d'olives noires,3760098451357,C,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],[],28 g,en quantité élevée,4 g,en quantité modérée,0.6 g,en faible quantité,4.3 g,en quantité élevée,?,,283,+3%,1184 kj(283 kcal),+3%,28,+4%,4,+14%,"4,1",+31%,"0,6",+28%,"1,9",+8%,"4,3",+37%,"1,72",+37%,16,+8%,D,+8%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,,,
1909,Aliment Complet Pour Chien -  - 4kg,26046136,,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chiens']",['France'],"['Céréales', 'Viandes et sous-produits animaux ', 'dont boeuf déshydraté 14% dans les croquettes au boeuf', ""sous-produits d'origine végétale "", 'dont pulpe de betterave déshydratée 0,8%', 'huiles et graisses', 'substances minérales', 'légumes ', 'dont légumes verts 4% dans les croquettes aux légumes', ' ADDITIES']","[""Pourrait contenir de l'huile de palme""]",,,0 g,en faible quantité,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,,,,,,,,4 kg,,,,,,,['Point Vert'],,,['62894050'],,,,
1910,Tarta de crema catalans,3254950009539,,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,15,,"1,8",,56,,33,,"3,1",,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,Tellicherry pepper,5030101015806,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
