,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
448,Morbier AOP,0205560017974,,['France'],[],[],?,353,1477 kj(353 kcal),29,20,0,0,23,"0,013","0,005",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",29 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,0.013 g,en faible quantité,,-0%,-0%,+1%,+3%,-100%,-100%,+2%,-99%,-99%,9,-40%,C,-40%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
449,Jambon cuit supérieur - Intermarché - 230g,0211405025455,"['Viande Française', 'Viande Porcine Française']",['France'],"['Jambon de porc*', 'sel', 'dextrose', 'bouillon ', 'os de porc', 'poireau', 'carotte,aromes naturels', ' conservateurs', 'ascorbate de sodium', 'nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),"2,9","1,1","0,5","0,5","21,8","1,42","0,568","['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",C,['Intermarché'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",2.9 g,en faible quantité,1.1 g,en faible quantité,0.5 g,en faible quantité,1.42 g,en quantité modérée,,-13%,-12%,-40%,-40%,-25%,-16%,+3%,-24%,-24%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,230g,['Plastique'],['Intermarché'],,4,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['France'],,,,
450,Olives vertes dénoyautées,3481010099043,,['France'],[],[],?,117,490 kj(117 kcal),11,"1,65","4,1","0,1","0,2","3,96","1,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Chaumes,0285512027220,,['France'],[],[],?,309,1293 kj(309 kcal),25,17,"0,5",0,21,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Poitrine roulée cuite,2259435030900,,['France'],[],[],?,220,920 kj(220 kcal),20,"6,5",0,0,16,"2,5",1,"['FR 69.068.013 CE', ""Couzon-au-Mont-d'Or (Rhône, France)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Lardon fumes -,2299020017718,,['France'],[],[],?,294,1230 kj(294 kcal),25,"9,9","0,7","0,7",18,"2,8","1,12",,D,,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",25 g,en quantité élevée,9.9 g,en quantité élevée,0.7 g,en faible quantité,2.8 g,en quantité élevée,,+10%,+12%,+15%,+20%,-15%,+9%,+10%,+6%,+6%,22,+10%,E,+10%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,
454,Fusilli di mais - 500g,8032692321585,"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-007']",['France'],[],[],?,358,1498 kj(358 kcal),"1,8","1,4","77,8","0,7","7,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
455,Multumesc Frumos,5941047829030,,['France'],[],[],?,515,2155 kj(515 kcal),29,16,57,54,"5,2","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Pain au chocolat,0260062014432,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Mini Serpentin 5 légumes - Panzani,3038351570900,,['France'],[],[],?,356,1490 kj(356 kcal),"1,8","0,35",70,"6,5",12,"0,02","0,008",,,['Panzani'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,"Javimar Mejillones ""Fritos"" En Escabeche Gigantes",8423013281839,,['France'],[],[],?,190,795 kj(190 kcal),"10,8","1,74",3,0,"19,9","0,65","0,26",,D,,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",10.8 g,en quantité modérée,1.74 g,en quantité modérée,0 g,en faible quantité,0.65 g,en quantité modérée,,-5%,-5%,-21%,-17%,-4%,-100%,+27%,-52%,-52%,0,-100%,B,-100%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,,,,
459,Choucroute garnie industrielle,2299028024664,,['France'],[],[],?,107,448 kj(107 kcal),8,"3,3","0,9",0,7,"0,7","0,28",,C,,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",8 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0.7 g,en quantité modérée,,-6%,-5%,-6%,+3%,-59%,-100%,+28%,-47%,-47%,3,-47%,C,-47%,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,,
460,Quenelles à la Lyonnaise,2358406200677,,['France'],[],[],?,845,3535 kj(845 kcal),12,"1,4",16,"1,2","7,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Brie,2487994020470,,['France'],[],[],?,352,1473 kj(352 kcal),"31,8","22,6",0,0,"16,4","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Jambon cuit superieur,0211697014045,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,100% mie sans sucres ajoutes - Harrys,3228857007318,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,262,1096 kj(262 kcal),5,"0,4","44,7","5,6","7,1",1,"0,4",,,['Harrys'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Boule tradition,0218013011481,,['France'],[],[],?,239,1000 kj(239 kcal),"0,6","0,1",50,"1,3","8,3","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Nouilles de konjak,4970595620258,,['France'],[],[],?,10,42 kj(10 kcal),0,0,1,"0,25","0,16","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Saucisson sec,0276080046645,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Gâteau breton rond nature,3760250320088,,['France'],[],[],?,475,1987 kj(475 kcal),"28,8","17,5","46,9","20,6",7,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Tomate de marmande bature,3330720537362,['Fabriqué en France'],['France'],[],[],?,42,176 kj(42 kcal),"0,7","0,1","7,2",6,1,"1,18","0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Longan seché,3364699336725,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Émincés de poulet rôtis finement épicés - Yarden - 135g,7290000367163,['en:gluten-free'],['France'],[],[],?,132,552 kj(132 kcal),4,"0,3",1,"0,5",23,"1,25","0,5",,,['Yarden'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135 g,,,,,,,,,,,
471,Fromage blanc,3273220434055,,['France'],[],[],?,76,318 kj(76 kcal),"3,6","2,4","3,7","3,7","7,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Vinaigre à la pulpe de pomme miel,3760212720079,['Sans colorants'],['France'],[],[],?,98,410 kj(98 kcal),0,0,20,20,0,"0,04","0,016",,B,,"['Vinaigres', 'Vinaigres de cidre']",0 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0.04 g,en faible quantité,,+553%,+583%,-100%,-100%,+1233%,+2563%,-100%,+130%,+130%,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,,,,,,
473,Noix de st Jacques de Normandie,3434470598717,,['France'],[],[],?,81,339 kj(81 kcal),"0,8",0,"1,4","0,5",17,"0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Pain burger graines,3770013667039,,['France'],[],[],?,261,1092 kj(261 kcal),"4,4","1,59","43,8","3,1","10,8","1,44","0,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Caillasse,2223004089873,,['France'],[],[],?,121,506 kj(121 kcal),"2,9","1,1","1,1","0,7","22,4","2,81","1,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Sauce rougail.,3760091669179,,['France'],[],[],?,203,849 kj(203 kcal),17,"1,9","9,1","5,9","1,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Lino Germinado Goji Y Arandano Rojo Bio,8423266050114,['Bio'],['France'],[],[],?,476,1992 kj(476 kcal),"31,2","2,9",20,"12,2","17,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Noix de joue de bœuf - 1190g,4750036011902,,['France'],[],[],?,?,,?,,?,,?,,,,E,,"['Viandes', 'Bœuf', 'Joue de boeuf', 'en:raw-beef-meat', 'en:raw-meats', 'Noix de joue de boeuf']",,,,,,,,,,,,,,,,,,,,,,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,1190 g,,,,,,,,,,,
479,OTT Strawberry Sauce,5017506130310,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Giotto - Ferrero,8000500336267,,['France'],[],[],?,562,2351 kj(562 kcal),"34,7","16,5",56,"39,3","6,1","0,508","0,203",,,['Ferrero'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Kool Aid Cherry Sachet - Kraft Foods,0043000955628,,['France'],"['citric acid', 'calcium phosphate', 'red 40', 'salt', 'ascorbic acid', 'artificial flavor', 'artificial color', 'blue 1', 'bht']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,0,0 kj(0 kcal),0,0,"0,5",0,0,"0,01","0,004",,,['Kraft Foods'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"['E330 - Acide citrique', 'E129 - Rouge allura AC', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E321 - Butylhydroxytoluène']",,,,,
482,DIM SUN,8887290070386,,['France'],[],[],?,141,590 kj(141 kcal),"2,6","1,6","26,8","9,3","2,5","1,2","0,48",['ASC-C-01430'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Saucisson sec pur porc,2688490034118,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",['France'],[],[],?,382,1598 kj(382 kcal),"28,7","12,2","1,4","1,37","29,6","5,42","2,168",,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",28.7 g,en quantité élevée,12.2 g,en quantité élevée,1.37 g,en faible quantité,5.42 g,en quantité élevée,,-7%,-7%,-12%,-5%,-40%,-10%,+8%,+17%,+17%,24,-1%,E,-1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,
484,Sirop menthe rieme,3292483840045,,['France'],[],[],?,1386,5799 kj(1386 kcal),"0,3",0,"80,3",78,"0,3",0,0,,B,['Rieme'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de menthe']",,,,,,,,,,+480%,+463%,+173%,-100%,+31%,+31%,+163%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
485,Champignons,5414026143125,,['France'],[],[],?,14,59 kj(14 kcal),0,0,"0,4","0,2","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Maté Glacé Bio,3700324422812,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Roquefort aop,2488791024074,,['France'],[],[],?,364,1523 kj(364 kcal),32,24,0,0,19,"3,5","1,4",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",32 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,3.5 g,en quantité élevée,,-1%,-0%,+0%,+8%,-100%,-100%,-2%,-2%,-2%,19,0%,E,0%,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,,,,,,,,,,,
488,Olives vertes bio,3760123660280,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Tagliatelles aux epinards - 300g,3770012466077,['Bio'],['France'],[],[],?,275,1151 kj(275 kcal),"1,87","0,43",55,"1,3","10,45","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,
490,Chouchen,3332810015705,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Jambon Supérieur sans couenne 2 tranches,2273694014174,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,111,464 kj(111 kcal),3,"1,2",1,"0,5",20,"2,1","0,84","['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-16%,-15%,-38%,-35%,+49%,-16%,-5%,+12%,+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
492,Pain Pavé,0260073013783,,['France'],[],[],?,248,1038 kj(248 kcal),"1,1","0,3","48,8","1,5","3,5","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Gateau aux fruits,0770324050103,,['France'],[],[],?,380,1590 kj(380 kcal),15,3,23,10,3,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Chaara extra - Sultan,6111069002288,,['France'],[],[],?,3,13 kj(3 kcal),14,5,15,12,8,2,"0,8",,,['Sultan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Turrón blando - Carremi - 300g,8410538001011,,['France'],[],[],?,563,2356 kj(563 kcal),38,"3,2",35,35,17,"0,01","0,004",,E,['Carremi'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",38 g,en quantité élevée,3.2 g,en quantité modérée,35 g,en quantité élevée,0.01 g,en faible quantité,,+3%,+3%,+6%,+10%,-10%,+3%,+11%,-71%,-71%,17,+24%,D,+24%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,300 g,,,,,,,,,,,
496,Domaine de la guintrandy,3760063170009,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Cellier des Dauphins,3179077542380,,['France'],[],[],?,1,4 kj(1 kcal),1,1,0,0,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Tomme de montagne,2236879026300,,['France'],[],[],?,350,1464 kj(350 kcal),31,20,"0,9",0,22,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Mousse de foie,0206237007359,"['Viande Française', 'Viande Porcine Française', 'Sans conservateurs']",['France'],[],[],?,272,1138 kj(272 kcal),24,9,"2,9","1,4",11,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,"JAMBON AC LABEL RGE LEFOUE - Le Foué - 0,560kg",0204193040342,['Label Rouge'],['France'],"['Jambon de porc 83%', 'eau', 'sel', 'sirop de glucose', 'stabilisants: E451 450', 'conservateur : E250', 'antioxydant E313', 'dextrose', 'arômes', ' Viande origine France', ' A CONSERVER ENTRE O ET 4°']","['Non végétalien', 'Non végétarien']",?,187,782 kj(187 kcal),12,"4,3","0,7","0,6",19,"1,9","0,76",,,['Le Foué'],"['Viandes', 'Charcuteries', 'Charcuteries cuites']",12 g,en quantité modérée,4.3 g,en quantité modérée,0.6 g,en faible quantité,1.9 g,en quantité élevée,,+12%,+16%,+42%,+33%,-49%,-17%,+2%,0%,0%,14,+46%,D,+46%,,,,,,,,"0,560 kg",,['E-LECLERC Valenciennes'],,4,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E313 - Gallate d'éthyle""]",['France'],,,,
501,Bio infusión de menta ecológica - Santiveri,8412170036949,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Lazos de hojaldre bombón - Mildred,8437008582702,,['France'],[],[],?,498,2084 kj(498 kcal),"28,9","20,43","54,7",30,"4,28","0,55","0,22",,,['Mildred'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Passiflore,3700758101185,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Fabriqué en France']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Jamón serrano reserva,2100000035243,,['France'],[],[],?,319,1335 kj(319 kcal),"22,6","7,94","2,2","0,2","28,8","5,33","2,132",,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",22.6 g,en quantité élevée,7.94 g,en quantité élevée,0.2 g,en faible quantité,5.33 g,en quantité élevée,,+33%,+34%,+79%,+70%,+206%,-55%,-5%,+14%,+14%,20,+22%,E,+22%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,
505,Sarah Helvasi,8697415556356,,['France'],[],[],?,467,1954 kj(467 kcal),"15,6","10,6","77,2","28,2","4,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,La figue de barbarie - 500g,8051411223139,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
507,Atun claro aceite oliva,8410721095599,,['France'],[],[],?,340,1423 kj(340 kcal),29,"4,5",0,0,20,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Jambon à l'ancienne,2232410018766,,['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76","['EMB 29004', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)']",E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+6%,+6%,+28%,+20%,+1%,+3%,-1%,-3%,-3%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,
509,Kasza Mazursk.4100G A12 Cenos,5900977001558,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Areignée de proc - À la Basquaise,0261525039368,,['France'],[],[],?,281,1176 kj(281 kcal),"24,2","8,1","1,1","0,6","14,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Vinaigre balsamique,3533329039613,,['France'],[],[],?,124,519 kj(124 kcal),0,0,26,26,"0,2","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Sal en escamas - El Corte Inglés,8433329071888,['Sans additifs'],"['France', 'Espagne']",[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,B,['El Corte Inglés'],"['Epicerie', 'Condiments', 'Sels']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,
513,Miel de montana - Bona Mel,8437014473353,,['France'],[],[],?,?,,?,,?,,?,,,,B,['Bona Mel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
514,Purée pomme poire,3770004092093,['Sans sucre ajouté'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Beurre de cacao cru,3760159374670,,['France'],[],[],?,884,3699 kj(884 kcal),"99,1","63,7","0,3","0,3","0,3","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Arizona Half and Half Tropical,0613008725839,,['France'],[],[],?,50,209 kj(50 kcal),0,0,0,0,0,0,0,,,['Arizona'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Semillas de chía,8410770170001,['en:gluten-free'],['France'],[],[],?,435,1820 kj(435 kcal),"25,8","5,2",23,"0,3","15,6","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Agua de coco natural,8936020054063,,['France'],[],[],?,22,92 kj(22 kcal),0,0,"5,5",5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Cueillette de savoie,3226123000001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Jus de pomme - Joker,82378079,,['France'],[],[],?,45,188 kj(45 kcal),0,0,10,"9,8",0,0,0,,C,['Joker'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",0 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-100%,-100%,-8%,-5%,-100%,-100%,-100%,4,-3%,C,-3%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
521,Beurre de baratte aux algues,3483130050232,['Fabriqué en France'],['France'],[],[],?,717,3000 kj(717 kcal),79,53,"0,7","0,6","0,8",3,"1,2",,E,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",79 g,en quantité élevée,53 g,en quantité élevée,0.6 g,en faible quantité,3 g,en quantité élevée,,-2%,-2%,-2%,-2%,+1%,+7%,+13%,+154%,+154%,28,+22%,E,+22%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,,
522,Maté Vert Bio - Les Jardins de Gaïa,3582810181300,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,B,['Les Jardins de Gaïa'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,
523,3770012500351,3770012500351,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Bewley's Original Blend Tea (80 Tea Bags),5099589220362,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Pro Pancakes,6380974150036,,['France'],[],[],?,365,1527 kj(365 kcal),"5,5","0,9",36,0,39,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Confiture Myrtille,3263851870711,,['France'],[],[],?,175,732 kj(175 kcal),"0,1",0,42,39,"0,6",0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",0.1 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,0 g,en faible quantité,,-20%,-20%,-62%,-100%,-21%,-23%,+54%,-100%,-100%,9,-2%,C,-2%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
527,Galettes riz complet - Regain,07361654,,['France'],[],[],?,386,1615 kj(386 kcal),"2,7","0,6","80,6","0,5","8,4","0,21","0,084",,,['Regain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Sablés champenois chocolat casses - Fossier - 500g,3435079011768,,['France'],[],[],?,478,2000 kj(478 kcal),20,11,62,27,"8,9","0,43","0,172",,,['Fossier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
