,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,markets,allergens,nova_score,brand_owner,additives,ingredients_origins,manufacturing,generic_name,link,palm_ingredients
12,Pisellini - Albert Heijn,8710400256885,,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,['Albert Heijn'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sacchetto'],,,,,,,,,,
13,Piñones crudos tarrina 100 g - El Corte Inglés,8433329048040,,['France'],[],[],?,608,2544 kj(608 kcal),"49,5","4,7","3,6","2,8","35,9","0,1","0,04",,,['El Corte Inglés'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Croissants beurre,0203701026502,,['France'],[],[],?,?,,?,,?,,?,,,,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",,,,,,,,,,,,,,,,,,,,,,,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,,,,,,,,,,,,
15,Le poulet du rôtisseur,0215820043100,['Sans conservateurs'],['France'],[],[],?,181,757 kj(181 kcal),9,"2,5",1,0,24,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Crema con ""aceto balsamico di Modena I.G.P."" - Decò",8033256008331,,['France'],[],[],?,196,820 kj(196 kcal),0,0,45,45,1,"0,05","0,02",,,['Decò'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0.05 g,en faible quantité,,-8%,-8%,-100%,-100%,-10%,+7%,+50%,-61%,-61%,11,+1%,D,+1%,,,,,,,,,,,,,,,,,,,
17,Potato pan cake - McCain,8710438112399,,['France'],[],[],?,142,594 kj(142 kcal),3,"0,3",25,1,"2,5","0,9","0,36",,,['McCain'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jambon roti aux herbes,2874251024010,['en:gluten-free'],['France'],[],[],?,119,498 kj(119 kcal),"3,4",1,0,0,22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Farfalle tricolore,4058172328725,,['France'],[],[],?,363,1519 kj(363 kcal),"1,5","0,6",74,"2,1",13,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Saucisses de volaille - Carrefour Bio,2273729031626,['Bio'],['France'],[],[],?,568,2377 kj(568 kcal),"6,2","1,7","0,7","0,7",19,"1,8","0,72","['FR 79.195.001 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",E,['Carrefour Bio'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",6.2 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en quantité élevée,,+216%,+212%,-47%,-53%,-44%,+34%,+15%,+1%,+1%,15,+53%,D,+53%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,['Carrefour'],,,,,,,,,
21,Dinde noire fines escalopes - La Nouvelle Agriculture,0213564060223,,['France'],[],[],?,112,469 kj(112 kcal),"1,2","0,3",0,0,25,"0,18","0,072","['FR 79.179.002 CE', 'Moncoutant (Deux-Sèvres, France)']",,['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,La Ruche aux Delices,5283248087,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Souris d'agneau confite - Tendre & Plus,2224658068818,,['France'],[],[],?,?,,?,,?,,?,,,,,['Tendre & Plus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Caramels au beurre salé au sel de guérande,3439790002579,,['France'],[],[],?,357,1494 kj(357 kcal),"0,2",0,96,74,"0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Croquetas ecológicas de pollo - Fridela,8436531103712,"['Bio', 'Bio européen']","['Belgique', 'France']",[],[],?,758,3171 kj(758 kcal),"5,1","1,6","25,9","3,87","7,32",1,"0,4",,,['Fridela'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Abricot sec,2600110047438,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,,,,,,,,,,,,,,,,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,
27,Usn Prise De Masse Muscle Fuel Anabolic Fraise 2 KG,6009694862349,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 kg,,,,,,,,,,,
28,Atout plaisir,3760035690405,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Selection de biscuits danois,0077330506342,,['France'],[],[],?,522,2184 kj(522 kcal),27,15,63,25,"5,4","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jamón de pato lonchas sin gluten,8433329015318,['en:gluten-free'],"['France', 'Espagne']",[],[],?,414,1732 kj(414 kcal),"34,6","11,9","0,1","0,1","25,6","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bolsas'],,,,,,,,,,
31,Gratons,2424910019613,,['France'],[],[],?,715,2992 kj(715 kcal),65,26,"4,7","0,5",28,"1,14","0,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Tomme de Savoie,2281400011096,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Savoie']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
33,Reblochon de Savoie fermier - Monoprix Gourmet,0200015035497,['AOP'],['France'],"['Lait cru entier - sel - ferments Lactiques ', 'Lait', ' - présure animale - colorant ', 'croûte', ' Rocou']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,336,1406 kj(336 kcal),28,17,0,0,21,"1,2","0,48","['EMB 74211R', 'Pers-Jussy (Haute-Savoie, France)']",D,['Monoprix Gourmet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",28 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,,+4%,+4%,+4%,-10%,-100%,-100%,+5%,-10%,-10%,14,-2%,D,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Plastique'],['Monoprix'],['Lait'],4,,,,,,,
34,Yogur,8411169009308,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Steaks soja & blé saveur barbecue - 0.2440000027418137g,2273314022435,"['Végétarien', 'Végétalien', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2440000027418137 g,['Frais'],,,,,,,,,,
36,Metka petite sous filet,2686097033329,,['France'],[],[],?,?,,?,,?,,?,,,"['EMB 62194A', 'Calonne-Ricouart (Pas-de-Calais, France)', 'FR 62.194.002 CE', 'Calonne-Ricouart (Pas-de-Calais, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Fromage des chaumes -,0200031018764,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
38,Manchons de canard confits à la graisse de canard,3416360008186,,['France'],[],[],?,342,1431 kj(342 kcal),"25,4","6,3","0,5","0,5","21,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Emmental,0290167018240,,['France'],[],[],?,401,1678 kj(401 kcal),31,20,1,1,29,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Soto ayam,3903188601854,,['France'],[],[],?,310,1297 kj(310 kcal),5,5,0,0,6,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Tomme de chèvre -,2113998002340,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,359,1502 kj(359 kcal),27,19,3,1,26,"0,4","0,16",,,,['Tomme de chèvre'],27 g,en quantité élevée,19 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,,-5%,-5%,-15%,-16%,+290%,+302%,+19%,-76%,-76%,15,-15%,D,-15%,,,,,,,,,,,,,,,,,,,
42,Croquetas de jamón ibérico y pan crujiente sin gluten - La Cocina de Senen,8414606782413,,['France'],[],[],?,282,1180 kj(282 kcal),"21,3","21,3","16,8","2,1","5,6","1,2","0,48",,,['La Cocina de Senen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cuisses de poulet blanc fermier chantoceaux -,0287455025523,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
44,Miel des plateaux du limousin,3335420000116,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Purée carottes et butternut,3770009346337,,['France'],[],[],?,15,63 kj(15 kcal),"0,1",0,"2,1",2,"0,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Mini brioches shanghai fruits de mer,3700294600807,,['France'],[],[],?,995,4163 kj(995 kcal),"12,9",2,"22,1",1,"6,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,prenium d'arôme bio - Zanetti,13797775,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,['Zanetti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Figues séchées cuello dama,2600236009846,,['France'],[],[],?,345,1443 kj(345 kcal),"1,7","0,4","78,2","53,1","2,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
