,name,bar_code,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,nova_score,additives,allergens,markets,traceability_code,palm_ingredients,link,origin_detail,producer_info
0,Mescia de Petit Épeautre de Haute Provence - Priméal - 500g,3380380037108,500 g,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Céréales et pommes de terre', 'Légumineuses', 'Céréales et dérivés']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Biopartenaire']",['France'],[],[],3.1 g,en quantité modérée,0.5 g,en faible quantité,1.6 g,en faible quantité,0 g,en faible quantité,?,,340,+84%,1423 kj(340 kcal),+87%,"3,1",-35%,"0,5",-35%,"54,8",+222%,"1,6",-22%,"17,7",+67%,0,-100%,0,-100%,-6,,A,,,,,,,,,,,,,,,,,,,,,,
1,Riz Rond Demi-complet De Camargue - Priméal,3380380055171,,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de Camargue']","['Bio', 'Bio européen', 'FR-BIO-01', 'IGP']",['France'],[],[],2.3 g,en faible quantité,0.5 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,?,,354,+1%,1481 kj(354 kcal),+1%,"2,3",+24%,"0,5",+20%,"74,8",-0%,"0,8",+72%,"7,2",-3%,0,-100%,0,-100%,0,,B,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,
2,Nouilles a L'ail Des Ours - Primeal,3380380057038,,['Primeal'],,"['Bio', 'Fabriqué en France']",['France'],"[""Tagliatelles à l'ail des Plante sauvage"", ""l'ail des ours sélectionné par Priméal offre à ces tagliatelles une note finement aillée et herbacée Olngrédients : semoule supérieure de blé dur*"", ""ail des ours* *issus de l'agriculture biologique"", "" Peut contenir des traces d'œuf"", ' Fabriqué en France dans nos ateliers suivant la méthode tradition - nelle de laminage', ' Séchage à basse température']",[],,,,,,,,,?,,356,,1490 kj(356 kcal),,"1,4",,"0,3",,"72,7",,"3,6",,"11,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Spaghettis de mer - Primeal,3380380057557,,['Primeal'],,"['Bio', 'Bio européen', 'FR-BIO-10']",['France'],"['OUR LES HO ', "" de l'agriculture spaghetti de mer* Himanthalia elongata contenir des traces e crustacés et de mol usques"", ""Source de protéines d'utilisation : rincer"", 'faire tremper 15 min', "" puis cuire dans l'eau de trempage 20 à 30""]",[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"2,7",,"0,7",,"28,5",,0,,10,,9,,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tartines Craquantes à la Châtaigne - Blumenbrot - 150g e,3380380057960,150 g e,"['Blumenbrot', 'Le Pain des Fleurs']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['Bio', 'Végétarien', 'Bio européen', 'Kascher', 'Sans gluten', 'Végétalien', 'Agriculture UE', 'FR-BIO-01', 'HU-ÖKO-02', 'Fabriqué en France', 'Sans sucre ajouté']","['France', 'Allemagne']","['Farine de riz*', 'farine de châtaigne* ', '30 %', 'sel de mer', ' *Biologique']","['Végétalien', 'Végétarien']",1.6 g,en faible quantité,0.4 g,en faible quantité,9.3 g,en quantité modérée,0.58 g,en quantité modérée,1628,+1%,?,,1628 kj(389 kcal),+2%,"1,6",-65%,"0,4",-61%,"83,5",+18%,"9,3",+67%,"6,5",-35%,"0,58",-34%,"0,232",-34%,-1,-133%,A,-133%,A,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,Tartines craquantes à la châtaigne.,"['Karton', 'Plastique', 'Carton']",['de:Union Européenne'],"['Frankreich', 'France']",3,,,,,,,,
5,Riz sauvage - Priméal - 250g,3380390000901,250 g,['Priméal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz sauvage']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture Canada']",['France'],"['riz sauvage ', 'Zizania Aquatical', ""issu de l'agriculture biologique""]",[],1.1 g,en faible quantité,0.2 g,en faible quantité,2.5 g,en faible quantité,0.05 g,en faible quantité,?,,357,+2%,1494 kj(357 kcal),+2%,"1,1",+20%,"0,2",+12%,"74,9",+3%,"2,5",+98%,"14,7",+43%,"0,05",+240%,"0,02",+240%,-6,,A,,B,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,Riza sauvage (zizanie des marais),"['Sachet', 'Plastique']",['Canada'],,1,,,,,,,,
6,Croq'en Auvergne - Apiflor - 230g,3380840201018,230 g,['Apiflor'],,,['France'],"['CROQ EN AUVERGNE A LA CREME DE MYRTILLE : Farine de blé', 'sucre', 'Beurre 14,5% ', 'dont colorants : caroténoïdes', 'Lait', 'Crème de myrtille 2%', 'Œufs', 'Arôme naturel de myrtille', 'Poudre à lever ', ' sels métalliques de diphosphate', 'phosphate de calcium', 'carbonate de sodium', 'amidon de blé', 'Sel']",['Non végétalien'],,,,,,,,,?,,456,,1908 kj(456 kcal),,"13,3",,"8,54",,"76,6",,"30,6",,"6,9",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,4,"['E160 - Caroténoïdes', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium']","['Œufs', 'Lait']",,,,,,
7,Sable au bleu d'Auvergne et noix du perigord,3380843112946,,,,,['France'],[],[],,,,,,,,,?,,554,,2318 kj(554 kcal),,33,,21,,45,,"1,3",,"17,1",,"0,948",,"0,379",,,,,,,,,,,,,,,,,,,,,['Magasins U'],,,,,
8,Steak haché Angus façon bouchère - Newbif - 600g (4x 150g),3381590001477,600 g (4 x 150 g),['Newbif'],"['Viandes', 'Surgelés', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes surgelées', 'Steaks hachés', 'Steaks surgelés', 'Steaks de bœuf hachés', 'Steaks hachés surgelés', 'Steaks hachés de bœuf surgelés']","[""Saveurs de l'Année"", ""Saveurs de l'Année 2017"", 'en:saveurs-de-l-annee-france']",['France'],"['100% viande bovine Angus', ' Pourcentage de matières grasses inférieur à 20%', ' Rapport collagène sur protéines de viande inférieur à 1']",[],20 g,en quantité modérée,8.6 g,en quantité élevée,0 g,en faible quantité,0.17 g,en faible quantité,?,,378,+91%,1582 kj(378 kcal),+90%,20,+46%,"8,6",+43%,0,-100%,0,-100%,18,-5%,"0,17",-14%,"0,068",-14%,12,+243%,D,+243%,E,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,"['Carton', 'Surgelé']",,['France'],,,,,"['FR 14.167.021 CE', 'Colombelles (Calvados, France)']",,,,
9,Olives pimentées à l'orientale - Tropic Apero,3382510037002,,['Tropic Apero'],,,['France'],"['TQOPIC APERO en www tropjc-apero fr OLIVES VERTES DENOYAUTÉES PIMENTEE A LORIENTALE su', 'fltes aces peuvent su bsjster 02E5G']",[],,,,,,,,,?,,208,,870 kj(208 kcal),,21,,3,,"2,1",,"0,1",,"1,3",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bloc de Foie gras de canard du Sud-ouest - Ducs de Gascogne - 65g,3382561370172,65 g,['Ducs de Gascogne'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,['France'],[],[],48 g,en quantité élevée,20 g,en quantité élevée,1.6 g,en faible quantité,1.38 g,en quantité modérée,?,,463,-6%,1937 kj(463 kcal),-5%,48,-5%,20,-7%,"2,1",-1%,"1,6",+20%,"6,5",+6%,"1,375",+13%,"0,55",+13%,21,+3%,E,+3%,A,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['Carton', 'Conserve']",,['France'],,,,,"['FR 32.147.024 CE', 'Gimont (Gers, France)']",,,,
11,Terrine de canard - Ducs de Gascogne - 90g,3382562027648,90 g,['Ducs de Gascogne'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],27 g,en quantité élevée,9.7 g,en quantité élevée,0.4 g,en faible quantité,1.5 g,en quantité modérée,?,,298,-3%,1247 kj(298 kcal),-3%,27,+3%,"9,7",+2%,"0,9",-48%,"0,4",-35%,13,-8%,"1,5",-2%,"0,6",-2%,18,+1%,D,+1%,E,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,,,,,
12,Terrine de sanglier - Ducs De Gascogde,3382562420197,,['Ducs De Gascogde'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",,['France'],"['Viande de sanglier ', '25%', 'gras de porc', 'foie de volaille', 'gorge de porc', 'ceuf', 'noisette ', '5%', ' ', 'fruits à coque', 'mandarine ', '5% : mandarine', 'sucre', 'vin blanc', 'sel', 'poivre', 'Viandes origine UE']","['Non végétalien', 'Non végétarien']",30 g,en quantité élevée,11 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,1369,+11%,331,+7%,1369 kj(331 kcal),+6%,30,+12%,11,+11%,"3,6",+74%,1,+62%,13,-7%,"1,6",+1%,"0,64",+1%,21,+16%,E,+16%,,,,,,,,,,,,,3,,['Fruits à coque'],,"['FR 32.147.024 CE', 'Gimont (Gers, France)']",,,,
13,Terrine De Cerf à l'Armagnac - Jean De Veyrac,3382562590012,,['Jean De Veyrac'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de cerf']","['Sans colorants', 'Sans conservateurs']",['France'],"['Viande de cerf ', '25%', 'gras de porc', 'gorge de porc', 'foie de porc', 'maigre de porc', 'Armagnac ', '2%', 'sel', 'épices', 'Mandes origine France']","['Non végétalien', 'Non végétarien']",27 g,en quantité élevée,9.9 g,en quantité élevée,0.4 g,en faible quantité,1.6 g,en quantité élevée,?,,313,+14%,1310 kj(313 kcal),+13%,27,+17%,"9,9",+16%,"1,6",+37%,"0,4",-7%,16,+8%,"1,6",+3%,"0,64",+3%,19,+10%,E,+10%,,,,,,,,,,,,,3,,,,,,,,
14,D. De G. Fasanterrin m / Rosiner - Ducs de Gascogne - 65g,3382562610291,65 g,['Ducs de Gascogne'],,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,391,,1636 kj(391 kcal),,37,,14,,"1,7",,0,,"12,9",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,"['FR 32.147.024 CE', 'Gimont (Gers, France)']",,,,
15,Terrine de canard - Ducs de Gascogne - 65g,3382562860191,65 g,['Ducs de Gascogne'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Sans colorants', 'Sans conservateurs']",['France'],"['Viande de canard ', '25 %', 'foie de volaille', 'gras et gorge de porc', 'œuf', 'Syrah ', '4 %', 'figues ', '3 %', 'sel', 'épices']","['Non végétalien', 'Non végétarien']",29 g,en quantité élevée,10 g,en quantité élevée,1 g,en faible quantité,1.4 g,en quantité modérée,?,,321,+5%,1343 kj(321 kcal),+5%,29,+10%,10,+5%,"1,6",-7%,1,+61%,13,-8%,"1,4",-8%,"0,56",-8%,19,+6%,E,+6%,C,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,"['Carton', 'Conserve']",['France'],['France'],3,,['Œufs'],,"['FR 32.147.024 CE', 'Gimont (Gers, France)']",,,,
16,Terrine de crevette au citron,3382562990195,,,,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],,,,,,,,,?,,194,,812 kj(194 kcal),,13,,"3,1",,11,,"2,3",,"9,1",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
17,Concassé de tomate sechée - Ducs De Gascogne,3382564687635,,['Ducs De Gascogne'],,"['Sans colorants', 'Sans conservateurs']",['France'],"['Tomate pelée', 'tomate séchée ', '21%', 'olive verte ', '19%', 'oignon', ""huile d'olive"", 'graine de fenouil ', '0,4%', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,100,,418 kj(100 kcal),,"8,2",,"1,3",,3,,"1,5",,"1,4",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fromage ail et fines herbes,3383680120051,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'en:uncured-soft-cheese-spreadable-around-30-40-fat-flavoured']",,['France'],[],[],23 g,en quantité élevée,18 g,en quantité élevée,3.5 g,en faible quantité,2 g,en quantité élevée,?,,241,-12%,1008 kj(241 kcal),-11%,23,-9%,18,+4%,"3,5",+15%,"3,5",+36%,5,-40%,2,+67%,"0,8",+67%,18,+37%,D,+37%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,"['FR 71.540.001 CE', 'Torcy (Saône-et-Loire, France)']",,,,
19,Emiettés de canard - Les Treilles Gourmandes,3383740003980,,['Les Treilles Gourmandes'],,,['France'],"['Emieüés de canard 25% de foie gras viande de canard ', 'ongire UE', ' fae gras de canard 25%', 'de s""']",[],,,,,,,,,?,,520,,2176 kj(520 kcal),,"52,5",,"19,2",,"0,6",,"0,4",,"11,2",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
20,Foie gras de canard entier a la fleur de sel - Les Treilles Gourmandes,3383740004550,,['Les Treilles Gourmandes'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,['France'],[],[],55 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,526,-1%,2201 kj(526 kcal),-0%,55,+1%,23,-1%,0,-100%,0,-100%,"8,4",+12%,"1,1",-8%,"0,44",-8%,20,-4%,E,-4%,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,"['FR 49.176.003 CE', ""Lion-d'Angers (Maine-et-Loire, France)""]",,,,
21,Filet canard mijoté facon thai,3383740006189,,,,,['France'],[],[],,,,,,,,,?,,173,,724 kj(173 kcal),,"8,5",,"3,1",,"4,2",,"2,9",,20,,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,,,,,,,,
22,Terrine de faisan au girolles - Les Treilles Gourmandes,3383740007322,,['Les Treilles Gourmandes'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de faisan']",['Bio'],['France'],[],[],23.7 g,en quantité élevée,8.2 g,en quantité élevée,0.1 g,en faible quantité,1.27 g,en quantité modérée,?,,298,-2%,1247 kj(298 kcal),-2%,"23,7",-4%,"8,2",-3%,"0,3",-84%,"0,1",-87%,"20,1",+31%,"1,275",-12%,"0,51",-12%,16,-6%,D,-6%,,,,,,,,,,,,,,,,,,,,,
23,Jus de pommes artisanal,3383790000045,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,['France'],[],[],0.14 g,en faible quantité,0.1 g,en faible quantité,10.9 g,en quantité élevée,0.1 g,en faible quantité,?,,49.5,+8%,207 kj(49 kcal),+8%,"0,14",-15%,"0,1",+213%,12,+10%,"10,85",+5%,"0,24",+13%,"0,1",+817%,"0,04",+817%,5,+21%,C,+21%,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,
24,Crème fraîche épaisse de Montagne - Gérentes - 50cl,3387270662259,50 cl,['Gérentes'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Frais', 'Produits de montagne', 'Crèmes fraîches']",,['France'],"['Crème fraîche pasteurisée', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",30 g,en quantité élevée,18 g,en quantité élevée,2.5 g,en faible quantité,0 g,en faible quantité,1173,+6%,285,-2%,1173 kj(285 kcal),-2%,30,+1%,18,-10%,"2,5",-24%,"2,5",-13%,"1,2",-49%,0,-100%,0,-100%,13,0%,D,0%,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,"['Pot', 'Plastique']",,,3,,['Lait'],,"['FR 43.007.001 CE', 'Araules (Haute-Loire, France)']",,,,
25,Galettes De Riz Diametre 18CM,3387370849024,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'en:VN-BIO-154', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,852,,3565 kj(852 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maître Jacques chipolatas au thym,3388340020399,,['Maître Jacques'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",,['France'],[],[],16 g,en quantité modérée,6.9 g,en quantité élevée,1 g,en faible quantité,1.66 g,en quantité élevée,?,,217,-9%,908 kj(217 kcal),-9%,16,-15%,"6,9",-4%,"1,2",+3%,1,+58%,1,-94%,"1,66",-8%,"0,664",-8%,15,-10%,D,-10%,E,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",,,,
27,Pavés de cerf figues et foie gras Le Goût de la Tradition - Maître Jacques,3388340087170,,['Maître Jacques'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de cerf']",['Point Vert'],['France'],"['Viande de cerf ', 'cervus elaphus', ' 86 %', 'marinade ', 'eau', 'foie gras de canard 14 %', 'acidifiant: E326', 'figue sèche 12 % ', 'figue', 'dextrose de maïs', 'maltodextrine ', 'pomme de terre', 'arômes', ' whisky 6 %', 'huile de tournesol', 'graisse de volaille', 'épices et aromates', ""vinaigre d'alcool"", 'colorant E150b', ' antioxydant : E300', 'sel', 'épaississant: E415']","['Non végétalien', 'Non végétarien']",8.1 g,en quantité modérée,2 g,en quantité modérée,1.8 g,en faible quantité,0 g,en faible quantité,?,,162,+1%,678 kj(162 kcal),+3%,"8,1",+10%,2,-21%,"2,5",-76%,"1,8",+15%,20,+112%,0,-100%,0,-100%,-2,-160%,A,-160%,,,,,,,,,,"['Frais', 'Plastique']",['Hongrie'],['France'],4,"['E326 - Lactate de potassium', 'E150b - Caramel de sulfite caustique', 'E300 - Acide ascorbique', 'E415 - Gomme xanthane']",,,"['FR 35.238.019 CE', 'Rennes (Ille-et-Vilaine, France)']",,,,
28,Cannelle en poudre,3388550000143,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",['Bio'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,1,-97%,4 kj(1 kcal),-98%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,B,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,,,,,,
29,Rillettes de thon à la crème de tomate - Sylvain B,3389090017615,,['Sylvain B'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Thons', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de thon', 'en:preparations-made-from-fish-meat']",,['France'],[],[],6.7 g,en quantité modérée,4.4 g,en quantité modérée,2 g,en faible quantité,1.2 g,en quantité modérée,?,,133,-37%,556 kj(133 kcal),-38%,"6,7",-58%,"4,4",+17%,"2,5",+18%,2,+110%,15,-2%,"1,2",+15%,"0,48",+15%,5,-20%,C,-20%,D,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,"['FR 44.079.002 CE', 'Landreau (Loire-Atlantique, France)']",,,,
30,Reblochon de savoie,3389190100835,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],[],28 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,?,,330,+2%,1381 kj(330 kcal),+2%,28,+4%,17,-10%,0,-100%,0,-100%,21,+5%,"1,2",-10%,"0,48",-10%,14,-2%,D,-2%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
31,Brisure infusion - La Confiserie Bressaude,3389683001052,,['La Confiserie Bressaude'],,,['France'],"['CONFISERIE *BESSAUDe 88250 LA BRESSE EUCALYPTUS POIDS NET : 250 Gr Ingrédients Sucre', 'Sirop de glucose', 'Arôme eucalyptus', 'Menthol', 'Colorant E141ii,']",[],,,,,,,,,?,,400,,1674 kj(400 kcal),,0,,0,,98,,77,,0,,0,,0,,,,,,,,,,,,,,,,,,4,['E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines'],,,,,,,
32,Pate De Fruits 10 Fruits - Doucet François,3389750004702,,['Doucet François'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,['France'],"['Palets 2008 Asjo±aent de pâtes de prétentéet joug fome de pdetl : poire', 'mandrine', 'frumboi""i Inra•édentg : hdpej de hits ', 'abricot Onngé de Èovence poire deg Hautes Alpes 12,5K mudshne SK fraise 5K fromboise 5%', 'drop de de blé', 'ci:op de sqere inved', 'gélifiât : Fec\\nej remet naturels de Eti ', 'hmboisej poire', 'frite', 'acidfant : acide eiùiquej atome naturel de vrille Bourb0ï peut contenir de Ets i coque et de dutem of French Et jelliel molded in a palet Ihape : apricg peu frawbery', '#eéents : FNt pulp ', 'aprieot Or', 'ajé de Èovenee per Willium Hautel Aipej 12', '5K mandatin SK srawbeny SK ragpbemt 5%', 'Wheat inve* gellin', ' agent : pec\\a of Ets ', 'rupberty', 'peu', 'manduin', 'acidîer : aci4 flavouflng of Bourbon vrilla', 'May contun of nuts iuteth Zutaten : Fruchtfleigeh ', 'tpflkose Ormjé de Èovenee bime Willism Haut"" Alpeg 1215K mondmne erdbeere 5K himbeere SK Zuekerj Weizer', ' : Pekiff', 'natorliche kromen von Fachte Oimbeere', 'bimej erdbeere', 'aptikoje', 'mandarine', 'SAueMj:mittel : Zironenjure', 'natorliche Aromen von Vahlle', 'Kun Spren von Schdenflehten Cluten enuhdten', 'A conserver dus en&oit et jee / Store in a cool Md place / lajem énergéiques/ Etety value/ Bremweft Iper 100è : 1272 kJ/ 304 Muère vaste/Fatl Fett : < Dont aeidec Ofwhieh gabJtatej/ davon jeti#e Fettsiuren Clucidec/ Crbohy&ate/ Kohlenhy&ate Dont sucre/ OfwHeh Davon zucker : 71 Èoteinej/ ÈoteW EiweiB B Sel/ uz 15 u OUISON II I I I I I i I I']",[],0.5 g,en faible quantité,0.5 g,en faible quantité,71 g,en quantité élevée,0.15 g,en faible quantité,?,,304,-3%,1272 kj(304 kcal),-4%,"0,5",+47%,"0,5",+317%,75,-1%,71,+7%,"0,5",-23%,"0,15",+25%,"0,06",+25%,8,-3%,C,-3%,C,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,
33,Veloute brocolis courgette - La Conquete Des Saveurs,3390120009012,,['La Conquete Des Saveurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Eau', 'brocolis* ', '22,5%', 'courgettes* ', '20%', 'crème* 4 Bississant : amidon de maïs* ', ""huile d'olive*"", 'sel', 'poivre blanc* *Produits issus de llagriculture biologique Allergène : lait', "" Conseils d'utilisation : Réchauffer à feu doux dans une casserole en remuant de temps en temps""]",['Non végétalien'],2.1 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,0.2 g,en faible quantité,?,,33,-15%,138 kj(33 kcal),-15%,"2,1",+36%,1,+65%,"2,1",-56%,"0,5",-73%,"0,8",-6%,"0,2",-69%,"0,08",-69%,-1,-175%,A,-175%,B,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,3,,['Lait'],,,,,,
34,Veloute d'Epinard Bio,3390124001159,,['Bio'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,23,,96 kj(23 kcal),,"0,96",,"0,5",,"3,2",,"3,2",,"0,44",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jus de pruneau - feria De Fruits,3390125005026,,['feria De Fruits'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pruneaux']","['Bio', 'Bio européen', 'FR-BIO-01', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique']",['France'],"['jus de pruneau* réhydraté ', 'obtenu par extraction hydrique', ' Ingrédients Pasteurisé', 'sans sucre ajouté', 'sans colorant conformément à la réglementation ie mode de production biologique', 'sans conservateur conformément à h réglementation en vigueur']",[],0 g,en faible quantité,0 g,en faible quantité,12.6 g,en quantité élevée,0 g,en faible quantité,?,,75,+4%,314 kj(75 kcal),+4%,0,-100%,0,-100%,"18,3",+5%,"12,6",-7%,"0,4",-6%,0,-100%,0,-100%,9,+7%,D,+7%,C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,
36,700G Pate a Tartiner Karouba - Jean Herve - 700g,3390390001402,700 g,['Jean Herve'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']","['Bio', 'Fabriqué en France', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],42 g,en quantité élevée,7 g,en quantité élevée,29 g,en quantité élevée,0 g,en faible quantité,?,,580,+6%,2427 kj(580 kcal),+6%,42,+22%,7,-8%,"34,4",-32%,29,-38%,"12,1",+75%,0,-100%,0,-100%,14,-32%,D,-32%,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,,,,
