,name,bar_code,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,ingredients_origins,manufacturing,nova_score,additives,allergens,markets,traceability_code,palm_ingredients,link,origin_detail,producer_info
435,La Gimblette d'Albi à l'ancienne - La Fabrique Gourmande,3543930000124,,['La Fabrique Gourmande'],,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,"2,5",,"0,6",,73,,"14,7",,"10,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
436,La Choucroute cuisinée - Choucrouterie Meyer Wagner - 600g,3544800000206,600 g,"['Choucrouterie Meyer Wagner', ""Saveurs d'Alsace""]","['Plats préparés', 'Choucroutes']",,['France'],"['Choucroute ', '92%', 'lardons 3% ', 'poitrine de porc ', 'Origine UE', 'sel', 'dextrose', 'sirop de glucose', 'antioxydant : ascorbate de potassium', 'conservateurs : nitrite de sodium', 'nitrate de potassium', 'arômes', 'épices ', 'peut contenir LACTOSE ET MOUTARDE', 'saindoux', 'oignons', 'vin : Riesling', 'sel', 'baies de genièvre', 'arôme poivre', 'antioxydant : acide ascorbique']","['Non végétalien', 'Non végétarien']",3.4 g,en quantité modérée,1.3 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en quantité modérée,?,,32,-66%,134 kj(32 kcal),-66%,"3,4",-50%,"1,3",-48%,"0,6",-74%,"0,4",-42%,"0,8",-82%,"1,1",-15%,"0,44",-15%,-1,-121%,A,-121%,C,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,"['Barquette', 'Plastique']",,['France'],4,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,['Carrefour'],"['FR 67.248.002 CE', 'Krautergersheim (Bas-Rhin, France)']",,,,
437,Choucroute crue Bio lacto-fermentée - Wagner - 1kg,3544800001340,1 kg,['Wagner'],"['Plats préparés', 'Choucroutes']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Chou Bio ', 'France', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,1.5 g,en quantité modérée,?,,25,-73%,105 kj(25 kcal),-73%,"0,5",-93%,"0,2",-92%,"3,1",+35%,"0,3",-57%,"1,3",-70%,"1,5",+15%,"0,6",+15%,2,-58%,B,-58%,B,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,"['Pot', 'Plastique', 'Frais']",['France'],['Alsace'],3,,,['Carrefour'],,,,,
438,Choucroute cuisinée strasbourgeoise,3544800001845,,,,,['France'],[],[],,,,,,,,,?,,32,,134 kj(32 kcal),,"3,6",,"1,2",,"0,3",,"0,1",,"0,6",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,
439,Fines Lames De L'ocean -  - 120g,3545450390037,120 g,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,31,,130 kj(31 kcal),,"0,2",,"0,06",,"2,3",,"0,1",,"2,76",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,,
440,Gaufrettes apéritives aux algues & à l'oignon de roscoff - Bord À Bord - 40g,3545450700102,40 g,['Bord À Bord'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Fabriqué en France'],['France'],"['Farine de blé T65*', 'algues: laitue de mer* 28 %', 'huile de tournesol oléique*', ""poudre d'oignon AOP de Roscoff* 1,9 %"", 'sel de Guérande']","['Sans huile de palme', 'Végétalien', 'Végétarien']",21 g,en quantité élevée,2 g,en quantité modérée,2.5 g,en faible quantité,2 g,en quantité élevée,?,,490,+6%,2050 kj(490 kcal),+5%,21,+6%,2,-63%,62,+4%,"2,5",-36%,10,+1%,2,0%,"0,8",0%,15,-3%,D,-3%,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,Gaufrettes Apéritives aux Algues & à l'Oignon de Roscoff,"['Carton', 'Plastique']","['France', 'Roscoff']",['France'],3,,['Gluten'],['La Vie Claire'],,,,,
441,Chips piment espelette -  - 125g,3546581250047,125 g,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']","['Sans colorants', 'Sans conservateurs']",['France'],[],[],39.7 g,en quantité élevée,3.3 g,en quantité modérée,0.3 g,en faible quantité,0.6 g,en quantité modérée,?,,576,+12%,2410 kj(576 kcal),+12%,"39,7",+35%,"3,3",+7%,"0,3",-99%,"0,3",-87%,"6,5",+14%,"0,6",-55%,"0,24",-55%,12,+3%,D,+3%,,,,,,,,,,,,,,,,,,,,,
442,Chips paille - Cami - 125g,3546581250184,125 g,['Cami'],,"['Sans colorants', 'Sans conservateurs']",['France'],"[""potnnte' de terre"", 'huile de tournesol', 'sel', ' Ingrédients ', "" CAA tr 5 rue Guy de Alacrpassant 13170 Les l'ertrtes AliraLteaŒ 09 74 76 7147""]",[],,,,,,,,,?,,530,,2218 kj(530 kcal),,"32,7",,"2,7",,"53,1",,"0,3",,"5,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
443,Family chips - 125g,3546588100048,125 g,,,"['Bio', 'Bio européen', 'FR-BIO-15', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,600,,2510 kj(600 kcal),,39,,4,,54,,"0,4",,6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Confiture Extra Myrtille Sauvage - DOMLAINE DE BAUDRY,3546940011623,,['DOMLAINE DE BAUDRY'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,['France'],"['myrtille sauvage', 'sucre de canne', 'sirop de glucose-fructose', 'gélifiant : pectine de fruits', 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0.01 g,en faible quantité,50.3 g,en quantité élevée,0.025 g,en faible quantité,?,,237,+8%,992 kj(237 kcal),+8%,"0,2",-23%,"0,01",-77%,"57,4",+7%,"50,3",-1%,"0,3",-23%,"0,025",+50%,"0,01",+50%,10,+8%,C,+8%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,4,['E440 - Pectines'],,,,,,,
445,Confiture 4 fruit rouge,3546940314137,,,,,['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,"0,2",,"0,04",,"55,7",,50,,"0,5",,"0,019",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
446,Confiture extra reine-claude - Le Pelerin des Saveurs - 370g,3546940314939,370 g,['Le Pelerin des Saveurs'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de Reine-Claude']",,['France'],"['reine claude', 'sucre de canne', 'sirop de glucose-fructose', 'gélifiant: pectine de fruits', 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",5 g,en quantité modérée,2 g,en quantité modérée,60 g,en quantité élevée,5 g,en quantité élevée,?,,65,-70%,272 kj(65 kcal),-70%,5,+2375%,2,+5487%,60,+13%,60,+16%,5,+1153%,5,+25807%,2,+25807%,20,+98%,E,+98%,B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,4,['E440 - Pectines'],,,,,,,
447,Haricots tarbais IGP LABEL ROUGE cuits au - Les Producteurs De Haricots Tarbais,3547110000201,,['Les Producteurs De Haricots Tarbais'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",['IGP'],['France'],"['Haricots Tarbais IGP Label Rouge ', '52%', 'eau', 'sel']",[],0.7 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.425 g,en quantité modérée,?,,336,+115%,1406 kj(336 kcal),+110%,"0,7",-17%,"0,1",-28%,10,-53%,"0,6",-58%,"5,3",-54%,"0,425",+8%,"0,17",+8%,2,,B,,B,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,,,,,3,,,,"['FR 12.056.001 CE', 'Baraqueville (Aveyron, France)']",,,,
448,Huile d 'olive basilic frais pressé - Olivier & Co,3547130084380,,['Olivier & Co'],,['Fabriqué en Italie'],['France'],[],[],,,,,,,,,?,,900,,3766 kj(900 kcal),,"99,8",,"15,1",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
