,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,brand,traceability_code,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,markets,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,labels,producer_info,additives,nova_score,packaging,eco_score,categories,manufacturing,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,palm_ingredients,allergens,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,brand_owner,origin_detail
1116,Filet de poulet roti - Volaé,0211791022700,['France'],[],[],?,141,"5,5","0,6","22,3",['Volaé'],,590 kj(141 kcal),"1,4","0,6",,"1,26","0,504",,,"['Nutriscore', 'Nutriscore E']",,,,"['Barquette', 'Film en plastique']",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,-3%,+2%,+4%,-6%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,-3%,+3%,+39%,-6%,-6%,2,-22%,B,-22%,,,
1117,Bonheur,3760258250776,['France'],[],[],?,234,"10,2",10,"1,3",,,979 kj(234 kcal),"1,1","8,3",,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Macédoine,5054903840800,['France'],[],[],?,?,?,?,?,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Tuiles - Truffettes De France,3472710052797,['France'],[],[],?,534,30,58,"6,9",['Truffettes De France'],,2234 kj(534 kcal),18,49,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Confiance,3760258250806,['France'],[],[],?,46,25,"10,5","0,4",,,192 kj(46 kcal),"0,2","8,4",,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Coquille St Jacques royales à la Bretonne,3565270001005,['France'],[],[],?,110,"4,8","5,8",11,,,460 kj(110 kcal),"3,3","0,8",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Bolw dinde marinee - Seazon,3701456316307,['France'],[],[],?,160,8,9,11,['Seazon'],,669 kj(160 kcal),1,1,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Fusili a la truffe d’été,3392070024138,['France'],[],[],?,363,"3,9",67,"0,15",,,1519 kj(363 kcal),"1,5","1,6",,"0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Nevella Stevia,8718226400031,['France'],[],[],?,371,0,"92,8",0,,,1552 kj(371 kcal),0,"2,8",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Le Cabécou,3250393007279,['France'],[],[],?,272,"21,2","3,1","17,2",,,1138 kj(272 kcal),"15,3","1,8",,"1,5","0,6",,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,Spaghetti,3264963020193,['France'],[],[],?,358,"3,5",66,14,,,1498 kj(358 kcal),"0,9",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Moller's Omega 3 Taste of Lemon,7070866030001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,Pane affettato,8003451400407,['France'],[],[],?,255,"2,3",47,10,,,1067 kj(255 kcal),"0,4","2,1",,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Saucisson Lorrain fumé - échalotes,2223856037138,['France'],[],[],?,290,"22,7","1,5",20,,,1213 kj(290 kcal),"8,65","0,8",,"3,67","1,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Select Crème brûlée & eclats de caramel - Thiriet,3292590019709,['France'],[],[],?,321,19,33,"3,7",['Thiriet'],,1343 kj(321 kcal),12,29,['Thiriet'],"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Trucchetti di semola di grano duro italiano,8057737591518,['France'],[],[],?,309,"1,3",64,"9,3",,,1293 kj(309 kcal),"0,4","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Poulet Rôti,0211074040216,['France'],[],[],?,182,10,"0,5",23,,,761 kj(182 kcal),"3,2","0,5",,"0,97","0,388",,,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Flaked tuna with lemon and pepper,0066613380021,['France'],[],[],?,110,"0,4",25,18,,,460 kj(110 kcal),0,1,,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Pave aux graines de lin,0201078011480,['France'],[],[],?,291,5,51,"10,5",,,1218 kj(291 kcal),"0,5","1,5",,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,Lapin en chocolat,3367270000879,['France'],[],[],?,568,38,50,"6,7",,,2377 kj(568 kcal),23,49,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Apertif des amoureux,3503965235007,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Farmina N &D Pumpkin Grain Free Lamb & Blueberry Puppy Mini,8010276033239,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Maultaschen mit Hähnchenfleisch,4075600111834,['France'],[],[],?,166,"3,6",24,"8,6",,['DE BW-01188 EG'],695 kj(166 kcal),"1,8","2,1",,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
