,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,ingredients_origins,additives,allergens,nova_score,generic_name,manufacturing,link,palm_ingredients
223,Konjac,3535400021500,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Tilapia,3444294000310,,,"['Produits de la mer', 'Poissons', 'Tilapia']",,['France'],[],[],1.9 g,en faible quantité,0.556 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,90,-53%,377 kj(90 kcal),-52%,"1,9",-83%,"0,556",-76%,"1,7",-18%,0,-100%,"16,5",-10%,0,-100%,0,-100%,-4,-158%,A,-158%,,,,,,,,,,"['EMB 62643C', 'Outreau (Pas-de-Calais, France)']",,,,,,,,,
225,Glace artisanale Philippe Faur noisette,3760012140268,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Nacho cheese tortilla chips,7412314222246,,,,,['France'],[],[],,,,,,,,,?,,472,,1975 kj(472 kcal),,20,,9,,"64,4",,"1,5",,"6,6",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
227,CH De Môle 2010,3299791003872,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Jambon noir du Perigord,2318315055089,,,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,12,,"4,6",,"0,5",,"0,5",,30,,"5,8",,"2,32",,,,,,,,,,,,,,,,,,,,,,,,
229,Pop's choc et miel,0422557501555,,,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,"1,5",,"0,8",,81,,23,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Lait entier,3248340053998,D,,"['Produits laitiers', 'Laits', 'Laits entiers']",,['France'],[],[],3.6 g,en quantité modérée,2.2 g,en quantité modérée,4.8 g,en faible quantité,,,?,,65,-2%,272 kj(65 kcal),-3%,"3,6",-3%,"2,2",-7%,"4,8",+0%,"4,8",+1%,"3,3",-0%,,,,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,,,,,
231,Jarret cuit - 800g,3385330000096,,,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,7,,"2,2",,"0,7",,"0,7",,19,,"2,33",,"0,932",,,,,,,,,,,,,800 g,,,,,,,,,,,
232,Pur jus d'orange,09135004,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,?,,39,-9%,163 kj(39 kcal),-10%,0,-100%,0,-100%,"9,4",-3%,"8,7",-5%,0,-100%,0,-100%,0,-100%,2,-33%,C,-33%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
233,3191019488822,3191019488822,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,
234,Confiture,3760082198756,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
235,Croissants,0201253009844,,,,,['France'],[],[],,,,,,,,,?,,419,,1753 kj(419 kcal),,23,,15,,43,,"6,5",,"8,9",,"1,1",,"0,44",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,
236,Fresubin - Fresenius Kabi,4051895011776,,['Fresenius Kabi'],,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,"7,8",,"0,6",,"22,5",,"5,2",,10,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,
237,Agneau Pascal,2090000177992,,,,,['France'],[],[],,,,,,,,,?,,1333,,5577 kj(1333 kcal),,"5,5",,"2,5",,"59,3",,"31,2",,"7,1",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,
238,"Saucisson Artisanal de Montagne ""Le petit Paysan""",2449840037599,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Alcool spécial pour fruits et spiritueux,3162040150026,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Piémont minieggs - Caffarel - 140g,8013108003141,,['Caffarel'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],[],[],38 g,en quantité élevée,15 g,en quantité élevée,44 g,en quantité élevée,0.15 g,en faible quantité,?,,584,+10%,2443 kj(584 kcal),+11%,38,+19%,15,-14%,51,-3%,44,-7%,"8,1",+38%,"0,15",-2%,"0,06",-2%,26,+7%,E,+7%,,,,,,,,140 g,,,,,,,,,,,
241,Oliambel,8425761410073,,,,,['France'],[],[],,,,,,,,,?,,208,,870 kj(208 kcal),,22,,"4,1",,"0,5",,"0,5",,"1,1",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,
242,Beurre de cacahuète,3034064106412,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,['France'],[],[],52.2 g,en quantité élevée,10 g,en quantité élevée,9.4 g,en quantité modérée,0.85 g,en quantité modérée,?,,623,+4%,2607 kj(623 kcal),+4%,"52,2",+9%,10,+20%,"12,8",-11%,"9,4",+48%,"23,6",-4%,"0,85",+59%,"0,34",+59%,21,+91%,E,+91%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
243,Tomate ronde,0208038012464,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,La Tablette lait côte d'ivoire (35% pur chocolat d'origine),3395250500200,,,,,['France'],[],[],,,,,,,,,?,,565,,2364 kj(565 kcal),,"36,5",,22,,52,,51,,"6,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
245,Filet mignon fumé,2403079045527,,,,,['France'],[],[],,,,,,,,,?,,121,,506 kj(121 kcal),,"1,7",,"0,7",,"0,7",,"0,7",,26,,"2,34",,"0,936",,,,,,,,,,,,,,,,,,,,,,,,
246,Haricots Pinto - 500g,8436015596658,,,,,['France'],[],[],,,,,,,,,?,,303,,1268 kj(303 kcal),,"2,1",,"0,3",,"41,8",,"3,3",,"18,4",,,,,,,,,,,,,,,,,500 g,"['Bio', 'Bio européen', 'ES-ECO-019-CT', 'Point Vert', 'Sans additifs']",,,,,,,,,,
247,Moringa infusion,6091314260123,,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:MU-BIO-154']",,,,,,,,,,
248,Skinoxy Caps,3760191560123,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Poulet fermier jaune,2674589040344,D,,"['Viandes', 'Volailles', 'Poulets']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
250,Diots de Savoie,2309640004446,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses savoyardes', 'Diots', 'Diots de Savoie']",,['France'],[],[],24 g,en quantité élevée,9.7 g,en quantité élevée,0 g,en faible quantité,2.2 g,en quantité élevée,?,,289,-6%,1209 kj(289 kcal),-6%,24,-8%,"9,7",-4%,0,-100%,0,-100%,18,+5%,"2,2",+0%,"0,88",+0%,21,-0%,E,-0%,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,['Fabriqué en France'],"['FR 74.104.001 CE', 'Doussard (Haute-Savoie, France)']",,,,,,,,,
251,Miel - 1kg,3770010919018,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,1 kg,,,,,,,,,,,
252,Lentilles vertes - 5kg,3760274070150,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']",,['France'],[],[],1.2 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,,,?,,334,+16%,1397 kj(334 kcal),+15%,"1,2",-11%,"0,2",-7%,50,+29%,1,-24%,24,+9%,,,,,,,,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,5 kg,,,,,,,,,,,
253,Rillettes aux noisettes,3328580001109,,,,,['France'],[],[],,,,,,,,,?,,450,,1883 kj(450 kcal),,"43,2",,"13,9",,"1,1",,"0,5",,"13,5",,"3,7",,"1,48",,,,,,,,,,,,,,,,['Boîte en métal'],,,,,,,,
254,Riz,8691440305231,,,,,['France'],[],[],,,,,,,,,?,,354,,1481 kj(354 kcal),,"0,4",,"0,1",,"80,4",,"0,2",,"6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,5907627471075,5907627471075,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,4740553698014,4740553698014,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Mini peperoni,8697436570942,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Valio,4740553698113,,['Valio'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Salmon filet - Vici,4770190049702,,['Vici'],,,"['France', 'Italie']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Packs'],,,,,,,,
260,8002980009020,8002980009020,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,
261,Filets de poulet roti - Le Gaulois,2917253003000,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Sans conservateurs'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']","['Barquette', 'Film en plastique']",,,,,,,,
262,Dark chocolate thins,5400606987364,,,,,['France'],[],[],,,,,,,,,?,,533,,2230 kj(533 kcal),,"31,3",,"19,8",,"51,5",,43,,"7,6",,"0,15",,"0,06",,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,
263,Pêches au sirop,3080924096393,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Pêches au sirop']",,['France'],[],[],5 g,en quantité modérée,1 g,en faible quantité,12 g,en quantité modérée,2 g,en quantité élevée,?,,60,-12%,251 kj(60 kcal),-9%,5,+4286%,1,+4015%,14,-7%,12,-12%,5,+1129%,2,+9074%,"0,8",+9074%,2,,B,,67.0%,17.7%,7.3%,4.5%,3.5%,0.0%,77,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,
264,Carcioffi - Benesca,4742818010180,C,['Benesca'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve', ""Coeurs d'artichauts""]",,"['France', 'Italie']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,,,,,,,,,,,,
265,Bifteck - Charal,0292472038449,,['Charal'],,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,3",,"0,8",,0,,0,,23,,"0,17",,"0,068",,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,
266,Panna per cucinare,4740125220094,,,,,"['France', 'Italie']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Product'],,,,,,,,
267,Croquygnol anis,3760185730563,,,,,['France'],[],[],,,,,,,,,?,,342.14,,1432 kj(342 kcal),,"13,8",,"3,55",,"55,27",,"24,1",,"7,06",,"0,13",,"0,052",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
268,4740219215005,4740219215005,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Pâté de campagne,2496563013386,,,,,['France'],[],[],,,,,,,,,?,,293,,1226 kj(293 kcal),,"24,1",,"9,4",,"5,1",,"1,3",,"15,5",,"1,58",,"0,632",,,,,,,,,,,,,,,"['FR 29.125.020 CE', 'Leuhan (Finistère, France)']",,,,,,,,,
270,4740572002632,4740572002632,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Gran blanco craft chocolate,9421903851239,,,,,['France'],[],[],,,,,,,,,?,,1060,,4435 kj(1060 kcal),,"39,9",,"23,9",,52,,34,,"8,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
272,Uova,4740229011598,,,,,"['France', 'Italie']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Pain cereales et fruit,0260945013125,,,,,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,3,,"2,7",,"51,1",,"11,1",,"8,6",,"1,23",,"0,492",,,,,,,,,,,,,,,,,,,,,,,,
274,Les petites MATSOT TRADITION,3226985400018,,,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,"1,2",,"0,3",,"78,2",,"2,7",,11,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,
275,Pavés de boeuf - Charal,0292473046382,,['Charal'],"['Viandes', 'Bœuf']",,['France'],[],[],2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,476,-38%,113,-37%,476 kj(113 kcal),-37%,"2,3",-76%,"0,8",-80%,0,-100%,0,-100%,23,+14%,"0,17",-85%,"0,068",-85%,-4,-176%,A,-176%,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,
276,Light free - Danone,990530101005571862,,['Danone'],,,['France'],[],[],,,,,,,,,?,,70,,293 kj(70 kcal),,"0,1",,"0,1",,"8,5",,"7,8",,"8,6",,,,,,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,
277,4740159000013,4740159000013,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,"Confiture orange, chocolat",9365194200270,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]",,['France'],[],[],6.6 g,en quantité modérée,4.1 g,en quantité modérée,56 g,en quantité élevée,,,?,,289,+34%,1209 kj(289 kcal),+35%,"6,6",+2709%,"4,1",+10689%,56,+7%,56,+11%,"1,1",+124%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,
279,L'invincible,3760099400477,,,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,0,,0,,"9,4",,"7,5",,"0,7",,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'ES-ECO-019-CT', 'Agriculture UE/Non UE']",,,,,,,,,,
280,4740581410039,4740581410039,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,8003948002169,8003948002169,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,
282,8001820006106,8001820006106,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,5998304067469,5998304067469,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,130g,4810168025793,,,"['Œufs de poisson', 'Caviars']",,['France'],[],[],6.9 g,en quantité modérée,0.7 g,en faible quantité,1.3 g,en faible quantité,4.03 g,en quantité élevée,?,,153,-40%,640 kj(153 kcal),-41%,"6,9",-57%,"0,7",-82%,"2,1",-11%,"1,3",+148%,"20,6",-18%,"4,03",+24%,"1,612",+24%,11,-32%,D,-32%,,,,,,,,130g,,,,['it:Alaska'],,,,,,,
285,Feuilleté glacé fruits rouges - 384g,3528161506843,,,,,['France'],[],[],,,,,,,,,?,,228,,954 kj(228 kcal),,10,,7,,33,,26,,"1,2",,"0,12",,"0,048",,,,,,,,,,,,,384 g,,,['Sachet en plastique'],,,,,,,,
286,Harissa,9879597475932,C,,"['Epicerie', 'Sauces', 'Harissas']",,['France'],[],[],1 g,en faible quantité,0.5 g,en faible quantité,6.9 g,en quantité modérée,1.7 g,en quantité élevée,?,,72,-32%,301 kj(72 kcal),-33%,1,-77%,"0,5",-19%,11,+21%,"6,9",+86%,"2,9",+15%,"1,7",-54%,"0,68",-54%,7,-18%,C,-18%,78.7%,9.3%,4.7%,4.8%,2.0%,0.5%,57,,,,,,,,,,,,
287,2971632006105,2971632006105,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Flan nature,0207569014435,B,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Flans gélifiés', 'Flans pâtissiers']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,71.0%,14.6%,7.1%,3.5%,3.7%,0.0%,81,,,,,,,,,,,,
289,Salade Alaska - Claude Léger,3250392805272,,['Claude Léger'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,"['EMB 61138B', 'Croisilles (Orne, France)']",,,,,,,,,
290,Petit oeuf en chocolat - Paul,3275179373423,,['Paul'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",,['France'],"['sucre', 'masse de cacao', 'NOISETTES', 'beurre de cacao', 'poudre de LAIT entier', 'BEURRE pâtissier', 'LACTOSE', 'émulsifiant: lécithine de SOJA ', 'E322', 'poudre de cacao', 'arômes', 'sel', "" Peut contenir des traces d'oeufs"", 'de gluten', ""d'arachide"", ""de graines de şéşame et d'autres fruits à coque""]",['Non végétalien'],32 g,en quantité élevée,16 g,en quantité élevée,52 g,en quantité élevée,0.11 g,en faible quantité,?,,543,-1%,2272 kj(543 kcal),-1%,32,-5%,16,-14%,54,+1%,52,+1%,"6,2",-1%,"0,11",-39%,"0,044",-39%,26,+2%,E,+2%,,,,,,,,,['Fabriqué en France'],,,,"['E322i - Lécithine', 'E322 - Lécithines']","['Lait', 'Fruits à coque', 'Soja']",4,,,,
291,Jambon de Paris 5 Tranches,2959397002792,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,['France'],[],[],3.7 g,en quantité modérée,1.8 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,?,,124,-6%,519 kj(124 kcal),-5%,"3,7",-23%,"1,8",-2%,"0,7",+5%,"0,7",+18%,22,+4%,"1,9",+2%,"0,76",+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,['FR 96.018.022 CE'],,,,,,,,,
292,Tortilla chips,0815871014670,,,,,['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,24,,"2,6",,68,,"1,3",,"8,6",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
293,Reblochon,2976706005664,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",,"['France', 'Italie']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
294,Croissants & pains au chocolat pur beurre,0205965013786,,,,['Magasins U'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,4740669040158,4740669040158,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Pain parisien,2644659005252,,,,,['France'],[],[],,,,,,,,,?,,277,,1159 kj(277 kcal),,"1,2",,"0,3",,"56,4",,"2,1",,9,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
297,Cuisse de poulet roti pomme de terre provençale,0200132020277,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
298,Oeufs pralinés noir et lait - Chevaliers d'Argouges,3421371525409,,"[""Chevaliers d'Argouges""]","['Aliments de Pâques', 'Œufs de Pâques']",,['France'],[],[],36 g,en quantité élevée,15 g,en quantité élevée,46 g,en quantité élevée,0.13 g,en faible quantité,?,,554,+1%,2318 kj(554 kcal),+1%,36,+7%,15,-25%,47,-13%,46,-12%,"7,7",+16%,"0,13",-36%,"0,052",-36%,26,-0%,E,-0%,,,,,,,,,,,['Pot en plastique'],,,,,,,,
299,Merguez véritable,0261378026171,,,,,['France'],[],[],,,,,,,,,?,,224,,937 kj(224 kcal),,"17,6",,"8,7",,"1,2",,0,,"15,1",,"2,1",,"0,84",,,,,,,,,,,,,,,"['FR 33.036.007 CE', 'Bazas (Gironde, France)']",,,,,,,,,
300,Coleslaw,0218895039429,,,,,['France'],[],[],,,,,,,,,?,,163,,682 kj(163 kcal),,"15,5",,"1,1",,"3,6",,"0,9",,"1,2",,"0,8",,"0,32",,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,
301,4750022475237,4750022475237,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Wings de poulet,3760116242387,,,,,['France'],[],[],,,,,,,,,?,,692,,2895 kj(692 kcal),,"9,5",,"2,8",,"2,5",,"0,6",,"17,5",,"1,1",,"0,44",,,,,,,,,,,,,,['Halal'],,,,,,,,,,
303,Miettes de thon sauce tomate - Sunny Sea,3329150290091,D,['Sunny Sea'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Miettes de thon']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,['Conserve'],,,,,Miettes de thon,,,
304,Friture noire sachet,3395250003879,,,,,['France'],[],[],,,,,,,,,?,,558,,2335 kj(558 kcal),,40,,24,,37,,29,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
305,Escalope de dinde - Monoprix,2201258036218,D,['Monoprix'],"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['Monoprix'],['France'],[],[],2 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,114,-6%,477 kj(114 kcal),-5%,2,+52%,"0,7",+74%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
306,Nar eksisi - 725g,8697436570690,,,,,['France'],[],[],,,,,,,,,?,,320,,1339 kj(320 kcal),,0,,0,,80,,80,,1,,0,,0,,,,,,,,,,,,,725 g,,,,,,,,,,,
307,Premium Iso (Proteines) - 2000g,6351317516918,,,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,1,,"0,8",,"0,1",,0,,90,,"0,3",,"0,12",,,,,,,,,,,,,2000 g,['Sans lactose'],,,,,,,,,,
