,name,bar_code,eco_score,brand,categories,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,traceability_code,packaging,ingredients_origins,additives,allergens,nova_score,generic_name,manufacturing,link,palm_ingredients
10,Pâté de porc au magret de canard fume - Maistres Occitans,3443705063722,,['Maistres Occitans'],,,['France'],[],[],,,,,,,,,?,,304,,1272 kj(304 kcal),,31,,11,,0,,0,,16,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,
11,Caramel liquide bio - 250ml,3278584940013,,,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,0,,0,,84,,67,,0,,0,,0,,,,,,,,,,,,,250 ml,['Bio'],,['Bouchon en plastique'],,,,,,,,
12,Ma 1ère Blédine - Riz et Carottes - Blédina - 125g,3041091118233,,['Blédina'],,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"1,1",,"0,1",,"84,9",,21,,"5,9",,,,,,,,,,,,,,,,,125 g,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,
13,Trouble #6 - Deck & Donohue,3760296730001,,['Deck & Donohue'],,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Graines de basilic Took Maria - 100g,6091061403200,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,
15,La Tartathon,3181580268404,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RIBS,2443432049465,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,
17,Loukoumi With Rose,5203937007356,,,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,0,,0,,90,,61,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Aceto balsamico di modena igp,8003185007361,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0.15 g,en faible quantité,?,,184,+25%,770 kj(184 kcal),+25%,0,-100%,0,-100%,40,+26%,40,+37%,"1,2",+80%,"0,15",+112%,"0,06",+112%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,['Italie'],,,,,,,
19,Axoa de canard au piment d'espelette,3368822008947,,,,,['France'],[],[],,,,,,,,,?,,66,,276 kj(66 kcal),,"3,4",,"0,8",,"3,3",,"2,1",,5,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
20,Andouillettes au canard,2350956007942,,,,,['France'],[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,16,,"6,2",,"0,6",,0,,17,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,
21,Buche De Chèvre,2488844014960,,,,,['France'],[],[],,,,,,,,,?,,279,,1167 kj(279 kcal),,23,,17,,1,,"0,5",,17,,"1,8",,"0,72",,,,,,,,,,,,,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,
22,Crusty mix,2600239018562,,,,,['France'],[],[],,,,,,,,,?,,505,,2113 kj(505 kcal),,26,,15,,61,,47,,"6,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
23,Filet de poulet jaune,2600261077476,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Auchan'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
24,Saumure champigny,3760052930010,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
25,Sucre de canne complet Dulcita - 5kg,3413880061257,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,5 kg,"['Bio', 'Bio européen', 'en:EC-BIO-141', 'FR-BIO-01']",,,,,,,,,,
26,Saucisse sèche pur porc sous-vide,2610291036145,,,,,['France'],[],[],,,,,,,,,?,,351,,1469 kj(351 kcal),,26,,"9,85",,"1,7",,1,,"27,5",,"4,57",,"1,828",,,,,,,,,,,,,,,"['FR 81.003.003 CE', 'Alban (Tarn, France)']",,,,,,,,,
27,Roquefort,0204502023295,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Harissa Lamb & Chicken Koftas - By sainsbury's,01831283,,"[""By sainsbury's""]",,"[""Sainsbury's""]","['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"17,1",,"3,3",,"13,8",,"2,1",,"16,7",,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,,
29,Confiture extra fraise,3701269300395,,,,,['France'],[],[],,,,,,,,,?,,228,,954 kj(228 kcal),,"0,1",,"0,01",,"57,1",,"54,4",,"0,2",,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
30,Andouille dd vire Kerandou,2258573036010,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lapin - Mondelez,7622210584298,,"['Mondelez', 'Milka']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,['France'],"['Sucre', 'beurre de cacao', 'laitmee ede cacao', 'eclats de noisettes lactosérum en poudre ', 'de lait', 'bel rer usifiants ', 'lécithines de soja', '476', 'pate de noisette', 'arone mum dans le chocolat au lait du pavs alpin', 'Peut contenir au et blé,']",['Non végétalien'],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,['E322i - Lécithine'],"['Lait', 'Soja']",3,,,,
32,Osseau iraty aop,0210852034508,,,,,['France'],[],[],,,,,,,,,?,,408,,1707 kj(408 kcal),,"34,6",,"23,6",,"1,9",,"0,5",,"22,3",,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
