,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,palm_ingredients,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,traceability_code,link,brand_owner
128,Berries big bag - Haribo - 1kg,4001686705476,1 kg,,['Haribo'],['France'],[],,,[],,?,350,1464 kj(350 kcal),"0,5","0,1",86,70,"1,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,World Mix - Haribo,4001686713778,,['Sachet'],['Haribo'],"['Belgique', 'France']",[],,,[],,?,350,1464 kj(350 kcal),"1,3","0,8",80,54,4,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
130,Haribo Funny Mix,4001686713877,,,['Haribo'],['France'],[],,,[],,?,334,1397 kj(334 kcal),"0,5","0,1",82,42,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Color-rado - Haribo,4001686720394,,,['Haribo'],['France'],[],,,[],,?,363,1519 kj(363 kcal),"2,3","1,3",80,57,"4,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,HARIBO PICK & PARTY travel edition,4001686723210,,,['Haribo'],['France'],[],,,[],,?,342,1431 kj(342 kcal),"0,5","0,1",77,47,"6,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Haribo Starmix,4001686726990,,,['Haribo'],['France'],"['Sirop de glucose', ' sucre', ' dextrose', ' gélatine', ' acidifiant: acide citrique', ' arôme', ' concentrés de fruits et de plantes: carthame', 'spiruline', 'pomme', 'baie de sureau', 'cassis', 'orange', 'kiwi', 'citron', 'mangue', 'fruit de la passion', 'aronie', 'raisin', ' sirop de caramel', ' extrait de baie de sureau', "" agents d'enrobage: cire d'abeille blanche et jaune"", 'cire de PIH de carmauba']","['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille""]",,"['Non végétalien', 'Non végétarien']",4,?,342,1431 kj(342 kcal),"0,5","0,1",77,47,"6,6","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Haribo Halloween 630G - 630g,4001686735107,630 g,"['Sachet', 'Plastique']",['Haribo'],['France'],[],,,[],,?,323,1351 kj(323 kcal),"0,5","0,1",77,46,"6,9","0,07","0,028",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', ""Aliments et boissons d'Halloween""]",,0.5 g,en faible quantité,0.1 g,en faible quantité,46 g,en quantité élevée,0.07 g,en faible quantité,,-20%,-20%,-95%,-98%,+7%,-16%,+83%,-71%,-71%,14,-20%,D,-20%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
135,Haribo greatest Hits,4001686735916,,,['Haribo'],['France'],[],,,[],,?,349,1460 kj(349 kcal),0,0,81,51,"5,3","0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Sharing Mix - Haribo - 850g,4001686745588,850 g,,['Haribo'],['France'],"['Sirop de glucose', ' sucre', ' gélatine', ' dextrose', ' acidifiant acide citrique', ' sirop de caramel', ' concentrés de fruits et de plantes: spiruline', 'carthame', 'pomme', 'radis', 'patate douce', 'carotte', 'citron', 'cassis', 'hibiscus', ' arôme', "" agents d'enrobage: cire d'abeille blanche et jaune"", 'cire de carnauba', ' sirop de sucre inverti']","['E428 - Gélatine', 'E330 - Acide citrique', ""E901 - Cire d'abeille"", 'E903 - Cire de carnauba']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,343,1435 kj(343 kcal),"< 0,5","0,1",77,46,"6,9","0,07","0,028",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,0.5 g,en faible quantité,0.1 g,en faible quantité,46 g,en quantité élevée,0.07 g,en faible quantité,,-4%,-4%,-73%,-91%,-8%,-21%,+225%,-42%,-42%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,
137,Ristorante pizza quattro fromaggi - DR. OETKER - 340g,4001723818908,340g,['feuille plastique'],['DR. OETKER'],"['Belgique', 'France']","['Farine de blé', '24% purée de tomate', '11% Mozzarella', '11% Edam', 'eau', 'crème fleurette', 'huile végétale', '4,2% Emmental', ' levure', '0,7% fromage persillé', 'sel iodé', 'sucre', 'basilic', ""huile d'olive extra vierge"", 'amidon modifié', 'protéines de soja et de blé hydrolysées', 'paprika', 'origan', 'sirop de glucose', 'gingembre', 'ail', 'caramel', 'poivre', 'lactose', 'extrait d’épices']",['E14XX - Amidons modifiés'],"['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",4,1127,269,1127 kj(269 kcal),14,"6,2","24,1",2,"10,8","1,168","0,467",,Pizza,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Plats préparés surgelés']",,14 g,en quantité modérée,6.2 g,en quantité élevée,2 g,en faible quantité,1.17 g,en quantité modérée,+18%,+17%,+18%,+67%,+58%,-10%,-32%,+5%,-7%,-7%,13,+67%,D,+67%,,,,,,,,['Végétarien'],,['Allemagne'],,,,
