,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,generic_name,categories,palm_ingredients,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,ingredients_origins,manufacturing,traceability_code,link,brand_owner
0,Paradiescreme weiße Schokolade - Dr. Oetker - 70g,4000521463502,70g,['Beutel'],['Dr. Oetker'],"['France', 'Allemagne']","['Zucker', 'modifizierte Stärke', '9,2 % Weiße Schokolade ', 'Zucker', 'Kakaobutter', 'VOLLMILCHPULVER', 'Emulgator ', 'Lecithine', 'Glukosesirup', 'pflanzliche Öle ', 'Palmkern', 'Palm', 'Emulgator ', 'E 472b', 'MAGERMILCHPULVER', 'Geliermittel ', 'Carrageen', 'MILCHEIWEISS', 'Aroma ', 'enthält MILCHBESTANDTEILE', 'Salz', 'Farbstoff ', 'Carotin']","['E14XX - Amidons modifiés', 'E322 - Lécithines', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",['Lait'],"['Huile de palme', 'Non végétalien']",4,?,123,515 kj(123 kcal),"3,5","2,5",20,17,"3,2","0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Maxi Mix - Assortiment de produits apéritifs - Vico - 1000g,4000522008443,1000 g,"['Sachet', 'Plastique']",['Vico'],['France'],"['Farine de BLÉ', 'huile de palme', 'sel', 'sucre', 'graines de SÉSAME', 'sirop de glucose', 'LACTOSÉRUM en poudre', 'graines de pavot', 'BABEURRE en poudre', 'FROMAGE en poudre', 'farine de BLÉ malté', 'sirop de glucose-fructose', 'amidon de BLÉ', ""émulsifiant : mono et diglycérides d'acides gras"", ""correcteur d'acidité : hydroxyde de sodium"", 'levure', 'arômes', 'protéines de LAIT', 'yaourt ', 'contient LAIT écrémé', 'amidon modifié', 'LAIT entier en poudre', 'épice']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E524 - Hydroxyde de sodium', 'E14XX - Amidons modifiés']","['Gluten', 'Lait', 'Graines de sésame']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1904,454,1904 kj(454 kcal),19,"8,6",59,"4,7","9,8","3,4","1,36",C,Assortiment de produits apéritifs,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Huile de palme'],19 g,en quantité modérée,8.6 g,en quantité élevée,4.7 g,en faible quantité,3.4 g,en quantité élevée,-5%,-2%,-3%,-5%,+59%,-1%,+20%,-1%,+70%,+70%,24,+56%,E,+56%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
2,Lindt Eiscafé,4000539031601,,,['Lindt'],['France'],[],,,[],,?,590,2469 kj(590 kcal),40,25,51,51,0,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Lindt & Sprüngli Lindor Kugeln Vollmilch 1Kg, 1er Pack - 1kg",4000539086502,1 kg,,['Lindt'],"['France', 'Allemagne']","['Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Vollmilchpulver', 'Kakaomasse', 'Milchzucker', 'Butterreinfett', 'Magermilchpulver', 'Emulgator ', 'Sojalecithin', 'Gerstenmalzextrakt', 'Aromen']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,617,2582 kj(617 kcal),47,35,43,43,"4,6","0,15","0,06",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,47 g,en quantité élevée,35 g,en quantité élevée,43 g,en quantité élevée,0.15 g,en faible quantité,,+17%,+17%,+47%,+101%,-18%,-9%,-22%,-2%,-2%,26,+7%,E,+7%,,,,,,,,['Pur beurre de cacao'],,,,,,
4,Lindor Extra Dunkel - Lindt - 38g,4000539101809,38 g,"['Kunststoff', 'plastique']",['Lindt'],"['France', 'Allemagne']","['Kakaomasse', 'Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Vollmilchpulver', 'Butterreinfett', 'Milchzucker', 'Emulgator', ' Sojalecithin', 'Magermilchpulver', 'Vanille', 'Gerstenmalzextrakt', 'Aromen']",,"['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,615,2573 kj(615 kcal),48,36,37,34,"5,3","0,04","0,016",,Barre de chocolat noir fourré - Lindor Extra Dunkel,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats fourrés']",,48 g,en quantité élevée,36 g,en quantité élevée,34 g,en quantité élevée,0.04 g,en faible quantité,,+14%,+14%,+43%,+101%,-28%,-28%,-14%,-70%,-70%,24,-2%,E,-2%,,,,,,,,['Point Vert'],['Sky'],,,,,
5,Lindt Creation Mango-maracuja,4000539118203,,,['Lindt'],"['France', 'Espagne']",[],,,[],,?,523,2188 kj(523 kcal),30,18,57,52,"5,8","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Mini Pralinés 20er - Lindt,4000539122804,,,['Lindt'],['France'],"['Zucker', 'Kakaobutter', 'Kakaomasse', 'Vollmilchpulver', 'Mandeln', 'Haselnüsse', 'Glukose-Fruktose-Sirup', 'Butterreinfett', 'Traubenzucker', 'Pistazien', 'Magermilch - pulver', 'Kondensmilch', 'Invertzucker', 'Zitronen - schalen', 'Orangenschalen', 'Palmöl', 'Marc de Champagne', 'Milchzucker', 'Kirschwasser', 'Emulgator ', 'Sojalecithin', 'Alkohol', 'Sahnepulver', 'Kaffee', 'Orangensaft - konzentrat', 'natürliches Aroma', 'Feuchthaltemittel ', 'Invertase', 'Gerstenmalzextrakt', 'Aromen', 'Zitronensaftkonzentrat', 'fettarmes Kakaopulver', 'Überzugsmittel ', 'Gummi arabicum', ' Kann andere Schalenfrüchte enthalten', ' Einige Spezialitäten enthalten Alkohol']",['E1103 - Invertase'],,[],,?,530,2218 kj(530 kcal),31,14,53,50,"7,1","0,4","0,16",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,31 g,en quantité élevée,14 g,en quantité élevée,50 g,en quantité élevée,0.4 g,en quantité modérée,,-2%,-2%,-8%,-20%,+3%,+7%,+18%,+178%,+178%,27,+8%,E,+8%,,,,,,,,['Fabriqué en Allemagne'],,,,,,
7,Lindt lindor,4000539127908,,,['Lindt'],['France'],"['Zucker', 'pflanzliches Fett ', 'Kokosnuss', 'Palmkern', 'Kakaobutter', 'Kakaomasse', 'Vollmilchpulver', 'Magermilchpulver', 'Mitchzucker', 'Butterreinfett', 'Emulgator ', 'Sojalecithin', 'Gersten - malzextrakt', 'Aromen', ' Kann Haselnüsse', 'Mandeln enthalten', ' COCOA PRO']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,620,2594 kj(620 kcal),48,34,43,40,"4,9","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Suisse'],,,,,,
8,Caramel Brownie - Lindt - 39g,4000539221507,39g,['Plastique'],['Lindt'],"['France', 'Allemagne', 'Suisse']","['Sucre', 'beurre de cacao', 'pâte de cacao', 'poudre de lait', 'sirop de glucose', 'noisettes', 'beurre laitier concentré', 'graisse végétale ', 'palme palmiste', 'poudre de crème', 'lait concentré', 'farine de blé', 'dextrose', 'lactose', 'émulsifiant ', 'lécithine de soja et de tournesol', 'poudre de cacao', 'poudre de lait écrémé', 'sel', 'arômes naturels', ""extrait de malt d'orge"", 'arôme ', 'vanilline', 'poudre à lever ', ""bicarbonate d'ammonium"", 'de sodium et carbonate de potassium', 'vanille']","['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500i - Carbonate de sodium', 'E501i - Carbonate de potassium']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,2251,540,2251 kj(540 kcal),33,17,53,51,"6,4","0,12","0,048",E,Chocolat au lait fourré au caramel (13%) et d'un intérieur crémeux aux éclats de biscuits cacaotés (3%).,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",['Huile de palme'],33 g,en quantité élevée,17 g,en quantité élevée,51 g,en quantité élevée,0.12 g,en faible quantité,-1%,-2%,-2%,-4%,-6%,+1%,+3%,-1%,-38%,-38%,26,+2%,E,+2%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,['Carrefour Market'],,,,,
9,Hello Salted Caramel - Lindt - 100g,4000539224607,100g,"['Karton', 'Aluminium', 'Stück']",['Lindt'],"['Autriche', 'France', 'Allemagne']","['sugar', 'glucose syrup', 'cocoa butter', 'whole milk powder ', 'butter fat ', 'cocoa mass', 'condensed milk ', 'milk sugar ', 'dextrose', 'skimmed milk powder ', 'emulsifier ', ' soya lecithin ', 'salt', 'barley malt extract ', 'natural flavouring', 'flavouring vanillin,']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,?,513,2146 kj(513 kcal),29,19,57,52,"5,2","0,61","0,244",,Gefüllte Vollmilch-Schokolade mit Caramel (36%) und einem Hauch von Salz,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,29 g,en quantité élevée,19 g,en quantité élevée,52 g,en quantité élevée,0.61 g,en quantité modérée,,-7%,-7%,-20%,-10%,+24%,+27%,-28%,+339%,+339%,28,+19%,E,+19%,,,,,,,,['Point Vert'],,,,,,
10,HELLO LEMON CHEESECAKE - Lindt,4000539235108,,,['Lindt'],['France'],[],,,[],,?,545,2280 kj(545 kcal),34,20,52,46,7,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Lindt Mini Joghurt Pralinés 90G,4000539316104,,,['Lindt'],['France'],[],,,[],,?,553,2314 kj(553 kcal),35,20,51,50,"7,2","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lindt Pralinés Hochfein 350G - 350g,4000539321207,350 g,,['Lindt'],['France'],[],,,[],,?,553,2314 kj(553 kcal),34,14,52,49,"7,7","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Lindor - Lindt - 62g,4000539361104,62g,,['Lindt'],"['France', 'Espagne']","['sucre', 'matière grasse végétale ', 'coprah', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'poudre de lait entier', 'poudre de lait écrémé', 'lactose', 'beurre laitier concentre', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arômes', ' Peut contenir des noisettes', 'des amandes']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,620,2594 kj(620 kcal),48,34,43,40,"4,9","0,15","0,06",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['Huile de palme'],48 g,en quantité élevée,34 g,en quantité élevée,40 g,en quantité élevée,0.15 g,en faible quantité,,+17%,+17%,+50%,+95%,-18%,-16%,-17%,-2%,-2%,25,+2%,E,+2%,,,,,,,,['Fabriqué en Suisse'],,,,,,
14,Lindt Alpenvollmilch Stick,4000539363306,,,['Lindt'],['France'],[],,,[],,?,545,2280 kj(545 kcal),32,20,56,55,"7,4","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lindt Edel Marzipan - Baton - 50.0g,4000539381003,50.0 g,['Produkt'],['Lindt'],"['Autriche', 'France']","['Zucker', 'Mandeln ', '32%', 'Kakaomasse', 'Vollmilchpulver', 'Kakaobutter', 'Invertzucker', 'Emulgator ', 'Sojalecithin', 'Feuchthaltemittel ', 'Invertase', 'Arorna Vanillin', 'Haselnüsse', ' Kann andere Schalenfrüchte enthalten']",['E1103 - Invertase'],,[],,?,483,2021 kj(483 kcal),26,"6,7",51,49,"8,2","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mini Oeufs double lait - Lindt - 200g,4000539604102,200 g,['sachet plastique'],['Lindt'],['France'],"['Sucre', 'beurre de cacao', 'poudre de lait 18 %', 'beurre laitier concentré 9 %', 'pâte de cacao', 'lactose', 'poudre de lait écrémé 3 %', ""extrait de malt d'orge"", 'lécithine de soja', 'arômes', '\r Le chocolat au lait contient cacao 30 % minimum', ' Matière sèche de lait 14 % minimum']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']",['Non végétalien'],4,?,574,2402 kj(574 kcal),38,24,51,51,"6,6","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",,38 g,en quantité élevée,24 g,en quantité élevée,51 g,en quantité élevée,0.2 g,en faible quantité,,+5%,+5%,+12%,+30%,-5%,-1%,+5%,+11%,+11%,27,+5%,E,+5%,,,,,,,,,,['Allemagne'],,,,
17,Minis Oeufs Lait Fondant - Lindt - 200g e,4000539604201,200 g e,"['Sachet', 'Plastique', 'métal', 'Aluminium']","['Lindt', 'Lindt & Sprüngli']",['France'],"['Sucre', 'beurre de cacao', 'poudre de lait', 'pâte de cacao', 'lactose', 'poudre de lait écrémé', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arôme : vanilline']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja', 'Şoja']","['Sans huile de palme', 'Non végétalien']",4,?,545,2280 kj(545 kcal),32,19,56,56,"7,3","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat creux']",,32 g,en quantité élevée,19 g,en quantité élevée,56 g,en quantité élevée,0.2 g,en faible quantité,,-2%,-1%,-6%,-12%,+4%,+6%,+3%,-15%,-15%,26,-2%,E,-2%,,,,,,,,['Point Vert'],,,['Allemagne'],,,
18,Mini Oeufs praline - Lindt - 200g,4000539604508,200 g,['Sachet'],['Lindt'],['France'],"['sucre', 'beurre de cacao', 'noisette ', '13%', 'poudre de lait', 'pate de cacao', 'lactose', 'poudre de lait écrémé', 'beurre laitier concentré', 'émulsifiant : lecithine de soja', ""extrait de malt d'orge"", 'arôme']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,556,2326 kj(556 kcal),33,16,56,54,"7,2","0,14","0,056",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",,33 g,en quantité élevée,16 g,en quantité élevée,54 g,en quantité élevée,0.14 g,en faible quantité,,+1%,+2%,-2%,-14%,+4%,+5%,+15%,-22%,-22%,26,+2%,E,+2%,,,,,,,,,,,['Allemagne'],,,
19,Goldhase lindt,4000539631801,,,['Lindt'],['France'],[],,,[],,?,550,2301 kj(550 kcal),33,20,55,55,"7,2","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,33 g,en quantité élevée,20 g,en quantité élevée,55 g,en quantité élevée,0.2 g,en faible quantité,,-1%,-0%,-4%,-4%,+2%,+5%,+10%,+3%,+3%,26,-1%,E,-1%,,,,,,,,,,,,,,
20,Mini poussins au chocolat au lait - Lindt,4000539647406,,,['Lindt'],['France'],[],,,[],,?,568,2377 kj(568 kcal),37,22,51,51,"7,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Allemagne'],,,
21,Lindt Frohe Ostern Röhrchen,4000539660207,,,['Lindt'],['France'],[],,,[],,?,571,2389 kj(571 kcal),36,18,53,48,"7,5","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mini Agneaux au chocolat au lait - Lindt,4000539660306,,,['Lindt'],['France'],[],,,[],,?,570,2385 kj(570 kcal),37,22,51,51,"7,4","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat']",,37 g,en quantité élevée,22 g,en quantité élevée,51 g,en quantité élevée,0.2 g,en faible quantité,,+3%,+3%,+9%,+4%,-5%,-2%,+11%,+2%,+2%,27,+3%,E,+3%,,,,,,,,['Point Vert'],,,,,,
23,Lapin chocolat blanc - Lindt,4000539670046,,,['Lindt'],['France'],[],,,[],,?,572,2393 kj(572 kcal),36,22,55,55,7,"0,25","0,1",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,36 g,en quantité élevée,22 g,en quantité élevée,55 g,en quantité élevée,0.25 g,en faible quantité,,+3%,+4%,+5%,+6%,+2%,+5%,+7%,+29%,+29%,28,+7%,E,+7%,,,,,,,,,,,,,,
24,Mini lapin or au chocolat noir - Lindt,4000539670800,,,['Lindt'],['France'],"['pâte de cacao', 'sucre', 'beurre de cacao', 'beurre laitier concentré', 'émulsifiant ', 'lécithine de soja', 'vanille', 'Peut contenir des noisettes', ""d'autres fruits à coque et du lait"", 'Cacao : 60% minimum,']",['E322i - Lécithine'],['Soja'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Végétarien']",4,?,570,2385 kj(570 kcal),41,26,39,36,"6,8","0,03","0,012",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,41 g,en quantité élevée,26 g,en quantité élevée,36 g,en quantité élevée,0.03 g,en faible quantité,,+3%,+3%,+20%,+25%,-27%,-31%,+4%,-85%,-85%,24,-8%,E,-8%,,,,,,,,,,,,,,
25,Alkoholspezialitaten - Lindt,4000539671807,,,['Lindt'],['France'],[],,,[],,?,434,1816 kj(434 kcal),23,14,46,45,"3,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Lindt Lindor Assorted Mini Eggs 100G,4000539674501,,,['Lindt'],['France'],"['Irlgrédients : sucrea matière grasse végétale ', 'coprah* beurre de cacao', 'pâte de lait* lactose', 'poudre de laitier concentré', 'de soja', 'extrait de malt crorge', 'aròrrcs- Peul contenir des noisettes et des amandes,']",,"['Fruits à coque', 'Soja']",[],,?,610,2552 kj(610 kcal),45,34,45,44,"5,1","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lapin au chocolat au lait - Lindt,4000539678608,,,['Lindt'],['France'],[],,,[],,?,545,2280 kj(545 kcal),32,20,56,55,"7,4","0,2","0,08",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Lapins en chocolat']",,32 g,en quantité élevée,20 g,en quantité élevée,55 g,en quantité élevée,0.2 g,en faible quantité,,-2%,-1%,-6%,-4%,+4%,+5%,+13%,+3%,+3%,26,-1%,E,-1%,,,,,,,,,,,,,,
28,Lindt Weihnachts-knusper Selection - 210g,4000539704949,210 g,"['Karton', 'Kunststoff']",['Lindt'],['France'],"['Zutaten: Zucker', 'Kakaobutter', 'Mande', 'a', 'Vollmiichputver', 'Haselnüsse', 'Kakaomasse', 'Magermilchpulver', 'Weizen ', 'Mehl', 'Stârke', 'Milchzucker', 'Butterreinfett', 'Emulgator ', 'Sojalecithin', 'Kandissirup', 'pflanzliches Fett ', 'Palmkern', 'Sonnenblume', 'Aromen', 'Invertzucker', 'Salz', 'Gerstenmalzextrakt', 'natürliches Aroma', 'Gewürze', ' Kann andere Schalenfrüchte enthalten', ' 30% mindestens in der Milch-Schokolade']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien']",4,?,553,2314 kj(553 kcal),34,13,51,40,"9,1","0,17","0,068",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,34 g,en quantité élevée,13 g,en quantité élevée,40 g,en quantité élevée,0.17 g,en faible quantité,,+2%,+2%,+1%,-26%,-1%,-15%,+51%,+18%,+18%,24,-4%,E,-4%,,,,,,,,,,,,,,
29,Calendrier de l’Avent Lindor - Lindt,4000539708480,,"['Carton', 'Plastique']","['Lindt', 'Lindt & Sprüngli']",['France'],"['Sucre', 'matière grasse végétale ', 'coprah', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lait écrémé en poudre', 'lactose', 'beurre laitier concentré', 'noisettes', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arômes', 'vanille']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,625,2615 kj(625 kcal),48,35,42,41,"4,9","0,15","0,06",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Aliments et boissons de Noël', 'Bonbons de chocolat', ""Calendriers de l'avent""]",['Huile de palme'],48 g,en quantité élevée,35 g,en quantité élevée,41 g,en quantité élevée,0.15 g,en faible quantité,,+24%,+22%,+64%,+100%,-25%,-21%,-18%,-22%,-22%,26,+4%,E,+4%,,,,,,,,,,,,,,
30,"Museums-naps, Alpenvollmilch-schokolade",4000539833007,,,,['France'],[],,,[],,?,550,2301 kj(550 kcal),33,20,55,55,"7,2","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Kölln Müsli Knusper Joghurt Zitrone,4000540003123,,,['Kölln'],['France'],[],,,[],,?,445,1862 kj(445 kcal),15,"6,6",64,19,10,"0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Muesli Classique aux fruits exotiques - Papayes, figues, ananas & mangues - Kölln - 750g",4000540004663,750 g,['Sachet'],['Kölln'],"['France', 'Allemagne']","[""30% Flocons d'avoine complets"", ""21% flocons d'avoine"", 'morceaux de date séchées', ""9% flocons d'orge complets"", '5% papaye confites ', 'morceaux de papaye', 'sucre de canne', 'acide citrique', 'copeaux de noix de coco grillée', '5% morceaux de figues séchées', 'noix de cajou entières', '4% morceaux de copeaux de banane grillée ', 'tranches de banane', 'huile de noix de coco', ""3,5% morceaux d'ananas confits "", 'morceaux ananas', 'sucre de canne', 'acide citrique', '1,5% morceaux de mangue confite ', 'morceaux de mangue', 'sucre de canne', 'acide citrique', 'concentré de jus de fruit de la passion en poudre ', 'sucre', 'jus de fruit de la passion', 'farine de riz']",['E330 - Acide citrique'],"['Gluten', 'Fruits à coque', 'Avoine']",[],3,1589,?,1589 kj(380 kcal),"9,4","4,5","60,1","19,1","8,6","0,07","0,028",B,Müsli,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",,9.4 g,en quantité modérée,4.5 g,en quantité modérée,19.1 g,en quantité élevée,0.07 g,en faible quantité,-7%,,-5%,-11%,+66%,-2%,+6%,-10%,-52%,-52%,7,+104%,C,+104%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,['Noz'],,,,,
33,Kölln Müsli Crunchy Honey nut & Oats,4000540013108,,,['Kölln'],"['France', 'Koweït']",[],,,[],,?,455,1904 kj(455 kcal),18,"5,6",62,19,"9,6","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,
34,Muesli crujiente,4000540013160,,,,['France'],[],,,[],,?,455,1904 kj(455 kcal),18,"5,6",62,19,"9,6","0,4","0,16",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,18 g,en quantité modérée,5.6 g,en quantité élevée,19 g,en quantité élevée,0.4 g,en quantité modérée,,+9%,+9%,+37%,+69%,+2%,+12%,-3%,+130%,+130%,15,+205%,D,+205%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,
35,"Müsli, Vollkorn Früchte - Kolln",4000540031485,,,['Kolln'],['France'],"['Vollkorn-Haferflocken ', '52%', 'Datteln', 'Rosinen', 'Sultaninen', 'Sonnenblumenkerne ', '5 %', 'getrocknete Apfelstücke', 'Hafer-Voll - kornmehl ', '3%', 'Hafermehl', 'getrocknete Bananenflocken', 'Invertzuckersirup', 'gefrierge - trocknete Himbeeren', 'Weizenmehl', 'Maismehl', 'Gerstenmalzextrakt', 'Zitronensaftkonzentrat', 'Maltodextrin', 'Sâuerungsmittel Citronensâure', 'Bourbon-Vanille-Extrakt']",,['Gluten'],"['Végétalien', 'Végétarien']",4,?,369,1544 kj(369 kcal),"7,6","1,2",61,22,10,"0,06","0,024",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",,7.6 g,en quantité modérée,1.2 g,en faible quantité,22 g,en quantité élevée,0.06 g,en faible quantité,,-11%,-11%,-42%,-64%,+1%,+30%,+2%,-66%,-66%,-1,-120%,A,-120%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Végétarien', 'Végétalien']",,,,,,
36,Müsli-riegel schoko-banane - Kölln,4000540105032,,,['Kölln'],"['France', 'Espagne']",[],,,[],,?,433,1812 kj(433 kcal),15,"8,2",65,27,"6,7","0,19","0,076",,,"['Snacks', 'Snacks sucrés']",,15 g,en quantité modérée,8.2 g,en quantité élevée,27 g,en quantité élevée,0.19 g,en faible quantité,,-3%,-4%,-26%,-18%,+13%,-24%,+12%,-50%,-50%,18,-5%,D,-5%,,,,,,,,,,,,,,
