,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,palm_ingredients,ingredients_origins,manufacturing,brand_owner,producer_info,origin_detail
1014,Le Yaourt à la Vanille - La Laitière - 1kg e (8 *125g),3023290011546,,1 kg e (8 *125 g),"['Frais', 'Pot', 'Carton', 'Verre']","['La Laitière', 'Nestlé']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts vanille', 'Yaourts entiers']","['Point Vert', 'Arômes naturels']",,['France'],"['Yaourt sucre ', '9,9 %', 'arôme naturel de vanille']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,3 g,en quantité modérée,2 g,en quantité modérée,13.5 g,en quantité élevée,0.13 g,en faible quantité,?,,97,0%,406 kj(97 kcal),+0%,3,-15%,2,-11%,"13,6",+14%,"13,5",+22%,"3,1",-19%,"0,13",+20%,"0,052",+20%,3,+12%,C,+12%,A,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,,,
1015,Rillettes de poulet pimenté - Bordeau Chesnel,3024720027762,,,['Frais'],['Bordeau Chesnel'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de poulet']",['Sans conservateurs'],,['France'],[],,[],,30.5 g,en quantité élevée,10.1 g,en quantité élevée,0.3 g,en faible quantité,1.3 g,en quantité modérée,?,,334,+5%,1397 kj(334 kcal),+5%,"30,5",+10%,"10,1",+14%,"0,5",+1%,"0,3",-24%,15,-10%,"1,3",+9%,"0,52",+9%,19,+12%,E,+12%,D,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,
1016,Danette Saveur Chocolat-Noisette - Danone - 500g (4 * 125g),3033490330040,Crème dessert au chocolat aromatisée saveur noisette - Danette Saveur Chocolat-Noisette,500 g (4 * 125 g),"['Frais', 'Pot', 'Plastique', 'Opercule']","['Danone', 'Danette']","['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Crèmes dessert', 'Réfrigérés', 'Desserts au chocolat', 'Crèmes dessert rayon frais', 'Desserts lactés au chocolat', 'Crèmes dessert chocolat']","['Point Vert', 'Fabriqué en France']",http://www.danoneetvous.com/Mes-Marques/DANETTE/Creme-dessert/Chocolat-saveur-noisette,"['Belgique', 'France']","['Lait entier ', '77,6 %', 'sucre', 'cacao maigre en poudre', 'crème ', '2,1 %', 'chocolat ', '2 %', 'sucre', 'pâte de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja', 'arôme', 'perméat de petit lait ', 'lactosérum', ' en poudre', 'épaississants : E1442', 'E407', 'amidon', 'arôme']","['Lait', 'Soja']",['Non végétalien'],4,4.2 g,en quantité modérée,2.8 g,en quantité modérée,18.2 g,en quantité élevée,0.102 g,en faible quantité,562,-14%,?,,562 kj(134 kcal),-12%,"4,2",-34%,"2,8",-30%,"20,4",+9%,"18,2",+10%,"3,3",-14%,"0,102",-34%,"0,041",-34%,5,-26%,C,-26%,B,['Carrefour'],"['E322i - Lécithine', 'E1442 - Phosphate de diamidon hydroxypropyle', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",72.7%,12.5%,5.4%,5.5%,3.0%,0.8%,77,"['FR 38.408.002 CE', 'Saint-Just-Chaleyssin (Isère, France)']",,,"['Danone Produits Frais France (DPFF) - 60 Impasse du Pan Perdu - Les Verchères - 38540 Saint-Just-Chaleyssin', 'Isère', 'Rhône-Alpes', 'France']",,,
1017,"Activia Nature - Danone - 1,5kg",3033491139390,Lait fermenté nature au bifidus,"1,5 kg","['Frais', 'Carton', 'Pot', 'Plastique']","['Danone', 'Activia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts nature', 'Yaourts au bifidus nature']",['Fabriqué en France'],,['France'],"['lait entier ', '96%', 'lait écrémé concentré ou en poudre', 'ferments lactiques dont bifidobacterium ', 'Bifidus ActiRegularis', ' ', 'lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,3.4 g,en quantité modérée,2.2 g,en quantité modérée,4.4 g,en faible quantité,0.12 g,en faible quantité,?,,62,+2%,259 kj(62 kcal),+1%,"3,4",+12%,"2,2",+13%,"4,4",-3%,"4,4",-1%,"3,4",-8%,"0,12",+4%,"0,048",+4%,0,,B,,B,,,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['FR 59.043.030 CE', 'Bailleul (Nord, France)']",,,['France'],,,
1018,Taillefine Mûre/Myrtille 0% - Danone,3033491313677,,,['Frais'],['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts allégés en matière grasse']",,,['France'],[],,[],,0.1 g,en faible quantité,0.04 g,en faible quantité,6.4 g,en quantité modérée,0.17 g,en faible quantité,?,,45,-27%,188 kj(45 kcal),-22%,"0,1",-82%,"0,04",-87%,"6,4",-18%,"6,4",-11%,"4,5",-2%,"0,17",+16%,"0,068",+16%,-1,,A,,C,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,
1019,Yoothie - danone - 250g,3033491316708,,250g,,['Danone'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,['France'],[],,[],,2.4 g,en quantité modérée,1.5 g,en quantité modérée,9.6 g,en quantité élevée,0.1 g,en faible quantité,?,,76,+6%,318 kj(76 kcal),+5%,"2,4",+59%,"1,5",+59%,"10,4",-8%,"9,6",-10%,"2,8",-3%,"0,1",-6%,"0,04",-6%,18,+12%,E,+12%,E,['Delhaize'],,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,,,,,
1020,Activia saveur coco - 1,3033491324574,,1,,['Activia'],,['Nutriscore'],,['France'],[],,[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"3,1",,2,,"12,6",,"12,6",,"3,6",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,
1021,Activia au bifidus - Touche de thé vert & menthe - Danone - 500g,3033491326592,,500 g,"['Plastique', 'Carton']","['Danone', 'Activia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus', 'Yaourts aromatisés', 'Yaourts au bifidus aromatisés']",['Arômes naturels'],,['France'],"['lait entier ', 'Origine: France', 'sucre ', '7%', 'lait écrémé concentré ou en poudre ', 'Origine: UE', 'crème ', 'lait', ' ', 'Origine:France', 'arôme naturel de thé vert et menthe', 'ferments lactiques dont bifidobacterium ', 'Bifidus ActiRegularis', ' ', 'lait']",['Lait'],['Non végétalien'],3,3.1 g,en quantité modérée,2 g,en quantité modérée,11.7 g,en quantité modérée,0.13 g,en faible quantité,?,,89,-2%,372 kj(89 kcal),-3%,"3,1",+4%,2,+3%,"11,7",-8%,"11,7",-6%,"3,6",+1%,"0,13",+8%,"0,052",+8%,2,-10%,B,-10%,B,['Magasins U'],,56.7%,18.0%,11.6%,7.6%,4.8%,1.3%,91,"['FR 59.040.030 CE', 'Aymeries (Nord, France)']",,['France'],,,,
1022,Activia au bifidus,3033491350658,,,,['Activia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au Bifidus']",['Sans arômes artificiels'],,['France'],"['Lait entier ', 'Origine: France', 'SUcre ', '7,8%', 'lait écrémé concentré ou en poudre ', 'Origine:UE', 'arôme naturel', 'crème ', 'lait', ' ', 'Origine: France', 'ferments lactiques dont bifidobacterium ', 'Bifidus ActiRegularis', ' ', 'lait', ' 3 ""O33 FR 59', '043', '030 e DANONE Contient: lait D', 'P', 'F', 'F', ' 93589 Saint-Ouen Cedex']",['Lait'],['Non végétalien'],4,3.1 g,en quantité modérée,2 g,en quantité modérée,12.6 g,en quantité élevée,0.13 g,en faible quantité,?,,93,+13%,389 kj(93 kcal),+12%,"3,1",+8%,2,+9%,"12,6",+21%,"12,6",+25%,"3,6",-3%,"0,13",+6%,"0,052",+6%,2,+31%,B,+31%,,,,,,,,,,,"['FR 59.043.030 CE', 'Bailleul (Nord, France)']",,,,,,
1023,Danonino bio - danone - 400g,3033491388408,,400 g,,"['Danone', 'Danonino']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages blancs', 'Fromages à la crème']","['Bio', 'Bio européen', 'Sans arômes artificiels', 'Agriculture UE']",,['France'],"['Fromage blanc au lait pasteurisé* ', '85 %', 'sucre de canne* ', '6,8 % en moyenne', 'fruits* ', '6,2 %', 'amidon de maïs*', 'jus concentré de carotte noire et de citron* ', 'dans variété Fraise et Abricot', 'jus concentré de citron*', 'arômes naturels*', 'épaississant : gomme guar', "" *Issu de l'agriculture biologique""]",['Lait'],[],4,2.6 g,en faible quantité,1.9 g,en quantité modérée,10.8 g,en quantité modérée,0.08 g,en faible quantité,?,,97,-7%,406 kj(97 kcal),-6%,"2,6",-17%,"1,9",-4%,"11,6",+2%,"10,8",+4%,"6,7",+3%,"0,08",-31%,"0,032",-31%,0,-100%,B,-100%,B,,['E412 - Gomme de guar'],68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['FR 76.260.001 CE', 'Ferrières-en-Bray (Seine-Maritime, France)']",,,"['France', 'Pays de Bray (76220)']",,,
