,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,palm_ingredients,ingredients_origins,manufacturing,brand_owner,producer_info,origin_detail
0,Tagliatelles Aux œufs frais - Lustucru Sélection - 350g (3Pers.),3240930213508,Pâtes fraîches aux œufs frais,350 g (3 Pers.),"['Frais', 'Barquette et film plastique à jeter', 'Sous atmosphère protectrice', 'Frais']",['Lustucru Sélection'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Frais', 'Nouilles', 'Pâtes alimentaires', 'Pâtes fraîches', 'Nouilles aux oeufs', 'Tagliatelles aux œufs', 'Tagliatelles', 'Tagliatelles fraîches']","['Point Vert', 'en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2013"", 'Eco-Emballages']",http://www.lustucru-selection.fr/produits/au-rayon-frais/pates-fraiches.html,['France'],"['Semoule de blé dur', 'eau', 'œufs frais 10,3 % ', ""soit 140 g d'œufs/kg de semoule"", 'sel ', '0,8 %']",['Œufs'],['Non végétalien'],3,1.9 g,en faible quantité,0.5 g,en faible quantité,2 g,en faible quantité,0.8 g,en quantité modérée,1126,-3%,?,,1126 kj(269 kcal),-2%,"1,9",-12%,"0,5",-12%,51,-3%,2,+30%,10,-1%,"0,8",+520%,"0,32",+520%,1,,B,,,,,,,,,,,,,,,,,,
1,"Bx45.Fagot H.ver.rochefon, - Roche Fontaine",3255691003015,,,,['Roche Fontaine'],,,,['France'],[],,[],,,,,,,,,,?,,68,,285 kj(68 kcal),,"0,2",,0,,"1,5",,"0,8",,"1,1",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,
2,"Trio de choux, jambon et fromage - U - 300g",3256224362722,,300 g,['Frais'],['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']","['Sans arômes artificiels', 'Sans conservateurs', 'Transformé en France']",,['France'],"['chou blanc 45%', 'huile de colza', 'jambon cuit supérieur 10% [jambon de porc ', 'France', 'eau', 'sel', 'dextrose', 'gélatine de porc', 'bouillon ', 'dont acérola', 'ferments]', 'eau', 'tomate', 'EMMENTAL 6%', 'oignon', ""vinaigre d'alcool"", 'CREME fraîche', 'moutarde ', 'eau', 'graines de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'sel', 'ciboulette', 'amidon transformé de pomme de terre', ""jaune d'OEUF en poudre"", 'conservateur : sorbate de potassium', 'épaississant : gomme xanthane', 'poivre']","['Œufs', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,2.3 g,en quantité modérée,2.3 g,en faible quantité,0.8 g,en quantité modérée,609,+174%,147,+149%,609 kj(147 kcal),+172%,13,+398%,"2,3",+461%,"2,3",-35%,"2,3",+92%,"4,5",+99%,"0,8",+143%,"0,32",+143%,-2,,A,,B,['Magasins U'],"['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,
3,Salade boulgour courgette et menthe - U Bio - 200g,3256226400781,,200 g,['Frais'],"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Salades', 'Légumes-feuilles', 'Salades vertes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Transformé en France']",,['France'],"['boulgour* cuit 51% ', 'eau', 'ble dur* concassé précuit', 'courgette* 16%', 'cranberry demi séchée sucrée* 9% ', 'cranberry* 6%', 'sucre de canne*', 'huile de tournesol*', 'huile de tournesol*', 'eau', 'persil*', 'vinaigre d alcool*', 'menthe* ', 'origine : france', ' 1%', 'sel', 'jus de citron* concentré', 'moutarde* ', 'graines de moutarde*', 'vinaigre d alcool*', 'eau', 'sel', 'épaississant : gomme xanthane', 'poivre*', ' * ingrédients issus de l agriculture biologique']","['Gluten', 'Moutarde']",[],4,5.8 g,en quantité modérée,0.6 g,en faible quantité,7.7 g,en quantité modérée,0.89 g,en quantité modérée,654,+195%,156,+164%,654 kj(156 kcal),+192%,"5,8",+122%,"0,6",+46%,22,+523%,"7,7",+542%,"2,5",+11%,"0,89",+171%,"0,356",+171%,-4,,A,,B,"['Magasins U', 'Super U']",['E415 - Gomme xanthane'],59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,
4,Muesli Croustillant aux fruits - Cora - 500g,3257985566879,,500 g,"['Sachet', 'Plastique', 'Doypack', 'Sachet refermable']",['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",['Point Vert'],,['France'],"[""Flocons d'avoine 30%"", 'flocons de blé 12%', 'raisins secs 12% ', 'raisins', 'huile de coton', 'sucre', 'sirop de glucose', 'huile de tournesol', 'farine 4,2% ', 'blé', 'riz', 'noix de coco en lamelles 4%', 'chips de banane 3,5% ', 'banane', 'huile de coco', 'sucre', 'noix de coco râpée', 'pomme deshydratrée 2,5% ', 'pomme', 'antioxydants : acide ascorbique', 'acide citrique', 'miel', 'dextrose', 'sel', 'arôme', 'caramel ', 'sirop de glucose', 'eau', 'sucre', 'antioxydant : extrait riche en tocophérols', 'émulsifiants : lécithines ', 'soja']","['Gluten', 'Avoine', 'Soja']",['Non végétalien'],4,15 g,en quantité modérée,6.6 g,en quantité élevée,23 g,en quantité élevée,0.42 g,en quantité modérée,?,,438,+10%,1833 kj(438 kcal),+10%,15,+42%,"6,6",+144%,65,+6%,23,+28%,"7,4",-23%,"0,42",+190%,"0,168",+190%,12,+250%,D,+250%,B,['Cora'],"['E300 - Acide ascorbique', 'E330 - Acide citrique', 'E306 - Extrait riche en tocophérols', 'E322i - Lécithine']",53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['EMB 45008A', 'Artenay (Loiret, France)']",,,,,,
5,Asperges pelées main Poids net égoutté - Leader Price,3263851513113,,,,['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0.9 g,en quantité modérée,?,,16,-16%,67 kj(16 kcal),-13%,0,-100%,0,-100%,"1,6",-18%,"1,2",+3%,"1,7",+16%,"0,9",+14%,"0,36",+14%,-4,,A,,C,['Leader Price'],,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,,,,,,,
6,Bouchées royales prêtes à garnir - Leader Price - 150g,3263852690714,,150 g,,['Leader Price'],,,,['France'],"['Bouchées prêtes à garnir Ingrédients Farine de blé — huiles et graisses végétales ', 'palme', '— colorant : caroténoïdes — sel — œufs colza', ' poudre à lever : carbonates de sodium - émulsifiant : E471', ' Trace de lait', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']",,['Huile de palme'],4,,,,,,,,,?,,535,,2238 kj(535 kcal),,35,,18,,47,,1,,"6,9",,"2,075",,"0,83",,,,,,,['Leader Price'],"['E160 - Caroténoïdes', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,,,,['Huile de palme'],,,,,
7,Pizza 3 fromages - Leader price - 450g,3263859473112,"Pizza à l'emmental, au gouda et au cheddar fondu",450 g,"['Plaque', 'Carton', 'Film', 'Plastique', 'Sous atmosphère protectrice']",['Leader price'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux trois fromages']",,,['France'],"['Pâte cuite 39,1% ', 'farine de blé', 'eau', 'huile de colza', 'sel', 'levure', 'poudre à lever : carbonates de sodium', 'purée de tomate mi-réduite', 'emmental 14,2%', 'gouda 12,5%', 'cheddar fondu 6,2% ', 'cheddar 3,1% minimum', 'eau', 'amidon modifié de pomme de terre', 'beurre', 'protéines de lait', 'sel émulsifiant : citrates de sodium', 'sel', 'colorant : extrait de paprika', 'olives noires avec noyau ', 'olives noires', 'eau', 'sel', 'stabilisant : gluconate ferreux', 'farine de blé', 'fécule de pomme de terre', 'origan', 'basilic', ""huile d'olive vierge extra"", ""purée d'ail"", 'sel']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,9.8 g,en quantité modérée,5.5 g,en quantité élevée,3 g,en faible quantité,1.09 g,en quantité modérée,?,,252,+2%,1054 kj(252 kcal),+2%,"9,8",+3%,"5,5",+9%,"28,4",+3%,3,+20%,"11,2",0%,"1,09",-12%,"0,436",-12%,10,-3%,C,-3%,C,"['Franprix', 'Leader Price']","['E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E331 - Citrates de sodium', 'E160c - Extrait de paprika', 'E579 - Gluconate de fer']",73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,"['EMB 49331H', 'Segré (Maine-et-Loire, France)']",,,,,,
8,Courgettes farcies & semoule méridionale - Fleury Michon - 300g,3302741195104,Courgettes farcies et semoule,300g,"['Boite', 'Carton', 'Barquette', 'Plastique']",['Fleury Michon'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Légumes préparés', 'Plats préparés à réchauffer au micro-ondes', 'Légumes farcis']","['Sans arômes artificiels', 'Experimentation Etiquetage Nutritionnel 2016', 'Sans colorants', 'Sans matière grasse hydrogénée', 'Sans huile de palme', 'Sans conservateurs', 'Nutriscore', 'Expérimentation Nutriscore', 'Nutriscore B']",http://www.fleurymichon.fr,['France'],"['Courgettes 39%', 'semoule de blé dur 13%', 'eau', 'viande de boeuf 10%', 'poivrons rouges 7%', 'tomates 3', '8%', 'gras de porc', 'viande de porc 3', '7%', ""huile d'olive vierge"", 'oignons', 'chapelure ', 'dont blé', 'sel', 'oeufs en poudre', 'concentré de tomates', 'ail 0', '3%', 'huile de colza', 'persil 0', '07%', 'épices', 'poivre']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,5.8 g,en quantité modérée,2 g,en quantité modérée,3.2 g,en faible quantité,0.8 g,en quantité modérée,570,,?,,570 kj(136 kcal),+3%,"5,8",-38%,2,-44%,16,+185%,"3,2",+106%,"6,1",+5%,"0,8",-22%,"0,32",-22%,0,-100%,B,-100%,D,"['Casino', 'Leclerc']",,72.7%,17.4%,4.6%,2.8%,1.5%,1.1%,47,['SI 813 ES'],,['Union européenne'],['Slovénie'],,,
9,PERLE DE LAIT NATURE 125Gx8 - Yoplait - 1fg,3329770048553,Yaourt,1 fg,['Pastique'],['Yoplait'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['Sans gluten'],,['France'],"['SPÉCIALITÉ LAITIÈRE NATURE INGRÉDIENTS / Lait écrémé - Crème - Amidon transformé de riz - Poudre de lait écrémé - Ferments lactiques', "" Lait d'origine France"", ' Sans gluten']",['Lait'],['Non végétalien'],4,9.3 g,en quantité modérée,6.2 g,en quantité élevée,2.8 g,en faible quantité,0.13 g,en faible quantité,?,,115,+60%,481 kj(115 kcal),+61%,"9,3",+159%,"6,2",+167%,"3,7",-24%,"2,8",-37%,"3,2",-23%,"0,13",+8%,"0,052",+8%,6,+960%,C,+960%,B,['Auchan'],['E14XX - Amidons modifiés'],70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",,,,,,
10,Yop parfum Vanille - Yoplait - 850g,3329770053526,Yaourt à boire sucré aromatisé,850 g,"['Bouteille', 'Plastique', 'Bouteille']",['Yoplait'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Boissons avec sucre ajouté', 'Yaourts à boire goût vanille']","['Arômes naturels', 'Sans colorants']",,['France'],"['Lait partiellement écrémé à base de poudre de lait - sucre 6% - sirop de glucose-fructose 3', '8% - arôme naturel - concentré des minéraux du lait - ferments lactiques ', 'lait']",['Lait'],['Non végétalien'],4,1.3 g,en faible quantité,0.9 g,en quantité modérée,10.9 g,en quantité élevée,0.12 g,en faible quantité,?,,72,-4%,301 kj(72 kcal),-3%,"1,3",-29%,"0,9",-21%,"11,2",-1%,"10,9",0%,"2,8",-1%,"0,12",+17%,"0,048",+17%,18,+31%,E,+31%,D,['Magasins U'],,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,,,,,
11,Saveur poulet grillé (maxi format) - Vico - 360g,3336971407386,,360 g,"['Sachet', 'Plastique']","['Vico', 'Intersnack']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips au poulet']","['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",http://www.vico.fr,['France'],"['Pommes de terre', 'huile de tournesol', 'arôme naturel ', 'contient GLUTEN', 'sel', 'sucre', 'épices', 'herbes aromatiques', 'viande de poulet']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,31.8 g,en quantité élevée,2.7 g,en quantité modérée,3.3 g,en faible quantité,1.32 g,en quantité modérée,?,,514,-3%,2151 kj(514 kcal),-4%,"31,8",-2%,"2,7",-8%,"48,4",-5%,"3,3",+81%,"6,5",+5%,"1,32",-8%,"0,528",-8%,9,-18%,C,-18%,B,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,
12,"artichauts grillés, à  l huile de tournesol - Monoprix - 280",3350031672644,,280,"['Verre', 'Pot en verre', 'Couvercle en métal']",['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', 'Légumes grillés a l huile de tournesol']",,,['France'],"['Artichauts grillés 56%,huile de tournesol 39%,vinaigre de vin', 'sel', 'correcteur :acide citrique', 'anti oxydant :acide ascorbique']",,[],3,11 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,129,+139%,540 kj(129 kcal),+139%,11,+398%,"1,2",+326%,4,-12%,0,-100%,"1,6",-9%,"1,4",+53%,"0,56",+53%,-1,,A,,,['Monoprix'],"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,,,,,"['39\xa0% vinaigre de vin', 'Artichauts grillés 56\xa0%', 'Huile de tournesol', 'Sel']",['Italie'],,,
13,Beurre doux de baratte AOP de Charente Poitou 82%mg - U Saveurs - 250g,3368953003620,,250 g,['Frais'],"['U Saveurs', 'U']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']","['AOP', 'Lait Français', 'Fabriqué en France', 'en:lait-francais-french-milk']",,['France'],"['CREME DE LAIT pasteurisé', 'ferments ', 'dont LAIT']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2,82 g,en quantité élevée,52 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3063,+4%,745,+4%,3063 kj(745 kcal),+2%,82,+3%,52,-3%,1,+36%,0,-100%,"0,7",+3%,0,-100%,0,-100%,18,-18%,D,-18%,E,['Magasins U'],,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,
14,Gomasio - Primeal - 250g,3380380000584,Condiment salé à base de sésame,250 g,['Carton'],['Primeal'],"['Epicerie', 'Condiments']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",,['France'],"['sésame complet toasté*', 'sel marin 4%']",['Graines de sésame'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,52.4 g,en quantité élevée,7.8 g,en quantité élevée,0.7 g,en faible quantité,0 g,en faible quantité,?,,592,+323%,2477 kj(592 kcal),+314%,"52,4",+782%,"7,8",+1128%,"0,8",-94%,"0,7",-90%,"22,8",+439%,0,-100%,0,-100%,9,-11%,C,-11%,,,,,,,,,,,,,,,,,
15,Truite Fumée - Ovive,3392780003447,"Truite fumée au bois de Hêtre, élevée en France",,"['Frais', 'Plastique']",['Ovive'],"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",['Origine France'],,['France'],"['Truite arc-en-ciel ', 'Oncorhynchus mykiss', ' 97%', 'sel 3%']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,7.6 g,en quantité modérée,1.3 g,en faible quantité,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,160,-2%,669 kj(160 kcal),-2%,"7,6",-3%,"1,3",-20%,"0,5",+20%,"0,5",+70%,22,-3%,"2,8",+2%,"1,12",+2%,12,+2%,D,+2%,D,['Magasins U'],,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,"['EMB 40288B', 'Sarbazan (Landes, France)']",,['France'],,,,
16,Tout Fruit Myrtille - Confit de Provence - 290g,3452200002556,,290 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Confit de Provence'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles', 'Confiture de fruits allégée en sucres']","['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'AB Agriculture Biologique']","http://www.confitdeprovence.com/boutique/confit-de-provence-bio/myrtille-bio-100-issue-de-fruits,blueberry-5-72.htm",['France'],"['Myrtille biologique 54%', 'concentré de jus de raisin rectifié biologique', 'gélifiant : pectine de fruits', 'acidifiant : citrate de calcium']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0.05 g,en faible quantité,28.5 g,en quantité élevée,0.1 g,en faible quantité,?,,146,-10%,611 kj(146 kcal),-11%,"0,1",-58%,"0,05",+13%,35,-10%,"28,5",-24%,"0,5",-2%,"0,1",+288%,"0,04",+288%,5,-24%,C,-24%,C,,['E440 - Pectines'],75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
17,Sucre de coco - Novita - 300g,3455270152022,,300 g,"['Plastique', 'Pot']",['Novita'],"['Édulcorants', 'Sucres', 'Sucres de coco', 'Sucres complets']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Agriculture non UE', 'AB Agriculture Biologique']",,['France'],"['100 % sucre de fleur de noix de coco* ', 'Cocos Nucifera', "" *Issu de l'Agriculture Biologique""]",,[],2,0.2 g,en faible quantité,0.1 g,en faible quantité,90 g,en quantité élevée,0.27 g,en faible quantité,?,,387,-1%,1619 kj(387 kcal),+1%,"0,2",+556%,"0,1",,96,-1%,90,-6%,"0,6",+167%,"0,27",+267%,"0,108",+267%,14,-1%,D,-1%,B,,,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,['Hors Union Européenne'],,,
18,Cocktails du Monde - Tropicana - 1l,3502110005700,Jus et purées de 5 fruits,1 l,"['Bouteille', 'Plastique']",['Tropicana'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",['Pur jus'],,['France'],"['Jus et purées de pomme ', '52%', ""jus d'ananas "", '13%', ""jus d'orange"", 'purée de banane', 'lait de coco ', '4%', 'jus de fruit de la passion ', '2%']",,['Sans huile de palme'],1,0.7 g,en faible quantité,0.7 g,en faible quantité,10.9 g,en quantité élevée,0 g,en faible quantité,?,,57,+19%,238 kj(57 kcal),+19%,"0,7",+300%,"0,7",+2572%,"11,2",+2%,"10,9",+5%,"0,5",+27%,0,-100%,0,-100%,5,+12%,C,+12%,D,['Auchan'],,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,
19,"Lemon lemon - 7up - 1,25l",3502110010803,,"1,25 l",,['7up'],"['Boissons', 'Boissons édulcorées']","['Sans arômes artificiels', 'Sans colorants']",,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,?,,19,+27%,79 kj(19 kcal),+34%,0,-100%,0,-100%,"4,5",+67%,"4,4",+88%,"0,1",-21%,0,-100%,0,-100%,6,+39%,D,+39%,,['Magasins U'],,,,,,,,,,,,,,,
20,Abricots moelleux - Eat Me,3502490164509,,,,['Eat Me'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['Sans colorants'],,['France'],"['Abricots secs de Turquie', 'antioxydant : anhydride sulfureux', 'conservateur: sorbate de potassium']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.3 g,en faible quantité,0.1 g,en faible quantité,32 g,en quantité élevée,0.07 g,en faible quantité,?,,193,-27%,808 kj(193 kcal),-27%,"0,3",-38%,"0,1",+65%,42,-28%,32,-29%,2,-35%,"0,07",+99%,"0,028",+99%,-2,-158%,A,-158%,D,['Restaurants du Cœur'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,
21,Méléo Pêche Abricot - Jafaden - 1l,3564700167588,Boisson au lait écrémé reconstitué et aux jus de fruits,1 l,['Carton'],"['Jafaden', 'Marque Repère']","['Aliments et boissons à base de végétaux', 'Boissons', 'Produits laitiers', 'Boissons à base de végétaux', 'Boissons lactées', 'Boissons aux fruits', 'Boissons au lait et au jus de fruits', 'Boissons avec sucre ajouté']","['en:FSC', 'en:fsc-c081801', 'FSC Mix']",,['France'],"['Eau', 'lait écrémé reconstitué 17%', 'jus de fruits à base de concentrés 14% ', 'pêche 11%', 'orange 3%', ""purée d'abricot 10%"", 'sucre', 'stabilisant: pectines', 'acidifiant : acide citrique', 'arôme', 'colorant: caroténoïdes', 'vitamine C']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,10.9 g,en quantité élevée,0 g,en faible quantité,227,+8%,?,,227 kj(54 kcal),+23%,"0,1",+131%,"0,1",+1721%,"12,3",+24%,"10,9",+17%,"0,6",-6%,0,-100%,0,-100%,16,+29%,E,+29%,C,['Leclerc'],"['E440 - Pectines', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",56.0%,3.7%,13.8%,19.1%,5.7%,1.6%,49,,,,,,,
22,Snacks cacahuète - Tokapi - 55g,3564700403518,Produits soufflés à base de maïs à la cacahuète.,55 g,"['Sachet', 'Plastique']","['Tokapi', 'Marque Repère']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs', 'Biscuits apéritif soufflés à la cacahuète']",['Point Vert'],,['France'],"['Semoule de maïs 64%', 'cacahuètes grillées moulues 33%', 'huile de tournesol', 'sel', 'dextrose', 'poivre', 'Traces de céleri', 'de gluten', 'de crustacés', ""de lait et d'oeufs""]",['Arachides'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,21.7 g,en quantité élevée,3.3 g,en quantité modérée,2.9 g,en faible quantité,2 g,en quantité élevée,2049,+0%,?,,2049 kj(490 kcal),-0%,"21,7",-7%,"3,3",-1%,"56,8",+5%,"2,9",+33%,"13,8",+7%,2,+18%,"0,8",+18%,12,-11%,D,-11%,B,['Leclerc'],,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,,
23,Lasagnes ricotta et épinard - Côté Table - 350g,3564706507302,,350 g,,"['Côté Table', 'Marque Repère']","['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes']",,,['France'],"['Eau', 'ricotta de brebis 15,1%', 'épinards 11,4%', 'feuilles de lasagnes 9,2% ', 'semoule de blé dur', 'eau', 'amidon modifié de maïs', 'grana padano ', 'dont lait', 'oeuf', 'emmental râpé', 'lait écrémé en poudre', 'farine de blé', 'crème fraiche', 'ail', 'sel', 'arôme naturel de poivre', 'arôme naturel de muscade et autres épices', 'épaississant : gomme xanthane', 'Traces de poissons', 'crustacés', 'mollusques', 'soja', 'moutarde et oeufs']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,4.9 g,en quantité modérée,3.1 g,en quantité modérée,2.5 g,en faible quantité,0.8 g,en quantité modérée,534,+1%,?,,534 kj(128 kcal),+1%,"4,9",-12%,"3,1",+35%,14,+9%,"2,5",-10%,"6,4",+26%,"0,8",+5%,"0,32",+5%,4,+74%,C,+74%,,['Leclerc'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",,,,,,,,,,,,,,
24,Emmental tranchettes grand cru Nos régions ont du talent - 175g,3564709166087,,175 g,,"['Nos Regions Ont Du Talent', 'Leclerc']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals français est-central']","['IGP', 'Label Rouge', 'en:lait-francais-french-milk']",,['France'],[],,[],,31.5 g,en quantité élevée,18.7 g,en quantité élevée,0.5 g,en faible quantité,0.4 g,en quantité modérée,?,,404,+0%,1690 kj(404 kcal),+1%,"31,5",-0%,"18,7",-2%,1,+30%,"0,5",-30%,29,+1%,"0,4",-10%,"0,16",-10%,11,+1%,D,+1%,C,['Leclerc'],,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['FR 25.531.001 CE', 'Santoche (Doubs, France)']",,['France'],,,,
