,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
990,Pain epeautre 1kg rond entier - Boulangerie de l'hermitage - 1kg,3760299410245,Pain epeautre 1kg rond entier,1 kg,"[""Boulangerie de l'hermitage"", 'Pain epeautre 1kg rond entier']",['France'],"['Farine de Grand Epeautre*', '47,07%', 'Eau ', '32,13%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1100,262.9,1100 kj(262 kcal),1,1,51,1,10,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
991,Pain champêtre 500gr long entier - Boulangerie de l'hermitage - 500g,3760299410863,Pain champêtre 500gr long entier,500 g,"[""Boulangerie de l'hermitage"", 'Pain champêtre 500gr long entier']",['France'],"['Mélange de Farine de Blé*', 'seigle*', 'avoine*', 'sarrasin*', 'millet*', 'lin brun*', 'tournesol*', 'épeautre*', '46,31%', 'Mélange de graines et flocons*', '0,31%', ',Eau ', '32,64%', 'Levain de Blé*', '19,94%', 'Sel ', '0,8%']",[],1153,275.6,1153 kj(275 kcal),5,1,48,1,9,1,"0,4","['Gluten', 'Avoine']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
992,Pain norvegien 1kg moule tranche - Boulangerie de l'hermitage - 1kg,3760299411730,Pain norvegien 1kg moule tranche,1 kg,"[""Boulangerie de l'hermitage"", 'Pain norvegien 2kg moule tranche']",['France'],"['Farine de Blé T110* ', '24,88%', 'Levain de Blé*', '10,88%', 'Figues en morceaux*', '7,77%', 'Raisins*', '7,77%', ""Flocons d'Avoine* "", '6,21%', 'Farine de Seigle* T170*', '6,21%', ""Huile d'olive* "", '3,13%', 'Mélanges de graines* ', '3,13%']",[],1116,266.7,1116 kj(266 kcal),11,2,32,12,10,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
993,Pain seigle 2kg moule entier - Boulangerie de l'hermitage - 2kg,3760299412119,Pain seigle 2kg moule entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain seigle 2kg moule entier']",['France'],"['Gle T170*', '40,07%', 'Eau ', '38,58%', 'Levain de Blé*', '20,33%', 'Sel ', '1,02%']",[],846,202.2,846 kj(202 kcal),1,1,26,1,6,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
994,Pain raisin 2kg moule tranche - Boulangerie de l'hermitage - 2kg,3760299412034,Pain raisin 2kg moule tranche,2 kg,"[""Boulangerie de l'hermitage"", 'Pain raisins 2kg moule tranche']",['France'],"['T110*', '28,75%', 'Raisins Sultanines*', '27,05%', 'Eau ', '22,56%', 'Levain de Blé*', '14,37%', 'Graisse Végétale* ', 'sans huile de Palme', ' ', '4,08%', 'Sel ', '0,8%']","[""Pourrait contenir de l'huile de palme""]",1256,300.2,1256 kj(300 kcal),8,5,49,16,6,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
995,Pain petit epeautre cereales 2kg moule entier - Boulangerie de l'hermitage - 2kg,3760299412065,Pain petit epeautre cereales 2kg moule entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain petit epeautre cereales 2kg moule entier']",['France'],"['It Epeautre*', '37,46%', 'Eau ', '35,6%', 'Levain de petit épeautre*', '15%', 'Mélange de graines*', '11,25%', 'Sel ', '0,68%']",[],1185,283.2,1185 kj(283 kcal),10,1,36,1,9,2,"0,8",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
996,Pain bis 1kg long emb tranche - Boulangerie de l'hermitage - 1pièce,3760299410092,Pain bis 1kg long emb tranche,1 pièce,"[""Boulangerie de l'hermitage"", 'Pain bis 1kg long emb tranche']",['France'],"['Farine de Blé T110*', '47,17%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],996,238,996 kj(238 kcal),1,1,46,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
997,Pain bis 2 kg long entier - Boulangerie de l'hermitage - 1pièce,3760299410122,Pain bis 2 kg long entier,1 pièce,"[""Boulangerie de l'hermitage"", 'Pain bis 2 kg long entier']",['France'],"['Farine de Blé T110*', '47,17%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],996,238,996 kj(238 kcal),1,1,46,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
998,Pain cereales 1kg rond tranche - Boulangerie de l'hermitage - 1kg,3760299410658,Pain cereales 1kg rond tranche,1 kg,"[""Boulangerie de l'hermitage"", 'Pain cereales 1kg rond tranche']",['France'],"['Mélange de Farine de Blé*', 'seigle*,sarrasin*', 'millet* lin* lin brun*', 'tournesol*', 'épeautre*', '46,31%', 'Mélange graines*', '0,31%', 'Eau ', '32,64%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1083,258.8,1083 kj(258 kcal),3,1,47,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
999,Pain sesame 2kg long entier - Boulangerie de l'hermitage - 2kg,3760299411709,Pain sesame 2kg long entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain sesame 2kg long entier']",['France'],"['Blé T110*', '47,16%', 'Graine de Sésame*', '0,1%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1033,246.9,1033 kj(246 kcal),3,1,45,1,9,1,"0,4","['Gluten', 'Graines de sésame']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1000,Pain sesame 2kg long entier - Boulangerie de l'hermitage - 2kg,3760299411709,Pain sesame 2kg long entier,2 kg,"[""Boulangerie de l'hermitage"", 'Pain sesame 2kg long entier']",['France'],"['Blé T110*', '47,16%', 'Graine de Sésame*', '0,1%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],1033,246.9,1033 kj(246 kcal),3,1,45,1,9,1,"0,4","['Gluten', 'Graines de sésame']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1001,Pain bis 500 long entier - Boulangerie de l'hermitage - 1pièce,3760299410023,Pain bis 500 long entier,1 pièce,"[""Boulangerie de l'hermitage"", 'Pain bis 500 long entier']",['France'],"['Farine de Blé T110*', '47,17%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],996,238,996 kj(238 kcal),1,1,46,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1002,Pain bis 500 rond entier - Boulangerie de l'hermitage - 1pièce,3760299410047,Pain bis 500 rond entier,1 pièce,"[""Boulangerie de l'hermitage"", 'Pain bis 500 rond entier']",['France'],"['Farine de Blé T110*', '47,17%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],996,238,996 kj(238 kcal),1,1,46,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1003,Pain bis 2 kg long tranche - Boulangerie de l'hermitage - 1pièce,3760299410139,Pain bis 2 kg long tranche,1 pièce,"[""Boulangerie de l'hermitage"", 'Pain bis 2 kg long tranche']",['France'],"['Farine de Blé T110*', '47,17%', 'Eau ', '32,03%', 'Levain de Blé*', '20%', 'Sel ', '0,8%']",[],996,238,996 kj(238 kcal),1,1,46,1,9,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
1004,Pain epices fruits confits 500gr moule tranche - Boulangerie de l'hermitage - 500g,3760042680437,Pain epices fruits confits 500gr moule tranche,500 g,"[""Boulangerie de l'hermitage"", 'Pain epices fruits confits 500gr moule tranche']",['France'],"['S confits*', '31,77%', 'Farine de Blé T65*', '22,22%', 'Eau ', '22,22%', 'Levain de Blé*', '14,75%', 'Sucre de Coco*', '4,16%', 'Pur graisse végétale* ', '4,16%', 'Sel ', '0,49%', ""Mélange d'épices*"", '0,23%']",[],1219,291.3,1219 kj(291 kcal),6,4,50,17,6,1,"0,4",['Gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,
