,name,bar_code,generic_name,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,allergens,categories,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,markets,packaging,manufacturing,traceability_code,ingredients_origins,link,palm_ingredients
0,Ravimbomanga en conserve de 350G - Bongou - 350g,3665902203170,Ravimbomanga (Feuille de patate douce),350 g,['Bongou'],['France'],[],[],46,11,46 kj(11 kcal),"0,6",0,0,0,"1,1","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cassoulet au confit de canard Bongou en conserve - 840g,3665902202722,Cassoulet au confit de canard,840 g,['Bongou'],['France'],[],[],"543,9",130,"543,9 kj(130 kcal)","8,5","3,1",11,"1,8","9,6","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Confit filet de canard en conserve de 410G - Bongou - 410g,3665902202784,Confit filet de canard,410 g,['Bongou'],['France'],[],[],"907,9",217,"907,9 kj(217 kcal)","10,5","4,8",0,0,"30,7","4,38","1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Foie gras mi cuit HALAL semi-conserve 200G - Bongou - 200g,3665902202937,Foie gras mi cuit HALAL,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anamadinika en conserve 350g - Bongou - 350g,3665902202630,Anamadinika,350 g,['Bongou'],['France'],[],[],"179,9",43,"179,9 kj(43 kcal)","0,5",0,"8,4",0,"3,8","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Escargot en conserve de 130G - Bongou - 130g,3665902202845,Escargot,130 g,['Bongou'],['France'],[],[],"292,9",70,"292,9 kj(70 kcal)",1,"0,4",2,0,16,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Le Gourmet Herbes aromatiques - 50g,3665902202067,Herbes aromatiques,50 g,['Le Gourmet'],['France'],"['Céleri', 'Persil', 'Coriandre']","['Sans huile de palme', 'Végétalien', 'Végétarien']","175,7",42,"175,7 kj(42 kcal)","0,8","0,1","4,1","2,4","2,9",0,0,['Céleri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Le Gourmet Ravitoto (feuille de manioc séché) - 125g,3665902202142,Ravitoto (feuille de manioc séché),125 g,['Le Gourmet'],['France'],['Feuille de manioc broyée et séchée'],[],"376,6",90,"376,6 kj(90 kcal)",1,0,0,0,7,17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Piment Fort - Le Gourmet - 320g,3665902202005,Piment Fort,320 g,['Le Gourmet'],['France'],"['Piments sélectionnés', 'Sel Vinaigre', 'Ail Gingembre', 'EchalotteE 202E 300E 330']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cassoulet au confit de canard Bongou en conserve - 420g,3665902201411,Cassoulet au confit de canard,420 g,['Bongou'],['France'],['Lingots blancsconfit de canardselpoivresauce appropriéesaucisse pur porc'],[],"543,9",130,"543,9 kj(130 kcal)","8,5","3,1",11,"1,8","9,6","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Confit gésier de canards BONGOU sous vide - 200g,3665902201329,Confit Gésier de canard,200 g,['Bongou'],['France'],"['Gésier de canard', 'Sel', 'Poivre', 'Graisse de canard']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",636,152,636 kj(152 kcal),34,"0,9",0,0,21,"1,93","0,772",,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard']",3,34 g,en quantité élevée,0.9 g,en faible quantité,0 g,en faible quantité,1.93 g,en quantité élevée,-2%,-18%,-18%,+448%,-56%,-100%,-100%,-27%,+33%,+33%,4,-35%,C,-35%,,,,,,,,,,,,,,,,,
11,Miel au parfum de Jujube - Boamam - 200g,3665902203347,Miel au parfum de Jujube,200 g,['Boamam'],['France'],['Miel au saveur Jujube'],[],"267,8",64,"267,8 kj(64 kcal)",0,0,"17,2","17,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Poudre BAOBAB de Menabe - Baomam - 100g,3665902203323,Poudre BAOBAB de Menabe,100 g,['Baomam'],['France'],['Poudre de fruit de baobab'],[],1046,250,1046 kj(250 kcal),"0,5",0,60,58,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Miel au parfum de Jujube - Baomam - 450g,3665902203316,Miel au parfum de Jujube,450 g,['Baomam'],['France'],['Miel au saveur Jujube'],[],"267,8",64,"267,8 kj(64 kcal)",0,0,"17,2","17,2","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pâte de fruit baobab - Baomam - 100g,3665902203293,Pâte de fruit baobab,100 g,['Baomam'],['France'],"['Poudre de baobab', 'Sucre', 'Eau', 'Pectine', 'Acide citrique']",[],1046,250,1046 kj(250 kcal),"0,5",0,60,58,"0,5",0,0,,,4,,,,,,,,,,,,,,,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique']",,,,,,,,,,,,,,,,
15,Ma'fruiT Mangues séchées - 30g,3665902203392,Mangues séchées,30 g,"[""Ma'FruiT""]",['France'],['Chair de mangue dénoyatéesans additifssans sucres ajoutéessans conservateurs'],[],"1255,2",300,"1255,2 kj(300 kcal)",0,0,70,50,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Assaisonnement pour poulet - Tô'matsiro - 75g,3665902202456,Assaisonnemnt pour poulet,75 g,"[""Tô'matsiro""]",['France'],['Selparikaailgingembrepoivrecurcumasucre roux'],[],"0,8",0.18,"0,8 kj(0 kcal)","3,5",0,"38,4",12,"5,4",18,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Vary @ anana en sachet 40G - Bongou - 40g,3665902203231,Vary @ anana,40 g,['Bongou'],['France'],[],[],"179,9",43,"179,9 kj(43 kcal)","0,5",0,"8,4",0,"3,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ro mazava de canard en conserve de 420G - Bongou - 420g,3665902203200,Ro mazava de canard,420 g,['Bongou'],['France'],[],[],"518,8",124,"518,8 kj(124 kcal)","7,4","2,82",0,0,"12,9","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Foie gras en conserve 200G - Bongou - 200g,3665902202913,Foie gras,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Piment de table léger - Le Gourmet - 320g,3665902201947,Piment de table léger,320 g,['Le Gourmet'],['France'],"['Piment', 'Sel', 'Vinaigre', 'Ail', 'Gingembre Gros oignonsE 202E 300E 330']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Chapelure aux épices Indiens - 200g,3665902202395,Chapelure aux épices Indiens,200 g,['Chapelure'],['France'],"['Poudre de pain', 'Dhana', 'Jirou']",[],"1652,7",395,"1652,7 kj(395 kcal)","0,1","0,1","71,5","2,6","11,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,41% milk chocolate - EKA - 75g,3665902201831,Chocolat au lait avec 41 % de cacao,75 g,['EKA'],['France'],"['Cacao', 'Sucre', 'Poudre de lait entier', 'Beurre de cacao', 'Lécithine de Tournesol', 'Sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']","2199,1",525.6,"2199,1 kj(525 kcal)","33,1","19,6","46,8","43,3","10,2","0,11","0,044",['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,
23,Pâté de canard au poivre vert bongou en conserve - 130g,3665902201398,Pâté de canard au poivre vert,130 g,['Bongou'],['France'],"['Viande de canard', 'Poivre vert', 'Epices', 'Sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']","1389,1",332,"1389,1 kj(332 kcal)","27,9","11,9","1,5","0,6","12,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kitoza Porc fumé sous vide - Bongou - 150g,3665902201442,Kitoza porc fumé,150 g,['Bongou'],['France'],"['Viande de porc fumé', 'Sel Poivre']","['Non végétalien', 'Non végétarien']","518,8",124,"518,8 kj(124 kcal)",5,1,0,0,21,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Vinaigre blanc Bongou en bouteil - 50cl,3665902201565,Vinaigre blanc,50 cl,['Bongou'],['France'],"['Acide acétique', 'Eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']","75,3",18,"75,3 kj(18 kcal)",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,['E260 - Acide acétique'],,,,,,,,,,,,,,,,
26,Rillette de canard en conserve - Bongou - 130g,3665902201404,Rillette de canard,130 g,['Bongou'],['France'],"['Chair de canard', 'Graisse de canard', 'Sel', 'Poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']","1560,6",373,"1560,6 kj(373 kcal)",33,11,0,0,20,"1,75","0,7",,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",3,33 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,1.75 g,en quantité élevée,-2%,-7%,-7%,-10%,-12%,-100%,-100%,+23%,+28%,+28%,21,+9%,E,+9%,,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,
27,Vinaigre blanc Bongou en bouteil - 25cl,3665902201558,Vinaigre blanc,25 cl,['Bongou'],['France'],"['Acide acétique', 'Eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']","75,3",18,"75,3 kj(18 kcal)",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,['E260 - Acide acétique'],,,,,,,,,,,,,,,,
28,Piment PILO Bongou en Bocal 212 - 212g,3665902201497,Piments Pilo,212 g,['Bongou'],['France'],"['Piment Pilo', 'Vinaigre']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Café Noir Moulu - Mialy bio - 250g,3665902201725,Café noir,250 g,"['Mialy bio', 'Laona']",['France'],['Café noir'],[],2,0.48,2 kj(0 kcal),0,0,0,0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Beurre d'arachide Pimenté - Taza - 200g,3665902202197,Beurre d'arachide Pimenté,200 g,['Taza'],['France'],"['Arachide grillés', 'Sel', 'Piment']","['Sans huile de palme', 'Végétalien', 'Végétarien']","2464,4",589,"2464,4 kj(589 kcal)",50,"12,5",20,9,25,"0,02","0,008",['Arachides'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Beurre d'arachide Sucré - Taza - 350g,3665902202203,Beurre d'arachide Sucré,350 g,['Taza'],['France'],"['Arachide grillés', 'Sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']","2464,4",589,"2464,4 kj(589 kcal)",50,"12,5",20,15,25,"0,01","0,004",['Arachides'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Pâte de poivre vert - Le Gourmet - 320g,3665902202043,Pâte de poivre vert,320 g,['Le Gourmet'],['France'],"['Poivre vert', 'Sel', 'EauE 330']",[],"1050,2",251,"1050,2 kj(251 kcal)","3,3","1,4",64,"0,6",10,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Piment au gingembre - Le Gourmet - 320g,3665902201978,Piment au gingembre,320 g,['Le Gourmet'],['France'],"['Piment', 'Gingembre3 oignons', 'Sel', 'VinaigreE 202E 300E 330']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ravimbomanga séché en sachet de 40G - Bongou - 40g,3665902203163,Ravimbomanga,40 g,['Bongou'],['France'],[],[],"50,2",12,"50,2 kj(12 kcal)","0,6",0,0,0,"1,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Piment pilé rouge en Bocal 212G - Bongou - 212g,3665902203088,Pâte de piment rouge,212 g,['Bongou'],['France'],[],[],"167,4",40,"167,4 kj(40 kcal)","0,43","0,02","11,11","4,3","2,3","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Magret de canard fumé entier S/V - Bongou - 90g,3665902203002,Magret de canard fumé entier,90 g,['Bongou'],['France'],[],[],"1464,4",350,"1464,4 kj(350 kcal)","31,5","11,6","0,7","0,7","17,8","2,7","1,08",,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",,31.5 g,en quantité élevée,11.6 g,en quantité élevée,0.7 g,en faible quantité,2.7 g,en quantité élevée,+3%,+3%,+3%,+8%,+16%,-44%,+4%,-1%,+64%,+64%,24,+30%,E,+30%,,E,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,
37,Foie gras en bocal au poivre vert 200G - Bongou - 200g,3665902202876,Foie gras au poivre vert,200 g,['Bongou'],['France'],[],[],"2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cornichon en bocal de 212G - Bongou - 212g,3665902202814,Cornichon,212 g,['Bongou'],['France'],[],[],"117,2",28,"117,2 kj(28 kcal)","0,3",0,3,"2,4","1,2","1,75","0,7",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,0.3 g,en faible quantité,0 g,en faible quantité,2.4 g,en faible quantité,1.75 g,en quantité élevée,+40%,+4%,+10%,+1%,-100%,-13%,-8%,+19%,+2%,+2%,2,-8%,B,-8%,,,,,,,,,,,,,,,,,
39,Piment pilé vert en Bocal 370G - Bongou - 370g,3665902203118,Pâte de piment vert,370 g,['Bongou'],['France'],[],[],"167,4",40,"167,4 kj(40 kcal)","0,43","0,02","11,11","4,3","2,3","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Piment pilé vert en Bocal 212G - Bongou - 212g,3665902203101,Pâte de piment vert,212 g,['Bongou'],['France'],[],[],"167,4",40,"167,4 kj(40 kcal)","0,43","0,02","11,11","4,3","2,3","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Anatsonga en conserve de 350G - Bongou - 350g,3665902202692,Anatsonga,350 g,['Bongou'],['France'],[],[],"54,4",13,"54,4 kj(13 kcal)","0,6",0,"5,3",0,"5,5","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Farine de fruit a pain - Manna - 1kg,3665902202562,Farine de fruit a pain sans gluten,1 kg,['Manna'],['France'],['Fruit à pain'],['Sans huile de palme'],"1380,7",330,"1380,7 kj(330 kcal)",0,0,"88,3",0,"2,58",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Confiture de fruit de Jujube - Baomam - 200g,3665902203279,Confiture de fruit de Jujube de Menabe,200 g,['Baomam'],['France'],"['Chaire de Jujube Scre', 'Eau']",[],527,126,527 kj(126 kcal),"4,4",1,"11,7","1,3","10,1","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Le Gourmet Poivre noir en grain - 100g,3665902202104,Poivre noir,100 g,['Le Gourmet'],['France'],['Poivre noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","1271,9",304,"1271,9 kj(304 kcal)","3,3","0,99","44,5","38,3","10,9",44,"17,6",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']",1,3.3 g,en quantité modérée,0.99 g,en faible quantité,38.3 g,en quantité élevée,44 g,en quantité élevée,,+1927%,+1985%,+3200%,+10791%,+1932%,+35038%,+1773%,,,,,,,,B,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,
45,Poivre vert de Madagascar - Le Gourmet - 320g,3665902202050,Poivre vert de Madagascar,320 g,['Le Gourmet'],['France'],"['Poivre vert', 'Sel EauE 330']",[],"1050,2",251,"1050,2 kj(251 kcal)","3,3","1,4",64,"0,6",10,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Piment pilé vert Bongou en Bocal - 70g,3665902201589,Pâte de piment vert,70 g,['Bongou'],['France'],"['Piment', 'Gingembre', 'Ail', 'Sel', 'Poivre', 'Vinaigre']","['Sans huile de palme', 'Végétalien', 'Végétarien']","167,4",40,"167,4 kj(40 kcal)","0,43","0,02","11,11","4,3","2,3","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Foie gras semi-conserve Bongou en bocal - 70g,3665902201572,Foie gras entier de canard mi-cuit,70 g,['Bongou'],['France'],"['Foie gras de canard', 'Sel Poivre']","['Non végétalien', 'Non végétarien']","2029,2",485,"2029,2 kj(485 kcal)",37,"22,9",0,0,"20,21","4,97","1,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Piment pilé rouge Bongou en Bocal - 70g,3665902201596,pâte de piment rouge,70 g,['Bongou'],['France'],"['Piment', 'Gingembre', 'Ail', 'Sel', 'Poivre', 'Vinaigre']","['Sans huile de palme', 'Végétalien', 'Végétarien']","167,4",40,"167,4 kj(40 kcal)","0,43","0,02","11,11","4,3","2,3","1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Kitoza Zebu fumé Sous vide - Bongou - 150g,3665902201435,Kitoza Zebu fumé,150 g,['Bongou'],['France'],"['Viande de boeuf fumé', 'Sel', 'Poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']","786,6",188,"786,6 kj(188 kcal)",12,"1,3",0,0,20,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Cookies - Manna - 5pièces,3665902203361,Cookies sans gluten,5 pièces,['Manna'],['France'],['Farine sans glutenbeurresucrepepite chocoœufs'],[],"1589,9",380,"1589,9 kj(380 kcal)",0,0,88,88,"2,6",0,0,['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ravitoto en conserve 760G - Bongou - 760g,3665902203187,Ravitoto,760 g,['Bongou'],['France'],[],[],"188,3",45,"188,3 kj(45 kcal)",1,1,2,"0,3",7,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Koban-dravina BONGOU en conserve - 700g,3665902202999,Koban-dravina,700 g,['Bongou'],['France'],[],[],"1974,8",472,"1974,8 kj(472 kcal)",21,3,55,29,15,0,0,"['Gluten', 'Arachides']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Achards de légumes 130g en conserve - Bongou - 130g,3665902202593,Achards de légumes,130 g,['Bongou'],['France'],"['Carottes', 'Choux', 'Haricot vertsel', 'Poivrehuile végétale', 'Epicesvinaigre', 'Oignon', 'Ail']",[],"1217,5",291,"1217,5 kj(291 kcal)","28,4","2,8",4,"2,1","1,3","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Ro mazava de canard en conserve de 840G - Bongou - 840g,3665902203217,Ro mazava de canard,840 g,['Bongou'],['France'],[],[],"518,8",124,"518,8 kj(124 kcal)","7,4","2,82",0,0,"12,9","1,45","0,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Piment à l'ail - Le Gourmet - 320g,3665902201961,Piment à l'ail,320 g,['Le Gourmet'],['France'],"['Piment', 'Sel', 'Vinaigre', 'AilE 202E 300E 330']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pilo Pilo au vinaigre Le Gourmet 320 - 320g,3665902201985,Pilo Pilo au vinaigre,320 g,['Le Gourmet'],['France'],"['Piment Pilo sélectionnés', 'Sel Vinaigre']",[],"167,4",40,"167,4 kj(40 kcal)","0,4",0,9,5,"1,9",9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Vinaigre Coloré Bongou en bouteil - 25cl,3665902201527,Vinaigre coloré,25 cl,['Bongou'],['France'],"['Acide acétique', 'Caramel', 'Eau']","['Sans huile de palme', 'Végétalien', 'Végétarien']","368,2",88,"368,2 kj(88 kcal)",0,0,17,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,['E260 - Acide acétique'],,,,,,,,,,,,,,,,
58,Riz blanc Tsipala - Etablissement A.R - 5kg,3665902201671,Riz blanc décortiqué,5 kg,['Etablissement A.R'],['France'],['Riz décortiqué'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","543,9",130,"543,9 kj(130 kcal)",0,0,28,"0,1","2,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Pâte À tartiner OREA choco - Orea mg - 235g,3665902201619,Pâte à tartiner choco,235 g,['Orea mg'],['France'],"['Pur cacao de Madagascar', 'Œufs frais', 'Huiles végétales', 'Gélifiant végétal', 'Sucre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']","1255,1",299.98,"1255,1 kj(299 kcal)","18,48","6,72","24,67","24,05","7,87","0,28","0,112",['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Pâte à tartiner OREA café - Orea mg - 235g,3665902201626,Pâte à tartiner café,235 g,['Orea mg'],['France'],"['Café moulu de Madagascar', 'Œufs frais', 'Huiles végétales', 'Gélifiant végétal', 'Sucre', 'Extrait de citron']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']","1238,8",296.08,"1238,8 kj(296 kcal)","18,32","6,32","25,62","25,13","7,87","0,28","0,112",['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Confit cuisse de canard sous vide - Bongou - 200g,3665902201343,Confit cuisse de canard sous vide,200 g,['Bongou'],['France'],"['Cuisse de canard', 'Graisse de canard', 'Sel', 'Poivre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']","907,9",217,"907,9 kj(217 kcal)",35,"4,8",0,0,21,"4,38","1,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pâte de gingembre - Le Gourmet - 320g,3665902202036,Pâte de gingembre,320 g,['Le Gourmet'],['France'],"['Gingembre', 'SelE 202E 300']",[],"334,7",80,"334,7 kj(80 kcal)","0,8","0,2",18,"1,7","1,8",13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Pichette - Tsiro - 190g,3665902201763,Pichette,190 g,['Tsiro'],['France'],['Pistachefarine sans glutensucrehuile de tourrnesol'],[],"1759,4",420.5,"1759,4 kj(420 kcal)",20,0,"16,5",9,"7,8",0,0,"['Lait', 'Arachides']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,FINESY - 30 Infusettes - Masy - 30pièces,3665902202432,Thé amincissante,30 pièces,['Masy'],['France'],['Thé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","4,2",1,"4,2 kj(1 kcal)",0,0,"0,3",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Le Gourmet Thym Seché - 20g,3665902202098,Thym séché,20 g,['Le Gourmet'],['France'],['Thym séché'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","1154,8",276,"1154,8 kj(276 kcal)","7,4",0,"63,9",0,"9,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Le Gourmet Poivre moulu - 100g,3665902202128,Poivre moulu,100 g,['Le Gourmet'],['France'],['Poivre noir moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']","1271,9",304,"1271,9 kj(304 kcal)","3,3","0,99","44,5","38,3","10,9",44,"17,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Beurre d'arachide Sucré - Taza - 200g,3665902202166,Beurre d'arachide Sucré,200 g,['Taza'],['France'],"['Arachide grillés', 'Sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']","2464,4",589,"2464,4 kj(589 kcal)",50,"12,5",20,15,25,"0,01","0,004",['Arachides'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,41% Arabica - Milk chocolate PM - Eka - 40g,3665902201893,Chocolat au lait avec 41% de cacai et du café arabica moulu,40 g,['Eka'],['France'],"['Cacao', 'Sucre', 'Poudre de lait entier', 'Beurre de cacao', 'Café arabica moulu', 'Lécithine de Tournesol', 'Sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']","2204,1",526.8,"2204,1 kj(526 kcal)","33,2","19,7","46,8","43,4","10,2","0,11","0,044",['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],,,,,,,,,,,,,,,,
