,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
0,Tarte flan,3291810173887,['France'],[],[],?,238,996 kj(238 kcal),"9,9","6,2",20,"3,8",1,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mini-crackers,3770010727224,['France'],[],[],?,1,4 kj(1 kcal),15,2,45,"3,1","8,6","1,3","0,52","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mini-crackers,3770010727217,['France'],[],[],?,1,4 kj(1 kcal),14,"1,9",38,"7,4","6,7","1,3","0,52","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Colier de bonbon,3518161002162,['France'],[],[],?,367,1536 kj(367 kcal),"1,7","1,5",88,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Salade de fruit saison,3334320012595,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chewing-gum,4056489322665,['France'],[],[],?,159,665 kj(159 kcal),0,0,67,0,0,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Panier de yoplait,3329770078314,['France'],[],[],?,96,402 kj(96 kcal),"2,5","1,6",14,"13,5","2,7","0,1","0,04",,['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quinoa Blanc de France - Sabarot - 500g,3111952027834,['France'],[],[],?,368,1540 kj(368 kcal),"6,1","0,7",64,1,14,,,"['Nutriscore', 'Nutriscore A']",['Sabarot'],C,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa', 'Quinoa blanc']",6.1 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,,+12%,+12%,+13%,+7%,+16%,-60%,+19%,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,,,,,,,,,,,,,,,,,,
8,Jus d orange,3700490895328,['France'],[],[],?,40,167 kj(40 kcal),"0,2",0,"8,7","8,7","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Poêlée méditerranéenne,2868075017846,['France'],[],[],?,20.238000869751,85 kj(20 kcal),"0,3","0,01","3,5","2,3",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Minicrostata con créma cacao,8050847513173,['France'],[],[],?,437,1828 kj(437 kcal),20,11,59,25,"5,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Froment,3564700501504,['France'],[],[],?,411,1720 kj(411 kcal),"8,1","0,7",73,"8,5","9,8","1,1","0,44","['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PURE & CRISP,5713695140016,['France'],[],[],?,441,1845 kj(441 kcal),36,3,39,"0,9","14,4","3,26","1,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Toast apéritif au sarrasin - Hénaff - 100g,3537580500028,['France'],"['Farine de blé', 'farine de sarrasin ', '21%', ""huile d'olive"", 'gluten de blé', ""extrait de malt d'orge"", 'levure', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1675,396,1675 kj(396 kcal),"5,7",1,"73,7","0,3","15,1","1,8","0,72",['Fabriqué en France'],['Hénaff'],,100g,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],"['Finistère', 'Bretagne', 'Pouldreuzic']",['Gluten'],4,,,,,,,,,,,,,,,,,,
14,Nuit de noël pate à tartiner - Douceurs d’étoiles,3760321265119,['France'],[],[],?,586,2452 kj(586 kcal),42,11,42,39,11,,,,['Douceurs d’étoiles'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jelly mango flavoured,8690547183513,['France'],[],[],?,100,418 kj(100 kcal),"0,01","0,001",21,20,"0,05","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Toast apéritif - Hénaff - 100g,3537580500011,['France'],"['Farine de froment ', 'farine de blé', 'gluten', ""huile d'olive "", '6%', ""huile d'olive vierge extra "", '5%', ""extrait de malt d'orge"", 'levure boulangère', 'sel', ' Peut contenir des traces de sésame', 'œuf', 'soja et lait', ' Farine de froment origine U', 'E', "" Huile d'olive origine U"", 'E/non U', 'E', '|']",[],1904,452,1904 kj(452 kcal),"13,4","1,9","69,8","3,6",1,"1,4","0,56",['Fabriqué en France'],['Hénaff'],,100g,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],"['Finistère', 'Bretagne', 'Pouldreuzic']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']",4,,,,,,,,,,,,,,,,,,
17,Veino-draine,3664492000138,['France'],[],[],?,1,4 kj(1 kcal),1,"0,5","0,1","0,1",1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sprite,5449000283795,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Dos de cabillaud,3664335050528,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Opercule en plastique']",,,,['MSC-C-54185'],,,,,,,,,,,,,,,,,
20,Jack Daniels berry,5099873015148,['France'],[],[],?,54,226 kj(54 kcal),5,1,5,1,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Puree d’amande orange-camu camu - Perl'Amande,3267110001380,['France'],[],[],?,683,2858 kj(683 kcal),"58,9","4,8","10,7","10,7","23,4",,,,"[""Perl'Amande""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",58.9 g,en quantité élevée,4.8 g,en quantité modérée,10.7 g,en quantité modérée,,+8%,+8%,+9%,+7%,+26%,+117%,+7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Specialité merguez,0213367026303,['France'],[],[],?,259,1084 kj(259 kcal),22,11,"1,7","1,7",14,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Puree d’amande Figue-Lucuma - Perl'Amande,3267110001403,['France'],[],[],?,681,2849 kj(681 kcal),"58,7","4,8","10,9","10,3","23,3",,,,"[""Perl'Amande""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",58.7 g,en quantité élevée,4.8 g,en quantité modérée,10.3 g,en quantité modérée,,+7%,+8%,+9%,+7%,+28%,+109%,+6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gâteau fourré fraise,3564707150057,['France'],[],[],?,407,1703 kj(407 kcal),17,"1,6",58,38,"4,9","0,6","0,24","['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore D']",,,,,,,,,,,,,,,,,,,,,,,,,,['Etui en carton'],,,,,,,,,,,,,,,,,,,,,
25,Puree d’amande Fraise-Açaï - Perl'Amande,3267110001397,['France'],[],[],?,686,2870 kj(686 kcal),"59,3","5,2","10,6","10,4","23,5",,,,"[""Perl'Amande""]",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",59.3 g,en quantité élevée,5.2 g,en quantité élevée,10.4 g,en quantité modérée,,+8%,+8%,+10%,+16%,+25%,+111%,+7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Moutarde Herbes de Provence,3760256070956,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sunflower kernels caramel bar,8719324585019,['France'],[],[],?,541.91998291016,2267 kj(541 kcal),"34,56","3,69","40,74","27,77","14,37",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bière,3665376000008,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Patte de dattes,3760083880230,['France'],[],[],?,323,1351 kj(323 kcal),"1,3","0,4",72,30,"2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Miel collection BIO,3361779996220,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Poulet Cuit Fumé au Bois de Hetre et de Chene,2410750039751,['France'],[],[],?,166,695 kj(166 kcal),"9,5","2,8","1,1","0,8",19,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,
32,Sibio nectar de fraise,3760227110957,['France'],[],[],?,80,335 kj(80 kcal),"0,2",0,18,18,"0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6 Cupcakes - Les préférés d’Amandine,3760026382050,['France'],[],[],?,453,1895 kj(453 kcal),27,"5,1",49,35,"4,5","0,18","0,072",,['Les préférés d’Amandine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Saucisses aux epinards,0205183023093,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cereale a l’avoine au fraise et au lait,6973032700115,['France'],[],[],?,419,1753 kj(419 kcal),0,0,"58,1",0,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cardamome en grains,4012346618005,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Lait de coco,3270190304234,['France'],[],[],?,170,711 kj(170 kcal),17,16,"2,6","1,7","1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kiwi,5600884162327,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pur jus de pomme,3770017816068,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-16']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Soupe minestrone - Légendes Gourmandes,3760155984941,['France'],[],[],?,20,84 kj(20 kcal),"1,338","0,19",59,"8,5",14,,,,['Légendes Gourmandes'],,,"['Plats préparés', 'Soupes', 'Soupes minestrone']",1.34 g,en faible quantité,0.19 g,en faible quantité,8.5 g,en quantité modérée,,-50%,-50%,+1%,-18%,+1041%,+319%,+1029%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Comté,0239995020148,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.427.001 CE', 'Noironte (Doubs, France)']",,,,,,,,,,,,,,,,,
42,Degustation,2006050026203,['France'],[],[],?,497,2079 kj(497 kcal),29,18,51,42,"4,8","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Holypop,3264280013540,['France'],[],[],?,25,105 kj(25 kcal),0,0,"6,3","6,3","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Frites de Pommes,5425027894077,['France'],[],[],?,106,444 kj(106 kcal),"2,69","1,4",18,0,2,"0,108","0,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ametis,3490451327035,['France'],[],[],?,476,1992 kj(476 kcal),"18,7","7,3","69,4","61,8","5,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,La cloche,3565500000006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Choucroute au confit de canard et saucisses de Toulouse,3443705049085,['France'],[],[],?,109,456 kj(109 kcal),"8,5",3,0,0,7,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Succo e polpa di mela - Carrefour Bio,8012666040490,['France'],[],[],?,54,226 kj(54 kcal),0,0,13,"12,5","0,5",,,['Bio'],['Carrefour Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Riz grec,2006050033300,['France'],[],[],?,349,1460 kj(349 kcal),"0,7","0,2",77,"0,5","8,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bio paquito pomme sans sucre ajouté,3250393035227,['France'],[],[],?,247,1033 kj(247 kcal),"0,5","0,1","13,9",11,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Cheese and garlic chicken,8719497600069,['France'],[],[],?,297,1243 kj(297 kcal),"16,9","5,1","23,8","2,1","11,7","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Baguette a la base de farine,3250393046971,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Snack risette classiche bio,8001860258718,['France'],[],[],?,367,1536 kj(367 kcal),"1,3","0,3","79,9","0,6","8,3","0,3","0,12","['Bio', 'Bio européen', 'IT-BIO-007']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Seul au monde pic st loup,3385740060154,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Miel tilleul,3760143560737,['France'],[],[],?,?,,?,0,?,0,?,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Jet Lag - O'clock Brewing - 33cl,3770006173004,['France'],"['EAU', 'MALT', 'HOUBLONS', 'LEVURE']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['Déconseillé aux femmes enceintes'],"[""O'clock Brewing""]",C,33cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'en:India Pale Ale', 'Bières blondes', 'en:IPA']",,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Bouteille', 'Verre', 'Capsule', 'métal']","['France', ""Bois-d'Arcy""]",['Gluten'],3,,Bière blonde artisanale française IPA,,,,,,,,,,,,,,,,
57,Orange à jus,03084328,['France'],[],[],?,47,197 kj(47 kcal),22,10,"4,8","4,8",33,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Filet mignon de porc,2209253006373,['France'],[],[],?,128,536 kj(128 kcal),4,"1,3",0,0,23,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Gouda au cumin,2441853011948,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jus d’orange,8549110006790,['France'],[],[],?,43,180 kj(43 kcal),0,0,"8,9","8,9","0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Chips,3497917002840,['France'],[],[],?,525,2197 kj(525 kcal),31,"2,6",53,2,6,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Croque Monsieur,3701027900478,['France'],[],[],?,240,1004 kj(240 kcal),"9,8","4,7","27,4","4,4","9,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Oeufs frais de poules élevées en PLEIN AIR,3700864012108,['France'],[],[],?,140,586 kj(140 kcal),"9,8","2,6","0,3","0,3",13,"0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,The Jelly Bean Factory Surprise Flavour Mix,87138009,['France'],[],[],?,28,117 kj(28 kcal),0,0,91,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Viande hachée pur boeuf,3760087843170,['France'],[],[],?,211,883 kj(211 kcal),15,"5,9",0,0,"19,1","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Pizza aux 4 fromages,3700462051370,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Crokers (Goût myrtille et tropical),3588400262756,['France'],[],[],?,392,1640 kj(392 kcal),0,0,"94,5","80,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Les croustillants aperitifs,3242278082617,['France'],[],[],?,190,795 kj(190 kcal),"4,6",1,27,7,"1,4","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Gaufrette sai sirop,0058562004929,['France'],[],[],?,420,1757 kj(420 kcal),21,12,81,45,3,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Dates coconut,0745178987264,['France'],[],[],?,455,1904 kj(455 kcal),"23,28","6,75","53,86","37,65","7,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Table Water Black Pepper,5000168157290,['France'],[],[],?,417,1745 kj(417 kcal),"7,6","3,3","74,7","0,6","10,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Coquille saumon Macédoine,3760054090613,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",,,,,,,,,,,,,,,,,
73,tartes - carte nature - 230g,07839184,['France'],"['Garniture 66% : Poireaux 24%', 'crème fraîche', 'bleu 10%', 'eau', 'œuf', 'poudre de lait', 'sel', 'muscade', 'poivre', 'Pâte 34% : farine de blé', 'beurre', 'oeuf', 'eau', 'sel']","['Sans huile de palme', 'Non végétalien']",?,?,,15,,20,"2,7",9,"1,2","0,48","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['carte nature'],,230 g,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes salées bio']",15 g,en quantité modérée,,,2.7 g,en faible quantité,,,,+10%,,-9%,-5%,+20%,,,,,,,,['Plastique'],['France'],"['Œufs', 'Lait']",3,"['FR 32.426.037 CE', 'Seissan (Gers, France)']",,"['France', 'Non Union Européenne']",['Biocoop'],1.2 g,en quantité modérée,+9%,+9%,,,,,,,,,,
74,Origan première saveur,3166296650019,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Merguez,2451111051166,['France'],[],[],?,234,979 kj(234 kcal),18,"8,4","5,1","0,8",13,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,breadsticks garlic,4056489381556,['France'],[],[],?,366,1531 kj(366 kcal),"7,3","0,9","59,5","5,8","10,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Aileron de poulet mexicain elebel,2646366025325,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Terrine pour chats,3596710020027,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Belvita original,27167137,['France'],[],[],?,433,1812 kj(433 kcal),14,"3,6",65,26,"7,7","0,59","0,236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pave viande bovine - Charal,0292473051232,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,8",0,0,23,"0,17","0,068","['Nutriscore', 'Nutriscore A']",['Charal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Semoule de riz gourmande,3600900022194,['France'],[],[],?,351,1469 kj(351 kcal),"0,5","0,1",81,"0,5","5,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pain épeautre,2206120014431,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Huile d’olive au basilic - Kalios,3760301420507,['France'],[],[],?,824,3448 kj(824 kcal),"91,6","13,9",?,,?,,,,['Kalios'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,L aperitif provencal,3546588101069,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Rosé,3334861004127,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Velouté de lentilles,3339332500610,['France'],[],[],?,48,201 kj(48 kcal),"1,51","0,62","7,34","2,29","0,08","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Huile de colza,3760021900709,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Madame Gougousse Drink Mix Sweetened, Lime",0742287008460,['France'],[],[],?,70,293 kj(70 kcal),0,0,17,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Abricot Bergeron et lavande,3760280992217,['France'],[],[],?,114,477 kj(114 kcal),"0,4","0,1",27,22,"0,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Superior basmati rice extra long,4019041106257,['France'],[],[],?,350,1464 kj(350 kcal),"0,47","0,1",78,0,"8,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,tartine campagnarde légumes chèvre - thiriet - 180g,11248718,['France'],"['Pain spécial de campagne 26,9% ', 'farine de blé ', 'gluten', 'eau', 'farine de seigle ', 'gluten', 'levure', 'sel', 'levain de seigle dévitalisé ', 'gluten', ""émulsifiant : mono - et diglycérides d'acides gras"", ""farine d'orge malté toasté "", 'gluten', 'conservateur : propionate de calcium', 'antioxydant : acide ascorbique', 'eau', 'fromage de chèvre ', 'lait', ' 11,3%', 'tomate mi-séchée au basilic 11,3% ', 'tomate semi-déshydratée', 'huile de colza', 'basilic 0,4%', 'sel', 'emmental ', 'lait', ' 8,1%', 'crème fraîche légère ', 'lait', ' 6,4%', 'oignon 4,3%', 'tomate 4,3%', 'aubergine grillée 2,9%', 'poivron rouge 2,1%', 'poivron jaune grillé 2,1%', 'courgette grillée 2,1%', 'amidon transformé', ""huile d'olive vierge extra"", 'ail en purée', 'concentré de tomate', 'sel', 'poivre', 'basilic 0,1%', 'épaississant : méthylcellulose', 'sirop de glucose', 'maltodextrine', 'amidon', 'paprika', 'piment', 'cumin', 'origan', 'thym', 'laurier', 'persil', 'ail', ' Présence éventuelle de crustacés', 'œuf', 'poisson', 'soja', 'fruits à coque', 'céleri', 'moutarde', 'sésame et mollusques', ' CONSERVATION : 3 jours dans le compartiment à glace du réfrigérateur', ' • Dans un congélateur à - 18°C', ""de préférence avant la date indiquée sur l'emballage"", ' CONSERVATION À - 18°C']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,,['Thiriet'],,180g,['Entrée surgelée'],,,,,,,,,,,,,,,,,,,,,,['plastique  carton'],['France'],"['Céleri', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja']",4,"['EMB 56178K', 'Pontivy (Morbihan, France)']",,['France'],,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E461 - Méthylcellulose']",,,,,,,,,
92,La Chips de Margaux au Sel de Guérande,3760326670055,['France'],[],[],?,498,2084 kj(498 kcal),28,"2,2",53,"0,5",6,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,i Gressini,2760053291609,['France'],[],[],?,414,1732 kj(414 kcal),"8,3","1,3",72,"1,8",11,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
