,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,allergens,nova_score,traceability_code,generic_name,ingredients_origins,markets,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,additives,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,link,palm_ingredients,brand_owner,origin_detail,producer_info
1806,Galette aux pepites de chocolat,3481712111739,['France'],[],[],?,515,2155 kj(515 kcal),26,17,65,27,"5,7","0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,Volvic Zest citron,2110213646174,['France'],[],[],?,?,,?,,?,,?,,,,['Volvic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,Câpre,3471030004165,['France'],[],[],?,26,109 kj(26 kcal),"0,6","0,2","4,7",0,28,"5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Nectar de canne & fruits de la passion,3770014432216,['France'],[],[],?,54.400001525879,228 kj(54 kcal),"0,1","0,05","13,3","12,8","0,28","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Sebahat Türkische Süßigkeit Mit Karamell Pistazie,5411944364946,['France'],[],[],?,360,1506 kj(360 kcal),"4,2","0,38","77,7",71,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Punch power bio drink,3760056250831,['France'],[],[],?,153,640 kj(153 kcal),"0,1","0,1",38,"23,6","0,01","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,Jus de canne & calamansi,3770014432209,['France'],[],[],?,80,335 kj(80 kcal),0,0,19,19,"1,1","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Chirpy Chick,00289290,['France'],[],[],?,0.55401533842087,2 kj(0 kcal),"33,5","20,5",56,"55,2","6,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,Crème de chataignes,,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Beaujolais blanc,3264380080398,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Roti de porc,3700133916304,['France'],[],[],?,127,531 kj(127 kcal),"3,6","1,3","0,5","0,5","23,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)""]",,,,,,,,,,,,,,,,,
1817,Boulgour,8699303520395,['France'],[],[],?,340,1423 kj(340 kcal),"3,1","0,24","63,6",4,"19,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Lein Öl,4008314186263,['France'],[],[],?,828,3464 kj(828 kcal),92,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,FROMAGE DE TETE TRADITION,2286119017919,['France'],[],[],?,115,481 kj(115 kcal),"5,7",2,0,0,16,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,Orecchiette,3664042005019,['France'],[],[],?,358,1498 kj(358 kcal),1,"0,2",73,"2,1",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,Entrecote,2494558048214,['France'],[],[],?,952,3983 kj(952 kcal),17,"7,8",0,0,19,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Emmental  Savoie  Chabert,0209653015021,['France'],[],[],?,396,1657 kj(396 kcal),31,20,0,0,29,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,Mini gressins aux olives,3760088720364,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,Les p'tites crèmes dessert,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,Nouilles Soba,0021103007208,['France'],[],[],?,366,1531 kj(366 kcal),"1,8","0,5",76,"4,9",11,"1,72","0,688",,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,,,,,,,,,,,,
1826,Confiture banane,3770003099215,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Cresson de Fontaine,3770018675411,['France'],[],[],?,87.800003051758,367 kj(87 kcal),"7,5","1,2","3,6","0,6","1,2","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,Abendbrei Banane-Kakao - Bebivita,4018852029373,['France'],[],[],?,62,259 kj(62 kcal),2,"1,3",8,4,"2,6",,,,['Bebivita'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Assortiment du Berry,3395250011928,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,3770019227046,3770019227046,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,4549660884866,4549660884866,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Vacherin vanille fraise,3760271827412,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Lasagne alla norma,3270160866649,['France'],[],[],?,142,594 kj(142 kcal),"5,7","1,8",17,"1,7","4,8","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,Gnocchi ripoeni,8003672001797,['France'],[],[],?,135,565 kj(135 kcal),"3,1","1,4",20,"7,4","5,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,8050847310826,8050847310826,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Stracciatella,8058151721246,['France'],[],[],?,247,1033 kj(247 kcal),23,15,22,"1,5",9,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Oignon,3760124865004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Chocolat crémant - Nestlé,3654045080366,['France'],[],[],?,545,2280 kj(545 kcal),33,17,55,53,"5,1",,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Velouté de châtaigne,3332870022644,['France'],[],[],?,50,209 kj(50 kcal),"0,5",0,"9,8","1,5","0,8","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
