,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,additives,eco_score,quantity,packaging,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,generic_name,markets,traceability_code,ingredients_origins,link,brand_owner,origin_detail,producer_info
438,Nougat tendre - Aitana,8412080053173,['Aitana'],,,['France'],[],[],,?,,442,,1849 kj(442 kcal),,13,,1,,74,,62,,7,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Turrón de Alicante - El Artesano,8412080075045,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,"['Belgique', 'France']",[],[],,?,,557,+4%,2330 kj(557 kcal),+4%,35,+5%,3,+6%,45,+6%,40,+7%,12,-13%,0,-100%,0,-100%,,E,,,35 g,en quantité élevée,3 g,en quantité modérée,40 g,en quantité élevée,0 g,en faible quantité,16,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
440,Turrón de Alicante - Picó,8412115006235,['Picó'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,['France'],"['48% amandes grillées', 'sucre', '10% miel', ""sirop de glucose-fructose et blanc d'oeuf"", ' revêtement exterieur : pain azyme  ', 'fécule de pomme de terre et huile de tournesol']",['Non végétalien'],4,?,,521,-3%,2180 kj(521 kcal),-3%,29,-13%,2,-29%,50,+17%,44,+17%,13,-6%,"0,1",+182%,"0,04",+182%,,E,,,29 g,en quantité élevée,2 g,en quantité modérée,44 g,en quantité élevée,0.1 g,en faible quantité,15,+5%,D,+5%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['Œufs'],,,,,,,,,,
441,Turrones - Pico,8412115007775,['Pico'],,['en:gluten-free'],['France'],[],[],,?,,564,,2360 kj(564 kcal),,39,,3,,32,,31,,18,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Noglut tostadas - Santiveri - 100g,8412170009646,['Santiveri'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']","['Végétarien', 'en:gluten-free', 'Végétalien', 'FACE', 'Fabriqué en Espagne', 'Sans œufs', 'Sans lactose', 'Sans lait', 'Sans soja']","['France', 'Espagne']","['Harina de arroz', 'harina de maíz', 'azúcar moreno de caña integral', 'sal']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,373,-2%,1561 kj(373 kcal),-2%,"1,3",-71%,"0,6",-42%,"82,7",+17%,"2,8",-50%,7,-30%,"1,2",+36%,"0,48",+36%,,B,100 g,['Bolsa de plástico'],1.3 g,en faible quantité,0.6 g,en faible quantité,2.8 g,en faible quantité,1.2 g,en quantité modérée,4,+31%,C,+31%,65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,,"['Peñafiel', 'Valladolid (provincia)', 'Castilla y León', 'España']",,Tostadas sin gluten y sin lactosa de arroz y maíz,['Carrefour'],"['NIF: B-63803167', 'ES 26.00039/VA C CE', 'FABRICANTE Y ENVASADOR:', 'CASA SANTIVERI S.L.']",,http://www.santiveri.es/,,,
443,Aperitivos Flaper - 70g,8412177012052,['Aperitivos Flaper'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']","['Végétarien', 'Végétalien']","['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",,?,,528,+3%,2209 kj(528 kcal),+3%,31,+5%,"3,9",+26%,"58,6",+8%,"14,5",+517%,"4,8",-16%,"0,7",-47%,"0,28",-47%,,,70 g,"['Bolsa de plástico y aluminio', 'Envasado en atmósfera protectora']",31 g,en quantité élevée,3.9 g,en quantité modérée,14.5 g,en quantité élevée,0.7 g,en quantité modérée,14,+20%,D,+20%,,,,,,,,,"['Azuqueca de Henares', 'Guadalajara (provincia)', 'Castilla-La Mancha', 'España']",,,['Aldi'],"['ES 26.07477/GU C CE', 'FABRICANTE Y ENVASADOR:', 'APERITIVOS FLAPER S.A.']","['Costa Rica', 'Équateur', 'Espagne', '[BATATA]', '[REMOLACHA Y ZANAHORIA]', '[YUCA]']",http://www.flaper.es,,,
444,Tortellini de queso - Knorr,8412200201002,['Knorr'],,,['France'],[],[],,?,,396,,1657 kj(396 kcal),,10,,5,,61,,"3,2",,14,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Salade coeur sucrine rouge,8412276025045,,"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,['France'],[],[],,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,B,,['légume'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0,,B,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,
446,"Mandarines Nadorcott - Bouquet - 1,5kg",8412276825522,['Bouquet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Mandarines']",['Catégorie I'],['France'],"['Mandarines', 'variété Nadorcott', 'cal 3/4 ', '50-64mm', ' Catégorie I', ' Traitées après récolte avec imazalil et thiabendazol', 'enrobage à base de cire de polyéthylène oxydée et shellac']",[],,?,,?,,,,?,,,,?,,,,?,,,,,,,,"1,5 kg",['Filet plastique'],,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,['Espagne'],https://anecoop.com/fr/,,,
447,Courgettes Bio - Bouquet bio,8412276951986,['Bouquet bio'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],,?,,17,,71 kj(17 kcal),,?,,"0,1",,?,,"2,5",,"1,2",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 94065B', 'Rungis (Val-de-Marne, France)']",,,,,
