,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
1907,Saucisson le Montagnard,2462772030179,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,320,,1339 kj(320 kcal),,"23,8",,"9,2",,"2,7",,2,,"24,8",,"3,6",,"1,44",,,,,,,,,,,,,,,,,,
1908,JARDIN DU PARADIS - Palais des Thés - 256g,2700968002563,,,256 g,,['Palais des Thés'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1909,Bûche glacée Pêche Abricot - Pilpa - 547g,3274664099183,D,"Bûche glace à la vanille 46%, sorbet pêche, aromatisé 23,5%, sorbet abricot, aromatisé 23,5%, sauce abricot, aromatisée 5,5%, décor : pépites aux fruits de la passion, aromatisées 1,1%, plaquette de chocolat blanc 0,4%",547 g,"['Carton', 'Surgelé']",['Pilpa'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,['Aldi'],['France'],"['Eau lait ecréme rehydrate', 'sucre', 'sirop de olucose-fructose', ""puree d'abricot 9,1%"", 'puree de peche 8,2x', 'sirop de glucose ', 'graisse végetale de coprah', 'lactose et protéines de lait', 'emulsifiants E471', 'lecithines de sola', 'E476', 'gélifiants E 410 E412', 'E440', 'E417', 'E415', 'E401', 'purée de fruits de la passion 0,3%', 'purée de pomme', 'arome naturel de vanille ', 'contient lait', ' beurre de cacao', 'dextrose', 'arômes naturels ', 'contlent lait', 'colorants : E100', 'E160b', 'E160a', 'E162', 'proteines de pois hydrolysees lait entler en poudre', 'acidifiants : E330', 'E332', 'lait ecrémé en poudre', ""fibres d'ananas"", 'Jus concentré de citron', 'matière grasse laitière anhydre', 'stabilisant: E341', 'cacao maigre en poudre']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E440 - Pectines', 'E417 - Gomme tara', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium', 'E100 - Curcumine', 'E160b - Rocou', 'E160a - Carotènes mélangés', 'E162 - Rouge de betterave', 'E330 - Acide citrique', 'E332 - Citrates de potassium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,4 g,en quantité modérée,3.5 g,en quantité modérée,24.3 g,en quantité élevée,0.09 g,en faible quantité,651,-17%,?,,651 kj(156 kcal),-22%,4,-51%,"3,5",-35%,"28,3",-1%,"24,3",-2%,1,-57%,"0,09",-27%,"0,036",-27%,9,-20%,C,-20%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,['France'],,"['EMB 29181', 'Plouédern (Finistère, France)']",,
1910,Marrons Glacés,3101740930460,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,['France'],[],,,[],,1 g,en faible quantité,0.2 g,en faible quantité,48 g,en quantité élevée,0.02 g,en faible quantité,?,,311,-2%,1301 kj(311 kcal),-2%,1,+12%,"0,2",+28%,73,-2%,48,-5%,"1,1",+8%,"0,02",-47%,"0,008",-47%,13,+10%,D,+10%,,,,,,,,,,,,,
1911,Cornichons Extra-Fins,3466403700218,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons extra-fins']",,,['France'],[],,,[],,0.2 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,1.82 g,en quantité élevée,?,,17,-15%,71 kj(17 kcal),-8%,"0,2",-38%,"0,1",+46%,"2,8",+83%,"0,6",-36%,"0,9",-20%,"1,82",0%,"0,728",0%,3,+43%,C,+43%,,,,,,,,,,,,,
1912,Jus De Pomme De Pomme Biologique - Oasis,0067311336525,,,,,['Oasis'],,,,['France'],[],,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,10,,10,,0,,0,,0,,,,,,,,,,,,,"['Bio', 'Sans sucre ajouté']",,,,,
1913,Profiteroles Caramel Salé -,20102906,C,,,"['Frais', 'Carton', 'Plastique']",,"['Biscuits et gâteaux', 'Pâtisseries', 'Réfrigérés', 'Profiteroles']",,,['France'],[],,,[],,10.7 g,en quantité modérée,8.8 g,en quantité élevée,16.8 g,en quantité élevée,0.43 g,en quantité modérée,?,,280,-2%,1172 kj(280 kcal),-2%,"10,7",-26%,"8,8",-2%,"38,6",+27%,"16,8",-13%,"4,4",-14%,"0,43",+55%,"0,172",+55%,15,+3%,D,+3%,74.4%,15.8%,4.8%,2.5%,2.6%,0.0%,65,['Fabriqué en Italie'],['Italie'],,,,
1914,Banana chips,4809010443328,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,160,,669 kj(160 kcal),,8,,7,,20,,3,,1,,0,,0,,,,,,,,,,,,,,,,,,
1915,Collation pomme et pêche,0055369901529,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,12,,10,,0,,0,,0,,,,,,,,,,,,,['en:gluten-free'],,,,,
1916,Citron bio,8436571481023,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,
