,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,palm_ingredients,traceability_code,ingredients_origins,brand_owner
0,Crêpes Nature - Bofrost - 1kg,0089769028524,B,Crêpes surgelées,1 kg,"['Carton', 'Plastique', 'surgelé']",['Bofrost'],"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Crêpes et galettes', 'Crêpes', 'Gâteaux et pâtisseries surgelés']",https://www.bofrost.fr/shop/boulangerie-patisserie/crepes-gaufres-beignets/crepes-sucrees.html?ff_data=JmZmX2lkPTAyODUyJmZmX21hc3RlcklkPTAyODUyJmZmX3RpdGxlPUNyw6pwZXMgc3VjcsOpZXMmZmZfcXVlcnk9Y3JlcGVzJmZmX3Bvcz01JmZmX29yaWdQb3M9OCZmZl9wYWdlPTEmZmZfcGFnZVNpemU9MTImZmZfb3JpZ1BhZ2VTaXplPTEyJmZmX3NpbWk9OTkuOTg=,['Bofrost'],['France'],"['Lait entier', 'farine de blé', 'sucre', 'matières grasses végétales ', 'colza', 'palme', 'œuf', 'vanilline', 'émulsifiants ', ""mono- et diglycérides d'acides gras"", 'lécithine de tournesol', 'poudres à lever ', 'carbonate de sodium', 'diphosphates', 'sel', ' ', 'Traces de soja']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E500i - Carbonate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,12 g,en quantité modérée,5.9 g,en quantité élevée,17 g,en quantité élevée,0.62 g,en quantité modérée,?,,278,-17%,1163 kj(278 kcal),-18%,12,-30%,"5,9",-36%,"36,4",-6%,17,-33%,"5,7",+13%,"0,62",+127%,"0,248",+127%,13,-17%,D,-17%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,
1,4 chocolate & hazelnut,4088600032153,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,321,,1343 kj(321 kcal),,10,,"1,9",,49,,27,,"6,8",,"0,56",,"0,224",,,,,,,,,,,,,,,,,,
2,bon bon,2024408399991,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,552,,2310 kj(552 kcal),,"36,6",,"22,9",,"50,4",,"47,4",,"4,8",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,
3,Bourbon creams,5010893042686,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,487,,2038 kj(487 kcal),,22,,13,,66,,30,,"5,4",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,
4,Saucisses de Toulouse,0202164017652,E,,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,
5,Sucre de fleur de COCO - Pure Via,18456561,,,,,['Pure Via'],,,,['France'],[],,,[],,,,,,,,,,?,,378,,1582 kj(378 kcal),,0,,0,,93,,83,,"1,3",,"0,31",,"0,124",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,
6,Panna Cotta au Coulis de Baies - Manor Food - 110g e,2099460040594,C,,110 g e,"['Plastique', 'Frais']",['Manor Food'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Panna cottas', 'Réfrigérés', 'Panna cottas au coulis de fruits']",,,['France'],"['Crème', 'lait entier', 'sucre de canne brut', 'baies ', 'framboises', 'fraises', 'myrtilles', ' 8 %', 'amidon de riz', 'épaississant : E406', 'sel marin', 'gousses de vanille', ' Tous les ingrédients agricoles sont issus de la production biologique']",['E406 - Agar-agar'],['Lait'],['Non végétalien'],4,16 g,en quantité modérée,13 g,en quantité élevée,16 g,en quantité élevée,0.6 g,en quantité modérée,?,,221,+12%,925 kj(221 kcal),+11%,16,+39%,13,+64%,17,-16%,16,-4%,"2,5",-7%,"0,6",+417%,"0,24",+417%,17,+49%,D,+49%,62.1%,26.2%,4.5%,4.1%,2.5%,0.7%,68,,,,,,
7,Nut bar -,9403110062950,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Fruits à coques et dérivés', 'Barres', 'Barres de fruits à coques']",,,['France'],"['Arachides ', '37%', 'fruits ', '20%', ' ', 'raisins secs', 'abricot sec ', 'conservateur ', 'E220', 'dattes', 'composé de yaourt ', '12%', ' ', 'sucre', 'huile végétale ', 'émulsifiants ', 'E492', 'lécithine de soja', 'acide ', 'citrique', ' ', 'Solides de lait', 'poudre de yaourt ', '0,4%', 'émulsifiant ', 'lécithine de soja', 'arôme', 'maltodextrine', 'glucose', 'huile de tournesol', 'blé soufflé', 'cassonade', 'graines ', 'tournesol', 'citrouille', 'humectant ', 'glycérol', 'sucre', 'miel', 'Émulsifiant ', 'lécithine de soja', 'sucre caramélisé']","['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E422 - Glycérol']","['Gluten', 'Arachides', 'Soja', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,26.9 g,en quantité élevée,6.8 g,en quantité élevée,29.7 g,en quantité élevée,0.022 g,en faible quantité,?,,487,-1%,2038 kj(487 kcal),-2%,"26,9",-11%,"6,8",+18%,"45,8",+22%,"29,7",+20%,"12,5",-18%,"0,022",-92%,"0,009",-92%,17,+37%,D,+37%,,,,,,,,,,,,,
8,Soupe de tomates et viande. - Unox,8712100570452,,,,,['Unox'],,,,['France'],[],,,[],,,,,,,,,,?,,48,,201 kj(48 kcal),,"1,5",,"0,4",,"6,7",,"4,3",,"1,9",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,
9,Terrine de campagne - les foies gras de Saulzoir - 90g,3760122672024,,,90g,['pot en verre'],['les foies gras de Saulzoir'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,['France'],"['viande de porc ', 'foie', 'gorge', 'épaule', 'bière du Nord ', ""malt d'orge"", ' ', '5%', 'oignons', 'gelée', 'sel', 'épices']",,['Gluten'],"['Non végétalien', 'Non végétarien']",3,,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,
10,WH:001 - Fine Tonic - 40g,3760249070499,,,40g,,['Fine Tonic'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
11,Truffes Fantaisie Cocoa Beans - Mathez,3481290007158,,,,,['Mathez'],,,,['France'],[],,,[],,,,,,,,,,?,,600,,2510 kj(600 kcal),,46,,39,,39,,37,,"4,5",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,
12,Lait fermenté/Ayran/Doogh,4260466410553,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,1,,"0,7",,"1,6",,"1,1",,"1,1",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,
13,Sorbet Myrtille sauvage - La fruitière de Colpo - 500ml 310g,3438753030031,C,,500 ml 310 g,"['Carton', 'Surgelé']",['La fruitière de Colpo'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets']",,,['France'],"['Purée de myrtille ', '40%', 'purée de pomme ', '20%', 'sucre', 'eau', 'sirop de glucose', 'acidifiant : acide citrique', 'gélifiant et épaississants : pectine de pomme', 'E464', 'farine de graines de guar', 'dextrose', 'farine de graines de caroube']","['E330 - Acide citrique', 'E440 - Pectines', 'E464 - Hydroxypropylméthylcellulose', 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,"['en:gluten-free', 'Point Vert']","['Bretagne', 'France']",,,,
14,Baguette complète,3700581205609,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
15,SUPER NESS-K,3760278610888,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,379,,1586 kj(379 kcal),,"1,3",,"0,7",,88,,84,,"2,4",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,
16,moules crème et curry - sélection Fort de Tatihou - 100g,8769640003025,,,100 g,"['Bocal', 'Verre']",['sélection Fort de Tatihou'],"['Produits à tartiner', 'Produits à tartiner salés']",,,['France'],"['MOULES 50 %', 'CRÈME fraiche 15 %', ' huile de colza THON', 'eau', 'MOUTARDE ', 'eau', 'graines de MOUTARDE', "" vinaigre d'alcool"", 'sel', 'acidifiant acide citrique', ' conservateur: DISULFITE de potassium', ' fibre de blé', 'LAIT écrémé en poudre', 'épices et aromates ', 'dont curry 0', '3 %', ' sel', ' épaississant: gomme de xanthane', ' Traces possibles de crustacés', 'fruits à coque', ' œuf']","['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']","['Poisson', 'Gluten', 'Lait', 'Mollusques', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,16.5 g,en quantité modérée,4.1 g,en quantité modérée,1.2 g,en faible quantité,1.6 g,en quantité élevée,?,,219,-26%,916 kj(219 kcal),-26%,"16,5",-37%,"4,1",-47%,5,+42%,"1,2",-6%,"12,4",+42%,"1,6",+21%,"0,64",+21%,13,+4%,D,+4%,,,,,,,,,,,,,
17,Fruit Mochi - Royal Family,4711931030139,,"Mochi au fruit : Melon Hami, Fraise, Orange",,['Plastique'],['Royal Family'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",,,['France'],"['Maltose ', '28 %', 'Sucre ', '18 %', 'Riz Gluant ', '18 %', ' Phosphate de Diamidon Hydroxypropyle ', 'E1442 ', '7 %', 'Fraise ', '5,8 %', 'Orange ', '5,8 %', 'Melon ', '5,8 %', 'Courge Cireuse ', '4,96 %', 'Trehalose ', '4 % ', 'Sorbitol ', '1,4 %', 'Beurre ', '1 %', 'Huile de Palme ', '0,07 %', 'Gélatine ', '0,05%', 'Arôme ', '0,04 %', 'Bétanine E162', ' ', '0,02 %', 'Carotene', 'E160a', '0', '02%', ""Poudre d'épinards "", '0,02 %', 'Monostéarine E471', ' 0,01 % ', 'Sorbate de Potassium ', 'E202', ' 0,01 %']","['E1442 - Phosphate de diamidon hydroxypropyle', 'E420 - Sorbitol', 'E428 - Gélatine', 'E162 - Rouge de betterave', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Lait'],"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,
18,Yaourt à boire,3483130043616,E,,,,,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,,,,,,
19,Pâté basque au piment d'Espelette - 90g,3304185003939,,,90 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,342,,1431 kj(342 kcal),,32,,"7,5",,"1,4",,"0,6",,12,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
20,Fraise du Gard - La Cuillère Gourmande - 225g,3760124231687,D,,225 g,,['La Cuillère Gourmande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],"['Fraise Cléry 55%', 'sucre de canne 45%', 'jus de citron', 'gélifiant : pectine de citron']",['E440 - Pectines'],,[],4,0.13 g,en faible quantité,0.022 g,en faible quantité,58 g,en quantité élevée,0.029 g,en faible quantité,?,,206,-5%,862 kj(206 kcal),-5%,"0,13",-46%,"0,022",-51%,58,+9%,58,+14%,"0,45",+2%,"0,029",+28%,"0,012",+28%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
21,3 Baguettes Rustique -  - 750g (3 * 250g),3760140695708,A,,750 g (3 * 250 g),"['Sachet', 'Papier']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,['France'],"['Eau', 'Sel', 'Farine de BLÉ malté', 'Farine de BLÉ', 'Additif E300', 'levain de seigle']",,['Gluten'],[],3,0.4 g,en faible quantité,0.03 g,en faible quantité,2.86 g,en faible quantité,0.55 g,en quantité modérée,?,,252.7,-2%,1057 kj(252 kcal),-2%,"0,4",-83%,"0,03",-93%,"53,5",+10%,"2,86",+27%,"9,2",+11%,"0,55",-55%,"0,22",-55%,0,-100%,B,-100%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,
22,3560320013106,3560320013106,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
23,Délices festifs - 590g,3435079012147,,,590 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,372,,1556 kj(372 kcal),,"4,1",,"1,1",,78,,61,,"5,3",,"0,44",,"0,176",,,,,,,,,,,,,,,,,,
24,Moulin gros sel,4027900219727,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
25,Sel citron  Dr. oetker 50G,5941132400038,,,,,['Dr. Oetker'],,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
26,Muesli croustillant aux 4 noix,3236330008875,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,471,,1971 kj(471 kcal),,"20,7",,"2,2",,"54,9",,"19,9",,"10,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,"['EMB 07055', 'Charmes-sur-Rhône (Ardèche, France)']",,
27,Merveilleux chocolat blanc -,2030000020577,,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
28,Coconut & Hazelnut,5055037002959,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,492,,2059 kj(492 kcal),,25,,14,,60,,32,,"5,6",,"0,44",,"0,176",,,,,,,,,,,,,,,,,,
29,Speck di Montagna Fiori Alpine,2122030005980,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,"19,1",,"6,6",,"1,2",,"0,6",,"30,7",,"4,1",,"1,64",,,,,,,,,,,,,['en:gluten-free'],,,,,
30,Jamón de Cebo Ibérico - Navidul - 80g,8410320287449,,,80 g,,['Navidul'],"['Viandes', 'Charcuteries']",,,"['France', 'Espagne']","['Jamón de cerdo ibérico', 'sal', 'conservadores ', 'E-250', 'E-252']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,[],3,24 g,en quantité élevée,9.2 g,en quantité élevée,0.5 g,en faible quantité,4.5 g,en quantité élevée,?,,338,+30%,1414 kj(338 kcal),+31%,24,+24%,"9,2",+27%,"0,5",-66%,"0,5",-37%,30,+60%,"4,5",+89%,"1,8",+89%,23,+44%,E,+44%,,,,,,,,,,,,,
31,Olives vertes farcies aux amandes,2609826013126,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', 'Olives vertes farcies aux amandes']",,,['France'],[],,,[],,14.9 g,en quantité modérée,3 g,en quantité modérée,1.3 g,en faible quantité,2.9 g,en quantité élevée,?,,173,-18%,724 kj(173 kcal),-18%,"14,9",-26%,3,+3%,"6,5",+166%,"1,3",+159%,"3,2",-14%,"2,9",-14%,"1,16",-14%,14,+7%,D,+7%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,
32,Pain d'épices Miel & Figues - Les Maîtres Confiseurs,5415312035926,B,,,,['Les Maîtres Confiseurs'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",,,['France'],"['Sirop de glucose-fructose', 'farine de SEIGLE', 'figues 14%', 'eau', 'miel 6%', 'sucre candi', 'poudre à lever: E450', 'E500', 'E503', 'farine de riz', 'épices', 'fécule de pomme de terre ', 'amidon', 'son de SEIGLE', 'amidon de BLÉ']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0.1 g,en faible quantité,40.7 g,en quantité élevée,0.5 g,en quantité modérée,?,,293,-13%,1226 kj(293 kcal),-14%,"0,5",-86%,"0,1",-92%,"66,6",-6%,"40,7",+0%,"3,1",-29%,"0,5",+15%,"0,2",+15%,14,-1%,D,-1%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,
33,Brie,0240075016074,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",,,['France'],[],,,[],,32 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,?,,352,+13%,1473 kj(352 kcal),+13%,32,+24%,23,+26%,0,-100%,0,-100%,16,-15%,2,+26%,"0,8",+26%,17,+14%,D,+14%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Fabriqué en France'],,,,,
34,Beaufort - Nos régions ont du talent,2860085032802,D,,,,"['Nos régions ont du talent', 'Leclerc']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",,['Leclerc'],['France'],[],,,[],,34 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,?,,415,+3%,1736 kj(415 kcal),+3%,34,+6%,20,-3%,"1,3",+41%,"0,5",+151%,26,-2%,1,-12%,"0,4",-12%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
35,5060200681367,5060200681367,,,,,,,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,
36,Poulet - Volandry,2860148029060,D,,,,['Volandry'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
37,Baguette saveur - 250g,0212456005250,,,250 g,,,,,,['France'],[],,,[],,,,,,,,,,?,,226,,946 kj(226 kcal),,"1,4",,"0,3",,45,,"0,5",,"7,2",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,
38,Miel du morvan acacia,3760265130016,B,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
39,Noix d3 cajoux - Twinings,0070177286729,,,,,['Twinings'],,,,['France'],[],,,[],,,,,,,,,,?,,5,,21 kj(5 kcal),,1,,1,,1,,1,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,
40,Comté,2210175030315,D,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,['France'],[],,,[],,34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0.69 g,en quantité modérée,?,,412,+4%,1724 kj(412 kcal),+4%,34,+4%,22,+1%,"0,5",+8%,0,-100%,27,+7%,"0,69",-29%,"0,276",-29%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,
41,3701013200209,3701013200209,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
42,Crêpes jambon champignons - La Crêpe de Brocéliande,3326120043121,,,,,['La Crêpe de Brocéliande'],,,,['France'],[],,,[],,,,,,,,,,?,,186,,778 kj(186 kcal),,"7,6",,"2,1",,22,,"4,3",,"7,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,"['FR 35.027.002 CE', 'Boisgervilly (Ille-et-Vilaine, France)']",,
43,Mini funny donuts - Erhard,3428420050776,B,,,,['Erhard'],"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,
44,Guimauve Myrtille,3770003794233,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,334,,1397 kj(334 kcal),,0,,0,,79,,79,,"3,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,
45,Infusettes Philtre vital - Le Dauphin - 30g,3760013112455,B,,30 g,,['Le Dauphin'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions']",,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Fabriqué en France', 'Sans colorants', 'Biopartenaire']",,,,,
46,Compote de pommes biologique,,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,
47,Inovance Probiovance D10 - 30 Gélules,8477704434608,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
48,Mozzarella di bufala - Transgourmet,3554983008562,D,,,,['Transgourmet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,,['France'],[],,,[],,22 g,en quantité élevée,15.3 g,en quantité élevée,1 g,en faible quantité,0.2 g,en faible quantité,?,,270,+1%,1130 kj(270 kcal),+1%,22,-5%,"15,3",-3%,1,+34%,1,+63%,17,+18%,"0,2",-67%,"0,08",-67%,8,-22%,C,-22%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
49,Saucisson ariola,2228222043232,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,301,,1259 kj(301 kcal),,"16,7",,"6,44",,"0,8",,"0,3",,"36,8",,"5,8",,"2,32",,,,,,,,,,,,,,,,,,
50,3368953330696,3368953330696,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
51,Pink smoothie,0884394007896,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,55,,230 kj(55 kcal),,0,,0,,14,,13,,0,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
52,Feta grecque - Transgourmet,3554983011739,,,,,['Transgourmet'],,,,['France'],[],,,[],,,,,,,,,,?,,266,,1113 kj(266 kcal),,22,,"15,6",,"0,2",,"0,2",,"16,8",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,
53,Sal De Hierbas Molinillo Burriac,8413900081635,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
54,Jambon cuit - Transgourmet,3554983006452,,,,,['Transgourmet'],,,,['France'],[],,,[],,,,,,,,,,?,,110,,460 kj(110 kcal),,4,,2,,"1,5",,"1,5",,17,,"1,8",,"0,72",,,,,,,,,,,,,,,,"['FR 56.140.006 CE', 'Moréac (Morbihan, France)']",,
55,Pink Grapefruit Gin - The lakes,5060605060071,,,,['glass-bottle'],['The lakes'],,,,['France'],[],,,[],,,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,"4,7",,"4,7",,0,,0,,0,,,,,,,,,,,,,,,,,,
56,Mimolette Jeune - €co+,2860132012078,D,,,,['€co+'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes jeunes', 'Fromages-du-nord-pas-de-calais']",,,['France'],[],,,[],,24 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en faible quantité,2.6 g,en quantité élevée,?,,320,-0%,1339 kj(320 kcal),-0%,24,-0%,16,-2%,"0,5",+56%,"0,5",+59%,26,+1%,"2,6",+2%,"1,04",+2%,18,-2%,D,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,
57,Nougat tendre aux amandes,3105560044000,,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,411,,1720 kj(411 kcal),,8,,"0,7",,79,,69,,"4,4",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
