,name,bar_code,quantity,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,generic_name,ingredients_origins,traceability_code,link,palm_ingredients,producer_info,brand_owner,origin_detail
351,Pause gourmande - Baiko - 225g,7616600715072,225 g,['Baiko'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés', 'Yaourts aux céréales']","['Point Vert', 'Nouveau']",['Magasins U'],['France'],[],,,[],,4.6 g,en quantité modérée,2.2 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,?,,127,+8%,531 kj(127 kcal),+8%,"4,6",+21%,"2,2",+9%,17,+12%,12,+3%,4,-10%,"0,1",-19%,"0,04",-19%,3,+91%,C,+91%,,,,,,,,,"['Frais', 'Plastique']",['Suisse'],,,['CH 2434'],,,,,
352,Actilife Bun Di - 1L,7616800202808,1 L,['Actilife'],,,,"['France', 'Suisse']","['eau', 'jus de fruits à partir de concentrés 17% ', 'orange-raisin-mangue', 'sucre', 'fibres alimentaires ', ""son d'avoine"", 'pectine', 'dextrine', 'sirop de sucre inverti', 'lait écrémé en poudre', 'acidifiant: acide citrique', 'yogourt au lait écrémé en poudre', 'mélange de vitamines ', 'vitamine C', 'niacine', 'acide pantothénique', 'bêta-carotène [provitamine A]', 'vitamine B6', 'thiamine', 'acide folique', 'biotine et vitamine B12', 'édulcorant: sucralose', 'arôme naturel']","['E440 - Pectines', 'E1400 - Dextrines', 'E330 - Acide citrique', 'E955 - Sucralose']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,24,,100 kj(24 kcal),,"0,5",,0,,"4,9",,"4,3",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
353,Ice tea light - Citron - Migros - 1L e,7616800204093,1 L e,"['Migros', 'ICE TEA']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons édulcorées', 'Boissons au thé', 'Thés glacés', 'Boissons avec sucre ajouté']","['Agriculture durable', 'en:FSC', 'en:fsc-c014047', 'FSC Mix', 'Fabriqué en Suisse', 'en:UTZ Certified', 'Avec édulcorants']",['Migros'],"['France', 'Suisse']","['Infusion de thé noir et de cynorhodon/fleurs de carcadé ', ""dosage de l'extrait sec : 1,3g/l"", 'jus de citron à partir de concentré 3,5 %', 'fructose', 'édulcorant : sucralose,']",['E955 - Sucralose'],,[],4,0.5 g,en faible quantité,,,2 g,en faible quantité,0.02 g,en faible quantité,40,-56%,10,-50%,40 kj(10 kcal),-53%,"0,5",+395%,,,"2,5",-47%,2,-55%,0,-100%,"0,02",-21%,"0,008",-21%,,,,,B,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,"['Brique', 'Carton']",['Suisse'],,,,,,,,
354,Dark Chocolate Large Bar - Toblerone - 360g,7622210496607,360 g,['Toblerone'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes', 'Chocolats noirs aux amandes', 'en:Chocolats noirs au miel']",['Fabriqué en Suisse'],,"['France', 'Suisse', 'États-Unis']","['Pate de cacao', 'sucre', 'beurre concentré', 'miel 3 %', 'amandes 1,6 %', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', ""blanc d'œuf"", ' Cacao 50 % minimum dans le chocolat noir']",['E322i - Lécithine'],"['Œufs', 'Lait', 'Fruits à coque', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,32 g,en quantité élevée,20 g,en quantité élevée,47 g,en quantité élevée,0.02 g,en faible quantité,2237,-2%,535,-4%,2237 kj(535 kcal),-4%,32,-16%,20,+3%,50,+23%,47,+34%,"6,3",-25%,"0,02",-68%,"0,008",-68%,21,-2%,E,-2%,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['boîte carton', 'card-box', 'foil-film']",['Suisse'],,,,,,,,
355,Choco inside sensations - Milka - 156g,7622210689610,156g,['Milka'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Cookies fourrés']",,,['France'],"['Sucre', 'farine de blé beurre pâtissier', 'huile de tournesol', 'huile de colza', 'pâte de cacao', 'lait entier en poudre', 'beurre de cacao', 'amidon de blé', 'amidon modifié lactose ', 'dont lait', 'poudre à lever ', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'diphosphate disodique', 'lactosérum en poudre ', 'de lait', 'cacao maigre en poudre', 'émulsifiant ', 'lécithine de soja', 'sel', 'arômes', 'lait écrémé en poudre', 'colorant ', 'bèta-carotène', 'fibre de soja']","['E14XX - Amidons modifiés', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E322i - Lécithine', 'E160ai - Bêta-carotène']","['Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,27 g,en quantité élevée,9 g,en quantité élevée,39 g,en quantité élevée,0.88 g,en quantité modérée,?,,510,-0%,2134 kj(510 kcal),-1%,27,-3%,9,-17%,63,+8%,39,+9%,"4,2",-25%,"0,88",+19%,"0,352",+19%,24,-3%,E,-3%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Paquet'],,,,,,,,,
356,Crackers petit déjeuner multi graines 200 g - Heudebert,7622210695352,200 g,['Heudebert'],['Biscuits petits déjeuners'],,"['Hyper U', 'Magasins U']","['France', 'La Réunion']","['Farine complète de blé 69,2%', 'sirop de glucose-fructose', 'graines de sésame 6,2%', 'graines de lin 4,3%', 'graines de citrouille 3,9%', 'huile de palme', 'son de blé 2,4%', 'poudre à lever ', ""carbonate acide d'ammonium"", 'sucre', 'farine de riz', 'émulsifiant ', 'lécithine de soja', 'oeufs en poudre', 'sel iodé', 'minéral ', 'carbonate de calcium', 'disulfite de sodium']","[""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites', 'Disulfite de sodium']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,13 g,en quantité modérée,3 g,en quantité modérée,16 g,en quantité élevée,0.57 g,en quantité modérée,?,,427,-7%,1787 kj(427 kcal),-7%,13,-26%,3,-44%,62,-5%,16,-37%,12,+59%,"0,57",-16%,"0,228",-16%,7,-44%,C,-44%,,,,,,,,,"['Carton', 'Plastique']",,,,,,['Huile de palme'],,,
357,Biscuits chocolat Belvita - 400g,7622210720740,400 g,['Belvita'],"['Biscuits et gâteaux', 'Biscuit chocolat']",,,['France'],"['Céréales 56,4 0% [céréales complètes 40,2 % ', 'farine complète de blé 20,3 %', ""flocons d'avoine 8,9 %"", ""farine complète d'orge 6,4 0%"", 'farine complète de seigle 3,6 %', ""farine complète d'épeautre 1 0%"", 'farine de blé 16,2 0%]', 'sucre', 'pépites de chocolat 12,8 % [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de soja', ']', 'huile de coiza', 'cacao maigre en poudre 3,3 0%', 'amidon de blé', 'poudre à lever ', ""carbonate acide d'ammonium"", 'diphosphate disodique', 'carbonate acide de sodium', 'émulsifiants ', 'E492', '{écithine de soja', 'E472e', 'minéraux ', 'carbonate de magnésium', 'fer élémentaire', 'sel', 'lait écrémé en poudre,']","['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Gluten', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,15 g,en quantité modérée,3.8 g,en quantité modérée,28 g,en quantité élevée,0.51 g,en quantité modérée,?,,440,-5%,1841 kj(440 kcal),+2%,15,-23%,"3,8",-55%,66,+5%,28,-2%,"7,8",+17%,"0,51",+36%,"0,204",+36%,11,-29%,D,-29%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['boîte'],,,,,,,,,
358,Lu Prince Fourré Vanille,7622210776327,,['Lu'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits fourrés']",,['Delhaize'],"['Belgique', 'France']",[],,,[],,17 g,en quantité modérée,5.3 g,en quantité élevée,35 g,en quantité élevée,0.55 g,en quantité modérée,?,,470,0%,1966 kj(470 kcal),-0%,17,-11%,"5,3",-38%,73,+9%,35,+6%,"5,1",-12%,"0,55",-1%,"0,22",-1%,19,-4%,E,-4%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Film'],,,,,,,,,
359,Cookie Abricot Amandes - LU - 160g,7622210854032,160 g,['LU'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,['Magasins U'],['France'],"['Céréales 49 % [farine de blé 27 %', 'céréales complètes 22 % ', 'farine de blé complète 12 %', ""flocons d'avoine 10 %"", ']', 'sucre', 'beurre', 'huile de colza', 'abricots secs 8 % ', 'contient sulfites', ""morceaux d'amandes 5 %"", 'poudre à lever ', ""carbonates d'ammonium"", 'diphosphates', 'carbonates de sodium', ' dextrose', 'sel', 'émulsifiants ', 'lécithine de soja', 'E472b', 'sirop de glucose', 'arôme', 'lait écrémé en poudre', ' Peut contenir oeufs et autres fruits à coque']","[""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E322i - Lécithine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]","['Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,25 g,en quantité élevée,7.7 g,en quantité élevée,25 g,en quantité élevée,1.01 g,en quantité modérée,2049,+2%,490,+3%,2049 kj(490 kcal),+3%,25,+20%,"7,7",-24%,58,-9%,25,-15%,"6,7",+3%,"1,01",+71%,"0,404",+71%,19,-4%,E,-4%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Plastique', 'Sachet']",,,,,,,,,
360,Grany Moelleux muesli chocolat - biscuits - LU - 100g,7622210932327,100 g,"['LU', 'Mondelez']","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",,,['France'],"['Muesli 27,8% ', ""flocons d'avoine 11,2 %"", 'raisins secs 10,4 %', 'noix de coco 3,7 %', 'pétales de maïs 2,5 % ', 'maïs 2,4 %', 'sucre', 'sel', ""extrait de malt d'orge"", 'farine de blé 143 %', 'sucre', 'huile de palme sirop de glucose', 'lait écrémé en poudre', 'pépites de chocolat 5,6 % [sucre', 'pâte de cacao', 'graisses végétales ', 'palme', 'karité en proportions variables', 'dextrose', 'beurre de cacao', 'émulsifiant ', 'lécithines de soja', 'stabilisant ', 'sirop de sorbitol', ""purée d'abricot 3,2 %"", 'cacao maigre en poudre', 'poudre à lever carbonates de sodium', 'diphosphates', 'sirop de fructose-glucose', 'amidon modifié', 'purée de pomme concentrée 0,7 % ', 'équivalent purée de pomme 4,1 %', 'humectant ', 'glycérol', 'fibres de blé', 'sel', 'acidifiant : acide citrique', 'gélifiants ', 'pectines,gomme gellane', ""correcteur d'acidité "", 'citrate tricalcique', 'arômes']","['E322i - Lécithine', 'E420ii - Sirop de sorbitol', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E422 - Glycérol', 'E330 - Acide citrique', 'E440 - Pectines', 'E418 - Gomme gellane', 'E333iii - Citrate tricalcique']","['Gluten', 'Lait', 'Avoine', 'Soja']","['Huile de palme', 'Non végétalien']",4,15 g,en quantité modérée,8.2 g,en quantité élevée,34 g,en quantité élevée,1.31 g,en quantité modérée,?,,400,-10%,1674 kj(400 kcal),-11%,15,-23%,"8,2",-18%,59,0%,34,+6%,"6,6",-8%,"1,31",+251%,"0,524",+251%,20,+16%,E,+16%,D,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,"['Carton', 'Plastique']",,Barre céréalière au muesli et au chocolat. - Grany Moelleux Muesli Chocolat,,,,['Huile de palme'],,,
361,"Philadelphia, Classico - 220g",7622300646943,220g,['Philadelphia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche']","['en:gluten-free', 'Sans conservateurs']",,"['France', 'Italie']","['LATTE pastorizzato', 'crema di LATTE', 'sale', 'addensanti ', 'farina di semi di carrube', 'alginato di sodio', 'carragenina', ',']","['E401 - Alginate de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,26 g,en quantité élevée,18 g,en quantité élevée,2.8 g,en faible quantité,0.75 g,en quantité modérée,?,,267,+64%,1117 kj(267 kcal),+66%,26,+145%,18,+151%,"2,8",-47%,"2,8",-39%,"4,1",-52%,"0,75",+24%,"0,3",+24%,14,+150%,D,+150%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
362,Chocolinas original - Bagley - 170g,7790040929906,170 g,"['Bagley', 'Chocolinas']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,"['Argentine', 'France', 'Espagne']","['harina de trigo enriquecida ley 25', '630 ', 'Harina de trigo', 'Hierro', 'Ácido fólico', 'tiamina', 'Riboflavina', 'Niacina', ' AZUCAR', ' GRASA BOVINA', ' CACAO EN POLVO', 'JARABE DE GLUCOSA', ' SAL', ' LEUDANTES QUIMICOS: BICARBONATO DE SODIO', 'BICARBONATO DE AMONIO', ' COLORANTE: CARAMELO ', 'E150d', ' EMULSIONANTE: LECITINA DE SOJA/SOYA', ' AROMATIZANTE ARTIFICIAL VAINILLINA']","[""E503ii - Carbonate acide d'ammonium"", 'E150 - Caramel', ""E150d - Caramel au sulfite d'ammonium""]","['Gluten', 'Soja']",['Non végétalien'],4,17 g,en quantité modérée,7.9 g,en quantité élevée,20 g,en quantité élevée,0.6 g,en quantité modérée,1907,-8%,454,-8%,1907 kj(454 kcal),-7%,17,-27%,"7,9",-33%,67,+8%,20,-38%,"9,1",+39%,"0,6",+9%,"0,24",+9%,18,-16%,D,-16%,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,['Plástico'],['Argentina'],,['Argentine'],,,,,,
363,Mayonnaise - Hellmann's - 475g,7794000960091,475g,"[""Hellmann's""]","['Epicerie', 'Sauces', 'Mayonnaises']","['Sans gluten', 'es:Sin TACC']",['Todos'],"['Argentine', 'France']","['Agua', 'aceite vegetal', 'huevo entero líguido pasteurizado', 'almidón modificado', 'azúcar', 'vinagre de alcohol', 'sal', 'aceite esencial de mostaza', 'jugo concentrādo de limón', 'estabilizante: goma xántica', 'colorante: betacaroteno acidulante: ácido fosfórico', 'conservante: ácido sórbico aromatizantes: idéntico al natural y naturales', 'secuestrante: EDTA disódico cálcico', 'antioxidantes: BHA', 'BHT y ácido cítrico']","['E14XX - Amidons modifiés', 'E338 - Acide orthophosphorique', '', 'Risque élevé de sur-exposition', 'E320 - Butylhydroxyanisol', 'E321 - Butylhydroxytoluène', 'E330 - Acide citrique']",,"[""Pourrait contenir de l'huile de palme""]",4,30.8 g,en quantité élevée,3.33 g,en quantité modérée,3.33 g,en faible quantité,2.14 g,en quantité élevée,?,,308,-50%,1290 kj(308 kcal),-50%,"30,8",-53%,"3,33",-46%,"6,67",+148%,"3,33",+128%,0,-100%,"2,14",+61%,"0,855",+61%,15,-16%,D,-16%,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Sache'],"['Munro', 'Vicente Lopez', 'Buenos Aires', 'Argentina']",Mayonesa reducida en valor lipidico libre de gluten SIN TACC,,['LH5177V303'],http://www.hellmanns.com.ar/,,,,
364,Café moulu - carte noire - 3x250g,8000070200340,3x250g,['carte noire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,['Magasins U'],['France'],[],,,[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,E,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,['Paquet'],,,,,,,,,
365,Pulpe Tomate Des Victoria Bte 1 / 2 - 400g,8000483150508,400 g,['Victoria'],,,,['France'],"['tomates', 'jus de tomate', ""correcteur d'acidité: acide citrique""]",['E330 - Acide citrique'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,23,,96 kj(23 kcal),,"0,5",,0,,3,,3,,"1,2",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,
366,Happy Hippo Cacao - Kinder,8000500023624,,['Kinder'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,,"['Belgique', 'France', 'Espagne']",[],,,[],,38.6 g,en quantité élevée,17.6 g,en quantité élevée,45.1 g,en quantité élevée,0.264 g,en faible quantité,?,,593,+18%,2481 kj(593 kcal),+19%,"38,6",+56%,"17,6",+18%,"53,6",-14%,"45,1",+28%,"6,7",+28%,"0,264",-18%,"0,106",-18%,28,+27%,E,+27%,C,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,,,,
367,Brioss - Kinder - 270g,8000500283158,270 g,['Kinder'],"['Snacks', 'Snacks sucrés']","['Sans additifs artificiels', 'Sans colorants', 'Sans OGM', 'Sans matière grasse hydrogénée', 'Sans conservateurs', 'it:100% latte italiano', 'it:Lievitata naturalmente', 'it:Senza additivi']",['Coop'],"['France', 'Italie', 'Suisse']","['farina di FRUMENTO ', '26%', 'zucchero', 'olio di palma non idrogenato', 'LATTE in polvere reidratato ', '8,9%', ""tuono d'UOVO "", '6,5%', 'olio di girasole non idrogenato', 'LATTE scremato in polvere ', '4,8%', 'acqua', 'glutine di FRUMENTO', 'farina di riso', 'lievito di birra', 'proteine del LATTE', 'aromi', 'emulsionanti ', 'mono e digliceridi degli acidi grassi', 'amido di FRUMENTO', 'sciroppo di glucosio-fruttosio', 'sale', 'cacao magro,']","[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien']",4,21 g,en quantité élevée,8.7 g,en quantité élevée,25 g,en quantité élevée,0.24 g,en faible quantité,1767,-8%,422,-6%,1767 kj(422 kcal),-6%,21,+3%,"8,7",-13%,47,-18%,25,-30%,"9,4",+57%,"0,24",-37%,"0,096",-37%,19,0%,E,0%,,,,,,,,,"['Sacchettino', 'wikidata:en:Q146174', 'PAP 21']",['Italia'],,,,,,,,
368,Kinder bueno white gaufrettes enrobees de chocolat blanc 12 x2 barres - 468g,8000500290552,468 g,"['Kinder', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées aux noisettes']",,,['France'],"['Chocolat blanc 28% ', 'beurre de cacao', 'sucre', 'lait écrémé en poudre', 'beurre concentré', 'émulsifiants : lécithines [soja]', 'arômes', 'sucre', 'huile de palme', 'farine de froment', 'lait écrémé en poudre', 'lait en poudre', 'noisettes broyées 5%', 'lactoserum en poudre', 'amidon de froment', 'cacao maigre 0,4%', 'huile de tournesol', 'protéines de lait', 'émulsifiants : lécithines [soja]', 'poudres à lever ', ""carbonate acide d'ammonium"", 'carbonate acide de sodium', 'arômes', 'sel']","['E322i - Lécithine', ""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,35.9 g,en quantité élevée,19.8 g,en quantité élevée,43.6 g,en quantité élevée,0.356 g,en quantité modérée,2387,+0%,572,+0%,2387 kj(572 kcal),+0%,"35,9",-3%,"19,8",+14%,53,+6%,"43,6",+5%,"8,8",+2%,"0,356",+22%,"0,142",+22%,27,+1%,E,+1%,,,,,,,,,['carton emballé'],,"KINDER BUENO WHITE : Fines gaufrettes enrobées de chocolat blanc et de pépites au cacao (6,5%), fourrées lait et noisettes broyées",,,,['Huile de palme'],,,
369,"Rigoni Di Asiago, NOCCIOLATA - 270g",8001505000399,270 g,['RIGONI DI ASIAGO'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['Bio', 'Bio européen', 'IT-BIO-007', 'en:palm-oil-free', 'AB Agriculture Biologique']",,"['France', 'Suisse']",[],,,['Sans huile de palme'],,32 g,en quantité élevée,5.7 g,en quantité élevée,51 g,en quantité élevée,0.12 g,en faible quantité,?,,544,-1%,2276 kj(544 kcal),-1%,32,-6%,"5,7",-26%,54,+5%,51,+7%,"8,1",+19%,"0,12",+17%,"0,048",+17%,17,-18%,D,-18%,C,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Bocal', 'Verre']",['Italie'],,,,,,,,
370,Fiordifrutta Citrons - Rigoni di Asiago - 260g e,8001505005844,260 g e,['Rigoni di Asiago'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", 'Confitures de citron']","['Bio', 'Bio européen', 'en:gluten-free', 'Kascher', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'IT-BIO-007']",['Auchan'],['France'],"['Jus de pommes', 'citrons 30%', 'gélifiant : pectine']",['E440 - Pectines'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,0.12 g,en faible quantité,?,,198,-12%,828 kj(198 kcal),-11%,0,-100%,0,-100%,48,-9%,47,-5%,0,-100%,"0,12",+438%,"0,048",+438%,10,+1%,C,+1%,C,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['Verre', 'Bocal', 'Couvercle métal']",['Italie'],,,,,,,,
371,Eau Gazeuse San Pellegrino,8002270002045,,['San Pellegrino'],"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Boissons sans alcool', 'Eaux gazeuses', 'Boissons sans sucre ajouté']",,,"['France', 'Espagne']",['Sulfites bicarbonate calcium magnésium potassium nitrates sodium silicium'],,,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),-100%,0,-100%,0,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,,,,,,,,,,
372,Spaccatini corti al sesamo - panealba - 250g,8002333007895,250g,['Panealba'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Fabriqué en Italie'],,['France'],"['farine de blé', 'graines de sésame 5%', 'huile de palme', 'lévure de bière', 'farine de blé malté', 'sel', 'Contient gluten,']",,"['Gluten', 'Graines de sésame']","['Huile de palme', 'Végétalien', 'Végétarien']",3,13.5 g,en quantité modérée,3.8 g,en quantité modérée,3.1 g,en faible quantité,1.6 g,en quantité élevée,?,,444,-4%,1858 kj(444 kcal),-5%,"13,5",-32%,"3,8",-30%,"63,2",+6%,"3,1",-21%,"15,4",+56%,"1,6",-20%,"0,64",-20%,11,-29%,D,-29%,C,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['sachet plastique'],,,,,,['Huile de palme'],,,
373,Griss d'or - panealba - 250gr,8002333010017,250gr,['Panealba'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['Fabriqué en Italie'],['Fruiti Royan'],['France'],"['farine de blé', 'huile de palme', 'olives noire 9%', 'levure de bière', 'farine de blé malté', 'sel', ' Contient gluten', 'peut contenir traces de sésame', ""résidus noyau d'olive""]",,['Gluten'],['Huile de palme'],3,14 g,en quantité modérée,4 g,en quantité modérée,2.9 g,en faible quantité,1.6 g,en quantité élevée,?,,447,+6%,1870 kj(447 kcal),+6%,14,+30%,4,+77%,68,+2%,"2,9",+16%,10,-12%,"1,6",-16%,"0,64",-16%,11,-14%,D,-14%,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,['Plastique'],['Italie'],Gressins aux olives noires,,,http://Www.panealba.it,['Huile de palme'],,,
374,Lindor - Lait Noisette - Lindt - 200g,8003340092157,200 g,"['Lindt', 'Lindt  & Sprüngli']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']","['Point Vert', 'Fabriqué en Italie']",,['France'],"['Sucre', 'matière grasse végétale ', 'coprah', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'poudre de lait', 'noisettes ', '4,2%', 'poudre de lait écrémé', 'lactose', 'beurre laitier concentré', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arômes']",['E322i - Lécithine'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,48 g,en quantité élevée,35 g,en quantité élevée,40 g,en quantité élevée,0.21 g,en faible quantité,?,,627,+19%,2623 kj(627 kcal),+19%,48,+50%,35,+101%,42,-20%,40,-16%,"5,1",-13%,"0,21",+37%,"0,084",+37%,25,+2%,E,+2%,,,,,,,,,"['PP 05', 'Green dot', 'Boite carton', 'Sachet plastique']","['Lindt and Sprüngli', '21056', 'Induno Olona', 'Italy', 'Italie']",Fins chocolats aux noisettes fourrés d'un suprême fondant,,,,['Huile de palme'],,,
