,name,bar_code,quantity,brand,categories,labels,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,generic_name,ingredients_origins,traceability_code,link,palm_ingredients,producer_info,brand_owner,origin_detail
10,Bâtonnet croustillant à la mozzarella et à l'emmental 14% de matière grasse - U - 10unités soit 180g,3256226401436,10 unités soit 180 g,['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Transformé en France'],['Magasins U'],['France'],"['Garniture 52% : mozzarella 23% ', 'contient lait origine UE', 'eau', 'emmental 13% ', 'contient lait origine France', 'sel', 'fécule de manioc', 'épaississants : farine de graines de caroube', 'gomme xanthane', ' Panure frite 48% : farine de blé ', 'contient gluten', 'riz soufflé 10,2%', 'huile de tournesol', 'eau', 'sucre', ""extrait de malt d'orge "", 'contient gluten', 'blanc d oeuf', 'sel', 'gluten de blé', 'conservateur : sorbate de potassium', ' Pourcentages exprimés sur le produit fini']","['E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,15 g,en quantité modérée,9 g,en quantité élevée,2 g,en faible quantité,1.5 g,en quantité modérée,1252,+0%,299,-9%,1252 kj(299 kcal),-9%,15,-44%,9,-49%,28,+2214%,2,+170%,13,-36%,"1,5",+15%,"0,6",+15%,12,-12%,D,-12%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Frais'],,,,"['FR 88.115.001 CE', 'Corcieux (Vosges, France)']",,,,,
11,Croustillant fruits sans gluten - U - 375g,3256226402518,375 g,['U'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",['Sans gluten'],['Magasins U'],['France'],"[""Flocons d'avoine 69%"", 'sucre', 'huile de colza', 'fruits rouges lyophilisés 3% ', 'fraises', 'mûres', 'framboises', 'sirop de glucose', 'miel', ' Sans gluten']",,"['Gluten', 'Avoine']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,17 g,en quantité modérée,2 g,en quantité modérée,15 g,en quantité élevée,0.03 g,en faible quantité,1889,+11%,450,+13%,1889 kj(450 kcal),+13%,17,+95%,2,-9%,62,-7%,15,-10%,"8,7",-7%,"0,03",-92%,"0,012",-92%,-1,-119%,A,-119%,B,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['sachet refermable'],,,['France'],['FR-058-045'],,,,,
12,Fromage au lait pasteurisé Emmental français râpé 29% de MG - U - 750g,3256226408664,750 g,['U'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages pasteurisés', 'Fromages râpés', 'Emmentals râpés']","['Lait Français', 'Fabriqué en France', 'en:lait-francais-french-milk']",['Magasins U'],['France'],"['LAIT de vache pasteurisé ', 'France', 'sel', 'ferments ', 'dont LAIT', 'coagulant microbien']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,29 g,en quantité élevée,19.5 g,en quantité élevée,2 g,en faible quantité,0.9 g,en quantité modérée,1566,+1%,377,+1%,1566 kj(377 kcal),+0%,29,+0%,"19,5",-1%,2,+121%,2,+396%,27,-1%,"0,9",+19%,"0,36",+19%,12,+1%,D,+1%,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Frais'],,,,,,,,,
13,Pur jus de pomme de Bretagne 3 fruits de chez nou3s - super U - 1l,3256226414498,1 l,"['super U', 'U']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', 'Jus de pomme']",['Transformé en France'],['Magasins U'],['France'],"['Jus de pomme de Bretagne ', 'France', "" L'ingrédient de ce produit provient de France""]",,,[],1,0.1 g,en faible quantité,0 g,en faible quantité,11.1 g,en quantité élevée,0.01 g,en faible quantité,198,+4%,47,+2%,198 kj(47 kcal),+4%,"0,1",-39%,0,-100%,"11,1",+2%,"11,1",+8%,"0,3",+41%,"0,01",-8%,"0,004",-8%,5,+21%,C,+21%,B,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,['Bouteille'],,,['Jus de pomme de Bretagne'],,,,,,
14,Barres de céréales enrobées au chocolat et banane - U Oxygn - 156g,3256226754167,156 g,"['U Oxygn', 'U']",,,['Magasins U'],['France'],"[""Céréales 32,8% [flocons d'AVOINE 19,7%"", 'céréales croustillantes 13,1% ', 'farine de BLÉ', 'sucre', 'dextrose', 'sel', ']', 'chocolat au lait 28% ', 'sucre', 'beurre de cacao', 'LAIT entier en poudre', 'pâte de cacao', 'émulsifiant: lécithines de SOJA et tournesol', 'extrait de vanille', 'sirop de glucose', 'flocons de banane 4,9%', 'huile de tournesol', 'stabilisant: sorbitols', 'chips de banane 1,6% ', 'banane', 'huile de coco', 'sucre', 'arôme naturel', 'caramel aromatique ', 'sirop de glucose', 'eau', 'sucre', 'antioxydant: extrait riche en tocophérols', 'émulsifiant: lécithines de SOJA', ' Traces éventuelles de sulfites', 'arachides et fruits à coque']","['E322i - Lécithine', 'E420 - Sorbitol', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Avoine', 'Soja']",['Non végétalien'],4,,,,,,,,,1873,,446,,1873 kj(446 kcal),,16,,"8,7",,68,,35,,"5,8",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,
15,Gazpacho - U Bio - 75cl,3256227091711,75 cl,"['U Bio', 'U']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']","['Bio', 'Bio européen', 'en:FSC', 'AB Agriculture Biologique']","['Magasins U', 'Super U']","['Danemark', 'France']","['Légumes 95', '2% ', 'tomate* 66%', 'poivron* 15%', 'concombre* 12%', 'oignon*', 'ail* 0', '2%', ""huile d'olive vierge extra* 3%"", 'sel', 'vinaigre de vin*', 'jus de citron*', "" *Issu de l'agriculture Biologique"", "" Les ingrédients de ce produit proviennent d'Espagne""]",,,[],3,3 g,en quantité modérée,0.4 g,en faible quantité,3.2 g,en faible quantité,0.77 g,en quantité modérée,190,+9%,46,+12%,190 kj(46 kcal),+10%,3,+22%,"0,4",+4%,"3,5",+4%,"3,2",+25%,"0,6",-24%,"0,77",+16%,"0,308",+16%,-3,-352%,A,-352%,A,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,"['Carton', 'brique']",,,,,,,,,
16,Kid Smile - McCain - 750g,3256830000018,750 g,['McCain'],['Surgelés'],"[""Fabriqué dans l'UE"", 'Sans conservateurs']",['Cora'],['France'],"['Pommes de terre ', '74,5%', 'pommes de terre déshydratées', 'huile de tournesol ', '8,5%', 'sel', 'amidon', 'stabilisant : E464', 'poivre']",['E464 - Hydroxypropylméthylcellulose'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,8.5 g,en quantité modérée,0.9 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,?,,195,+13%,816 kj(195 kcal),+13%,"8,5",+14%,"0,9",-75%,"25,5",+31%,"0,5",-95%,"2,5",-50%,"0,5",+23%,"0,2",+23%,0,-100%,B,-100%,,,,,,,,,"['Sachet', 'Plastique', 'Surgelé', 'Sachet']",['Union Européenne'],"Préparation à base de purée de pommes de terre, préfrite, surgelée",,,,,,,
17,Emmental français râpé - Cora - 200g,3257980891730,200 g,"['Cora', 'Groupe Louis Delhaize']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Fromages râpés', 'Emmentals râpés', 'Fromages industriels']",['Riche en calcium'],"['Match', 'Cora', 'Delhaize']","['Belgique', 'France']","['Lait', 'sel', ""ferments lactiques et d'affinage"", 'coagulant']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,1576,+2%,379,+2%,1576 kj(379 kcal),+1%,29,+0%,20,+2%,1,+10%,"< 0,5",+24%,28,+3%,"0,6",-21%,"0,24",-21%,10,-16%,C,-16%,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Frais', 'Sachet plastique', 'packet']","[""EPE (Filiale Fromagerie de l'Ermitage) - 88140 Saulxures-lès-Bulgnéville"", 'Vosges', 'Lorraine', 'France']","Fromage industriel de France, à pâte pressée cuite, au lait de vache, râpé",['France'],"['FR 88.446.004 CE', 'Saulxures-lès-Bulgnéville (Vosges, France)', 'EMB 88446', 'Saulxures-lès-Bulgnéville (Vosges, France)']",,,,,
18,Parmigiano Reggiano - Cora - 70g,3257981314733,70 g,['Cora'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages râpés', 'Parmigiano Reggiano']",['AOP'],['Cora'],['France'],"['Lait', 'sel', 'présure']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,26.7 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,393,-2%,1650 kj(393 kcal),-1%,"26,7",-10%,20,+1%,0,-100%,0,,"33,3",+3%,"1,6",0%,"0,64",0%,16,-4%,D,-4%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Sachet', 'Plastique']",['Italie'],Parmesan râpé,,['IT 08-76 CE'],,,,,
19,Lait d'Amande - Cora Nature Bio - 1L,3257985312957,1 L,['Cora Nature Bio'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande"", 'Boissons avec sucre ajouté']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"['Eau - amande** 7% - sucre de canne** - arôme naturel - épaississant: farine de graine de caroube', "" *Ingrédients issus de l'agriculture biologique""]",['E410 - Gomme de caroube'],['Fruits à coque'],"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,4.1 g,en quantité modérée,0.4 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,?,,64,+68%,268 kj(64 kcal),+69%,"4,1",+92%,"0,4",+61%,"4,9",+32%,"4,2",+52%,"1,7",+97%,"0,025",-72%,"0,01",-72%,-1,-780%,A,-780%,D,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,,,
