,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
0,Kägi Classic,7610046000266,['Kägi'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées biscuitées']",['France'],"['Sucre', 'graisse de palme', 'farine de froment', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'cacao en poudre', 'noisettes', 'fibres de blé moulues', ""jaune d'oeuf en poudre"", 'émulsifiant: lécithine de soja', 'sel de cuisine', 'poudre à lever: bicarbonate de sodium', 'extrait de vanille']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",['Huile de palme'],"['Gluten', 'Fruits à coque']","['Huile de palme', 'Non végétalien', 'Végétarien']",4,35 g,en quantité élevée,25 g,en quantité élevée,38 g,en quantité élevée,0.24 g,en faible quantité,?,,559,+10%,2339 kj(559 kcal),+9%,35,+23%,25,+60%,57,+1%,38,-13%,"6,4",-7%,"0,24",-12%,"0,096",-12%,25,+2%,E,+2%,,,,,,,,,,,,,,,,,,,,
1,Saucisse cocktail,3017800198544,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses cocktail']",['France'],[],,,,[],,19 g,en quantité modérée,6.5 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,898,+262%,3757 kj(898 kcal),+261%,19,-12%,"6,5",-19%,"0,5",-70%,"0,5",-32%,12,+2%,"1,6",-16%,"0,64",-16%,23,+30%,E,+30%,E,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,,,,,
2,"Craquines Sésame, lin, chia",3389090022367,,,['France'],[],,,,[],,,,,,,,,,?,,433,,1812 kj(433 kcal),,15,,"5,7",,60,,"5,5",,12,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,
3,Miel,3539710000019,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Porc,8421395300230,,,['France'],[],,,,[],,,,,,,,,,?,,447,,1870 kj(447 kcal),,"35,2",,"13,2",,"7,1",,"1,6",,"25,3",,"3,3",,"1,32",,,,,,,,,,,,,,,,,,,,,,,,,
5,Pain au chocolat,0260206013123,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,
6,3% Greek Style Frozen Yogurt Vanilla -,00334594,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Surgelés', 'Desserts glacés', 'Yaourts', 'Yaourts glacés', 'Yaourts à la grecque']",['France'],[],,,,[],,2.8 g,en faible quantité,1.8 g,en quantité modérée,0.5 g,en faible quantité,0.018 g,en faible quantité,?,,141,-17%,590 kj(141 kcal),-16%,"2,8",-54%,"1,8",-55%,"22,8",-7%,"0,5",-98%,"6,1",+79%,"0,018",-86%,"0,007",-86%,-1,-113%,A,-113%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,,
7,Vinaigre balsamique,3350033317321,,"['Vinaigres', 'Vinaigres balsamiques']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,18 g,en quantité élevée,0.01 g,en faible quantité,?,,84,-43%,351 kj(84 kcal),-42%,0,-100%,0,-100%,20,-35%,18,-35%,"1,1",+73%,"0,01",-88%,"0,004",-88%,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
8,Fromage à tartiner,3272770098113,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",['France'],[],,,,[],,17.8 g,en quantité modérée,13.2 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,?,,205,-12%,858 kj(205 kcal),-13%,"17,8",-15%,"13,2",-6%,3,-11%,3,+1%,"8,3",-1%,"1,3",+11%,"0,52",+11%,12,0%,D,0%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
9,Oat cookies,6291104288041,,,['France'],[],,,,[],,,,,,,,,,?,,504,,2109 kj(504 kcal),,26,,12,,59,,33,,7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jambon cru italien,2874252021919,,,['France'],[],,,,[],,,,,,,,,,?,,242,,1013 kj(242 kcal),,14,,"5,1",,0,,0,,29,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,
11,Churry chia,7613312221419,,,['France'],[],,,,[],,,,,,,,,,?,,31,,130 kj(31 kcal),,"0,5",,0,,"4,5",,"0,7",,"1,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
12,Soupe de Châtaigne - Charles Antona - 480g,3425470208164,['Charles Antona'],,['France'],[],,,,[],,,,,,,,,,?,,65,,272 kj(65 kcal),,"0,8",,"0,1",,15,,"2,7",,1,,"0,56",,"0,224",,,,,,,,,,,,,,480 g,"['Point Vert', 'Fabriqué en France']",,,,,,,,,,
13,Chocolat en poudre aromatisé cappuccino,5413415915855,,,['France'],[],,,,[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,"6,9",,"4,2",,70,,66,,"6,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
14,Salsa medium - Poco Loco,5412514936228,['Poco Loco'],,['France'],[],,,,[],,,,,,,,,,?,,32,,134 kj(32 kcal),,"0,1",,"0,1",,6,,4,,"1,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
15,Yaourt,6111243090520,,,['France'],[],,,,[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"3,3",,0,,"12,4",,0,,"3,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
16,Soupe Asia Noodle,7613312203361,,,['France'],[],,,,[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"0,5",,"0,1",,7,,"1,3",,"1,4",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,
17,Etiaxil Anti-transpirant Protection 48h - 40ml,3401360114739,['Etiaxil'],"['Non alimentaire', 'Open Beauty Facts']",['France'],"['aluminium sesquuchlorohydrate', 'paraffium liquidum', 'cyclopentasiloxane', 'C12-15 alkyl benzoate', 'stearyl alcohol', 'cetyl alcohol', 'hydrogenated castor oil', 'trilaurin', 'triethyl citrate', 'parfum', '2-methyl 5-cyclohexypentanol', 'magnésium trisiliacate', 'diatomaceous earth']","['E173 - Aluminium', 'E1505 - Citrate de triéthyle']",,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,40ml,,['Pharmacie'],,,,,,,,,
18,Pineau des Charentes blanc,3257980274502,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Groent Soep,8711200355822,,,['France'],[],,,,[],,,,,,,,,,?,,27,,113 kj(27 kcal),,"0,7",,"0,3",,"3,2",,"0,7",,"1,5",,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,
20,Zuckererbsen Kaiserschoten - 200g,4311527569700,,,"['France', 'Allemagne']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
21,Rosenkohl - 200g,4250154815609,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Choux de Bruxelles']","['France', 'Allemagne']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,A,64.5%,0.0%,0.0%,15.9%,18.9%,0.8%,98,200 g,,,['Netz'],,,,,,,,
22,Sauce Yakitori,3265960407796,,"['Epicerie', 'Sauces', 'Sauces Yakitori']",['France'],[],,,,[],,0 g,en faible quantité,0 g,en faible quantité,39 g,en quantité élevée,5.9 g,en quantité élevée,?,,203,+17%,849 kj(203 kcal),+17%,0,-100%,0,-100%,42,+17%,39,+34%,"5,1",+15%,"5,9",-17%,"2,36",-17%,20,+20%,E,+20%,,,,,,,,,,,,,,,,,,,,
23,Vin,3262151637185,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Radis,8050762420006,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Phd smart protein,5060119298229,,,['France'],[],,,,[],,,,,,,,,,?,,388,,1623 kj(388 kcal),,10,,6,,12,,3,,62,,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,
26,Saumon fume de Norvège - Auchan - 100g,3596710465989,['Auchan'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['France'],[],,,,[],,11 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,?,,188,-2%,787 kj(188 kcal),-1%,11,-1%,"1,5",-30%,"0,5",+1%,"0,5",+40%,22,-0%,3,+4%,"1,2",+4%,13,-4%,D,-4%,D,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,100 g,"['Nutriscore', 'Nutriscore D']",['Auchan'],,['Norvège'],,,,,,,
27,Filet de poulet - La Nouvelle Agriculture,0213400024402,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,,[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,440,+236%,1841 kj(440 kcal),+239%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,0,,B,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
28,Aligot,3550090018470,,,['France'],[],,,,[],,,,,,,,,,?,,161,,674 kj(161 kcal),,10,,"7,1",,"10,3",,"0,1",,"7,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
29,Makabi Cheddar Spreadable Cheese 140G,9000133251769,,,['France'],[],,,,[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,20,,13,,5,,5,,10,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,
30,Mellin 1,5900852940026,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Crème de cassis,3258565370190,,"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Crèmes de cassis']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,63.1%,4.5%,22.9%,6.4%,2.0%,1.1%,36,,,,,,,,,,,,
32,Chorizo piquant,8426761002473,,,['France'],[],,,,[],,,,,,,,,,?,,306,,1280 kj(306 kcal),,22,,"8,4",,"1,5",,"1,5",,25,,"3,5",,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,
33,Foie gras entier de canard du sud ouest - Monoprix Gourmet - 180g,3350031723926,"['Monoprix Gourmet', 'Monoprix']","['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']",['France'],['foie gras de canard 98% - sel - poivre - sucre'],,,,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,58 g,en quantité élevée,25 g,en quantité élevée,1.1 g,en faible quantité,1.1 g,en quantité modérée,?,,560,+6%,2343 kj(560 kcal),+6%,58,+7%,25,+8%,"1,5",-38%,"1,1",-19%,"8,1",+7%,"1,1",-8%,"0,44",-8%,20,-3%,E,-3%,B,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,180 g,"['IGP', 'Sans nitrite de sodium']",['Monoprix'],,,"['FR 46.102.004 CE', 'Figeac (Lot, France)']",,,,,,
34,Saint André,3113870003808,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Tiramisu -,26042251,,"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Tiramisu']",['France'],"['eau', 'sirop de glucose', 'lait écrémé en poudre', 'mascarpone 6,8% ', 'crème', 'lait', ""correcteur d'acidité : acide lactique "", 'lait', 'génoise ', 'farine de blé', 'eufs', 'sucre', ""émulsifiant : mono - et diglycérides d'acides gras "", 'de colza', 'poudres à lever : diphosphates - carbonates de sodium', 'sucre', 'œufs', 'huile de tournesol', 'alcool', 'vin Marsala 1,4%', 'décoration au cacao ', 'cacaO 0,4%', 'dextrose', 'amidon de maiïs', 'sucre', 'beurre de cacao', 'fibre végétale', 'café soluble 0,6%', 'épaississant : carraghénanes', ""émulsifiant : mono - et diglycérides d'acides gras "", 'de colza', 'arômes naturels ', 'lait', 'eufs', 'extrait de café', ' Teneur en alcool 1,6%']","['E270 - Acide lactique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,"['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,8.6 g,en quantité modérée,3.1 g,en quantité modérée,20 g,en quantité élevée,0.16 g,en faible quantité,?,,230,-13%,962 kj(230 kcal),-13%,"8,6",-28%,"3,1",-61%,30,-7%,20,-6%,"4,4",+6%,"0,16",-9%,"0,064",-9%,7,-49%,C,-49%,E,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,,,,,,,,,,,
36,Mayonnaise premium,3662444003008,,"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],[],,,,[],,66 g,en quantité élevée,5 g,en quantité modérée,3 g,en faible quantité,0.48 g,en quantité modérée,?,,612,-0%,2561 kj(612 kcal),+0%,66,-0%,5,-19%,3,+12%,3,+105%,"1,2",-2%,"0,48",-64%,"0,192",-64%,13,-27%,D,-27%,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,
37,stacker barbarian - 55g,8717472073112,['Stacker'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['France'],"['26% de chocolat blanc avec édulcorant [FR] Barre protéinée de chocolat blanc', 'cacahuètes [ES pr ca ', 'édulcorant maltitol', 'beurre de cacao', 'poudre de lait entier', 'e émulsifiant lécithines de soja', 'arôme naturel', 'protéines de pe lait', 'humectant glycérine', 'hydrolysat de collagène', 'eau', 'le isolat de protéines de soja', '5% cacahuètes', '4% chips de soja ', 'protéines de soja isolées', 'amidon de tapioca', ""extraits de malt d'orge"", 'sel', 'isomalto-oligosaccharide', 'graisse de palme', 'pâte de cacahuètes', 'lait chocolat avec édulcorant c ', 'édulcorant maltitol', 'beurre de cacao', 'poudre de lait', 'masse de cacao', 'émulsitfiant lecithines de soja', 'arôme', 'arôme', 'édulcorant sucralose']","['E965 - Maltitol', 'E422 - Glycérol', 'E955 - Sucralose']",['Huile de palme'],"['Gluten', 'Lait', 'Arachides']","['Huile de palme', 'Non végétalien']",4,18 g,en quantité modérée,9 g,en quantité élevée,3.1 g,en faible quantité,0.42 g,en quantité modérée,?,,216,-42%,904 kj(216 kcal),-42%,18,+38%,9,+53%,31,-5%,"3,1",-77%,36,+23%,"0,42",-14%,"0,168",-14%,10,-3%,C,-3%,,,,,,,,,55 g,['Riche en protéines'],,['Plastique'],,,Barre chocolat blanc cacahuètes,,,,,
38,Filet de poulet - La Nouvelle Agriculture,0213400020794,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],,,,[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
39,"""70CL Whisky 12 Ans the Macallan+etui 40 °"" - 70cL",5010314048907,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,70 cL,,,,,,,,,,,
40,2 Apple Strudels surgelés,4008577061505,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Infusion Mei li amincissante et drainante,3760249070789,,,['France'],[],,,,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
42,Emmental Francais - Tous à Table - 500g,0262200024273,['Tous à Table'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],"['Lait pasteurisé de vache ', 'Origine : France', 'sel', 'ferments ', 'dont lait', 'enzyme coagulante']",,,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.64 g,en quantité modérée,?,,380,+0%,1590 kj(380 kcal),+1%,30,+2%,21,+6%,"0,5",-18%,"0,5",+6%,27,-3%,"0,64",+9%,"0,256",+9%,11,-2%,D,-2%,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,500g,"['Point Vert', 'en:Lait-francais-french-milk']",['super u'],"['conditionne sous atmosphère protectrice', 'Sachet plastique']",['France'],,Emmental,,,,,
43,Sal de mesa,5601002109071,,,['France'],"['Sl de mesa predientes eihado e antiaglomerante ', 'ferrocianeto de scdo Conselhos de Conservação Conservar à temperatura ambiente em local Ge00 e arejado', 'Serviço Auchan Auchan Portugal Hipermercados', 'S,A', 'Travessa Teixeira Júnior', 'n°1 1300-553 Lisboa', ""E-mail: info,MarcaAuchan@auchan,pt 6601002 109071' 250g""]",,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Organic mamia,25463651,,,['France'],[],,,,[],,,,,,,,,,?,,336,,1406 kj(336 kcal),,"0,5",,"0,1",,17,,16,,"0,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
45,Frutos secos,8413080000952,,,['France'],[],,,,[],,,,,,,,,,?,,558,,2335 kj(558 kcal),,"36,7",,"4,4",,33,,"4,8",,"18,7",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
46,Bouteille De Vin Rouge Cuvee Du President Algerie,6130302000140,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Colin d'Alaska,20671389,,,['France'],[],,,,[],,,,,,,,,,?,,183,,766 kj(183 kcal),,"8,8",,1,,13,,"1,7",,13,,"0,98",,"0,392",,,,,,,,,,,,,,,,,,,,,,,,,
48,GROENE THEE EARL GREY,0840011102191,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Pain soleil coupé,5450005053818,,,['France'],[],,,,[],,,,,,,,,,?,,237,,992 kj(237 kcal),,"0,8",,"0,2",,"48,5",,"1,5",,"7,7",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
50,Yaourt,3770002743065,,,['France'],[],,,,[],,,,,,,,,,?,,82,,343 kj(82 kcal),,"3,8",,"2,4",,"8,2",,"8,2",,"3,7",,"1,2",,"0,48",,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,
51,A la béarnaise -,3228021170114,,"['Epicerie', 'Sauces', 'Sauces béarnaises']",['France'],[],,,,[],,12.1 g,en quantité modérée,8.7 g,en quantité élevée,0.2 g,en faible quantité,2 g,en quantité élevée,?,,174,-60%,728 kj(174 kcal),-59%,"12,1",-72%,"8,7",+55%,"2,3",-52%,"0,2",-92%,"14,1",+1105%,2,+23%,"0,8",+23%,18,+10%,D,+10%,D,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,,,,,,,,
52,Tamara,3292070002085,,,['France'],[],,,,[],,,,,,,,,,?,,571,,2389 kj(571 kcal),,59,,"4,2",,"4,7",,"0,5",,"5,2",,"1,05",,"0,42",,,,,,,,,,,,,,,,,,,,,,,,,
53,Paupiettes de porc,3273230635169,,,['France'],[],,,,[],,,,,,,,,,?,,329,,1377 kj(329 kcal),,29,,11,,2,,"0,5",,15,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
54,Apfel-saft aus Apfelsaftkonzentrat klar,4337185559150,,,['France'],[],,,,[],,,,,,,,,,?,,44,,184 kj(44 kcal),,"0,5",,"0,1",,10,,"9,8",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
55,Méga XXL Neon Bear,8410525240300,,,['France'],[],,,,[],,,,,,,,,,?,,323,,1351 kj(323 kcal),,0,,0,,76,,52,,6,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
56,Tomme fumée,3176582013022,,,['France'],[],,,,[],,,,,,,,,,?,,340,,1423 kj(340 kcal),,28,,"18,45",,1,,"0,1",,21,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
57,Surinaamse sambal extra hot,8718215930068,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Gateaux aux oeufs - Devos - 240g,5411423101758,['Devos'],"['Biscuits et gâteaux', 'Gâteaux', 'Goûter']",['France'],"['sucre', 'farine de blé', 'margarine ', 'huile de colza', 'graisses végétales ', 'palme', 'coco', 'eau', ""émulsifiant: - wa mono - et diglycerides d'acides gras"", 'acidifiant: acide citrique', '11,1% fantaisie de cacao ', 'sucre', 'graisses végétales', 'cacao maigre en dor poudre', 'stabilisant : E492', 'émulsifiant lécithine de soja', 'arôme naturel vanille', '9', '8% oeuf pasteurisé', 'amidon de blé', 'stabilisant: da sorbitols', ' farine de soja', 'humectant: glycérol', ' sucre inverti', ""poudre à lever: carbonates d'ammonium"", ' sel', 'émulsifiant: lécithines ', 'soja', ' Koo maltodextrine', 'épaississants: carraghénanes', 'gomme guar', 'gomme xanthane', ' conservateur: propionate de calcium', ' amidon de mais', ""Koh pulpe d'orange déshydratée"", 'arômes ', 'vanilline', 'citron', ' Peut contenir des traces de lait']","['E330 - Acide citrique', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', ""E503 - Carbonates d'ammonium"", 'E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E282 - Propionate de calcium']",,"['Gluten', 'Soja']","['Huile de palme', 'Non végétalien']",4,21.5 g,en quantité élevée,12 g,en quantité élevée,35.8 g,en quantité élevée,0.25 g,en faible quantité,?,,452,+16%,1890 kj(452 kcal),+12%,"21,5",-9%,12,+3%,"59,5",+57%,"35,8",+75%,"4,5",-37%,"0,25",-67%,"0,1",-67%,22,+35%,E,+35%,,,,,,,,,240 g,,['Intermarché'],,,,,,,,,
59,Dos d'eglefin congelés,3760121992253,,,['France'],[],,,,[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,2",,"0,1",,"1,3",,"0,3",,"17,3",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,
60,Crunch biscuits,5019605001287,,,['France'],[],,,,[],,,,,,,,,,?,,513,,2146 kj(513 kcal),,"27,6",,"13,7",,"60,8",,"30,9",,"5,3",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
61,Torta turrón duro - Carremi,8410538001127,['Carremi'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",['France'],[],,,,[],,34 g,en quantité élevée,2.8 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,?,,545,+1%,2280 kj(545 kcal),+2%,34,+2%,"2,8",-1%,42,-1%,39,+4%,15,+9%,0,-100%,0,-100%,16,+12%,D,+12%,E,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
62,Sesame mochi,4712905050382,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Mochi']",['France'],[],,,,[],,4 g,en quantité modérée,1 g,en faible quantité,17 g,en quantité élevée,0.02 g,en faible quantité,?,,140,-54%,586 kj(140 kcal),-55%,4,-0%,1,-29%,24,-63%,17,-43%,2,-21%,"0,02",-89%,"0,008",-89%,3,-71%,C,-71%,,,,,,,,,,,,,,,,,,,,
63,Caviar français,3760115034327,,,['France'],[],,,,[],,,,,,,,,,?,,233,,975 kj(233 kcal),,"13,3",,"1,9",,"2,7",,0,,"25,5",,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,
64,BIERE BS AMBREE - Brasseurs Savoyards,3760009534056,"['Brasseurs Savoyards', 'BS']",,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,KinderMix,4001686719602,,,['France'],[],,,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"0,5",,"0,1",,80,,45,,"1,9",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,
66,Select protein chocolate cupcake,0040232543043,,,['France'],[],,,,[],,,,,,,,,,?,,385,,1611 kj(385 kcal),,"4,5",,"1,5",,"4,5",,"4,5",,72,,"0,627",,"0,251",,,,,,,,,,,,,,,,,,,,,,,,,
67,Céréales Biologique O's Entier,0058449779025,,,['France'],[],,,,[],,,,,,,,,,?,,400,,1674 kj(400 kcal),,5,,0,,"83,333",,"13,333",,"6,667",,"0,958",,"0,383",,,,,,,,,,,,,,,['Bio'],,,,,,,,,,
68,Chocostick,5410651114615,,,['France'],[],,,,[],,,,,,,,,,?,,287,,1201 kj(287 kcal),,20,,14,,23,,23,,"3,2",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
