,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,palm_ingredients,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,markets,packaging,ingredients_origins,traceability_code,generic_name,manufacturing,link,brand_owner,origin_detail,producer_info
1895,vins,3760056650037,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Belvita,11287124,['Belvita'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,Simply Cola,90433801,,,['France'],[],,,,[],,,,,,,,,,?,,39,,163 kj(39 kcal),,0,,0,,"9,2",,"8,8",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Pois chiches,5400141039658,,,"['France', 'États-Unis']",[],,,,[],,,,,,,,,,?,,323,,1351 kj(323 kcal),,"3,5",,"0,4",,48,,0,,20,,0,,0,,,,,,,,,,,,,,,,,['Conserve'],,,,,,,,
1899,Brioche chocolat Prozis,5600499522509,,,['France'],[],,,,[],,,,,,,,,,?,,228,,954 kj(228 kcal),,8,,"2,2",,17,,"3,8",,16,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
1900,Easy breakfast céréales germées moulues,7640149390711,,,['France'],[],,,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,403,,1686 kj(403 kcal),,11,,"1,3",,61,,13,,13,,"0,05",,"0,02",,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
1901,Thé menthe,4030582405012,,,['France'],[],,,,[],,,,,,,,,,?,,395,,1653 kj(395 kcal),,0,,0,,"98,3",,"96,1",,"0,2",,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,
1902,Pâté de printemps,7613269542216,,,['France'],[],,,,[],,,,,,,,,,?,,344,,1439 kj(344 kcal),,21,,8,,28,,2,,10,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
1903,Moutarde mi-forte à la mirabelle - Les Frères Stumpf,3275550003567,['Les Frères Stumpf'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes mi-fortes']",['France'],[],,,,[],,8.6 g,en quantité modérée,0.6 g,en faible quantité,2.3 g,en faible quantité,4.5 g,en quantité élevée,?,,122,-28%,510 kj(122 kcal),-26%,"8,6",-35%,"0,6",-62%,"5,3",+52%,"2,3",+44%,"6,6",+15%,"4,5",+10%,"1,8",+10%,11,-10%,D,-10%,B,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,
1904,Fragoli,8008310070937,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,Carottes extra fines -,3030210541168,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Carottes', 'Carottes en conserve']",['France'],[],,,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,2.9 g,en faible quantité,0.56 g,en quantité modérée,?,,29,-22%,121 kj(29 kcal),-21%,"0,5",+29%,"0,1",+18%,"4,6",-18%,"2,9",-12%,"0,8",-37%,"0,56",-2%,"0,224",-2%,-3,,A,,B,23.7%,34.6%,15.8%,8.2%,11.2%,6.5%,87,,,,,,,,,,,,
1906,Rillette pur porc - La Belle Chaurienne,3245362828115,['La Belle Chaurienne'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",['France'],[],,,,[],,44.8 g,en quantité élevée,16.9 g,en quantité élevée,0.1 g,en faible quantité,1.9 g,en quantité élevée,?,,469,+19%,1962 kj(469 kcal),+19%,"44,8",+22%,"16,9",+20%,"0,1",-80%,"0,1",-71%,"16,3",+3%,"1,9",+48%,"0,76",+48%,23,+18%,E,+18%,D,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,
1907,Sauce marinade poulet,3264432344140,,,['France'],[],,,,[],,,,,,,,,,?,,102,,427 kj(102 kcal),,0,,0,,"23,4",,"22,8",,"2,1",,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1908,Jus Cranberry - Pago,9002515427076,['Pago'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons à la canneberge']",['France'],[],,,,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,253,+87%,?,,253 kj(60 kcal),+73%,"< 0,5",+324%,"< 0,1",+333%,14,+71%,14,+83%,"< 0,5",+252%,0,-100%,0,-100%,19,+74%,E,+74%,C,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,,
1909,La saison des Amours,3760281010088,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,Noisettes décortiquées,3760205500718,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées']",['France'],[],,,,[],,63 g,en quantité élevée,5.22 g,en quantité élevée,3.31 g,en faible quantité,0.009 g,en faible quantité,?,,683,+1%,2858 kj(683 kcal),+2%,63,+1%,"5,22",+7%,"5,62",-39%,"3,31",-18%,"16,4",+8%,"0,009",-71%,"0,004",-71%,3,+400%,C,+400%,C,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,
1911,"Monin Monin Kaffee-sirup, Monin ""haselnuss"", 50 ml",3052910034498,['Monin'],,['France'],[],,,,[],,,,,,,,,,?,,314,,1314 kj(314 kcal),,0,,0,,"78,6",,"78,2",,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
1912,Amandes émondées - La Vie Claire - 125g,3266191013640,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes']",['France'],[],,,,[],,52 g,en quantité élevée,3.95 g,en quantité modérée,4.63 g,en faible quantité,0.04 g,en faible quantité,?,,618,-1%,2586 kj(618 kcal),-1%,52,-2%,"3,95",-14%,"10,6",-20%,"4,63",+7%,"21,4",+10%,"0,04",-46%,"0,016",-46%,1,-42%,B,-42%,E,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,125 g,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,
1913,Puglia - Auchan,8005476927099,['Auchan'],,['France'],[],,,,[],,,,,,,,,,?,,367,,1536 kj(367 kcal),,"1,5",,"0,6",,"75,5",,"1,3",,12,,0,,0,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
1914,Beignet chocolat noisette,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['France'],[],,,,[],,15 g,en quantité modérée,2.1 g,en quantité modérée,15 g,en quantité élevée,0.77 g,en quantité modérée,?,,365,+3%,1527 kj(365 kcal),+2%,15,-5%,"2,1",-39%,47,+4%,15,-8%,"8,3",+31%,"0,77",+4%,"0,308",+4%,12,0%,D,0%,,,,,,,,,,,,,,,,,,,,
1915,Pain fine croute choco - Auchan - 500g,2030000028306,['Auchan'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],"['farine ', 'farine de BLE', ' germe de BLE', 'GLUTEN de BLE', ' maltde BLE', ' antioxydant E300', 'eau', 'levure', 'sel', 'antiaggiomerant: E535', 'emulsifiant E471', ' pepites de chocolat 10%', ' sucre', 'pate de cacao ', 'beurre de cacao', 'emulsifiant lecithine de tourneso', 'E322', 'arome vanile']","['E300 - Acide ascorbique', 'E535 - Ferrocyanure de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322 - Lécithines']",,['Gluten'],"[""Pourrait contenir de l'huile de palme""]",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,500 g,,['Auchan'],['Plastique'],,,pain au chocolat,,,,,
1916,Cornes Beef,3173820003043,,,['France'],[],,,,[],,,,,,,,,,?,,231,,967 kj(231 kcal),,16,,"7,2",,"0,5",,"0,4",,21,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
1917,Riso de mulino,8019088000668,,,['France'],[],,,,[],,,,,,,,,,?,,349,,1460 kj(349 kcal),,"0,8",,"0,2",,"78,2",,"0,7",,"6,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1918,Bananen,2123441000854,,,"['France', 'Suisse']",[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,,
1919,Confiture extra - Beyer,3299341106572,['Beyer'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,3338221000491,3338221000491,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Tarte clan nature - 650g,2644940019685,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,650 g,,,,,,,,,,,
1922,Déca 100% arabica - Delhaize,5400113527107,['Delhaize'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",['Delhaize'],,,,,,,,,
1923,Thé vert gunpowder,3700968100367,,,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1L Soja Nature -,4038375024204,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']","['France', 'Espagne']",[],,,,[],,2.1 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en faible quantité,0.05 g,en faible quantité,?,,41,+2%,172 kj(41 kcal),+2%,"2,1",+607%,"0,6",+929%,2,-76%,"0,8",-89%,"3,5",+807%,"0,05",+105%,"0,02",+105%,5,-15%,C,-15%,,,,,,,,,,['Bio'],,,,,,,,,,
1925,Vodka Eristoff 70cl 37.5 - 70cL,3011938004661,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas']",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,70 cL,,,,,,,,,,,
1926,Cup Mangue -,3760032899009,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Mangues']",['France'],[],,,,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,11.3 g,en quantité modérée,0.005 g,en faible quantité,270,+1%,64,0%,270 kj(64 kcal),+2%,"0,3",-16%,"0,1",+136%,"13,5",-6%,"11,3",-8%,"0,6",-2%,"0,005",-62%,"0,002",-62%,-3,,A,,E,15.0%,0.0%,0.0%,83.7%,1.0%,0.3%,25,,,,,,,,,,,,
1927,Nicciole e cioccolato fondente - Gran Cereale,89757383,['Gran Cereale'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales aux fruits à coques', 'Barre céréalière aux amandes ou aux noisettes', 'Barres de céréales au chocolat', 'Barre céréalière aux noisettes']","['France', 'Italie']",[],,,,['Sans huile de palme'],,18 g,en quantité modérée,3.6 g,en quantité modérée,19 g,en quantité élevée,0.3 g,en quantité modérée,?,,442,+4%,1849 kj(442 kcal),+3%,18,+11%,"3,6",-1%,"56,5",-7%,19,-11%,"9,5",+32%,"0,3",-16%,"0,12",-16%,13,+37%,D,+37%,D,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,,['en:palm-oil-free'],,,,,,,,,,
1928,Cereales Paw Patrol - kellogg's,5053827195522,"[""kellogg's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['France', 'Espagne']",[],,,,[],,3.1 g,en quantité modérée,0.6 g,en faible quantité,15 g,en quantité élevée,0.18 g,en faible quantité,?,,382,-4%,1598 kj(382 kcal),-4%,"3,1",-64%,"0,6",-73%,78,+17%,15,-10%,"7,5",-20%,"0,18",-50%,"0,072",-50%,3,-44%,C,-44%,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Sans colorants'],,,,,,,,,,
1929,Sauce Anchoïade et olives noires,3760053000439,,,['France'],[],,,,[],,,,,,,,,,?,,233,,975 kj(233 kcal),,"20,6",,"3,1",,"0,8",,"0,8",,8,,"6,99",,"2,796",,,,,,,,,,,,,,,,,,,"['EMB 84044', 'Entrechaux (Vaucluse, France)']",,,,,,
1930,Barre Nine Peanut & Raisin,5024278001960,,,['France'],[],,,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,
1931,Vinaigre d'alcool aromatisé Citron - Ducros,3275920064785,['Ducros'],"['Vinaigres', ""Vinaigres d'alcools""]",['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,
1932,Tulipan sin lactosa sin gluten -,8711200333622,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']","['France', 'Espagne']",[],,,,['Sans huile de palme'],,50 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.71 g,en quantité modérée,?,,442,-14%,1849 kj(442 kcal),-13%,50,-11%,20,+23%,"0,5",+24%,"0,5",+107%,"0,5",+121%,"0,71",+25%,"0,284",+25%,14,+21%,D,+21%,C,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,"['Sans lactose', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,
1933,Sauce tomate - Panzani - 390g,3038359006999,['Panzani'],,['France'],[],,,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,390 g,['Fabriqué en Italie'],,,,,,,,,,
