,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
10,Princesse POM POM,3564980380004,,,['France'],[],[],,,,,,,,,?,,50,,209 kj(50 kcal),,"0,1",,0,,12,,"10,9",,"0,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
11,La Néo popote,3431590014813,,,['France'],[],[],,,,,,,,,?,,166,,695 kj(166 kcal),,10,,10,,16,,14,,"1,3",,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,
12,U,3256224757856,['U'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Sardines Marinade Citron, Poivron et Piment Sans Huile - Casino",3222477339378,['Casino'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines sans huile']",['France'],[],[],7 g,en quantité modérée,2.2 g,en quantité modérée,1.4 g,en faible quantité,1 g,en quantité modérée,?,,125,-20%,523 kj(125 kcal),-22%,7,-22%,"2,2",-18%,"1,6",+64%,"1,4",+148%,14,-26%,1,+1%,"0,4",+1%,2,-19%,B,-19%,,,,"['EMB 29046G', 'Douarnenez (Finistère, France)']",,,D,,['Casino'],26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,
14,Terrine de cerf,3269617095428,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de cerf']",['France'],[],[],29 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,325,+18%,1360 kj(325 kcal),+17%,29,+26%,12,+41%,"1,1",-6%,"0,5",+16%,14,-5%,"1,5",-4%,"0,6",-4%,20,+16%,E,+16%,,,"['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,
15,Glace Chocolat,3770010291619,,,['France'],[],[],,,,,,,,,?,,202,,845 kj(202 kcal),,"8,5",,"4,6",,26,,22,,"4,9",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,
16,Arizona - 450ml,0613008753269,['Arizona'],,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,0,,0,,9,,"8,7",,0,,0,,0,,,,,,450 ml,,,,,,,,,,,,,,,,,,,,
17,Sorbet Fraise,3770010291602,,,['France'],[],[],,,,,,,,,?,,123,,515 kj(123 kcal),,0,,0,,27,,22,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Glace Chocolat Blanc Spéculoos,3770010291626,,,['France'],[],[],,,,,,,,,?,,243,,1017 kj(243 kcal),,"7,8",,"4,2",,20,,15,,"4,5",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Colin d'Alaska risotto aux légumes verts coco et citron vert - Picard,3270160862191,['Picard'],,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"2,6",,"2,1",,17,,"0,8",,"5,5",,"0,36",,"0,144",,,,,,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,['Picard'],,,,,,,,,,,,
20,Rosquilletas con aceite de oliva,8430777020086,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,485,,2029 kj(485 kcal),,21,,"2,2",,62,,"1,2",,"9,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pâtes Escargot 2 Warda (500G),6194043402120,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Crêpes Bonnemie - 500g,0201520018371,,,['France'],[],[],,,,,,,,,?,,245,,1025 kj(245 kcal),,"5,4",,3,,40,,20,,"7,2",,"0,66",,"0,264",,,,,,500 g,,,,,,,,,,,,,,,,,,,,
23,Vita jamón cocido extra reducido sal lonchas,8410973112136,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],[],2.1 g,en faible quantité,0.7 g,en faible quantité,1.4 g,en faible quantité,1.6 g,en quantité élevée,?,,101,-23%,423 kj(101 kcal),-23%,"2,1",-56%,"0,7",-62%,"1,4",+109%,"1,4",+135%,"19,2",-9%,"1,6",-14%,"0,64",-14%,3,-57%,C,-57%,,,,,,,E,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,
24,Bruges - Delacre,3116430212634,['Delacre'],,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,"25,5",,"14,8",,"63,7",,"39,6",,"4,9",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,,,,,,,,,
25,Petillant pomme argousier des alpes,3770000265583,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"0,1",,0,,"9,8",,"9,3",,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Thé vert brûleur - Léa Nature,3456300012910,"['Léa Nature', 'Jardin Bio']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,B,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,
27,Celebration special Mix - Snickers Bounty,5000159520249,"['Snickers Bounty', 'Mars Chocolat France', 'Mars']",,['France'],[],[],,,,,,,,,?,,493,,2063 kj(493 kcal),,24,,15,,62,,54,,"5,6",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
28,20230036,20230036,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,
29,Apple crunch con canela - 20g,8436551952840,,,['France'],[],[],,,,,,,,,?,,75,,314 kj(75 kcal),,"0,3",,"0,3",,"16,4",,"14,3",,"0,4",,,,,,,,,,20 g,,"['Bio', 'Bio européen', 'Sans gluten', 'en:EG-Öko-Verordnung', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,
30,Gressins - Monoprix Bio,3350033682542,"['Monoprix Bio', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['France'],[],[],11 g,en quantité modérée,1.1 g,en faible quantité,2.6 g,en faible quantité,1.7 g,en quantité élevée,?,,422,+0%,1766 kj(422 kcal),+0%,11,+2%,"1,1",-51%,69,+3%,"2,6",+4%,10,-12%,"1,7",-11%,"0,68",-11%,13,+2%,D,+2%,,,['Bio'],,,,B,,['Monoprix'],58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,,,
31,Sauce italienne basilique - 290g,8005695020113,,"['Epicerie', 'Sauces', 'Sauces tomate']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,290 g,['boîte'],,,,,B,,,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,
32,Melon,3700370980847,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Biogaran - 240g,3400938167368,['Biogaran'],"['Non alimentaire', 'Open Beauty Facts', 'Médicaments']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,240g,,,,,,,,,,,,,,,,,,,,
34,Crunchy Yogourt Raspberry & Oats - Kölln,4000540013566,['Kölln'],,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"9,9",,"3,8",,67,,21,,10,,"0,49",,"0,196",,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,
