,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
179,Risotto au safran,8027498025669,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,1",,"0,1",,78,,"0,5",,"6,9",,"1,9",,"0,76",,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,
180,3401520524903,3401520524903,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Petits pots vanille & chocolat au sucre de canne - Bio Village - 258g,3564707150514,"['Bio Village', 'Marque Repère']",,['France'],[],[],,,,,,,,,?,,184,,770 kj(184 kcal),,8,,5,,23,,23,,"4,4",,,,,,,,,,258 g,,['Bio'],,,,,,['Leclerc'],,,,,,,,,,,,
182,3564700427828,3564700427828,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Flocons 5 céréales - Moulin des moines - 500g,3347430021197,['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']",['France'],[],[],3 g,en quantité modérée,0.4 g,en faible quantité,1.2 g,en faible quantité,0.1 g,en faible quantité,?,,332,-15%,1389 kj(332 kcal),-15%,3,-62%,"0,4",-79%,"62,4",-5%,"1,2",-90%,11,+12%,"0,1",-71%,"0,04",-71%,-1,-129%,A,-129%,500 g,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01']",,,,B,,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,
184,L' œuf gascon - 10,3700864012061,"[""L' œuf gascon""]","[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,10,"['Carton', 'Boîte en carton']","['Bio', 'Bio européen', 'FR-BIO-10']",,,,B,47078028,['Carrefour'],91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,['Dordogne'],['47160 Damazan'],,
185,Miel de fleurs,3520059919384,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,B,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,
186,Lupins - Philia,3520832130937,['Philia'],,['France'],[],[],,,,,,,,,?,,90,,377 kj(90 kcal),,"0,85",,"0,15",,"4,8",,0,,"12,92",,"5,97",,"2,388",,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'IT-BIO-006']",,,,,,,,,,,,,,,,,,
187,Dattes -  - 200g,3502490235797,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",['France'],"['dattes', 'sirop de glucose', 'sorbitol', 'conservateurs: sorbate de potassium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0.1 g,en faible quantité,56 g,en quantité élevée,0.01 g,en faible quantité,?,,294,-1%,1230 kj(294 kcal),-2%,"0,2",-29%,"0,1",+102%,67,-3%,56,-5%,"2,4",+11%,"0,01",-54%,"0,004",-54%,2,-59%,B,-59%,200 g,['barquette polystyrene'],,,,4,C,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,"['E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Tunisie'],['Tunisie'],,
188,Moutarde à l ancienne,3330149000775,,,['France'],[],[],,,,,,,,,?,,158,,661 kj(158 kcal),,"10,6",,0,,"5,95",,"0,05",,"7,13",,"6,02",,"2,408",,,,,,,,,,,,,,,,,,,,,,,,,,
189,Ensaimada rellena de cabello de ángel,8420638009329,,,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,"16,8",,"8,3",,"53,7",,25,,"4,3",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,
190,Veggie Milk - Prozis,5600499508428,['Prozis'],,['France'],[],[],,,,,,,,,?,,45,,188 kj(45 kcal),,1,,0,,"8,3",,"4,6",,0,,"0,1",,"0,04",,,,,,,['Tetra Pak'],['en:gluten-free'],,,,,,,,,,,,,,,,,,
191,Pommes Poires Williams Sans Sucrs Ajoutés,3297760098867,,,['France'],[],[],,,,,,,,,?,,58,,243 kj(58 kcal),,"0,5",,"0,1",,13,,11,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Tomates france cuisinées -,3380380091056,,,['France'],[],[],,,,,,,,,?,,77,,322 kj(77 kcal),,"4,2",,"0,5",,"7,6",,"3,9",,"1,4",,"1,1",,"0,44",,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,
193,Delissia,5420038409357,,,['France'],[],[],,,,,,,,,?,,17,,71 kj(17 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Kartoffelstock - Primana,4099200402826,['Primana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Beutel'],,,,,B,,,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,,,,,
195,Coleslaw - Bonduelle,3083681118834,['Bonduelle'],"['Plats préparés', 'Entrées', 'Coleslaw']",['France'],[],[],10 g,en quantité modérée,0.8 g,en faible quantité,5.5 g,en quantité modérée,0.6 g,en quantité modérée,?,,125,-4%,523 kj(125 kcal),-2%,10,0%,"0,8",-9%,"6,5",+4%,"5,5",+10%,1,-10%,"0,6",-25%,"0,24",-25%,4,+16%,C,+16%,,,,,,,B,,,37.1%,36.0%,10.3%,10.1%,5.2%,1.4%,92,,,,,
196,Amandes grillées au miel et salées - Lidl,20646639,['Lidl'],,['France'],[],[],,,,,,,,,?,,607,,2540 kj(607 kcal),,51,,"5,2",,11,,10,,20,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
197,Oignons doux - La Ferme d'Erquinvillers - 500g,26081304,"[""La Ferme d'Erquinvillers""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Oignons et dérivés', 'Légumes frais', 'Oignons', 'Oignons frais', 'Calibre 50/70', 'Catégorie 1']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,['Filet'],"['Catégorie I', 'Origine France', 'Origine-mexique', 'Calibre 50/70']","['EMB 60216', 'Erquinvillers (Oise, France)']",,,A,,['Aldi'],63.2%,0.0%,0.0%,18.6%,12.6%,5.6%,98,,"['France', 'Mexique']",,,
198,Jambo Traditionnel - Saint Alby,2205872003755,['Saint Alby'],,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"4,5",,"1,5",,1,,"0,5",,20,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
199,Crème glacée Café inclusions café chocolat - Monoprix - 522g,3350033735255,['Monoprix'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au café']",['France'],"['Lait entier - eau - crème - sucre - sirop de glucose-fructose - lactose et protéines de lait - sirop de glucose - chocolat noir 2,2% ', 'pâte de cacao - sucre - beurre de cacao - arôme naturel de vanille', "" - café en poudre 0,9% - arôme naturel de café - colorant : caramel ordinaire - émulsifiant : mono - et diglycérides d'acides gras - gėlifiants : farine de graines de caroube"", ""gomme guar - extrait de café - agents d'enrobage : gomme arabique"", 'shellac - huile de coprah']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.8 g,en quantité modérée,5.8 g,en quantité élevée,25 g,en quantité élevée,0.07 g,en faible quantité,845,-5%,201,-1%,845 kj(201 kcal),-2%,"8,8",-5%,"5,8",-8%,28,+3%,25,+7%,"2,3",-23%,"0,07",-43%,"0,028",-43%,12,0%,D,0%,522g,['Plastique'],,"['EMB 29181C', 'Plouédern (Finistère, France)', 'FR 29.181.090 CE', 'Plouédern (Finistère, France)']",['Lait'],4,B,,['Monoprix'],60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['E150a - Caramel E150a', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque']",,['France'],"Crème glacée au café (94%) avec des inclusions au café enrobées de chocolat noir (6%), surgelée",
200,Crème glacée Café inclusions café chocolat - Monoprix - 522g,3350033735255,['Monoprix'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au café']",['France'],"['Lait entier - eau - crème - sucre - sirop de glucose-fructose - lactose et protéines de lait - sirop de glucose - chocolat noir 2,2% ', 'pâte de cacao - sucre - beurre de cacao - arôme naturel de vanille', "" - café en poudre 0,9% - arôme naturel de café - colorant : caramel ordinaire - émulsifiant : mono - et diglycérides d'acides gras - gėlifiants : farine de graines de caroube"", ""gomme guar - extrait de café - agents d'enrobage : gomme arabique"", 'shellac - huile de coprah']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",8.8 g,en quantité modérée,5.8 g,en quantité élevée,25 g,en quantité élevée,0.07 g,en faible quantité,845,-5%,201,-1%,845 kj(201 kcal),-2%,"8,8",-5%,"5,8",-8%,28,+3%,25,+7%,"2,3",-23%,"0,07",-43%,"0,028",-43%,12,0%,D,0%,522g,['Plastique'],,"['EMB 29181C', 'Plouédern (Finistère, France)', 'FR 29.181.090 CE', 'Plouédern (Finistère, France)']",['Lait'],4,B,,['Monoprix'],60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"['E150a - Caramel E150a', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque']",,['France'],"Crème glacée au café (94%) avec des inclusions au café enrobées de chocolat noir (6%), surgelée",
201,Melange Rando - Les Accents du Soleil - 125g,0002000000288,['Les Accents du Soleil'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",['France'],"['Abricots en morceaux  ', '95% Abricots secs', '5% farine de riz', ' - Figues en morceaux ', '95% figues séchées', '5% farine de riz', ' - Amandes mondées - Mulberries']",[],12 g,en quantité modérée,1.11 g,en faible quantité,23.5 g,en quantité élevée,0.0425 g,en faible quantité,"1294,66",-27%,307.4,-30%,"1294,66 kj(307 kcal)",-30%,"11,97",-43%,"1,11",-78%,"39,85",-20%,"23,48",-41%,"6,96",-24%,"0,042",-65%,"0,017",-65%,-5,-165%,A,-165%,125 g,['Sachet'],"['Bio', 'Bio européen', 'FR-BIO-10']",,,1,,,,,,,,,,,,,['France'],Mélange Fruits Secs,
202,3 brochettes de poulet,4056489195344,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Saucisses cocktail classique x30 - Madrange - 255g (environ 30saucisses),3180940088263,['Madrange'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses cocktail']",['France'],"['Viande de porc origine France 79%', 'eau', 'gras de porc origine France', 'protéines de LAIT', 'sel', 'sucre', 'arôme naturel d’épices', 'colorants : carmin et extrait de paprika', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'arôme de fumée']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",25 g,en quantité élevée,9 g,en quantité élevée,0.8 g,en faible quantité,1.9 g,en quantité élevée,1165,+12%,281,+13%,1165 kj(281 kcal),+12%,25,+16%,9,+12%,"1,1",-33%,"0,8",+9%,13,+10%,"1,9",0%,"0,76",0%,19,+7%,E,+7%,255 g (environ 30 saucisses),"['Plastique', 'Sachet', 'Film en plastique']","['Viande Française', 'Viande Porcine Française']","['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)""]",['Lait'],4,D,https://www.madrange.fr/nos-produits/saucisses-cocktail-nature/,,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,"['E120 - Acide carminique', 'E160c - Extrait de paprika', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['France'],,SAUCISSES COCKTAIL CUITES GOUT FUMÉ,
204,Mon Jambon + avec couenne 3T - Madrange - 120g (3tranches),3180940087693,['Madrange'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'en:cooked-ham-superior-quality-with-rind']",['France'],"['Jambon de porc frais français élevé sans antibiotique dès la naissance', 'bouillon ', 'eau', 'blette', 'carotte', 'acérola', 'sel', 'sucre de canne', 'arôme naturel', 'ferments']",[],6 g,en quantité modérée,2.1 g,en quantité modérée,0.7 g,en faible quantité,,,591,+17%,141,+7%,591 kj(141 kcal),+8%,6,+25%,"2,1",+14%,"0,7",+5%,"0,7",+18%,"1,9",-91%,,,,,,,,,120 g (3 tranches),"['Barquette', 'Opercule', 'Carton', '-70% de plastique']","['en:without-antibiotics', 'Viande Française', 'Sans antibiotique dès la naissance', 'Viande Porcine Française', 'Porcs élevés sans antibiotique', 'Porcs élevés sans antibiotique dès la naissance', 'Naturel', 'Emballage avec -70\xa0% de plastique par rapport au précédent', 'Porcs non castrés', 'Porcs élevés dans des fermes de type familial']","['FR 87.065.001 CE', 'Feytiat (Haute-Vienne, France)']",,4,C,https://www.madrange.fr/nos-produits/mon-jambon-avec-couenne/,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,['France'],['France'],JAMBON CUIT AVEC COUENNE DE QUALITÉ SUPÉRIEURE,
205,Crackers cranberry coco - Le Bio pour Tous - 200g,3760295170372,['Le Bio pour Tous'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine de blé complet""', 'graines de toumesol', 'sucre de canne*', 'raisins* secs', 'graines de courge""', 'huile d\'olive vierge extra""', 'miel*', 'graines de sésame""', 'flocons d\'avoine""', 'graines de lin""', 'canneberges* séchées 2,2%', 'noix de coco"" séchée 2%', 'farine de blé""', 'levure', 'sel de mer', 'malt d\'orge""', 'agent de traitement de la farine: acide ascorbique', 'farine de malt de blé""', ' ""Ingrédient issu de l\'agriculture biologique', ' Peut contenir des traces de lait']",['Non végétalien'],16.3 g,en quantité modérée,4 g,en quantité modérée,13 g,en quantité élevée,0.4 g,en quantité modérée,?,,445,-4%,1862 kj(445 kcal),-5%,"16,3",-18%,4,-26%,"54,1",-9%,13,+232%,"14,4",+45%,"0,4",-80%,"0,16",-80%,6,-61%,C,-61%,200 g,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01']",,"['Gluten', 'Graines de sésame']",3,B,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,['E300 - Acide ascorbique'],,,,
206,Fraises de provence - 500g,3700587630016,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,500 g,,,"['EMB 84031X', 'Carpentras (Vaucluse, France)']",,,,,,,,,,,,,,,,,
207,Wraps,7290013389077,,"['Sandwichs', 'Wraps']",['France'],[],[],7.9 g,en quantité modérée,3.9 g,en quantité modérée,2.9 g,en faible quantité,0.96 g,en quantité modérée,?,,320,+38%,1339 kj(320 kcal),+40%,"7,9",-13%,"3,9",+73%,53,+105%,"2,9",+19%,"7,6",-13%,"0,96",-17%,"0,384",-17%,6,+49%,C,+49%,,,,,,,,,,,,,,,,,,,,,
208,mini-tartelettes salées - 112g,3017760548694,,['Tartelettes à garnir'],['France'],"['Farine de blé - Huile de palme - Margarine ', 'matières grasses végétales totalement hydrogénées et non hydrogénées ', 'palme', 'colza', 'palmiste', ' - eau - sel - émulsifiant : E471 - colorant: caroténoides-arômes', '-Sucre-Sel ', '2', '2%', '- Poudres à lever', "" carbonates d'ammonium"", 'carbonates de sodium - Agent de traitement de la farine: L-cystéine', ' Fabriqué dans un atelier qui utilise: lait', 'oeuf', 'soja']",['Huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,112 g,['barquette plastique'],['Fabriqué en France'],,['Gluten'],4,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160 - Caroténoïdes', 'E502 - Carbonates', 'E920 - L-Cystéine et ses chlorhydrates']",,,,['Huile de palme']
209,Emmental français bio - Chêne d'Argent,4056489137115,"[""Chêne d'Argent"", 'Lidl']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,363,-4%,1519 kj(363 kcal),-4%,29,-2%,20,+1%,"0,5",-18%,"0,5",+6%,25,-10%,"0,8",+36%,"0,32",+36%,12,+7%,D,+7%,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,C,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
210,Melange minestrone - Moulin des moines,3347430022330,['Moulin des moines'],,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,"1,32",,"0,13",,"49,63",,"0,78",,"22,63",,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,
211,Saussiçon,5600905500084,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Raibi pistache,5450168551817,,,['France'],[],[],,,,,,,,,?,,82,,343 kj(82 kcal),,"1,6",,"1,1",,"13,8",,"13,8",,3,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,
213,Tenders,3701004802542,,,['France'],[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,8,,"1,9",,19,,"2,6",,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
214,Caramel au beurre salé Bio - Les Comtes de Provence - 330g,3324498003617,['Les Comtes de Provence'],"['Snacks', 'Produits à tartiner', 'Snacks sucrés', 'Petit-déjeuners', 'Confiseries', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Caramels', 'Caramels au beurre salé']",['France'],"['Sucre de canne', 'crème entière', 'beurre', 'sel', 'caramel ', 'sucre de canne', 'eau', 'gélifiant : agar-agar', 'jus concentré de citron']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",22 g,en quantité élevée,14 g,en quantité élevée,46 g,en quantité élevée,0.65 g,en quantité modérée,1651,-2%,395,-6%,1651 kj(395 kcal),-6%,22,+13%,14,+18%,49,-17%,46,-3%,1,-45%,"0,65",+7%,"0,26",+7%,26,+6%,E,+6%,330g,"['Bocal', 'Verre']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Cuisiné en France', 'PME+']",,"['Lait', 'Crème entière', 'Crème entière']",4,,https://www.comtes-de-provence.fr/produit/caramel-au-beurre-sale-bio/,,,,,,,,,['E406 - Agar-agar'],,"['France', 'Provence', 'Peyruis']",Confiture Caramel,
215,Saint-Joseph,3536650991001,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Abbaye de St Bertin - 33cl,3261570006237,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,33 cl,,,,,,,,,,,,,,,,,,,,
217,Luxmar Original,8437016082027,,,['France'],[],[],,,,,,,,,?,,543,,2272 kj(543 kcal),,60,,17,,"0,5",,"0,5",,"0,3",,"0,5",,"0,2",,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,
218,A bicyclette à l'avoine - Myrtille - 4 * 100g,2956101473693,['A Bicyclette'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille', 'Yaourts aux fruits avec morceaux']",['France'],[],[],0.8 g,en faible quantité,0.1 g,en faible quantité,9 g,en quantité modérée,0.1 g,en faible quantité,335,-5%,80,-4%,335 kj(80 kcal),-5%,"0,8",-63%,"0,1",-93%,16,+34%,9,-19%,"1,2",-67%,"0,1",-20%,"0,04",-20%,-1,-158%,A,-158%,4 * 100 g,['Plastique'],"['Nutriscore', 'Nutriscore A']",,,,C,,,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,
219,Porridge myrtilles hibiscus - Grillon d'Or,3421557920844,"[""Grillon d'Or""]",,['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,"6,5",,"1,1",,61,,"4,1",,14,,0,,0,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,
220,Need’s - Eric Favre - 350ml,3525722026390,['Eric Favre'],"['Epicerie', 'Sauces', 'Sauces barbecue']",['France'],"['Eau ', "" vinaigre d'alcool "", ' vinaigre de vin ', ' sel ', ' arômes ', ' purée de tomate ', '1', '2%', "" régulateur d'acidité : acide citrique "", ' colorant : caramel ammoniacal ', "" épaississant : fibres d'agrumes"", 'gomme de xanthane', ' conservateur : sorbate de potassium ', ' édulcorant : sucralose', ' \rPossible traces de lait', 'soja', 'gluten', 'œuf', 'graines de sésame', 'noix', 'céleri']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,2.4 g,en quantité élevée,41,-93%,10,-94%,41 kj(10 kcal),-94%,"0,1",-90%,0,-100%,"1,5",-95%,"0,1",-100%,"0,2",-78%,"2,4",+19%,"0,96",+19%,10,-31%,C,-31%,350ml,['Plastique'],,,,4,B,,['Eric Favre'],42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,"['E330 - Acide citrique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose']",,,sauce barbecue zero calories,
221,Sorbet fraise - Thiriet,3292590528270,['Thiriet'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']",['France'],"['fraise 38% ', 'purée et morceaux 5%', 'eau', 'sucre', 'sirop de glucose', 'dextrose', 'jus de citron concentré', 'protéine de pois', 'sirop de glucose-fructose', 'arôme naturel de fraise', 'jus de carotte noire concentré', 'colorant : caroténoides', 'épaississants : méthylcellulose - farine de graines de caroube - gomme xanthane', 'gélifiant : pectines', ""correcteur d'acidité : acide citrique"", "" Présence éventuelle d'œuf"", 'gluten', 'lait', 'soja et fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,22 g,en quantité élevée,0.03 g,en faible quantité,?,,105,-10%,439 kj(105 kcal),-10%,0,-100%,0,-100%,25,-8%,22,-6%,"0,6",+42%,"0,03",+34%,"0,012",+34%,4,-19%,C,-19%,,,"['Sans arômes artificiels', 'Sans colorants']",,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,C,,['Thiriet'],79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,"['E160 - Caroténoïdes', 'E461 - Méthylcellulose', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane', 'E440 - Pectines', 'E330 - Acide citrique']",,,,
222,Tendres bouchées de volaille - Volailles Champenoises - 280g,3284870755872,['Volailles Champenoises'],['Nuggets et panés de dinde'],['France'],"['Viande de dinde ', 'Origine: France', ' 66%', 'eau', 'farine de BLE', 'flocons de maïs', 'épices ', 'paprika 0,6%', 'cumin 0,2%', 'sel', 'sirop de glucose', 'farine de riz', 'vinaigre', 'plantes aromatiques', ""extrait d'épices"", 'levure', 'arômes naturels', 'amidon de BLE', 'ail en poudre', 'colorant: extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,0.92 g,en quantité modérée,?,,157,,657 kj(157 kcal),,"0,5",,"0,2",,19,,"0,6",,17,,"0,92",,"0,368",,-4,,A,,280 g,,"['Nutriscore', 'Nutriscore A']",,['Gluten'],4,,,,,,,,,,,['E160c - Extrait de paprika'],,,,
223,2 Cordons bleus de dinde - Royal HALAL - 280g,3276288125033,['Royal HALAL'],"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",['France'],"['Viande de dinde 53%', 'jambon de dinde cuit standard 10% ', 'Cuisse de dinde 9%', 'eau', 'dextrose', 'sel', 'arômes', 'arômes de fumée', 'poudre de jus de blette', 'carotte déshydratée', 'ferments', 'FROMAGE fondu 10% ', 'FROMAGES 6%', 'eau', 'poudre de LAIT écrémé', 'protéines de LAIT', 'sel de fonte', 'BEURRE', 'eau', 'farine de BLE', 'flocons de maïs', 'sirop de glucose', 'sel', 'vinaigre', 'levure', 'épices', ""extrait d'épices"", 'arômes naturels', 'amidon de BLE', ' Viandes Origine: France']","['Non végétalien', 'Non végétarien']",1.6 g,en faible quantité,0.7 g,en faible quantité,1.5 g,en faible quantité,1.2 g,en quantité modérée,?,,137,-38%,573 kj(137 kcal),-38%,"1,6",-87%,"0,7",-78%,"8,7",-37%,"1,5",-5%,20,+52%,"1,2",-8%,"0,48",-8%,-3,-142%,A,-142%,280 g,,,,"['Gluten', 'Lait']",4,D,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,
