,name,bar_code,eco_score,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,traceability_code,quantity,additives,labels,allergens,brand_owner,packaging,markets,generic_name,manufacturing,link,palm_ingredients
0,Saint Chinian,3554823115610,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Saint-Chinian']",['France'],['France'],[],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Nouilles ramen chuka zanmai shoyu,4902881053730,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0206364018433,0206364018433,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Boite à musique avec biscuit,2081650160168,,,,['France'],[],[],?,,526,,"29,5",,"58,4",,"5,6",,,,,,,,,2201 kj(526 kcal),"18,4","16,3","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0206076019421,0206076019421,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Pickles concombre aneth,3770007341174,,,,['France'],[],[],?,,41,,"0,6",,8,,"0,7",,,,,,,,,172 kj(41 kcal),"0,1",8,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Saucisse Toulouse Fabrication Maison,0203704042974,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arrabbiata - Sacla,8001060023994,,,,['France'],[],[],?,,64,,"3,1",,"6,6",,"1,2",,,,,,,,,268 kj(64 kcal),"0,4","5,5","1,5","0,6",['Sacla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Duo de raisins moelleux,2600292012866,,,,['France'],[],[],?,,256,,"0,7",,"58,4",,"2,2",,,,,,,,,1071 kj(256 kcal),"0,2",56,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Potato fry fried chicken,4901984088267,,,,['France'],[],[],?,,62,,"0,7",,"4,1",,0,,,,,,,,,259 kj(62 kcal),"0,35","0,23","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Green tea mochi,4711931946553,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,['France'],[],[],?,,115,+858%,0,-100%,"9,2",+311%,"0,5",+138%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,481 kj(115 kcal),0,"9,2",15,6,,+902%,-100%,+660%,+102640%,+102640%,27,+543%,E,+543%,,,,,,,,,,,,,,,,,,,,,
11,Vodka Pur Grain,3014409005242,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bonbons au miel de Savoie - Les délices de Mélissa,7111604468714,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",,['France'],"['sucre', 'sirop de glucose', 'miel de savoie 15%', 'extrait naturel de propolis de Savoie 0,6%']",['Non végétalien'],?,,402,+5%,"0,05",-82%,"98,9",+5%,"0,06",-86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,1682 kj(402 kcal),0,81,"0,015","0,006",['Les délices de Mélissa'],+4%,-100%,+17%,-25%,-25%,15,+8%,D,+8%,4,0.05 g,en faible quantité,0 g,en faible quantité,81 g,en quantité élevée,0.015 g,en faible quantité,,,,,,,,,,,,
13,Sirop de fruits de passion,3180297448406,,,,['France'],[],[],?,,290,,0,,72,,0,,,,,,,,,1213 kj(290 kcal),0,72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Andouillettes,3410280128344,,,,['France'],[],[],?,,253,,"19,9",,"1,4",,"17,1",,,,,,,,,1059 kj(253 kcal),"8,3","0,6","2,01","0,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Thé,3585810048871,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Grand vin de Bourgogne,3411570251148,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Hereford mustard,5053826534513,,,,['France'],[],[],?,,146,,"7,4",,"7,6",,"8,2",,,,,,,,,611 kj(146 kcal),"0,4","5,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Cendrée du papy gaby -,2437514036474,,,,['France'],[],[],?,,405,,"32,9",,"1,2",,"27,6",,,,,,,,,1695 kj(405 kcal),"12,4","1,2","5,02","2,008",,,,,,,,,,,,,,,,,,,,"['FR 25.271.051 CE', 'Gilley (Doubs, France)']",,,,,,,,,,,
19,SuperSprinkles,5030101023771,,,,['France'],[],[],?,,408,,"2,5",,"96,2",,"0,1",,,,,,,,,1707 kj(408 kcal),"1,6","90,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Veridic,3215190012987,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Lait de savoie - Thomas le Prince - 350g,3423183301004,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Confitures de lait']",,['France'],"['Lait de Savoie', 'Sucre', 'Vanille', 'Bicarbonate de soude']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,,306,+3%,"3,7",-33%,61,+11%,"7,9",+22%,46.2%,16.3%,23.6%,9.1%,3.8%,1.0%,85,1280 kj(306 kcal),2,60,"0,4","0,16",['Thomas le Prince'],+3%,-38%,+18%,+18%,+18%,15,-10%,D,-10%,3,3.7 g,en quantité modérée,2 g,en quantité modérée,60 g,en quantité élevée,0.4 g,en quantité modérée,,350 g,['E500ii - Carbonate acide de sodium'],,,,,,,,,
22,FRESHKA glace,3493250301657,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Aceito du Vino Rosso,5400606000582,,,,['France'],[],[],?,,19,,0,,"0,1",,0,,,,,,,,,79 kj(19 kcal),0,0,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Huile d'olive au citron et fenouil,3700938808408,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Conchiglies aux noix,3339335500136,,,,['France'],[],[],?,,370,,5,,69,,13,,,,,,,,,1548 kj(370 kcal),1,4,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Emmental,0209331015282,,,,['France'],[],[],?,,396,,32,,0,,27,,,,,,,,,1657 kj(396 kcal),20,0,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Miel et miels,3445730707428,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Minestrone con verdure - Carrefour,8012666033140,,,,['France'],[],[],?,,40,,1,,"4,7",,2,,,,,,,,,167 kj(40 kcal),"0,2","1,2","0,56","0,224",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Purée -,5053947691140,,,,['France'],"['potato', 'palm oil', 'dried skimmed milk', 'flavourings ', 'contain milk', 'milk sugar', 'milk proteins', 'salt', 'black pepper', 'antioxidant ', 'rosemary extract', 'colours ', 'algal carotenes', 'curcumin ', 'contains milk', 'allergy advice for allergens', 'see ingredients in bold,']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,335,,"1,5",,"14,4",,"1,8",,,,,,,,,1402 kj(335 kcal),"0,8","0,8","0,1","0,04",,,,,,,,,,,4,,,,,,,,,,,"[""E160aiv - Carotènes d'algues"", 'E100 - Curcumine']",['en:Verified'],['Lait'],,,,,,,
30,WILDKAKAO & KAFFE 67%,4260164216914,,,,['France'],[],[],?,,563,,41,,34,,"8,3",,,,,,,,,2356 kj(563 kcal),27,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fruit in Jelly,5060391620787,,,,['France'],[],[],?,,61,,0,,15,,0,,,,,,,,,255 kj(61 kcal),0,15,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Petits Filous - Yoplait,3329770051546,,,,['France'],[],[],?,,88,,"2,4",,"10,4",,"5,3",,,,,,,,,368 kj(88 kcal),"1,6","9,9","0,12","0,048",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Tahiti Coconut - Pepperidge Farm,0014100089087,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['France', 'États-Unis']","['Made from: unbleached enriched wheat flour ', 'flour', 'niacin', 'reduced iron', 'thiamine mononitrate [vitamin b1]', 'riboflavin [vitamin b2]', 'folic acid', 'semi sweet chocolate ', 'sugar', 'chocolate liquor', 'chocolate liquor processed with alkali [dutched]', 'cocoa butter', 'butter oil', 'soy lecithin', 'vanilla extract', 'coconut ', 'sulfites', 'sugar', 'vegetable oils ', 'palm and/or interesterified and hydrogenated soybean', 'and/or hydrogenated cottonseed', 'cornstarch', 'eggs', 'contains 2 percent or less of: sweetener blend ', 'invert syrup', 'molasses', 'nonfat milk', 'leavening ', 'cream of tartar', 'baking soda', 'salt and soy lecithin']",['Non végétalien'],?,,567,+20%,"33,33",+60%,"56,67",-11%,"6,67",+3%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,2372 kj(567 kcal),20,"26,67","0,332","0,133",['Pepperidge Farm'],+19%,+98%,-10%,-44%,-44%,18,-9%,D,-9%,4,33.3 g,en quantité élevée,20 g,en quantité élevée,26.7 g,en quantité élevée,0.333 g,en quantité modérée,,,"['E322i - Lécithine', 'E336i - Tartrate monopotassique', 'E500ii - Carbonate acide de sodium']",,"['Œufs', 'Soja', 'Anhydride sulfureux et sulfites']",PEPPERIDGE FARM,,,,,,
34,Comté,0239995020537,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,['France'],[],[],?,,431,+9%,35,+7%,2,+333%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1803 kj(431 kcal),24,"0,5","0,9","0,36",,+9%,+11%,+80%,-8%,-8%,13,-3%,D,-3%,,35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,,,,,,,,,,,
35,Morbier aop prestige,2488632026960,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,['France'],[],[],?,,370,+5%,29,+1%,1,+29%,"23,6",+4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1548 kj(370 kcal),19,0,"1,5","0,6",,+5%,-3%,-100%,+5%,+5%,15,+1%,D,+1%,,29 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,,,,,,,,,,,
36,Pommes dauphines,3760103811916,C,"['Chips et frites', 'Pommes dauphines']",,['France'],[],[],?,,248,-8%,"12,4",-22%,26,+6%,"6,7",+31%,67.7%,2.0%,6.9%,5.4%,8.1%,9.9%,58,1038 kj(248 kcal),"3,6","4,3","1,6","0,64",,-7%,+7%,+48%,+29%,+29%,13,+47%,D,+47%,,12.4 g,en quantité modérée,3.6 g,en quantité modérée,4.3 g,en faible quantité,1.6 g,en quantité élevée,,,,,,,['Sachet'],,,,,
37,Biona Organic Tutti Frutti Wine Gums,5032722306363,,,,['France'],[],[],?,,316,,"0,2",,78,,"0,1",,,,,,,,,1322 kj(316 kcal),"0,2",60,"0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Form Teatox,8699432209529,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Diots au beaufort,2309642004260,,,,['France'],[],[],?,,306,,"25,4",,"0,7",,"19,2",,,,,,,,,1280 kj(306 kcal),"10,6","0,3","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Jambon spécial sandwich,3180940083640,,,,['France'],[],[],?,,110,,3,,"1,8",,19,,,,,,,,,460 kj(110 kcal),"1,1","1,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Crozes-Hermitage,3234783163653,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Paris Brest,0256743017717,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,['France'],[],[],?,,371,+7%,32,+27%,15,-43%,"6,2",+10%,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,1552 kj(371 kcal),17,"2,8","0,37","0,148",,+6%,+30%,-82%,+6%,+6%,15,-15%,D,-15%,,32 g,en quantité élevée,17 g,en quantité élevée,2.8 g,en faible quantité,0.37 g,en quantité modérée,,,,,,,,,,,,
43,BABA Rhum Vanille - Le Comptoir de Mathilde,3700961306155,,,,['France'],[],[],?,,158,,3,,"16,9",,2,,,,,,,,,661 kj(158 kcal),"1,3","15,8","0,239","0,096",['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Rum Malecon Rare Proof,8009366300108,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sirop Vanille Bourbon,3336770035124,,,,['France'],[],[],?,,349,,0,,85,,0,,,,,,,,,1460 kj(349 kcal),0,80,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Brins d’étoiles - Bijou - 275grammes,002175,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Bijou'],,,,,,,,,,,,,,,,,,,,275 grammes,,,,,,,,,,
47,Sirop rhubarbe -,3760055914987,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de rhubarbe']",,['France'],[],[],?,,?,,?,,?,,?,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,
48,Pralin Nut Alsace -,2010036770011,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",,['France'],[],[],?,,543,-3%,"36,75",-15%,"48,14",+153%,"7,94",-50%,,,,,,,,2272 kj(543 kcal),"13,44","45,75","0,54","0,216",,-3%,+141%,+399%,+63%,+63%,28,+336%,E,+336%,,36.8 g,en quantité élevée,13.4 g,en quantité élevée,45.8 g,en quantité élevée,0.54 g,en quantité modérée,,,,,,,,,,,,
49,17264224,17264224,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Carré de chocolat au lait - Primola - 1,5941047831170,,['Carré de chocolat'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Primola'],,,,,,,,,,,,,,,,,,,,1,,,,,,['Carefour'],,,,
51,Foie gras de canard entier,3760010938003,,,,['France'],[],[],?,,485,,"50,1",,"1,6",,"6,9",,,,,,,,,2029 kj(485 kcal),"15,2","0,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pur jus trouble de pomme,3770006349119,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,['France'],[],[],?,,?,,?,,?,,?,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,21978319,21978319,,,,['France'],"[""FEUILLE DE CHENE oestion de présentation PRETE A L'EMPLO Ingredient: feuillechene"", ' voir face avant']",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Dragées Finesse Extrême Lerida Rose,3340391030550,,,,['France'],[],[],?,,512,,"26,91",,"55,1",,"12,44",,,,,,,,,2142 kj(512 kcal),"2,4","48,7","0,001",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Jambon roti,0211990021450,,,,['France'],[],[],?,,126,,"3,8",,"0,8",,"22,1",,,,,,,,,527 kj(126 kcal),"1,4","0,8","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,75CL Vin De Pays Du Vaucluse Rose 2017 - 75cL,3660989113848,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cL,,,,,,,,,,
57,Tablette chocolat lait 30% - Leonidas,5420006320677,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux noisettes', 'Chocolats au lait aux noisettes']",,['France'],[],[],?,,549,-4%,34,-11%,51,+10%,8,-5%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,2297 kj(549 kcal),18,48,"0,2","0,08",['Leonidas'],-3%,+3%,+9%,+6%,+6%,26,+6%,E,+6%,,34 g,en quantité élevée,18 g,en quantité élevée,48 g,en quantité élevée,0.2 g,en faible quantité,,,,,,,,,,,,
58,3229580016523,3229580016523,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Arachides grillées enrobees de sucre cuit,2600117028737,,['Pralines aux cacahuètes'],,['France'],[],[],?,,532,0%,28,0%,55,0%,15,0%,,,,,,,,2226 kj(532 kcal),19,44,0,0,,-0%,0%,0%,,,25,0%,E,0%,,28 g,en quantité élevée,19 g,en quantité élevée,44 g,en quantité élevée,0 g,en faible quantité,,,,,,,,,,,,
60,Super frites,39393364,,,,['France'],[],[],?,,354,,5,,81,,6,,,,,,,,,1481 kj(354 kcal),1,51,17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Confiture de groseille,3558390003233,,,,['France'],[],[],?,,242,,"0,1",,"59,6",,"0,5",,,,,,,,,1013 kj(242 kcal),"0,05","59,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Miel Fleurs,3870090010954,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,['France'],[],[],?,,327,+10%,0,-100%,81,+5%,"0,4",+18%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,1368 kj(327 kcal),0,79,"0,01","0,004",,+9%,-100%,+14%,-57%,-57%,,,,,,0 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0.01 g,en faible quantité,,,,"['Bio', 'Bio européen']",,,,,,,,
63,Cranberry juice drink,5032619737508,,,,['France'],[],[],?,,54,,0,,13,,"0,5",,,,,,,,,226 kj(54 kcal),0,13,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Cuillères Chocolat Trio -120g,3760072743997,,,,['France'],[],[],?,,562,,23,,46,,6,,,,,,,,,2351 kj(562 kcal),18,44,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Jambon,2602657021520,,,,['France'],[],[],?,,123,,"3,3",,23,,23,,,,,,,,,515 kj(123 kcal),"1,7","0,5","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Poulet fermier bio,2281030032737,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,
67,SEL ROSE D'HIMALAYA,3700389709910,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Cassoulet,3513261280335,,,,['France'],[],[],?,,125,,"5,7",,"9,9",,10,,,,,,,,,523 kj(125 kcal),"2,2","0,5",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Coquilles aux fruits de mer,3272642228655,,,,['France'],[],[],?,,112,,"2,6",,"13,2",,"6,4",,,,,,,,,469 kj(112 kcal),"0,9","5,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Extra fine chocolate,0838948011334,,,,['France'],[],[],?,,55,,"3,4",,55,,"8,2",,,,,,,,,230 kj(55 kcal),"2,1",55,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Soupe de lentilles -,5400501950814,,"['Plats préparés', 'Soupes']",,['France'],"['Eau', 'lentilles ', '13,0%', 'crème ', 'LAIT', 'saucisse viennoise ', '8,14', ' viande de porc', 'viande de boeuf', 'eau', 'sel', 'épices', 'dextrose', 'aròme antiorydants ', 'E301', 'E300', 'stabilisant ', 'E450', 'épaississant ', 'E412', 'exhausteur de goût ', 'E621', 'acidifiant ', 'E330', 'conservateur ', 'E250', 'fumée', 'oignons', 'pomes de terre', 'poireaux', 'CÉLERI', 'carottes', 'lardons ', 'viande de porc', 'sel nitrité sel Conservateur ', 'E250', 'épices', 'dextrose', 'conservateur ', 'E252', 'fumée', 'farine de BLE graisse végétale ', 'palme', 'vinaigre', 'sel', 'ail', 'exhausteurs de gout G631,E627 E621', 'arôme naturel', 'gélatine', 'poivre', 'maltodextrine', 'stabilisant 6407', 'graisse de poule', 'viande de poule', 'amidon modifié de pomme de tere arome', 'curcuma', 'colorant ', 'E150c', 'antioxydant ', 'E392', 'extrait de levure dextrose']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,106,+86%,7,+261%,"5,6",-3%,"4,3",+95%,,,,,,,,444 kj(106 kcal),"4,2","0,9","0,8","0,32",,+87%,+595%,-48%,-8%,-8%,6,+266%,C,+266%,4,7 g,en quantité modérée,4.2 g,en quantité modérée,0.9 g,en faible quantité,0.8 g,en quantité modérée,,,"['E301 - Ascorbate de sodium', 'E300 - Acide ascorbique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E428 - Gélatine', 'E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E392 - Extrait de romarin']",,"['Céleri', 'Gluten', 'Lait']",,,,,,,
72,Sucre en poudre,2036755490221,,,,['France'],[],[],?,,400,,0,,100,,0,,,,,,,,,1674 kj(400 kcal),0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,La bonne pâte,0660042113818,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Andouillette au vin de jasniere,2272368020015,E,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']",,['France'],[],[],?,,237,+3%,17,-2%,"0,9",+46%,20,+10%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,992 kj(237 kcal),"7,4","0,2","2,6","1,04",,+3%,-4%,-45%,+51%,+51%,19,+14%,E,+14%,,17 g,en quantité modérée,7.4 g,en quantité élevée,0.2 g,en faible quantité,2.6 g,en quantité élevée,,,,['Bleu Blanc Cœur'],,,,,,,,
75,Chocolat Noir,3370077589621,,,,['France'],[],[],?,,627,,"54,2",,"29,4",,"12,8",,,,,,,,,2623 kj(627 kcal),"33,2","2,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Chocolat Hardys - Milk rocky road,5060452005416,,,,['France'],[],[],?,,537,,31,,58,,6,,,,,,,,,2247 kj(537 kcal),19,48,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Mille feuilles 6 parts,0202817053464,,,,['France'],[],[],?,,313,,"16,1",,"37,8",,4,,,,,,,,,1310 kj(313 kcal),"11,5","20,7","0,48","0,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Jelly Art,8715427040035,,,,['France'],[],[],?,,15,,15,,12,,56,,,,,,,,,63 kj(15 kcal),15,10,55,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Foie gras,3450180033003,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Domaine Chante Cigale 'The Cicada', Pays De Méditerranée",3760209340068,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Mousse de cepes aux truffes blanches - Maison de la Truffe,3760114520487,,,,['France'],[],[],?,,436,,"47,31",,"0,71",,"2,07",,,,,,,,,1824 kj(436 kcal),"5,41","0,61","0,4","0,16",['Maison de la Truffe'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pate d'amande,3374601919434,E,"['Massepain', ""Pâtes d'amande""]",,['France'],[],[],?,,448,+2%,17,+2%,64,-2%,"8,5",+36%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,1874 kj(448 kcal),"1,2",62,"0,04","0,016",,+1%,-33%,+2%,+4%,+4%,16,+3%,D,+3%,,17 g,en quantité modérée,1.2 g,en faible quantité,62 g,en quantité élevée,0.04 g,en faible quantité,,,,,,,,,,,,
83,Boudin noir recette bearnaise,2428307017848,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
