,name,bar_code,eco_score,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,traceability_code,quantity,additives,labels,allergens,brand_owner,packaging,markets,generic_name,manufacturing,link,palm_ingredients
1119,Père Noël en chocolat,20304850,,,,['France'],[],[],?,,538,,"30,8",,"57,4",,"6,9",,,,,,,,,2251 kj(538 kcal),"19,6","53,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Crunchiella di O Mà!,0637913730597,,,,['France'],[],[],?,,605,,46,,33,,12,,,,,,,,,2531 kj(605 kcal),8,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Miel de pin de Crète - Cérès - 250g,5200124650234,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de conifères', 'Miels de Méditerannée', 'Miels de pin', 'Miels de pin de méditerrannée']","['Grèce', 'Crète']",['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['Cérès'],,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
1122,Cannelle moulue,6191409601234,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1123,Vegan & paleo cookies choco hazelnut,1111111286852,,,,['France'],[],[],?,,440,,24,,24,,6,,,,,,,,,1841 kj(440 kcal),2,24,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Base brune pour sauce et veloutés,8711200575510,,,,['France'],[],[],?,,250,,"3,5",,48,,14,,,,,,,,,1046 kj(250 kcal),"0,8",10,19,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,Pomegranate green tea - Twinings,0070177247935,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,['France'],[],[],?,,1,-92%,0,-100%,0,-100%,0,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,4 kj(1 kcal),0,0,0,0,['Twinings'],-92%,-100%,-100%,-100%,-100%,1,-76%,B,-76%,,,,,,,,,,,,,,,,,,,,,
1126,Wholemeal flour,5015821154356,,,,['France'],[],[],?,,329,,"2,2",,"61,1",,11,,,,,,,,,1377 kj(329 kcal),"0,3","2,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Myrtilles - Fruits Rouges & Co. - 500g,3325630087786,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Myrtilles', 'Myrtilles fraîches']",['Pérou'],['France'],['Myrtilles'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",244,,?,,"0,33",+37%,"10,6",+26%,"0,87",+53%,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,244 kj(58 kcal),0,"9,96","0,006","0,002",['Fruits Rouges & Co.'],+44%,-100%,+65%,-14%,-14%,-5,,A,,1,0.33 g,en faible quantité,0 g,en faible quantité,9.96 g,en quantité modérée,0.006 g,en faible quantité,,500 g,,,,,"['Barquette', 'Plastique']",,,,http://www.fruitsrougesandco.com/,
1128,Macarons,0200053091516,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,['France'],[],[],?,,416,-2%,18,+1%,52,-6%,"9,8",+14%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,1741 kj(416 kcal),"4,3",52,"0,15","0,06",,-2%,-5%,+3%,+5%,+5%,19,+8%,E,+8%,,18 g,en quantité modérée,4.3 g,en quantité modérée,52 g,en quantité élevée,0.15 g,en faible quantité,,,,,,,,,,,,
