,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,allergens,palm_ingredients,link
233,Noisettes grillees - Lidl,20363048,,,,['Lidl'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Fruits à coque grillés', 'Noisettes décortiquées', 'Noisettes grillées']",['Fabriqué en Allemagne'],,,,['Lidl'],['France'],"['sorbito/en', ' ns ""e Vattende grancn', 'mclk', 'ei en soja bevauuell', ""-' Onge0pend"", ""ten minste houdbaar tot: zie Rannen1'C/7 noten Verslikken"", ' Noisettes et dragéifiées', ' Ingrédients', ' 50% noisettes', 'sucre', 'sirop deg/ucose', 'concentres de fruits et de plantes ', ""citron fi'umectant: sorbitols,• agent cassis"", 'radis', 'épaississant', ' ', 'arôme naturel', "" contenir des traces d'autres d'enrobage"", '- cire de carnauba•', ' gomme arabique', ' fruits à coque', ""d'arachides"", 'e céréales contenant d"" gluten', 'de lait', ""d'Oeuf et desoJa"", 'A conserverà ', ""'abri "", ' chaleur et de rhumidité', ' Non ouvert,']",['Non végétalien'],31 g,en quantité élevée,2.6 g,en quantité modérée,51.2 g,en quantité élevée,0.03 g,en faible quantité,?,,532,-23%,2226 kj(532 kcal),-21%,31,-50%,"2,6",-47%,"51,5",+477%,"51,2",+1273%,"8,8",-41%,"0,03",-76%,"0,012",-76%,8,+700%,C,+700%,D,89.5%,1.7%,3.1%,3.6%,2.1%,0.0%,44,"['E420 - Sorbitol', ""E414 - Gomme d'acacia""]",4,['Fruits à coque'],,
234,Bellarom Kaffee - 500g,20366797,,500 g,,,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
235,Rahmgemüse königsgemüse - Freshona - 750g,20368852,,750g,['Tüte'],['Freshona'],,,,,,,['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,2,,"0,5",,"6,3",,"2,9",,2,,"0,71",,"0,284",,,,,,,,,,,,,,,,,,
236,Toscaanse Aardappelpartjes Zak 500 Gram (saladinettes) Koeling - Lidl,20369040,,,,['Lidl'],,,,,,['Lidl'],['France'],[],[],,,,,,,,,?,,74,,310 kj(74 kcal),,"0,2",,0,,15,,"0,2",,2,,"0,91",,"0,364",,,,,,,,,,,,,,,,,,
237,Mâcon-Villages - 75cl,20375874,Vin de Bourgogne,75 cl,"['Bouteille', 'Verre']",['Mâcon-Villages'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bourgogne', 'Vins blancs', 'Vins du Mâconnais', 'Mâcon Villages']","['AOP', 'Déconseillé aux femmes enceintes']","['France', 'Bourgogne']",,"['EMB 71360C', 'Prissé (Saône-et-Loire, France)']",,['France'],['Sulfites'],['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,3,['Anhydride sulfureux et sulfites'],,
238,Kerst: Macadamia Nuts Blikje 150 Gram (deluxe) - 150g,20378318,"Macadamianusskerne, geröstet, gesalzen und mit Honig veredelt",150 g,['Konserve'],['Deluxe'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,,,,['Lidl'],['France'],"['Macadamianusskerne', 'Zucker', 'Palmöl', '2% Honig', 'Speisesalz', 'Glukosesirup', 'Geliermittel: Xanthan']","['Huile de palme', 'Non végétalien']",66.6 g,en quantité élevée,12 g,en quantité élevée,15.1 g,en quantité élevée,0.58 g,en quantité modérée,?,,705,+14%,2950 kj(705 kcal),+15%,"66,6",+32%,12,+90%,"15,5",-4%,"15,1",+181%,7,-64%,"0,58",+22%,"0,232",+22%,23,+367%,E,+367%,,,,,,,,,['E415 - Gomme xanthane'],4,,,
239,Meine Käserei Maasdamer,20379704,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte pressée non cuite', 'Fromages des Pays-Bas', 'Maasdam']",,,,,,['France'],[],[],28.6 g,en quantité élevée,17.6 g,en quantité élevée,0 g,en faible quantité,1.44 g,en quantité modérée,?,,369,+5%,1544 kj(369 kcal),+5%,"28,6",+4%,"17,6",-6%,0,-100%,0,-100%,28,+10%,"1,44",+8%,"0,576",+8%,15,+4%,D,+4%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
240,vis poissen - Vitakrone,20380380,,,,['Vitakrone'],,,,,,,['France'],[],[],,,,,,,,,?,,294,,1230 kj(294 kcal),,27,,"1,9",,"3,4",,"2,8",,"9,7",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,
241,Purée de marrons - Lidl - 435g,20380496,,435 g,"['Conserve', 'métal', 'Aluminium']",['Lidl'],,"['Point Vert', 'Fabriqué en France']",,,,['Lidl'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
242,Bearnaise - Kania - 252g,20381998,,252g,"['Pot', 'Verre']",['Kania'],"['Epicerie', 'Sauces', 'Sauces béarnaises']",,,,,['Lidl'],['France'],[],[],36.4 g,en quantité élevée,3.2 g,en quantité modérée,4.3 g,en faible quantité,2.1 g,en quantité élevée,?,,361,-18%,1510 kj(361 kcal),-16%,"36,4",-17%,"3,2",-43%,"8,4",+74%,"4,3",+80%,"0,7",-40%,"2,1",+30%,"0,84",+30%,16,-2%,D,-2%,D,82.5%,9.1%,4.3%,2.2%,1.2%,0.8%,39,,,,,
243,Filets de maquereaux à l'huile de tournesol,20385088,,,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', ""Filets de maquereaux à l'huile""]",,,,,,['France'],[],[],8.4 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,174,-27%,728 kj(174 kcal),-29%,"8,4",-55%,"1,7",-56%,"1,1",+138%,0,-100%,"23,6",+32%,"1,3",+41%,"0,52",+41%,3,-54%,C,-54%,D,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,
