,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,allergens,palm_ingredients,link
0,Schinkengulasch / Sauté de Porc - L'étal du Boucher - 500g e,20071806,Sauté de Jambon de Porc,500 g e,"['Plastique', 'Frais']","[""L'étal du Boucher"", 'Lidl', 'Landjunker']","['Viandes', 'Viandes fraîches', 'Porc', 'Sautes-de-porc']","['Viande Française', 'Viande Porcine Française']",['France'],"['France', 'Germany']","['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",['Lidl'],['France'],"['100 % jambon de porc', ' 4', '98€/kg']",[],3 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,?,,107,-37%,448 kj(107 kcal),-38%,3,-72%,"1,4",-66%,0,-100%,0,-100%,20,+8%,"0,13",-80%,"0,052",-80%,-3,-172%,A,-172%,,,,,,,,,,,,,
1,Classico,20073923,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,['France'],[],[],,,,,,,,,?,,213,,891 kj(213 kcal),,"9,2",,"8,2",,"28,5",,"19,1",,"3,6",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,
2,Coeus de palmier,20074531,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",,,,,,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0.4 g,en quantité modérée,?,,39,+34%,163 kj(39 kcal),+35%,"0,2",-45%,0,-100%,"5,5",+82%,"1,2",+63%,"2,3",0%,"0,4",-47%,"0,16",-47%,0,-100%,B,-100%,C,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,,,,,
3,Iced tea manga,20075149,,,,,"['Boissons', 'Thés glacés']",,,,,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.03 g,en faible quantité,?,,21,-5%,88 kj(21 kcal),-4%,0,-100%,0,-100%,"5,2",-1%,"5,1",+1%,0,-100%,"0,03",+7%,"0,012",+7%,7,-4%,D,-4%,,,,,,,,,,,,,
4,Cannelloni -,20075606,,,,,"['Viandes', 'Plats préparés', 'Plats à base de pâtes', 'Préparations de viande', 'Pâtes farcies', 'Cannelloni préparés']",,,,,,['France'],[],[],4 g,en quantité modérée,1.5 g,en quantité modérée,3.4 g,en faible quantité,0.78 g,en quantité modérée,?,,116,-25%,485 kj(116 kcal),-24%,4,-23%,"1,5",-29%,"14,1",-13%,"3,4",+17%,"4,9",-22%,"0,78",+1%,"0,312",+1%,2,-21%,B,-21%,,,,,,,,,,,,,
5,Chorizo ibérico - Realvalle,20077808,,,,['Realvalle'],"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",['en:gluten-free'],,,,,"['France', 'Espagne']",[],[],35 g,en quantité élevée,14 g,en quantité élevée,0.8 g,en faible quantité,3 g,en quantité élevée,?,,414,+2%,1732 kj(414 kcal),+1%,35,+3%,14,+9%,"0,8",-73%,"0,8",-55%,24,+5%,3,-20%,"1,2",-20%,25,+5%,E,+5%,D,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,,,,
6,Olives noires dénoyautées - Sol & Mar - 910g,20079949,"Olives noires dénoyautées, stérilisées",910 g,"['Verre', 'Métal', 'Glas']",['Sol & Mar'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Olives dénoyautées', 'Olives noires dénoyautées']",['Fabriqué en Espagne'],"['Espagne', 'Alicante']","['Lidl Stiftung & Co', 'Neckarsulm']",,['Lidl'],"['France', 'Allemagne']","['Olives noires', 'eau', 'sel', 'stabilisant : gluconate de fer ', 'II']",[],18.2 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,6.35 g,en quantité élevée,714,-5%,?,,714 kj(171 kcal),-21%,"18,2",-14%,"3,3",+18%,"< 0,5",-80%,0,-100%,1,-20%,"6,35",+77%,"2,54",+77%,15,+23%,D,+23%,A,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['E579 - Gluconate de fer'],3,,,
7,Pfiff Cashew peanut mix honig & Salz,20080372,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,"33,2",,6,,"43,6",,"34,3",,"14,8",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,
8,Natives Olivenol extra Kreta,20081010,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",,,,,,['France'],[],[],91.3 g,en quantité élevée,13.9 g,en quantité élevée,0 g,en faible quantité,,,?,,822,-5%,3439 kj(822 kcal),-4%,"91,3",-5%,"13,9",-9%,0,-100%,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,
9,"Kräutertee, Pfefferminze - Cornwall",20081171,,,,['Cornwall'],['Boissons'],,,,,,['France'],['Menthe poivrée'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,1,-98%,4 kj(1 kcal),-98%,0,-100%,0,-100%,"0,2",-98%,"0,1",-99%,0,-100%,0,-100%,0,-100%,2,-74%,C,-74%,,,,,,,,,,1,,,
10,Pain boule spécial multicéréales tranchée 500gr - Matindoux - 500g,20081706,,500 g,,['Matindoux'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,,,,,['France'],[],[],4.8 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en faible quantité,1 g,en quantité modérée,?,,292,+10%,1222 kj(292 kcal),+9%,"4,8",+7%,"0,7",+8%,"51,9",+13%,"1,2",-77%,"10,2",+21%,1,-12%,"0,4",-12%,2,+38%,B,+38%,B,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,
11,Roquefort - Les Regions De Table - 150g,20083205,,150 g,,['Les Regions De Table'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages à pâte persillée français', 'Fromages de brebis', 'Roqueforts']",['AOP'],,,,,['France'],"['lait cru de brebis', 'sel', 'ferments ', 'dont lait', 'présure', 'Penicillium roqueforti']","['Sans huile de palme', 'Non végétalien']",31.7 g,en quantité élevée,22.5 g,en quantité élevée,0 g,en faible quantité,3.7 g,en quantité élevée,?,,361,-2%,1510 kj(361 kcal),-1%,"31,7",-1%,"22,5",+1%,0,-100%,0,-100%,19,-2%,"3,7",+4%,"1,48",+4%,19,0%,E,0%,D,88.4%,4.4%,2.4%,3.1%,1.4%,0.4%,44,,3,,,
12,Gaufrettes fourrées et enrobés de chocolat,20084097,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,537,,2247 kj(537 kcal),,31,,25,,55,,37,,7,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,
13,Foe Yong Hai - Chef Select - 500g,20085513,"Bami au wok avec poireau, viande de porc cuite et jambon cuit, avec omelette, légumes et poulet, dans une sauce tomate douce",500 g,"['Cardboard', 'Plastic']",['Chef Select'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande']",['en:Beter Leven'],,,['NL 330 EG'],['Lidl'],"['Belgique', 'France']","['54 % bami goreng ', '57% nouilles cuites ', 'eau', 'semoule de blé', '14% poireau ', '9', '8% omelette ', '85% œuf ', 'huile de navette', '8', '9% viande de porc cuite ', '78% viande de porc', 'eau', 'sel', 'amidon de tapioca', 'stabilisant: diphosphates', ' dextrose', '5', '5% jambon cuit ', '97% viande de porc', 'sel nitrité pour saumure ', 'sel', 'conservateur: nitrite de sodium', 'dextrose', 'antioxydant: ascorbate de sodium', 'huile de navette', 'extrait de levure', 'sel', 'sucre', 'arômes naturels', 'oignon en poudre', '46% sauce foe yong hai ', '39% œuf frit', 'eau', 'sucre', '4% concentré de tomates', 'huile de navette', '1', '7% champignons', '1', '6% carottes', '1', '3 % viande de cuisse de poulet cuite ', '99% viande de poulet', 'sel', '1', '2% bambou', '1', '1 % oignon', '1', '1 % poireau', 'amidon de tapioca', '0', '8 % petits pois', 'amidon modifié ', 'maïs', 'extrait de levure', 'sel', ""vinaigre d'alcool"", 'jus de citron', 'épices', 'farine de blé', 'citronnelle', 'arômes naturels ', ""contient de l'œuf"", 'concentré de poivron', 'épaississant: gomme xanthane', ' acidifiant: acide acétique']","['Non végétalien', 'Non végétarien']",6.8 g,en quantité modérée,1.4 g,en faible quantité,5.4 g,en quantité modérée,0.84 g,en quantité modérée,666,+8%,?,,666 kj(159 kcal),+1%,"6,8",-8%,"1,4",-45%,"17,6",+68%,"5,4",+244%,"6,4",-32%,"0,84",-11%,"0,336",-11%,3,-11%,C,-11%,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E260 - Acide acétique']",4,"['Œufs', 'Gluten']",,
14,"Landfein Milchreis, Vanilla - 200g",20090197,,200 g,['Kunststoffbecher'],['Landfein'],"['Desserts', 'Puddings', 'Riz au lait']","['en:German Agricultural Society', ""Médaille d'or de la Société Allemande d'Agriculture"", ""Médaille d'or 2019 de la Société Allemande d'Agriculture""]",,['Deutschland'],['DE BY 77704 EG'],['NORMA'],"['Autriche', 'République tchèque', 'France', 'Allemagne']","['70% Vollmilch', '15% Zubereitung Vanillegechmack ', 'Wasser', 'Glukose-Fruktose-Sirup', 'Zucker', 'Vollmilchpulver', 'modifizierte Stärke', 'Vollei', 'Verdickungsmittel: Guarkernmehl', ' Aroma', 'Farbstoff', ' Beta-Carotin', '9% Rundkornreis', 'Zucker', 'Speisesalz', 'Verdickungsmittel: Carrageen', 'Aroma']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",2.7 g,en faible quantité,1.8 g,en quantité modérée,13 g,en quantité élevée,0.25 g,en faible quantité,?,,122,-16%,510 kj(122 kcal),-15%,"2,7",-28%,"1,8",-21%,"21,2",-6%,13,-4%,"3,1",-9%,"0,25",+94%,"0,1",+94%,4,-1%,C,-1%,B,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E160ai - Bêta-carotène', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,"['Œufs', 'Lait']",,
15,"Landfein Schoko Drink Vollmilch 3, 5% Fett, Schoko - 500ml",20091293,,500 ml,['Tetra'],['Landfein'],"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits', 'Laits aromatisés', 'Laits aromatisés au chocolat']","['Agriculture durable', 'Sans OGM', 'en:Ohne Gentechnik', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,['DE RP-247 EG'],['NORMA'],"['Autriche', 'République tchèque', 'France', 'Allemagne']","['lait entier', 'chocolat en poudre 4% ', 'sucre', 'cacao en poudre', ' sucre', ' stabilisant: carraghénanes', ' arôme naturel', ' Agiter avant usage']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3.7 g,en quantité modérée,2.6 g,en quantité élevée,7.8 g,en quantité élevée,0.12 g,en faible quantité,?,,81,+11%,339 kj(81 kcal),+9%,"3,7",+118%,"2,6",+134%,8,-27%,"7,8",-25%,"3,7",+14%,"0,12",-6%,"0,048",-6%,2,-84%,B,-84%,C,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,['Lait'],,
16,Iced drink green - Vitasia,20091606,,,,['Vitasia'],,,,,,,['France'],[],[],,,,,,,,,?,,19,,79 kj(19 kcal),,0,,0,,"4,6",,"4,5",,"0,1",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
17,Summer edition - Gelatelli,20092108,,,,['Gelatelli'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",['Fabriqué en Allemagne'],,,,,"['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,22 g,en quantité élevée,0.02 g,en faible quantité,?,,106,-48%,444 kj(106 kcal),-48%,0,-100%,0,-100%,25,-11%,22,-7%,0,-100%,"0,02",-83%,"0,008",-83%,5,-56%,C,-56%,,,,,,,,,,,,,
18,Gouda - Milbona - 200g,20092665,,200g,,['Milbona'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas']",,,,"['DE NI-058 EG', 'DE MV-026 EG']",['Lidl'],"['France', 'Suisse']",[],[],29 g,en quantité élevée,20 g,en quantité élevée,0.1 g,en faible quantité,1.8 g,en quantité élevée,?,,358,-4%,1498 kj(358 kcal),-3%,29,-5%,20,-3%,"0,1",-47%,"0,1",-39%,23,-4%,"1,8",-5%,"0,72",-5%,16,-5%,D,-5%,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,
19,Craquante saveur sour cream & cheese - Crusti Croc - 200g,20092924,Chips de pommes de terre saveur fromage et crème,200 g,"['sachet plastique', '05', 'Atmosphère protectrice', 'Sachet plastique à jeter', 'Pensez au tri!']",['Crusti Croc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]","['Fabriqué en Allemagne', ""À l'huile de tournesol""]",,,,['Lidl'],['France'],"['pommes de terre 58%', 'huile de tournesol', 'poudre de lactosérum ', 'lait', 'sel', 'fromage en poudre 1', '2% ', 'lait', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'inosinate disodique', 'oignon en poudre', 'babeurre en poudre ', 'lait', 'lait écrémé en poudre', 'acidifiants ', 'acide lactique', 'acide citrique', 'crème aigre en poudre 0', '2% ', 'lait', 'arômes', 'épices', 'colorant ', 'extrait de paprika']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34 g,en quantité élevée,2.7 g,en quantité modérée,3.3 g,en faible quantité,1.78 g,en quantité élevée,2251,+2%,?,,2251 kj(538 kcal),+2%,34,+6%,"2,7",-8%,"50,5",-2%,"3,3",+42%,6,-2%,"1,78",+24%,"0,712",+24%,15,+32%,D,+32%,B,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E270 - Acide lactique', 'E330 - Acide citrique', 'E160c - Extrait de paprika']",4,['Lait'],,
20,Poivrons Rouges Grillés - 157g,20097837,,157 g,['Bocal'],,,,,,,,['France'],[],[],,,,,,,,,?,,85,,356 kj(85 kcal),,"7,2",,"0,8",,"3,6",,"3,5",,"0,7",,2,,"0,8",,,,,,,,,,,,,,,,,,
21,"Favorina Magenbrot, Lidl",20098919,,,,['Favorina'],,,,,,['Lidl'],['France'],[],[],,,,,,,,,?,,331,,1385 kj(331 kcal),,1,,"0,3",,"73,6",,"43,9",,"4,8",,"0,48",,"0,192",,,,,,,,,,,,,,,,,,
22,Nut'Alsace,2010050180018,,,,,,['en:palm-oil-free'],,,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,575,,2406 kj(575 kcal),,"39,4",,"4,2",,"41,7",,41,,"11,1",,"0,747",,"0,299",,,,,,,,,,,,,,,,,,
23,Chausson au pomme 3 meuniers -,2010137000000,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,['France'],[],[],18 g,en quantité modérée,12 g,en quantité élevée,10 g,en quantité modérée,0.53 g,en quantité modérée,?,,303,-4%,1268 kj(303 kcal),-4%,18,0%,12,+4%,30,-9%,10,-6%,"3,6",-8%,"0,53",-11%,"0,212",-11%,17,0%,D,0%,B,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,
24,Kandijkoeken - Hema,2011266699998,,,,['Hema'],,,,,,['Hema'],['France'],"['farine de blé', 'Sucre', 'graisse de palme', '13,8% sucre candi', 'sirop de glucose', ""poudre d'oeuf de poules élevées au sol"", 'sucre caramélisé', 'poudre à lever E500', 'cannelle', 'arôme naturel', 'sel', 'émulsifiant lécithine de tournesol', ' Peut contenir: seigle', 'orge', 'avoine', 'épeautre', 'lait', 'fruits à coque']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,468,,1958 kj(468 kcal),,"17,8",,9,,"70,7",,36,,"5,3",,"0,65",,"0,26",,,,,,,,,,,,,,['E500 - Carbonates de sodium'],4,['Gluten'],['Huile de palme'],
25,Ufos - Hema - 50g,2011525499994,,50g,,['Hema'],,,,,,['Hema'],['France'],"['sucre', 'amidon de mais', 'dextrose', 'acidifiant E334', ""correcteur d'acidité E500"", 'colorants E1OO E162']",[],,,,,,,,,?,,358,,1498 kj(358 kcal),,"0,2",,"0,2",,"88,93",,52,,"0,1",,1,,"0,4",,,,,,,,,,,,,,"['E334 - Acide L-tartrique', 'E500 - Carbonates de sodium']",4,,,
26,Green Tea,2012654399995,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,['France'],[],[],,,,,,,,,?,,22,+83%,92 kj(22 kcal),+92%,0,-100%,0,-100%,"5,2",+132%,5,+313%,"0,1",-52%,"0,02",+37%,"0,008",+37%,8,+90%,D,+90%,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,
27,Black tea cranberry,2015127099996,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
28,Butteer Thins With Almonds - HEMA,2016727099997,,,,['HEMA'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,['Hema'],"['France', 'Espagne']",[],[],19.1 g,en quantité modérée,10.4 g,en quantité élevée,33.3 g,en quantité élevée,1.1 g,en quantité modérée,?,,481,+1%,2013 kj(481 kcal),+1%,"19,1",-8%,"10,4",+3%,"68,9",+8%,"33,3",+13%,"7,4",+14%,"1,1",+87%,"0,44",+87%,25,+26%,E,+26%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,
29,Butter Thins with cranberry - Hema,2016727199994,,,,['Hema'],,,,,,['Hema'],['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,18,,12,,72,,35,,6,,"1,14",,"0,456",,,,,,,,,,,,,,,,,,
30,Organic Jasmine Green Tea - Hema,2018432599991,,,,['Hema'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions']",['Bio'],,,,['Hema'],['France'],['thé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,B,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,1,,,
31,Noix de Pecan - HEMA,2018512699993,,,,['HEMA'],,,,,,['Hema'],['France'],['Noix de pécan 93%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,741,,3100 kj(741 kcal),,"72,7",,9,,"9,4",,3,,"9,7",,0,,0,,,,,,,,,,,,,,,,['Fruits à coque'],,
32,Cranberry Mix - Hema,2018513799999,,,,['Hema'],,,,,,['Hema'],['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,"34,4",,"4,2",,39,,"28,5",,"13,4",,0,,0,,,,,,,,,,,,,,,,,,
33,Limoncello Mandeln,2018514999992,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,['France'],[],[],,,,,,,,,?,,544,,2276 kj(544 kcal),,"35,5",,"13,2",,"45,4",,"43,7",,9,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,
34,Espress & Coffee Nibs Milk Chocolate - Hema - 100g,2018727899997,,100 g,,['Hema'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats au café', 'Chocolats au lait au café']","['Agriculture durable', 'en:UTZ Certified']",,,,['Hema'],['France'],"['sucre', 'beurre de cacao', 'crème déshydratée en poudre', 'pâte de cacao', 'café torréfié et moulu', ' poudre de lait entier', 'lactosérum en poudre', 'éclats de café', 'émulsifiant lécithine de soja', 'huile de tournesol', ' Peut contenir: gluten', 'blé', 'fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",32.4 g,en quantité élevée,20.4 g,en quantité élevée,50.8 g,en quantité élevée,0.17 g,en faible quantité,?,,535,,2238 kj(535 kcal),-3%,"32,4",-3%,"20,4",0%,"51,5",+6%,"50,8",+10%,6,-16%,"0,17",-27%,"0,068",-27%,21,-16%,E,-16%,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,4,,,
35,Make & Bake chocolate chip,2018822299999,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,426,,1782 kj(426 kcal),,"8,9",,"4,5",,"78,6",,"50,1",,"6,5",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,
36,Maribel abricots à tartiner,20100278,,,,['Maribel'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,['Lidl'],['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,38 g,en quantité élevée,0.05 g,en faible quantité,?,,172,-21%,720 kj(172 kcal),-21%,"0,1",-56%,"0,1",+134%,40,-25%,38,-25%,"0,6",+20%,"0,05",+127%,"0,02",+127%,8,-11%,C,-11%,B,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,
37,Brioche tranchée - Lidl - 200g,20100315,,200 g,,['Lidl'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches tranchées']",,,,,,"['France', 'Suisse']","['Viande et sous produits animaux ', '10% boeuf', '10% agneau', ' sous produits végétaux', 'céréales', 'substances minérales', 'sucre', 'huiles et graisses']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",10.2 g,en quantité modérée,4.8 g,en quantité modérée,10.1 g,en quantité modérée,0.8 g,en quantité modérée,?,,333,-5%,1393 kj(333 kcal),-6%,"10,2",-17%,"4,8",-20%,50,-3%,"10,1",-24%,"0,01",-100%,"0,8",-20%,"0,32",-20%,13,-13%,D,-13%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,3,,,
38,Mousse au Chocolat Noir - Milbona - 240g e (4 * 60g),20101176,Mousse au Chocolat Noir,240 g e (4 * 60 g),"['Frais', 'Plastique', 'Pot', 'Polystyrène']","['Milbona', 'KingFrais']","['Desserts', 'Desserts au chocolat', 'Mousses au chocolat']","['Agriculture durable', 'Point Vert', 'Fabriqué en France', 'en:UTZ Certified', 'en:utz-certified-cacao']",,"['France', 'Loire-Atlantique']","['FR 44.212.001 CE', 'Vallet (Loire-Atlantique, France)']",['Lidl'],['France'],"['Lait partiellement écrémé pasteurisé ', '72,4%', 'sucre', 'chocolat noir ', '4,5%', ' ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'arôme', 'cacao maigre', 'chocolat ', '2%', ' ', 'cacao', 'pâte de cacao', 'sucre', 'cacao', 'lait écrémé en poudre', 'gélatine', 'émulsifiant ', ""esters lactique de mono et diglycérides d'acides gras"", 'gélifiant ', 'alginate de sodium']","['Non végétalien', 'Non végétarien']",3.6 g,en quantité modérée,2.4 g,en quantité modérée,19.6 g,en quantité élevée,0.18 g,en faible quantité,?,,138,-50%,577 kj(138 kcal),-49%,"3,6",-78%,"2,4",-76%,"20,7",-6%,"19,6",-2%,"4,7",-20%,"0,18",-18%,"0,072",-18%,3,-77%,C,-77%,D,86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,"['E322i - Lécithine', 'E428 - Gélatine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E401 - Alginate de sodium']",4,"['Lait', 'Soja']",,
39,Petit pot de creme  - Kingfrais - 4x100g,20101183,,4x100g,,['Kingfrais'],,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
40,"Brotaufstrich, Scharfer Liptauer - Nixe - 200g",20101749,,200 g,['Dose'],['Nixe'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']","['Pêche durable', 'Pêche durable MSC']",,,"['MSC-C-50411', 'SGS-NL-MSC-C-0212']",,"['France', 'Allemagne', 'Espagne']",[],[],15.5 g,en quantité modérée,2.2 g,en quantité modérée,4.5 g,en faible quantité,0.98 g,en quantité modérée,?,,212,-0%,887 kj(212 kcal),+0%,"15,5",+11%,"2,2",-22%,6,+637%,"4,5",+1028%,"11,6",-42%,"0,98",-2%,"0,392",-2%,3,-31%,C,-31%,,,,,,,,,,,,,
41,Milch Drink - Milbona,20102173,,,,['Milbona'],,,,,,,['France'],[],[],,,,,,,,,?,,63,,264 kj(63 kcal),,1,,"0,6",,"6,9",,"6,7",,"6,5",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,
42,Madeleines Longues - Cornwall - 250g,20105785,,250 g,"['Sachet', 'Plastique']",['Cornwall'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",,,,,,['France'],"['Farine de blé', 'sucre', 'huile de colza', 'œufs frais 18 %', 'sirop de glucose', 'stabilisants : glycérol - sorbitols', 'sirop de sucre inverti', 'sel', 'poudres à lever : diphosphates - carbonates de sodium ', 'amidon de blé', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",20.2 g,en quantité élevée,1.9 g,en quantité modérée,31 g,en quantité élevée,0.7 g,en quantité modérée,?,,437,-1%,1828 kj(437 kcal),-0%,"20,2",-5%,"1,9",-45%,"57,1",+4%,31,+10%,"5,9",+5%,"0,7",-17%,"0,28",-17%,15,-7%,D,-7%,B,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['E422 - Glycérol', 'E420 - Sorbitol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,"['Œufs', 'Gluten']",,
