,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,manufacturing,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,ingredients_origins,packaging,generic_name,markets,palm_ingredients,link,brand_owner
22,Struis - Brouwerij 't IJ - 30cl,8717545260050,30 cl,"[""Brouwerij 't IJ""]","['France', 'Pays-Bas']","['eau', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières bio', 'Bières brunes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01', 'Déconseillé aux femmes enceintes']",['Pays-Bas'],,,3,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Gluten'],,"['Bouteille', 'Verre']",Bière brune biologique,['Ekoplaza'],,,
23,Saucisses de volaille,8717545694725,,,['France'],[],[],?,266,1113 kj(266 kcal),22,"6,5","5,1","0,4",12,"2,3","0,92",E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['Halal'],,,,,22 g,en quantité élevée,6.5 g,en quantité élevée,0.4 g,en faible quantité,2.3 g,en quantité élevée,,+48%,+46%,+86%,+79%,+308%,-23%,-27%,+29%,+29%,19,+94%,E,+94%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,
24,Panko - Yama Food,8717545892404,,['Yama Food'],"['Belgique', 'France', 'Espagne']",[],[],?,376,1573 kj(376 kcal),4,"1,7",74,"4,3",11,1,"0,4",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure', 'Panko']",,,,,,4 g,en quantité modérée,1.7 g,en quantité modérée,4.3 g,en faible quantité,1 g,en quantité modérée,,+2%,+1%,+12%,+125%,+4%,-4%,-2%,-26%,-26%,4,-36%,C,-36%,,,,,,,,,,,,,,,
25,Weichkäse in salzlake - Destan - 1500g,8717568710372,1500 g,['Destan'],['France'],"['Lait de vache pasteurisé', 'sel', 'présure biologique', 'culture bactérienne']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,271,1134 kj(271 kcal),"23,1","16,1",1,1,15,"2,6","1,04",,['Fromages à pâte molle'],['Halal'],['Pays-Bas'],['NL Z 1667 G'],,3,23.1 g,en quantité élevée,16.1 g,en quantité élevée,1 g,en faible quantité,2.6 g,en quantité élevée,,-15%,-16%,-17%,-18%,-13%,+87%,-12%,+88%,+88%,23,+61%,E,+61%,,,,,,,,,,"['métal', 'Plastique']",fromage à pâte molle en saumure,,,,
26,"Weichkäse In Salzlake, 60% Fett I. tr.",8717568710389,,,['France'],[],[],?,310,1297 kj(310 kcal),"28,1","19,6","1,3","1,3",13,"2,3","0,92",,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Goat Cheese - Yörem,8717568710433,,['Yörem'],['France'],[],[],?,299,1251 kj(299 kcal),25,"17,7","1,2","1,2","17,4","2,5",1,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages saumurés']",['Halal'],,,,,25 g,en quantité élevée,17.7 g,en quantité élevée,1.2 g,en faible quantité,2.5 g,en quantité élevée,,+5%,+6%,+10%,+11%,-28%,+24%,+1%,+85%,+85%,18,+35%,D,+35%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,Fromage de chèvre en saumure,,,,
28,Tarte pomme grillagé,8717591450597,,,['France'],[],[],?,273,1142 kj(273 kcal),9,"5,6","43,7","23,6","3,5","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Braad- en grillkruiden - Euroma - 1kg,8717600003714,1 kg,['Euroma'],['France'],['Gemengde Specerijen'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bieslook - Euroma - 200g,8717600004216,200 g,['Euroma'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gehaktkruiden - Euroma - 1kg,8717600004278,1 kg,['Euroma'],['France'],"['70% Gemengde Specerijen', 'dextrose', 'Bouillonpoeder', 'Smaakversterker ', 'Glutaminaat']",[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
