,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,manufacturing,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,ingredients_origins,packaging,generic_name,markets,palm_ingredients,link,brand_owner
54,Healthy People Watermelon Juice,8717677030149,,['Healthy People'],['France'],"['water', 'watermelon juice ', '40%', '*', 'White grape juice*', 'chokeberry juice*', 'natural flavouring', 'vitamin C and E', ' / Ingrédients: eau', 'jus de pastèque jus de raisin blanc*', 'jus de aronia*', 'arôme naturel', 'vitamine C et E', ' * ait concentraat/from concentrate / à base de concentré']",[],?,23,96 kj(23 kcal),"0,05",0,"4,9","4,9","0,3",0,0,,"['Boissons', 'Boissons sans sucre ajouté']",,,,,4,0.05 g,en faible quantité,0 g,en faible quantité,4.9 g,en quantité modérée,0 g,en faible quantité,,-48%,-51%,-85%,-100%,-43%,-28%,-40%,-100%,-100%,8,+45%,D,+45%,,,,,,,,,,,,,,,
55,Coconut water,8717677030484,,,['France'],[],[],?,18,75 kj(18 kcal),0,0,5,5,0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Cranberry -,8717677030712,,,"['France', 'Islande']",[],[],?,52,218 kj(52 kcal),"0,1",0,"13,2","12,4","0,01",1,"0,4",,,['en:FSC'],,['FSC-C014047'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Healthy People Blackcurrant 1LTR,8717677031108,,,['France'],[],[],?,46,192 kj(46 kcal),"0,1",0,"11,2","10,2","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Superfruitmix,8717677031146,,,['France'],[],[],?,46,192 kj(46 kcal),"0,1",0,"11,3","10,3","0,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Coconut water mango,8717677031368,,,['France'],[],[],?,43,180 kj(43 kcal),"0,1",0,"9,9","8,9","0,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Eau de coco et ananas,8717677031849,,,['France'],[],[],?,38,159 kj(38 kcal),"0,1",0,"8,7","8,5","0,6","0,13","0,052",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,,,,,0.1 g,en faible quantité,0 g,en faible quantité,8.5 g,en quantité élevée,0.13 g,en faible quantité,,+100%,+92%,+16%,-100%,+91%,+135%,+426%,+99%,+99%,12,+388%,E,+388%,,,,,,,,,,,,,,,
61,High protein chips cream & onions - Healthy people,8717677032907,,['Healthy people'],['France'],[],[],?,417,1745 kj(417 kcal),?,"1,2",?,"2,9",31,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Blueberry puree,8717677033720,,,['France'],[],[],?,38,159 kj(38 kcal),"0,4",0,"5,6","4,4","0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Banana water,8717677038008,,,['France'],[],[],?,25,105 kj(25 kcal),"0,1",0,"5,8","3,7","0,2","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Filled milk chocolate bears,8717677070008,,,['France'],[],[],?,546,2284 kj(546 kcal),34,16,55,54,"4,5","0,15","0,06",,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
