,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
954,Cacolac vanille - 20cl,3181550000256,C,"['Boissons', 'Produits laitiers', 'Boissons lactées', 'Laits aromatisés', 'Boissons avec sucre ajouté', 'Laits aromatisés à la vanille']","['France', 'La Réunion']","['Lait', 'sucre', 'arôme naturel vanille Stabilisant ', ' carbonate acide de sodium']",['Non végétalien'],0.5 g,en faible quantité,0.3 g,en faible quantité,11 g,en quantité élevée,0.17 g,en quantité modérée,?,,60,-13%,251 kj(60 kcal),-12%,"0,5",-47%,"0,3",-52%,11,+21%,11,+33%,"3,2",+22%,"0,17",+47%,"0,068",+47%,17,+25%,E,+25%,68.9%,1.0%,13.8%,9.0%,5.7%,1.6%,49,['Cacolac'],,['E500ii - Carbonate acide de sodium'],,['Lait'],3,20 cl,Boisson lactée vanille,"['Bouteille', 'Verre']","['FR 33.238.003 CE', 'Léognan (Gironde, France)']",['Score'],['Léognan'],,,
955,Tarte aux deux saumons et poireaux,3181580269807,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Légumes et dérivés', 'Pizzas tartes salées et quiches', 'Légumes tiges', 'Plats préparés au poisson', 'Poireaux', 'Quiches', 'Quiches au poisson', 'Quiches au saumon']",['France'],[],[],17 g,en quantité modérée,9 g,en quantité élevée,1.5 g,en faible quantité,1.2 g,en quantité modérée,?,,286,+12%,1197 kj(286 kcal),+14%,17,+4%,9,+13%,24,+44%,"1,5",-5%,"8,5",+6%,"1,2",+50%,"0,48",+50%,6,-45%,C,-45%,78.6%,9.0%,2.6%,2.8%,1.5%,5.5%,46,,,,,,,,,,,,,,,
956,Tarte fine au thon,3181580271244,,,['France'],[],[],,,,,,,,,?,,286,,1197 kj(286 kcal),,"18,9",,12,,"19,8",,"2,3",,8,,"0,79",,"0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Salade camarguaise - Jean Stalaven,3181580276188,,,['France'],[],[],,,,,,,,,?,,169,,707 kj(169 kcal),,"8,9",,"0,72",,"18,5",,"1,5",,"2,8",,1,,"0,4",,,,,,,,,,,,,['Jean Stalaven'],,,,,,,,,,,,,,
958,Céleri rémoulade - Qualité Traiteur,3181580276355,B,"['Plats préparés', 'Légumes préparés', 'Céleris Rémoulade']",['France'],"['céleri rave râpé 71 %', 'huile de colza', 'eau', 'moll? tarde de Dijon 2% ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', ""vinaigre d'alcool"", 'sucre', 'sel', ""jaune d'eut jus de citron à base de concentré"", 'épaississants: E412', 'E415', 'amidon modifié de pomUle de terre', 'poivre', ' Traces éventuelles de gluten', 'poissons', 'cruStacés', 'mollusques', 'soja', 'fruits à coque', 'graines de sésame', 'lait']",[],11.8 g,en quantité modérée,0.91 g,en faible quantité,1.8 g,en faible quantité,1.3 g,en quantité modérée,?,,125,-4%,523 kj(125 kcal),-4%,"11,8",+2%,"0,91",-8%,"2,3",-30%,"1,8",+3%,"1,2",-1%,"1,3",+29%,"0,52",+29%,4,+17%,C,+17%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,['Qualité Traiteur'],['Sans conservateurs'],"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés']",,['Moutarde'],4,,,,,,,,,
959,Duo carotte/celeri - Jean Stalaven,3181580276362,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,"4,3",,"0,38",,"5,2",,"3,9",,1,,"1,3",,"0,52",,,,,,,,,,,,,['Jean Stalaven'],['Sans conservateurs'],,,,,,,,,,,,,
960,Mini penne et tomates a l'italienne,3181580276799,,,['France'],[],[],,,,,,,,,?,,163,,682 kj(163 kcal),,"9,1",,"0,78",,"15,8",,3,,"3,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,"['EMB 22389', ""Yffiniac (Côtes-d'Armor, France)""]",,,,,
961,Bouchee a la reine - Jean Stalaven,3181580278014,,,['France'],"['INGREOIENTS feuilletée ', 'farine de BEURRE El seljt eaut champignon jambon cuit choix ', 'jambon de porc/ eaut self dextroset sirop de gluooset arômes/ stabilisant:E451 if antioxydant: Eûl conservateur: E250jt viande de poulet cuite rôtie traitée en salaison 50/1 ', 'viande de poulet eau/ fécule de mani00t sel', '/ quenelles de volàille ', ""OEUFS/ semoule de BLE durt eau/ viande de dindet huile de colzat blanc d'o EU F/ CREME farine de amidon modifiét"", 'poudre de LAIT écrernét huile de Porto 0/9%/ fond blanc de veau ', 'arômes natur self matodektrinet fécule/ plantes aromatiquest viande de veau', '/ gélifiant E407t sel/ muscade Viandes de porc et de poulet origine France Viande de dinde origine : UE Viande de veau origine : UE et hors UE Traces éventuelles de soja/ poissonst crustâ0ést mollusques/ fruits è coquet moutardet célerir graines de sésame Conditionné sous atmosphère protectrice', 'A consommer rapidement après ouverture CONSEIL DE PREPARATION : Dans un four tradition précha']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,259,,1084 kj(259 kcal),,16,,"9,6",,21,,"1,8",,7,,"0,9",,"0,36",,,,,,,,,,,,,['Jean Stalaven'],,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",,"['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,
962,Carottes Rapées Maraîchères,3181580279059,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['France'],[],[],4 g,en quantité modérée,0.31 g,en faible quantité,5.2 g,en quantité modérée,0.74 g,en quantité modérée,?,,72,-10%,301 kj(72 kcal),-9%,4,-21%,"0,31",-30%,"6,8",+12%,"5,2",+3%,"0,79",-9%,"0,74",+14%,"0,296",+14%,4,+801%,C,+801%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,,,,
963,"Carottes rapées maraicheres - Sans marque - 1,2kg",3181580279103,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['France'],[],[],4 g,en quantité modérée,0.31 g,en faible quantité,5.2 g,en quantité modérée,0.74 g,en quantité modérée,?,,72,-10%,301 kj(72 kcal),-9%,4,-21%,"0,31",-30%,"6,8",+12%,"5,2",+3%,"0,79",-9%,"0,74",+14%,"0,296",+14%,-1,-325%,A,-325%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,"['Sans marque', 'Jean Stalaven']",['Sans conservateurs'],,,,,"1,2 kg",,"['Barquette', 'Plastique']","['EMB 22389B', ""Yffiniac (Côtes-d'Armor, France)"", 'EMB 22389', ""Yffiniac (Côtes-d'Armor, France)""]",['Cora'],['France'],['France'],,
