,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
0,Mini palmiers -,27013236,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['France'],[],[],28 g,en quantité élevée,17 g,en quantité élevée,29 g,en quantité élevée,0.7 g,en quantité modérée,?,,525,+2%,2197 kj(525 kcal),+2%,28,+3%,17,+8%,61,+1%,29,+32%,"5,2",-13%,"0,7",-31%,"0,28",-31%,25,+8%,E,+8%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,,,,,,,,,,,
1,Carottes congelées - All Season,27013359,,,['France'],"['Carottes*', "" *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,29,,121 kj(29 kcal),,"0,5",,"0,1",,"4,5",,"4,3",,"0,7",,"0,1",,"0,04",,,,,,,,,,,,,['All Season'],['Bio'],,,,,,,,,,,,,
2,Ciabatta,27017142,,,['France'],[],[],,,,,,,,,?,,247,,1033 kj(247 kcal),,"1,5",,"0,7",,48,,"2,4",,"8,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Mini biscuits Minions,27017302,,,['France'],"['farine de blé', 'sucre', 'huiles végétales ', 'palme', 'colza', 'lait entier en poudre', 'poudres à lever ', ""carbonates d'ammonium' Carbonates de sodium"", 'diphosphates', 'sel', 'arôme naturel', 'émulsifiant ', ""acide diacétyltartrique d'esters de mono et diglycérides"", 'Peut contenir des traces de: oeufs', 'fruits à coque', 'arachides', 'sésame et soja', ""Conserver à l'abri de la chaleur et de l'humidité,""]","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,442,,1849 kj(442 kcal),,12,,"4,5",,74,,23,,"8,4",,"0,7",,"0,28",,,,,,,,,,,,,['Minions'],,"[""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",['Huile de palme'],['Gluten'],4,,,,,,,,,
4,Soupe tomaat basilicum - Nestlé,27020227,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,28,,117 kj(28 kcal),,"0,5",,"0,2",,"5,3",,2,,"0,8",,"1,2",,"0,48",,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,
5,Speculoos - Gala - 300grammes,27039663,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Spéculoos']",['France'],[],[],14 g,en quantité modérée,5.9 g,en quantité élevée,1.5 g,en faible quantité,0.75 g,en quantité modérée,?,,405,-15%,1695 kj(405 kcal),-15%,14,-26%,"5,9",-34%,62,-11%,"1,5",-96%,"7,2",+27%,"0,75",+5%,"0,3",+5%,13,-42%,D,-42%,83.0%,9.8%,3.2%,2.0%,1.9%,0.0%,53,['Gala'],,,,,,300 grammes,,,,,,,,
6,Salami séché à l'air -,27044452,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Salamis']",['France'],[],[],27 g,en quantité élevée,12 g,en quantité élevée,1 g,en faible quantité,3.8 g,en quantité élevée,?,,331,-14%,1385 kj(331 kcal),-15%,27,-17%,12,-8%,1,-35%,1,+33%,21,+3%,"3,8",+0%,"1,52",+0%,24,+1%,E,+1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,['Bio'],,,,,,,,,,,,,
7,Miel d'Acacia -,27044889,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,79 g,en quantité élevée,0 g,en faible quantité,?,,320,+30%,1339 kj(320 kcal),+30%,"0,5",+229%,0,-100%,79,+9%,79,+23%,"0,5",+45%,0,-100%,0,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,
8,Sablé Pur Beurre avec un Fourrage Pomme - Gala,27045350,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['Farine de blé', 'fourrage pomme 22 %', 'purée de pomme 53% ', 'soit 11,7% sur produit fini', 'sirop de glucose-fructose', 'stabilisant:glycérol', 'sucre', 'beurre', 'caramel aromatique ', 'sucre', 'eau', 'acidifiants: citrates de sodium - acide citrique', 'arôme', 'beurre pâtissier 21', '7%', 'sucre', 'œufs 3,7 % ', 'plein air', 'poudres à lever : carbonates de sodium', 'diphosphates', ""carbonates d'ammonium"", 'sel', 'lait écrémé en poudre', 'arôme']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,['Gala'],,"['E422 - Glycérol', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]",,"['Œufs', 'Gluten', 'Lait']",4,,Sablé Pur Beurre avec un Fourrage Pomme,"['Carton', 'Plastique']",,,,,,
9,Emmental light - Mont Merveille,27048955,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés']",['France'],"['lait ', 'pasteurisé', 'sel', 'ferments - lactiques', 'antiagglomérant: cellulose en poudre,']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",15 g,en quantité modérée,8.2 g,en quantité élevée,0 g,en faible quantité,1.27 g,en quantité modérée,?,,256,-32%,1071 kj(256 kcal),-31%,15,-48%,"8,2",-58%,0,-100%,0,-100%,31,+13%,"1,275",+28%,"0,51",+28%,11,-15%,D,-15%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Mont Merveille'],"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse']",['E460ii - Cellulose en poudre'],,['Lait'],4,,,,,,,,,
10,Soupe aux tomates - Delect,27052556,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,"1,4",,"0,5",,"6,1",,"2,8",,"0,8",,"0,7",,"0,28",,,,,,,,,,,,,['Delect'],,,,,,,,,,,,,,
11,Escalope Pane - Tupelo,27053539,,,['France'],[],[],,,,,,,,,?,,218,,912 kj(218 kcal),,"9,7",,"1,6",,"17,3",,"0,5",,"15,1",,"0,8",,"0,32",,,,,,,,,,,,,['Tupelo'],,,,,,,,,,,,,,
12,Zure cherry cola,27058428,,,['France'],[],[],,,,,,,,,?,,332,,1389 kj(332 kcal),,0,,0,,78,,63,,"5,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Breakfast mix - Trader Joe's,27064962,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,28,,"2,9",,40,,31,,14,,"0,02",,"0,008",,,,,,,,,,,,,"[""Trader Joe's""]",,,,,,,,,,,,,,
14,Cappelletti prosciutto crudo - / - 500gr,27066478,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,291,,1218 kj(291 kcal),,"6,5",,"2,3",,44,,"1,8",,13,,"0,9",,"0,36",,,,,,,,,,,,,['/'],,,,,,500gr,,,"['FR 57.474.001 CE', 'Mondelange (Moselle, France)']",,,,,
15,Cappellini bolognaise - Bistro’vite,27069530,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,95,,397 kj(95 kcal),,"4,1",,"2,2",,9,,"2,9",,5,,"0,4",,"0,16",,,,,,,,,,,,,['Bistro’vite'],,,,,,,,,,['Aldi'],,,,
16,Kritharaki - Greece - 500gr,27072851,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']","['Belgique', 'France']",[],[],1.2 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.01 g,en faible quantité,?,,355,+7%,1485 kj(355 kcal),+7%,"1,2",-54%,"0,2",-71%,73,+18%,3,+8%,12,+3%,"0,01",-95%,"0,004",-95%,-1,,A,,,,,,,,,['Greece'],,,,,,500gr,,,,,,,,
17,Tête gantoise - 180g,27073346,,,['France'],[],[],,,,,,,,,?,,169,,707 kj(169 kcal),,12,,"3,9",,"0,7",,"0,6",,15,,2,,"0,8",,,,,,,,,,,,,,,,,,,180 g,,,,,,,,
18,Cornet vanille - Mucci - 8X 120ma,27085738,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,276,,1155 kj(276 kcal),,13,,11,,36,,26,,"3,5",,"0,13",,"0,052",,,,,,,,,,,,,['Mucci'],,,,,,8 X 120 ma,,,,,,,,
19,Huile Extra Vierge - Olio,27089545,,,['France'],[],[],,,,,,,,,?,,822,,3439 kj(822 kcal),,91,,"13,2",,0,,0,,0,,0,,0,,,,,,,,,,,,,['Olio'],,,,,,,,,,,,,,
20,Thé vert (Ice Tea),28113997,,,"['France', 'Suisse']",[],[],,,,,,,,,47,,?,,47 kj(11 kcal),,0,,0,,2,,2,,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mayonnaise Kräuter - LeGusto - 265g,28128359,D,"['Epicerie', 'Sauces', 'Mayonnaises']","['France', 'Suisse']","['eau', 'huile de tournesol 38 %', ""jaune d'oeuf pasteurisé 4,5 % "", ""d'élevage au sol"", 'vinaigre de table', 'amidon de mais modifié', 'moutarde', 'sucre', 'sel de cuisine', 'herbes 0,5 % oignons', 'ail', 'concentré de jus de citron', 'épaississants : gomme xanthane']",['Non végétalien'],68 g,en quantité élevée,7.9 g,en quantité élevée,0.6 g,en faible quantité,1.2 g,en quantité modérée,?,,643,+5%,2690 kj(643 kcal),+5%,68,+3%,"7,9",+28%,"3,6",+34%,"0,6",-59%,"4,1",+233%,"1,2",-10%,"0,48",-10%,20,+12%,E,+12%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['LeGusto'],['Fabriqué en Suisse'],['E415 - Gomme xanthane'],,['Moutarde'],4,265g,,,,,,,,
22,Algues nori - Tanoshi,2822197018631,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Algues et dérivés', 'Algues sèches', 'Algues nori']",['France'],"['Nori ', 'Porphyra yezoensis', ' FABRIQUÉ EN CHINE']",[],3.6 g,en quantité modérée,0.9 g,en faible quantité,0.4 g,en faible quantité,1.7 g,en quantité élevée,?,,296,+41%,1238 kj(296 kcal),+31%,"3,6",+122%,"0,9",+169%,"4,9",-74%,"0,4",-5%,43,+99%,"1,7",-31%,"0,68",-31%,0,-100%,B,-100%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,['Tanoshi'],,,,,1,,,,,,,,,
23,Caffè Latte Macchiato - Penny Ready - 260g (250ml),28415183,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']","['France', 'Allemagne']",[],[],,,,,,,,,?,,79,+61%,331 kj(79 kcal),+35%,"3,9",+160%,"2,5",+176%,"8,1",-3%,"8,1",+68%,"2,8",+47%,"0,15",+5%,"0,06",+5%,,,,,,,,,,,,['Penny Ready'],,,,,,260 g (250 ml),,['PP'],"['DE BY77723 EG', 'DE BY-77723 EG']",['Penny'],['Niemcy'],"['D-86657', 'Bissingen', 'Deutschland']",,
24,Flipper - 220ml,28501374,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,"0,5",,"0,1",,"9,3",,"9,3",,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,220 ml,,,,,,,,
25,Emmental - Eco+,2860001023228,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.64 g,en quantité modérée,?,,378,+1%,1582 kj(378 kcal),+1%,30,+3%,21,+7%,"0,5",-25%,"0,5",+21%,27,-2%,"0,64",-2%,"0,256",-2%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Eco+'],,,,,,,,,,,,,,
26,emmental - Eco+,2860001023686,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['France'],[],[],30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,0.6 g,en quantité modérée,?,,380,+1%,1590 kj(380 kcal),+1%,30,+3%,21,+7%,"0,5",-25%,"0,5",+21%,27,-2%,"0,6",-8%,"0,24",-8%,11,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Eco+'],,,,,,,,,,,,,,
27,Comté aop - Nos Régions Ont Du Talent,2860060021326,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['lait cru', 'ferments lactiques', 'présure', 'sel', 'PENSEZ Affiné et conditionné par les Fromageries Atnaud 39000 POLIGNY']",['Non végétalien'],35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,?,,427,+8%,1787 kj(427 kcal),+8%,35,+7%,24,+11%,"0,5",+8%,"0,5",+80%,28,+11%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Nos Régions Ont Du Talent', 'Leclerc']",,,,['Lait'],3,,,,,['Leclerc'],,,,
28,Comté - Bio village,2860350023559,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['Lait cru', 'sel', 'ferments lactiques ', 'dont lait', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+3%,1715 kj(410 kcal),+4%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,26,+3%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio village', 'marque repère']","['Bio', 'Bio européen', 'AOP']",,,['Lait'],3,,Fromage,['Film Plastique'],,['Leclerc'],,,,
29,Comté au Lait Cru - Bio Village,2860350024204,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+3%,1715 kj(410 kcal),+4%,34,+4%,22,+1%,"0,5",+8%,"0,5",+80%,26,+3%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio Village', 'Marque Repère']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,['Leclerc'],,,,
30,Comté au lait cru - Bio Village,2860350024600,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],"['Lait* cru', 'sel', 'ferments lactiques ', 'dont lait', 'présure', "" * Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",34 g,en quantité élevée,22 g,en quantité élevée,0.4 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+3%,1715 kj(410 kcal),+4%,34,+4%,22,+1%,"0,4",-13%,"0,4",+44%,26,+3%,"0,8",-18%,"0,32",-18%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio Village', 'Marque Repère']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Lait'],3,,,,,['Leclerc'],,,,
31,Conté au lait cru - Bio Village - 250g,2860350024990,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Fromages au lait cru', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses', 'Produits AOC', 'Produits labellisés']",['France'],[],[],34 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,410,+15%,1715 kj(410 kcal),+15%,34,+16%,22,+12%,"0,5",-2%,"0,5",+57%,26,+13%,"0,8",-43%,"0,32",-43%,13,-10%,D,-10%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio Village', 'Marque Repère']","['Bio', 'AOP']",,,,,250 g,,,,['Leclerc'],,,,
32,Carottes rapées - Grand Frais,2868001006234,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['France'],['CAROTTE RAPEE'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.01 g,en faible quantité,0.4 g,en faible quantité,0.107 g,en faible quantité,?,,29,-64%,121 kj(29 kcal),-64%,"0,5",-90%,"0,01",-98%,4,-34%,"0,4",-92%,"1,1",+27%,"0,107",-83%,"0,043",-83%,-5,-1226%,A,-1226%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,['Grand Frais'],['Sans conservateurs'],,,,3,,,,,,,,,
33,Champignons eminces,2868019010049,,,['France'],[],[],,,,,,,,,?,,25,,105 kj(25 kcal),,"0,9",,"0,32",,"1,2",,"0,2",,"2,4",,"0,01",,"0,004",,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
34,Pousses haricots mungo - Grand Frais - 249g,2868150009773,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Frais', 'Légumes secs', 'Aliments à base de plantes frais', 'Pousses', 'Pousses fraîches', 'Pousses de légumineuses fraîches', 'Haricots mungos germés', 'Pousses de haricot mungo frais']",['France'],['OUSSES HARIC OTS MUNGO'],[],0.5 g,en faible quantité,0.01 g,en faible quantité,0.6 g,en faible quantité,0.017 g,en faible quantité,?,,15,-35%,63 kj(15 kcal),-34%,"0,5",+92%,"0,01",-85%,"1,2",-55%,"0,6",-46%,"2,5",+9%,"0,017",-89%,"0,007",-89%,-1,,A,,85.1%,0.0%,0.0%,9.6%,5.3%,0.0%,96,['Grand Frais'],['Sans conservateurs'],,,,,249 g,,,,,,,,
35,Salade de fruits mangues framboises - Grand Frais,2868528017713,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']",['France'],[],[],0.46 g,en faible quantité,0.01 g,en faible quantité,11.2 g,en quantité modérée,0.01 g,en faible quantité,?,,63,+7%,264 kj(63 kcal),+9%,"0,46",+36%,"0,01",-90%,"13,09",+6%,"11,17",+2%,"0,84",+57%,"0,01",-64%,"0,004",-64%,-3,,A,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,['Grand Frais'],['Sans conservateurs'],,,,,,,,,['Grand frais'],,,,
36,Duo mangue framboise - Grand Frais,2868528019229,,,['France'],"[""DUO MANGUE FRAMBOISE - PRÊT À DÉGUSTER - Sans conservateur Poids net' Prix de la barquette :""]",[],,,,,,,,,?,,62,,259 kj(62 kcal),,"0,46",,"0,01",,"13,09",,"11,17",,"0,84",,"0,01",,"0,004",,,,,,,,,,,,,['Grand Frais'],['Sans conservateurs'],,,,,,,,,,,,,
37,Salade de fruits - Grand Frais - 500g,2868703039035,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']",['France'],"['ananas', 'mangue', 'framboise', 'myrtille en proportion variable']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.8 g,en faible quantité,0.49 g,en faible quantité,7.8 g,en quantité modérée,0.01 g,en faible quantité,?,,56,-5%,234 kj(56 kcal),-4%,"0,8",+136%,"0,49",+376%,"10,6",-15%,"7,8",-28%,"0,8",+50%,"0,01",-64%,"0,004",-64%,-4,,A,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,"['Grand Frais', ""L'atelier des fruits et légumes""]","['Sans sucre ajouté', 'Sans conservateurs']",,,,1,500 g,,,,,,['Châteaurenard'],,
38,Pave de saumon - Grand Frais,2869652072357,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",['France'],['PAVE DE SAUMON'],[],13 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,200,+5%,837 kj(200 kcal),+5%,13,+10%,0,-100%,0,-100%,0,-100%,21,+4%,0,-100%,0,-100%,-3,,A,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,['Grand Frais'],,,,['Poisson'],,,,,,,,,,
39,Roti viande charolaise - sans marque - 859g,2870232089870,,"['Viandes', 'Bœuf']",['France'],['viande race charolaise'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['sans marque'],"['Viande-francaise', 'Viande-bovine-francaise']",,,,,859 g,,"['Plastique', 'Barquette']","['FR 74.225.052 CE', 'Rumilly (Haute-Savoie, France)', 'FR 42.305.002 CE', 'Talaudière (Loire, France)', 'FR 74.042.001 CE', 'Bonneville (Haute-Savoie, France)']",['Carrefour market'],['France'],,,
40,Herb & Garlic Kangaroo Steak - Gourmet Game - 496g,2877228008686,,"['Viandes', 'Steaks', 'Viandes fraîches', 'Viandes fraîches de kangourou', 'en:Kangaroo Steak']","['Australie', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Gourmet Game'],"['en:gluten-free', 'Riche en fibres', 'Riche en protéines', 'en:National Heart Foundation Approved', 'en:Riche en fer']",,,,,496 g,,"['Frais', 'plastic', 'Plastique']",,,,,,
41,CiniMinis - Nestle - 375g,28993094,,,['France'],"['Céréales 59,4 % ', 'farine de blé complet 32,5%', 'farine de riz', 'sucre', 'huile de palme', 'sirop de glucose', 'maltodextrine', 'amidon de maïs', 'dextrose', 'sel', 'cannelle', ""correcteur d'acidité: phosphates de sodium"", 'émulsifiant: lécithine de tournesol', 'colorants ', 'caramel El 50c', 'rocou E160b', 'arôme', 'antioxydant: extrait riche en tocophérols', 'vitamines ', 'PPI B5', 'B6', 'B2', 'BI', 'B9', 'D', ' et minéraux ', 'carbonate de calcium et fer', ' Peut contenir des traces de lait', ""d'arachides et fruits à coque""]",['Huile de palme'],,,,,,,,,?,,418,,1749 kj(418 kcal),,"10,1",,"4,2",,"73,4",,"24,8",,"5,7",,"1,08",,"0,432",,,,,,,,,,,,,['Nestle'],,"['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E150 - Caramel', 'E160b - Rocou', 'E306 - Extrait riche en tocophérols']",['Huile de palme'],['Gluten'],4,375 g,,,,,,,,
42,Puder Zucker - Diamant,29006687,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Diamant'],,,,,,,,,,,,,,
43,GutBio Vegetarische Gourmet-Pastete Hummus - 125g,29015870,,,['France'],"['Kichererbsen 40%', 'Sonnenblumenöl', 'Trinkwasser', 'Apfelsaft aus Apfelsaftkonzentrat', 'Sesam 2%', 'Zitronensaft aus Zitronensaftkonzentrat', 'Meersalz', 'Gewürze', 'Verdickungsmittel ', 'Johannisbrotkernmehl']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,1298,,?,,1298 kj(310 kcal),,29,,"3,6",,"7,2",,"0,5",,"4,2",,"1,3",,"0,52",,,,,,,,,,,,,['Gutbio'],"['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",,,['Graines de sésame'],4,125 g,Vegetarische Pastete,"['Dose', 'zusätzlich Plastikdeckel']",,['Aldi Nord'],['de:EU/non-EU Agriculture'],,,
44,Riesen schoko küsse - Scholetta - 300g,29038008,,"['Snacks', 'Snacks sucrés']",['France'],"['Glukose-Fruktose-Sirup', 'Schokolade 24% ', 'Zucker', 'Kakaomasse', 'Kakaobutter', 'Vollmilchpulver', 'magere Kakao', 'Emulator Lecithine ', 'Soja', 'Vanilleextrakt', 'Waffel ', 'Weizenmehl', 'Zucker', 'Weizenstärke', 'Palmfett', 'Sahnepulver', 'Emulator Lecithine ', 'Soja', 'Backtriebmittel', 'Natriumhydrogencarbonat', 'Salz', 'Aroma', 'Feuchthaltemittel Sorbitsirup', 'Hühnerei-Trockeneiweiß', 'Aroma']","['Huile de palme', 'Non végétalien', 'Végétarien']",10.8 g,en quantité modérée,6.8 g,en quantité élevée,58.8 g,en quantité élevée,0.12 g,en faible quantité,1640,-15%,?,,1640 kj(392 kcal),-13%,"10,8",-47%,"6,8",-32%,"69,6",+21%,"58,8",+66%,"3,2",-46%,"0,12",-69%,"0,048",-69%,20,+5%,E,+5%,,,,,,,,['Scholetta'],['Végétarien'],"['E500ii - Carbonate acide de sodium', 'E420ii - Sirop de sorbitol']",,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,300g,,['Karton'],,,,,,
45,Soft Mix - Aldi,29038022,,,['France'],"['SIROP DE GLUCOSE-FRUCTOSE', 'SUCRE', 'EAU', 'DEXTROSE', 'AMIDON DE MAÏS', 'GÉLATINE DE PORC', 'ARÔME', 'COLORANTS: CARMINS', 'CURCUMINE']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,332,,1389 kj(332 kcal),,0,,0,,"79,3",,"70,7",,"3,6",,"0,02",,"0,008",,,,,,,,,,,,,['Aldi'],,"['E428 - Gélatine', 'E120 - Acide carminique', 'E100 - Curcumine']",,,4,,,,,['Aldi'],,,,
