,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,nova_score,markets,packaging,traceability_code,allergens,additives,palm_ingredients,ingredients_origins,brand_owner,generic_name,manufacturing,link,producer_info
1702,"Pommes bio - Fauriel Fruits - 1,5kg",3276550312086,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",['Fauriel Fruits'],"1,5 kg",,,,"['EMB 26166F', 'Loriol-sur-Drôme (Drôme, France)']",,,,['France'],,,,,
1703,HYDROXYDASE,3760080015154,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,1234567891156,1234567891156,,,['France'],"['Thé vert 62%', 'menthe 33%', 'arôme naturel 5%']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Arômes naturels'],,,,,,,,,,,,,,,
1705,Panettone 5 céréales,8001720256106,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['France'],[],[],17 g,en quantité modérée,9.4 g,en quantité élevée,30 g,en quantité élevée,0.45 g,en quantité modérée,?,,404,+8%,1690 kj(404 kcal),+8%,17,+13%,"9,4",+5%,53,+3%,30,+16%,"8,1",+19%,"0,45",+2%,"0,18",+2%,21,+13%,E,+13%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,,,
1706,Fèves de cacao biologique,8718164788635,,,['France'],[],[],,,,,,,,,?,,342,,1431 kj(342 kcal),,"24,5",,"14,4",,"10,8",,"8,7",,"19,8",,"0,017",,"0,007",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
1707,Cookies abricots secs spiruline amandes -,3036851169211,,,['France'],[],[],,,,,,,,,?,,477,,1996 kj(477 kcal),,"21,6",,"5,1",,"59,7",,"28,6",,"8,9",,7,,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,Bubblicious strawberry splash,5704592009476,,,['France'],"['Sucre', 'sirop de ucose', 'gomme base', 'arômes', 'acidifiants ', 'E330', 'E296', 'émulsifiant lecithine de tournesol', 'humectant ', 'E422', 'huile de palmiste', 'olorant ', 'E120', 'antioxydant ', 'E321', ',']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,302,,1264 kj(302 kcal),,1,,"0,6",,73,,61,,"0,1",,"0,01",,"0,004",,,,,,,,,,,,,,,,4,,,,,"['E330 - Acide citrique', 'E296 - Acide malique', 'E422 - Glycérol', 'E120 - Acide carminique', 'E321 - Butylhydroxytoluène']",['Huile de palme'],,,,,,
1709,Miel de fleurs - Alpes Miel,3770009182072,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Alpes Miel'],,,,,,,,,['France'],,,,,
1710,Gruyère Suisse ROC Biologique,2251637046383,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,32,,19,,1,,1,,27,,"1,5",,"0,6",,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,
1711,Donuts sucré,0204453017053,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],24 g,en quantité élevée,11 g,en quantité élevée,16 g,en quantité élevée,1.1 g,en quantité modérée,?,,418,+2%,1749 kj(418 kcal),+2%,24,+5%,11,+4%,44,-2%,16,-5%,"6,2",+5%,"1,1",+16%,"0,44",+16%,22,+13%,E,+13%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,
1712,Èmincés de poulet,2447180033783,,,['France'],[],[],,,,,,,,,?,,113,,473 kj(113 kcal),,"2,2",,"0,7",,"0,5",,"0,5",,22,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,Oreilles D'Haman Au Pavot,7290006775276,,,['France'],[],[],,,,,,,,,?,,405,,1695 kj(405 kcal),,20,,"8,5",,52,,0,,5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,2 cuisse de poulet - Le Gaulois,2255110027036,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],12 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,179,-6%,749 kj(179 kcal),-6%,12,-3%,"3,3",-1%,0,-100%,0,-100%,17,-8%,"0,8",+5%,"0,32",+5%,3,-15%,C,-15%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Le Gaulois'],,,,,,,,,,,,,,
1715,Nougat caramel au sel de guérande,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Mélange de purée et jus de fruit,3276188855009,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,Jambon cuit à l'ancienne,2432857019559,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",['France'],[],[],10.6 g,en quantité modérée,3.9 g,en quantité modérée,0.2 g,en faible quantité,1.7 g,en quantité élevée,?,,177,+16%,741 kj(177 kcal),+16%,"10,6",+72%,"3,9",+62%,"0,3",-40%,"0,2",-59%,"19,8",-11%,"1,7",-13%,"0,68",-13%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,,
1718,Chêne d'argent - Coulommiers - 350g,14524067,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Coulommiers', 'Coulomniers']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Coulommiers'],350g,,,,,,,,,,,,,
1719,Poulet 100%Franc comtois,2280481098392,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
1720,Den-e-mon Miso,4512864200152,,,['France'],[],[],,,,,,,,,?,,217,,908 kj(217 kcal),,"10,5",,"1,62",,"14,5",,8,,"17,2",,"10,9",,"4,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Karotte+Orange+Ingwer,28164159,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"7,3",,"7,3",,"0,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722,Fleurs de dragees,3322219194125,,,['France'],[],[],,,,,,,,,?,,397,,1661 kj(397 kcal),,0,,0,,98,,90,,"1,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,Volnic,3664083000011,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,Café Henri Italien,3380880010823,,,['France'],[],[],,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,"0,3",,0,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1725,Sel rose d'himalaya,2525268583068,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,Jus de citron,3324321261009,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,1.75 g,en faible quantité,0.02 g,en faible quantité,?,,28,+4%,117 kj(28 kcal),+4%,"0,1",-30%,0,-100%,"6,5",+82%,"1,75",+5%,"0,4",+19%,"0,02",+123%,"0,008",+123%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,
1727,Les tartinables caviar d'aubergines,3760077166012,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",['France'],[],[],31 g,en quantité élevée,6 g,en quantité élevée,1.4 g,en faible quantité,1.2 g,en quantité modérée,?,,293,+58%,1226 kj(293 kcal),+59%,31,+86%,6,+188%,"1,9",-64%,"1,4",-53%,"0,8",-49%,"1,2",+5%,"0,48",+5%,13,+97%,D,+97%,,,,,,,,,,,,,,,,,,,,,,,
1728,Lean shake Chia seeds and Coconut cookies&cream,4251366415014,,,['France'],[],[],,,,,,,,,?,,386,,1615 kj(386 kcal),,8,,"5,4",,"25,7",,8,,"51,3",,"1,85",,"0,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,Crème de caramel au chocolat,3770003508021,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1730,"Thym Gris De Provence, 17 Grammes, Marque Ducros - 17g",3166291518604,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,['Ducros'],17 g,,,,,,,,,,,,,
1731,12 mini-wraps - Picard,3270160718436,,,['France'],[],[],,,,,,,,,?,,205,,858 kj(205 kcal),,9,,4,,22,,4,,8,,1,,"0,4",,,,,,,,,,,,,,['Picard'],,,['Picard'],,,,,,,,,,,
1732,Poulet fermier bio,2481694080550,,,['France'],[],[],,,,,,,,,?,,182,,761 kj(182 kcal),,"1,63",,"0,37",,0,,0,,"22,2",,"0,05",,"0,02",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
1733,Lo juc pomme,0634041861643,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,Terrine d'oie aux vendanges tardives,3018253171115,,,['France'],[],[],,,,,,,,,?,,212,,887 kj(212 kcal),,15,,"5,7",,"4,7",,"0,8",,14,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735,Velouté aux pois cassés,3700238361627,,,['France'],[],[],,,,,,,,,?,,38,,159 kj(38 kcal),,"0,7",,"0,4",,"4,5",,"0,4",,"2,3",,"1,13",,"0,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,Cuisse de dinde,2245031003202,,,['France'],[],[],,,,,,,,,?,,155,,649 kj(155 kcal),,"8,5",,"2,5",,"0,5",,"0,5",,19,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,Edam en tranche,3330410006147,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,28,,21,,"0,1",,"0,1",,26,,"1,8",,"0,72",,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,,,,
1738,Saute de porc - Socopa,3039050533609,,"['Viandes', 'Porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Label Rouge'],['Socopa'],,,,,,,,,,,,,,
1739,Coeur de saumon,0244954103510,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1740,6 steaks,3181238928735,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741,Joli jus,3770012759001,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,0,,0,,11,,11,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,Lait de coco - Ampawa - 250ml,93993333,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",['France'],[],[],19 g,en quantité élevée,17 g,en quantité élevée,1.4 g,en faible quantité,0.05 g,en faible quantité,?,,184,+16%,770 kj(184 kcal),+17%,19,+22%,17,+25%,"1,9",-31%,"1,4",-17%,"1,6",+26%,"0,05",-32%,"0,02",-32%,12,+26%,D,+26%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,,['Ampawa'],250 ml,,,,,,,,,,,['Thaïlande'],,
1743,Kaneelstokjes,8717729064467,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744,Saucisses herbes de volaille bio - Le Picoreur,2444021031755,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['France'],[],[],5.8 g,en quantité modérée,1.7 g,en quantité modérée,0.5 g,en faible quantité,1.6 g,en quantité élevée,?,,132,-27%,552 kj(132 kcal),-28%,"5,8",-51%,"1,7",-53%,"0,5",-60%,"0,5",-4%,19,+15%,"1,6",-10%,"0,64",-10%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,['Bio'],['Le Picoreur'],,,,,,,,,,,,,,
1745,Chevre buche 23%MG cabrifin,0202782011025,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746,Crème de champignons,01763591,,,['France'],[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"2,5",,"1,4",,"4,4",,"0,2",,"0,4",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,Saucisses volaille bio,2266539045594,,,['France'],[],[],,,,,,,,,?,,119,,498 kj(119 kcal),,"2,8",,"0,7",,"3,5",,"0,3",,20,,"1,4",,"0,56",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
1748,Crema spalmabile nocciole,8057457920018,,,['France'],[],[],,,,,,,,,?,,557,,2330 kj(557 kcal),,39,,"4,1",,37,,35,,9,,"0,67",,"0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1749,Cape Spring Chenin Blanc,3263286326814,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,Tutti candi,15895868,,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"0,5",,"0,1",,83,,66,,4,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1751,Miel De Thym Bio,3503740215309,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
1752,Saucisson sec,2678236048028,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],33 g,en quantité élevée,12 g,en quantité élevée,0.9 g,en faible quantité,4.5 g,en quantité élevée,?,,407,+1%,1703 kj(407 kcal),+1%,33,+4%,12,-2%,"1,5",-33%,"0,9",-34%,26,-6%,"4,5",-4%,"1,8",-4%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,
