,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,nova_score,markets,packaging,traceability_code,allergens,additives,palm_ingredients,ingredients_origins,brand_owner,generic_name,manufacturing,link,producer_info
0,Filet de poulet rôti,0215779030701,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['France'],[],[],5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,148,+2%,619 kj(148 kcal),+2%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,
1,Vimto Zero Fizzy PM,5010438011924,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Merguez,3039050650344,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Les caramels,3664206000300,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4 HOT CROSS BUNS,00018593,,,['France'],[],[],,,,,,,,,?,,284,,1188 kj(284 kcal),,"5,4",,"0,7",,"52,1",,"24,9",,"2,7",,"0,45",,"0,18",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,
5,Hartjes poffertjes,8712941330482,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"20,6",,"3,2",,"36,4",,"16,4",,"6,6",,"0,97",,"0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Thé vert ananas,5600785315044,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tapas Assortiment de 3 produits,8437012899889,,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,32,,"12,5",,"1,8",,"0,6",,"29,3",,"4,6",,"1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Extra,0064900000973,,,['France'],[],[],,,,,,,,,?,,3,,13 kj(3 kcal),,0,,0,,1,,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cuisse de poulet rotie issue de poulet fermier lyre jaune,2097260018041,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,
10,Nougat à l orange,3760115963092,,,['France'],[],[],,,,,,,,,?,,398,,1665 kj(398 kcal),,"7,2",,"0,55",,84,,79,,"3,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bonbon miel - Pinson,15503053,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Pinson'],,,,,,,,,,,,,,
12,Amande caramelisée - JusteBio,3700146201770,,,['France'],[],[],,,,,,,,,?,,505,,2113 kj(505 kcal),,25,,2,,54,,52,,13,,0,,0,,,,,,,,,,,,,['Bio'],['JusteBio'],,,,,,,,,,,,,,
13,Corny,4011800526719,,"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['France'],[],[],15.8 g,en quantité modérée,12.6 g,en quantité élevée,28.2 g,en quantité élevée,1.26 g,en quantité modérée,?,,433,+2%,1812 kj(433 kcal),+2%,"15,8",0%,"12,6",+111%,"66,5",+10%,"28,2",+4%,5,-33%,"1,26",+222%,"0,504",+222%,26,+97%,E,+97%,,,,,,,,,['Corny'],,,,,,,,,,,,,,
14,Bananes Rép Dominicaine Bio -  - ~1.1kg,2250106001762,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",['France'],['Bananes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar']",,~1.1 kg,1,,,,,,,,,,,,
15,Donuts chocolat,0287130019359,B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],33 g,en quantité élevée,10 g,en quantité élevée,12 g,en quantité modérée,1 g,en quantité modérée,?,,478,+17%,2000 kj(478 kcal),+17%,33,+45%,10,-6%,38,-15%,12,-29%,"6,3",+6%,1,+5%,"0,4",+5%,20,+3%,E,+3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,
16,Bâtarde multi Cereales,2450212012793,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Escalopes de dinde - Auchan,2600499020015,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,?,,106,-12%,444 kj(106 kcal),-12%,"0,5",-62%,"0,5",+24%,0,-100%,0,-100%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Auchan'],,,['Auchan'],,,,,,,,,,,
18,Sweef&sour,5011053023033,,,['France'],[],[],,,,,,,,,?,,400,,1674 kj(400 kcal),,1,,0,,"1,5",,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Protein Zero Delicatesse 100% Hydrolyzed,8436009391900,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,1,,"0,6",,"4,6",,"0,6",,85,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PVC-Free,9556089885201,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kartoffelklöße - Bofrost - 1200g,0007569006788,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bofrost'],1200g,,,"['stück', 'stück']",,,,,,,,,,
22,Aiguillettes poulet - Auchan,2600015031556,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],1.5 g,en faible quantité,0.5 g,en faible quantité,0.4 g,en faible quantité,0.1 g,en faible quantité,?,,110,-13%,460 kj(110 kcal),-12%,"1,5",-19%,"0,5",+5%,"0,5",-45%,"0,4",+34%,24,+6%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Auchan'],,,['Auchan'],,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,,,,,,,,
23,Ergonomic Triangular Earrel,6921734958204,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rahm-Rosenkohl mit Speck,0281569017641,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['portion(en)'],,,,,,,,,,
25,01502,01502,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,,,,
26,Asiatisches pfannengemüse,0281569017481,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Courge tranchée,2803074012737,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tablette chocolat noir,3760293140025,,,['France'],[],[],,,,,,,,,?,,588,,2460 kj(588 kcal),,43,,18,,36,,26,,10,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mini hüftsteacks,0844869014156,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sucette père noël,3700843526442,,,['France'],[],[],,,,,,,,,?,,577,,2414 kj(577 kcal),,38,,23,,53,,53,,"5,6",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Fuet extra chorizo,8422003090062,,['ca:Fuet'],['France'],[],[],28 g,en quantité élevée,9.3 g,en quantité élevée,1.49 g,en faible quantité,6.5 g,en quantité élevée,?,,335,-25%,1402 kj(335 kcal),-25%,28,-21%,"9,3",-29%,"3,1",-26%,"1,49",-36%,"22,7",-15%,"6,5",+63%,"2,6",+63%,23,-7%,E,-7%,,,,,,,,"['en:gluten-free', 'Fabriqué en Espagne']",,,,,,,,,,,,,,,
32,Entremets chocolat liegeois - Cora,3021990157519,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Cora'],,,,,,,,,,,,,,
33,Bleu citron  thé noir aromatisé - Les Jardins de Gaïa,3582810471722,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés au citron', 'Thés noirs aromatisés au citron']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,"['Bio', 'Bio européen']",['Les Jardins de Gaïa'],,,,,,,,,,,,,,
34,Red jalapenõs,7311312003348,,,['France'],[],[],,,,,,,,,?,,79,,331 kj(79 kcal),,0,,0,,18,,17,,"0,8",,"3,7",,"1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fripon,0208550016407,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chausson aux pommes,,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",['France'],[],[],19 g,en quantité modérée,12 g,en quantité élevée,9.2 g,en quantité modérée,0.57 g,en quantité modérée,?,,318,+1%,1331 kj(318 kcal),+1%,19,+6%,12,+4%,32,-3%,"9,2",-13%,"3,7",-5%,"0,57",-5%,"0,228",-5%,17,0%,D,0%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,,,
37,Westfälisches grünkohlgericht,0250669112549,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Raspberry & Cream,5412865023592,,,['France'],[],[],,,,,,,,,?,,369,,1544 kj(369 kcal),,"1,7",,1,,85,,67,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bio citron,8412276078027,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
40,Seelachs-Rückenfilets,0015869015140,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Pro 80,4260057667601,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,
42,Hähnchen wokfleisch Thai,0086069113059,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Brisure de crêpe chocolat noir - La Cabosse,3760044470364,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['masse cacao 72%', 'beurre de cacao', 'sucre', 'brisure de crêpe 10%: ', 'farine de blé', 'beurre', 'sucre']",['Non végétalien'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['La Cabosse'],,3,,,,"['Gluten', 'Lait']",,,,,,,,
44,Meringues éclats de caramel - Jacques Menou,3337442017028,,,['France'],[],[],,,,,,,,,?,,401,,1678 kj(401 kcal),,"1,3",,"0,086",,"91,8",,"91,8",,"5,5",,"2,346",,"0,938",,,,,,,,,,,,,,['Jacques Menou'],,,,,,,,,,,,,,
45,Makaronai - Nestlé,4820048617932,,,['France'],[],[],,,,,,,,,?,,233,,975 kj(233 kcal),,"11,1",,5,,"27,9",,"0,7",,"4,6",,"3,4",,"1,36",,,,,,,,,,,,,,['Nestlé'],,,,,,,,,,,,,,
46,Trois colorant alimentaire en poudre,3700392440701,,"['Additifs alimentaires', 'Colorants alimentaires']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,
47,Macarons aux amandes et noisettes,3279050007162,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],2.39 g,en faible quantité,0.23 g,en faible quantité,44.9 g,en quantité élevée,0.408 g,en quantité modérée,?,,326,-23%,1364 kj(326 kcal),-23%,"2,39",-87%,"0,23",-95%,"71,7",+29%,"44,9",-11%,"2,98",-65%,"0,408",+185%,"0,163",+185%,14,-20%,D,-20%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,
48,Sucre à Coco,3760289400027,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,"18,5",,"16,3",,"54,6",,54,,"2,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Lot de viennoiserie,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Lomo - Carrefour,5400101064584,,,['France'],[],[],,,,,,,,,?,,261,,1092 kj(261 kcal),,13,,"5,2",,"1,2",,"0,9",,35,,"5,8",,"2,32",,,,,,,,,,,,,['Fabriqué en Espagne'],['Carrefour'],,,['Carrefour'],,,,,,,,,,,
51,Kipneggets,8711681032120,,,['France'],[],[],,,,,,,,,?,,242,,1013 kj(242 kcal),,14,,"6,5",,16,,1,,12,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,['FSC-C103668'],,,,,,,,,
52,Mandarine,8425174016312,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,100,,"0,1",,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Mini emotis - Lindt,4000539234200,,,['France'],[],[],,,,,,,,,?,,542,,2268 kj(542 kcal),,20,,20,,56,,55,,"6,5",,"0,23",,"0,092",,,,,,,,,,,,,,['Lindt'],,,,,,,,,,,,,,
54,Saucisson au sanglier,0236745039108,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,"['FR 28.286.018 CE', 'Ollé (Eure-et-Loir, France)']",,,,,,,,,
55,Mini bears,8436554792214,,,['France'],[],[],,,,,,,,,?,,321,,1343 kj(321 kcal),,0,,0,,76,,52,,"3,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6 Wraps - Tortillas multicéréales,7408512732861,,,['France'],[],[],,,,,,,,,?,,315,,1318 kj(315 kcal),,"6,4",,"1,2",,53,,"2,4",,"8,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Mexicana street market - Old El Paso,8410076421241,,,['France'],[],[],,,,,,,,,?,,76,,318 kj(76 kcal),,"2,6",,"0,4",,"11,8",,"7,4",,"0,9",,"1,44",,"0,576",,,,,,,,,,,,,,['Old El Paso'],,,,,,,,,,,,,,
58,Saucisses de Strasbourg,3291510004047,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",['France'],[],[],34 g,en quantité élevée,12 g,en quantité élevée,1.4 g,en faible quantité,2.1 g,en quantité élevée,?,,362,+32%,1515 kj(362 kcal),+32%,34,+40%,12,+30%,"1,4",-2%,"1,4",+24%,12,-5%,"2,1",+8%,"0,84",+8%,23,+20%,E,+20%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,,,,,,,,,,,,
59,Fusilli Pois Cassés - Monoprix,45593437,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,2,,"0,4",,54,,"2,2",,22,,0,,0,,,,,,,,,,,,,['en:gluten-free'],['Monoprix'],,,['Monoprix'],,,,,,,,,,,
60,Champignon blancs moyens biologiques,8710147805261,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons blancs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,"['Bio', 'Bio européen', 'NL-BIO-01']",,,,,,,,,,,,,,,
61,Pistache,6371513092580,,,['France'],[],[],,,,,,,,,?,,632,,2644 kj(632 kcal),,52,,"9,9",,16,,"5,9",,20,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Hemani Pure Natural Honey With Ginger - Halal - 250GM,8964000735169,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Magic Zim,4306188359609,,,['France'],[],[],,,,,,,,,?,,434,,1816 kj(434 kcal),,"9,4",,4,,78,,25,,"7,1",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Risone,3760189070474,,,['France'],[],[],,,,,,,,,?,,366,,1531 kj(366 kcal),,11,,"1,8",,74,,"14,7",,11,,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Geflügelfond - 400ml,4058700734028,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,400 ml,,,['Glas'],,,,,,,,,,
66,10 croissants + 10 pains au chocolat pur beurre,0204188039290,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Pains au chocolat']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,,
67,Sablé nature bio pur beurre - La Sablésienne,3585730033681,,,['France'],[],[],,,,,,,,,?,,414,,1732 kj(414 kcal),,18,,"11,4",,"55,8",,"22,3",,6,,"0,7",,"0,28",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['La Sablésienne'],,,,,,,,,,,,,,
68,Braai seasonning,6009000733332,,,['France'],[],[],,,,,,,,,?,,206,,862 kj(206 kcal),,"6,6",,"0,6",,19,,"12,1",,"9,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Flocons d'avoines petits bio vrac,0211956018432,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,['Bio'],,,,,,,,,,,,,,,
70,Poulet,0253072090336,,,['France'],[],[],,,,,,,,,?,,104,,435 kj(104 kcal),,"1,3",,"0,4",,0,,0,,23,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Farine de ble Complete type 150 - Moulin des moines,3347431095210,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",['France'],[],[],1.46 g,en faible quantité,0.3 g,en faible quantité,1.77 g,en faible quantité,0.004 g,en faible quantité,?,,333,-3%,1393 kj(333 kcal),-3%,"1,46",+9%,"0,3",+28%,"64,6",-7%,"1,77",+16%,"12,8",+17%,"0,004",-83%,"0,002",-83%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Moulin des moines'],,,,,,,,,,,,,,
72,Cuisinetrigo sarraceni,8410509003518,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,103,,431 kj(103 kcal),,"7,6",,"0,6",,"7,4",,"2,5",,"0,6",,"0,23",,"0,092",,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'ES-ECO-012-AS', 'Sans sucre ajouté', 'Sans lactose']",,,,,,,,,,,,,,,
73,Houloveshou,5060606610008,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,261,,1092 kj(261 kcal),,"5,9",,"4,3",,46,,37,,"4,4",,"0,6",,"0,24",,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,
74,Veg & potato seasonning,6009000733325,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Classic Houmus,5056300700008,,,['France'],[],[],,,,,,,,,?,,238,,996 kj(238 kcal),,"14,1",,"1,3",,"20,8",,"0,3",,"9,2",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Tomme bleutée,2246067015221,,,['France'],[],[],,,,,,,,,?,,310,,1297 kj(310 kcal),,25,,15,,4,,2,,21,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Lurpak frying liquid,5740900401945,,,['France'],[],[],,,,,,,,,?,,745,,3117 kj(745 kcal),,"82,6",,"15,1",,"0,3",,"0,3",,0,,0,,0,,,,,,,,,,,,,,['Lurpak'],,,,,,,,,,,,,,
78,innocent - 750ml,04182238,,,['France'],[],[],,,,,,,,,191,,45,,191 kj(45 kcal),,0,,0,,11,,"9,9",,0,,0,,0,,,,,,,,,,,,,,['Innocent'],750ml,,,['Bouteille'],,,,,,,,,,
79,Viande bovine pot au feu,0208214035034,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,,,,,,,,
80,Organic English Mustard,5055052620121,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],"['Végétalien', 'Végétarien']",7 g,en quantité modérée,0.4 g,en faible quantité,10 g,en quantité modérée,0.005 g,en faible quantité,?,,171,+1%,715 kj(171 kcal),+1%,7,-35%,"0,4",-51%,19,+175%,10,+159%,6,-9%,"0,005",-100%,"0,002",-100%,1,-91%,B,-91%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,
81,Wasabi Peanuts,7711296929540,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,"13,7",,"4,2",,"63,8",,"19,9",,"11,3",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Bonbons arôme violette,3389681001627,,,['France'],[],[],,,,,,,,,?,,236,,987 kj(236 kcal),,0,,0,,98,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Cantal entre deux - 258g,2225653023680,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,258 g,,,,,,,,,,,,,
84,Pain pave sélection 400 g,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,,,
85,fruit du dragon,8590305859455,,,['France'],[],[],,,,,,,,,?,,13,,54 kj(13 kcal),,0,,0,,1,,1,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Escalope de veau - Carrefour,2418304010584,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Carrefour'],,,['Carrefour'],,,,,,,,,,,
87,Filet de poulet,2449804074288,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],2.1 g,en faible quantité,0.7 g,en faible quantité,1.4 g,en faible quantité,2.5 g,en quantité élevée,?,,109,-17%,456 kj(109 kcal),-16%,"2,1",-27%,"0,7",-6%,"1,6",+234%,"1,4",+476%,21,-8%,"2,5",+233%,1,+233%,11,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,"['EMB 38012', 'Aoste (Isère, France)', 'FR 38.012.001 CE', 'Aoste (Isère, France)']",,,,,,,,,
88,Steack à griller,2208020030900,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,,"['FR 03.190.162 CE', 'Moulins (Allier, France)']",,,,,,,,,
89,Chipola,2245864028274,,,['France'],[],[],,,,,,,,,?,,253,,1059 kj(253 kcal),,"20,6",,"7,61",,1,,"0,32",,"15,8",,"1,58",,"0,632",,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,
90,Cuisse de Poulet,0211113018435,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,"['FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,,,,
91,Oli'futé,3700976700825,,,['France'],[],[],,,,,,,,,?,,175,,732 kj(175 kcal),,19,,4,,0,,0,,"1,1",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
