,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,link,palm_ingredients,brand_owner
169,Fountain,5425005962057,['Fountain'],,['France'],[],,,[],,,,,,,,,,?,,397,,1661 kj(397 kcal),,"0,1",,0,,"98,9",,"98,9",,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
170,Thé vert menthe - Fountain,5425005969278,['Fountain'],,['France'],[],,,[],,,,,,,,,,?,,333,,1393 kj(333 kcal),,0,,0,,83,,"75,6",,"0,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,
171,Pain d'épices sucre perlé - 500g,5425006405928,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",['France'],[],,,[],,0.6 g,en faible quantité,0.3 g,en faible quantité,47 g,en quantité élevée,0.05 g,en faible quantité,?,,329,-2%,1377 kj(329 kcal),-3%,"0,6",-83%,"0,3",-76%,78,+10%,47,+16%,"3,2",-26%,"0,05",-89%,"0,02",-89%,14,-1%,D,-1%,B,,500 g,,,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,
172,Oignon de Mulhouse - Héritier,5425006573801,['Héritier'],,['France'],[],,,[],,,,,,,,,,?,,232,,971 kj(232 kcal),,"0,5",,"0,1",,57,,52,,"0,6",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,
173,Spicy mango,5425006579056,,,['France'],[],,,[],,,,,,,,,,?,,182,,761 kj(182 kcal),,"0,6",,"0,2",,"43,1",,"37,5",,"0,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,
174,Troubadour Westkust - The Musketeers - 33cl,5425006700405,['The Musketeers'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières belges', 'Bières noires', 'Bières fortes', 'Black India Pale Ale']",['France'],"['Eau', ""malt d'orge"", 'houblon', 'levure']",,['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,33 cl,"['Bouteille', 'Verre']",['Belgique'],,['405'],6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['en:Belgian hops', 'Déconseillé aux femmes enceintes']",,,,
175,"Kasha""sarrasin grillé"" - Vajra - 500g",5425006841573,['Vajra'],,['France'],[],,,[],,,,,,,,,,?,,377,,1577 kj(377 kcal),,"4,4",,1,,"68,8",,"1,5",,"13,3",,"0,03",,"0,012",,,,,,,,500 g,,,,,,,,,,,,,,,,
176,Lentilles Vertes (500 GR) - Vajra,5425006841672,['Vajra'],,['France'],['LENTILLES VERTES GROENE LINZEN'],,,[],,,,,,,,,,?,,331,,1385 kj(331 kcal),,"1,2",,"0,2",,60,,1,,24,,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,['Bio'],,,,
177,Fibres De Soja Gros (200 GR),5425006847049,,,['France'],[],,,[],,,,,,,,,,?,,348,,1456 kj(348 kcal),,"7,3",,1,,"15,4",,10,,"44,6",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,
178,Pain essenien - Vajra - 400g,5425006847094,['Vajra'],,['France'],[],,,[],,,,,,,,,,?,,228,,954 kj(228 kcal),,"2,1",,"0,5",,"18,4",,"18,4",,"10,5",,"0,01",,"0,004",,,,,,,,400 g,,,,,,,,,,,,,,,,
179,Pain Germe Epeautre Nature (400 GR) - Vajra,5425006847100,['Vajra'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",['France'],['Épeautre complet germé'],,,[],,2 g,en faible quantité,0.95 g,en faible quantité,9 g,en quantité modérée,0.015 g,en faible quantité,?,,227,-16%,950 kj(227 kcal),-15%,2,-14%,"0,95",+157%,"42,6",-13%,9,+331%,"9,7",+0%,"0,015",-99%,"0,006",-99%,-7,-333%,A,-333%,,,,,,,,,,,,,,,['Bio'],,,,
180,Pain essénien goji & chia - Vajra,5425006847889,['Vajra'],,['France'],[],,,[],,,,,,,,,,?,,239,,1000 kj(239 kcal),,"2,9",,"0,45",,"47,5",,"17,6",,"9,9",,"0,022",,"0,009",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,
181,Poitrine fumee - Frais Marche,5425007000405,['Frais Marche'],,['France'],"['VIRNDE OE PORC', 'SEL', 'SIROP DE GLUCOSE', 'RNTIOXYDRNT: E316', 'CONSERVBTEUR: E250-E252', 'FUMÉE', ' 100 G DE PRODUIT EST DE VIRNDE DE CONDITIONNÉ SOUS RTMOSPHÈRE PROTECTRICE']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,[],4,,,,,,,,,?,,257,,1075 kj(257 kcal),,"19,5",,"7,8",,"0,5",,"0,5",,"19,9",,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,
182,Seitan Shoyu Protein Bloc -,5425007800029,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",['France'],[],,,"['Végétalien', 'Végétarien']",,2.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en quantité modérée,?,,134,-19%,561 kj(134 kcal),-19%,"2,5",-52%,"0,5",-27%,2,-75%,"0,5",-54%,25,+27%,"0,5",-55%,"0,2",-55%,-2,-254%,A,-254%,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,
183,Dinkelseitan Tamari Bloc 300g,5425007800272,,,['France'],[],,,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,"2,5",,"0,4",,"1,5",,"0,4",,22,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,
184,Bertyn Bio Seitan Dinkel Tamari Steak 250G,5425007800289,['Bertyn'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",['France'],"[""64% de farine d'épeautre* "", ""16% de fcrir:e d'épeautre cu son de blé Oberkulmer Rotkorn*"", '20% tamarr ', 'fèves de soiay eau', ""sel shoch'J "", 'ecot riz* ', 'sel morio', 'aspergillus oryzae', 'gingembre*', 'laurier* et fleur de sel', 'Peut contenir des traces de céleri', 'moutarde', 'graine de sésame', 'noix', 'cacahuètes IT - ', ' formentatn in modo tradizioncle e']",,,"['Végétalien', 'Végétarien']",,2.2 g,en faible quantité,0.4 g,en faible quantité,0.4 g,en faible quantité,0.7 g,en quantité modérée,?,,120,-28%,502 kj(120 kcal),-28%,"2,2",-57%,"0,4",-42%,"1,6",-80%,"0,4",-63%,"22,2",+13%,"0,7",-37%,"0,28",-37%,-3,-331%,A,-331%,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,
185,Authentic Seitan Satay Tops - Bertyn,5425007800876,['Bertyn'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",['France'],[],,,[],,,,2.1 g,en quantité modérée,1.5 g,en faible quantité,0.3 g,en quantité modérée,?,,163,-2%,682 kj(163 kcal),-2%,?,,"2,1",+207%,?,,"1,5",+39%,"14,6",-26%,"0,3",-73%,"0,12",-73%,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,
186,Authentic Seitan Gourmet Tops - Bertyn - 400g,5425007800913,['Bertyn'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Substituts de viande', 'Seitan']",['France'],[],,,[],,,,0.3 g,en faible quantité,16.8 g,en quantité élevée,0.2 g,en faible quantité,?,,130,-22%,544 kj(130 kcal),-22%,?,,"0,3",-56%,?,,"16,8",+1456%,"9,3",-53%,"0,2",-82%,"0,08",-82%,,,,,,,400g,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,
187,Belvas - Handmade Chocolate For Lovers - 100G,5425007880403,['Belvas'],,"['France', 'Pays-Bas']","['Sucre de canne', 'masse de cacao', 'crème fraîche', 'beurre de cacao', 'sirop de glucose', 'lait entier en poudre', 'glycérol', 'sel de mer', ' Émulsifiant: lécithine de soja', ' produits de culture biologique', ' Contrôlé par Certisys BE-BIO-OI', ' [Cacao', 'sucre de canne]: commerce conforme aux normes Fairtrade', 'total 77%', ' Visitez www', 'info', 'fairtrade', 'net', ' Peut contenir des traces de noisettes', 'pistaches et amandes']","['E422 - Glycérol', 'E322i - Lécithine']",['Lait'],['Non végétalien'],4,,,,,,,,,?,,477,,1996 kj(477 kcal),,"31,1",,"16,5",,"45,1",,"39,1",,"5,1",,"0,225",,"0,09",,,,,,,,,,,,['Ekoplaza'],,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,
188,"Belvas Carrés Caramel Mit Salz, 100 GR Packung",5425007880540,['Belvas'],,"['France', 'Pays-Bas']",[],,,[],,,,,,,,,,?,,477,,1996 kj(477 kcal),,"31,1",,"16,5",,"45,1",,"39,1",,"5,1",,"0,23",,"0,092",,,,,,,,,,,,['Ekoplaza'],,,,,,,,"['Commerce équitable', 'Bio', 'Bio européen', 'Max Havelaar', 'BE-BIO-01', 'Agriculture UE/Non UE']",,,,
189,Hazelnoot Truffels Stevia,5425007880601,,,['France'],[],,,[],,,,,,,,,,?,,488,,2042 kj(488 kcal),,39,,"15,3",,"30,8",,"2,1",,"7,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
190,Cocoa Hearts Stevia,5425007880816,,,['France'],[],,,[],,,,,,,,,,?,,486,,2033 kj(486 kcal),,"36,6",,"16,3",,46,,5,,"5,9",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,
191,Chocolat Belvas,5425007881318,['Belvas'],,['France'],[],,,[],,,,,,,,,,?,,556,,2326 kj(556 kcal),,"38,9",,"20,7",,44,,42,,"7,2",,"1,63",,"0,652",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Max Havelaar']",,,,
192,Chocolate Bar Low Glycemic - Belvas,5425007881387,['Belvas'],,['France'],"['Masse de cacao', 'Sucre de fleur de coco', 'Beurre de cap', 'Noisettes', 'Fèves de cacao,', ' Emulsifiant: Lécithine de sola', ' contient : noisettes et soja ', 'lécithine']",['E322i - Lécithine'],"['Fruits à coque', 'Soja']",[],4,,,,,,,,,?,,503,,2105 kj(503 kcal),,"49,5",,"24,8",,"28,9",,"25,2",,"9,4",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Max Havelaar']",,,,
193,Chocolat - Belvas,5425007881813,['Belvas'],,['France'],"['Sucre de canne°', 'Beurre de cacao°', 'Poudre de lait entier', 'Masse de cacao°', 'Noix de coco ', '3,4%', 'Poudre de cacao°', 'Amandes effilées° ', '1,7%', 'Sel de mer ', '0', '4%', 'Brisures de cacao° ', '0,4%', "" °Produits issus de l'agriculture biologique"", ' ', ' Peut contenir noisettes', 'pistaches et soja']",,"['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,?,,568,,2377 kj(568 kcal),,"41,2",,26,,"42,3",,"39,6",,"7,4",,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,
194,N'ayez pas peur du noir - Belvas,5425007881820,['Belvas'],,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,554,,2318 kj(554 kcal),,"49,3",,"29,5",,"17,3",,"9,7",,"10,2",,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01']",,,,
195,Belgian Thins,5425007881905,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,534,,2234 kj(534 kcal),,"36,4",,"20,6",,"45,3",,39,,"6,3",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Commerce équitable', 'Végétalien', 'BE-BIO-01', 'Max Havelaar']",,,,
196,Gaufrettes Artisanales -  - 500g,5425008080000,,,"['Belgique', 'France']",[],,,[],,,,,,,,,,?,,408,,1707 kj(408 kcal),,"16,5",,"10,9",,"57,7",,"27,7",,"7,6",,"1,04",,"0,416",,,,,,,,500g,,,,,,,,,,,,,,,,
197,Chocolat Cassis NewTree - 80g,5425008340036,['NewTree'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['pâte de cacao*', 'sucre de canne*', ""fibres d'agave "", 'inuline', '*', 'pur beurre de cacao*', 'arôme naturel : cassis', 'extrait de marc de raisin*', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 66%']",['E322i - Lécithine'],,[],4,34.1 g,en quantité élevée,21.3 g,en quantité élevée,28.3 g,en quantité élevée,0.0127 g,en faible quantité,2077,-9%,?,,2077 kj(496 kcal),-10%,"34,1",-13%,"21,3",-8%,"33,4",-13%,"28,3",-11%,"5,2",-32%,"0,013",-73%,"0,005",-73%,17,-20%,D,-20%,D,Chocolat noir à l'arôme naturel de Cassis Bio,80 g,['Carton'],,,['Carrefour'],85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Produit compensé carbone', 'Agriculture UE/Non UE', 'Fairtrade International', 'en:FSC', 'Fabriqué en Belgique']","['Agriculture UE / non UE', 'Made in Belgium']",,,
198,Lavande - NewTree - 80g,5425008340050,['NewTree'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Bonbons', 'Chocolats au lait']","['Belgique', 'France', 'Royaume-Uni']","['Sucre de canne', 'pur beurre de cacao', 'poudre de lait écrémé', 'pâte de cacao', 'arôme naturel de lavande', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille']",['E322i - Lécithine'],"['Lait', 'Soja']",['Non végétalien'],4,36 g,en quantité élevée,21.5 g,en quantité élevée,48.5 g,en quantité élevée,0.152 g,en faible quantité,?,,560,+1%,2340 kj(560 kcal),+1%,36,+4%,"21,5",+10%,52,+0%,"48,5",-1%,8,+12%,"0,152",-35%,"0,061",-35%,24,-6%,E,-6%,C,chocolat au lait à l'arôme naturel de lavande,80g,['Carton'],['Belgique'],,"['Cameleon', 'Carrefour', 'Delhaize', 'Délitraiteur', 'Match', 'Cora', 'TK Maxx']",90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fairtrade International']",,http://www.newtree.com/en_us/shop/chocolate-bars/lavender-bar.html,,
199,Chocolat Orange amère NewTree - 80g,5425008340166,['NewTree'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],"['pur beurre de cacao*', 'sucre de canne*', ""fibres d'agave "", 'inuline', '*', 'poudre de lait écrémé*', 'pâte de cacao*', 'quinoa* ', '5%', 'extrait de fleurs de tilleul*', ""arôme naturel d'orange amère"", 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 50%']",['E322i - Lécithine'],,['Non végétalien'],4,34.3 g,en quantité élevée,21.3 g,en quantité élevée,31.2 g,en quantité élevée,0.15 g,en faible quantité,2143,-6%,?,,2143 kj(512 kcal),-7%,"34,3",-1%,"21,3",+9%,"37,2",-28%,"31,2",-36%,"7,3",+2%,"0,15",-36%,"0,06",-36%,18,-29%,D,-29%,D,Chocolat au lait à l'arôme naturel d'Orange et au Quinoa Bio,80 g,['Carton'],,,['Carrefour'],84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Produit compensé carbone', 'Agriculture UE/Non UE', 'Fairtrade International', 'en:FSC', 'Fabriqué en Belgique']","['Agriculture UE / non UE', 'Made in Belgium']",,,
200,Chocolat Cannelle NewTree - 80g,5425008340890,['NewTree'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],"['pur beurre de cacao*', 'sucre de canne*', ""fibres d'agave "", 'inuline', '*', 'lait écrémé en poudre*', 'pâte de cacao*', 'extrait de fleur de tilleul*', 'arôme naturel de cannelle', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 50%']",['E322i - Lécithine'],,['Non végétalien'],4,35.6 g,en quantité élevée,22.3 g,en quantité élevée,32.4 g,en quantité élevée,0.157 g,en faible quantité,2167,-5%,?,,2167 kj(518 kcal),-6%,"35,6",+3%,"22,3",+14%,"35,9",-31%,"32,4",-34%,7,-2%,"0,157",-32%,"0,063",-32%,18,-29%,D,-29%,D,Chocolat au lait à l'arôme naturel de Cannelle Bio,80 g,['Carton'],,,['Carrefour'],84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Produit compensé carbone', 'Agriculture UE/Non UE', 'Fairtrade International', 'en:FSC', 'Fabriqué en Belgique']","['Agriculture UE / non UE', 'Cacao Amérique Latine', 'Made in Belgium']",,,
201,Barre de Chocolat au Spéculoos NewTree - 30g,5425008342931,['NewTree'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Chocolats', 'Bonbons', 'Barres chocolatées']","['Belgique', 'France']","['Pâte de cacao', 'sucre de canne', 'spéculoos ', '14 %', ' ', 'farine de blé', 'sucre de canne', 'graisses végétales non-hydrogénées', 'miel', 'farine de soja', 'bicarbonate de sodium', 'cannelle', ""fibres d'agave "", 'inuline', 'pur beurre de cacao', 'graines de lin ', '6 %', 'arôme naturelle de cannelle', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 66 %', ' Gluten']","['E500ii - Carbonate acide de sodium', 'E322i - Lécithine']","['Gluten', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,32.4 g,en quantité élevée,18.8 g,en quantité élevée,27.5 g,en quantité élevée,0.145 g,en faible quantité,?,,497,-1%,2079 kj(497 kcal),-1%,"32,4",+19%,"18,8",+25%,38,-32%,"27,5",-39%,"6,4",-6%,"0,145",-55%,"0,058",-55%,17,-30%,D,-30%,D,Barre de Chocolat au Spéculoos NewTree,30 g,['Papier'],['Belgique'],,"['Cameleon', 'Carrefour', 'Delhaize', 'Délitraiteur', 'Match', 'Cora']",90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['Bio', 'Commerce équitable', 'Fairtrade International']",,http://www.newtree.com/en_us/shop/chocolate-bars/belgian-biscuit-snack-bar.html,,
202,Chocolat Amandes NewTree - 80g,5425008344096,['NewTree'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",['France'],"['pur beurre de cacao*', 'sucre de canne*', ""fibres d'agave "", 'inuline', '*', 'lait écrémé en poudre*', 'pâte de cacao*', 'amandes grillées caramélisées ', '10%', 'graines de lin* ', '6%', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 50%']",['E322i - Lécithine'],,['Non végétalien'],4,37.8 g,en quantité élevée,19.6 g,en quantité élevée,28.1 g,en quantité élevée,0.135 g,en faible quantité,2200,-3%,?,,2200 kj(526 kcal),-5%,"37,8",+6%,"19,6",+9%,"32,2",-33%,"28,1",-38%,9,-0%,"0,135",-47%,"0,054",-47%,17,-32%,D,-32%,D,Chocolat au lait aux Amandes grillées et aux Graines de lin,80 g,['Carton'],['Belgique'],,['Carrefour'],84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Produit compensé carbone', 'Fairtrade International', 'en:FSC', 'Fabriqué en Belgique']",['Cacao Amérique Latine'],,,
203,Chocolat Superfruit NewTree - 80g,5425008344676,['NewTree'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['pâte de cacao*', 'sucre de canne*', ""fibres d'agave "", 'inuline', '*', 'pur beurre de cacao*', 'cranberries ', '5%', 'grenades lyophilisées ', '3%', 'extrait de marc de raisin*', 'arôme naturel de papaye', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 66%']",['E322i - Lécithine'],,[],4,39.2 g,en quantité élevée,23.3 g,en quantité élevée,28.1 g,en quantité élevée,0.03 g,en faible quantité,?,,546,-2%,2284 kj(546 kcal),-2%,"39,2",-1%,"23,3",+1%,"37,6",-3%,"28,1",-11%,"7,5",-2%,"0,03",-36%,"0,012",-36%,17,-20%,D,-20%,D,Chocolat noir aux cranberries et grenade,80 g,['Carton'],,,['Carrefour'],85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Produit compensé carbone', 'Fairtrade International', 'en:FSC', 'Fabriqué en Belgique', 'en:Re-bio-01']","['Cacao Amérique Latine', 'Made in Belgium']",,,
204,NewTree Chocolat Noir - 80g,5425008345017,['NewTree'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Chocolats noirs']","['Belgique', 'France']","['Pâte de cacao', 'sucre de canne', ""fibre d'agave "", 'inuline', 'pur beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : minimum 66 %']",['E322i - Lécithine'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,35 g,en quantité élevée,22 g,en quantité élevée,29 g,en quantité élevée,0.0127 g,en faible quantité,?,,510,-8%,2140 kj(510 kcal),-8%,35,-11%,22,-5%,"34,5",-11%,29,-9%,"5,5",-28%,"0,013",-73%,"0,005",-73%,17,-20%,D,-20%,D,Tablette de chocolat noir,80 g,['Carton'],['Belgique'],,"['Cameleon', 'Carrefour', 'Delhaize', 'Délitraiteur', 'Match', 'Cora']",85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Commerce équitable', 'Fairtrade International', 'Fabriqué en Belgique']",,http://www.newtree.com/en_us/shop/chocolate-bars/dark-chocolate-bar.html,,
205,Orange Amère - NewTree - 80g,5425008345048,['NewTree'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Belgique', 'France']","['Pur beurre de cacao', 'sucre de canne', ""fibres d'agave "", 'inuline', 'poudre de lait écrémé', 'pâte de cacao', 'quinoa ', '5 %', 'extrait de fleur de tilleul', ""arôme naturel d'orange amère"", 'émulsifiant : lécithine de soja', 'arôme naturel de vanille']",['E322i - Lécithine'],,['Non végétalien'],4,34.5 g,en quantité élevée,21.5 g,en quantité élevée,31 g,en quantité élevée,0.152 g,en faible quantité,?,,510,-8%,2140 kj(510 kcal),-7%,"34,5",0%,"21,5",+10%,37,-29%,31,-37%,"7,5",+5%,"0,152",-35%,"0,061",-35%,17,-33%,D,-33%,D,Tablette de chocolat au lait à l'arôme naturel d'orange et au quinoa,80 g,['Carton'],['Belgique'],,"['Cameleon', 'Carrefour', 'Delhaize', 'Délitraiteur', 'Match', 'Cora']",84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Fairtrade International']",,http://www.newtree.com/en_us/shop/chocolate-bars/orange-bar.html,,
206,Cannelle  - NewTree - 80g,5425008345055,['NewTree'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Belgique', 'France']","['Pure beurre de cacao', 'sucre de cannes', ""fibre d'agave "", 'inuline', 'lait écrémé en poudre', 'pâte de cacao', 'extrait de fleur de tilleul', 'arôme de cannelle', 'émulsifiant : lécithine de soja sans OGM', 'arôme de vanille']",['E322i - Lécithine'],,['Non végétalien'],4,35.5 g,en quantité élevée,22.5 g,en quantité élevée,32.5 g,en quantité élevée,0.152 g,en faible quantité,?,,520,-6%,2180 kj(520 kcal),-6%,"35,5",+3%,"22,5",+15%,36,-31%,"32,5",-34%,7,-2%,"0,152",-35%,"0,061",-35%,18,-29%,D,-29%,D,Chocolat au lait bio à l'arôme naturel de Cannelle,80 g,['Carton'],['Belgique'],,"['Carrefour', 'Cora', 'Match', 'Delhaize', 'Cameleon', 'Délitraiteur']",84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Agriculture UE/Non UE', 'Fairtrade International', 'Fabriqué en Belgique']",,http://www.newtree.com/en_us/shop/chocolate-bars/cinnamon-bar.html,,
207,Cerise - NewTree - 80,5425008345062,['NewTree'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Belgique', 'France']","['Pâte de cacao', 'sucre de canne', ""fibre d'agave "", 'inuline', 'pur beurre de cacao', 'arôme naturel : cerise', 'extrait de marc de raisin', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille']",['E322i - Lécithine'],,[],4,34.5 g,en quantité élevée,21.5 g,en quantité élevée,28.5 g,en quantité élevée,0.0127 g,en faible quantité,?,,505,-9%,2120 kj(505 kcal),-9%,"34,5",-12%,"21,5",-7%,34,-12%,"28,5",-10%,5,-35%,"0,013",-73%,"0,005",-73%,17,-20%,D,-20%,D,Tablette de chocolat noir à l'arôme naturel de cerise,80,['Carton'],['Belgique'],,"['Carrefour', 'Cora', 'Match', 'Delhaize', 'Cameleon', 'Délitraiteur']",85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Bio européen', 'Commerce équitable', 'BE-BIO-01', 'Fairtrade International']",,http://www.newtree.com/en_us/shop/chocolate-bars/cherry-bar.html,,
