,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,link,palm_ingredients,brand_owner
60,5420060196232,5420060196232,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Bouchées glacées - Toupargel - 720ml,5420065000428,['Toupargel'],,['France'],"[""UCH 15 TOUPARGEC 15 MINI BOULES DE CRÈME ,cÉE À LA VANILLE ENROpÉES DE CHOCOLAT Au LAIT DE AVEC ECLATS D'AMANDES c ET BRISURES DE GAUFRETTES"", ': Crème glacée à la vanille ', '37,4%', ' : lait écrémé concentré réhydraté', 'sucre', 'beuŒce concentré', 'lactose et protéines de lait en poudre', 'sirop de glucose de maïs et/ou de blé', ""émulsifiant : mono - et diqlycérides d'acides gras d'origine végétale"", 'stabilisants : farine de graines de caroube - gomme guar', 'arôme naturel de vanille Bourbon', ' Chocolat au lait de couverture ', '37,4%', ' : sucre', 'beurre de cacao', 'lait entier en poudre pâte de cacao', 'matière grasse laitière anhydre', 'émulsifiant : lécithine de 5Qig', 'arôme naturel de vanille', "" Éclats d'amandes caramélisées "", '15,8%', ' : sucre', 'éclats dtgmgnd_as grillées ', '20%', ' ', ""Pourcentage exprimé sur les éclats d'amandes caramélisées "", ' Mélan e de risures de gaufrettes ', '9,4%', ' : brisures de gaufrettes ', '50%', ' trine de blé', 'sucre', 'émulsifiant : lécithine de matière']","['E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E322i - Lécithine']","['Lait', 'Fruits à coque']",['Non végétalien'],4,,,,,,,,,?,,408,,1707 kj(408 kcal),,"22,2",,"13,3",,"47,2",,"43,5",,"4,2",,"0,1",,"0,04",,,,,,,,720 ml,,,,,,,,,,,,,,,,
62,Bâtonnets Multifruits à l'eau,5420065000589,,,['France'],[],,,[],,,,,,,,,,?,,84,,351 kj(84 kcal),,"19,2",,"0,5",,"19,2",,"18,8",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,8 fusées  citron orange framboise - 480g,5420065002293,,,['France'],[],,,[],,,,,,,,,,?,,86,,360 kj(86 kcal),,"0,5",,"0,1",,"19,5",,"18,8",,"0,5",,0,,0,,,,,,,,480 g,,,,,,,,,,,,,,,,
64,Mini buchettes glacees,5420065002613,,,['France'],[],,,[],,,,,,,,,,?,,353,,1477 kj(353 kcal),,"22,9",,"20,2",,"32,9",,"32,2",,"3,3",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,
65,4 dômes glacés vanille coeur chocolat,5420065002972,,,['France'],[],,,[],,,,,,,,,,?,,303,,1268 kj(303 kcal),,18,,"7,7",,31,,31,,"3,8",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,
66,Cacao Désir Coeurs pralinés,5420066340035,,,['France'],[],,,[],,,,,,,,,,?,,543,,2272 kj(543 kcal),,"32,5",,"15,8",,"56,05",,"53,7",,"5,7",,"0,22",,"0,088",,,,,,,,,,,,,,,,,,,,,,,,
67,Truffes au arôme de noisettes - 150g,5420066370087,,,['France'],[],,,[],,,,,,,,,,?,,562,,2351 kj(562 kcal),,38,,"34,1",,"48,7",,"46,3",,"3,8",,"0,3",,"0,12",,,,,,,,150 g,,,,,,,,,,,,['Fabriqué en Belgique'],,,,
68,Burger,5420066921791,,,['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,357,,1494 kj(357 kcal),,"4,2",,"0,7",,57,,"4,5",,20,,3,,"1,2",,,,,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,
69,Aloysia,5420069200114,,,['France'],[],,,[],,,,,,,,,,?,,50,,209 kj(50 kcal),,1,,1,,20,,"0,5",,12,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
