,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,quantity,eco_score,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,additives,nova_score,generic_name,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,link,origin_detail,producer_info
13,Petit pot bebe - Comme Des Papas,3760050902149,,['France'],[],[],?,101,423 kj(101 kcal),"0,101","0,101","22,1","20,5","0,9",,,['Comme Des Papas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Brioche tranché petit déjeuner - Bigin,3760050921638,,['France'],[],[],?,347,1452 kj(347 kcal),"11,3","4,9","52,8","12,9","8,6","0,9","0,36",['Bigin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pain Au Lait - Pepites De Chocolat - Big In,3760050921669,,['France'],[],[],?,377,1577 kj(377 kcal),?,"8,4",?,"14,7","9,4",1,"0,4",['Big In'],,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait', 'Pains au lait au chocolat']",8.4 g,en quantité élevée,14.7 g,en quantité élevée,1 g,en quantité modérée,,+3%,+3%,,+71%,,-13%,+10%,+8%,+8%,76.1%,14.7%,5.2%,3.5%,0.4%,0.0%,68,,,,,,,,,,,,,,,,,,
16,Brioche tranchée,3760050921737,,['France'],[],[],?,6,25 kj(6 kcal),5,"4,9","52,8","12,9","8,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Barre pâtissière,3760050922291,,['France'],[],[],?,442,1849 kj(442 kcal),23,"2,3","51,3","23,2","6,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Saucisses au montlouis,3760051003067,,['France'],[],[],?,341,1427 kj(341 kcal),32,13,"1,1","0,7","12,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Paté de lapin aux aromates -,3760051005351,,['France'],[],[],?,333,1393 kj(333 kcal),30,11,"2,3","0,8",14,"1,7","0,68",,,,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de lapin']",11 g,en quantité élevée,0.8 g,en faible quantité,1.7 g,en quantité élevée,,+18%,+19%,+34%,+29%,+6%,-1%,-10%,+10%,+10%,76.8%,15.8%,3.6%,2.5%,1.1%,0.3%,38,30 g,en quantité élevée,21,+24%,E,+24%,,,,,,,,,,,,
20,Saucisse seche artisanale,3760051200367,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12 Gros oeufs aux Omega 3 VOLAILLES GUILLEROISES,3760051340254,,['France'],[],[],?,142,594 kj(142 kcal),"9,86","2,8","0,8","0,22","12,6",,,,,,D,"[""Produits d'élevages"", 'Œufs']",2.8 g,en quantité modérée,0.22 g,en faible quantité,,,,+8%,+7%,+5%,+17%,+18%,-55%,+2%,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,9.86 g,en quantité modérée,,,,,,,,,,,,,,,,
22,Langues de chat - Carrés Ronds - 120g,3760051390006,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-10', 'Afdiag', 'FR-070-001']",['France'],"['Farine ', 'maïs', 'riz', 'sucre blond', ""blancs d'œufs"", 'beurre', 'huile de tournesol', 'huile de coprah', 'fécule de maïs', 'gomme arabique', 'vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,351.1,1469 kj(351 kcal),23,"15,2",29,"20,8","2,7","0,1","0,04",['Carrés Ronds'],"['Œufs', 'Lait']",120 g,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Langues de chat']",15.2 g,en quantité élevée,20.8 g,en quantité élevée,0.1 g,en faible quantité,,-20%,-21%,+45%,+80%,-57%,-46%,-54%,-79%,-79%,83.1%,10.0%,3.0%,2.0%,1.8%,0.0%,50,23 g,en quantité élevée,18,-10%,D,-10%,"['Sachet', 'Plastique']","[""E414 - Gomme d'acacia""]",4,,,,,,,,,
