,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,quantity,eco_score,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,additives,nova_score,generic_name,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,link,origin_detail,producer_info
560,Crabe Noir - Le Chocolatier Sablais - 180g,3760059936473,,['France'],"['sucre', 'pâte de cacao', 'beurre de cacao', 'lait entier en poudre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ""arôme naturel d'orange"", 'colorants : E160c', 'E160a', '\rCacao : chocolat noir à 60%']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,['Le Chocolatier Sablais'],"['Lait', 'Soja']",180 g,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Chocolats noirs', 'Moulages en chocolat noir']",,,,,,,,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,['Plastique'],"['E322i - Lécithine', 'E160c - Extrait de paprika', 'E160a - Carotènes mélangés']",4,Moulage de chocolat noir,,,,,,,,
561,Galettes,3760059936558,,['France'],[],[],?,446,1866 kj(446 kcal),"22,7","14,6",52,"19,9","6,8","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Galettes - Le Chocolatier Sablais,3760059936565,,['France'],[],[],?,446,1866 kj(446 kcal),"22,7","14,6",52,"19,9","6,8","2,6","1,04",['Le Chocolatier Sablais'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Amandes assorties,3760059937333,,['France'],[],[],?,568,2377 kj(568 kcal),"41,7","17,4","40,4","36,6","10,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Galettes - Le Chocolatier Sablais,3760059937500,,['France'],[],[],?,446,1866 kj(446 kcal),"22,7","14,6",52,"19,9","6,8","2,6","1,04",['Le Chocolatier Sablais'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Chocolats avec planche et ramequins - Le Chocolatier Sablais - 260g,3760059937524,,['France'],"['Chocolat noir', 'au LAIT et blanc ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'LAIT entier en poudre', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'AMANDES grillées', 'céréales biscuitées ', 'farine de BLÉ', 'GLUTEN de BLÉ', 'malt de BLÉ', 'poudre à lever ', 'E500ii', 'sel', ""régulateur d'acidité : E170"", 'raisins ', ""huile végétale d'enrobage"", 'conservateur : ANHYDRIDE SULFUREUX', ""agent d'enrobage "", 'gomme arabique', 'gomme laque', 'PISTACHES', '\rCacao : 35% minimum ', 'chocolat au LAIT', '60% minimum ', 'chocolat noir', ' et 29 5% minimum ', 'chocolat blanc']","['Non végétalien', 'Non végétarien']",2261,?,2261 kj(540 kcal),"37,1","18,4","44,6","38,9","8,7","0,23","0,092","['Le Chocolatier Sablais', 'Diabolo']","['Gluten', 'Lait', 'Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites']",260 g,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Chocolats', 'Bonbons', 'Assortiments de chocolats']",18.4 g,en quantité élevée,38.9 g,en quantité élevée,0.23 g,en faible quantité,-1%,,-2%,+2%,-13%,-3%,-6%,+22%,+70%,+70%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,37.1 g,en quantité élevée,25,+2%,E,+2%,"['Planche', 'Bois', 'Ramequins', 'Film', 'Plastique']","['E322i - Lécithine', 'E500ii - Carbonate acide de sodium', 'E170 - Carbonates de calcium', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia"", 'E904 - Gomme-laque']",4,Assortiment de bonbons de chocolats,"['85340', 'Olonne-sur-Mer', 'Vendée', 'Pays de la Loire', 'France']",['Leclerc'],,,,,,
566,Bonhomme de Neige Chocolat Lait - Le Chocolatier Sablais - ?,3760059937548,,['France'],"['Chocolat au LAIT 96 %', 'blanc et noir ', 'sucre', 'beurre de cacao', 'pâte de cacao', 'LAIT entier en poudre', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille']",['Non végétalien'],?,561,2347 kj(561 kcal),"35,2",22,"53,8","52,9","6,5","0,12","0,048",['Le Chocolatier Sablais'],"['Lait', 'Soja']",?,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Aliments et boissons de Noël', 'Chocolats', 'Moulages en chocolat', 'Chocolats au lait', 'Chocolats de Noël']",22 g,en quantité élevée,52.9 g,en quantité élevée,0.12 g,en faible quantité,,+3%,+3%,+11%,+13%,-4%,-2%,+0%,-38%,-38%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,35.2 g,en quantité élevée,27,+3%,E,+3%,"['Sachet', 'Plastique']",['E322i - Lécithine'],4,Moulage de chocolat au lait décoré.,,,,,,,,
567,Cloche de pâques en chocolat,3760059937753,,['France'],[],[],?,575,2406 kj(575 kcal),"43,1","26,7","32,5","28,2","9,3","0,1","0,04",,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",26.7 g,en quantité élevée,28.2 g,en quantité élevée,0.1 g,en faible quantité,,+4%,+5%,+18%,+27%,-30%,-31%,+28%,-28%,-28%,,,,,,,,43.1 g,en quantité élevée,23,-2%,E,-2%,,,,,,,,,,,,
568,Lapin chocolait lait,3760059937791,,['France'],[],[],?,561,2347 kj(561 kcal),35,"21,9","54,1","53,3","6,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Poule de Pâques,3760059937838,,['France'],[],[],?,565,2364 kj(565 kcal),"36,5","22,8","50,6","49,4","6,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Chocolat bio fourré au caramel,3760059937883,['Bio'],['France'],[],[],?,527,2205 kj(527 kcal),"34,6","21,5","48,1","46,6","4,9","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Oeufs praliné assortis,3760059937890,['Bio'],['France'],[],[],?,558,2335 kj(558 kcal),"34,7","16,6","50,2","45,4","7,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Assortiment trous chocolats,3760059938057,,['France'],[],[],?,565,2364 kj(565 kcal),"36,5","22,8","50,6","49,4","6,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Nougat Amandes pistaches,3760059938415,,['France'],[],[],?,453,1895 kj(453 kcal),"16,1","1,1","71,3","61,7","8,1","0,1","0,04",,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",1.1 g,en faible quantité,61.7 g,en quantité élevée,0.1 g,en faible quantité,,+2%,+2%,+7%,-22%,+5%,+7%,+19%,+34%,+34%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,16.1 g,en quantité modérée,16,+3%,D,+3%,,,,,,,,,,,,
574,Sel de Noirmoutier pour viandes blanches - Vendélices - 250g,3760059961512,,['France'],[],[],?,?,,?,,?,,?,,,['Vendélices'],,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Corbeille Métal - SAS Paniers Terdis - 1panier,3760060005533,,['France'],"['Bouteille 37,5 cl de Bordeaux rouge ', 'contient des sulfites', '\r Papillote praliné lait : sucre', 'praliné 20 % ', 'sucre', 'pâte de noisettes', ""pâte d'amandes"", 'graisses végétales ', 'palme', 'palmiste', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'lactosérum en poudre', 'cacao maigre en poudre', 'arômes ', 'noisette', 'émulsifiant : lécithine', 'matière grasse de lait anhydre', 'lactose', '\r Ballotin 55 g de truffes fantaisie aux brisures de macaron : matières grasses végétales partiellement hydrogénées ', 'coprah', 'palmiste', 'sucre', 'cacao maigre en poudre', 'pâte de cacao', 'lactosérum en poudre', 'brisures de macaron 5 % ', 'sucre', 'amidon de blé', 'farine de blé', ""farine d'amandes"", ""albumine d'œuf"", 'arômes naturels', 'poudre à lever : carbonates de sodium', 'cacao en poudre', 'émulsifiant : lécithines de soja', 'arôme naturel de vanille', '\r Pot 200 g de fondant chocolat noir : sucre', 'huiles végétales ', 'huile de colza', 'huile de palme', 'huile de coco', 'poudre de cacao maigre ', '14 %', 'émulsifiant : lécithine de soja', '\r Verrine 90 g terrine gourmande de boudin blanc aux cèpes : gorge de porc', 'viande de volaille', 'œufs entiers', 'eau', 'oignons', 'cèpes ', '3 %', 'amidon transformé de maïs', 'poudre de lait entier', 'sel', 'poivre', 'gélifiant : carraghénanes', ""mélange d'épices "", 'dont cannelle', '\r Verrine 90 g terrine gourmande de sanglier au laurier : gorge et foie de porc', 'viande de sanglier 20 %', 'lait ', 'eau', 'poudre de lait', 'aromates', 'sel', 'fécule de pomme de terre', 'laurier 0,2 %', 'agar agar', 'poivre']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['SAS Paniers Terdis'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites']",1 panier,,['Paniers garnis'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Corbeille', 'Plastique', 'Métal', 'Carton']","['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E406 - Agar-agar']",4,Panier Garni,,,['Huile de palme'],,,,,
576,Nature Attitude Glucosamine,3760060284747,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Curcuma - Pharma&nature,3760060286888,['Bio'],['France'],"['lb INGREDlE3âS eau', 'glycérine', 'fructose', ""jus d'orange concentré"", 'extrait de rhizome de Curcuma ', 'Curcuma longa', ' titré en curcl& minoïdes', 'extrait de fruit de Grenade ', 'Punica granatum', ' titré en polyphénols et punicŒ lagines', ""extrait de fruit d'Aubergine rouge "", 'Solanum aethiopicum', ' titré en polyphénols et vitamine C', 'acide ascorbique ', 'vitamine C', '/ arôme naturel orange', 'acétate de DLolpha - tocophéryle ', 'vitamine E', 'acétate de rétinyle ', 'vitamine A', 'cholécalciférol ', 'vitamine D']",[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,['Pharma&nature'],,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,0 g,en faible quantité,0,-100%,B,-100%,,['E422 - Glycérol'],4,,,,,,,,,
578,Uridry,3760060287496,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Nougat blanc tendre,3760060460042,,['France'],[],[],?,125,523 kj(125 kcal),22,"4,3",58,50,9,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Nougat noir,3760060460097,,['France'],[],[],?,513,2146 kj(513 kcal),31,"3,7",42,31,14,"0,01","0,004",,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats noirs']",3.7 g,en quantité modérée,31 g,en quantité élevée,0.01 g,en faible quantité,,-1%,-1%,0%,+39%,-6%,-16%,+20%,-54%,-54%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,31 g,en quantité élevée,15,+4%,D,+4%,,,,,,,,,,,,
581,Fruits rouges - Silvain - 100g,3760060460233,,['France'],"['sucre', 'miel', 'fruits rouges 17% ', 'cranberry', 'fraise', 'bigarreaux ', 'sulfites', 'amandes', 'sirop de glucose', 'épine vinette 5,5%', ""blanc d'œuf"", 'feuille azyme ', 'fécule de pomme de terre', ""huile d'olive"", ""trace d'amidon de maïs""]",['Non végétalien'],?,379,1586 kj(379 kcal),"6,9",1,72,63,6,"0,15","0,06",['Silvain'],"['Œufs', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",100 g,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",1 g,en faible quantité,63 g,en quantité élevée,0.15 g,en faible quantité,,-14%,-14%,-54%,-29%,+6%,+9%,-12%,+101%,+101%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,6.9 g,en quantité modérée,14,-10%,D,-10%,"['Film', 'Plastique']",,4,Nougat blanc aux fruits rouges,,['Goût & Qualité'],,,,http://boutiquesilvain.fr/fr/nougat-aux-fruits/66-nougat-aux-fruits-rouges-100g.html,,
582,Nougat à la Pistache - Silvain - 100g,3760060460240,,['France'],"['Amandes 27%', 'sucre', 'miel', 'sirop de glucose', 'pistache 6,5%', ""blanc d'œuf"", 'feuille azyme ', 'fécule de pomme de terre', ""huile d'olive""]",['Non végétalien'],1874,?,1874 kj(448 kcal),"19,3","1,58",56,48,"9,3","0,02","0,008",['Silvain'],"['Œufs', 'Fruits à coque']",100 g,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats']",1.58 g,en quantité modérée,48 g,en quantité élevée,0.02 g,en faible quantité,+5%,,+0%,+25%,-21%,-17%,-15%,+37%,-60%,-60%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,19.3 g,en quantité modérée,16,+1%,D,+1%,"['Film', 'Plastique']",,4,,,['Goût & Qualité'],,,,http://boutiquesilvain.fr/fr/nougat-aux-fruits/69-nougat-aux-pistaches-100g.html,,
583,Le Costaud - Nougat Blanc Croquant - Silvain,3760060460257,"['Fabriqué en France', 'Fabriqué en Provence']",['France'],"['Amande 53,9 % ', 'France', 'sucre', 'miel ', 'France', ' 8,7 %', 'eau', 'sirop de glucose', 'blanc d’œuf', 'feuille azyme ', 'fécule de pomme de terre', 'eau', ""huile d'olive"", 'arôme naturel vanille']",['Non végétalien'],?,489,2046 kj(489 kcal),30,"2,2","36,6",30,16,"0,06","0,024",['Silvain'],"['Œufs', 'Fruits à coque']",,C,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",2.2 g,en quantité modérée,30 g,en quantité élevée,0.06 g,en faible quantité,,+11%,+11%,+99%,+56%,-46%,-48%,+136%,-20%,-20%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,30 g,en quantité élevée,13,-17%,D,-17%,"['Sachet', 'Plastique']",,4,Le Costaud - Nougat Blanc Croquant,"['Provence', 'France']",,,"['France', 'Hors France']",,,,
584,Nougat Noir tendre - Silvain - 200g,3760060460356,['Prix Epicure 2015'],['France'],"['Amande 63% ', 'France', 'Provence', 'miel 31%', 'beurre de cacao', 'feuille azyme ', 'fécule de pomme de terre', ""huile d'olive"", 'pectine', 'cognac', ""arôme naturel d'orange"", ""traces d'amidon de maïs""]",['Non végétalien'],?,540,2259 kj(540 kcal),39,"7,3",31,25,15,"0,05","0,02",['Silvain'],['Fruits à coque'],200 g,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats']",7.3 g,en quantité élevée,25 g,en quantité élevée,0.05 g,en faible quantité,,+21%,+21%,+153%,+267%,-54%,-56%,+121%,+0%,+0%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,39 g,en quantité élevée,16,+1%,D,+1%,"['Film', 'Plastique']",['E440 - Pectines'],4,,,['Goût & Qualité'],,,,http://boutiquesilvain.fr/fr/nougats-noirs/43-nougat-noir-croquant-en-barre.html,,
585,Nougat amandes speculos - Silvain - 100g,3760060460936,,['France'],"['Sucre', 'amande', '20 % miel', 'spéculoos 13,3 % ', 'farine de blé', 'sucre', 'huile végétales', 'sirop de sucre candi', 'poudre à lever', 'farine de soja', 'sel', 'cannelle', 'sirop de glucose', ""blanc d'œuf"", 'feuille azyme ', 'fécule de pomme de terre', ""huile d'olive"", 'arôme naturel de vanille']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,421,1761 kj(421 kcal),15,"3,2",63,51,"8,7","0,24","0,096",['Silvain'],"['Œufs', 'Gluten', 'Fruits à coque', 'Soja']",100 g,D,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats blancs']",3.2 g,en quantité modérée,51 g,en quantité élevée,0.24 g,en faible quantité,,-5%,-5%,-1%,+127%,-7%,-12%,+28%,+221%,+221%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,15 g,en quantité modérée,19,+22%,E,+22%,"['Film', 'Plastique']",,4,Nougat blanc au spéculoos - Nougat Amandes Spéculoos,,['Goût & Qualité'],,,,http://boutiquesilvain.fr/fr/nougat-aux-fruits/90-nougat-au-speculoos.html,,
586,Polissons,3760060461001,,['France'],[],[],?,454,1900 kj(454 kcal),22,"1,9",49,44,10,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Nougat blanc tendre - Créamande - 100g,3760060461292,,['France'],[],[],?,450,1883 kj(450 kcal),"19,3","1,46","57,1","48,7","9,6","0,017","0,007",['Créamande'],,100 g,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",1.46 g,en faible quantité,48.7 g,en quantité élevée,0.017 g,en faible quantité,,+2%,+2%,+28%,+4%,-16%,-16%,+42%,-77%,-77%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,19.3 g,en quantité modérée,16,+3%,D,+3%,,,,,,,,,,,,
588,Amandes enrobées au caramel pralines aux amandes - Nougat Sylvain - 250g,3760060461315,,['France'],"['AMANDES de Provence 66%', 'sucre de canne 33%', ""agent d'enrobage: gomme d'acacia"", 'arôme naturel de vanille Bourbon', 'herbes de Provence']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,566,2368 kj(566 kcal),38,14,41,40,13,"0,08","0,032",['Nougat Sylvain'],['Fruits à coque'],250 g,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Confiseries de fruits à coques', 'Amandes caramélisées', 'Pralines']",14 g,en quantité élevée,40 g,en quantité élevée,0.08 g,en faible quantité,,+25%,+25%,+135%,+229%,-40%,-39%,+147%,+137%,+137%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,38 g,en quantité élevée,15,-10%,D,-10%,"['Film', 'Plastique']","[""E414 - Gomme d'acacia""]",4,,,,,,,,,
589,Nougat noir croquant amandes broyées,3760060461605,,['France'],[],[],?,516,2159 kj(516 kcal),32,"4,9",41,31,13,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Tagliatelles,3760060560100,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,292,1222 kj(292 kcal),"2,6","0,6",55,"2,9",11,"0,06","0,024",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Tagliatelles']",0.6 g,en faible quantité,2.9 g,en faible quantité,0.06 g,en faible quantité,,-8%,-8%,+10%,0%,-9%,+44%,0%,-52%,-52%,,,,,,,,2.6 g,en faible quantité,-2,,A,,,,,,,,,,,,,
591,Tagliatelles fraiches,3760060560124,['Sans colorants'],['France'],[],[],?,292,1222 kj(292 kcal),"2,6","0,6",55,"2,9",11,"0,6","0,24",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches', 'Tagliatelles', 'Tagliatelles fraîches']",0.6 g,en faible quantité,2.9 g,en faible quantité,0.6 g,en quantité modérée,,+6%,+6%,+20%,+6%,+5%,+88%,+9%,+365%,+365%,,,,,,,,2.6 g,en faible quantité,0,,B,,,,,,,,,,,,,
592,Gnocchis pdt - Daminiani,3760060560155,,['France'],"['de Pomme de terre 7506', 'eau', 'farine de Blé tendre 00', ' contient gluten', 'farine de riz', 'eau']",[],?,160,669 kj(160 kcal),"0,4",0,"34,3","0,2","4,2","0,84","0,336",['Daminiani'],['Gluten'],,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchi de pommes de terre']",0 g,en faible quantité,0.2 g,en faible quantité,0.84 g,en quantité modérée,,-4%,-5%,-71%,-100%,+4%,-83%,0%,-26%,-26%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,0.4 g,en faible quantité,2,-44%,B,-44%,['Barquette'],,1,,,,,,,,,
593,Cannellonis au boeuf -,3760060561787,['Sans colorants'],['France'],[],[],?,281,1176 kj(281 kcal),12,4,29,"1,7",14,"0,59","0,236",,,,,"['Viandes', 'Plats préparés', 'Plats à base de pâtes', 'Préparations de viande', 'Pâtes farcies', 'Cannelloni préparés', 'Cannelloni au boeuf', 'Cannelloni à la bolognaise']",4 g,en quantité modérée,1.7 g,en faible quantité,0.59 g,en quantité modérée,,+138%,+134%,+182%,+152%,+106%,-42%,+156%,-28%,-28%,,,,,,,,12 g,en quantité modérée,3,+81%,C,+81%,,,,,,,,,,,,
594,Pâtes Soleil Ricotta Épinards - Daminiani,3760060564122,['Sans colorants'],['France'],"['Pâte 50%: Semoule de Blé dur', 'Oeufs 20 % par kg de semoule', 'eau', '  Farce 50% : Ricotta 55%', ' Épinards 30%', ' Chapelure 10%', 'flocons de pommes de terre 4%', 'Parmesan 4%', 'sel', 'poivre']",['Non végétalien'],?,218,912 kj(218 kcal),7,4,28,"1,8","9,3","0,64","0,256",['Daminiani'],"['Œufs', 'Lait']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Cannellonis ricotta epinards,3760060564177,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,218,912 kj(218 kcal),7,4,28,"1,8","9,3","0,64","0,256",,,,B,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Cannelloni préparés', 'Cannelloni végétariens', 'Cannelloni aux légumes cuits et au fromage de chèvre', 'Cannelloni à la ricotta et aux épinards', 'en:vegetarian-canelloni']",4 g,en quantité modérée,1.8 g,en faible quantité,0.64 g,en quantité modérée,,+47%,+47%,+0%,+13%,+115%,-33%,+60%,-24%,-24%,66.1%,18.2%,5.2%,5.7%,2.9%,2.1%,75,7 g,en quantité modérée,2,-59%,B,-59%,,,,,,,,,,,,
596,Ravioli savoyard - Daminiani,3760060564214,,['France'],"['Pâte 60%: Semoule de Blédur', 'Oeufs20 % par kg de semoule', 'eau', ' Farce 40% : Ricotta 30%', 'Beaufort AOP 24%', 'Raclette 20%', 'Chapelure ?12%', 'flocons de pomme de terre 12%', 'sel', 'poivre']",['Non végétalien'],?,305,1276 kj(305 kcal),"8,8","5,1",42,"2,2",13,"0,51","0,204",['Daminiani'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Sauce tomate au basilic - Daminiani,3760060564290,"['Sans colorants', 'Sans conservateurs']",['France'],"['Tomates', 'oignons', 'Basilic naturel 10%', ""huile d'olive ,sel"", 'poivre']",[],?,36,151 kj(36 kcal),"1,6","0,2","3,2","3,2",1,"0,59","0,236",['Daminiani'],,,B,"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates au basilic']",0.2 g,en faible quantité,3.2 g,en faible quantité,0.59 g,en quantité modérée,,-45%,-43%,-47%,-54%,-48%,-35%,-37%,-31%,-31%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,1.6 g,en faible quantité,2,+766%,B,+766%,,,3,,,,,,,,,
598,Ravioles 3 Fromages,3760060564603,['Sans colorants'],['France'],[],[],?,394,1648 kj(394 kcal),"11,2","3,5","58,6","6,7","12,8","0,8","0,32",,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles']",3.5 g,en quantité modérée,6.7 g,en quantité modérée,0.8 g,en quantité modérée,,+55%,+54%,+11%,-42%,+103%,+306%,+16%,-39%,-39%,,,,,,,,11.2 g,en quantité modérée,11,-12%,D,-12%,,,,,,,,,,,,
599,Ravillis boeuf et cèpes,3760060565082,['Sans conservateurs'],['France'],[],[],?,275,1151 kj(275 kcal),"8,1","2,3",38,2,11,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Ravillis boeuf et cèpes,3760060565082,['Sans conservateurs'],['France'],[],[],?,275,1151 kj(275 kcal),"8,1","2,3",38,2,11,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Raviolis de Provence - Daminiani,3760060565099,"['Sans colorants', 'Sans conservateurs']",['France'],"['Pâte 54%: Semoule de Blé dur', 'Oeufs 20 % par kg de semoule', 'eau', ""Farce 46% :Viande de boeuf d'origine Française "", '100%muscle', ' 58% ', 'Oignons 12% Jambon cuit T chapelure 7% flocons de pomme ae terre 7Y0', 'Amandes et Pignons de pin 3%', ""huile d'olives vierge"", 'sel', 'poivre']",[],?,288,1205 kj(288 kcal),10,"2,9",35,"1,9",13,"0,53","0,212",['Daminiani'],"['Œufs', 'Fruits à coque']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Soleil aux 3 Fromages,3760060568144,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,273,1142 kj(273 kcal),"7,7","4,5",38,"2,2",12,"0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Mini raviolis au beaufort,3760060568267,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,314,1314 kj(314 kcal),"9,2","5,3",43,"2,2",14,"0,42","0,168",,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",5.3 g,en quantité élevée,2.2 g,en faible quantité,0.42 g,en quantité modérée,,+70%,+69%,+71%,+159%,+73%,-17%,+88%,-58%,-58%,,,,,,,,9.2 g,en quantité modérée,4,-2%,C,-2%,,,,,,,,,,,,
604,Mini-raviolis au bouef,3760060569233,,['France'],[],[],?,325,1360 kj(325 kcal),9,"2,2",48,2,11,"0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 84.016.004 CE', 'Bédarrides (Vaucluse, France)']",,,
