,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
0,Yaourt au lait entier Saveur Citron - Casino - 500g (4x 125g),3222472101970,A,"Yaourt au lait entier, sucré, aromatisé citron",500 g (4 x 125 g),"['Frais', 'Opercules et pots plastique à jeter', 'Étui carton à recycler']","['Casino', 'Groupe Casino']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aromatisés', 'Yaourts sucrés', 'Yaourts entiers']","['Triman', 'Info-Tri Point Vert']","['Novandie (Filiale Groupe Andros) - Route de Roinville - 28700 Auneau', 'Eure-et-Loir', 'Centre-Val de Loire', 'France']","['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)', 'EMB 28015', 'Auneau (Eure-et-Loir, France)']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47220-yaourts/P-76924-casino-yaourt-citron-au-lait-entier,"['Banque alimentaire', 'Casino']",['France'],"['Lait entier 90 %', 'sucre 9,5 %', 'lait écrémé en poudre et/ou lait écrémé concentré', 'arôme citron', 'ferments lactiques']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2.9 g,en faible quantité,2 g,en quantité modérée,12 g,en quantité modérée,0.1 g,en faible quantité,381,+2%,?,,381 kj(91 kcal),0%,"2,9",-19%,2,-13%,13,+19%,12,+17%,"3,1",-11%,"0,1",-10%,"0,04",-10%,3,+20%,C,+20%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,,,
1,Céleri Remoulade - Casino - 300g,3222472108320,B,Céleri rave râpé en sauce,300 g,"['Frais', 'Plastique', 'Barquette']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Frais', 'Plats préparés frais', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Céleris Rémoulade']","['Experimentation Etiquetage Nutritionnel 2016', 'Point Vert', 'Sans conservateurs', 'Nutriscore', 'Expérimentation Nutriscore', 'Expérimentation Nutriscore A', 'Nutriscore A']",['France'],"['EMB 22389B', ""Yffiniac (Côtes-d'Armor, France)""]",,['Casino'],['France'],"['Céleri rave râpé 73% - eau - huile de colza - vinaigre d’alcool - crème fraîche - moutarde de Dijon ', ""eau - graines de moutarde - Vinaigre d'alcool - sel"", "" - sel - sucre - jaune d'œuf - fécule de manioc -  amidon transformé de pomme de terre - épaississants : gomme guar"", 'gomme xanthane - poivre']","['Œufs', 'Lait', 'Moutarde']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,6.1 g,en quantité modérée,0.9 g,en faible quantité,2.9 g,en faible quantité,0.92 g,en quantité modérée,328,-34%,79,-39%,328 kj(79 kcal),-40%,"6,1",-47%,"0,9",-9%,"4,1",+25%,"2,9",+67%,"0,8",-34%,"0,92",-9%,"0,368",-9%,0,-100%,B,-100%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",,,,
2,Café moulu Pur Arabica Scilior - Arôme intense et généreux - Casino - 250g,3222472110958,,Café moulu,250 g,,['Casino'],,,,,,['Casino'],['France'],['Café arabica 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
3,Pur Brésil - 100% arabica - Equilibré et doux - Casino - 250g,3222472110972,,Café moulu,250 g,,['Casino'],,,,,,['Casino'],['France'],['Café arabica du Brésil 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
4,Pur Colombie - 100% arabica - Fruité et acidulé - Casino - 250g,3222472111009,E,Café moulu,250 g,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés moulus']",,,,,['Casino'],['France'],['Café arabica de Colombie 100%'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,
5,Artichauts grillés marinés à l'huile d'olive - Casino - 280g,3222472111085,C,,280g,"['Bocal', 'Verre']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Artichauts', 'Artichauts en conserve']",,,,,['Casino'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,26.8%,7.3%,6.0%,4.3%,2.1%,56,,,,,
6,Panettone pur beurre recette italienne - Casino - 500g,3222472111122,C,Brioche pur beurre aux raisins secs et aux écorces d'orange confites (6%),500 g,['Carton'],['Casino'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,['Casino'],['France'],"['Farine de blé - eau - raisins secs 13,9% - sucre - beurre concentré 10,7% - levain ', 'farine de blé - eau', "" - jaune d'oeufs - écorces d'oranges 3,2% - sirop de glucose-fructose - émulsifiant: mono - et diglycérides d'acides gras - sirop de glucose - sel - arômes "", 'contient alcool', ' - protéines de lait - lait écrémé en poudre - huile de coton', ' traces de fruits à coque et de soja']","['Œufs', 'Gluten', 'Lait', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12 g,en quantité modérée,7.5 g,en quantité élevée,24 g,en quantité élevée,0.39 g,en quantité modérée,1469,-5%,349,-7%,1469 kj(349 kcal),-6%,12,-20%,"7,5",-17%,54,+5%,24,-7%,"6,3",-8%,"0,39",-12%,"0,156",-12%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,
7,Confiture Extra Abricots - Casino - 370g,3222472111269,D,,370 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)', 'EMB 46129', 'Gréalou (Lot, France)']",,['Casino'],['France'],"['abricots', 'sucre', 'sucre roux de canne', 'acidifiant : acide citrique', 'gélifiant : pectines de fruits']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,238,+7%,996 kj(238 kcal),+7%,0,-100%,0,-100%,59,+10%,59,+15%,"0,5",-3%,0,-100%,0,-100%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E330 - Acide citrique', 'E440 - Pectines']",,,,
8,Confiture extra Fraise - Casino - 750g,3222472111283,D,Confiture extra de Fraises,750 g,"['Pot', 'Verre', 'Couvercle', 'Métal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,['Casino'],['France'],"['Sucre - fraises - gélifiant : pectines - acidifiant : acide citrique', ' Préparée avec 50g de fruits pour 100g']",,[],4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,1037,+13%,?,,1037 kj(248 kcal),+14%,0,-100%,0,-100%,61,+15%,59,+16%,"< 0,5",+13%,0,-100%,0,-100%,8,-8%,C,-8%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E440 - Pectines', 'E330 - Acide citrique']",,,,
9,Gelée extra de Mûres - Casino - 370g,3222472111320,C,,370 g,"['Bocal verre', 'capsule métal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de mûres']",,,,,['Casino'],['France'],"['sucre - jus de mûres à base de concentré - gélifiant : pectines - acidifiant : acide citrique', ' Préparée avec 50 g de jus de mûres pour 100 g de produit fini']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.5 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,247,+2%,1033 kj(247 kcal),+1%,"0,5",+47%,0,-100%,60,+1%,59,+3%,"0,6",+35%,0,-100%,0,-100%,12,+3%,D,+3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E440 - Pectines', 'E330 - Acide citrique']",,,,
10,Confiture extra framboise - Casino,3222472111344,C,,,,['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,,"['EMB 19121', 'Lubersac (Corrèze, France)']",,['Casino'],['France'],['Framboises - sucre - sucre roux de canne - acidifiant : acide citrique - gélifiant : pectines de fruits'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0.02 g,en faible quantité,?,,247,+10%,1033 kj(247 kcal),+10%,0,-100%,0,-100%,60,+12%,57,+11%,"0,7",+4%,"0,02",-6%,"0,008",-6%,10,+13%,C,+13%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,"['E330 - Acide citrique', 'E440 - Pectines']",,,,
11,Confiture extra fraises - Casino - 370g,3222472111351,D,Confiture extra de fraises,370 g,"['Verre', 'Couvercle', 'Métal', 'Bocal']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['Point Vert'],,"['EMB 46029A', 'Biars-sur-Cère (Lot, France)']",,['Casino'],"['France', 'Suisse']",['Fraises - sucre - sucre roux de canne - acidifiant: acide citrique - gélifiant : pectines de fruitsPréparée avec 50 g de fruits pour 100 g de produit fini'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,1003,+9%,?,,1003 kj(240 kcal),+10%,0,-100%,0,-100%,59,+11%,59,+16%,0,-100%,0,-100%,0,-100%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E330 - Acide citrique', 'E440 - Pectines']",,,,
12,Huitres fines de Claire IGP - Terre et saveurs - Maraines Oléron (24 N°3)  - Casino - 2Kg,3222472173335,C,,2 Kg,['x24 n°3'],['Casino'],"['Produits de la mer', 'Mollusques', 'Huîtres']",,,"['FR 17.452.084 CE', 'Tremblade (Charente-Maritime, France)']",,['Casino'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,48.8%,0.0%,17.1%,13.8%,7.5%,12.7%,56,,,,,
13,Riz long grain Camargue - Casino - 1kg,3222472185338,A,Riz long grain Camargue,1 kg,['Carton'],['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain', 'Riz blanc', 'Riz de Camargue']","['Empreinte carbone', 'IGP', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",['France'],"['EMB 13212B', 'Marseille 12e  Arrondissement (Bouches-du-Rhône, France)']",,['Casino'],['France'],['Riz blanc de Camargue long grain de qualité supérieure'],,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,0.0254 g,en faible quantité,1534,+2%,361,+3%,1534 kj(361 kcal),+4%,"0,3",-84%,"0,1",-76%,81,+8%,0,-100%,"7,8",+5%,"0,025",+205%,"0,01",+205%,-1,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,['France'],,,
14,Poitrine Fumée 3 Tranches Epaisses - Casino - 300g,3222472188339,E,Poitrine de porc fumée,300 g,,['Casino'],"['Viandes', 'Porc', 'Poitrine de porc', 'Poitrine fumée']",['Fumé au bois de hêtre'],,,,['Casino'],['France'],"['Poitrine de porc - sel - dextrose - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium', ' Fumage au bois de hêtre']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,27 g,en quantité élevée,11 g,en quantité élevée,1 g,en faible quantité,2.1 g,en quantité élevée,1288,+15%,311,+13%,1288 kj(311 kcal),+13%,27,+21%,11,+30%,1,+7%,1,+53%,16,-3%,"2,1",-10%,"0,84",-10%,22,+15%,E,+15%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
15,Poitrine tranches épaisses nature - Casino - 300g,3222472188346,E,Poitrine de porc,300 g,['sachets fraîcheur'],['Casino'],"['Viandes', 'Porc', 'Poitrine de porc']",,,,,['Casino'],['France'],['Poitrine de porc - sel - dextrose - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,27 g,en quantité élevée,11 g,en quantité élevée,1 g,en faible quantité,2.1 g,en quantité élevée,1288,+15%,311,+13%,1288 kj(311 kcal),+13%,27,+21%,11,+30%,1,+7%,1,+53%,16,-3%,"2,1",-10%,"0,84",-10%,22,+15%,E,+15%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
16,Mention Bien chocolat noir - Casino - 150g,32224721945538,D,Biscuit au beurre avec tablette de chocolat,150 g,"['Boîte', 'Carton', 'Plastique']",['Casino'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat', 'Biscuits au chocolat noir', 'Biscuits tablette de chocolat noir']",,"['La Compagnie du Biscuit (Filiale Groupe Biscuits Bouvard) - 69 Avenue Jean Jaurès - 33600 Pessac', 'Gironde', 'Aquitaine-Limousin-Poitou-Charentes', 'France']","['EMB 33318A', 'Pessac (Gironde, France)']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47119-biscuits-gouters/P-53240-casino-biscuits-tablette-chocolat-noir,['Casino'],['France'],"['BISCUIT 52 % ', 'farine de blé - sucre - beurre concentré ', 'soit 14,7 % en beurre reconstitué', "" - poudres à lever : carbonate acide d'ammonium"", 'carbonate acide de sodium', 'diphosphate disodique - sirop de glucose - fructose de blé - sel - acidifiant : acide citrique', '\rCHOCOLAT 48 % ', 'sucre - pâte de cacao - beurre de cacao - lait écrémé en poudre - lait entier en poudre - émulsifiant : lécithine de soja - arôme vanille']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien']",4,23.3 g,en quantité élevée,,,,,,,2124,+2%,?,,2124 kj(508 kcal),+2%,"23,3",-4%,,,"67,6",+9%,,,"6,6",-2%,,,,,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"[""E503ii - Carbonate acide d'ammonium"", 'E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E322i - Lécithine']",,,,
17,Thé citron Casino - 25sachets de 2g,3222472217732,A,Thé noir aromatisé au citron,25 sachets de 2 g,"['Sachets papier', 'Carton']",['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Infusions', 'Thés noirs', 'Thés aromatisés', 'Thés noirs aromatisés', 'Thés au citron', 'Thés noirs aromatisés au citron', 'Boissons sans sucre ajouté']",,"['Aurich', 'Allemagne']",,,"['Casino shop', 'Casino']",['France'],"['Thé noir 91 %', 'arôme citron 7 %', 'écorces de citron 2 %']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,
18,Thé vert aromatisé à la menthe Casino - 50g.,3222472217923,A,Thé vert aromatisé à la menthe,50 g.,"['Carton', 'Sachet']",['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés aromatisés', 'Thés à la menthe', 'Boissons sans sucre ajouté']",,,"['EMB 43089A', 'Espaly-Saint-Marcel (Haute-Loire, France)']",,['Casino'],['France'],"['Thé vert 92 %', 'feuilles de menthe 5 %', 'arôme 3 %']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,
19,Coulis framboise groseille - Cherblanc - 200g,3222472243243,,Coulis framboise groseille,200 g,,['Cherblanc'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de framboise']",,,,,,['France'],"['Purée de framboises 41 %', 'eau', 'sucre', 'purée de groseille 15 %', 'citron', 'épaississant : xanthane']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['E415 - Gomme xanthane'],,,,
20,"Poisson à la Parisienne, Surgelé - Casino - 450g",3222472243304,,Filets de colin d'Alaska accompagnés d'une sauce à base de champignons et de légumes,450 g,"['Surgelé', 'Boîte', 'Carton', '2 portions']","['Casino', 'Groupe Casino']","['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', ""Colins d'Alaska à la Parisienne"", 'Colins préparés', 'Plats préparés à réchauffer au bain-marie', 'Poissons préparés']",['Qualité sans arête'],"['Primel Gastronomie [Filiale Groupe Sill (Société Industrielle Laitière du Léon)] - 235 Route de Kerastren - Lieu dit Kerfeunteun - 29630 Plougasnou', 'Finistère', 'Bretagne', 'France']","['FR 29.188.020 CE', 'Plougasnou (Finistère, France)']",,"['Spar', 'Casino']",['France'],"[""Filet de colin d'Alaska "", 'Theragra chalcogramma', ' 48 %', 'eau', 'champignon de Paris 6,6 %', 'crème fraîche', 'carotte cuite 2,6 %', 'farine de blé', 'échalote', 'oignon', 'tomate pelée concassée ', 'tomate', 'jus de tomate', 'poireau 1,5 %', 'vin blanc', 'huile de tournesol', 'Vermouth', 'amidon transformé de maïs', 'arômes naturels ', 'dont lait', 'fumet de poisson aromatisé [maltodextrine', 'sel', 'farine de blé', 'poisson', 'sucre', 'légumes ', 'poireau', 'oignon', 'crème', 'extrait de levure', ""huile d'olive vierge extra"", 'arôme naturel ', 'dont crustacés', 'lactose', 'crevette', 'épice et aromates', 'extrait naturel de vin blanc', 'graines de céleri]', 'sel', ""purée d'ail""]","['Céleri', 'Crustacés', 'Poisson', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,1.8 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,0.508 g,en quantité modérée,314,-11%,?,,314 kj(75 kcal),-13%,"1,8",-52%,"0,6",-66%,"2,6",-13%,"0,8",-26%,"11,3",+21%,"0,508",-27%,"0,203",-27%,-4,,A,,,,,,,,,['E14XX - Amidons modifiés'],"[""Colin d'Alaska (Theragra chalcogramma)""]",,,
21,Poisson à l'oseille - Casino - 400g (2portions),3222472243311,,Plat au poisson préparé et congelé,400g (2 portions),['Surgelé'],['Casino'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Préparations de poisson', 'Fruits de mer surgelés', 'Plats préparés au poisson', 'Poissons surgelés']",,,"['EMB 14630A', 'Saint-Martin-des-Entrées (Calvados, France)', 'FR 14.630.043 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,['Casino'],['France'],"['Portions de filets de poisson blanc 50% ', 'Merluccius productus ou Theragra  1 chalcogramma', ' - crème 14,2% - eau - vin blanc 7,8% ', 'contient sulfites', "" - oseille 3,6% - beurre - échalote — vinaigre d'alcool - fumet de poisson "", 'maltodextrine - poissons - sel - eau - huile de tournesol - vin blanc - oignon - amidon de riz', ' - amidon transformé - lait écrémé en poudre - sel - crème en poudre 0', '2%']","['Poisson', 'Lait', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,4 g,en quantité modérée,2.6 g,en quantité modérée,0.9 g,en faible quantité,0.72 g,en quantité modérée,?,,90,-21%,377 kj(90 kcal),-22%,4,+8%,"2,6",+251%,"2,6",+9%,"0,9",+130%,11,-34%,"0,72",+65%,"0,288",+65%,1,,B,,,,,,,,,['E14XX - Amidons modifiés'],,,,
22,Tranches de filets de cabillaud - Casino - 8x 100g,3222472254966,,8 tranches nature de filets de cabillaud surgelées sans arrête*,8 x 100 g,"['Surgelé', 'Boîte', 'Carton']",['Casino'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Filets de poissons', 'Morues', 'Filets de cabillaud', 'Poissons sauvages']","['Pêché à la ligne', 'Point Vert', 'Pêché au chalut', 'Eco-Emballages', 'Qualité sans arête']","['Royal Greenland Seafood GmbH - Flutstraße 84 - 26386 Wilhelmshaven', 'Basse-Saxe', 'Allemagne']",['DE NI-EFB-102 EG'],http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47178-poissons-et-fruits-de-mer-surgeles/P-53544-casino-filets-de-cabillaud,"['Géant', 'Casino']",['France'],"['100% filets de cabillaud ', ""voir l'indication de l'espèce et de la zone de pêche sur le côté de l'étui"", '\r a : gadus morhua pêché en atlantique nord-ouest', 'au chalut et lignes et hameçons\r b : gadus morhua pêché en atlantique nord-est [sous zones : mer de barents ', 'mer de norvège', 'spitzberg et ile des ours ', 'mer du nord ', 'islande', ""plateau et banc des féroé] au chalut et lignes et hameçons\r c : gadus macrocephalus pêché dans l'océan pacifique nord ouest et nord est"", 'au chalut et lignes et hameçons']","['Poisson', 'Gadus macrocephalus', 'Gadus morhua', 'Gadus macrocephalus', 'Gadus morhua']","['Non végétalien', 'Non végétarien']",,0.6 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.3 g,en quantité modérée,345,+3%,81,,345 kj(81 kcal),+4%,"0,6",-63%,"0,3",-44%,0,-100%,0,-100%,19,+23%,"0,3",-73%,"0,12",-73%,-3,,A,,,,,,,,,,"['Atlantique Nord-Est', 'Cabillaud (Gadus macrocephalus)', 'Cabillaud (Gadusmorhua)', 'Lettre A', 'Lettre B', 'Océan Pacifique']",,,
23,Moussaka aubergine - boeuf surgelée - Casino - 800g,3222472258445,,Gratin d'aubergine à la viande bovine surgelé,800 g,['surgelé'],['Casino'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Moussaka au boeuf']",,,,,['Casino'],['France'],"['Aubergines préfrites 26% ', 'aubergines - huile de tournesol', ' - tomates pelées concassées 21% ', 'tomates - jus de tomates', ' - eau - viande bovine origine France cuite 13% - oignons 6,3% - purée de tomates double concentrée - carottes - pommes de terre déshydratées ', ""pommes de terre déshydratées - émulsifiant : mono - et diglycérides d'acides gras"", ' - mozzarella 1% - lait écrémé en poudre - farine de blé - crème fraîche - arômes naturels ', 'dont lait', ' - jus aromatisé de veau ', 'amidon transformé de pomme de terre - sel - farine de blé - légumes - extrait de levure - arôme naturel - viande de veau - sucre - huile de tournesol - plante aromatique', ' - amidon transformé de maïs - sucre - cheddar 0,4% ', 'lait pasteurisé - sel - ferments lactiques - présure - amidon de pomme de terre', ' - ail - amidon transformé de riz - basilic - emmental ', 'lait - sel - ferments - coagulant - amidon de pomme de terre', ' - huile de tournesol - thym - sel - muscade']","['Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,7.6 g,en quantité modérée,2.1 g,en quantité modérée,3.7 g,en faible quantité,0.58 g,en quantité modérée,510,-4%,?,,510 kj(122 kcal),-10%,"7,6",+27%,"2,1",-4%,"7,7",-18%,"3,7",+104%,"4,8",-46%,"0,58",-32%,"0,232",-32%,0,-100%,B,-100%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E14XX - Amidons modifiés']",,,,
