,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
923,Muesli vitalité chocolat et graines - Gayelord Hauser,3229820746845,,,,,['Gayelord Hauser'],,,,,,,['France'],[],,[],,,,,,,,,,?,,391,,1636 kj(391 kcal),,11,,"4,1",,56,,"5,1",,12,,"0,01",,"0,004",,,,,,,,,,,,,,,,,
924,tofu soyeux en brique - tanoshi - 297g,3229820763170,A,tofu,297 g,['Brique'],['Tanoshi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Substituts de viande', 'Tofu']",,['Japon'],,http://www.tanoshi.fr,,['France'],"['eau', 'fève de soja ', '9,8%', 'isolat de protéine de soja ', '2,4%', 'gélifiants : gluco-no-delta-lactone et chlorure de calcium']",,[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,15.9%,34.2%,17.4%,15.8%,9.7%,7.0%,97,,,,,
925,"Levure de biere, germes de ble et graines de sesame 3 en 1 GAYLORD HAUSER - Gayelord hauser",3229820764337,C,,,,['Gayelord hauser'],"['Additifs alimentaires', 'Levures de bière']","['Sans colorants', 'Sans conservateurs']",,,,,['France'],[],,[],,,,3.7 g,en quantité modérée,9 g,en quantité modérée,0.15 g,en faible quantité,?,,437,+130%,1828 kj(437 kcal),+135%,?,,"3,7",+377%,?,,9,+280%,36,+41%,"0,15",-35%,"0,06",-35%,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,
926,Pomme Banane Mangue Passion bio - Bjorg - 4 * 85g,3229820764450,B,,4 * 85 g,"['Carton', 'Gourde', 'Plastique']",['Bjorg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes à boire']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'BE-BIO-01']",,,,,['France'],[],,[],,,,0.03 g,en faible quantité,12.6 g,en quantité élevée,0.01 g,en faible quantité,?,,63,+2%,264 kj(63 kcal),0%,?,,"0,03",-77%,?,,"12,6",+1%,"0,6",+48%,"0,01",+7%,"0,004",+7%,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,
927,Céréales ourson choco bio - Bjorg - 250g,3229820764467,B,Céréales prêtes à consommer au cacao et au chocolat,250 g,['Carton'],['Bjorg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],"['Semoule de maïs ', '33 %', 'sucre', 'farine complète de blé ', '7,5 %', 'de seigle ', '2,5 %', "" et d'orge "", '2,5 %', 'semoule de riz ', '12,5 %', 'sirop de blé', 'poudre de cacao ', '4,9 %', 'chocolat en poudre ', '2,5 %', ' ', 'sucre de canne', 'poudre de cacao', 'beurre de cacao', 'poudre de vanille', 'émulsifiant : lécithine de soja', 'miel', 'sel']","['Gluten', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,1 g,en faible quantité,0.5 g,en faible quantité,36 g,en quantité élevée,0.381 g,en quantité modérée,1608,-9%,379,-10%,1608 kj(379 kcal),-9%,1,-90%,"0,5",-84%,84,+19%,36,+43%,7,-12%,"0,381",-25%,"0,152",-25%,9,-10%,C,-10%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['E322i - Lécithine'],,,,
928,Filets de maquereaux a la moutarde - Bjorg - 1,3229820764528,C,,1,,['Bjorg'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux à la moutarde', 'Maquereaux en conserve']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-09']",,,,,['France'],[],,[],,17.2 g,en quantité modérée,3.3 g,en quantité modérée,0.4 g,en faible quantité,1.25 g,en quantité modérée,?,,217,+4%,908 kj(217 kcal),+3%,"17,2",+4%,"3,3",+2%,"1,7",+52%,"0,4",-30%,"13,7",+3%,"1,25",+1%,"0,5",+1%,5,-16%,C,-16%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,,,,,
929,100% pur jus - sans sucres ajoutés - Pomme poire fraise - Bjorg - 20cl,3229820764566,C,Jus multifruits pasteurisé,20 cl,['Brique'],['Bjorg'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],"['Jus de poire ', '43,5%', 'jus de pomme ', '20,5%', 'purée de fraise ', '20%', 'jus de raisin blanc et rouge', ""jus d'aronia""]",,[],1,0.1 g,en faible quantité,0 g,en faible quantité,11.3 g,en quantité élevée,0.00508 g,en faible quantité,201,0%,47,-2%,201 kj(47 kcal),+0%,"0,1",-43%,0,-100%,"11,5",+5%,"11,3",+9%,"0,1",-75%,"0,005",-44%,"0,002",-44%,5,+12%,C,+12%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,
930,Galettes de Riz Complet,3229820764771,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz complet soufflé']",,,,,,['France'],[],,[],,4.29 g,en quantité modérée,0.57 g,en faible quantité,0.57 g,en faible quantité,0.3 g,en quantité modérée,?,,443,+12%,1854 kj(443 kcal),+11%,"4,29",+1%,"0,57",-59%,"88,57",+12%,"0,57",-77%,"8,57",+7%,"0,3",+33%,"0,12",+33%,1,+1500%,B,+1500%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,
931,Bjorg,3229820765396,,,,,['Bjorg'],,['Bio'],,,,,['France'],"['pomme Bonone Passion \\fécialité de mangue', 'pomme', 'et jus de fruit de la passion', ' Vdients : Mangue* ', '36%', 'pomme* ', '33%', '? de fruit de la passion* ', '5%', "" issus de l'agriculture biologique aosenutritionnelle moyenne pour 100g : ,""]",,[],,,,,,,,,,?,,63,,264 kj(63 kcal),,"0,3",,"0,3",,"13,8",,"12,6",,"0,6",,0,,0,,,,,,,,,,,,,,,,,
932,"Taboulé Méditerannéen Bio Céréalissim Bjorg,",3229820780924,B,,,,['Bjorg'],"['Plats préparés', 'Taboulés']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],,[],,1.4 g,en faible quantité,0.3 g,en faible quantité,4.1 g,en faible quantité,0.2 g,en faible quantité,?,,134,-20%,561 kj(134 kcal),-20%,"1,4",-78%,"0,3",-58%,"23,4",+10%,"4,1",+26%,"4,8",+9%,"0,2",-79%,"0,08",-79%,-1,-137%,A,-137%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,,,
