,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
983,Stoomgroenten MIX 300gr Carottes Brocoli Et Romanesco - Iglo - 300g,8722700092285,,['Iglo'],,"['Belgique', 'France']","['Carottes 38%', 'brocolis 33%', 'romanesco 21%', 'eau', 'huile végetale ', 'huile de cocos', 'huile de palme**', 'beurre ', 'lait', 'bouillon de légumes ', 'sel', 'glucose', 'levure', 'oignons', 'échalotes', 'poivrons', 'tomates', 'persil', 'origan', 'amidon de riz', 'sel', 'poivre', ""*Ce produit contient de l'huile de palme durable certifiée,""]","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,52,,218 kj(52 kcal),,"2,9",,"1,8",,"3,2",,3,,2,,"0,5",,"0,2",,,,,,,,,,,,,300 g,,,4,['Lait'],,,,['Delhaize'],,['Huile de palme'],,,,,
984,Vinaigrette Moutarde - Amora,8722700119838,D,['Amora'],"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,['Sans colorants'],,,,"['Flacon', 'Plastique']",,,,,,,,,,
985,Mini Almond - Magnum - 300g / 360ml,8722700126249,A,"['Magnum', 'Miko', 'Unilever']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Bâtonnets glacés', 'Crèmes glacées en pot', 'Bâtonnets glacés au chocolat', 'Glaces au chocolat', 'Bâtonnets glacés à la vanille', 'Glaces à la vanille']",['France'],"['Lait écrémé réhydraté', 'sucre', 'beurre de cacao*', 'lait en poudre écrémé', 'lactose et protéines de lait', 'amandes', 'huile de coco', 'sirop de glucose', 'beurre concentré', 'sirop de glucose-fructose', 'pâte de cacao*', 'émulsifiants ', 'E471', 'E442', 'E476', 'stabilisants ', 'E410', 'E412', 'E407', 'gousses de vanille épuisées broyées', 'arôme naturel de vanille avec autres arômes naturels', 'arôme', 'colorant ', 'E160a', ' *Vérifié Rainforest Alliance']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",23 g,en quantité élevée,14 g,en quantité élevée,30 g,en quantité élevée,0.17 g,en faible quantité,1470,+12%,?,,1470 kj(351 kcal),+7%,23,+11%,14,+1%,32,+6%,30,+11%,"5,1",+38%,"0,17",-1%,"0,068",-1%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,20,+6%,E,+6%,300 g / 360 ml,"['en:gluten-free', 'Point Vert', 'Rainforest Alliance']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E442 - Phosphatides d'ammonium"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",4,"['Lait', 'Fruits à coque']","['Carton', 'Surgelé', 'Carton']",['Allemagne'],,['Franprix'],,,"Glace vanille enrobée de chocolat au lait (30%) et d'amandes (3,5%)",http://www.sharehappy.be/be_fr/Products/ProductDetail.aspx?bid=160152&sid=447273&pid=157609,,,
986,Pot noodle - Beef & Tomato,8722700153276,,,,['France'],"['ingredients ', 'after preparation', ' noodles: noodles ', '52%', ' [wheat flour', 'palm fat', 'salt', 'firming agents ', 'potassium carbonate', 'sodium carbonate', 'sauce and vegetables: water', 'tomatoes ', '5,3%', 'maltodextrin', 'wheat flour', 'vegetables ', '1,1%', ' [peas', 'onion powder]', 'yeast extract', 'flavour enhancers ', 'monosodium glutamate', 'disodium inosinate', 'disodium guanylate', 'sugar', 'flavourings', 'tomato powder ', '0,2%', 'salt', 'palm fat', 'hydrolysed vegetable protein ', 'soya', 'acid ', 'citric acid', 'garlic', 'soy sauce ', 'soybeans', 'wheat', 'sunflower oil', 'sachet: tomato sauce ', '1,3%', ' [water', 'spirit vinegar', 'tomato paste ', '18%', 'sugar', 'nglucose syrup', 'salt', 'modified corn starch]', 'may contain milk', 'egg', 'celery and mustard,']",['Huile de palme'],,,,,,,,,?,,143,,598 kj(143 kcal),,"5,4",,"2,7",,19,,"1,5",,"3,5",,"0,58",,"0,232",,,,,,,,,,,,,,,"['E501i - Carbonate de potassium', 'E500i - Carbonate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E330 - Acide citrique']",4,"['Gluten', 'Soja']","['foil-lid', 'pp-tub']",,,,,,,,,,
987,Creme glacee vanille CARTE D'OR,8722700185741,,"[""Carte d'Or""]",,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,10,,0,,27,,0,,3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Butter - Flora - 500g,8722700187349,C,['Flora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']","['France', 'Irlande', 'Royaume-Uni']","['Vegetable oils in varying proportions ', 'sunflower oil', 'palm oil', 'linseed oil', 'rapeseed oil', ' ', '79%', 'water', 'buttermilk ', '12%', 'salt ', '1', '3%', 'emulsifiers ', 'sunflower', 'lecithin', 'mono - and diglycerides of fatty acids', 'preservatives ', 'potassium sorbate', 'natural flavourings ', 'contains milk', 'acid ', 'citric acid', 'vitamin A', 'vitamin D', 'colours ', 'carotene']","['Huile de palme', 'Non végétalien']",79 g,en quantité élevée,19 g,en quantité élevée,0.6 g,en faible quantité,1.3 g,en quantité modérée,?,,703,+37%,2941 kj(703 kcal),+39%,79,+40%,19,+17%,"0,6",+49%,"0,6",+149%,"0,5",+121%,"1,3",+129%,"0,52",+129%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,16,+38%,D,+38%,500g,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E160a - Carotènes mélangés']",4,"['Lait', 'en:buttermilk']",['Plastic tub'],,,['Supervalu'],,,,,,,
989,Sorbet fruit de la passion - Carte d'Or - 650g (1000ml),8722700219392,C,"[""Carte d'Or"", 'Unilever']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets au fruit de la passion']",['France'],"['Eau', 'jus de fruit de la passion à base de jus concentré ', '20%', 'sirop de glucose-fructose', 'sucre', 'mangue', 'jus de citron à base de jus concentré', 'fructose', 'protéines de LAIT et LACTOSE', 'stabilisants ', 'farine de graines de caroube', 'pectines', 'carraghénanes', 'arôme naturel de fruit de la passion', 'jus de citron concentré']",['Non végétalien'],0.5 g,en faible quantité,0.5 g,en faible quantité,28 g,en quantité élevée,0.054 g,en faible quantité,590,,?,,590 kj(141 kcal),+15%,"< 0,5",+100%,"< 0,5",+492%,33,+8%,28,+8%,"0,6",-3%,"0,054",+51%,"0,022",+51%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,7,+23%,C,+23%,650 g (1000 ml),"['Sans arômes artificiels', 'Point Vert', 'Sans colorants']","['E410 - Gomme de caroube', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,['Lait'],"['Surgelé', 'Bac', 'Couvercle', 'Plastique', 'Opercule']",,,['Géant Casino'],,,Sorbet plein fruit fruit de la passion avec des morceaux de mangue (3.5%),,,,
990,Maille Moutarde Parmesan et Basilic 108g - 100ml,8722700232162,B,['Maille'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],"['Eau', 'graines de MOUTARDE', 'vin blanc 15% ', 'dont SULFITES', 'Parmesan rapé 8% ', 'dont LAIT', 'sel', 'jus de citron concentré', 'basilic 2%', 'sucre', 'arômes', 'acidifiant acide citrique', 'conservateur E224 ', 'SULFITES', "" Pour information Contient 1,5 % d'alcool en volume""]",['Non végétalien'],13 g,en quantité modérée,2.5 g,en quantité modérée,4.5 g,en faible quantité,5.1 g,en quantité élevée,740,+6%,180,+6%,740 kj(180 kcal),+4%,13,+20%,"2,5",+205%,5,-28%,"4,5",+17%,8,+22%,"5,1",+8%,"2,04",+8%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,14,+21%,D,+21%,100 ml,['Point Vert'],"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",4,"['Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']","['Bocal', 'Verre']",['France'],,['Noz'],,,Moutarde au vin blanc au parmesan et au basilic,http://www.maille.com/fr_FR/moutarde-parmesan-%26-basilic/66361761FR.html,,,
991,Maille Vinaigre à la Mangue 25cl - 250ml,8722700260806,B,"['Maille', 'Unilever']",['Vinaigres'],['France'],"[""Vinaigre d'alcool 43%"", 'purée de mangue 40%', 'sucre', 'stabilisant E414', 'conservateur E224 ', 'SULFITES']",['Sans huile de palme'],0.5 g,en faible quantité,0.5 g,en faible quantité,27 g,en quantité élevée,0.04 g,en faible quantité,640,+69%,150,+79%,640 kj(150 kcal),+84%,"0,5",+543%,"0,5",+3025%,36,+121%,27,+88%,1,+136%,"0,04",-51%,"0,016",-51%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,250 ml,['Point Vert'],"[""E414 - Gomme d'acacia"", 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",4,['Anhydride sulfureux et sulfites'],,,,,,,Vinaigre d'alcool à la mangue,,,,
992,Citron Miel avec des écorces de citron - Eléphant - 50g,8722700269083,B,"['Eléphant', 'Unilever']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",['France'],"['églantier', ""feuilles d'oranger"", 'arôme ', '8', '5%', 'pomme', 'tilleul', 'écorces de citron ', '5%', 'chicorée', 'hibiscus', 'miel ', '0', '9%', 'maltodextrine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,?,,4,-43%,17 kj(4 kcal),-29%,0,-100%,0,-100%,"0,5",-33%,"0,5",+12%,"0,5",+181%,0,-100%,0,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,50 g,,,4,,"['Carton', 'Plastique']",,,,,,Préparation aromatisée pour infusion,,,,
