,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
0,Miel De Flores - Gourmet,8413080001942,B,['Gourmet'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.5 g,en quantité modérée,?,,325,+9%,1360 kj(325 kcal),+9%,0,-100%,0,-100%,"80,8",+4%,70,+1%,"0,4",+18%,"0,5",+2037%,"0,2",+2037%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,
1,Huile D'olive,8413080440048,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,,,?,,822,-4%,3439 kj(822 kcal),-4%,91,-5%,14,0%,0,,0,,0,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,
2,Aceite Girasol Gourmet 0.2º 1L,8413080443056,,['Gourmet'],['Matières grasses'],['France'],['êl!nH'],[],92 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,827,+3%,3460 kj(827 kcal),+3%,92,+4%,11,-52%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,11,-3%,D,-3%,,,,,,,,,,,,,,,,
3,Agrio de limon - Gourmet - 500mL,8413080461135,D,['Gourmet'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']","['France', 'Espagne']",[],[],0.1 g,en faible quantité,0.04 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,9,-67%,38 kj(9 kcal),-66%,"0,1",-30%,"0,04",+210%,"1,9",-47%,1,-40%,"0,1",-70%,0,-100%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,-7,,B,,500 mL,['Fabriqué en Espagne'],,,,,,,,,,,,,,
4,Refresco Gourmet Ice Tea Sabor Limon 1'5L,8413080483106,,['Gourmet'],"['Boissons', 'Boissons édulcorées']",['France'],"['Eau', 'sucre', 'acidifiant ', 'acide citrique', 'extrait de thé ', '0', '08%', '? acidité ', 'citrate de sodium', 'édulcorant ', 'sucralose', 'arôme naturel']",[],0 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0.05 g,en faible quantité,?,,22,+47%,92 kj(22 kcal),+56%,0,-100%,0,-100%,"5,4",+101%,"5,4",+131%,0,-100%,"0,05",+43%,"0,02",+43%,,,,,,,,8,+86%,D,+86%,,"['Kascher', 'en:Orthodox Union Kosher']","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E955 - Sucralose']",4,,,,,,,,,,,,
5,Tortilla de patates - Gourmet,8413080570899,B,['Gourmet'],"['Plats préparés', 'Omelettes de pommes de terre']",['France'],[],[],10 g,en quantité modérée,1.6 g,en quantité modérée,0.9 g,en faible quantité,1 g,en quantité modérée,?,,158,-1%,661 kj(158 kcal),-0%,10,+6%,"1,6",-9%,11,-7%,"0,9",-4%,"5,3",+1%,1,-7%,"0,4",-7%,70.9%,11.4%,6.8%,5.8%,3.0%,2.1%,76,3,-20%,C,-20%,,['Fabriqué en Espagne'],,,,,,,,,,,,,,
6,Vinagre balsámico de Módena -  - 250ml,8413080571216,B,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",['France'],"['vinagre de vino mosto de uva cončentrado colorante: E-150d', 'antioxidante: E-220,*Contiene sulfitos']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,250 ml,['Contient des sulfites'],"[""E150d - Caramel au sulfite d'ammonium"", 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,
7,Bebida de soja - Gourmet - 1L,8413080704232,B,['Gourmet'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Laits de soja naturel avec du sucre']","['France', 'Espagne']","['Eau', 'graines de soja* ', '13%', 'fructose', 'phosphate de calcium tribasique', 'agent émulsifiant ', 'gomme Gellane', 'sel', 'arômes et vitamines A et D', ' *Contient soja', ' Peut contenir destraces de fruits à Coque']",[],1.7 g,en quantité modérée,0.3 g,en faible quantité,3 g,en quantité modérée,0.1 g,en faible quantité,?,,43,-2%,180 kj(43 kcal),-1%,"1,7",+1%,"0,3",+4%,"3,7",+3%,3,+9%,"3,1",+2%,"0,1",+22%,"0,04",+22%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,-1,,A,,1 L,['Fabriqué en Espagne'],['E418 - Gomme gellane'],4,['Soja'],,,,,,,,,,,
8,Noix de Jambon - Casa Ramon - 100g,8413107004017,,['Casa Ramon'],"['Viandes', 'Charcuteries', 'Jambons', 'Noix de jambons secs']",['France'],"[""Noix d'épaule"", 'sel', 'lactose', 'sucre', 'conservateurs ', 'E252', 'E250', 'antioxydant ', 'E301', ' et épices']",['Non végétalien'],7.3 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,4.3 g,en quantité élevée,?,,198,+3%,828 kj(198 kcal),+1%,"7,3",+17%,"3,3",+45%,"0,1",-91%,0,-100%,33,-1%,"4,3",-9%,"1,72",-9%,,,,,,,,15,+12%,D,+12%,100 g,"['en:gluten-free', 'Point Vert']","['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,['Lait'],"['Barquette', 'Plastique', 'Frais']",['Espagne'],['ES 10.16674/GE CE'],['Franprix'],,,,,,,
9,Jambon sec des Pyrénées - 100g,8413107006714,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambon sec des Pyrénées']",['France'],[],[],12.8 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,2.2 g,en quantité élevée,?,,240,+3%,1004 kj(240 kcal),+2%,"12,8",0%,"2,9",-40%,1,+70%,"0,5",+33%,"30,3",+4%,"2,2",-56%,"0,88",-56%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,13,-22%,D,-22%,100 g,['en:gluten-free'],,,,,,,,"['France', 'Pyrénées']",,,,,,
10,Patatas Grefusa onduladas sabor jamón,8413164009482,B,['Grefusa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']","['France', 'Espagne']",[],[],36 g,en quantité élevée,3.6 g,en quantité modérée,0.8 g,en faible quantité,1.7 g,en quantité élevée,?,,559,+5%,2339 kj(559 kcal),+5%,36,+10%,"3,6",+17%,50,-3%,"0,8",-43%,"6,2",+4%,"1,7",+31%,"0,68",+31%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,16,+42%,D,+42%,,['en:gluten-free'],,,,,,,,,,,,,,
11,Maíz frito con sabor a barbacoa - Grefusa,8413164009659,,['Grefusa'],"['Snacks', 'Snacks salés', 'Apéritif', 'es:maiz-frito']","['France', 'Espagne']",[],[],21 g,en quantité élevée,2.6 g,en quantité modérée,0.8 g,en faible quantité,1.5 g,en quantité modérée,?,,482,+3%,2017 kj(482 kcal),+3%,21,-13%,"2,6",-37%,63,+22%,"0,8",-74%,"7,6",-1%,"1,5",-4%,"0,6",-4%,,,,,,,,14,+10%,D,+10%,,['Sans conservateurs'],,,,,,,,,,,,,,
12,Grefusa,8413164011454,,,,['France'],[],[],,,,,,,,,?,,453,,1895 kj(453 kcal),,17,,"2,1",,67,,"5,4",,"6,1",,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Snatt's Hummus sticks basilic & persil - 85g,8413164013045,,"[""Snatt's""]","['Snacks', 'Snacks salés']","['France', 'Suisse']","['Farine de riz', 'farine de pois chiche ', '26%', 'huile de tournesol', 'sel', 'sucre', 'dextrose', 'arômes', 'oignon en poudre ', '0,5%', 'basilic déshydraté ', '0,2%', 'ail en poudre', 'persil déshydraté ', '0,15%', 'acidifiant: acide citrique', 'poivre noir', ' Peut contenir: ARACHIDE', 'LAIT', 'SOJA', 'FRUITS A COQUE']","['Sans huile de palme', 'Végétalien', 'Végétarien']",18 g,en quantité modérée,2 g,en quantité modérée,2.9 g,en faible quantité,2.1 g,en quantité élevée,?,,459,-1%,1920 kj(459 kcal),-1%,18,-26%,2,-53%,61,+28%,"2,9",-11%,11,+29%,"2,1",+36%,"0,84",+36%,,,,,,,,10,-18%,C,-18%,85 g,"['Végétarien', 'Végétalien']",['E330 - Acide citrique'],4,,['sachet plastique'],['Espagne'],,['Coop Pronto'],,,,,,,
14,Rainbow Belts (100 G) - Vidal,8413178217576,E,['Vidal'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],"['sale', ' veg Ld', 'nero Sirop de e sucre inverti', 'Amidon de blé ', 'Contient Gluten', ""Farine de blé,' Acidifiant: Acide malique Acide citrique"", "" Graisse de palme,' Humectant: Glycérol"", ' arômes', ' Correcteur dtacidité: d', 'e-P0tassium: Sél• âncentré végétale', ""' Carotte"", 'Cassis', 'Colorants: voir cachet']",['Huile de palme'],1.7 g,en faible quantité,0.9 g,en faible quantité,60 g,en quantité élevée,0.225 g,en faible quantité,?,,368,+3%,1540 kj(368 kcal),+3%,"1,7",-9%,"0,9",-15%,86,+3%,60,+3%,"0,4",-81%,"0,225",+86%,"0,09",+86%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,14,-3%,D,-3%,,,"['E296 - Acide malique', 'E422 - Glycérol']",4,['Gluten'],,,,,,['Huile de palme'],,,,,
15,Madeleines - Cuatro Jotas,8413193040005,B,['Cuatro Jotas'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],"['?', ' Farine de blé Sucre', 'Huiles Végétales ', 'de tournesol', 'graines affine IP', ' en proportion variable', 'Oeufs Frais', 'Poudre a lever ', 'E-450i', 'E-500ii', 'E-422', 'E-420', 'Sérum Lait', 'Sel', 'Conservateurs ', 'E-200', 'E-20?', ' Citron', ' Conserver dans un !ieu frais', 'sac et no exposé à la lumière solaire', ' POIDS NE Tt 750 gr']",['Non végétalien'],21.7 g,en quantité élevée,6.1 g,en quantité élevée,30.7 g,en quantité élevée,1 g,en quantité modérée,?,,439,-0%,1837 kj(439 kcal),-0%,"21,7",-5%,"6,1",-12%,"56,3",+7%,"30,7",+12%,"4,7",-17%,1,+23%,"0,4",+23%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,21,+14%,E,+14%,,,"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E422 - Glycérol', 'E420 - Sorbitol', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",4,['Œufs'],,,,,,,,,,,
16,Origen frutas & semillas lima jengibre & semillas - Kalise,8413200015828,,['Kalise'],,['France'],[],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"0,7",,"0,1",,11,,10,,"4,6",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Cake aux écorces d orange,8413248303024,,,,['France'],[],[],,,,,,,,,?,,409,,1711 kj(409 kcal),,"18,7",,3,,"55,4",,"33,6",,"3,7",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Saladitos Altramuces (Lupin Beans) -  - 211g,8413295800200,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Pickles', ""Pickles d'origine végétale"", 'Légumineuses en conserve', 'Pickles de légumineuses', 'Tramousses']",['France'],[],[],2 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.75 g,en quantité élevée,?,,104,-3%,435 kj(104 kcal),-4%,2,-26%,"0,2",-51%,"10,5",+165%,"0,5",+68%,"9,6",-19%,"1,75",-46%,"0,7",-46%,,,,,,,,3,-56%,C,-56%,211 g,,,,,,,,,,,,,,,
19,Higos secos -  - 400g,8413365024536,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']","['France', 'Espagne']",[],[],0.48 g,en faible quantité,0.098 g,en faible quantité,59.1 g,en quantité élevée,0.036 g,en faible quantité,?,,319,+16%,1335 kj(319 kcal),+16%,"0,48",-68%,"0,098",-65%,"59,12",+3%,"59,12",+26%,"0,84",-74%,"0,036",-74%,"0,014",-74%,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,8,+169%,C,+169%,400 g,['Sans gluten'],,,,,,,,,,,,,,
20,Lacitos,8413385020747,,,,['France'],[],[],,,,,,,,,?,,541,,2264 kj(541 kcal),,33,,19,,60,,"2,4",,"4,8",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Agroles Aceite De Oliva Virgen Extra De Cultivo Ecológico,8413511011038,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],91.5 g,en quantité élevée,15.5 g,en quantité élevée,0 g,en faible quantité,,,?,,824,-4%,3448 kj(824 kcal),-4%,"91,5",-4%,"15,5",+11%,0,,0,,0,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,"['Bio', 'Bio européen', 'ES-ECO-019-CT']",,,,,,,,,,,,,,
22,Miel de Flores - Miel Las Abejas,8413524007363,B,['Miel Las Abejas'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],"[""Mélange de miels originaires et non originaires de l'Union européenne""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1 g,en faible quantité,1 g,en faible quantité,76.2 g,en quantité élevée,0.05 g,en faible quantité,?,,330,+11%,1381 kj(330 kcal),+10%,1,+809%,1,+2841%,"82,45",+7%,"76,15",+10%,"0,2",-41%,"0,05",+114%,"0,02",+114%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,2,,,,,,,,,,,,
23,Coulant de chocolate - bonÀrea,8413585017127,D,['bonÀrea'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']","['France', 'Espagne']",[],[],26.4 g,en quantité élevée,6 g,en quantité élevée,22.7 g,en quantité élevée,0.5 g,en quantité modérée,?,,429,-2%,1795 kj(429 kcal),-2%,"26,4",+12%,6,-24%,"40,1",-18%,"22,7",-26%,"7,5",+30%,"0,5",-4%,"0,2",-4%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,17,-8%,D,-8%,,,,,,,,,,,,,,,,
24,Pimenton de la Vera,8413629500011,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pipas clásicas bolsa 160 g - Facundo,8413671001566,,['Facundo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']","['France', 'Espagne']","['pipas Facundo elaboradas al Punto ', 'If/ de sal con el tueste* ünico de Facundo', ' Informacién nutricional media IverageNutritiona//nformation fie Porffg Perl I']",[],55 g,en quantité élevée,5 g,en quantité modérée,1.5 g,en faible quantité,1.4 g,en quantité modérée,?,,646,+5%,2703 kj(646 kcal),+5%,55,+9%,5,-21%,"8,3",-49%,"1,5",-72%,"27,9",+44%,"1,4",+195%,"0,56",+195%,,,,,,,,15,+205%,D,+205%,,,,,,,,,,,,,,,,
26,Pipas,8413671001924,,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,577,,2414 kj(577 kcal),,"45,3",,"5,7",,"6,3",,"4,6",,"31,5",,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pan con leche - Dulca,8413675001005,,['Dulca'],,['France'],[],[],,,,,,,,,?,,378,,1582 kj(378 kcal),,"15,1",,"6,3",,"51,6",,"13,8",,"8,9",,"0,36",,"0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nuez moscada - Carmencita,8413700047268,B,['Carmencita'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Produits de le muscadier', 'Noix de muscade', 'Noix de muscade en poudre']","['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,37.2%,0.0%,30.9%,21.7%,10.2%,0.0%,93,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
29,Azafrán - Carmencita,8413700054389,B,['Carmencita'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Safran', 'Safran pistils']",['France'],['Safran qualité supérieure'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,70.8%,0.0%,20.1%,5.4%,3.7%,0.0%,83,,,,,,['Point Vert'],,,,"['Carton', 'boîte']",['Espagne'],,['Intermarché'],,,,,,,
30,Turron de mazapan de fruta - San Andrés,8413725001207,E,['San Andrés'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón aux fruits']",['France'],"['Massepain ', '77%', ': ', 'amandes ', '45%', 'sucre', 'sirop de glucose et fructose', 'conservateurs invertase ', 'E-1103', 'E-200 et E-202', ' Remplissage de fruits confits ', '23%', ': ', 'calabazate', 'sucre', 'sirop de glucose et fructose', 'acide ', 'E-330', 'conservateurs ', 'E-202 y E-223', ' et coloratns E-100', 'E-133 et E-120', ' Contient noix et sulfites', "" Peut contenir des traces d'autres noix"", 'arachides', 'lait', 'æuf', 'soja et de gluten']","['Non végétalien', 'Non végétarien']",22 g,en quantité élevée,3 g,en quantité modérée,49 g,en quantité élevée,0.1 g,en faible quantité,?,,470,+8%,1966 kj(470 kcal),+8%,22,+20%,3,+82%,55,-2%,49,-9%,10,+30%,"0,1",+87%,"0,04",+87%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,16,+7%,D,+7%,,,"['E1103 - Invertase', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E120 - Acide carminique']",4,"['Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,
31,TURRÓN DURO - San Andrés,8413725002020,E,['San Andrés'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",['France'],"['Amandes ', '46%', 'sucre', 'sirop de glucose et fructose', 'miel', 'gaufrette ', 'fécule de pomme de terre et huile de tournesol', "" et blanc d'oeuf"", "" Contient des noix et d'oeuf"", "" Peut contenir des traces d'autres noix"", 'arachides', 'lait', 'sulfites', 'soja et gluten']","['Sans huile de palme', 'Non végétalien']",31 g,en quantité élevée,2.4 g,en quantité modérée,39 g,en quantité élevée,0.07 g,en faible quantité,?,,527,-2%,2205 kj(527 kcal),-2%,31,-7%,"2,4",-15%,43,+1%,39,+4%,15,+9%,"0,07",+97%,"0,028",+97%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,15,+5%,D,+5%,,,,4,"['Œufs', 'Fruits à coque']",,,,,,,,,,,
32,Turrón aux Cacahuètes - San Andrés - 200g,8413725004079,E,['San Andrés'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons croquants aux cacahuètes']",['France'],"['Arachides ', '51 %', 'sucre', 'sirop de glucose et fructose', 'gaufrette ', 'fécule de pomme de terre', 'huile de tournesol', "" et blanc d'œuf""]","['Sans huile de palme', 'Non végétalien']",28 g,en quantité élevée,4 g,en quantité modérée,52 g,en quantité élevée,0.12 g,en faible quantité,?,,520,+6%,2176 kj(520 kcal),+6%,28,+36%,4,+9%,57,+12%,52,+18%,13,+6%,"0,12",+466%,"0,048",+466%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,18,+5%,D,+5%,200 g,,,4,"['Œufs', 'Arachides']","['Carton', 'Plastique', 'boîte']",,,,,,Turrón Duro de Cacahuete,,,,
33,Touron tendre aux cacahuètes - San Andres - 200g,8413725004086,D,['San Andres'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons crémeux aux cacahuètes']",['France'],"['Arachides ', '51%', 'sucre', 'stabilisant ', 'E471']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",27 g,en quantité élevée,4.1 g,en quantité modérée,47 g,en quantité élevée,0 g,en faible quantité,?,,521,+3%,2180 kj(521 kcal),+3%,27,-5%,"4,1",+3%,54,+8%,47,+6%,14,+3%,0,-100%,0,-100%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,19,+9%,E,+9%,200 g,['Fabriqué en Espagne'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,['Arachides'],['Carton'],,,,,,,,,,
34,Nougat tendre soft,8413725005113,,,,['France'],"['Peso netto/Peso liquido: 57402 S: Sucre', 'sirop de glucose-fructose', 'fruits tropicaux et fruits des bois ', '17,5%', ' ', 'ananas déshydraté ', '3,5%', ': ', 'ananas cidulant E-330', 'conservateur E-223', 'mangue déshydraté ', '3,5%', ': ', 'mangue frais', 'sucre', 'acidulant E-330', 'consenateur ""ye déshydraté ', '3,5', ': ', 'papaya trais', 'sucre', 'conservateur E-220', 'canneberges ', '3,5%', ': ', 'sucre', 'canneberges et huile de bleuets ', '3,5%', ': ', 'bleuets', 'sucre et huile de tournesol', ' ', 'sulfites', 'amandes 15%', 'miel', 'gaufrette ', ' fécule de pomme ile de tournesol', ""blanc d'oeuf et arome,Peut contenir des traces d'autres fruits à coque"", 'cacahuétes', 'gluten', 'lait et soja', 'ES: Azúcar', 'jarabe de glucosa y fructosa', 'frutas tropicales y del bosque ', '17,5%', ' ', 'piña deshidratada ', '3,5%', ': ', 'piña - de caña', 'acidulante E-330 y conservador E-223', 'mango deshidratado ', '3,5%', ': ', 'mango fresco', 'azúcar de cafa', '30 y conservador E-220', 'papaya deshidratada ', '3,5%', ': ', 'papaya fresca', 'azúcar de caña y conservador E-220', 'arándanos ', 'azúcar', 'arándanos y aceite de girasol', ' y arándanos negros ', '3,5%', ': ', 'arándanos', 'azúcar y aceite de girasol', ' ', 'sulfitos', 'miel', 'oblea ', 'fécula de patata y aceite de girasol', 'clara de huevo y aroma', 'Puede contener trazas de otros frutos de uetes', 'gluten', 'leche y soja', 'Sugar', 'glucose and fructose syrup', 'tropical fruits and country berries ', '17,5%', ' ', 'dehydrated pineapple ', '3,5%', ': fresh r', 'acidulant: citric acid and preservative: sodium metabisulfite', 'dehydrated mango ', '3,5', ': ', 'fresh mango', 'sugar', 'acidulant preservative: sulfure dioxide', 'dehydrated papaya ', '3,5', ': ', 'fresh papaya', 'sugar and preservative: sulfure dioxide', 'cranbemes cranberries and sunflower oil', ' and blueberries ', '3,5', ': ', 'blueberries', 'sugar and sunflower oil', 'almonds 15%', 'honey starch and sunflower oil', 'egg white and flavoring', 'May contain traces of other nuts', 'peanuts', 'gluten', 'milk and soy', 'ker', 'Glukose-Fruktose sirup', 'Tropische Früchte und Früchte des Waldes ', '17,5', '% ', 'Dehydriert Ananas ', '3,5% ', 'Frsche Sauerungsmittel E-330 und Konservierungsmittel E-223', 'Dehydriert Mango ', '3,5%', ': ', 'Frische Mango', 'Zucker', 'E-330 und Konservierungsmittel E-220', 'Dehydriert Papaya ', '3,5%', ': ', 'Frische Papaya', 'Zucker und Konservierungsmittel Ibeere ', '3,5%', ': ', 'Zucker', 'Preiselbeere und Sonnenblumenöl', 'Heidelbeeren ', '3,5%', ': ', 'Heidelbeeren', 'Zucker und 0sulfite', 'Mandeln 15%', 'Hönig', 'Oblaten ', 'Kartoffelstärke und Sonnenblumenöl', 'albumin und Aroma', 'Kann Spuren']",['Non végétalien'],,,,,,,,,?,,399,,1669 kj(399 kcal),,"6,7",,"3,3",,80,,66,,"3,9",,"0,1",,"0,04",,,,,,,,,,,,,,['Fabriqué en Espagne'],"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",4,"['Œufs', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",,,,,,,,,,,
35,Palmiers -,8413760003365,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['France'],[],[],31 g,en quantité élevée,15 g,en quantité élevée,20 g,en quantité élevée,0.92 g,en quantité modérée,?,,540,+5%,2259 kj(540 kcal),+5%,31,+14%,15,-4%,59,-2%,20,-9%,"5,4",-9%,"0,92",-9%,"0,368",-9%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,24,+3%,E,+3%,,,,,,,,,,,,,,,,
36,Tournesol - Look O Look - 15g,8413762015205,,['Look O Look'],"['Snacks', 'Snacks salés']",['France'],"['graines de tournesol', 'sel', 'farine de riz']","['Sans huile de palme', 'Végétalien', 'Végétarien']",57 g,en quantité élevée,6 g,en quantité élevée,0 g,en faible quantité,8 g,en quantité élevée,2592,+32%,?,,2592 kj(620 kcal),+34%,57,+136%,6,+42%,21,-56%,0,-100%,17,+100%,8,+419%,"3,2",+419%,,,,,,,,22,+80%,E,+80%,15g,,,3,,['sachet plastique'],,,,,,Graines de tournesol,,,,
