,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
0,Beaufort d'été - Le Fromager - 183g,2488747030449,D,"Fromage au lait cru entier de vache, à pâte pressée cuite",183 g,['Le Fromager'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['AOP'],['Savoie'],['France'],[],[],32.2 g,en quantité élevée,21.4 g,en quantité élevée,1.1 g,en quantité modérée,1644,-1%,393,-2%,1644 kj(393 kcal),-2%,"32,2",+0%,"21,4",+4%,?,,"26,6",+0%,"1,1",-4%,"0,44",-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,
1,Cote de porc,3700190305936,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],,,,,,,?,,213,,891 kj(213 kcal),,15,,7,,"0,5",,19,,"0,12",,"0,048",,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
2,Abricots,5706779063684,,,,,,,,['France'],[],[],,,,,,,?,,297,,1243 kj(297 kcal),,"0,6",,"0,1",,64,,"3,9",,"0,03",,"0,012",,,,,,,,,62,,,,,,,,,,,,,,,,,
3,Gâteau au chocolat - Monoprix,3350033118553,,,,['Monoprix'],,,,['France'],[],[],,,,,,,?,,441,,1845 kj(441 kcal),,26,,"4,5",,46,,"5,1",,1,,"0,4",,,,,,,,,23,['Monoprix'],,,,,,,,,,,,,,,,
4,comte AOP 6mois - fromagerie vagne - 350g,2463319033677,C,,350g,['fromagerie vagne'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],['Poligny'],['France'],"['FR 25', '039', '003 CE Appellation ORIGINE PRO COMTE COMTE AOP 6 mois minimum Affine par Fromageries Vagne 39800 Poligrny INGREDIENTS', ' Lait cm', 'sel', 'ferments lactiques', 'presure Fromage à pâte pressée cuite']",[],35 g,en quantité élevée,23 g,en quantité élevée,0.9 g,en quantité modérée,1771,+18%,?,,1771 kj(423 kcal),+7%,35,+7%,23,+6%,1,+116%,27,+7%,"0,9",-8%,"0,36",-8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"0,5",,['sous vide'],['France'],"['2463319035367', 'FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",['Lait'],0.5 g,en faible quantité,+80%,13,-3%,D,-3%,,,,,
5,Rabassiere,3435850002053,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,César MORONI chorizo - 100grammes,15277747,,,100 grammes,['César MORONI'],"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,['hameau de st Didier FRANCE'],['France'],"['viande et gras de porc', 'sel', 'maltodextrine', 'paprika', 'lactose', 'piment de cayenne', 'protéines de lait', 'ail', 'dextrose', 'antioxydants', 'ascorbate de sodium', 'nitrate de potassium', 'ferments', ' Traitement de surface : sorbate de potassium', ' Présence possible de fruits à coques et de protéines de soja']","['Non végétalien', 'Non végétarien']",17 g,en quantité modérée,7.1 g,en quantité élevée,3.6 g,en quantité élevée,?,,270,-8%,1130 kj(270 kcal),-7%,17,-31%,"7,1",-23%,"4,6",+163%,25,+67%,"3,6",+85%,"1,44",+85%,,,,,,,,"3,7",['AUCHAN'],['en tranches'],['Espagne'],,['Lait'],3.7 g,en faible quantité,+372%,20,+6%,E,+6%,"['E301 - Ascorbate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,
7,Tagliatelles,3250392728885,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,279,,1167 kj(279 kcal),,"2,3",,"0,6",,"52,2",,"10,8",,"0,6",,"0,24",,,,,,,,,"1,4",,,,,,,,,,,,,,,,,
8,Poulet miel moutarde - Starmeal - 215g,5425015404479,C,,215 g,['Starmeal'],"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']","['Nutriscore', 'Nutriscore B']",,['France'],[],[],8.6 g,en quantité modérée,1.7 g,en quantité modérée,1.02 g,en quantité modérée,?,,204,-9%,854 kj(204 kcal),-9%,"8,6",+3%,"1,7",+17%,"21,3",-17%,"9,2",-9%,"1,02",-16%,"0,408",-16%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,"3,9",,,,,,3.9 g,en faible quantité,+19%,2,-26%,B,-26%,,,,,
9,Ravioli gorgonzola,3308090002506,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,"['FR 13.211.002 CE', 'Marseille 11e  Arrondissement (Bouches-du-Rhône, France)']",,,,,,,,,,,,,
10,Aiguillette de poulet,2446947032809,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,
11,Filets de poulet halal,20929961,D,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Halal'],,['France'],[],[],1.4 g,en faible quantité,0.5 g,en faible quantité,0.12 g,en faible quantité,?,,107,-18%,448 kj(107 kcal),-17%,"1,4",-51%,"0,5",-33%,"0,5",+4%,23,+1%,"0,12",-84%,"0,048",-84%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"0,5",,,,"['FR 53.130.001 CE', 'Laval (Mayenne, France)']",,0.5 g,en faible quantité,+106%,-4,,A,,,,,,
12,7613034506962,7613034506962,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Le temps des Cerises Café bio saveur caramel,3564884021706,,,,['Le Temps des Cerises'],,['Bio'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Buche de chevre,2488001013058,E,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Bûche de chèvre']",,,['France'],[],[],25 g,en quantité élevée,18 g,en quantité élevée,1.5 g,en quantité modérée,?,,369,+29%,1544 kj(369 kcal),+29%,25,+9%,18,+12%,"2,9",+103%,18,-4%,"1,5",+6%,"0,6",+6%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,"0,5",,,,,,0.5 g,en faible quantité,-15%,15,+9%,D,+9%,,,,,
15,Puree d'amande,3662902000426,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,New Zealand Clover Honey - Tiptree,0043647530011,,,,['Tiptree'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MUSCLE FUEL ANABOLIC - 4kg,6009544908494,,,4 kg,,,,,['France'],[],[],,,,,,,?,,379,,1586 kj(379 kcal),,"2,4",,"1,4",,53,,36,,"0,9",,"0,36",,,,,,,,,17,,,,,,,,,,,,,,,,,
18,Snack frutta with orange marmalade - Balconi - 330g,8001585008759,,,330 g,['Balconi'],,,,['France'],[],[],,,,,,,?,,390,,1632 kj(390 kcal),,"12,2",,"9,4",,"64,7",,"4,5",,"0,3",,"0,12",,,,,,,,,"46,9",,,,,,,,,,,,,,,,,
19,3760115292376,3760115292376,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Salers gentiane sirop - 1litre,01426991,,,1 litre,['Salers'],"['Boissons', 'Boissons avec sucre ajouté']",['Néant'],['Sans'],['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,0.0065 g,en faible quantité,?,,343,+304%,1435 kj(343 kcal),+288%,"0,1",-73%,0,-100%,86,+334%,"0,1",-81%,"0,006",-83%,"0,003",-83%,,,,,,,,"62,7",['Auchan'],['bouteille en verre antigoutte en plastique bouchon en fer'],,['NÉANT'],,62.7 g,en quantité élevée,+243%,20,+68%,E,+68%,,,http://www.gentiane-salers.com,,
21,Roti de porc - Carrefour Bio,2227849036863,D,,,['Carrefour Bio'],"['Viandes', 'Porc', 'Rôtis de porc']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-13', 'Fabriqué en France', 'AB Agriculture Biologique']",,['France'],[],[],7.6 g,en quantité modérée,3 g,en quantité modérée,1.4 g,en quantité modérée,?,,169,+17%,707 kj(169 kcal),+19%,"7,6",+51%,3,+44%,"0,6",-27%,24,+7%,"1,4",-19%,"0,56",-19%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"0,5",['Carrefour'],,,"['EMB 29004', 'Bannalec (Finistère, France)']",,0.5 g,en faible quantité,-20%,5,-30%,C,-30%,,,,,
22,Gran gusto - 500g,8001420008579,,,500 g,,,,,['France'],[],[],,,,,,,?,,348,,1456 kj(348 kcal),,"0,7",,"0,2",,"78,3",,"6,8",,0,,0,,,,,,,,,"0,2",,,,,,,,,,,,,,,,,
23,Calissons de Provence,3532610001001,B,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', 'Calissons de provence']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,,,,,,,,,,,,,,,,,,
24,Poivre blanc en grains - Bedros,3580281890035,,,,['Bedros'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Saucisse luxembourgeoise,2951766307798,,,,,,,,['France'],[],[],,,,,,,?,,292,,1222 kj(292 kcal),,"21,7",,"9,7",,"2,2",,"21,9",,"3,1",,"1,24",,,,,,,,,"0,1",,,,,,,,,,,,,,,,,
26,Parmigiano reggiano DOP - Kaufland,4337185458941,D,,,['Kaufland'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",['AOP'],,"['France', 'Allemagne']",[],[],30 g,en quantité élevée,20 g,en quantité élevée,1.6 g,en quantité élevée,?,,402,+0%,1682 kj(402 kcal),+1%,30,+1%,20,+1%,0,-100%,32,-1%,"1,6",0%,"0,64",0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,0,,,,,,0 g,en faible quantité,,17,+2%,D,+2%,,,,,
27,Pois chiches,3263340158467,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,,,,,,,,,,,,,
28,Brut ultime,3284220101144,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pain complet,0202535008203,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,saussisson,2382253041008,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Korrekt,4304218718068,,,,['Korrekt'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Coop sparkling lemon Lime Flavour,5000128648752,,,,['Coop'],,"['Végétarien', 'Végétalien', 'Sans sucre ajouté']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,
33,Friand à la volaille bio - Schellenberger - 250g,3760162530018,E,,250g,['Schellenberger'],"['Plats préparés', 'Feuilleté salé', 'Friands', 'Feuilleté à la viande']",['Bio'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,90.4%,4.5%,1.1%,1.2%,0.6%,2.3%,21,,,,,,,,,,,,,,,,,,
34,Truite fumée - Ogive - 120g,339780007001,E,,120g,['Ogive'],"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,,['France'],"['ΟΥΙVE BVCert', ' 6010776 ATI Pisciculture Pisciculture Les Truites du Béez Pisciculture de La Truite du Gave Site : Soulom ', 'Hautes-Pyrénées', ' Rivière : Gave de Gavarnie Éleveur François Pomarez IN Lau Balagnas Site : Bruges ', 'Pyrénées-Atlantiques Rivière : Le Béez Éleveur Bernard Gassie Site : Lau Balagnas ', 'Hautes-Pyrénées', "" Rivière: Gave de Pau Éleveur François Pomarez Bon Bon Pour VOus Pour l'emploi Pour la nature Bon Nous nous engageons pour une qualité irréprochable de nos truites Ovive tant en goût qu'en matière de sécurité"", ' Nos élevages sont parfaitement intégrés dans leur milieu naturel', ' Nous oeuvrons en permanence pour la préservation de En favorisant une production française', ""Ovive soutient l'emploi local et assure une aquaculture familiale de proximité"", "" l'environnement à toutes les étapes de notre filière"", ' Pour leur bien-être', 'les truites Ovive grandissent dans des eaux aux qualités exceptionnelles contrôlées quotidiennement', ' Les truites Ovive des Pyrénées naissent à Lau Balagnas ', '65', 'Bruges ', '64', ' et Esterençuby ', '64', ' Elles sont élevées sur des sites exceptionnels au niveau de la qualité des eaux', "" Sur l'emballage de votre truite fumée est indiqué le lieu précis d'élevage dont vous retrouvez ci-dessus les caractéristiques "", 'ville', ""rivière et nom de l'éleveur"", ' Les truites sont fumées au bois de hêtre et soigneusement préparées dans notre atelier de Sarbazan ', '40', ' Agri Confiance garantit le respect de normes de maîtrise de la qualité et contribue à la traçabilité du produit', "" Cette démarche de progrès développée par les hommes et les femmes des Coopératives de France est contrôlée par des organismes de Leur alimentation fait l'objet de contrôles réguliers et de choix rigoureux exclusivement nourries de végétaux sans OGM "", '<0,9%', ""d'environ 25% de poissons "", 'pêchés sous quota afin de préserver la ressource des océans et leur biodiversité', ' et de vitamines', ' Pour votre santé', ""les truites Ovive sont 2 à 3 fois moins grasses que tous les saumons d'élevage"", "" agri Confiance matière de Nous responsabilité sociétale à privilégier l'emploi en France"", ""tant avec nos propres élevages qu'avec tous nos fournisseurs"", ' nous engageons en COOPERATIVES DE FRANCE Notre engagement', 'votre garantie', ' certification indépendants', ' www', 'agriconfiance', 'coop 97% de nos déchets sont recyclés ou valorisés', ' En 2015', ""nous avons réduit de 9% notre consommation d'électricité et de 5% notre consommation d'eau par kilo de produit fini""]",[],7.6 g,en quantité modérée,1.3 g,en faible quantité,,,?,,671,+309%,2807 kj(671 kcal),+310%,"7,6",-3%,"1,3",-20%,?,,?,,,,,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,"['EMB 40288B', 'Sarbazan (Landes, France)']",,,,,,,,,,,,,
35,sucette lapi pop,3395503038689,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Méga t'oeufs - Cémoi,3173286669098,,,,['Cémoi'],,,,['France'],[],[],,,,,,,?,,546,,2284 kj(546 kcal),,33,,20,,53,,"8,3",,"0,5",,"0,2",,,,,,,,,49,,,,,,,,,,,,,,,,,
37,MINERVOIS RGE CH.AGEL 75CL,3760001390070,,,,,,,,['France'],[],[],,,,,,,?,,68,,285 kj(68 kcal),,0,,0,,"0,2",,"0,1",,0,,0,,,,,,,,,"0,05",,,,,,,,,,,,,,,,,
38,Escalopes de poulet - Auchan,2600252010567,,,,['Auchan'],,,,['France'],[],[],,,,,,,?,,100,,418 kj(100 kcal),,"0,5",,"0,5",,"0,5",,24,,"0,11",,"0,044",,,,,,,,,"0,5",['Auchan'],,,,,,,,,,,,,,,,
39,Yaourt de chèvre vanille bio,3701052305255,,,,,,['Bio'],,['France'],[],[],,,,,,,?,,101,,423 kj(101 kcal),,"4,1",,"2,8",,"9,7",,4,,"0,08",,"0,032",,,,,,,,,"9,7",,,,,,,,,,,,,,,,,
40,Palmiers aux olives,6111242546998,B,,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Palmiers salés']",,,['France'],[],[],28.4 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,?,,524,+2%,2192 kj(524 kcal),+1%,"28,4",-3%,1,-95%,"59,3",+17%,"7,86",-26%,1,-65%,"0,4",-65%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,1,,,,,,1 g,en faible quantité,-31%,6,-76%,C,-76%,,,,,
41,Crème fraîche fermière - Écarlate du petit permet - 500g,3760133000007,,,500g,['Écarlate du petit permet'],['Creme fraiche fermiere'],,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Kingo Jelly,9556437011344,,,,,,,,['France'],[],[],,,,,,,?,,77,,322 kj(77 kcal),,"0,5",,"0,1",,18,,"0,5",,"0,06",,"0,024",,,,,,,,,17,,,,,,,,,,,,,,,,,
43,Eau minérale naturelle,3700088900212,,,,,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mate lemon with green tea - YogiTea - 1l,4012824600386,,,1l,['YogiTea'],['Boissons'],,,"['France', 'Allemagne']",[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,?,,14,-75%,59 kj(14 kcal),-76%,"0,1",-71%,"0,1",-15%,"3,3",-71%,"0,1",-80%,"0,01",-76%,"0,004",-76%,,,,,,,,"3,3",,,,,,3.3 g,en quantité modérée,-65%,5,-35%,C,-35%,,,,,
45,Sirop de cassis de Bourgogne -,34624685,B,,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,,,,,
46,Nut's Choc,3760278610246,,,,,,,,['France'],[],[],,,,,,,?,,542,,2268 kj(542 kcal),,"30,3",,"9,9",,"65,2",,"1,2",,"0,1",,"0,04",,,,,,,,,"56,1",,,,,,,,,,,,,,,,,
47,Champagne Veuve Emile,3537560200061,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Coeur de beurre au salidou,3561770001545,,,,,,,,['France'],[],[],,,,,,,?,,520,,2176 kj(520 kcal),,29,,"15,6",,58,,"6,7",,"0,86",,"0,344",,,,,,,,,25,,,,,,,,,,,,,,,,,
49,Sucette Alvityl pour les maux de transport,3664492000473,,,,,,,,['France'],[],[],,,,,,,?,,396,,1657 kj(396 kcal),,"0,6",,"0,2",,97,,0,,0,,0,,,,,,,,,74,,,,,,,,,,,,,,,,,
50,Poulet fermier bio,2211510013024,,,,,,['Bio'],,['France'],[],[],,,,,,,?,,167,,699 kj(167 kcal),,"9,3",,2,,"0,5",,21,,"0,14",,"0,056",,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
51,Spaguetti de semoule,2317768796754,,,,,,['Fabriqué en Italie'],,['France'],[],[],,,,,,,?,,360,,1506 kj(360 kcal),,0,,0,,76,,"12,5",,0,,0,,,,,,,,,4,,,,,,,,,,,,,,,,,
52,Escargot de Bourgogne - Argel,3565270000169,C,,,['Argel'],"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,,,,,,,,,,,
53,Mini Champignons 1. Wahl Ganze Köpfe - Edeka - 180g,4311501436806,B,,180g,['Edeka'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve', 'Champignons de Paris entiers en conserve']",,,"['France', 'Allemagne']",[],[],0.5 g,en faible quantité,0 g,en faible quantité,0.6 g,en quantité modérée,?,,21,+5%,88 kj(21 kcal),+6%,"0,5",+43%,0,-100%,"0,6",-23%,"2,3",+1%,"0,6",-10%,"0,24",-10%,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,0,,,,,,0 g,en faible quantité,-100%,-4,,A,,,,,,
54,10 feuilles de brick,3700091902050,,,,,['Feuilles de brick'],['Halal'],,['France'],[],[],1 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,?,,132,-49%,552 kj(132 kcal),-49%,1,-12%,0,-100%,5,-91%,1,-83%,"0,7",-77%,"0,28",-77%,,,,,,,,0,,,,,,0 g,en faible quantité,-100%,4,-64%,C,-64%,,,,,
55,More di gelso - Simplicemente frutta - 40g,8009750920943,,,40 g,['Simplicemente frutta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés']",['Sans sucre ajouté'],,['France'],['gelso essicato'],[],3.2 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,?,,352,+73%,1473 kj(352 kcal),+76%,"3,2",+223%,"1,8",+737%,70,+66%,"7,1",+540%,0,-100%,0,-100%,,,,,,,,60,,,,,,60 g,en quantité élevée,+64%,1,-76%,B,-76%,,,,,
56,vinaigre de vin rouge,3104185002594,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Émincé de porc au Gyros - Meine Metzgerei,4061458025263,,,,['Meine Metzgerei'],,,,['France'],[],[],,,,,,,?,,128,,536 kj(128 kcal),,"5,2",,"1,3",,1,,19,,"1,6",,"0,64",,,,,,,,,"0,4",,,,,,,,,,,,,,,,,
58,Birkensaft gezuckert,4810268028793,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Bananes,2600480009180,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,,,,,
60,Caffe & ginseng,8004990122478,,,,,,['en:gluten-free'],,['France'],[],[],,,,,,,?,,383,,1602 kj(383 kcal),,"3,8",,"3,4",,"75,4",,"10,5",,"0,3",,"0,12",,,,,,,,,"69,3",,,,,,,,,,,,,,,,,
61,Sodastream Framboise 500mL Sodastream - 500mL,7290002793380,,,500 mL,,,,,['France'],[],[],,,,,,,?,,15,,63 kj(15 kcal),,0,,0,,"3,4",,"0,1",,8,,"3,2",,,,,,,,,"3,4",,,,,,,,,,,,,,,,,
62,"Socopa façon charcutière, merguez veritable",2009016649157,,,,['Socopa'],,,,['France'],[],[],,,,,,,1188,,?,,1188 kj(284 kcal),,25,,10,,"2,9",,12,,"1,8",,"0,72",,,,,,,,,2,,,,"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,,,,,,,,,,,
63,Saucisse seche de canard,3365490004547,,,,,,,,['France'],[],[],,,,,,,?,,390,,1632 kj(390 kcal),,31,,10,,"2,1",,27,,"4,7",,"1,88",,,,,,,,,"2,1",,,,,,,,,,,,,,,,,
64,Finger food,5030755001255,,,,,,,,['France'],[],[],,,,,,,?,,234,,979 kj(234 kcal),,"10,6",,"3,7",,"28,6",,"4,6",,"0,744",,"0,297",,,,,,,,,"3,3",,,,,,,,,,,,,,,,,
65,Jaume Serra D.o. Cava Brut (3 x 0.75 L),8411277205654,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Mandeln gehobelt - 100g,22117342,,,100 g,,,,,"['France', 'Allemagne']",[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Pain de mie sans sucres ajoutés,3090330068549,,,,,,,,['France'],[],[],,,,,,,?,,267,,1117 kj(267 kcal),,"3,3",,"0,4",,49,,"8,9",,"1,1",,"0,44",,,,,,,,,"5,5",,,,,,,,,,,,,,,,,
68,2281506024938,2281506024938,,,,,,"['Viande Française', 'Viande Porcine Française']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,"['FR 25.357.050 CE', 'Maisons-du-Bois-Lièvremont (Doubs, France)']",,,,,,,,,,,,,
69,Bolt from the blue - innocent - 330mL,5038862139991,D,,330 mL,['Innocent'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool']",,,"['France', 'Royaume-Uni']","['Apple juice - 66%', 'coconut water - 18%', 'white grape juice', 'white guava puree - 5%', 'passion fruit juice', 'spirulina extract - 0', '8%', 'lime juice - 0', '7%', 'vitamins ', 'B1', 'B2', 'B3', 'B6 & E']",[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,170,-6%,40,+5%,170 kj(40 kcal),+2%,0,-100%,0,-100%,10,+16%,0,-100%,0,-100%,0,-100%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"9,3",['Tesco'],['mixed plastic-bottle'],,,,9.3 g,en quantité élevée,+27%,3,-57%,C,-57%,,1,,,
70,Anise sans alcool,3014400002059,,,,,,,,['France'],[],[],,,,,,,?,,2,,8 kj(2 kcal),,"0,1",,0,,"0,6",,"0,1",,"0,02",,"0,008",,,,,,,,,"0,1",,,,,,,,,,,,,,,,,
