,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
1063,Oatmeal,7426891693849,,,,,,,,['France'],[],[],,,,,,,?,,369,,1544 kj(369 kcal),,"7,98",,"1,57",,"56,78",,"9,11",,0,,0,,,,,,,,,"2,92",,,,,,,,,,,,,,,,,
1064,Thé Bapla,3760059430384,,,,,,['Sans conservateurs'],,['France'],[],[],,,,,,,?,,27,,113 kj(27 kcal),,0,,0,,"6,7",,0,,0,,0,,,,,,,,,"6,7",,,,,,,,,,,,,,,,,
1065,Gemüsesaft Cocktail - Eden,4005047033161,,,,['Eden'],,,,['France'],[],[],,,,,,,?,,21,,88 kj(21 kcal),,0,,0,,4,,"0,7",,"0,6",,"0,24",,,,,,,,,3,,,,,,,,,,,,,,,,,
1066,Cantuccini - Deseo - 180g,8032532381090,C,,180 g,['Deseo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci']",['Fabriqué en Italie'],,['France'],[],[],19 g,en quantité modérée,5.7 g,en quantité élevée,0.2 g,en faible quantité,?,,479,+9%,2004 kj(479 kcal),+9%,19,+33%,"5,7",+44%,70,+6%,"7,8",-20%,"0,2",-37%,"0,08",-37%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,43,,,,,,43 g,en quantité élevée,+34%,19,+23%,E,+23%,,,,,
1067,Zero Shake Chocolate-cappuccino - BiotechUSA,5999076226030,,,,['BiotechUSA'],,['Sans lactose'],,['France'],[],[],,,,,,,?,,41,,172 kj(41 kcal),,"0,5",,"0,2",,"1,3",,"7,6",,"0,06",,"0,024",,,,,,,,,"0,6",,,,,,,,,,,,,,,,,
1068,3770006673016,3770006673016,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Kinako,3560468797685,,,,,,,,['France'],[],[],,,,,,,?,,441,,1845 kj(441 kcal),,21,,3,,16,,39,,"0,01",,"0,004",,,,,,,,,"7,8",,,,,,,,,,,,,,,,,
1070,Quinoa et lentilles corail,3111952028220,,,,,,,,['France'],[],[],,,,,,,?,,342,,1431 kj(342 kcal),,"4,5",,"3,6",,"54,1",,"17,6",,0,,0,,,,,,,,,"0,4",,,,,,,,,,,,,,,,,
1071,2666271027689,2666271027689,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Légumes Vapeur mélange de choux - Cora - 600g,3257981176232,,,600g,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",,,['France'],"['Brocolis 34% - choux-fleurs 31% - choux romanesco 23% - oignons 6% - eau - huiles végétales de colza et de coprah - arôme naturel - matière grasse laitière anhydre - persil - épaississants : gomme guar', 'gomme xanthane - poivre']",[],1.5 g,en faible quantité,0.5 g,en faible quantité,0.28 g,en faible quantité,?,,34,-26%,142 kj(34 kcal),-25%,"1,5",+40%,"0,5",+83%,"1,9",-59%,"2,2",-3%,"0,28",+70%,"0,112",+70%,,,,,,,,"1,4",,,,"['EMB 56140E', 'Moréac (Morbihan, France)']",,1.4 g,en faible quantité,-34%,-7,,A,,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",4,,,
