,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,palm_ingredients,link,producer_info,origin_detail
708,Haricots rouges secs - Riche Valee - 500g,3276350021805,500 g,['plastique jetable'],"['Riche Valee', 'Duru']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots rouges']",,['France'],['France'],['33063-D'],['Casino'],['France'],"['Haricots rouges ', 'secs']",[],?,,297,+90%,"1,2",+42%,"41,3",+92%,"21,2",+86%,B,21.5%,38.3%,18.4%,8.4%,5.2%,8.2%,92,1.2 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.05 g,en faible quantité,1243 kj(297 kcal),+86%,"0,3",+117%,"2,3",+60%,"0,05",-87%,"0,02",-87%,-7,,A,,,1,,,,http://www.societe-duru.com/,,
709,Flageolets verts - Tartines Et Potager,3276350022055,,,['Tartines Et Potager'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Flageolets verts secs']",['Bio'],,,,,['France'],[],[],?,,297,+19%,"1,2",-10%,"41,3",+5%,"21,2",+23%,B,65.6%,0.0%,15.2%,7.8%,4.2%,7.1%,99,1.2 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.05 g,en faible quantité,1243 kj(297 kcal),+17%,"0,3",+30%,"2,3",+38%,"0,05",+175%,"0,02",+175%,-7,,A,,,,,,,,,
710,Lentilles au naturel - Tartines & Potager,3276350157467,,['bocal en verre'],['Tartines & Potager'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Plats préparés', 'Légumes secs', 'Lentilles', 'Lentilles préparées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans conservateurs']",,['France'],,,['France'],"['Eau', 'lentilles*', 'sel', 'poivre*', "" *Produits issus de l'Agriculture Biologique Produit 100% naturel et Sans conservateur""]",[],?,,119,+25%,"0,4",-76%,"16,2",+37%,"9,4",+44%,A,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,0.4 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,1 g,en quantité modérée,498 kj(119 kcal),+24%,"0,1",-68%,"0,5",-41%,1,+34%,"0,4",+34%,0,,B,,,3,,,,,,
711,Mini Knacks de Volaille,3276440796347,,,,,,,,,['Magasins U'],['France'],[],[],?,,233,,"19,6",,"1,1",,"12,9",,,,,,,,,,,,,,,,,,975 kj(233 kcal),,"5,9",,"1,1",,"1,4",,"0,56",,,,,,,,,,,,,
712,Cachir,3276440847780,,,,,['Halal'],,,,,['France'],[],[],?,,190,,14,,"5,5",,11,,,,,,,,,,,,,,,,,,795 kj(190 kcal),,"4,1",,"0,7",,2,,"0,8",,,,,,,,,,,,,
713,"Mousse de volaille, Halal - Médina Halal - 0,200kg",3276447466007,"0,200 kg","['Frais', 'Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Sous atmosphère protectrice']",['Médina Halal'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Frais', 'Mousses salées', 'Mousses de foies', 'Mousses de foies de volailles', 'Mousses']","['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,"['Corico (Filiale Groupe Lambert Dodard Chancereul - LDC) - Le Colombier - 69860 Monsols', 'Rhône', 'Rhône-Alpes', 'France']","['FR 69.135.001 CE', 'Monsols (Rhône, France)']",['Grand Frais'],['France'],"['Foies de dinde 36 %', 'gras de veau', 'peau de dinde', 'eau', ""blanc d'œuf déshydraté"", 'oignons', 'sel', 'lactosérum ou lactose', 'protéine de lait', 'protéines de soja', 'farine de blé', 'épices', 'dextrose de blé', 'saccharose', 'arôme', 'arôme de fumée', 'gélifiant : E407a', 'stabilisant : E451i', 'E508', 'antioxydant : E315', 'E301', 'acidifiant : E330', 'conservateur : E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,219,,15,-58%,3,+6%,19,+92%,,,,,,,,,15 g,en quantité modérée,4.66 g,en quantité modérée,1.56 g,en faible quantité,2.3 g,en quantité élevée,916 kj(219 kcal),-41%,"4,66",-65%,"1,56",+12%,"2,3",+54%,"0,92",+54%,16,-19%,D,-19%,"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E451i - TPP', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E315 - Acide érythorbique', 'E301 - Ascorbate de sodium', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,"['Œufs', 'Gluten', 'Lait', 'Soja']",Mousse de foie de volaille,,http://www.medina-hallal.com/,,
714,Pommes Golden - Carrefour Bio - 6fruits,3276550063612,6 fruits,"['Barquette', 'Carton', 'Plastique']","['Carrefour Bio', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes sucrées', 'Pommes fraîches', 'Pommes Golden Delicious']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Catégorie II', 'FR-BIO-10']","['France', 'Drôme']","['Drôme', 'France']","['EMB 22166F', ""Penvénan (Côtes-d'Armor, France)""]",['Carrefour'],['France'],"['Pommes Golden', ' Catégorie II']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,B,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
715,Brioche Nanterre -  - 400g,3276550110194,400 g,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches']",,,,,,['France'],"['farine de blé', 'oeufs frais', 'beurre 16,5%', 'sucre', 'gluten de blé', 'levure', 'sel', 'poudre de lait entier', 'fibre de blé']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1691,+13%,403,+11%,17,+23%,47,-8%,13,+74%,C,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,17 g,en quantité modérée,10 g,en quantité élevée,13 g,en quantité élevée,1 g,en quantité modérée,1691 kj(403 kcal),+11%,10,+31%,13,-34%,1,+38%,"0,4",+38%,20,+18%,E,+18%,,4,"['Œufs', 'Gluten', 'Lait']",,,,,
716,Le pain campagnard,3276550175025,,,,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Pains aux raisins pur beurre - Sans marque - 192g (2pains),3276550192312,192 g (2 pains),"['Barquette plastique', 'Point vert']",['Sans marque'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains aux raisins']",,,"['94405', 'Vitry sur Seine', 'France']",,['Dia'],['France'],"['Crème pâtissière 28', '5% ', 'lait demi-écrémé', 'oeufs', 'sucre', ""blanc d'oeufs"", 'amidon modifié de maïs', 'épaississants ', 'gomme guar', 'gomme xanthane', 'arôme naturel de vanille', 'colorants ', 'curcumine', 'caroténoïdes', 'farine de blé', 'beurre 13%', 'eau', 'raisins secs 11%', 'sucre', 'lait demi-écrémé', 'levure', 'gluten de blé', 'oeufs', 'sel', ""levain d'epeautre complet déshydraté et désactivé "", ""farine complète d'épeautre"", 'chef', 'farine de blé malté', ""extrait de malt d'orge "", ""malt d'orge"", 'eau', 'agents de traitement de la farine ', 'acide ascorbique']",['Non végétalien'],?,,?,,?,,?,,?,,C,74.6%,17.9%,4.8%,2.4%,0.4%,0.0%,64,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E100 - Curcumine', 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']",4,"['Œufs', 'Gluten', 'Lait']",,,,,
718,Framboises - Fruit Masters - 125g,3276550230199,125 g,"['Barquette', 'Plastique']",['Fruit Masters'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Framboises', 'Framboises fraîches']",['Catégorie I'],['Maroc'],,,['Carrefour Market'],['France'],['Framboises'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,C,90.1%,0.0%,0.0%,7.2%,2.5%,0.1%,60,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
719,Cerneaux de noix du Dauphiné - Rey Jean-Pierre - 175g,3276550234081,175 g,"['Boîte', 'Plastique']",['Rey Jean-Pierre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Noix', 'Noix décortiquées', 'Cerneaux de noix', 'Cerneaux de noix du Dauphiné']",['Point Vert'],"['France', 'Dauphiné', 'St Vincent de Mercuze']",['France'],,['Carrefour'],['France'],['Cerneaux de noix du Dauphiné'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,C,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,,,,,,,,,,,,1,,Cerneaux de noix,,,,
720,Concombre - Brio - 300-400g,3276550309413,300-400 g,['Plastique'],['Brio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Concombres', 'Concombre frais']","['Bio', 'Bio européen', 'ES-ECO-001-AN', 'ES-ECO-002-AN']",['Espagne'],,,['Carrefour market'],['France'],['concombre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,B,92.6%,0.0%,0.0%,3.4%,3.0%,1.0%,60,,,,,,,,,,,,,,,,,,,,,,,,1,,Concombre,,,,
721,Pain aux céréales tranché sans gluten - Genius sans gluten - 400g,3276550444503,400g,,['Genius sans gluten'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits sans gluten', 'Pains', 'Pains sans gluten']",['en:gluten-free'],,,,,['France'],[],[],?,,?,,?,,?,,?,,B,57.4%,21.5%,10.0%,10.3%,0.7%,0.0%,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Pâtisserie orientale,3276550547389,,,,,,,,,,['France'],[],[],?,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,0,,0,,,,,,,,,,,,,,,,,
723,Petit Pain -,3276550564249,,,,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Assortiment 18 macarons - Carrefour,3276550564447,,,['Carrefour'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,['Carrefour'],['France'],"[""1h1GREDlEt•4TS : Sucre - AMANDES - Blancs d'CEUFS - Crème '"", 'crème ', 'LAIT', 'stabilisant : carraghénanes', ""émulsifrant : ester lactique des mono - et diglycérides d'acide gras"", ' - Fourrage citron 3% ', 'pulpe de citron', 'sucre', 'jus de citron', 'préparation concentrée de citron ', 'concentré de citron', ""pulpe de citron,' correcteur d'acidité : acide citrique"", 'huile essentielle de citron', 'gélifiant : pectines', ""correcteur d'acidité : acide citrique"", 'antioxydant : acide ascorbique', ' - Fourrage framboise 3% ', 'brisures de framboises', 'sucre', 'sirop de glucose-fructose', 'gélifiant : pectines', ""correcteur d'acidité : acide citrique"", ' - Beurre ', 'LAIT', ' - Amidon de maïs - Fourrage chocolat blanc 1 % [chocolat blanc ', 'sucre', 'LAIT entier en poudre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'huile de colza non hydrogénée', '] - Chocolat 0', '8% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', ' - Chocolat noir Sao Tomé 0', '8% ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de SOJA', "" - ŒUFS - Purée d'AMANDE - Blancs d'CEUFS séchés pasteurisés - Pâte de PISTACHE 0"", '7% ', 'PISTACHES vertes 49%', 'sirop Ede sucre', 'eau', 'arôme naturel', ' - Eau - Colorants : curcumine', ""phosphate5'de riboflavine"", 'complexes cuivre chlorophylline', 'rouge de betterave - Arôme naturel devanille 0', '2% - Chocolat blanc 0', '2% ', 'sucre', 'beurre de cacao', 'LAIT entier en poudre', 'émulsifiant ', ' lécithine de SOJA', 'arôme naturel de vanille', ' - LAIT écrémé en poudre Sirop de glucose - Arôme naturel de café O', "" - Bdrait de malt d'orge "", 'GLUTEN', ' - re - Amidon modifié de maïs - Cacao en poudre 0', '03% - Sirop de sucre inverti - Acidifiant : acide citrique - Agent moussant : citrate de LAIT entier en triéthyle - Géli •ant : alginate de sodium - Stabilisant : gomme xanthane - Séquestrant : diphosphate disodique - Grains de vanille épuisée 0', '004%', ' Contiennent : ŒUFS', 'IAIT', 'SOJA', 'GLUTEN', 'AMANDES ET PISTACHES', "" Ces produits ont PU être en contact avec de l'arachide"", 'des graines de sésame', ""des sulfites et d'autres fruits à coque"", ' VALEURS NUTRITIONNEUES MOY9', 'aNES mg : frergie : 1783 H']",['Non végétalien'],?,,426,0%,"19,9",+12%,"50,7",-9%,"9,5",+11%,D,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,19.9 g,en quantité modérée,4.9 g,en quantité modérée,50.2 g,en quantité élevée,0.2 g,en faible quantité,1782 kj(426 kcal),+0%,"4,9",+8%,"50,2",-0%,"0,2",+40%,"0,08",+40%,19,+8%,E,+8%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E330 - Acide citrique', 'E440 - Pectines', 'E300 - Acide ascorbique', 'E322i - Lécithine', 'E100 - Curcumine', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E162 - Rouge de betterave', 'E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E415 - Gomme xanthane', 'E450i - Pyrophosphate de sodium acide']",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",,,,,
