,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,palm_ingredients,link,producer_info,origin_detail
0,Cervelle de veau - Kerméné - 300g,3266110098468,300 g,"['Frais', 'Plastique']",['Kerméné'],"['Viandes', 'Poissons et viandes et oeufs', 'Abats', 'Viandes de veau', 'Cervelles']","['Point Vert', 'Origine France']",['France'],['France'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],['France'],['Cervelle de veau'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rognon de Veau - Kermené - 400g,3266110098499,400 g,"['Frais', 'Plastique']",['Kermené'],"['Viandes', 'Poissons et viandes et oeufs', 'Viandes fraîches', 'Abats', 'Viandes de veau', 'Rognons de veau', 'Rognons']",['Point Vert'],['France'],['France'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],['France'],['Rognon de veau'],[],?,,?,,?,,?,,?,,D,96.9%,0.5%,1.0%,0.9%,0.5%,0.1%,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jambon cuit superieur - Les eleveurs de bretagne,3266110500565,,,['Les eleveurs de bretagne'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],,,,,['France'],[],[],?,,152,+15%,"7,7",+60%,"0,7",+5%,20,-5%,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,7.7 g,en quantité modérée,3.2 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,636 kj(152 kcal),+16%,"3,2",+74%,"0,7",+18%,"1,9",+2%,"0,76",+2%,12,+70%,D,+70%,,,,,,,,
3,Terrine de canard - Kermené - 170g,3266110501319,170 g,,['Kermené'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,['France'],[],[],?,,260,-15%,20,-24%,"3,7",+115%,16,+13%,E,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,20 g,en quantité modérée,7.9 g,en quantité élevée,0.4 g,en faible quantité,1.5 g,en quantité modérée,1088 kj(260 kcal),-15%,"7,9",-17%,"0,4",-35%,"1,5",-2%,"0,6",-2%,16,-11%,D,-11%,,,,,,,,
4,Museau de boeuf,3266110600876,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,"['FR 22.364.008 CE', ""Trélivan (Côtes-d'Armor, France)""]",,['France'],[],[],?,,152,,11,,"3,2",,11,,,,,,,,,,,,,,,,,,636 kj(152 kcal),,"1,1",,"0,7",,"1,3",,"0,52",,,,,,,,,,,,,
5,Piemontaise traditionnelle,3266110601156,,,,,,,,,,['France'],[],[],?,,150,,10,,"7,9",,7,,,,,,,,,,,,,,,,,,628 kj(150 kcal),,"1,1",,"0,6",,"0,75",,"0,3",,,,,,,,,,,,,
6,Salade Caesar,3266110601453,,,,,,,,,,['France'],[],[],?,,185,,11,,10,,12,,,,,,,,,,,,,,,,,,774 kj(185 kcal),,2,,"1,4",,1,,"0,4",,,,,,,,,,,,,
7,Araignée à l'espagnole - Kermené - 450g,3266110700347,450 g,"['Frais', 'Plastique']",['Kermené'],"['Viandes', 'Viandes fraîches', 'Porc', 'Viandes marinées']","['Viande Française', 'Ne pas recongeler', 'Viande Porcine Française', 'Point Vert', 'Décongelé']",['France'],['France'],"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",['Leclerc'],['France'],"['Araignée de porc ', '88 %', 'marinade ', '12 %', ' ', 'eau', 'huile de tournesol', 'épices et plantes aromatiques ', '1,8 %', ""vinaigre d'alcool"", ""arômes naturels et extraits d'épices"", 'sel', 'antioxydants : E300-E301', ',']",[],?,,152,-10%,"7,6",-3%,"0,5",-77%,20,+5%,,,,,,,,,7.6 g,en quantité modérée,2.2 g,en quantité modérée,0.2 g,en faible quantité,1.5 g,en quantité modérée,636 kj(152 kcal),-6%,"2,2",-13%,"0,2",-84%,"1,5",+23%,"0,6",+23%,4,-19%,C,-19%,"['E300 - Acide ascorbique', 'E301 - Ascorbate de sodium']",4,,,,,,
8,Paupiettes de porcs - Leclerc,3266110800184,,,['Leclerc'],,,,,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,['France'],"['Farce 55% ', 'viande de porc ', '32%', 'eau', ' gras de porc & viande de boeuf', 'chapelure ', 'blé', 'sel', 'acidifiants : E262 & E325', 'lactose', 'dextrose', 'betterave rouge,épices', 'sucre', 'arômes naturels', 'antioxydant : E301 plantes aromatiques', 'maltodextrine de pomme de terre', 'levure ', 'viande de porc ', '29%', 'barde de porc', 'Traces de soja', ' Pourcentage exprimé sur le poids']","['Non végétalien', 'Non végétarien']",?,,310,,28,,"1,5",,13,,,,,,,,,,,,,,,,,,1297 kj(310 kcal),,11,,"1,1",,"1,4",,"0,56",,,,,,"['E262 - Acétates de sodium', 'E325 - Lactate de sodium', 'E301 - Ascorbate de sodium']",4,"['Gluten', 'Lait', 'Soja']",,,,,
9,Tortellini bœuf bolognaise - Royans - 1kg (7à 9portions),3266140030124,1 kg (7 à 9 portions),"['Frais', 'Sachet plastique', 'Sous atmosphère protectrice']",['Royans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Frais', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats préparés frais', 'Pâtes fraîches', 'Tortellini', 'Tortellinis bœuf bolognaise', 'Tortellinis frais']","['Point Vert', 'Eco-Emballages']",,"['Saint Jean - 44 Avenue des Allobroges - Zone Industrielle - 26100 Romans-sur-Isère', 'Drôme', 'Rhône-Alpes', 'France']","['FR 26.281.031 CE', 'Romans-sur-Isère (Drôme, France)']",['Boucheries André'],['France'],"['Pâte ', '70 %', ' : semoule de blé dur de qualité supérieure', 'eau', 'œufs frais ', '140 g par kg de semoule', '\rFarce ', '30 %', ' : préparation de viande de bœuf 39', '8 % ', 'bœuf 91 %', 'eau', 'fécule de pomme de terre', 'sel', 'couscous ', 'blé', 'concentré de tomate 11 %', 'tomates 6,3 %', 'coulis de tomate 6 %', 'oignons 4 %', 'eau', 'sel', ""huile d'olive"", 'sucre', 'ail', 'thym', 'poivre']","['Non végétalien', 'Non végétarien']",?,,253,,"4,3",-13%,"42,3",+18%,"10,2",+20%,,,,,,,,,4.3 g,en quantité modérée,1.6 g,en quantité modérée,1.4 g,en faible quantité,1 g,en quantité modérée,1059 kj(253 kcal),+11%,"1,6",-27%,"1,4",-42%,1,+2%,"0,4",+2%,3,-14%,C,-14%,,3,"['Œufs', 'Gluten']",Plat préparé frais,,,,
10,Fagottini Comté - Basilic de Provence - Royans - 500g e,3266140053192,500 g e,"['Plastique', 'Frais']",['Royans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Plats à base de pâtes', 'Pâtes alimentaires', 'Pâtes farcies', 'Pâtes fraîches', 'Fagottini']",['Point Vert'],,,,['Boucheries André'],['France'],"['Pâtes 65%', 'semoule de blé dur de qualité supérieure', 'eau', 'œufs frais', '\rFarce 35 % : Comté 32 %', 'chapelure ', 'blé', 'ricotta', 'fromage blanc frais', 'basilic de Provence 12 %', 'couscous ', 'blé', 'huile végétale ', 'colza ou tournesol', 'sel']","['Sans huile de palme', 'Non végétalien']",?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"['Œufs', 'Gluten', 'Lait']",Fagottini Comté - Basilic de Provence,,,,
11,Canelloni Boeuf & légumes cuisinés - Royans - 500g,3266140055301,500 g,,['Royans'],,,,,,,['France'],"['Farce ', '65%', ' : Viande de boeuf cuite 27%', 'légumes 11,9% ', 'oignons', 'carottes', 'tomates séchées', 'coulis de tomate', 'eau', 'concentré de tomate', 'chapelure ', 'blé', 'flocons de pomme de terre ', 'pomme de terre déshydratée', ""extrait d'épices"", 'ricotta', 'huile de tournesol', 'fibre de blé', 'arômes naturels ', 'blé', 'sel', 'sucre', 'thym', 'ail', 'poivre ', 'pourcentages exprimés sur la farce', ' Pâte ', '35%', ' : Semoule de blé dur de qualité supérieure 72,4%', 'eau', 'œufs frais 10,1% ', '140g par kg de semoule', ' ', 'pourcentages exprimés sur la pâte', ' Peut Contenir des traces de soja', 'sésame et fruits à coque']","['Non végétalien', 'Non végétarien']",?,,205,,"4,9",,"29,1",,"9,4",,,,,,,,,,,,,,,,,,858 kj(205 kcal),,"1,2",,"3,5",,"1,6",,"0,64",,,,,,,4,"['Œufs', 'Gluten', 'Lait']",,,,,
12,Poêlée de ravioles - Saint Jean,3266140057466,,,['Saint Jean'],,['Bio'],,,,,['France'],"['Ravioles* 35% ', 'Pâte : ', 'Farine de blé tendre*', 'eau', 'œufs*', 'huile Fromage blanc frais*', 'Comté*', 'de tournesol*', ' Farce emmentat*', 'persil*', 'sel', 'Oeufs*', 'beurre*', 'sauce basilic* 30 0% {crème* ', 'stabilisant : carraghénanes', 'eau', 'basilic* 2,5%', 'sel', 'huile de tournesol*', 'épaississant : gomme xanthane', 'ail*', 'poivre* ', 'pourcentage exprimé sur la sauce', 'tomates* 19%', 'courgettes grillées* 16%', "" elngrédients issus de l'agriculture biologiqqe"", "" VALEURS N'UTRITIC"", 'NN ELLES 100g 712kJ 171 kcat']",['Non végétalien'],?,,171,,"10,3",,"13,5",,6,,,,,,,,,,,,,,,,,,715 kj(171 kcal),,"6,9",,"1,6",,"0,97",,"0,388",,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",4,"['Œufs', 'Lait']",,,,,
13,Mini quenelles nature - La Royale - 500g,3266140057701,500 g,,['La Royale'],"['Plats préparés', 'Quenelles', 'Quenelles nature']",,,,,,['France'],"['Eau', 'œufs frais', ""blanc d'?UfS "", 'épaississant : gomme xanthane', 'semoule de blé dur', 'huile de colza farine de blé', ""sel extrait d'épices Peut contenir des traces de : lait"", 'poisson et crustacé']",['Non végétalien'],?,,216,-4%,14,-3%,16,0%,"5,6",-17%,C,76.7%,10.9%,5.4%,4.0%,2.4%,0.6%,65,14 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en quantité modérée,904 kj(216 kcal),-3%,"1,4",-67%,"0,5",-40%,"1,1",+5%,"0,44",+5%,4,-49%,C,-49%,['E415 - Gomme xanthane'],4,"['Œufs', 'Lait']",,,,,
14,Ravioles du dauphine - Ravioles A L'ancienne,3266140057800,,['Barquette'],"[""Ravioles A L'ancienne""]","['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles', 'Ravioles du Dauphiné']",['Label Rouge'],,,,,"['Canada', 'France']","['Pâte ', '50%', ' : farbte de blé tendre', 'eau', ""œuf' fraû"", 'huile de tourne50L farce ', '50%', "" : fromage blanc frai'"", 'comté emmentdfrançab &t-centrat', ""œuf' frai'"", 'peau', 'Jet', 'beurre', 'eau', 'poivre']",['Non végétalien'],?,,276,-2%,"11,3",-3%,"29,2",-1%,"12,7",-2%,C,72.9%,12.7%,5.5%,4.6%,2.4%,1.7%,66,11.3 g,en quantité modérée,7.3 g,en quantité élevée,1.4 g,en faible quantité,1.7 g,en quantité élevée,1155 kj(276 kcal),-2%,"7,3",-4%,"1,4",-5%,"1,7",+16%,"0,68",+16%,17,+5%,D,+5%,,3,"['Œufs', 'Lait']",,,,,
15,Ravioles du Vercors - 2kg,3266140058470,2 kg,,,,,,,,,['France'],[],[],?,,276,,"11,3",,"29,2",,"12,7",,,,,,,,,,,,,,,,,,1155 kj(276 kcal),,"7,3",,"1,4",,"1,7",,"0,68",,,,,,,,,,,,,
16,Risotto Poulet rôti & Légumes du soleil - Saint Jean - 300g,3266140059033,300 g,"['Carton', 'Plastique']",['Saint Jean'],"['Plats préparés', 'Plats à base de riz', 'Risottos', 'Plats préparés à réchauffer au micro-ondes']",,,"['Drôme', 'France']",,,['France'],"['Riz cuisiné aux légumes 89% : riz précuit 40% ', 'riz pour risotto', 'sel', 'sauce 45% ', 'eau', 'crème ', 'stabilisant: carraghénanes', 'parmesan 4%', 'vin blanc', 'basilic', ""huile d'olive"", 'amidon transformé de pomme de terre', 'sel', 'arôme naturel ', 'lait', 'épaississant : gomme xanthane', 'poivre', 'légumes 15% ', 'poivrons grillés jaunes et rouges', 'courgettes', 'tomates', '\rÉmincé de poulet rôti 11% ', 'aiguillettes de poulet 80%', 'eau', 'amidon de tapioca', 'dextrose', 'sel']","['Non végétalien', 'Non végétarien']",527,-24%,?,,5,+23%,"14,5",-60%,"5,6",-7%,,,,,,,,,5 g,en quantité modérée,2.9 g,en quantité modérée,1 g,en faible quantité,0.7 g,en quantité modérée,527 kj(126 kcal),-42%,"2,9",+63%,1,-35%,"0,7",-24%,"0,28",-24%,3,-35%,C,-35%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",4,['Lait'],,,,,
17,"Riz à pôeler légumes soleil parmesan SAINT JEAN, 300G - 300g",3266140059682,300 g,['Frozen'],['Saint jean'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Plats préparés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés', 'Plats à base de riz', ""Mélanges d'aliments à base de plantes surgelés"", 'Mélanges de légumes surgelés']",,,,,,['France'],['TRADITION GOURMANDE aussi Légumes du soleil & Parmesan c•ids net aoo'],[],526,+148%,125,+127%,"3,8",+155%,"19,7",+241%,1,-50%,,,,,,,,,3.8 g,en quantité modérée,1 g,en faible quantité,0.9 g,en faible quantité,0 g,en faible quantité,526 kj(125 kcal),+133%,1,+237%,"0,9",-66%,0,-100%,0,-100%,-7,,A,,,,,,,,,
18,Galettes,3266140059804,,,,,['Fabriqué en France'],,,,,['France'],[],[],?,,472,,16,,74,,7,,,,,,,,,,,,,,,,,,1975 kj(472 kcal),,11,,25,,"0,9",,"0,36",,,,,,,,,,,,,
19,Soufflettes olives noires romarin - Saint Jean,3266140060657,,,['Saint Jean'],,,,,"['FR 01.166.001 CE', 'Frans (Ain, France)']",,['France'],[],[],?,,181,,12,,12,,"5,7",,,,,,,,,,,,,,,,,,757 kj(181 kcal),,"1,5",,"0,8",,"0,86",,"0,344",,,,,,,,,,,,,
20,Ravioli pesto et mozzarella - Royans - 500g,3266140060664,500 g,['sachet souple'],['Royans'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Pâtes farcies au fromage', 'Ravioli au fromage']",,,,,,['France'],"['Pâte ', '50%', ' : Semoule de blé dur de qualité supérieure 36,2%', 'eau', 'œufs frais 5% ', '140g par kg de semoule', ' Farce ', '50%', ' : Mozzarella 12,5%', 'ricotta', 'fromage frais', 'basilic de Provence 4%', 'chapelure ', 'blé', 'flocons de pomme de terre ', 'pommes de terre déshydratées', ""extrait d'épices"", 'parmesan ', 'parmigiano reggiano', ' 3 %', 'huile de tournesol', 'fibre de blé', 'sel', 'pignons de pin 0,5 %', 'arôme naturel de basilic avec autres arômes naturels ', 'lait', 'ail déshydraté']",['Non végétalien'],?,,265,+5%,"8,8",+10%,33,-2%,12,+18%,,,,,,,,,8.8 g,en quantité modérée,3.5 g,en quantité modérée,1.4 g,en faible quantité,1.4 g,en quantité modérée,1109 kj(265 kcal),+5%,"3,5",-13%,"1,4",-54%,"1,4",+32%,"0,56",+32%,10,+36%,C,+36%,,4,"['Œufs', 'Gluten', 'Lait']",,,,,
21,Nos surprenantes souflettes nature - Saint Jean - 250g,3266140060794,250 g,"['Frais', 'Plastique']",['Saint Jean'],,['Pastier Français depuis 1935'],,,,,['France'],[],[],?,,216,,14,,16,,"5,9",,,,,,,,,,,,,,,,,,904 kj(216 kcal),,"1,4",,"0,5",,"1,1",,"0,44",,,,,,,,,,,,,
22,Limonade artisanale - La Vie Claire,3266191000503,,,['La Vie Claire'],['Boissons'],"['Bio', 'Bio européen', 'FR-BIO-01']",,,,['La Vie Claire'],['France'],[],[],?,,38,-32%,0,-100%,"9,5",-16%,0,-100%,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,159 kj(38 kcal),-34%,0,-100%,"9,5",+1%,0,-100%,0,-100%,13,+70%,E,+70%,,,,,,,,
23,Rouille sétoise - La Vie Claire,3266191000930,,,['La Vie Claire'],"['Epicerie', 'Sauces']",['Bio'],,,,['La Vie Claire'],['France'],"['Huile de colza*', 'œufs* frais', 'ail*', 'sel', 'curcuma*', 'vinaigre*', 'acididifiant : acide citrique', 'paprika*', 'piment*', 'safran*', "" *ingredients issus de l'agriculture biologique""]",['Non végétalien'],?,,372,+56%,"12,9",-29%,"60,1",+506%,"3,6",+34%,,,,,,,,,12.9 g,en quantité modérée,0.88 g,en faible quantité,0.4 g,en faible quantité,1.11 g,en quantité modérée,1556 kj(372 kcal),+58%,"0,88",-59%,"0,4",-94%,"1,11",-54%,"0,444",-54%,6,-48%,C,-48%,['E330 - Acide citrique'],3,['Œufs'],,,,,
24,Cocktail de fruits rouges - La Vie Claire,3266191001586,,,['La Vie Claire'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['La Vie Claire'],['France'],[],[],?,,65,,0,,15,,0,,,,,,,,,,,,,,,,,,272 kj(65 kcal),,0,,14,,"0,01",,"0,004",,,,,,,,,,,,,
25,Sirop de cassis - La Vie Claire,3266191001838,,,['La Vie Claire'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de cassis', 'Boissons avec sucre ajouté']",['Bio'],,,,['La Vie Claire'],['France'],"['Sucre de canne roux', 'eau', 'jus de fruit à base de jus concentrés 19% ', 'dont cassis 16%', 'arômes naturel de cassis et autres argiles naturels']",[],?,,352,+27%,"0,12",-2%,"85,89",+25%,"0,21",+32%,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,1473 kj(352 kcal),+19%,"0,001",-97%,"85,63",+26%,"0,02",-17%,"0,008",-17%,,,,,,4,,,,,,
26,Dessert au soja cacao - La Vie Claire - 250g,3266191005515,250 g,,['La Vie Claire'],"['Desserts', 'Desserts végétaliens', 'Desserts au soja', 'Desserts au chocolat', 'Dessert au soja aromatisé', 'Desserts de soja au chocolat']","['Bio', 'Bio européen', 'en:gluten-free', 'ES-ECO-024-MU', 'FR-BIO-01']",,,,['La Vie Claire'],['France'],"['Eau', '15% ', 'eau', 'soja', 'sucre de canne roux*', 'extrait de soja en poudre* 4,6% ', 'fève de soja* ', '90%', 'maltodeF trine de maïs*', 'sirop de malt', 'amidon de maïs*', 'cacao partiellement } dégraissé* ', '2,3%', 'inuline* ', 'fibre dagave*', 'pâte de cacao* ', '0,9%', 'amidon de tapioca*', 'huile de tournesol de pression à froid*', 'épaississant farine de graines de caroube*', ""arôme naturel de cacad *Ingrédients agricoles issus de l'Agriculture Biologique Peut contenir des traces d'amande"", 'noisette', 'sésame et céleri', ' Ces deux pots ne peuven être vendus séparément']",[],?,,126,+24%,"2,7",+17%,"21,3",+30%,"2,6",-25%,B,53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,2.7 g,en faible quantité,0.8 g,en faible quantité,14.8 g,en quantité élevée,0.1 g,en faible quantité,527 kj(126 kcal),+22%,"0,8",+13%,"14,8",+12%,"0,1",-15%,"0,04",-15%,0,-100%,B,-100%,['E410 - Gomme de caroube'],4,"['Fruits à coque', 'Soja']",,,,,
27,Dessert au soja saveur vanille - La vie claire - 250g (2 * 125g),3266191005522,250 g (2 * 125 g),"['Pot', 'Plastique', 'Etui', 'Carton']",['La vie claire'],"['Desserts', 'Desserts végétaliens', 'Desserts au soja', 'Dessert au soja aromatisé', 'Desserts de soja à la vanille']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'ES-ECO-024-MU', 'FR-BIO-01', 'Point Vert', 'Sans lactose']",,,,['La Vie Claire'],['France'],"['Eau', 'tonyu 15% ', 'eau', 'soja', 'sucre de canne roux', 'extrait de soja en poudre 4,6% ', 'fève de soja ', '90%', 'maltodextrine de maïs', 'sirop de malt', 'amidon de maïs', 'inuline ', ""fibre d'agave"", 'huile de tournesol de pression à froid', 'maltodextrine de maïs', 'amidon de tapioca', 'épaississant : farine de graines de caroube', 'arôme naturel de vanille', 'extrait de curcuma']",[],484,+28%,?,,3,+69%,19,+32%,2,-35%,B,53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,3 g,en quantité modérée,0.5 g,en faible quantité,11.8 g,en quantité modérée,0.1 g,en faible quantité,484 kj(116 kcal),+32%,"0,5",+59%,"11,8",+15%,"0,1",-26%,"0,04",-26%,0,-100%,B,-100%,"['E410 - Gomme de caroube', 'E100 - Curcumine']",4,['Soja'],,,,,
28,Dessert au Riz Amande Noisette - La Vie Claire - 2x 125g,3266191005546,2 x 125 g,,['La Vie Claire'],"['Desserts', 'Desserts végétaliens']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'ES-ECO-024-MU', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['La Vie Claire'],['France'],[],[],?,,102,+7%,4,+17%,"15,04",+22%,"1,2",-57%,,,,,,,,,4 g,en quantité modérée,0.4 g,en faible quantité,7.52 g,en quantité modérée,0.1 g,en faible quantité,427 kj(102 kcal),+9%,"0,4",-75%,"7,52",-19%,"0,1",-6%,"0,04",-6%,2,+16%,B,+16%,,,,,,,,
29,Pâte à Tartiner Noisette pralinée - La Vie Claire,3266191006772,,,['La Vie Claire'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Sans lactose', 'AB Agriculture Biologique']",,,,['La Vie Claire'],['France'],"['Noisettes entières ', '54%', 'Sucre de canne roux', 'huile de palme non hydrogénée', 'extrait de vanille', 'fleur de sel', 'poudre de vanille""', "" Ingrédients agricoles issus de l'Agriculture Biologique""]","['Huile de palme', 'Végétalien', 'Végétarien']",?,,648,+18%,"53,4",+56%,"33,9",-33%,"8,5",+23%,D,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,53.4 g,en quantité élevée,12.5 g,en quantité élevée,28.2 g,en quantité élevée,0.06 g,en faible quantité,2711 kj(648 kcal),+18%,"12,5",+64%,"28,2",-40%,"0,06",-42%,"0,024",-42%,23,+12%,E,+12%,,3,,,['Huile de palme'],,,
30,Puree de sésame demi-complet - La Vie Claire,3266191006895,,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits à tartiner', 'Céréales et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Purées de céréales', 'Purées de sésame']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,['La Vie Claire'],['France'],[],[],?,,644,+1%,"56,9",+2%,"0,3",-95%,"26,4",+18%,C,84.4%,6.1%,3.7%,4.2%,1.7%,0.0%,47,56.9 g,en quantité élevée,8.3 g,en quantité élevée,0.3 g,en faible quantité,0.1 g,en faible quantité,2694 kj(644 kcal),+1%,"8,3",+0%,"0,3",-52%,"0,1",-17%,"0,04",-17%,11,-17%,D,-17%,,,,,,,,
31,Penne maïs Riz - La Vie Claire - 500g,3266191007007,500 g,,['La Vie Claire'],,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,['La Vie Claire'],['France'],"['farine de maïs jaune* 34%', 'farine de maïs blanc* 33%', 'farine de riz* 33%', "" *Ingrédients agricoles issus de l'Agriculture Biologique"", 'Peut contenir des traces de soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,369,,"1,3",,"82,3",,7,,,,,,,,,,,,,,,,,,1544 kj(369 kcal),,"0,3",,"1,2",,"0,01",,"0,004",,,,,,,,,,,,,
32,Torsades au maïs bio - La Vie Claire - 500g,3266191007014,500 g,,['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de maïs']","['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Agriculture Italie']",['Italie'],,,['La Vie Claire'],['France'],['Farine de mais bio'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,360,+1%,"1,7",+31%,71,-9%,"8,5",+26%,,,,,,,,,1.7 g,en faible quantité,0.6 g,en faible quantité,0.6 g,en faible quantité,0.015 g,en faible quantité,1506 kj(360 kcal),+1%,"0,6",+133%,"0,6",-19%,"0,015",-31%,"0,006",-31%,-2,,A,,,1,,,,,,
33,Purée de pistaches crue - La Vie Claire - 100g,3266191007038,100 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['La Vie Claire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Purée de pistache', 'Purées de pistaches']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['La Vie Claire'],['France'],['100% pistache'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",2545,+1%,?,,52,+6%,12,-23%,"20,8",-6%,C,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,52 g,en quantité élevée,7 g,en quantité élevée,6 g,en quantité modérée,0.01 g,en faible quantité,2545 kj(608 kcal),+0%,7,+10%,6,-13%,"0,01",-99%,"0,004",-99%,-1,-117%,A,-117%,,1,,,,,,
34,Pâtes aux légumes Alphabet 3 couleurs - La Vie Claire,3266191007144,,,['La Vie Claire'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['La Vie Claire'],['France'],"['Semoule de blé dur*', 'tomate*', '3%', ',épinard*', '2%', ',betterave*', '0,8%', "" *Ingrédients issus de l'Agriculture Biologique Peut contenir des traces d'œuf""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,345,,"1,8",,71,,"10,8",,,,,,,,,,,,,,,,,,1443 kj(345 kcal),,"0,5",,"2,1",,"0,05",,"0,02",,,,,,,,['Œufs'],,,,,
