,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
1873,Salicorne de culture - 100g,3467740301007,,,['France'],[],[],?,9.1999998092651,38 kj(9 kcal),1,"0,24","1,1","1,1","0,67","2,6","1,04",100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,Farine de Sarrasin - Naturéo - 500g,3701091700066,['Naturéo'],"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,347,1452 kj(347 kcal),"3,1","0,7","63,7","2,6","12,6","0,03","0,012",500 g,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",,,,,,3.1 g,en quantité modérée,0.7 g,en faible quantité,2.6 g,en faible quantité,0.03 g,en faible quantité,,-1%,-1%,+12%,+32%,-5%,+93%,+9%,+91%,+91%,-1,,A,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,
1875,Bouchées de stollen,4008615718743,,,['France'],[],[],?,401,1678 kj(401 kcal),17,"8,8",57,31,"3,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,Loison Panettone Latta - Classico,0799729005075,,,['France'],[],[],?,358,1498 kj(358 kcal),13,8,54,30,6,"0,54","0,216",,,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,,13 g,en quantité modérée,8 g,en quantité élevée,30 g,en quantité élevée,0.54 g,en quantité modérée,,-4%,-4%,-13%,-11%,+5%,+16%,-12%,+22%,+22%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
1877,Sirop cerise amaretto - Maison Meneau - 50cl,3274490970199,"['Maison Meneau', 'Meneau']","['Bio', 'Commerce équitable', 'Biopartenaire']",['France'],[],[],?,37,155 kj(37 kcal),0,0,"74,8","74,8",0,0,0,50 cl,,B,,"['Boissons', 'Sirops', 'Boissons sans alcool', 'Sirops aromatisés']",,,,,,,,,,,,,,,-3%,-7%,-100%,-100%,+765%,+918%,-100%,-100%,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,
1878,Fleur De Sel De Camargue,3183280006775,,,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,,B,,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Sels non raffinés', 'Fleurs de sel']",,,,,,,,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,,-100%,,-100%,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,
1879,Câpres,5410641500015,,,['France'],[],[],?,23,96 kj(23 kcal),"0,9",0,"4,9","0,4","2,4","5,9","2,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,Sauce blanche,3760257870678,,,['France'],[],[],?,532,2226 kj(532 kcal),"57,2","3,3","3,6","2,6","0,7","1,2","0,48",,,,,"['Epicerie', 'Sauces', 'Sauces blanches']",,,,,,57.2 g,en quantité élevée,3.3 g,en quantité modérée,2.6 g,en faible quantité,1.2 g,en quantité modérée,,+14%,+17%,+18%,-9%,-22%,-8%,-31%,-10%,-10%,14,0%,D,0%,,,,,,,,,,,,,
1881,Tarta tiramisú - Mels,8436540921390,['Mels'],,"['France', 'Espagne']",[],[],?,403,1686 kj(403 kcal),"14,6","5,8",63,"44,2","4,8",2,"0,8",,,,,"['Biscuits et gâteaux', 'Gâteaux']",,,,,,14.6 g,en quantité modérée,5.8 g,en quantité élevée,44.2 g,en quantité élevée,2 g,en quantité élevée,,0%,+0%,-25%,-24%,+27%,+58%,-12%,+229%,+229%,27,+51%,E,+51%,,,,,,,,,,,,,
1882,Baguette Royal jambon fromage - Toupargel,4002084317605,['Toupargel'],,['France'],[],[],?,207,866 kj(207 kcal),"5,3","1,7",30,"1,9","8,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,Foie gras de canard (entier),3760149955476,,,['France'],[],[],?,528,2209 kj(528 kcal),"55,2","25,2","0,1",0,"7,8","1,4","0,56",,,B,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,,,,,55.2 g,en quantité élevée,25.2 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,,-0%,-0%,+2%,+9%,-96%,-100%,+4%,+17%,+17%,22,+6%,E,+6%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,
1884,Joe Big,5941017005839,,,['France'],[],[],?,500,2092 kj(500 kcal),26,14,60,43,"4,7","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Miel,0084898900048,,,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,Turrón de Jijona - Pico,8412115003524,['Pico'],,['France'],[],[],?,564,2360 kj(564 kcal),39,3,32,31,18,"0,1","0,04",,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,,,,,39 g,en quantité élevée,3 g,en quantité modérée,31 g,en quantité élevée,0.1 g,en faible quantité,,+4%,+4%,+9%,+3%,-18%,-9%,+18%,+189%,+189%,15,+9%,D,+9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,
1887,Shrimp paste -  - 350g,8850487029115,,['Sans conservateurs'],['France'],[],[],?,?,,?,,?,,?,,,350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,Snack'choc prêt à croquer - Le Comptoir de Mathilde,3700961304311,['Le Comptoir de Mathilde'],,['France'],[],[],?,542,2268 kj(542 kcal),33,20,54,53,"5,6","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,Yogur ecológico coco y piña - Pastoret - 135g,8424790200013,['Pastoret'],['Bio'],"['France', 'Espagne']",[],[],?,124,519 kj(124 kcal),"4,7","3,5","15,1","11,4","4,7","0,1","0,04",135 g,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,,4.7 g,en quantité modérée,3.5 g,en quantité modérée,11.4 g,en quantité modérée,0.1 g,en faible quantité,,+35%,+35%,+44%,+71%,+37%,+13%,+25%,-13%,-13%,4,+31%,C,+31%,,,,,,,,,,,,,
1890,Wrap,3383651007282,,['Fabriqué en France'],['France'],[],[],?,221,925 kj(221 kcal),10,"2,1",24,"3,1","6,8","0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,Liberty Liquirizia GR.,8000500103241,,,['France'],[],[],?,242,1013 kj(242 kcal),"0,6","0,6",95,0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Riz long grain - Belle France - 1kg,3258561120355,['Belle France'],,['France'],"['100% riz long grain étuvé ', 'Oryza Sativa L']",[],?,359,1502 kj(359 kcal),"0,3","0,1",81,"0,5","7,4","0,02","0,008",1 kg,"['Sachet', 'Plastique']",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,,,1,0.3 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.02 g,en faible quantité,,+7%,+6%,-72%,-58%,+10%,+74%,+1%,+5%,+5%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,
1893,Jus de pomme rhubarbe - Solevita - 1l,20518998,['Solevita'],,"['France', 'Allemagne']","['90% Apfelsaft', '10% Rhabarbersaft', 'Ascorbinsäure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",184,43,184 kj(43 kcal),"0,1","< 0,1",10,"9,5","0,2",< 0,0,1 l,['Karton'],C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus']",,['Lidl'],,,1,0.1 g,en faible quantité,0.1 g,en faible quantité,9.5 g,en quantité élevée,0 g,en faible quantité,-5%,-7%,-5%,-46%,+232%,-7%,-5%,-53%,-100%,-100%,4,+1%,C,+1%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,['Allemagne'],,,
1894,Jus de tomates biologique - delizum,8436029241148,['Delizum'],['Bio'],"['France', 'Espagne']",[],[],?,28,117 kj(28 kcal),"0,16",0,"5,34","4,3","0,72",0,0,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",,,,,,0.16 g,en faible quantité,0 g,en faible quantité,4.3 g,en quantité modérée,0 g,en faible quantité,,+40%,+43%,-10%,-100%,+45%,+34%,-4%,-100%,-100%,-3,,B,,,,,,,,,,,,,,
1895,Cassoulet - Saveur d'Auge,3454740006032,"[""Saveur d'Auge""]",,['France'],[],[],586,140,586 kj(140 kcal),10,"3,8","1,4","0,5",11,"1,1","0,44",,,B,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de haricots', 'Cassoulets']",,,,,,10 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,+5%,-1%,+0%,+45%,+51%,-83%,-36%,+16%,+25%,+25%,3,+369%,C,+369%,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,,,,,,
1896,Boudin noir -,20135942,,,['France'],[],[],?,240,1004 kj(240 kcal),17,"6,1","9,8","3,2",12,"1,6","0,64",,,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins noirs', 'Boudin noir sauté']",,,,,,17 g,en quantité modérée,6.1 g,en quantité élevée,3.2 g,en faible quantité,1.6 g,en quantité élevée,,-2%,-2%,-16%,-22%,+134%,+52%,+12%,+10%,+10%,15,-4%,D,-4%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,
1897,Ma confiture de Fraises à l'ancienne - NATURÉ O - 720g,3701091754694,['NATURÉ O'],"['Bio', 'Bio européen', 'FR-BIO-01', 'FR-BIO-16', 'AB Agriculture Biologique']",['France'],"['Fraises 52,5% sucre de canne 47,3%* non raffiné', 'agar-agar']",[],?,231.9,970 kj(231 kcal),"0,1",0,"55,7","55,7","0,3",0,0,720 g,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['E406 - Agar-agar'],,4,0.1 g,en faible quantité,0 g,en faible quantité,55.7 g,en quantité élevée,0 g,en faible quantité,,+7%,+6%,-59%,-100%,+5%,+10%,-32%,-100%,-100%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
1898,Turron de alicante - El Romero - 300g,8413258020003,['El Romero'],,['France'],[],[],?,547,2289 kj(547 kcal),35,"2,7",43,41,14,0,0,300 g,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,,,,,35 g,en quantité élevée,2.7 g,en quantité modérée,41 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+5%,-5%,+1%,+9%,+1%,-100%,-100%,17,+19%,D,+19%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,
1899,"Comte aop 12 mois minimum - 0,338kg",0209173037596,['Comté'],,['France'],[],[],?,427,1787 kj(427 kcal),35,23,1,"0,5",27,"0,9","0,36","0,338kg",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,,,,,35 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+8%,+8%,+7%,+6%,+116%,+80%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,"['FR 25.039.003 CE', 'Avoudrey (Doubs, France)']",,
1900,Acqua Sant Anna Leg Friz LT 1 5 Conf Euro 2 58,80582526,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,FAB !,8901719656828,,,['France'],[],[],?,496,2075 kj(496 kcal),"21,3","12,5","71,2","37,4","4,7","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Filet de poulet - La Nouvelle Agriculture,0213400036672,['La Nouvelle Agriculture'],,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,
1903,tant au gratin de Maroilles - 500g,3770001225036,,,['France'],[],[],?,263,1100 kj(263 kcal),"11,6","7,1","21,7",2,"8,9","1,2","0,48",500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Bastiaansen light plakken,8714565779401,['Bastiaansen'],"['Bio', 'Bio européen', 'NL-BIO-01']","['France', 'Pays-Bas']",[],[],?,280,1172 kj(280 kcal),18,"12,1",0,0,"29,9","1,8","0,72",,,,,,,['Ekoplaza'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,Crackers Al Ajo Laurieri 0.18KG,8015565030234,,,['France'],[],[],?,130,544 kj(130 kcal),"3,5","0,5","0,5","0,5",3,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,Dumble gingerbread - Fazer,6416453071803,['Fazer'],,['France'],[],[],?,496,2075 kj(496 kcal),21,14,67,52,"2,8","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Thon,3251870001148,,,['France'],[],[],?,115,481 kj(115 kcal),1,"0,4",0,0,"26,4","0,7","0,28",,,D,,"['Produits de la mer', 'Poissons', 'Thons']",,,,,,1 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,,-37%,-37%,-90%,-77%,-100%,-100%,+23%,-32%,-32%,-1,-133%,A,-133%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,
1908,Palets bretons,3760208040198,,,['France'],[],[],?,423,1770 kj(423 kcal),18,11,57,30,"6,3","2,9","1,16",,,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,,,,18 g,en quantité modérée,11 g,en quantité élevée,30 g,en quantité élevée,2.9 g,en quantité élevée,,-15%,-15%,-29%,-33%,-6%,+16%,+7%,+231%,+231%,31,+29%,E,+29%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,
1909,Pate de foie de volaille Lagu,3272931000634,,,['France'],[],[],?,340,1423 kj(340 kcal),33,12,"0,5","0,5",12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,Gruyere aop salé,2110085004751,,,['France'],[],[],?,405,1695 kj(405 kcal),33,21,"0,5","0,1",27,"1,5","0,6",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Fromages de Suisse', 'Gruyères suisses']",,,,,,33 g,en quantité élevée,21 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,,+1%,+1%,+2%,+16%,+14%,+0%,+0%,+3%,+3%,16,+12%,D,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
