,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
0,"Balisto Muesli Mix, Bars, Chocolat, 20 Sacs",5000159418553,['Balisto'],"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['France'],[],[],?,93,389 kj(93 kcal),25,11,61,44,"6,2","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,M &M'S 1KG Choco Maitosuklaata Rapealla Sokerikuorella - 1kg,5000159441896,,,"['Autriche', 'France']",[],[],?,480,2008 kj(480 kcal),19,"11,7","70,7","67,3",5,"0,13","0,052",1 kg,"['Stück', 'mixed plastic-packet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Twix Minis 443GR,5000159473149,['Twix'],,['France'],[],[],?,99,414 kj(99 kcal),"4,7","2,8",13,"9,8","0,9","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bounty Mini - 443g (14pièces de 28.5g),5000159473507,['Bounty'],,"['Belgique', 'France']","['Sucre', 'noix de coco séchée ', '21%', 'sirop de glucose', 'beurre de cacao', 'pâte de cacao', 'lait écrémé en poudre', 'émulsifiants ', 'lécithine de soja', ' E471', 'lactose', 'matière grasse du lait', 'petit-lait en poudre', 'humectant ', 'glycérol', 'sel', 'extrait naturel de vanille']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",2036,487,2036 kj(487 kcal),"25,7","21,2","58,9","48,2","3,7","0,25","0,1",443 g (14 pièces de 28.5 g),['Sachet plastique'],C,Chocolat au lait fourré de noix de coco blanche et tendre,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Barres', 'Confiseries chocolatées', 'Barres chocolatées', 'Barres chocolatées à la noix de coco']",['Pays-Bas'],['Coop'],"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E422 - Glycérol']","['Lait', 'Soja']",4,25.7 g,en quantité élevée,21.2 g,en quantité élevée,48.2 g,en quantité élevée,0.25 g,en faible quantité,-0%,+1%,+1%,0%,+4%,+6%,+8%,-14%,+1%,+1%,27,+8%,E,+8%,74.2%,16.2%,3.8%,4.7%,1.1%,0.0%,62,,,,,,
4,McVitie's Hobnobs Choc Chip,5000168176000,"[""McVitie's"", 'McVities']",,['France'],[],[],?,471,1971 kj(471 kcal),21,"9,8","59,9","27,7","7,2","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Italian White Wine Vinegar - Sharwood's,5000197520386,"[""Sharwood's"", 'Morrisons']","['Huile de palme durable', 'Sans huile de palme']","['France', 'Royaume-Uni']","['Sugar', 'Mangoes ', '45%', 'Salt', 'Acid ', 'Acetic Acid', 'Spices', ' Allergy Advice: May contain sesame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,240,1004 kj(240 kcal),"0,4",0,"59,5","44,7","0,5","2,9","1,16",,['glass-jar'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Chutneys de fruit', 'Chutneys de mangue']",,,['E260 - Acide acétique'],,3,0.4 g,en faible quantité,0 g,en faible quantité,44.7 g,en quantité élevée,2.9 g,en quantité élevée,,+34%,+32%,-2%,-100%,+38%,+11%,-8%,+157%,+157%,16,+33%,D,+33%,,,,,,,,,,,,,
6,Napolina Olive Oil 500Ml - 500mL,5000232919892,['Napolina'],,['France'],"['Olive oil composed of refined olive oils and virgin olive oils', ' Oil comprising I exclusively olive oils that have undergone refining and oils obtained directly from olives Napolina is are istered trademarkof tlapolina Ltd', 'Packed in the EU for tlapolina Ltd„ Royal Liver Building', 'Pier Head', 'Liverpool L3 INX', 'UK', 'www', 'napolina', 'com']",[],3382,823,3382 kj(823 kcal),"91,4","13,1",0,0,0,0,0,500 mL,['pet-bottle'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,91.4 g,en quantité élevée,13.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-4%,-6%,-4%,-6%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,
7,Yogurt coated cranberries,5000234051262,,,['France'],[],[],?,468,1958 kj(468 kcal),"19,4",12,"70,6","63,2",2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cheddar Cheese - Tesco,5000358279658,"['Tesco', 'Waitrose']",['Végétarien'],"['France', 'Royaume-Uni']","['Peanuts ', '45%', 'Rapeseed Oil', 'Potato Starch', 'Modified Maize Starch', 'Maize Starch', 'Caster Sugar', 'Modified Tapioca Starch', 'Sugar', 'Wheat Starch', 'Salt', 'Buttermilk Powder ', 'Milk', 'Onion Powder', 'Soy Sauce Powder ', 'Soya Bean', 'Maltodextrin', 'Salt', 'Wheat', 'Garlic Powder', 'Acacia', 'Yeast Extract Powder', 'Milk Sugar', 'Paprika', 'Tomato Powder', 'Parsley', 'Acid ', 'Citric Acid', 'Chilli Powder', 'Sunflower Oil', 'Chilli Extract', 'Ginger Powder', 'Flavouring', 'Coriander Powder', 'Fennel Seed', 'Colours ', 'Curcumin', 'Paprika Extract', ' Allergy advice For allergens', 'including cereals containing gluten', 'see ingredients in bold', ' Alsot may contain Other nuts', ' V Caution Not suitable for small children Who can choke on nuts', ' Suitable for vegetarians']","['Non végétalien', 'Végétarien']",?,534,2234 kj(534 kcal),"34,2","4,9","38,1",8,"15,9","1,7","0,68",,['mixed plastic film-packet'],,,,,,"['E330 - Acide citrique', 'E100 - Curcumine', 'E160c - Extrait de paprika']","['Gluten', 'Lait', 'Arachides', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spring Lemon Lime Flavoured Sparkling Spring Water,5000382102205,,,['France'],[],[],?,2,8 kj(2 kcal),0,0,"0,5","0,5",0,"0,01","0,004",,['pet-bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Biscuit Garibaldi,5000396001174,,,['France'],[],[],?,378,1582 kj(378 kcal),"9,1","4,2","67,6","36,9","4,5","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Semi- Skimmed Milk 1.136Ltr / 2 Pints - Tesco,5000436338826,['Tesco'],,"['France', 'Royaume-Uni']",[],[],?,50,209 kj(50 kcal),"1,8","1,1","4,8","4,8","3,6","0,1","0,04",,['hdpe-bottle'],C,,"['Produits laitiers', 'Laits', 'Laits demi-écrémés']",,['Tesco'],,,,1.8 g,en faible quantité,1.1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,+6%,+7%,+15%,+9%,-0%,+0%,+11%,-9%,-9%,0,,B,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,
12,Sonnenblumenöl cooking spray / Huile de tournesol - Frylight - 190ml,5000442007617,['Frylight'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'en:The Vegan Society', 'en:Vegetarian Society', 'en:No artificial ingredients']","['France', 'Royaume-Uni']","['Sunflower Oil ', '53%', 'Water', 'Alcohol', 'Emulsifier: Sunflower Lecithin', 'Natural Flavouring', 'Thickener: Xanthan Gum']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2136,519,2136 kj(519 kcal),"53,9","6,2","0,2","0,1",0,"< 0,01","0,004",190ml,"['Bottle', 'Plastic', 'hdpe-bottle']",D,Sunflower oil emulsion cooking spray,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['United Kingdom'],"['Asda', 'Tesco', 'Iceland', 'Waitrose', 'Morrisons']","['E322i - Lécithine', 'E415 - Gomme xanthane']",,4,53.9 g,en quantité élevée,6.2 g,en quantité élevée,0.1 g,en faible quantité,0.01 g,en faible quantité,-41%,-41%,-41%,-45%,-42%,+44945%,+10618%,-100%,+21222%,+21222%,7,-36%,C,-36%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,https://www.frylight.co.uk/our-range/sunflower-oil/,,,,,
13,"Fleurs De Bach Rescue Spray,20ML",5000488109870,,,['France'],[],[],?,39,163 kj(39 kcal),0,0,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Light Bars Double Chocolate Multipack - Alpen,5010029214482,['Alpen'],,['France'],['70 alper light double chocolate 5 bars'],[],?,352,1473 kj(352 kcal),"6,3","2,5",58,16,"5,6","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Shortcrust Pastry Sheet - Jus-Rol - 320g,5010084309659,['Jus-Rol'],,"['France', 'Espagne', 'Royaume-Uni']","['Wheat flour', 'vegetable oils and fats ', 'palm', 'rapeseed', 'margarine ', 'vegetable oils and fats ', 'palm', 'rapeseed', 'water', 'emulsifier ', 'mono - and diglycerides of fatty acids', 'salt', 'acidity regulator ', 'citric acid', 'colour ', 'beta carotene]', 'water', 'alcohol', 'sugar', 'lemon juice concentrate', 'salt', 'natural flavouring', 'deactivated yeast', 'colour ', 'beta carotene']",['Huile de palme'],?,457,1912 kj(457 kcal),"28,6","14,5","39,9","1,6","5,9","0,25","0,1",320 g,"['card-carton', 'product']",,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160ai - Bêta-carotène']",['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Instant Chip Shop Curry Sauce Mix - Morrisons - 35g,5010251560197,['Morrisons'],,"['France', 'Royaume-Uni']","['Glucose syrup', 'Potato starch', 'Corn starch', 'Vegetable oils ', 'palm', 'Sunflower', 'Onion powder', 'Curry powder ', '5%', ' ', 'coriander', 'chill', 'turmeric', 'fenugreek', 'lovage', 'caraway', 'cumin', 'Salt', 'Dried cream ', 'milk', 'Palm fat', 'Caster sugar', 'Colour ', 'curcumin', 'Tomato powder', 'Toasted onion powder', 'Emulsifier ', 'mono - and diacetyltartaric acid esters of mono - and diglycerides of fatty acids', 'Yeast extract', 'stabiliser ', 'potassium phosphates', 'Ginger powder', 'Caramelised sugar syrup', 'Garlic powder', 'Mustard flour', 'Acidity regulators ', 'malic acid', 'citric acid', 'Maltodextrin', 'Spinach powder', 'Ground black pepper', 'Paprika', 'Ground cardamom', 'Cinnamon powder', 'Clove', 'Star anise']","['Huile de palme', 'Non végétalien']",293,70,293 kj(70 kcal),3,"1,5","9,8","2,3","0,5","0,73","0,292",35 g,['mixed plastic-packet'],,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Sauces déshydratées']",,,"['E100 - Curcumine', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E296 - Acide malique', 'E330 - Acide citrique']","['Lait', 'Moutarde']",4,,,,,,,,,-76%,-73%,-73%,-36%,+3%,-78%,-73%,-94%,-93%,-93%,,,,,,,,,,,,,,,,,
17,Country Crisp - Céréales complètes & chocolat noir - Jordans - 635g,5010477343338,['Jordans'],['Sans arômes artificiels'],['France'],"['Céréales Complètes ', '58%', ' ', ""Flocons d'Avoine"", ""Flocons d'Orge"", ""Farine d'Avoine"", 'Sucre', 'Copeaux de Chocolat Noir ', '12%', ' ', 'Cacao : 70% minimum', ' ', 'Pâte de Cacao', 'Sucre', 'Beurre de Cacao', 'Émulsifiant : Lécithine de Soja', 'Arôme Naturel', 'Huiles végétales ', 'Huile de Colza', 'Huile de Palme*', 'Farine de Riz', 'Noix de Coco Séchée', 'Arôme Naturel', ""\r*Contient de l'huile de palme certifiée durable"", '\r INFORMATIONS SUR LES ALLERGÈNES\rCONTIENT\rLes allergènes', 'y compris les céréales contenant du gluten', 'sont indiqués en gras', '\rPEUT CONTENIR\rDu Blé', 'du Seigle', 'du lait', 'des Noix']",['Huile de palme'],?,463,1937 kj(463 kcal),"18,6","7,3","62,6","20,2","7,9","0,03","0,012",635 g,"['Etui', 'Carton']",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']",,,['E322i - Lécithine'],"['Gluten', 'Avoine', 'Soja']",4,18.6 g,en quantité modérée,7.3 g,en quantité élevée,20.2 g,en quantité élevée,0.03 g,en faible quantité,,+12%,+11%,+51%,+125%,+0%,+14%,-18%,-87%,-87%,11,+112%,D,+112%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Huile de palme'],,,,
18,Iceland Sliced Chicken,5010482648404,['Iceland'],,['France'],[],[],?,122,510 kj(122 kcal),24,"0,8","0,1","0,1",25,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Billington's Light Muscovado Sugar - 500g,5010651001214,"[""Billington's""]","['Végétarien', 'Végétalien', 'Point Vert']","['France', 'Royaume-Uni']",['Sugar'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",1670,392,1670 kj(392 kcal),0,0,98,98,0,"0,18","0,072",500g,,B,Light brown muscovado sugar,"['Édulcorants', 'Sucres', 'Sucres roux', 'Sucres de canne', 'Sucre muscovado']",['United Kingdom'],"[""Sainsbury's""]",,,2,0 g,en faible quantité,0 g,en faible quantité,98 g,en quantité élevée,0.18 g,en faible quantité,-1%,0%,+2%,-100%,-100%,-0%,+1%,-100%,+823%,+823%,14,-1%,D,-1%,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,https://www.billingtons.co.uk/sugars/light-muscovado/,,['Maurice'],,,
20,Tarte citron vert meringuée - Mrs crimbles - 200g,5010822990170,['Mrs crimbles'],,['France'],[],[],?,478,2000 kj(478 kcal),"26,3","24,4","52,2",41,"4,3","0,1","0,04",200 g,['card-box'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,All Butter Shortbread Fingers - Campbells - 150g e,5010909001720,['Campbells'],"['Point Vert', 'Pur beurre', 'en:Fabriqué en Écosse']",['France'],"['Farine de blé', 'beurre ', '30 %', 'sucre', 'farine de maïs', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,515,2155 kj(515 kcal),"27,5","17,4","61,7","21,6","5,8","0,9","0,36",150 g e,"['Sachet plastique', 'Plastique']",C,Biscuits Sablés Écossais au Beurre,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']","['Pertshire', 'United Kingdom', 'Scotland', 'Écosse']",['Le Comptoir Irlandais'],,"['Gluten', 'Lait']",3,27.5 g,en quantité élevée,17.4 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,,-0%,-1%,-2%,+4%,+2%,+13%,+5%,+36%,+36%,23,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,
22,Bazooka Big Baby Pop! Raspberry Mega Sour - Topps - 32g,5011053011610,['Topps'],,['France'],"['dextrose', 'sucre', 'sirop de glucose', 'acidifiants : acide citrique', 'acide malique', 'acide lactique', ' arôme', 'colorants : E120', 'E141', 'E100']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,398,1665 kj(398 kcal),0,0,99,98,0,"0,1","0,04",32 g,,E,Bonbon Dur Saveur Fraise ou Saveur Pomme et Dextrose en poudre,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['Chine'],['Casino'],"['E330 - Acide citrique', 'E296 - Acide malique', 'E270 - Acide lactique', 'E120 - Acide carminique', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E100 - Curcumine']",,4,0 g,en faible quantité,0 g,en faible quantité,98 g,en quantité élevée,0.1 g,en faible quantité,,+12%,+11%,-100%,-100%,+19%,+69%,-100%,-17%,-17%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,http://www.bigbabypop.com/,,,,,
23,Mammouth ball - Zed Candy - 85g,5011061181329,['Zed Candy'],,['France'],"['Sucre', 'dextrose', 'gomme base', 'sirop de glucose', 'amidon modifié', 'arômes', 'acidifiants : acide malique', 'glycérine', 'colorants : E133', 'E141', 'E171', 'concentré de carotte noir', ""agents d'enrobage : E904"", 'antioxydant : E321']","['Non végétalien', 'Non végétarien']",?,380,1590 kj(380 kcal),1,0,90,89,0,"0,025","0,01",85 g,"['Sachet', 'Plastique']",,,,['Chine'],,"['E14XX - Amidons modifiés', 'E296 - Acide malique', 'E422 - Glycérol', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', 'E171 - Oxyde de titane', 'E904 - Gomme-laque', 'E321 - Butylhydroxytoluène']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Riz Basmati pure original - Tilda,5011157230504,['Tilda'],['en:gluten-free'],['France'],[],[],?,351,1469 kj(351 kcal),"0,8","0,2","77,7","0,5","7,8",0,0,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,,,,0.8 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,,+7%,+6%,-23%,-17%,+9%,+105%,+3%,-100%,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,
25,Rowse Clear Honey - 340g,5011273040605,['Rowse'],,"['France', 'Royaume-Uni']",[],[],?,13,54 kj(13 kcal),"0,5","0,2","81,5","80,8","0,5",,,340g,"['glass-jar', 'steel-lid']",B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,0.5 g,en faible quantité,0.2 g,en faible quantité,80.8 g,en quantité élevée,,,,-96%,-96%,+359%,+441%,+6%,+16%,+53%,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,"['Non Union Européenne', 'en:Blend']",,,
26,Patak's Chilli Pickle - 283g,5011308307178,['Patak‘s'],,"['France', 'Allemagne']",[],[],1360,330,1360 kj(330 kcal),"32,1","2,1","1,4","0,5","4,2","7,7","3,08",283g,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale""]",,,,,,32.1 g,en quantité élevée,2.1 g,en quantité modérée,0.5 g,en faible quantité,7.7 g,en quantité élevée,+27%,+14%,+14%,+194%,+9%,-96%,-95%,-26%,+1596%,+1596%,16,+373%,D,+373%,,,,,,,,,,,,,
27,Jalfrezi sauce (Dalzt) - 450g,5011308505093,"['Dalzt', ""Patak's""]",,"['Belgique', 'France']","['Water', 'Green & Red Pepper ', '8%', 'Tomato 6%', 'Rapeseed Oil', 'Onion', 'Ground Spices [Spices', 'Coriander ', '1%', ']', 'Sugar', 'Modified Maize Starch', 'Dried Onion', 'Concentrated Tomato Purée ', '1', '5%', 'Desiccated Coconut 1%', 'Garlic Purée', 'Salt', 'Ginger Purée', 'Acids ', 'Citric Acid', 'Acetic Acid', 'Cumin Seed', 'MUSTARD Powder', 'Paprika Extract', 'Dried Coriander Leaf']",[],372,90,372 kj(90 kcal),"5,6","1,2","7,6",5,"1,2","0,7","0,28",450 g,['Glass'],,,"['Epicerie', 'Sauces']",,,"['E330 - Acide citrique', 'E260 - Acide acétique', 'E160c - Extrait de paprika']",['Moutarde'],4,5.6 g,en quantité modérée,1.2 g,en faible quantité,5 g,en quantité modérée,0.7 g,en quantité modérée,-58%,-62%,-62%,-69%,-44%,-23%,-23%,-55%,-71%,-71%,6,-48%,C,-48%,,,,,,,,,,,,,
28,Maoam selection - 1140g,5012035920036,"['Maoam', 'Dunhills']",,"['France', 'Royaume-Uni']","['sucre', 'sirop de glucose', 'huile de palme', 'humectant : sirop de sorbitol', 'acidifiant : acide citrique', 'gélatine', 'arôme', 'concentres de fruits et de végétales : carthame', 'citron', 'spiruline', 'radis', 'cassis', 'carotte', 'pomme ', ' sirop de sucre caramélisé', 'extrait de réglisse', 'antiagglomérant : talc', ""agent d'enrobage: cire d'abeille blanche et jaune"", 'mélasse', 'sirop de sucre inverti']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,394,1648 kj(394 kcal),"6,4","3,2",84,60,1,"0,025","0,01",1140g,,,,,,,"['E420ii - Sirop de sorbitol', 'E330 - Acide citrique', 'E428 - Gélatine', 'E553b - Talc', ""E901 - Cire d'abeille""]",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,
29,100% pure coconut oil - KTC - 50ml,5013635101887,['KTC'],,"['France', 'Allemagne']",['Huile de noix de coco pure'],[],?,899,3761 kj(899 kcal),"99,5","94,9",0,0,"0,2","0,5","0,2",50ml,,,,['Matières grasses'],,,,,,99.5 g,en quantité élevée,94.9 g,en quantité élevée,0 g,en faible quantité,0.5 g,en quantité modérée,,+12%,+12%,+12%,+316%,-100%,-100%,+13%,+156%,+156%,22,+95%,E,+95%,,,,,,,,,,,,,
30,"KTC Virgin Coconut Oil, Organic",5013635630066,,"['Bio', 'Bio européen', 'GB-ORG-05']",['France'],[],[],?,896,3749 kj(896 kcal),"99,3","91,5",0,0,0,"0,04","0,016",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,,,,99.3 g,en quantité élevée,91.5 g,en quantité élevée,0 g,en faible quantité,0.04 g,en faible quantité,,+4%,+4%,+3%,+8%,-100%,-100%,-100%,+672%,+672%,20,+3%,E,+3%,,,,,,,,,,,,,
31,Kallo Very Low Salt Chicken Stock Cubes,5013665107538,['Kallo'],"['Huile de palme durable', 'Sans lactose']",['France'],"['Potato starch', 'sustainable palm oil', 'glucose syrup', 'chicken powder ', '7', '2%', 'chicken fat ', '7', '2%', 'sea salt', 'yeast extract', 'natural flavourings', 'vegetables ', 'onion', 'leek', 'celery', 'herbs and spices ', 'turmeric', 'black pepper', 'lovage', 'rosemary', 'garlic', 'parsley']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,7,29 kj(7 kcal),"0,4","0,2","0,8","0,2","0,1","0,1","0,04",,,,,"['Epicerie', 'Bouillons', 'Bouillons de volaille']",,,,['Céleri'],4,0.4 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,,-95%,-96%,-92%,-91%,-96%,-97%,-98%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,
32,Ananas& Papaya mix - Holland & Barrett,5017174933268,['Holland & Barrett'],,['France'],[],[],?,341,1427 kj(341 kcal),14,"0,1",82,74,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Poudre de Curcuma - TRS,5017689001841,"['TRS', ""TRS Asia's Finest Food""]",,['France'],[],[],?,?,,?,,?,,?,,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curcuma', 'Curcuma en poudre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,http://www.trs.co.uk/product-category/spices-masalas/ground-spices/,,,,,
34,Tapioca pearls,5017689086343,,,['France'],[],[],?,348,1456 kj(348 kcal),"0,1",0,"85,9",0,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Haricot Mungo - TRS - 1kg,5017689432379,['TRS'],,['France'],['Haricots moong'],[],?,?,,?,,?,,?,,,1 kg,['Sachet plastique'],,Haricots Moong,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs']",['Birmanie'],['AZ sasu 45 rue Heurtault 93300 Aubervilliers'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.trs.co.uk,,['Birmanie'],,,
36,30G Craquant Sesame Miel Amande,5018076100932,,,['France'],[],[],?,554,2318 kj(554 kcal),38,"5,8","32,8",28,"15,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Popcorn - East End,5018605480979,['East End'],,['France'],[],[],?,330,1381 kj(330 kcal),"2,4","0,3","60,5","3,3","10,3","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Khanum Butter Ghee (1KG) - 1kg,5019124057055,['Khanum'],['Halal'],['France'],"['Matière grasse du lait 99,8% ', ""l',üà"", 'Fau 0', '2%', ' Pour des allergènes : Voir les ingrédients énumérés en gras']",['Non végétalien'],?,6,25 kj(6 kcal),"63,5","63,3","0,01",0,"0,01",0,0,1 kg,,,,['Matières grasses'],,,,,,63.5 g,en quantité élevée,63.3 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-99%,-99%,-28%,+178%,-96%,-100%,-94%,-100%,-100%,10,-12%,C,-12%,,,,,,,,,,,,,
